store_id,daily_footfall,conversion_rate,weather_condition,date
314,2633,0.06,Sunny,2021-07-11 06:35:28
85,406,0.31,Sunny,2022-04-28 01:30:07
129,288,0.37,Cloudy,2023-04-09 16:27:04
86,2895,0.26,Rainy,2018-12-29 01:24:53
200,2450,0.29,Cloudy,2018-02-01 18:06:30
51,709,0.29,Rainy,2022-09-22 03:53:22
421,1586,0.24,Sunny,2018-01-31 10:34:01
169,2860,0.26,Rainy,2024-03-15 16:04:48
202,2020,0.23,Cloudy,2021-12-14 10:06:52
225,211,0.06,Sunny,2022-03-08 04:21:27
150,369,0.13,Sunny,2023-06-27 12:33:03
202,779,0.09,Rainy,2020-08-18 10:30:01
125,2587,0.14,Sunny,2021-12-11 03:40:49
359,1577,0.11,Sunny,2021-02-02 10:07:23
55,2278,0.07,Cloudy,2024-07-16 22:15:10
300,1493,0.18,Sunny,2019-08-30 16:30:59
479,1770,0.26,Sunny,2019-01-13 00:08:17
80,2531,0.13,Sunny,2021-03-25 16:19:11
183,1403,0.39,Rainy,2021-10-15 11:11:09
286,1487,0.1,Sunny,2021-03-22 01:52:10
197,1340,0.22,Sunny,2021-09-25 04:35:08
328,1356,0.08,Rainy,2019-03-24 21:21:09
256,606,0.3,Cloudy,2022-10-01 12:49:19
46,2894,0.21,Rainy,2018-01-31 11:31:39
490,1641,0.17,Sunny,2023-02-19 19:09:05
486,2347,0.18,Cloudy,2022-08-31 20:19:20
114,551,0.24,Rainy,2024-08-18 01:14:00
147,1505,0.21,Cloudy,2024-02-17 23:51:32
422,540,0.28,Sunny,2022-11-27 15:58:56
403,623,0.12,Rainy,2023-04-15 13:59:37
361,1034,0.39,Sunny,2021-02-13 13:38:06
361,1737,0.31,Sunny,2019-05-23 23:43:50
411,2947,0.32,Rainy,2023-06-17 07:34:09
293,224,0.18,Rainy,2021-02-04 14:50:23
429,1364,0.24,Sunny,2021-03-06 04:37:50
272,1198,0.18,Sunny,2023-07-25 13:00:48
205,1748,0.07,Cloudy,2018-07-12 22:46:36
11,2507,0.37,Rainy,2023-08-19 09:33:15
178,2505,0.16,Rainy,2023-02-08 13:19:51
100,1649,0.38,Sunny,2021-08-18 12:38:04
476,2194,0.25,Rainy,2024-10-11 21:19:12
167,1744,0.32,Sunny,2019-03-17 23:06:10
90,2221,0.07,Sunny,2019-03-17 21:17:36
26,936,0.22,Sunny,2018-12-15 20:35:58
107,1016,0.14,Rainy,2020-09-09 04:38:34
144,1296,0.13,Sunny,2022-09-11 08:28:02
194,238,0.08,Cloudy,2024-07-19 18:48:35
491,2581,0.32,Rainy,2020-05-20 18:33:51
172,2378,0.26,Sunny,2020-02-17 20:25:07
497,432,0.23,Cloudy,2023-01-29 23:10:05
275,1157,0.33,Cloudy,2024-02-20 00:46:35
1,1952,0.25,Sunny,2022-01-03 22:44:08
265,1778,0.13,Rainy,2024-05-15 04:54:50
362,1495,0.21,Sunny,2024-07-23 01:42:59
299,513,0.13,Cloudy,2023-08-08 07:48:07
451,2892,0.2,Cloudy,2024-05-19 09:00:22
412,357,0.37,Rainy,2020-11-25 03:46:27
56,2965,0.13,Rainy,2019-08-26 06:43:58
392,2683,0.27,Sunny,2019-11-21 20:01:47
19,2433,0.32,Sunny,2020-04-05 18:54:57
201,2590,0.08,Sunny,2019-12-25 13:05:23
488,1976,0.2,Rainy,2020-10-04 13:46:09
111,2939,0.35,Sunny,2019-02-28 11:27:32
319,1900,0.1,Rainy,2019-02-21 15:57:48
378,2637,0.16,Sunny,2021-04-27 11:56:19
256,640,0.37,Cloudy,2022-12-03 22:39:01
373,1765,0.29,Rainy,2022-01-24 21:12:07
177,2306,0.18,Sunny,2019-04-25 12:20:46
140,674,0.38,Rainy,2023-08-06 10:00:21
179,750,0.21,Rainy,2020-06-06 17:16:22
114,667,0.24,Cloudy,2022-07-14 18:44:46
197,2735,0.1,Sunny,2022-03-02 00:56:16
455,1027,0.3,Rainy,2020-09-19 17:21:22
16,822,0.3,Rainy,2018-01-23 04:52:39
451,650,0.13,Cloudy,2023-10-15 20:33:46
132,1457,0.07,Sunny,2022-12-23 14:16:16
121,858,0.31,Rainy,2024-07-10 07:15:28
148,1721,0.2,Rainy,2021-10-02 16:48:16
307,2902,0.37,Sunny,2021-01-16 11:50:18
132,1175,0.19,Cloudy,2021-11-09 18:58:38
254,1912,0.08,Rainy,2018-07-11 06:47:13
232,527,0.29,Cloudy,2020-08-22 11:59:00
222,2041,0.27,Sunny,2023-11-09 10:55:43
251,1068,0.19,Sunny,2019-06-14 11:51:32
454,340,0.07,Rainy,2020-10-27 11:03:59
338,2318,0.23,Cloudy,2022-12-26 04:57:10
153,352,0.3,Sunny,2018-04-04 06:25:15
89,1279,0.14,Rainy,2023-05-27 07:00:06
55,1226,0.14,Cloudy,2022-03-10 00:49:55
249,791,0.17,Rainy,2021-09-06 14:49:08
472,1275,0.05,Sunny,2021-10-10 03:50:08
339,339,0.11,Sunny,2024-12-19 17:53:27
39,439,0.21,Sunny,2022-08-24 20:15:38
207,1909,0.32,Sunny,2023-12-23 04:18:46
155,1345,0.4,Sunny,2021-03-15 08:08:17
412,1764,0.25,Cloudy,2019-09-11 14:27:01
209,717,0.08,Rainy,2021-01-02 15:54:54
148,1255,0.08,Cloudy,2023-02-02 04:23:07
226,1210,0.18,Cloudy,2018-11-16 08:20:39
15,1535,0.36,Rainy,2023-11-01 09:13:29
413,167,0.18,Sunny,2024-01-13 12:34:36
126,157,0.18,Sunny,2022-07-24 18:59:03
17,1097,0.06,Sunny,2018-06-18 14:06:41
112,2660,0.18,Sunny,2018-01-11 05:28:01
250,1047,0.35,Rainy,2023-07-21 01:35:31
343,2910,0.32,Sunny,2018-01-19 15:15:04
63,1154,0.2,Cloudy,2020-09-13 08:13:10
137,1524,0.06,Rainy,2023-10-03 12:58:42
279,1830,0.13,Cloudy,2019-10-23 07:40:13
71,323,0.34,Cloudy,2022-09-10 06:50:35
94,2503,0.22,Rainy,2021-06-29 23:36:23
35,2265,0.27,Cloudy,2023-11-02 09:43:00
434,2117,0.15,Rainy,2018-01-06 01:54:22
487,2572,0.4,Cloudy,2019-05-20 19:34:25
460,1670,0.2,Rainy,2022-09-16 11:24:43
327,88,0.08,Sunny,2023-04-07 03:40:17
296,1596,0.33,Sunny,2018-11-10 11:54:58
409,2744,0.18,Sunny,2019-08-13 10:06:22
473,2509,0.25,Cloudy,2019-01-09 21:24:55
462,1410,0.24,Sunny,2021-12-10 12:40:18
211,321,0.32,Rainy,2024-10-29 09:56:03
17,190,0.06,Rainy,2024-05-06 04:11:04
352,1059,0.36,Rainy,2023-10-10 01:35:59
199,743,0.29,Cloudy,2021-06-21 06:57:37
492,2299,0.27,Rainy,2019-02-03 14:52:03
279,2364,0.1,Rainy,2021-08-22 06:33:04
146,434,0.27,Rainy,2020-09-13 11:58:19
173,2129,0.38,Sunny,2020-12-12 13:47:42
438,87,0.14,Cloudy,2018-06-10 04:59:12
302,2856,0.23,Sunny,2020-08-08 10:06:46
230,2167,0.19,Cloudy,2024-10-28 23:06:51
348,772,0.16,Rainy,2024-07-18 20:02:12
250,2120,0.34,Cloudy,2022-07-13 15:49:31
472,2350,0.39,Rainy,2020-12-25 19:50:22
459,906,0.2,Cloudy,2021-04-17 08:19:20
489,129,0.11,Sunny,2021-02-21 16:09:28
218,1206,0.25,Rainy,2024-12-05 00:42:30
313,1716,0.39,Rainy,2024-10-01 14:11:27
163,481,0.1,Cloudy,2022-01-02 10:48:18
422,2935,0.12,Rainy,2019-04-01 12:07:26
418,2145,0.31,Rainy,2021-06-08 20:12:42
150,2358,0.32,Cloudy,2019-03-26 09:49:22
183,2012,0.1,Cloudy,2022-12-20 21:12:41
473,784,0.16,Sunny,2020-12-08 13:43:03
262,1844,0.13,Cloudy,2024-06-06 19:56:49
438,2851,0.19,Cloudy,2023-07-14 23:28:32
492,1756,0.1,Sunny,2020-02-11 08:47:18
166,1029,0.39,Cloudy,2019-10-18 02:23:13
52,553,0.18,Sunny,2019-12-06 21:30:29
80,1703,0.21,Rainy,2019-01-10 11:18:19
448,686,0.06,Sunny,2021-12-02 14:39:50
27,2629,0.2,Cloudy,2018-07-11 20:52:59
379,540,0.39,Rainy,2019-12-18 11:03:40
124,68,0.34,Sunny,2023-05-10 04:54:45
259,2917,0.23,Sunny,2023-03-09 09:25:12
367,2849,0.18,Rainy,2018-09-26 09:51:58
409,2478,0.29,Rainy,2021-05-02 22:32:03
329,1474,0.13,Cloudy,2020-09-23 19:29:32
51,2628,0.25,Sunny,2021-12-31 04:18:35
278,679,0.19,Cloudy,2020-03-03 13:45:01
186,1663,0.09,Cloudy,2023-03-30 07:55:41
122,2552,0.27,Sunny,2019-12-07 12:26:44
402,1079,0.29,Rainy,2019-10-18 04:06:17
44,704,0.25,Sunny,2021-08-24 09:07:32
256,2646,0.31,Cloudy,2023-05-20 10:42:55
112,1339,0.15,Rainy,2019-09-19 14:08:56
359,1434,0.08,Cloudy,2023-03-17 00:51:13
222,2790,0.18,Cloudy,2021-10-29 12:37:21
194,1417,0.15,Cloudy,2019-08-24 06:05:33
306,2905,0.32,Sunny,2018-10-30 17:27:12
469,1444,0.1,Sunny,2020-01-10 17:31:06
134,1900,0.34,Sunny,2019-08-08 08:01:43
294,1776,0.13,Sunny,2020-10-17 22:09:32
225,2427,0.11,Sunny,2022-04-17 08:18:37
240,332,0.13,Sunny,2021-10-13 20:39:47
97,1678,0.31,Rainy,2024-03-19 04:51:23
359,1176,0.28,Cloudy,2019-06-01 16:17:48
88,2368,0.24,Sunny,2023-04-11 00:31:12
112,879,0.35,Cloudy,2020-10-05 11:36:33
199,2393,0.15,Cloudy,2022-08-05 10:32:31
344,2090,0.17,Rainy,2024-10-15 00:40:32
80,1919,0.14,Cloudy,2023-06-26 09:28:11
78,2908,0.33,Sunny,2020-04-16 15:21:35
372,612,0.33,Sunny,2023-07-10 10:14:01
352,1906,0.19,Rainy,2020-08-21 22:01:45
155,230,0.18,Rainy,2023-12-23 21:37:06
136,1142,0.32,Rainy,2023-08-27 01:21:51
47,794,0.15,Rainy,2024-02-21 00:02:36
344,930,0.19,Rainy,2019-10-11 21:00:51
397,1444,0.38,Rainy,2021-08-20 18:35:48
454,940,0.37,Sunny,2024-08-27 22:34:44
406,1404,0.21,Sunny,2020-01-01 02:03:18
20,1363,0.08,Rainy,2019-09-24 22:49:09
453,1824,0.08,Cloudy,2024-07-10 12:11:37
100,855,0.35,Sunny,2020-10-05 14:04:11
26,651,0.17,Sunny,2019-12-09 22:45:49
452,1826,0.2,Cloudy,2018-03-21 20:53:48
273,751,0.34,Sunny,2024-01-02 02:47:04
255,999,0.22,Rainy,2024-09-02 15:05:57
430,295,0.13,Sunny,2022-03-13 23:47:41
227,609,0.22,Rainy,2023-11-13 19:04:08
493,1991,0.23,Sunny,2018-04-15 04:54:07
244,2390,0.32,Sunny,2021-08-11 13:53:08
74,249,0.31,Sunny,2019-07-14 08:46:52
20,1995,0.36,Cloudy,2020-04-02 08:22:47
180,1850,0.11,Rainy,2023-07-10 14:01:32
296,571,0.31,Sunny,2020-02-12 13:32:17
93,1372,0.36,Cloudy,2022-01-04 05:32:52
160,2985,0.28,Rainy,2019-05-19 23:13:07
2,2215,0.36,Sunny,2024-12-08 00:51:59
62,70,0.2,Cloudy,2022-01-09 20:38:52
235,226,0.25,Rainy,2023-07-09 11:21:23
463,503,0.26,Rainy,2024-08-24 04:23:13
141,1042,0.22,Cloudy,2024-06-30 16:14:24
407,2019,0.39,Cloudy,2018-10-02 08:17:06
22,2421,0.09,Sunny,2023-11-21 12:16:34
219,151,0.38,Sunny,2019-07-20 21:36:25
151,1629,0.15,Sunny,2022-12-26 04:39:58
422,1519,0.37,Sunny,2024-05-14 11:26:16
370,944,0.25,Sunny,2023-04-29 22:41:47
260,1721,0.31,Rainy,2019-01-08 09:19:04
357,235,0.16,Cloudy,2022-09-18 03:04:13
36,1656,0.14,Sunny,2022-10-31 00:33:56
488,159,0.32,Cloudy,2018-12-14 17:27:04
81,2607,0.28,Rainy,2020-06-03 17:14:38
323,2931,0.2,Cloudy,2023-07-16 12:49:14
450,1419,0.2,Cloudy,2020-09-18 15:37:59
294,2107,0.05,Sunny,2023-03-14 07:10:02
47,1673,0.36,Cloudy,2023-01-24 15:07:30
334,755,0.22,Sunny,2021-06-22 08:17:34
317,2659,0.18,Rainy,2019-11-01 21:07:07
28,1550,0.15,Rainy,2022-11-04 17:47:07
488,415,0.23,Rainy,2021-09-18 16:37:48
371,2655,0.06,Cloudy,2018-07-24 02:20:35
427,2868,0.4,Rainy,2018-07-20 01:36:57
193,2344,0.36,Rainy,2020-10-16 19:53:17
464,2689,0.35,Sunny,2019-10-19 00:01:30
279,1217,0.38,Rainy,2019-12-09 15:48:02
11,1246,0.24,Rainy,2024-06-14 17:39:56
20,2368,0.37,Cloudy,2022-09-05 03:10:45
121,942,0.25,Cloudy,2021-08-23 17:32:36
98,557,0.32,Rainy,2019-04-02 21:44:36
167,2341,0.22,Rainy,2024-08-20 22:42:24
32,2921,0.17,Sunny,2018-03-12 23:55:58
225,1484,0.39,Sunny,2018-09-26 15:53:20
171,1896,0.21,Rainy,2021-06-14 23:10:53
485,429,0.08,Sunny,2023-08-18 23:11:36
172,765,0.22,Sunny,2021-06-21 21:07:37
89,2732,0.32,Sunny,2019-06-10 13:19:38
136,887,0.31,Cloudy,2018-06-25 09:31:53
53,925,0.16,Sunny,2024-06-01 15:11:20
101,1055,0.26,Cloudy,2024-12-27 16:25:53
43,2973,0.18,Cloudy,2021-12-04 16:14:42
17,232,0.4,Sunny,2021-10-04 00:29:00
147,2275,0.34,Rainy,2023-02-26 09:16:28
148,2739,0.08,Sunny,2024-01-22 16:20:05
438,1314,0.18,Rainy,2019-03-08 13:09:47
13,962,0.39,Rainy,2020-12-10 20:59:58
257,2128,0.06,Rainy,2022-04-30 00:11:10
372,2945,0.06,Cloudy,2019-07-12 00:54:45
133,2539,0.22,Rainy,2020-04-08 21:01:30
412,956,0.38,Cloudy,2020-09-30 16:22:45
198,133,0.24,Cloudy,2020-01-09 22:36:14
155,2867,0.24,Sunny,2023-05-22 20:33:46
297,2738,0.34,Sunny,2023-11-24 20:16:46
36,1609,0.07,Cloudy,2023-05-29 05:24:23
283,306,0.39,Rainy,2019-08-17 10:41:28
161,2969,0.2,Sunny,2020-03-14 20:24:47
205,2279,0.28,Sunny,2019-03-12 06:07:39
346,1877,0.3,Rainy,2022-04-02 21:25:39
449,2177,0.07,Rainy,2018-01-09 12:51:04
273,2577,0.07,Rainy,2018-06-25 16:18:16
324,2135,0.37,Cloudy,2018-03-15 20:10:04
394,392,0.17,Sunny,2024-01-08 03:08:06
316,2076,0.38,Rainy,2018-06-03 17:42:53
68,1962,0.17,Sunny,2022-04-10 02:23:35
162,1762,0.28,Cloudy,2024-10-03 10:10:58
479,663,0.17,Cloudy,2019-01-04 06:20:14
434,744,0.17,Cloudy,2021-02-26 09:36:46
216,1843,0.29,Rainy,2020-01-07 08:47:32
252,843,0.32,Rainy,2024-02-18 23:50:11
21,1977,0.19,Sunny,2018-09-20 11:32:01
369,264,0.28,Sunny,2023-06-13 22:45:39
490,1648,0.3,Rainy,2019-01-02 21:51:11
338,890,0.32,Rainy,2023-01-07 20:02:28
274,2802,0.32,Rainy,2020-05-15 03:18:10
310,847,0.13,Sunny,2021-12-07 21:24:51
237,1690,0.08,Cloudy,2020-02-21 16:07:52
412,2508,0.36,Rainy,2021-03-30 10:47:32
9,1994,0.17,Cloudy,2018-01-05 12:49:12
91,1673,0.24,Sunny,2023-06-26 19:14:30
387,1161,0.19,Rainy,2019-12-05 10:52:33
345,387,0.35,Sunny,2019-11-08 08:00:33
146,1249,0.24,Cloudy,2024-03-07 06:53:00
84,2664,0.23,Sunny,2019-07-21 13:49:04
34,2300,0.39,Cloudy,2018-03-31 23:32:41
104,2935,0.29,Cloudy,2024-05-29 23:17:16
221,172,0.21,Cloudy,2020-01-17 21:44:15
212,1563,0.28,Cloudy,2023-10-17 15:15:26
215,1847,0.14,Rainy,2019-11-23 11:12:26
78,2578,0.13,Rainy,2021-11-11 17:05:54
292,155,0.25,Cloudy,2024-05-15 13:59:18
341,939,0.32,Sunny,2019-04-22 23:35:13
482,1614,0.14,Cloudy,2023-02-17 20:37:00
462,67,0.17,Cloudy,2024-04-19 15:39:03
134,2042,0.2,Rainy,2023-11-13 16:41:46
463,2373,0.09,Sunny,2021-11-17 01:43:14
138,848,0.11,Sunny,2019-01-18 05:06:37
240,1915,0.06,Cloudy,2018-05-28 13:20:09
163,323,0.05,Cloudy,2024-08-16 15:56:06
239,1715,0.34,Cloudy,2019-06-27 17:55:45
449,2511,0.37,Rainy,2020-09-05 12:21:41
355,1028,0.33,Cloudy,2018-08-03 10:33:37
456,2372,0.28,Rainy,2022-09-12 23:12:34
5,2063,0.31,Cloudy,2019-12-18 04:40:30
301,1919,0.06,Cloudy,2024-04-23 00:34:52
126,469,0.11,Rainy,2018-11-18 06:33:34
2,2101,0.25,Cloudy,2021-02-15 07:08:13
459,2116,0.25,Sunny,2023-08-04 22:30:55
91,2071,0.37,Cloudy,2024-04-23 04:14:16
56,2540,0.24,Cloudy,2018-04-07 15:28:07
358,1883,0.22,Sunny,2021-06-26 03:30:03
8,2263,0.16,Sunny,2019-08-13 19:44:58
331,2637,0.34,Rainy,2019-08-05 04:32:07
161,1263,0.28,Rainy,2024-05-01 02:18:00
247,2691,0.28,Rainy,2024-07-06 00:41:45
274,861,0.28,Cloudy,2021-08-01 02:31:44
9,646,0.1,Cloudy,2024-06-29 05:20:26
82,1311,0.4,Cloudy,2023-04-10 15:00:21
231,2647,0.06,Rainy,2018-11-12 06:34:53
445,1476,0.1,Rainy,2023-09-21 17:50:14
270,1407,0.28,Sunny,2024-03-13 11:19:49
203,2233,0.27,Rainy,2019-09-29 06:01:00
456,671,0.28,Sunny,2023-03-05 00:58:58
430,2715,0.14,Sunny,2021-05-20 14:41:33
303,145,0.35,Rainy,2022-06-03 01:31:42
391,2711,0.11,Rainy,2018-10-14 10:56:51
131,1146,0.24,Sunny,2019-04-04 18:24:17
416,1796,0.38,Rainy,2021-11-14 08:51:03
45,1791,0.11,Rainy,2020-08-11 06:14:17
117,1354,0.18,Cloudy,2019-11-11 03:01:42
413,456,0.18,Cloudy,2018-11-22 22:22:01
234,2695,0.16,Rainy,2022-01-29 12:29:38
234,2356,0.14,Cloudy,2023-06-16 07:59:07
111,116,0.1,Cloudy,2018-03-04 01:51:50
306,91,0.2,Rainy,2022-03-01 16:54:35
73,539,0.28,Rainy,2022-04-13 16:30:19
339,2635,0.28,Cloudy,2018-04-30 13:55:42
123,2021,0.23,Sunny,2022-12-01 06:17:25
276,1349,0.25,Rainy,2018-10-05 19:40:45
97,1752,0.22,Cloudy,2021-03-07 01:21:34
204,152,0.23,Rainy,2021-09-05 22:58:44
88,1737,0.15,Cloudy,2023-01-02 10:46:20
72,287,0.37,Sunny,2023-05-17 01:15:50
421,1478,0.06,Rainy,2019-11-14 01:51:16
310,2581,0.2,Cloudy,2021-09-21 18:03:26
125,1980,0.24,Rainy,2024-06-23 23:35:22
156,251,0.25,Sunny,2021-04-22 14:55:24
413,2709,0.3,Rainy,2024-01-31 17:32:42
395,1475,0.12,Rainy,2020-01-16 21:53:16
345,2181,0.17,Rainy,2018-08-18 17:11:06
244,345,0.31,Sunny,2024-05-31 20:34:17
77,1598,0.05,Sunny,2020-08-01 13:48:26
8,2179,0.37,Rainy,2021-01-29 19:10:07
411,497,0.32,Cloudy,2020-11-18 01:30:35
375,2626,0.35,Rainy,2023-07-25 22:28:53
485,97,0.31,Cloudy,2024-01-04 02:43:24
301,204,0.08,Rainy,2023-12-29 21:49:23
26,1286,0.22,Rainy,2019-09-06 23:45:53
341,2181,0.06,Rainy,2023-06-01 13:09:15
488,218,0.38,Cloudy,2020-06-06 21:58:31
437,775,0.38,Rainy,2021-10-12 20:19:41
304,2489,0.17,Sunny,2021-08-25 12:57:34
13,236,0.38,Sunny,2022-03-01 12:07:35
487,2268,0.08,Sunny,2022-09-24 17:18:12
226,673,0.14,Sunny,2020-01-27 10:26:46
355,2210,0.3,Sunny,2020-04-04 12:20:11
488,1186,0.24,Rainy,2022-02-26 21:03:15
349,2501,0.37,Cloudy,2018-11-07 14:28:23
183,92,0.07,Cloudy,2020-12-13 03:20:40
466,606,0.31,Rainy,2019-08-09 22:09:36
77,1113,0.28,Cloudy,2019-08-25 07:17:17
484,2565,0.36,Sunny,2019-04-01 01:09:24
98,370,0.21,Sunny,2019-01-21 13:47:01
323,1827,0.36,Sunny,2022-03-13 12:17:47
301,877,0.14,Rainy,2022-06-14 05:50:19
119,1723,0.24,Rainy,2019-09-10 10:38:04
54,2643,0.18,Cloudy,2018-03-03 04:15:15
379,80,0.1,Cloudy,2019-07-09 01:44:06
465,1411,0.19,Cloudy,2020-06-29 09:17:36
448,857,0.22,Rainy,2023-11-03 16:15:22
34,2716,0.32,Sunny,2020-06-01 15:01:35
62,2443,0.31,Cloudy,2018-05-19 08:10:19
143,399,0.12,Rainy,2024-09-10 23:54:57
482,2234,0.16,Rainy,2024-03-22 15:56:42
223,2873,0.15,Cloudy,2023-01-21 09:22:19
224,2135,0.12,Rainy,2022-03-16 21:37:02
478,1171,0.09,Sunny,2020-07-15 17:09:56
283,1912,0.07,Rainy,2020-11-26 08:35:21
410,581,0.25,Cloudy,2021-11-27 19:08:38
353,461,0.3,Rainy,2018-04-12 14:40:15
446,742,0.34,Rainy,2024-09-23 19:54:59
87,56,0.13,Cloudy,2023-11-19 22:34:34
407,1411,0.29,Sunny,2020-06-16 20:40:14
338,1166,0.25,Cloudy,2023-04-21 02:00:00
180,115,0.4,Sunny,2023-01-28 05:53:42
175,662,0.12,Sunny,2021-07-22 06:48:48
497,2999,0.09,Sunny,2023-03-25 21:25:09
89,1499,0.39,Sunny,2021-10-05 11:56:16
362,1828,0.32,Cloudy,2019-04-27 01:08:22
240,648,0.1,Sunny,2021-03-15 05:08:22
127,1770,0.08,Rainy,2020-10-11 13:07:22
40,1256,0.08,Rainy,2021-10-06 08:48:40
393,1436,0.34,Cloudy,2023-08-14 03:42:43
393,1344,0.25,Cloudy,2018-10-16 19:14:43
242,2042,0.28,Rainy,2020-06-19 13:36:33
422,131,0.08,Rainy,2020-12-16 13:32:54
212,480,0.29,Rainy,2024-04-06 22:18:28
486,1920,0.28,Cloudy,2019-08-21 06:50:44
171,2418,0.22,Cloudy,2021-12-14 18:46:21
187,2645,0.14,Cloudy,2023-06-18 17:16:59
36,932,0.13,Rainy,2019-12-19 19:19:21
482,2572,0.36,Sunny,2020-07-08 18:55:46
198,283,0.18,Sunny,2020-11-11 08:25:20
343,2811,0.09,Sunny,2021-03-25 10:31:40
493,2007,0.09,Cloudy,2019-02-21 17:29:22
193,1557,0.19,Sunny,2020-09-04 10:26:06
318,336,0.08,Sunny,2024-12-25 04:35:49
68,1358,0.21,Rainy,2022-01-20 20:10:19
6,1594,0.18,Rainy,2020-01-30 10:55:12
138,1353,0.22,Sunny,2023-09-23 20:49:11
336,250,0.22,Rainy,2019-04-15 00:25:25
190,1698,0.1,Rainy,2022-09-25 11:11:58
411,919,0.07,Rainy,2018-05-30 16:34:30
370,2944,0.38,Sunny,2022-10-31 11:24:41
392,865,0.29,Rainy,2021-09-19 03:49:54
323,2003,0.17,Cloudy,2021-04-04 16:08:00
454,1051,0.11,Rainy,2019-09-03 08:22:44
202,659,0.23,Sunny,2023-04-25 07:48:15
420,1871,0.07,Cloudy,2021-11-26 22:32:02
14,971,0.16,Cloudy,2018-07-22 01:45:00
324,1800,0.2,Cloudy,2021-05-04 18:18:58
21,863,0.38,Sunny,2022-08-28 00:38:03
310,872,0.16,Sunny,2024-11-23 03:18:47
337,1745,0.36,Sunny,2023-03-27 08:59:59
462,308,0.26,Sunny,2023-07-05 22:06:06
136,192,0.26,Rainy,2022-05-08 13:31:24
412,996,0.31,Sunny,2023-09-15 07:17:48
151,2428,0.36,Rainy,2024-03-25 23:00:37
179,2850,0.17,Sunny,2018-07-28 10:07:03
496,2826,0.38,Rainy,2019-02-08 01:32:23
210,1993,0.32,Rainy,2020-09-21 15:40:06
74,2057,0.38,Cloudy,2020-08-07 07:38:37
368,1505,0.29,Sunny,2019-06-16 00:42:59
234,1498,0.2,Sunny,2022-04-04 21:13:49
225,1894,0.11,Cloudy,2022-12-24 00:51:34
351,2974,0.16,Cloudy,2020-01-21 02:35:17
369,2836,0.1,Cloudy,2021-09-10 10:53:44
481,1719,0.24,Cloudy,2024-05-25 22:02:32
16,1194,0.4,Sunny,2024-01-20 12:58:38
131,1299,0.21,Cloudy,2022-05-22 17:42:12
330,1716,0.16,Cloudy,2023-12-11 19:44:31
250,2031,0.22,Cloudy,2023-03-13 04:24:14
277,1585,0.33,Rainy,2023-12-24 11:43:38
452,747,0.38,Rainy,2020-03-03 11:10:48
151,2450,0.23,Cloudy,2021-06-30 05:17:02
110,2139,0.39,Sunny,2022-02-13 07:27:04
166,491,0.07,Cloudy,2021-09-22 00:16:20
274,871,0.08,Cloudy,2019-06-20 09:22:04
22,2702,0.15,Cloudy,2023-03-03 22:26:59
334,2340,0.1,Sunny,2020-02-14 18:35:50
194,693,0.1,Cloudy,2018-06-15 19:08:07
378,2115,0.34,Sunny,2024-12-31 22:50:25
485,2454,0.18,Rainy,2023-04-23 16:45:49
290,2186,0.05,Sunny,2018-02-10 03:08:28
309,892,0.34,Rainy,2021-05-22 14:52:31
29,1878,0.14,Sunny,2023-02-23 01:35:19
