product_id,base_price,discount_percent,final_price,units_sold,promotion_flag
22200,6471,18,5306.0,26,No
6271,7210,13,6273.0,32,No
13140,1716,24,1304.0,7,Yes
14558,2770,12,2438.0,12,No
8895,5952,13,5178.0,18,No
21842,1546,13,1345.0,18,No
15485,278,4,267.0,30,No
20698,738,15,627.0,9,No
6483,4700,35,3055.0,19,Yes
3908,1627,18,1334.0,20,No
14920,398,53,187.0,2,Yes
18476,5493,15,4669.0,26,No
15652,7532,54,3465.0,19,Yes
11079,1226,45,674.0,18,Yes
1239,3651,36,2337.0,25,Yes
19894,6115,18,5014.0,31,No
17597,3379,32,2298.0,3,Yes
24951,6347,31,4379.0,30,Yes
12453,4891,24,3717.0,10,Yes
23623,6203,22,4838.0,11,Yes
16486,1145,10,1030.0,18,No
24228,590,56,260.0,2,Yes
6380,3361,40,2017.0,16,Yes
5668,241,42,140.0,13,Yes
16102,5286,57,2273.0,39,Yes
27350,5713,37,3599.0,16,Yes
20997,7490,43,4269.0,14,Yes
19811,1698,7,1579.0,28,No
8357,3711,37,2338.0,32,Yes
5948,6532,3,6336.0,23,No
11705,4036,13,3511.0,25,No
19106,6604,58,2774.0,1,Yes
12540,514,22,401.0,6,Yes
6516,5850,8,5382.0,3,No
13298,7378,51,3615.0,15,Yes
15236,4782,25,3586.0,18,Yes
15349,3070,58,1289.0,35,Yes
17413,6068,6,5704.0,31,No
26864,2649,24,2013.0,17,Yes
426,4549,1,4504.0,3,No
25433,2036,49,1038.0,26,Yes
11540,6209,42,3601.0,36,Yes
7184,1265,44,708.0,32,Yes
6453,5773,43,3291.0,29,Yes
1292,7997,21,6318.0,36,Yes
17287,1786,39,1089.0,23,Yes
12529,7462,18,6119.0,20,No
3276,5152,4,4946.0,27,No
12113,7473,25,5605.0,37,Yes
2807,5493,41,3241.0,11,Yes
28010,4466,22,3483.0,4,Yes
11643,6552,48,3407.0,3,Yes
8055,6079,12,5350.0,16,No
11072,1413,48,735.0,26,Yes
6646,7197,11,6405.0,6,No
16696,598,36,383.0,18,Yes
16269,7444,0,7444.0,12,No
14541,7182,33,4812.0,25,Yes
1748,4526,9,4119.0,28,No
16161,3198,48,1663.0,33,Yes
9630,4689,53,2204.0,16,Yes
23110,5933,32,4034.0,24,Yes
29558,3838,43,2188.0,6,Yes
770,5570,31,3843.0,9,Yes
26854,5052,38,3132.0,17,Yes
28171,7241,1,7169.0,17,No
24599,7509,57,3229.0,23,Yes
24590,303,24,230.0,2,Yes
26318,5654,34,3732.0,25,Yes
16627,3369,17,2796.0,2,No
3952,1468,26,1086.0,12,Yes
18702,3587,25,2690.0,33,Yes
26086,2643,37,1665.0,23,Yes
28358,4589,50,2294.0,9,Yes
20431,5169,34,3412.0,37,Yes
17464,5296,13,4608.0,35,No
25738,5815,6,5466.0,13,No
28379,2820,16,2369.0,26,No
26338,6271,4,6020.0,9,No
19006,7030,29,4991.0,23,Yes
10404,954,1,944.0,10,No
7150,2649,38,1642.0,32,Yes
27331,2820,24,2143.0,25,Yes
12452,4596,25,3447.0,10,Yes
13606,5923,22,4620.0,13,Yes
24581,4255,4,4085.0,7,No
13341,3031,50,1516.0,34,Yes
12418,2978,48,1549.0,5,Yes
12157,4170,45,2294.0,14,Yes
10839,6773,1,6705.0,5,No
26645,7070,4,6787.0,27,No
16112,4942,54,2273.0,37,Yes
18777,5556,50,2778.0,15,Yes
19377,3644,57,1567.0,13,Yes
6539,4545,20,3636.0,2,No
15356,5803,53,2727.0,39,Yes
3337,3692,41,2178.0,10,Yes
22250,7226,2,7081.0,22,No
9546,6010,41,3546.0,33,Yes
2229,7887,16,6625.0,5,No
22607,4708,11,4190.0,5,No
8464,842,18,690.0,34,No
27191,5186,55,2334.0,37,Yes
10614,2077,32,1412.0,19,Yes
19454,4499,52,2160.0,18,Yes
13507,3681,21,2908.0,17,Yes
3362,5775,50,2888.0,28,Yes
596,7553,37,4758.0,11,Yes
23828,463,34,306.0,38,Yes
5342,3382,15,2875.0,26,No
15388,2170,8,1996.0,17,No
17531,3055,22,2383.0,26,Yes
22342,2525,0,2525.0,31,No
22604,2838,40,1703.0,27,Yes
9957,7531,51,3690.0,26,Yes
15715,5779,44,3236.0,35,Yes
9413,583,48,303.0,11,Yes
4443,7417,37,4673.0,23,Yes
15325,6158,37,3880.0,12,Yes
19844,7287,16,6121.0,24,No
24301,3359,42,1948.0,26,Yes
20001,4422,24,3361.0,17,Yes
12969,625,3,606.0,24,No
15589,3582,27,2615.0,14,Yes
1293,3691,25,2768.0,17,Yes
3985,951,0,951.0,18,No
9912,5850,1,5792.0,29,No
9872,2403,16,2019.0,7,No
345,2749,23,2117.0,19,Yes
10510,4481,20,3585.0,30,No
21388,7492,31,5169.0,35,Yes
15482,3158,28,2274.0,10,Yes
8749,2857,13,2486.0,19,No
29953,3577,52,1717.0,15,Yes
24118,236,56,104.0,23,Yes
21302,2672,26,1977.0,12,Yes
298,6270,19,5079.0,7,No
10976,3172,35,2062.0,9,Yes
6506,6860,54,3156.0,19,Yes
23369,683,53,321.0,21,Yes
13987,2385,8,2194.0,30,No
12571,309,18,253.0,7,No
18658,7886,7,7334.0,37,No
5695,1270,5,1206.0,26,No
10587,7114,0,7114.0,28,No
2092,5796,2,5680.0,16,No
2664,5931,16,4982.0,30,No
2835,5680,50,2840.0,28,Yes
13141,4154,10,3739.0,3,No
6661,2042,2,2001.0,23,No
1183,6670,59,2735.0,13,Yes
538,4072,35,2647.0,5,Yes
11641,4657,21,3679.0,28,Yes
11074,6434,1,6370.0,4,No
12826,6829,11,6078.0,22,No
28463,1283,41,757.0,30,Yes
9532,4596,3,4458.0,15,No
23277,7336,26,5429.0,5,Yes
7408,6709,51,3287.0,19,Yes
15373,2506,34,1654.0,5,Yes
12466,4466,13,3885.0,9,No
23332,6649,1,6583.0,8,No
12328,1826,14,1570.0,17,No
10444,1186,23,913.0,29,Yes
25578,3958,36,2533.0,4,Yes
6921,6008,51,2944.0,5,Yes
6070,579,12,510.0,10,No
18858,3480,20,2784.0,33,No
1141,7968,50,3984.0,21,Yes
6477,6856,20,5485.0,26,No
12,5128,45,2820.0,7,Yes
29864,3708,7,3448.0,9,No
25532,6293,19,5097.0,29,No
28865,4150,39,2532.0,38,Yes
12081,1920,5,1824.0,14,No
14856,382,44,214.0,33,Yes
29226,5271,10,4744.0,5,No
5404,7130,55,3208.0,28,Yes
18410,4712,8,4335.0,11,No
2935,6656,37,4193.0,10,Yes
23878,7764,4,7453.0,11,No
25070,5367,41,3167.0,7,Yes
5976,5837,5,5545.0,32,No
19033,923,0,923.0,3,No
23818,5079,13,4419.0,17,No
14934,1834,22,1431.0,32,Yes
15345,3418,10,3076.0,21,No
24920,726,53,341.0,17,Yes
5154,4409,19,3571.0,4,No
20954,7861,30,5503.0,6,Yes
21871,485,40,291.0,3,Yes
15995,5726,25,4294.0,27,Yes
19306,991,21,783.0,19,Yes
11702,7373,11,6562.0,18,No
10610,7148,40,4289.0,10,Yes
29023,5739,44,3214.0,19,Yes
7184,2379,21,1879.0,25,Yes
29680,4980,20,3984.0,22,No
15713,2421,16,2034.0,2,No
28031,5476,5,5202.0,21,No
4351,3267,10,2940.0,24,No
4805,338,35,220.0,39,Yes
4472,5207,22,4061.0,16,Yes
5398,3026,32,2058.0,15,Yes
12823,7101,56,3124.0,32,Yes
23737,5369,50,2684.0,6,Yes
12134,4813,12,4235.0,28,No
20687,3897,53,1832.0,5,Yes
11839,3279,10,2951.0,17,No
18140,1713,6,1610.0,6,No
13534,7816,56,3439.0,35,Yes
11884,4611,29,3274.0,8,Yes
25802,2654,21,2097.0,39,Yes
10615,530,5,504.0,22,No
9657,242,10,218.0,27,No
13387,7122,41,4202.0,11,Yes
7684,3968,3,3849.0,4,No
23662,6490,55,2920.0,31,Yes
4985,6691,53,3145.0,19,Yes
17016,4755,31,3281.0,5,Yes
5134,1678,44,940.0,18,Yes
9416,2588,6,2433.0,1,No
15692,3413,51,1672.0,20,Yes
5089,3713,12,3267.0,16,No
9327,743,24,565.0,35,Yes
14985,1475,58,620.0,15,Yes
29086,3650,4,3504.0,24,No
9121,6969,37,4390.0,29,Yes
28802,5667,33,3797.0,11,Yes
15632,4559,3,4422.0,9,No
20071,7865,44,4404.0,18,Yes
15322,1576,46,851.0,11,Yes
25185,4153,18,3405.0,2,No
19673,4451,9,4050.0,3,No
14432,2677,47,1419.0,13,Yes
23772,2410,43,1374.0,37,Yes
8053,474,42,275.0,21,Yes
4097,6380,59,2616.0,20,Yes
22813,7001,37,4411.0,1,Yes
45,2673,0,2673.0,35,No
17445,4380,8,4030.0,16,No
19926,5176,44,2899.0,27,Yes
1301,6702,57,2882.0,34,Yes
11907,3639,47,1929.0,34,Yes
5348,2118,32,1440.0,8,Yes
23111,1466,1,1451.0,39,No
23857,3457,1,3422.0,13,No
21360,3885,47,2059.0,5,Yes
4104,6755,52,3242.0,2,Yes
11378,7605,43,4335.0,30,Yes
29936,3081,23,2372.0,27,Yes
26327,3155,29,2240.0,11,Yes
27399,4874,26,3607.0,28,Yes
15320,964,43,549.0,35,Yes
26016,5317,37,3350.0,30,Yes
7997,4851,5,4608.0,22,No
25183,2262,47,1199.0,35,Yes
17353,3136,51,1537.0,15,Yes
11345,5935,33,3976.0,21,Yes
1048,6186,14,5320.0,23,No
12230,3611,12,3178.0,8,No
1770,7470,36,4781.0,4,Yes
24703,722,32,491.0,15,Yes
28244,4066,13,3537.0,23,No
28742,7284,47,3861.0,10,Yes
18345,6082,40,3649.0,8,Yes
612,7987,45,4393.0,32,Yes
1126,1781,13,1549.0,26,No
11559,6262,2,6137.0,2,No
22917,2393,13,2082.0,11,No
8080,2363,28,1701.0,1,Yes
1424,5127,8,4717.0,36,No
8434,2602,42,1509.0,18,Yes
18661,7603,17,6310.0,37,No
9398,7058,28,5082.0,21,Yes
7294,3850,47,2040.0,9,Yes
25857,361,37,227.0,32,Yes
29960,6827,14,5871.0,34,No
2097,4941,31,3409.0,25,Yes
18122,4912,5,4666.0,2,No
5271,702,32,477.0,13,Yes
29471,3203,26,2370.0,19,Yes
27061,5133,5,4876.0,33,No
22204,3652,12,3214.0,18,No
11768,1633,49,833.0,27,Yes
15651,2462,14,2117.0,18,No
17598,4208,7,3913.0,34,No
450,2499,44,1399.0,8,Yes
25147,5007,0,5007.0,16,No
26232,7771,27,5673.0,4,Yes
25447,495,41,292.0,28,Yes
5108,4687,39,2859.0,38,Yes
24691,7850,6,7379.0,17,No
7829,4080,46,2203.0,24,Yes
17183,6402,58,2689.0,12,Yes
11302,3534,3,3428.0,9,No
24617,2928,15,2489.0,31,No
27500,2882,38,1787.0,28,Yes
17227,1398,39,853.0,31,Yes
11634,7139,38,4426.0,12,Yes
26156,1503,22,1172.0,11,Yes
28619,3812,8,3507.0,17,No
2131,7804,29,5541.0,14,Yes
10867,5110,52,2453.0,23,Yes
7619,2386,34,1575.0,1,Yes
12821,5191,35,3374.0,35,Yes
26081,5886,51,2884.0,20,Yes
25001,6011,34,3967.0,1,Yes
20299,4619,29,3279.0,18,Yes
655,4401,12,3873.0,11,No
2585,6703,27,4893.0,3,Yes
2899,643,45,354.0,22,Yes
1334,3260,19,2641.0,12,No
13753,2383,26,1763.0,4,Yes
10946,6245,54,2873.0,12,Yes
26870,3567,24,2711.0,32,Yes
4383,3466,25,2600.0,11,Yes
16595,3594,45,1977.0,19,Yes
21112,7603,6,7147.0,2,No
29245,7141,54,3285.0,15,Yes
7645,4249,41,2507.0,35,Yes
8558,4332,7,4029.0,18,No
14983,4241,12,3732.0,22,No
27710,530,58,223.0,25,Yes
27044,1410,57,606.0,37,Yes
25375,6197,17,5144.0,31,No
24392,3336,40,2002.0,39,Yes
2902,1270,38,787.0,32,Yes
996,3654,10,3289.0,24,No
19745,417,15,354.0,9,No
16935,4848,19,3927.0,10,No
19334,6300,55,2835.0,36,Yes
24281,2407,5,2287.0,15,No
13641,6936,45,3815.0,36,Yes
15863,7297,10,6567.0,5,No
3196,5228,54,2405.0,15,Yes
23232,1703,17,1413.0,6,No
24930,4185,36,2678.0,8,Yes
2514,4909,54,2258.0,38,Yes
16390,2819,17,2340.0,16,No
27971,2127,24,1617.0,38,Yes
16112,5753,57,2474.0,12,Yes
13445,5622,25,4216.0,28,Yes
6893,3422,55,1540.0,27,Yes
1566,5751,54,2645.0,27,Yes
10789,1875,51,919.0,16,Yes
26089,510,4,490.0,4,No
1727,1146,8,1054.0,25,No
16483,4976,59,2040.0,14,Yes
3482,7313,57,3145.0,14,Yes
25946,2510,44,1406.0,28,Yes
18527,2630,15,2236.0,34,No
24825,6570,43,3745.0,26,Yes
22529,6442,54,2963.0,34,Yes
4270,3187,23,2454.0,17,Yes
23039,5644,42,3274.0,17,Yes
5766,7347,2,7200.0,16,No
22004,3256,48,1693.0,15,Yes
6378,1683,51,825.0,26,Yes
18153,6948,24,5280.0,23,Yes
562,6147,46,3319.0,24,Yes
5970,1998,40,1199.0,18,Yes
4843,1294,39,789.0,14,Yes
29112,1857,55,836.0,31,Yes
2315,5934,28,4272.0,17,Yes
4463,7199,55,3240.0,4,Yes
9066,6295,1,6232.0,16,No
29671,6564,2,6433.0,33,No
4962,6704,43,3821.0,8,Yes
23481,4881,21,3856.0,7,Yes
27250,7599,51,3724.0,36,Yes
26849,6715,2,6581.0,2,No
11165,2918,29,2072.0,9,Yes
14152,4893,37,3083.0,36,Yes
3589,1931,23,1487.0,24,Yes
17894,5721,1,5664.0,32,No
3422,245,12,216.0,25,No
24846,4423,27,3229.0,6,Yes
21181,1224,46,661.0,39,Yes
10223,3285,28,2365.0,10,Yes
24294,6793,5,6453.0,4,No
27142,2669,25,2002.0,30,Yes
12288,3010,40,1806.0,33,Yes
17978,1731,43,987.0,23,Yes
14791,2350,23,1810.0,33,Yes
18887,1726,45,949.0,22,Yes
22097,7489,13,6515.0,14,No
3770,6317,14,5433.0,29,No
27858,5419,14,4660.0,21,No
13896,2987,53,1404.0,6,Yes
10503,3476,24,2642.0,27,Yes
28097,7404,29,5257.0,26,Yes
24167,5541,55,2493.0,3,Yes
11217,7764,30,5435.0,26,Yes
18609,4256,46,2298.0,35,Yes
2888,6818,25,5114.0,39,Yes
3771,4060,13,3532.0,21,No
12400,6938,45,3816.0,5,Yes
12942,5842,19,4732.0,3,No
25955,2420,38,1500.0,7,Yes
29818,1499,49,764.0,31,Yes
23587,5097,12,4485.0,17,No
18989,6423,54,2955.0,9,Yes
17692,2486,53,1168.0,16,Yes
23103,7154,56,3148.0,10,Yes
16484,2238,38,1388.0,38,Yes
22971,1973,55,888.0,11,Yes
13326,7326,18,6007.0,7,No
7122,5673,5,5389.0,27,No
2716,5175,54,2380.0,35,Yes
4823,5198,44,2911.0,36,Yes
10026,6449,6,6062.0,37,No
24971,4709,10,4238.0,18,No
14781,7783,1,7705.0,22,No
4546,7238,35,4705.0,18,Yes
21147,4101,47,2174.0,13,Yes
23386,7018,44,3930.0,10,Yes
9837,7953,18,6521.0,26,No
12963,4062,10,3656.0,1,No
5188,5132,7,4773.0,17,No
20038,7816,54,3595.0,7,Yes
7072,5479,27,4000.0,15,Yes
14894,5715,10,5144.0,32,No
27709,3312,21,2616.0,8,Yes
13044,6235,59,2556.0,23,Yes
29156,7356,27,5370.0,26,Yes
944,3490,59,1431.0,1,Yes
23593,3043,26,2252.0,5,Yes
28645,5710,55,2569.0,18,Yes
21592,4419,23,3403.0,21,Yes
2265,1071,40,643.0,25,Yes
14793,6496,41,3833.0,18,Yes
17368,749,15,637.0,3,No
3834,7906,36,5060.0,36,Yes
28172,6261,24,4758.0,22,Yes
25947,1128,39,688.0,26,Yes
997,2974,13,2587.0,10,No
10560,5441,8,5006.0,32,No
2339,390,37,246.0,9,Yes
19830,5951,18,4880.0,27,No
22753,4403,17,3654.0,34,No
3643,5411,30,3788.0,15,Yes
5889,774,16,650.0,29,No
19891,6790,58,2852.0,26,Yes
23264,1967,28,1416.0,15,Yes
13245,4465,54,2054.0,16,Yes
10435,3152,55,1418.0,23,Yes
15991,6409,47,3397.0,25,Yes
28335,1489,8,1370.0,15,No
2240,6996,5,6646.0,35,No
10449,5552,15,4719.0,9,No
6249,1351,4,1297.0,34,No
20352,6555,45,3605.0,20,Yes
14571,5674,22,4426.0,7,Yes
17919,4999,20,3999.0,11,No
8612,1090,39,665.0,7,Yes
23271,3083,45,1696.0,8,Yes
11385,404,15,343.0,37,No
14505,475,18,390.0,32,No
24712,2620,27,1913.0,14,Yes
3220,3358,21,2653.0,29,Yes
27456,5281,37,3327.0,32,Yes
10235,1076,19,872.0,15,No
20090,1406,8,1294.0,19,No
1325,624,28,449.0,37,Yes
20380,7944,19,6435.0,3,No
1318,1509,59,619.0,36,Yes
24473,7610,47,4033.0,27,Yes
2802,1368,48,711.0,7,Yes
26487,4799,47,2543.0,32,Yes
3263,7422,21,5863.0,24,Yes
10724,7032,6,6610.0,37,No
2468,6514,10,5863.0,24,No
18012,4595,42,2665.0,3,Yes
6106,5898,5,5603.0,2,No
26572,1616,48,840.0,17,Yes
13217,6052,41,3571.0,29,Yes
28525,7096,49,3619.0,18,Yes
24736,7185,11,6395.0,2,No
24390,275,50,138.0,12,Yes
8187,5996,3,5816.0,30,No
2882,7779,9,7079.0,10,No
3904,5809,0,5809.0,22,No
29841,7660,14,6588.0,22,No
13023,4268,36,2732.0,8,Yes
26645,2732,38,1694.0,18,Yes
3223,6136,35,3988.0,9,Yes
9066,4062,6,3818.0,38,No
25660,6805,48,3539.0,17,Yes
13003,2484,8,2285.0,36,No
29195,632,49,322.0,10,Yes
22080,3951,12,3477.0,34,No
4458,2563,27,1871.0,4,Yes
13330,1585,54,729.0,37,Yes
27145,2571,42,1491.0,37,Yes
22923,6059,11,5393.0,27,No
20393,5439,54,2502.0,12,Yes
23686,7185,39,4383.0,6,Yes
17654,1717,57,738.0,15,Yes
13662,843,55,379.0,5,Yes
9172,2268,35,1474.0,24,Yes
12058,6825,17,5665.0,36,No
7812,5459,42,3166.0,15,Yes
4821,1077,34,711.0,18,Yes
8351,6208,53,2918.0,12,Yes
17150,7033,48,3657.0,20,Yes
26970,245,42,142.0,6,Yes
7528,5441,57,2340.0,23,Yes
21060,7774,33,5209.0,10,Yes
16782,6026,8,5544.0,12,No
2330,2520,44,1411.0,37,Yes
10881,7330,49,3738.0,8,Yes
19726,1961,7,1824.0,35,No
11095,4539,50,2270.0,7,Yes
29602,1125,54,518.0,22,Yes
24084,5615,1,5559.0,18,No
3649,1879,31,1297.0,19,Yes
21623,5214,17,4328.0,33,No
6570,4235,17,3515.0,9,No
24069,5754,4,5524.0,35,No
13647,2781,17,2308.0,22,No
24806,6865,8,6316.0,10,No
2857,7240,6,6806.0,17,No
2639,7261,13,6317.0,39,No
13135,6162,9,5607.0,29,No
21206,975,25,731.0,37,Yes
3357,2166,47,1148.0,38,Yes
15027,6961,22,5430.0,14,Yes
24806,5765,58,2421.0,37,Yes
21848,3130,16,2629.0,29,No
26664,6488,23,4996.0,4,Yes
6899,5721,31,3947.0,28,Yes
4603,310,25,232.0,32,Yes
29865,2646,39,1614.0,21,Yes
20500,569,30,398.0,3,Yes
10382,922,9,839.0,25,No
1995,927,19,751.0,31,No
19572,5066,39,3090.0,21,Yes
6178,6938,1,6869.0,13,No
15765,1034,30,724.0,3,Yes
531,5599,43,3191.0,13,Yes
1842,7623,54,3507.0,23,Yes
20501,4468,2,4379.0,1,No
20061,2848,19,2307.0,26,No
19575,359,37,226.0,28,Yes
16304,3239,33,2170.0,9,Yes
29987,2609,33,1748.0,27,Yes
10252,3168,55,1426.0,5,Yes
8917,1009,24,767.0,2,Yes
22927,313,1,310.0,29,No
7494,2681,49,1367.0,25,Yes
8104,5630,37,3547.0,8,Yes
3611,6937,54,3191.0,22,Yes
1664,6571,27,4797.0,17,Yes
15358,5989,17,4971.0,2,No
13166,5778,2,5662.0,39,No
17177,2111,34,1393.0,29,Yes
1476,5915,17,4909.0,39,No
20981,4425,3,4292.0,17,No
23266,1837,28,1323.0,39,Yes
19695,3304,3,3205.0,17,No
18925,4667,39,2847.0,36,Yes
22763,1991,0,1991.0,22,No
9958,7936,4,7619.0,3,No
15555,4827,45,2655.0,36,Yes
3977,4067,21,3213.0,23,Yes
4426,3231,0,3231.0,7,No
28012,4222,9,3842.0,32,No
17368,3106,41,1833.0,18,Yes
15851,1484,44,831.0,39,Yes
21959,2527,7,2350.0,23,No
18574,910,0,910.0,11,No
8619,6477,55,2915.0,18,Yes
18830,1100,54,506.0,16,Yes
27161,3884,57,1670.0,6,Yes
11956,7564,14,6505.0,7,No
25579,5739,15,4878.0,13,No
4035,3253,48,1692.0,2,Yes
4856,5550,27,4052.0,16,Yes
28511,7169,54,3298.0,11,Yes
16918,5120,27,3738.0,38,Yes
17859,3690,25,2768.0,34,Yes
14933,7428,36,4754.0,35,Yes
23764,7328,58,3078.0,13,Yes
23028,1521,53,715.0,8,Yes
26668,1180,50,590.0,37,Yes
608,856,2,839.0,37,No
21655,4704,3,4563.0,39,No
21480,898,8,826.0,23,No
14678,7861,45,4324.0,14,Yes
913,6081,55,2736.0,18,Yes
12316,4733,59,1941.0,17,Yes
17988,5066,39,3090.0,28,Yes
6009,4386,24,3333.0,32,Yes
15330,3637,28,2619.0,28,Yes
13239,6388,22,4983.0,18,Yes
17111,203,37,128.0,13,Yes
5364,716,24,544.0,11,Yes
18078,7859,13,6837.0,24,No
3885,7532,3,7306.0,19,No
18536,6287,49,3206.0,30,Yes
26068,3963,38,2457.0,16,Yes
14633,2863,9,2605.0,23,No
2181,4763,8,4382.0,10,No
14583,2695,58,1132.0,12,Yes
18410,5380,38,3336.0,14,Yes
21216,4725,26,3496.0,36,Yes
7694,1709,19,1384.0,3,No
28647,6869,23,5289.0,25,Yes
26841,3411,40,2047.0,22,Yes
7745,2187,28,1575.0,6,Yes
23315,4245,15,3608.0,9,No
29517,6478,19,5247.0,14,No
5953,7745,4,7435.0,22,No
23977,2604,1,2578.0,27,No
25556,2178,2,2134.0,8,No
26164,4799,38,2975.0,3,Yes
11936,4489,36,2873.0,39,Yes
16851,4110,38,2548.0,36,Yes
6755,6980,2,6840.0,12,No
10467,2511,55,1130.0,8,Yes
19737,2538,25,1904.0,32,Yes
9918,1864,52,895.0,16,Yes
26359,282,49,144.0,11,Yes
29967,1334,11,1187.0,36,No
7243,1214,4,1165.0,4,No
13215,373,16,313.0,22,No
6364,5401,52,2592.0,23,Yes
12997,6396,50,3198.0,39,Yes
6623,5994,28,4316.0,18,Yes
29116,4371,47,2317.0,5,Yes
19549,5111,8,4702.0,23,No
28705,3834,9,3489.0,21,No
17740,4574,47,2424.0,1,Yes
20345,6418,6,6033.0,27,No
2380,351,47,186.0,32,Yes
12688,2285,19,1851.0,35,No
16063,6214,41,3666.0,30,Yes
29729,7603,6,7147.0,34,No
13269,5511,44,3086.0,29,Yes
6619,3857,41,2276.0,39,Yes
12001,4173,36,2671.0,19,Yes
19827,5649,28,4067.0,29,Yes
17087,7658,10,6892.0,30,No
7266,6903,35,4487.0,26,Yes
6030,4527,3,4391.0,33,No
12815,1930,2,1891.0,5,No
16148,1540,7,1432.0,39,No
11707,6111,6,5744.0,10,No
24368,7396,24,5621.0,10,Yes
503,4435,16,3725.0,33,No
26573,3077,58,1292.0,7,Yes
10145,1224,0,1224.0,5,No
29554,1620,15,1377.0,9,No
10839,4504,36,2883.0,18,Yes
27223,1199,17,995.0,8,No
1945,210,18,172.0,33,No
27384,3259,8,2998.0,31,No
11172,6187,29,4393.0,27,Yes
27444,1324,0,1324.0,37,No
25776,4732,50,2366.0,27,Yes
21930,3622,25,2716.0,28,Yes
2298,6018,24,4574.0,7,Yes
11520,5962,30,4173.0,26,Yes
2449,2186,40,1312.0,5,Yes
16299,5164,47,2737.0,5,Yes
18303,3731,3,3619.0,31,No
23649,7018,7,6527.0,17,No
4323,2204,46,1190.0,3,Yes
24435,2256,24,1715.0,34,Yes
3185,4643,31,3204.0,31,Yes
20845,5573,45,3065.0,17,Yes
13031,1119,57,481.0,21,Yes
8024,4542,56,1998.0,34,Yes
5664,3552,8,3268.0,7,No
9030,1077,33,722.0,3,Yes
16582,6508,56,2864.0,11,Yes
29613,7577,43,4319.0,4,Yes
15929,2748,27,2006.0,15,Yes
3786,3935,52,1889.0,39,Yes
6629,7252,7,6744.0,31,No
23845,7692,51,3769.0,31,Yes
23699,3443,38,2135.0,37,Yes
367,7308,51,3581.0,28,Yes
15966,1506,10,1355.0,7,No
19552,2955,50,1478.0,37,Yes
10320,1362,44,763.0,7,Yes
8706,5447,20,4358.0,6,No
7847,3275,51,1605.0,36,Yes
9148,6800,6,6392.0,3,No
7252,5008,28,3606.0,19,Yes
12731,2161,4,2075.0,6,No
24980,7043,8,6480.0,3,No
28288,5513,51,2701.0,1,Yes
29510,818,17,679.0,7,No
8841,3813,58,1601.0,26,Yes
5508,1454,0,1454.0,22,No
22749,4641,37,2924.0,15,Yes
3989,454,53,213.0,14,Yes
17808,1090,46,589.0,33,Yes
7771,7866,31,5428.0,22,Yes
13072,6152,13,5352.0,7,No
27005,5935,15,5045.0,19,No
24897,231,7,215.0,29,No
25636,6973,43,3975.0,18,Yes
21916,5122,33,3432.0,5,Yes
7520,7116,56,3131.0,9,Yes
13270,2295,45,1262.0,32,Yes
2923,7661,56,3371.0,21,Yes
24361,5145,9,4682.0,16,No
15549,3589,9,3266.0,22,No
21819,5629,32,3828.0,21,Yes
26676,6075,1,6014.0,31,No
