warehouse_id,orders_processed,avg_picking_time_minutes,labor_utilization_percent,efficiency_rating
150,7847,29,71,Low
67,5506,5,61,Low
77,2618,31,89,High
5,1898,30,62,High
196,956,37,97,Low
71,2791,10,70,Low
28,7662,34,65,Low
72,1720,6,55,High
109,3938,23,93,Low
174,322,33,68,High
45,709,10,54,High
48,6138,32,77,High
81,1883,16,92,High
167,3664,6,61,High
178,3653,27,96,Low
176,3938,26,81,Low
171,1025,9,98,Low
182,6901,5,70,Low
166,6696,30,93,High
51,210,24,79,Low
159,6799,5,92,Low
112,5218,20,74,High
79,2699,24,91,High
49,7476,8,72,Low
87,2218,5,93,High
9,7894,27,95,Low
117,3726,29,90,High
127,7886,6,99,High
182,5857,11,54,Low
72,1768,33,52,Low
84,3229,14,87,High
122,5300,8,59,Low
3,1526,11,65,Low
47,817,32,59,Low
44,4394,29,84,High
154,4087,19,71,Low
44,7553,33,60,High
38,7164,22,86,Low
67,6014,7,59,Low
188,7489,30,78,High
173,6321,27,60,High
104,4196,30,63,High
160,3265,19,93,High
40,1942,27,93,High
58,2136,24,53,Low
125,2477,34,76,Low
89,3788,12,64,Low
144,7073,35,61,High
70,2789,29,61,Low
130,2679,21,95,Low
175,2663,37,73,High
164,5245,11,53,Low
125,7219,38,96,High
41,1042,29,73,Low
111,5382,11,83,High
199,5834,24,76,Low
104,4905,29,81,Low
194,7917,37,77,Low
119,5426,23,92,Low
108,7995,5,53,Low
37,2800,31,83,High
174,6700,24,73,Low
49,1072,39,98,High
184,4553,5,63,Low
7,6337,31,51,Low
113,6653,16,86,High
168,3240,29,99,High
8,1894,27,74,Low
57,6960,7,63,High
181,4600,37,70,High
191,6293,39,87,High
34,1332,24,73,Low
83,7638,22,53,Low
175,6158,8,93,High
34,4682,29,61,High
122,3960,30,82,Low
16,1777,18,95,Low
75,306,6,74,High
155,3602,5,95,High
59,2626,18,97,Low
44,6165,14,59,High
79,7707,12,82,Low
31,3046,29,56,High
74,1507,20,65,Low
133,6240,12,92,High
181,4244,12,59,Low
31,2313,27,62,High
37,3830,30,78,Low
150,7112,15,77,High
22,4060,6,80,Low
165,3193,10,60,High
115,3659,19,71,High
91,659,28,62,High
42,7443,7,68,High
20,2821,6,74,Low
8,363,22,96,Low
64,1937,38,68,Low
148,5922,22,54,Low
138,5609,17,64,High
192,3846,39,89,Low
81,5676,20,70,High
117,5190,26,74,Low
100,3159,5,55,Low
179,7754,39,90,High
194,6108,13,60,High
46,513,6,87,High
114,4568,28,95,High
21,4970,39,74,High
36,297,22,54,High
117,262,38,71,High
138,7235,33,61,High
35,4080,37,99,Low
130,5631,22,51,Low
80,5737,18,84,Low
40,7567,28,66,Low
67,5138,5,95,High
198,4262,23,96,Low
48,1383,11,65,Low
55,2666,36,85,Low
7,4014,32,69,Low
7,6591,7,75,Low
61,6597,15,83,Low
128,3676,39,53,Low
188,7214,15,67,High
86,6622,17,65,Low
43,4433,13,87,Low
147,1682,31,97,Low
33,7904,18,63,High
114,2901,37,88,Low
39,4027,24,66,High
86,2853,17,88,High
136,6884,34,97,Low
25,6203,20,58,Low
178,1966,20,87,High
134,108,14,78,High
188,4538,13,88,Low
44,3865,11,67,High
66,5107,38,85,Low
157,5500,18,68,Low
135,7837,28,83,Low
24,5354,37,88,High
36,453,16,90,Low
76,4399,13,66,Low
96,3705,19,59,Low
80,3280,24,82,High
147,5083,39,65,Low
42,200,24,70,High
192,984,5,95,High
181,1081,23,57,Low
10,4220,14,62,Low
21,4515,23,83,High
187,5612,14,57,Low
113,2217,13,74,Low
128,5675,34,72,High
152,6105,19,81,High
30,3841,36,65,Low
45,1348,14,78,High
178,4712,26,96,High
101,2429,6,98,High
100,3588,38,56,Low
136,5993,5,91,High
147,1366,38,56,Low
45,2143,20,99,Low
162,6243,23,69,High
22,4746,25,64,Low
111,2086,29,73,High
162,4104,35,96,High
154,1167,10,66,High
132,4058,30,86,Low
132,4692,13,86,High
74,5294,39,68,Low
113,2288,30,68,High
162,2007,24,74,Low
117,7494,37,67,High
135,3859,7,99,Low
21,7156,7,57,High
162,3935,12,82,Low
163,3528,22,77,Low
184,2836,8,85,Low
95,1928,14,50,Low
124,4912,10,99,High
57,817,25,73,High
152,6820,23,95,Low
153,2647,29,74,High
43,6950,16,76,Low
168,7248,6,67,Low
30,7532,6,90,High
90,6364,11,64,Low
152,3775,15,70,Low
78,5991,15,87,Low
141,3041,25,53,Low
46,4059,9,66,Low
123,7056,6,66,Low
91,3243,35,87,Low
135,3521,31,91,High
20,4542,38,59,Low
11,6419,18,59,Low
48,2785,24,52,Low
16,1436,22,90,High
100,471,36,71,Low
127,3280,29,76,High
74,5701,20,95,High
162,7097,33,75,Low
22,668,10,50,High
110,5710,32,94,High
11,4028,5,51,Low
109,3574,28,95,Low
118,5446,20,71,High
94,6980,16,67,High
185,803,26,86,High
7,7990,29,89,Low
177,2925,35,88,Low
61,1906,16,67,Low
113,2999,39,91,Low
34,7891,39,76,Low
40,951,10,54,High
82,4734,39,98,Low
72,5168,28,81,Low
134,4954,23,99,High
131,7445,34,78,Low
188,6487,22,98,High
101,5451,26,63,Low
13,4981,36,79,High
146,4958,20,94,Low
198,7439,21,84,Low
94,721,26,92,Low
95,5175,31,99,High
106,571,13,92,Low
24,155,25,72,Low
108,3320,30,51,High
102,3007,26,55,High
68,1556,38,94,Low
87,2754,8,56,Low
183,6553,28,57,Low
4,1142,16,66,High
112,4659,29,86,Low
60,2508,34,74,Low
199,777,35,52,Low
197,6548,21,59,Low
131,7762,24,63,Low
191,7290,27,54,High
43,4183,32,68,High
173,7961,34,94,High
72,4397,38,75,Low
69,5304,29,56,High
75,3163,38,79,Low
121,7558,24,88,High
21,3021,31,88,High
149,6482,8,90,Low
37,1214,16,63,High
62,2747,23,97,Low
17,3053,26,62,High
175,3933,35,96,High
2,930,5,55,High
147,7096,23,79,Low
74,4936,21,93,High
37,6991,27,59,High
121,2298,30,50,Low
191,3218,8,84,High
192,4468,31,95,Low
140,651,23,95,High
90,3157,13,80,High
80,205,20,60,Low
197,3817,31,95,Low
199,4831,29,69,Low
105,4310,25,74,Low
124,1755,20,84,High
39,2932,9,89,High
192,7744,26,54,Low
116,4541,38,91,High
181,3562,13,88,Low
119,5969,29,84,Low
41,2178,17,99,Low
56,7332,32,73,High
165,7266,18,73,Low
70,4087,9,77,Low
188,7355,21,84,High
3,4066,15,50,High
160,1157,20,59,Low
191,7839,18,87,Low
151,5901,9,75,High
107,4731,12,88,Low
34,4120,5,56,Low
80,2034,14,64,Low
130,4249,22,81,High
172,2953,32,89,Low
100,5420,15,84,High
185,7491,20,52,Low
126,7964,13,73,High
139,1437,29,52,High
155,6362,21,88,Low
9,566,5,84,Low
154,4327,38,62,High
185,732,29,80,Low
161,2692,13,56,Low
129,464,6,86,High
52,2058,10,65,Low
50,5253,22,95,Low
160,7349,5,86,Low
75,3043,20,51,High
107,5700,31,54,Low
126,6689,29,71,Low
82,5279,35,97,Low
21,3950,8,71,High
176,7493,24,84,High
165,4932,6,62,High
144,7785,23,88,High
152,905,29,81,Low
113,2592,25,73,Low
124,3282,39,67,Low
95,7973,14,76,High
87,824,12,96,High
65,3259,26,62,Low
36,3453,17,89,High
193,3834,12,76,Low
113,5584,33,83,High
34,5207,33,93,High
196,7834,8,58,High
125,7410,5,80,Low
133,4501,25,86,High
124,6620,5,74,Low
146,5284,10,99,Low
47,3040,17,81,Low
137,5815,10,75,Low
149,4988,27,87,High
135,1704,18,91,Low
47,5047,25,93,Low
21,5550,15,88,Low
174,1464,28,69,Low
188,5310,21,91,High
178,5881,38,58,High
101,3836,8,87,Low
76,6773,38,95,Low
126,1303,5,61,Low
150,5566,9,69,High
159,4979,18,60,High
80,1498,9,76,Low
28,927,14,62,Low
169,2638,36,50,Low
153,2358,21,92,Low
23,1873,39,90,High
137,7863,27,63,Low
190,7632,12,50,Low
169,4062,14,85,Low
51,2508,11,80,High
162,7982,25,61,High
185,2411,13,70,Low
139,1271,10,55,Low
102,5490,35,50,Low
100,5476,23,68,Low
137,4644,31,97,Low
13,1834,7,62,Low
154,7005,12,87,High
56,1982,13,82,Low
146,1673,38,74,Low
183,2403,32,83,High
179,4177,39,94,Low
98,7707,31,64,Low
119,4374,27,76,High
156,2476,34,65,High
73,4777,24,76,Low
32,847,10,55,Low
45,729,15,68,Low
196,4845,15,69,High
11,4533,28,70,Low
80,332,11,91,High
44,5442,38,52,High
99,4074,24,62,High
22,4657,35,77,High
183,4435,9,67,Low
86,1219,6,85,High
66,2906,11,87,Low
29,3374,37,67,High
186,6873,39,61,High
75,690,11,58,Low
184,158,19,53,Low
22,3520,37,78,Low
82,2705,31,60,Low
81,2474,29,96,High
150,7767,31,94,Low
164,7733,11,62,High
140,589,30,75,Low
65,3603,37,52,High
55,6189,10,83,Low
87,540,38,90,High
165,4365,24,54,Low
104,2699,34,56,Low
74,2584,32,51,High
184,4670,20,72,High
142,4663,10,85,High
28,5517,36,89,Low
123,7967,29,64,High
104,4367,28,91,High
43,7853,35,81,Low
162,3103,16,70,Low
130,7920,6,69,Low
190,4709,33,63,Low
84,7639,6,57,Low
76,3255,9,62,Low
138,6450,16,69,Low
78,2993,20,77,Low
61,1598,15,94,Low
60,5484,15,83,High
103,1427,5,57,Low
144,7222,26,62,Low
79,336,31,91,Low
30,6703,6,74,Low
37,6038,33,54,Low
75,4871,10,77,Low
89,4044,26,84,Low
132,729,32,69,High
162,2950,23,91,High
105,4458,8,84,High
64,5881,37,87,Low
49,706,28,82,High
24,4211,6,82,Low
160,4338,11,87,High
180,1530,6,94,High
31,6287,8,98,Low
191,4432,36,97,Low
101,1374,11,95,Low
90,6961,26,82,High
77,6043,36,64,High
71,5323,9,95,Low
148,1791,22,63,Low
43,137,9,95,Low
111,4389,37,62,Low
88,3035,14,51,Low
62,4748,33,54,Low
133,1647,6,73,Low
62,2253,21,54,Low
54,5941,26,96,High
115,1307,27,88,High
135,5263,11,60,High
175,765,37,57,High
14,7248,23,71,Low
35,4280,27,95,Low
116,3834,21,51,High
113,2049,17,69,High
121,401,23,53,Low
62,6238,5,80,Low
183,4975,31,62,Low
119,3069,18,82,High
74,6461,6,69,High
108,3762,17,53,Low
129,6487,26,50,High
88,1981,35,58,High
153,1905,33,98,High
15,3410,14,59,High
90,4918,32,57,Low
187,736,22,58,High
164,2391,36,99,High
24,7642,25,50,Low
51,200,36,55,Low
5,2364,35,67,Low
111,3715,26,89,High
80,3187,32,54,Low
72,6036,21,69,High
19,3271,39,59,High
125,2441,8,53,Low
68,1777,25,63,High
31,2757,6,56,Low
85,3038,20,55,Low
83,202,17,72,High
5,3176,5,79,Low
13,2099,33,73,High
199,7648,7,60,High
5,2448,16,90,High
93,6207,30,78,High
160,4791,10,58,High
70,2622,18,57,High
94,231,18,77,High
32,6554,19,65,Low
114,1087,8,94,High
143,6029,30,78,Low
12,4490,6,74,High
127,3592,38,80,Low
109,3636,21,60,Low
118,5911,32,58,Low
142,3742,13,79,High
10,3521,39,88,Low
190,3715,21,51,High
164,5281,16,81,High
75,7197,11,82,Low
123,2402,18,63,Low
76,1450,28,77,Low
186,1467,39,95,High
138,2121,27,68,Low
2,5137,16,79,Low
50,6452,39,93,High
175,7744,36,92,Low
169,163,21,96,Low
179,784,31,60,High
174,280,17,95,Low
33,5276,33,70,Low
167,7107,29,93,Low
74,6042,11,58,High
108,6953,20,66,Low
23,4249,5,68,High
15,2485,9,98,Low
89,5982,25,90,High
112,1903,33,83,High
56,6039,34,73,High
197,665,8,98,Low
151,6715,23,89,Low
146,5949,23,66,Low
168,7535,12,90,High
126,6408,14,69,High
120,3897,20,76,Low
72,2305,16,54,High
120,3232,14,94,Low
124,1832,20,64,Low
32,7546,37,95,High
4,2251,7,55,Low
170,2073,25,65,Low
193,5909,27,56,High
90,4100,18,72,Low
142,488,26,51,High
57,1850,36,57,High
38,577,31,50,High
41,6643,35,51,High
73,828,11,72,High
149,5667,29,65,High
132,6444,21,78,Low
60,6107,22,94,High
175,3691,25,54,High
113,4310,29,88,Low
123,4528,32,87,High
142,7079,36,69,Low
88,421,25,92,Low
75,3879,24,98,High
54,3454,22,69,High
128,6821,22,81,High
55,7823,7,86,High
64,7783,12,64,Low
199,5610,35,98,Low
103,3227,28,89,Low
80,5759,15,79,Low
102,2358,23,66,High
63,4673,12,55,Low
178,6868,27,72,Low
141,706,9,66,Low
113,984,25,71,Low
135,884,20,93,High
189,4504,39,53,High
29,4003,8,80,High
75,2363,35,72,Low
68,5139,24,90,High
37,4002,14,89,Low
132,7260,13,91,Low
116,2784,29,86,High
167,3281,29,67,High
36,2595,23,96,High
102,6161,18,86,High
149,5383,17,73,High
45,6220,37,70,High
102,3842,19,87,High
92,3611,39,83,High
173,7087,27,75,High
113,4855,11,88,Low
109,4022,7,90,High
111,5453,31,89,High
191,3341,37,59,Low
33,5694,11,53,High
170,4613,22,54,High
62,4920,35,56,High
14,2777,19,61,High
72,3732,29,64,Low
23,4871,15,71,Low
4,2398,26,63,Low
58,4599,28,65,High
145,3852,24,57,High
74,1706,23,86,High
51,6523,16,51,Low
179,7291,27,81,High
68,7444,8,87,High
95,3970,29,71,Low
97,4445,31,82,High
133,6454,16,55,Low
150,7126,16,78,Low
188,4412,30,84,High
115,138,27,58,Low
49,6937,14,78,High
29,1801,33,57,High
31,3036,33,87,Low
111,3665,29,51,Low
101,6907,24,97,Low
18,1417,6,73,High
8,3666,20,79,High
199,7496,29,58,Low
55,7889,17,57,Low
94,332,5,93,Low
22,2464,17,65,High
175,4865,11,54,Low
114,5754,22,79,Low
112,7708,28,56,Low
64,3338,6,87,Low
28,986,8,63,Low
133,6091,19,77,Low
28,5446,26,96,High
118,3707,28,98,Low
56,2544,39,70,Low
178,158,11,52,High
79,1468,26,94,Low
164,4477,18,95,High
93,5084,32,97,Low
70,7701,19,95,High
169,605,35,58,High
46,2594,22,58,Low
140,1752,30,78,Low
45,7771,27,71,Low
30,5019,39,68,Low
184,1418,32,93,Low
105,3222,12,97,Low
70,3947,14,73,Low
31,4087,28,71,High
147,2183,15,68,High
130,6121,38,78,Low
151,5960,28,99,High
28,5710,28,67,Low
20,3154,22,76,Low
91,3298,13,77,Low
138,6190,8,69,Low
69,2896,38,87,High
39,6439,32,61,Low
56,5788,9,54,Low
24,6373,28,93,Low
113,1447,21,99,Low
63,3416,19,90,Low
166,4405,6,63,High
28,443,37,53,High
133,547,12,82,High
2,3072,19,50,High
138,1458,21,92,High
149,2253,27,69,High
110,5277,18,87,High
28,588,25,59,Low
47,3057,20,78,Low
187,3157,16,92,Low
154,2990,12,64,Low
199,4189,33,64,Low
80,6507,13,67,High
194,7476,16,76,High
104,1050,38,92,Low
77,7783,9,56,Low
86,6434,24,93,High
12,6769,19,84,Low
47,7428,33,99,Low
87,4334,19,95,Low
168,477,5,55,Low
127,3611,17,98,High
140,3628,23,77,Low
100,6178,21,71,Low
189,5312,22,63,High
64,4061,9,69,Low
58,1280,33,82,Low
159,6044,5,51,High
193,330,9,95,Low
190,4035,34,50,High
114,3626,21,88,High
120,4681,33,68,Low
90,6098,20,77,High
85,3836,25,89,Low
16,2894,22,72,High
95,3091,6,62,High
157,927,30,51,Low
23,1958,13,59,High
146,2038,34,53,High
50,3946,12,64,High
169,3842,29,63,High
93,4647,19,64,High
110,1797,37,77,Low
170,1807,36,86,Low
3,4862,7,84,High
115,7064,10,56,Low
57,7479,10,75,Low
72,2371,8,72,Low
158,5593,13,89,Low
139,2384,38,64,Low
156,7841,26,64,Low
101,2350,38,97,Low
50,4489,23,76,Low
176,867,22,54,Low
99,5808,17,98,High
74,711,8,78,High
126,1282,11,74,High
70,3840,29,89,High
33,6577,22,99,High
40,2368,21,50,High
91,4514,10,51,Low
32,2517,21,60,Low
11,4037,5,80,High
33,7057,25,62,High
73,7529,32,62,Low
22,3005,24,78,High
48,5669,31,81,Low
29,1439,11,88,Low
185,4759,23,69,High
67,4885,23,57,Low
79,1615,18,92,Low
184,5922,30,87,Low
29,3614,20,91,High
65,2209,13,54,Low
135,7230,28,92,Low
178,7664,32,65,Low
62,3705,19,99,Low
65,2832,32,92,High
122,4790,20,65,Low
140,3977,18,62,Low
5,5262,31,70,Low
55,6831,15,63,Low
128,6020,14,63,Low
160,6512,20,85,High
191,4962,24,64,Low
189,4490,36,72,Low
52,6950,6,54,Low
49,3941,12,55,Low
66,7984,10,82,Low
197,7782,28,97,Low
45,5573,20,66,High
194,6925,11,98,High
196,2623,34,51,High
20,3344,37,56,Low
123,5564,33,77,High
190,6834,14,56,High
69,5512,17,71,High
155,6212,33,84,High
7,5586,9,83,Low
193,5068,26,59,Low
167,887,5,90,High
52,6471,15,80,Low
133,3856,14,89,Low
28,2785,21,71,Low
30,4514,27,89,Low
126,580,11,99,High
198,6883,34,96,Low
134,669,34,55,Low
185,2600,19,77,Low
164,2084,29,86,Low
1,1642,23,62,Low
181,5871,9,51,High
1,5979,31,82,Low
184,1178,19,75,Low
