product_id,warehouse_id,current_stock,reorder_level,stock_status,last_updated
14383,117,301,177,Sufficient,2024-10-31 02:43:02
5909,71,960,205,Sufficient,2022-08-18 03:42:14
29378,113,354,207,Sufficient,2019-08-03 01:42:36
3305,160,726,103,Sufficient,2023-12-28 12:30:23
21371,61,97,244,Reorder,2018-10-28 01:49:54
27644,80,585,285,Sufficient,2019-04-23 18:57:01
7368,193,687,279,Sufficient,2020-11-24 23:36:28
22818,34,811,231,Sufficient,2020-07-08 12:50:00
15578,139,386,241,Sufficient,2018-09-23 04:03:48
9525,50,656,207,Sufficient,2019-04-25 20:12:47
6779,145,996,132,Sufficient,2024-11-07 06:38:11
28045,61,848,250,Sufficient,2024-03-31 12:08:56
18569,94,374,283,Sufficient,2019-06-29 07:24:35
13719,83,981,138,Sufficient,2023-05-29 14:09:15
15709,46,926,139,Sufficient,2024-07-06 10:43:54
9423,163,597,114,Sufficient,2024-04-19 21:06:02
28798,123,66,271,Reorder,2019-06-11 15:14:00
19650,87,510,208,Sufficient,2021-12-05 06:13:21
11621,131,6,260,Reorder,2019-07-17 15:00:15
11485,188,816,286,Sufficient,2020-12-20 21:30:22
8945,153,275,144,Sufficient,2024-01-09 01:30:23
27220,59,613,154,Sufficient,2020-11-09 15:32:57
1681,120,588,196,Sufficient,2022-04-26 02:48:11
1897,4,441,177,Sufficient,2018-01-22 21:48:36
7098,169,777,242,Sufficient,2019-06-07 06:59:24
13943,179,914,298,Sufficient,2020-06-09 23:13:57
18317,58,894,277,Sufficient,2024-02-22 14:21:50
14842,133,943,180,Sufficient,2023-04-12 22:17:07
6269,154,169,200,Reorder,2021-03-23 00:47:25
29234,19,99,284,Reorder,2021-09-01 09:58:44
10053,62,354,153,Sufficient,2021-05-29 15:15:38
1551,3,543,189,Sufficient,2020-05-16 00:15:22
4374,143,85,102,Reorder,2022-09-02 18:52:23
13912,96,747,272,Sufficient,2021-03-24 07:14:38
25967,24,243,238,Sufficient,2024-08-26 19:19:25
29907,171,300,294,Sufficient,2023-02-26 00:49:17
18340,77,141,154,Reorder,2022-10-02 01:33:16
13998,22,410,123,Sufficient,2024-06-24 02:39:41
17778,44,822,134,Sufficient,2022-05-09 19:10:30
1792,5,130,105,Sufficient,2024-10-17 03:20:28
5979,26,696,273,Sufficient,2018-10-22 13:35:03
11450,176,490,203,Sufficient,2020-01-22 02:26:37
3951,117,109,212,Reorder,2019-01-21 16:32:16
13523,127,642,266,Sufficient,2021-06-04 06:26:32
22747,42,504,277,Sufficient,2019-03-10 11:33:07
13465,102,30,235,Reorder,2018-06-13 19:13:24
4981,15,106,213,Reorder,2022-04-26 08:48:08
5776,66,774,238,Sufficient,2020-05-06 10:42:46
6468,122,409,149,Sufficient,2021-04-04 23:40:47
7339,193,963,256,Sufficient,2023-07-19 03:38:39
14462,54,411,295,Sufficient,2019-06-26 05:05:24
8819,138,262,108,Sufficient,2019-10-31 00:38:20
5613,3,104,224,Reorder,2023-04-03 19:06:14
8550,132,254,136,Sufficient,2018-10-30 20:58:20
553,100,131,262,Reorder,2023-11-09 01:30:10
11095,6,22,133,Reorder,2019-12-20 22:54:10
19279,101,414,104,Sufficient,2019-03-01 01:53:05
2418,135,461,281,Sufficient,2023-02-04 03:03:06
14856,93,448,168,Sufficient,2018-07-16 02:03:24
9493,62,753,259,Sufficient,2022-11-18 08:12:24
26408,28,587,233,Sufficient,2024-04-13 18:42:47
4180,50,935,184,Sufficient,2019-07-18 06:54:40
13756,69,43,164,Reorder,2022-11-26 17:11:22
752,103,88,145,Reorder,2020-05-30 14:48:04
3721,116,280,213,Sufficient,2022-02-14 04:49:57
12376,22,604,261,Sufficient,2022-02-14 08:13:44
14317,174,870,244,Sufficient,2023-03-20 10:27:29
10593,191,933,234,Sufficient,2019-01-12 20:38:47
11403,46,807,226,Sufficient,2024-08-03 19:35:50
18995,69,879,257,Sufficient,2022-06-18 23:05:25
27130,170,663,158,Sufficient,2018-10-05 06:40:10
16809,98,170,224,Reorder,2020-01-12 04:38:21
19304,140,852,162,Sufficient,2024-03-01 18:45:48
7591,166,660,229,Sufficient,2023-12-17 00:12:30
20130,154,600,277,Sufficient,2020-10-12 06:05:17
16028,177,331,255,Sufficient,2021-09-12 13:03:44
26119,187,984,101,Sufficient,2021-10-31 01:18:01
2973,42,672,182,Sufficient,2024-03-14 10:05:49
12697,53,210,106,Sufficient,2019-04-15 21:39:28
10888,176,873,120,Sufficient,2020-01-17 14:38:43
23576,65,682,224,Sufficient,2023-08-10 07:00:26
23714,87,140,210,Reorder,2021-03-15 11:34:17
6158,150,533,281,Sufficient,2019-02-09 03:55:08
697,109,997,109,Sufficient,2024-02-02 06:04:17
22405,191,713,248,Sufficient,2024-04-23 23:37:05
15007,150,326,131,Sufficient,2020-11-25 00:12:16
8439,133,272,291,Reorder,2021-10-31 15:30:39
27584,136,796,262,Sufficient,2018-05-08 22:32:37
24858,130,236,116,Sufficient,2024-02-10 10:46:56
25824,55,661,135,Sufficient,2023-12-05 15:02:12
2935,33,354,281,Sufficient,2022-05-26 06:43:57
25812,162,518,108,Sufficient,2020-09-29 19:56:38
20012,108,271,139,Sufficient,2020-05-13 21:04:54
16771,187,112,130,Reorder,2018-11-19 02:57:44
11224,9,928,163,Sufficient,2020-06-30 11:48:22
13922,41,62,299,Reorder,2022-02-06 03:26:26
26144,188,568,113,Sufficient,2024-07-09 15:37:04
7249,68,752,279,Sufficient,2020-08-26 20:56:40
22725,176,735,155,Sufficient,2021-01-10 22:26:12
28498,7,432,293,Sufficient,2021-05-14 19:57:22
9397,60,733,118,Sufficient,2018-10-15 07:40:30
15741,100,946,264,Sufficient,2024-05-06 06:07:12
4122,124,544,131,Sufficient,2018-07-29 00:08:40
8916,58,109,203,Reorder,2019-06-25 12:16:39
29795,26,748,232,Sufficient,2018-07-14 20:50:33
20173,44,819,296,Sufficient,2019-01-11 06:02:51
29432,144,254,269,Reorder,2019-09-20 23:22:21
2262,72,983,140,Sufficient,2023-07-14 07:23:49
9718,97,395,166,Sufficient,2020-04-12 16:15:29
826,52,411,118,Sufficient,2023-08-16 09:55:40
21051,125,937,180,Sufficient,2023-08-01 15:37:19
23646,63,17,145,Reorder,2023-03-30 20:16:19
7460,147,184,130,Sufficient,2023-05-28 16:40:11
5370,132,467,269,Sufficient,2020-08-13 02:48:49
21484,63,878,239,Sufficient,2018-07-11 07:13:54
3469,186,79,103,Reorder,2023-04-04 10:40:31
17394,197,213,203,Sufficient,2024-08-16 12:52:44
29880,178,786,130,Sufficient,2024-05-02 03:26:20
24515,142,934,131,Sufficient,2018-10-30 07:09:35
5087,34,142,277,Reorder,2023-12-23 23:41:52
11839,186,210,136,Sufficient,2018-10-29 02:27:17
5762,173,510,195,Sufficient,2021-05-06 21:46:58
7123,166,751,246,Sufficient,2021-12-19 19:28:35
26667,96,858,122,Sufficient,2023-08-19 09:03:34
24376,93,633,248,Sufficient,2022-08-16 12:15:48
10730,39,582,291,Sufficient,2018-05-30 12:16:57
13155,172,321,277,Sufficient,2019-11-21 14:21:00
2527,62,340,297,Sufficient,2018-05-10 22:00:58
14283,5,187,150,Sufficient,2024-09-02 10:18:26
7341,131,682,104,Sufficient,2023-11-14 20:20:35
818,147,121,116,Sufficient,2022-04-19 21:59:59
26057,104,983,116,Sufficient,2019-03-28 02:08:35
10663,85,765,204,Sufficient,2021-11-19 05:08:36
18069,70,603,278,Sufficient,2018-07-04 16:10:31
5620,156,16,287,Reorder,2019-02-09 02:19:56
12474,142,877,292,Sufficient,2020-01-04 02:13:42
15052,18,977,266,Sufficient,2022-11-27 22:47:33
21314,88,158,188,Reorder,2020-09-18 21:52:39
26167,69,375,179,Sufficient,2022-10-23 13:23:41
29942,37,804,202,Sufficient,2019-08-19 01:35:41
11097,37,967,164,Sufficient,2019-12-02 23:28:00
5319,28,109,257,Reorder,2018-11-21 21:43:48
16623,149,499,118,Sufficient,2019-11-20 01:52:36
20819,99,464,160,Sufficient,2019-01-15 11:56:53
13103,66,955,180,Sufficient,2023-12-25 20:37:48
18325,180,642,234,Sufficient,2023-02-25 19:44:30
15858,160,951,284,Sufficient,2018-07-03 14:46:24
5745,45,840,147,Sufficient,2024-05-17 23:02:48
11762,72,371,261,Sufficient,2021-03-26 20:59:45
25789,14,27,296,Reorder,2020-07-06 21:31:31
7943,7,494,124,Sufficient,2021-10-10 18:00:14
12113,54,113,220,Reorder,2021-08-26 19:47:54
17346,146,975,239,Sufficient,2024-08-19 15:38:27
8554,134,406,101,Sufficient,2023-08-22 22:43:32
11908,118,139,265,Reorder,2021-04-26 03:29:53
14860,170,145,190,Reorder,2020-02-20 06:46:33
20807,13,198,112,Sufficient,2023-06-02 02:09:52
5578,157,763,123,Sufficient,2024-02-26 08:56:55
28179,57,738,114,Sufficient,2018-02-07 12:16:08
18467,1,130,293,Reorder,2018-12-14 02:49:15
23786,44,224,278,Reorder,2022-01-27 00:57:17
22080,11,83,186,Reorder,2020-03-19 18:27:40
13217,132,770,141,Sufficient,2019-05-26 08:08:25
25852,93,721,251,Sufficient,2024-03-09 12:20:37
16178,179,149,236,Reorder,2024-10-20 10:16:24
4527,145,608,272,Sufficient,2024-04-11 17:07:16
18327,110,5,280,Reorder,2024-07-22 22:46:44
26220,10,638,262,Sufficient,2022-11-06 12:32:00
18642,190,292,272,Sufficient,2022-07-24 05:12:32
18980,110,454,174,Sufficient,2018-12-12 21:32:14
3302,159,521,222,Sufficient,2019-05-07 18:56:02
1721,18,729,180,Sufficient,2024-11-15 03:52:19
21496,26,205,280,Reorder,2018-02-14 15:51:54
7867,50,272,185,Sufficient,2020-12-21 01:06:46
10786,166,401,236,Sufficient,2020-04-18 07:16:52
6019,95,936,183,Sufficient,2019-11-11 15:23:36
52,107,464,123,Sufficient,2024-10-15 20:30:10
21523,177,61,273,Reorder,2021-10-08 12:40:21
8482,121,474,192,Sufficient,2024-11-19 21:05:00
25940,21,594,250,Sufficient,2019-06-21 19:53:48
2574,199,142,200,Reorder,2024-07-11 04:56:34
28980,101,913,259,Sufficient,2023-12-02 07:14:43
23698,170,356,172,Sufficient,2019-12-12 00:55:58
20883,97,488,251,Sufficient,2021-02-02 10:24:49
16222,19,972,160,Sufficient,2024-01-05 06:40:33
21257,98,36,258,Reorder,2023-08-13 18:01:38
27247,159,837,197,Sufficient,2018-02-13 09:54:11
24467,59,543,166,Sufficient,2022-09-23 05:49:40
13484,86,785,161,Sufficient,2021-03-09 02:36:37
27117,5,82,104,Reorder,2019-01-14 14:51:12
20483,29,628,251,Sufficient,2020-03-17 21:53:29
28958,24,69,145,Reorder,2024-05-09 07:08:11
7848,74,458,168,Sufficient,2023-05-24 09:13:54
25333,121,959,116,Sufficient,2021-05-17 15:37:01
25695,11,966,292,Sufficient,2023-10-07 15:27:32
11419,54,248,209,Sufficient,2021-04-12 20:40:48
8197,170,554,177,Sufficient,2018-07-18 06:56:16
19919,50,407,206,Sufficient,2021-11-11 06:38:37
12533,61,146,198,Reorder,2022-10-19 11:02:34
7749,162,885,169,Sufficient,2024-10-01 00:12:51
6645,57,729,265,Sufficient,2022-02-10 01:26:38
2566,11,992,158,Sufficient,2024-06-17 23:04:45
22916,110,533,233,Sufficient,2023-01-24 12:30:05
13905,37,729,235,Sufficient,2023-08-13 07:09:28
27575,55,16,196,Reorder,2021-02-19 11:31:41
26033,60,802,280,Sufficient,2024-03-06 10:23:34
9661,103,448,272,Sufficient,2021-06-21 06:04:11
29026,126,771,299,Sufficient,2019-10-29 11:59:37
9399,182,638,187,Sufficient,2019-09-14 03:16:29
27705,26,22,189,Reorder,2023-07-27 18:04:02
27390,64,583,161,Sufficient,2019-12-19 17:15:05
17579,189,166,207,Reorder,2022-04-29 15:27:19
26746,180,924,175,Sufficient,2021-09-06 11:15:02
22919,177,803,188,Sufficient,2018-05-20 02:38:09
20192,153,99,134,Reorder,2020-11-24 10:38:34
16849,122,476,204,Sufficient,2018-09-10 11:08:24
26516,55,823,122,Sufficient,2023-09-07 15:41:18
29625,179,694,299,Sufficient,2020-03-20 04:27:00
23041,48,592,203,Sufficient,2021-11-12 19:10:07
9794,104,671,197,Sufficient,2020-04-19 06:32:29
23143,60,816,163,Sufficient,2021-06-22 08:11:17
7184,47,572,136,Sufficient,2018-07-06 05:03:54
26010,79,913,124,Sufficient,2021-05-23 05:16:28
17024,99,527,291,Sufficient,2024-08-28 22:54:26
26098,85,747,147,Sufficient,2022-04-15 09:37:30
5033,69,920,242,Sufficient,2021-05-17 21:32:44
18834,21,759,130,Sufficient,2020-05-20 21:00:03
4339,16,141,266,Reorder,2020-06-16 11:08:25
7579,89,563,295,Sufficient,2024-10-18 18:17:41
22495,43,768,250,Sufficient,2021-09-05 18:00:52
25204,144,729,274,Sufficient,2024-07-04 09:42:48
22714,10,476,246,Sufficient,2024-10-24 15:27:40
20323,136,798,107,Sufficient,2022-11-24 23:33:22
27245,132,134,294,Reorder,2023-11-10 20:36:44
8519,86,212,121,Sufficient,2022-11-21 14:00:51
28065,94,632,252,Sufficient,2022-05-24 10:08:34
16433,27,679,190,Sufficient,2020-05-29 23:22:12
9784,102,355,200,Sufficient,2022-02-07 16:34:48
18461,176,251,230,Sufficient,2018-06-23 17:27:08
10495,145,351,168,Sufficient,2021-11-12 18:49:21
15702,177,232,100,Sufficient,2023-11-08 15:48:04
4708,73,490,197,Sufficient,2021-08-09 14:37:08
29746,132,270,161,Sufficient,2021-09-01 09:13:19
26036,35,694,239,Sufficient,2019-02-18 20:34:35
27358,64,528,170,Sufficient,2024-06-16 12:32:35
10521,176,156,117,Sufficient,2023-02-24 20:18:16
12922,160,187,225,Reorder,2023-10-01 09:48:15
15067,33,26,295,Reorder,2021-11-29 20:40:38
27273,133,228,118,Sufficient,2023-04-19 22:33:20
21716,158,551,145,Sufficient,2018-06-22 16:34:20
19557,62,421,223,Sufficient,2023-01-21 09:32:20
1631,183,234,229,Sufficient,2023-03-31 13:21:37
23,21,459,200,Sufficient,2024-03-18 14:22:40
16177,199,277,194,Sufficient,2023-01-02 23:20:07
23017,115,164,225,Reorder,2021-07-13 08:04:58
2195,28,910,133,Sufficient,2023-03-12 12:46:23
14092,115,800,155,Sufficient,2023-04-28 04:50:46
25853,157,882,299,Sufficient,2018-02-05 12:07:58
27067,146,197,101,Sufficient,2018-10-09 08:30:11
18581,107,258,104,Sufficient,2021-04-03 06:12:56
7144,95,293,212,Sufficient,2022-05-04 18:48:40
26046,53,977,268,Sufficient,2019-11-09 02:21:58
14815,88,454,283,Sufficient,2019-06-10 21:37:11
20650,20,371,270,Sufficient,2023-03-16 09:15:01
16174,187,631,194,Sufficient,2019-07-11 12:53:09
14838,197,292,161,Sufficient,2024-05-17 09:09:40
446,41,259,220,Sufficient,2018-08-22 12:57:51
17848,191,253,298,Reorder,2019-03-12 05:51:44
797,88,398,264,Sufficient,2020-03-02 19:12:02
23379,174,644,291,Sufficient,2020-01-19 01:51:24
6056,81,73,161,Reorder,2020-06-05 22:27:31
23587,106,473,121,Sufficient,2022-11-26 16:09:38
27816,31,930,107,Sufficient,2024-01-23 13:35:42
16215,25,360,176,Sufficient,2019-07-17 16:55:05
3793,196,697,170,Sufficient,2021-04-29 20:57:37
488,180,246,201,Sufficient,2023-01-08 10:05:33
15976,55,380,274,Sufficient,2020-09-18 08:56:40
9887,175,503,105,Sufficient,2023-10-28 11:05:08
8462,55,810,160,Sufficient,2021-08-13 12:50:00
21170,144,498,296,Sufficient,2020-03-19 23:54:19
14380,14,114,283,Reorder,2020-09-26 01:33:14
1315,161,808,197,Sufficient,2019-09-30 07:14:03
11321,5,819,163,Sufficient,2021-04-16 15:28:50
9690,171,298,170,Sufficient,2019-05-28 18:37:03
28158,99,308,173,Sufficient,2022-05-24 09:42:31
27857,57,716,285,Sufficient,2019-08-03 19:52:47
4420,68,527,293,Sufficient,2023-11-24 14:21:16
17930,127,554,164,Sufficient,2023-03-26 21:08:56
5061,95,122,280,Reorder,2024-07-11 15:16:54
18614,109,251,272,Reorder,2024-12-18 14:37:34
9557,41,159,105,Sufficient,2018-02-02 05:17:40
7803,114,774,279,Sufficient,2020-11-05 18:08:41
25242,152,905,132,Sufficient,2019-05-19 22:45:45
28188,126,275,157,Sufficient,2019-08-12 11:22:10
7895,119,576,173,Sufficient,2024-04-27 23:18:54
14147,40,257,287,Reorder,2023-10-02 08:58:15
8087,6,545,179,Sufficient,2022-08-25 08:55:15
16527,191,84,180,Reorder,2020-04-13 23:29:51
13817,104,416,157,Sufficient,2023-12-02 05:03:22
7394,107,564,135,Sufficient,2022-02-28 12:30:38
28620,190,372,170,Sufficient,2023-10-26 16:40:25
16364,177,331,152,Sufficient,2024-04-26 16:41:09
5856,79,781,145,Sufficient,2023-08-17 00:47:51
4144,74,815,211,Sufficient,2024-09-30 16:56:17
26065,8,543,280,Sufficient,2023-03-03 03:08:26
906,19,856,263,Sufficient,2020-12-21 02:42:45
6106,50,861,167,Sufficient,2021-11-18 12:42:47
14234,7,703,209,Sufficient,2018-11-09 22:05:34
20606,60,872,185,Sufficient,2024-06-26 17:03:22
21002,34,655,211,Sufficient,2024-04-03 06:26:03
11488,156,797,268,Sufficient,2019-07-03 20:26:57
1402,81,903,203,Sufficient,2023-06-24 14:06:29
15901,95,870,231,Sufficient,2024-12-29 00:02:44
4842,71,686,241,Sufficient,2020-08-10 21:04:26
29517,94,746,214,Sufficient,2021-08-23 02:33:35
6459,46,720,185,Sufficient,2023-04-17 12:35:23
17275,14,925,206,Sufficient,2023-10-14 06:08:49
6506,3,165,279,Reorder,2024-01-17 22:43:40
299,130,931,277,Sufficient,2023-05-25 04:10:54
13861,144,604,136,Sufficient,2022-05-15 22:00:14
23887,8,280,260,Sufficient,2023-05-27 13:56:00
7655,2,437,191,Sufficient,2024-09-21 07:10:58
27742,119,374,264,Sufficient,2021-02-27 23:29:35
25351,168,738,263,Sufficient,2022-05-16 02:26:53
18433,192,710,136,Sufficient,2022-01-20 11:28:25
16781,117,839,166,Sufficient,2024-08-19 10:54:02
13359,144,296,293,Sufficient,2020-10-31 07:18:31
17260,138,783,134,Sufficient,2021-12-03 16:31:26
10457,194,647,246,Sufficient,2018-11-09 15:35:41
882,100,208,110,Sufficient,2018-09-25 03:10:47
2026,123,769,210,Sufficient,2024-09-20 01:43:15
12765,27,334,210,Sufficient,2021-09-05 09:19:11
22489,198,589,176,Sufficient,2019-12-15 18:57:05
25028,154,148,281,Reorder,2019-12-19 20:52:16
10648,184,565,110,Sufficient,2018-12-12 15:43:48
20140,198,111,299,Reorder,2024-12-15 07:54:54
1469,132,747,260,Sufficient,2018-12-03 14:13:07
13212,78,783,151,Sufficient,2018-09-29 22:32:19
24030,126,100,155,Reorder,2023-11-07 00:50:10
15998,125,655,263,Sufficient,2021-01-26 20:30:36
26989,58,157,167,Reorder,2024-01-10 09:28:13
21834,26,720,107,Sufficient,2024-05-08 08:26:39
8506,2,603,147,Sufficient,2019-12-28 21:59:41
11772,29,143,254,Reorder,2022-10-02 08:46:16
12996,141,957,257,Sufficient,2021-11-03 00:35:35
23680,45,885,262,Sufficient,2022-03-03 22:35:42
1467,66,47,119,Reorder,2019-02-01 02:58:08
6282,13,428,231,Sufficient,2019-05-30 22:59:36
7539,188,942,158,Sufficient,2020-01-27 12:17:05
27922,174,187,148,Sufficient,2023-12-28 01:54:01
2877,129,17,203,Reorder,2020-05-27 04:22:41
27008,42,85,186,Reorder,2019-04-13 20:33:11
1772,116,798,202,Sufficient,2020-02-12 14:58:08
15147,139,373,179,Sufficient,2020-02-20 22:50:41
2594,142,538,289,Sufficient,2019-11-09 11:20:25
26695,22,652,222,Sufficient,2023-04-22 23:32:54
16034,21,107,266,Reorder,2020-07-06 02:12:29
5810,42,878,154,Sufficient,2023-06-21 22:43:14
26730,55,171,225,Reorder,2023-11-20 12:37:58
16365,102,677,289,Sufficient,2020-04-13 09:43:03
2815,21,557,298,Sufficient,2020-04-22 20:00:43
21577,16,440,200,Sufficient,2024-11-12 12:19:41
24829,42,75,293,Reorder,2024-05-12 16:45:31
9228,87,146,224,Reorder,2020-02-03 06:46:19
16298,53,402,136,Sufficient,2023-03-08 12:46:33
12848,117,963,160,Sufficient,2019-12-03 15:01:24
12185,80,753,218,Sufficient,2019-04-16 23:27:30
6570,34,873,203,Sufficient,2020-04-07 16:40:20
14391,154,517,227,Sufficient,2021-10-02 07:56:38
15530,138,780,223,Sufficient,2018-03-03 19:35:27
24773,181,915,213,Sufficient,2023-10-28 18:22:30
9863,150,677,181,Sufficient,2024-05-15 01:08:02
20523,153,382,254,Sufficient,2018-10-14 18:36:11
24765,160,546,141,Sufficient,2019-05-28 01:43:06
8548,34,990,285,Sufficient,2023-05-06 21:27:47
5084,161,788,160,Sufficient,2020-09-06 03:20:46
18400,122,576,143,Sufficient,2018-01-07 06:05:04
12141,55,60,134,Reorder,2024-09-01 12:54:02
7630,144,325,291,Sufficient,2021-06-20 00:14:48
10451,73,615,207,Sufficient,2023-07-15 17:48:23
19342,163,20,150,Reorder,2024-10-04 10:06:55
16611,73,121,210,Reorder,2020-04-03 09:25:16
7218,154,396,248,Sufficient,2019-04-24 04:51:23
25465,131,176,224,Reorder,2019-05-15 20:32:08
19498,45,679,261,Sufficient,2024-04-30 14:03:01
616,96,7,144,Reorder,2022-02-11 22:10:23
1509,49,609,232,Sufficient,2021-08-10 07:52:30
12930,8,512,133,Sufficient,2020-05-05 15:27:08
7308,12,54,141,Reorder,2020-07-28 05:50:05
27814,164,166,222,Reorder,2023-11-24 03:09:40
16569,33,639,155,Sufficient,2021-07-26 12:29:58
21109,143,258,116,Sufficient,2018-06-25 01:50:20
11190,128,327,225,Sufficient,2020-04-27 00:36:05
27927,13,856,129,Sufficient,2020-05-13 06:10:35
29090,22,871,196,Sufficient,2018-07-10 23:39:08
2425,26,709,215,Sufficient,2021-04-08 01:34:42
26254,140,633,163,Sufficient,2020-11-18 15:02:25
22389,183,32,271,Reorder,2018-08-05 01:36:20
99,185,678,174,Sufficient,2024-05-24 12:53:10
512,119,741,275,Sufficient,2020-11-19 01:45:02
13238,94,462,135,Sufficient,2024-06-12 08:17:20
549,188,52,281,Reorder,2019-06-19 02:01:21
26383,8,225,209,Sufficient,2023-11-18 22:48:50
10243,49,518,188,Sufficient,2021-07-26 21:49:33
12502,38,797,279,Sufficient,2020-12-14 03:36:40
12677,197,919,117,Sufficient,2018-11-10 12:41:42
