product_id,return_reason,return_rate_percent,loss_amount,return_date
26692,Wrong Item,1.41,20577,2024-05-02 13:16:55
23646,Wrong Item,1.8,3884,2019-08-14 19:08:40
2898,Customer Return,3.42,16327,2019-07-07 05:36:44
11725,Customer Return,12.19,20905,2020-03-09 11:23:39
21655,Customer Return,12.79,18333,2022-04-23 17:01:49
4639,Wrong Item,5.45,11464,2020-03-18 23:37:25
17165,Expired,6.27,15481,2020-05-26 19:03:57
12458,Expired,9.54,7263,2018-06-28 14:09:36
3446,Wrong Item,11.46,14699,2023-09-16 18:15:13
27128,Expired,6.08,21777,2019-06-03 22:44:05
353,Expired,13.06,21643,2018-10-12 11:27:27
13212,Damaged,13.62,807,2022-04-10 10:34:35
16760,Damaged,11.82,8356,2018-03-19 23:48:03
12644,Expired,10.52,13268,2024-07-12 00:57:15
28808,Damaged,12.18,13990,2021-12-07 19:35:32
28235,Customer Return,8.69,18512,2021-05-09 17:53:01
7795,Damaged,8.31,15792,2021-12-23 02:54:06
9676,Customer Return,0.11,29716,2023-04-17 06:46:25
18284,Damaged,9.87,4388,2020-09-22 06:45:25
4913,Wrong Item,8.54,4510,2020-10-22 14:09:18
6518,Customer Return,11.28,10519,2021-01-06 21:44:12
8373,Damaged,0.61,23057,2021-09-13 23:29:58
20177,Wrong Item,8.67,18198,2023-01-04 14:29:36
20106,Expired,5.65,28059,2018-11-05 19:12:37
2843,Expired,13.97,26224,2024-07-26 16:24:57
6582,Wrong Item,8.78,4629,2020-06-16 09:56:32
28355,Wrong Item,13.0,28829,2018-02-02 21:22:32
86,Wrong Item,4.63,6359,2022-06-15 19:19:01
23163,Wrong Item,1.46,26038,2024-06-30 12:47:30
25694,Expired,1.91,20406,2020-11-17 12:08:37
11965,Customer Return,1.52,22675,2020-03-26 09:03:20
2282,Damaged,8.92,12649,2022-10-01 16:37:26
21075,Wrong Item,14.03,25754,2022-06-30 09:56:04
12806,Expired,4.35,8689,2019-10-18 00:26:32
24450,Expired,1.27,17656,2021-05-20 04:54:30
22236,Customer Return,0.56,2858,2021-07-26 20:25:21
28562,Damaged,10.93,25415,2024-02-02 23:18:13
10406,Damaged,11.28,22655,2024-12-09 06:31:11
5901,Expired,1.13,21811,2018-08-03 16:28:23
3203,Wrong Item,12.52,7346,2022-09-01 14:47:14
25111,Customer Return,10.49,10475,2020-09-02 07:14:37
5259,Damaged,1.81,13944,2020-06-22 05:35:58
19524,Wrong Item,2.06,29792,2019-08-19 07:02:52
25911,Wrong Item,12.11,4810,2024-08-13 02:15:57
22382,Expired,5.43,25999,2019-09-18 16:30:47
28407,Expired,9.65,22471,2023-09-03 16:11:27
17379,Expired,2.92,5991,2024-09-21 15:08:31
8298,Expired,0.15,3013,2024-01-09 21:49:01
10242,Damaged,4.78,13874,2018-04-23 06:57:35
9036,Customer Return,14.38,19627,2019-05-26 19:15:21
9702,Expired,8.02,29029,2019-11-25 07:03:30
27648,Expired,7.32,15147,2021-11-04 10:21:40
7617,Expired,10.0,23628,2022-08-15 19:01:17
16814,Expired,11.41,15529,2018-10-21 16:42:34
15018,Wrong Item,13.22,22095,2021-11-28 15:46:11
21562,Wrong Item,5.42,11569,2019-03-13 04:27:33
21673,Wrong Item,1.13,12162,2019-03-24 02:11:11
28634,Customer Return,11.01,26164,2022-06-22 17:52:56
17553,Expired,14.35,15204,2018-09-12 04:04:51
24066,Wrong Item,5.74,13171,2021-05-07 00:05:16
8307,Wrong Item,0.75,9509,2023-06-18 13:44:48
6260,Expired,10.03,3414,2019-10-30 20:58:56
22209,Expired,9.66,1874,2018-11-14 03:47:35
16963,Customer Return,8.04,3582,2022-08-06 22:27:26
3844,Expired,1.64,3003,2022-05-25 15:39:14
13909,Wrong Item,8.93,5877,2019-05-17 12:02:18
5391,Expired,11.35,25596,2022-04-26 09:24:37
2865,Expired,9.48,29519,2021-12-29 12:39:56
17048,Expired,10.9,4087,2020-02-23 20:50:37
25572,Wrong Item,6.32,15978,2021-03-04 22:57:55
16352,Expired,14.24,25068,2021-11-26 03:44:13
23757,Expired,4.44,26780,2023-02-19 09:26:47
25073,Damaged,6.65,27982,2020-12-24 02:46:56
26545,Customer Return,11.98,18930,2019-02-20 10:16:40
4402,Customer Return,7.11,20032,2019-04-03 15:08:02
68,Customer Return,12.34,22476,2023-04-01 08:57:05
2513,Damaged,14.88,2603,2021-11-13 05:22:32
29248,Damaged,13.8,16344,2023-12-13 00:41:27
29473,Wrong Item,13.29,14613,2024-04-06 10:00:18
26937,Customer Return,5.35,28051,2018-07-12 07:10:36
27365,Expired,0.36,3970,2024-06-08 08:29:23
15241,Expired,7.75,20465,2018-03-19 13:59:31
5217,Customer Return,11.02,3167,2022-11-03 18:42:59
14770,Damaged,8.24,27264,2023-05-09 23:47:09
11575,Expired,1.43,23751,2022-11-06 04:13:26
4339,Damaged,5.76,11369,2020-10-11 06:55:00
27917,Expired,9.85,3880,2023-08-06 07:27:54
4607,Customer Return,2.65,22800,2018-05-04 22:30:45
10100,Expired,13.44,25781,2024-05-07 22:06:43
16747,Damaged,7.2,4683,2024-05-31 17:29:09
1008,Damaged,1.71,8560,2021-12-11 23:26:46
334,Expired,12.96,13308,2023-09-17 02:51:13
3764,Wrong Item,15.0,28944,2021-12-01 23:52:06
22507,Customer Return,3.28,21645,2019-08-23 03:55:47
25393,Wrong Item,12.88,24010,2018-05-19 13:40:15
14562,Customer Return,5.87,22738,2022-03-16 15:35:33
3373,Damaged,5.55,12015,2024-02-19 14:09:44
18090,Damaged,8.21,8855,2022-08-22 04:22:58
29011,Damaged,6.83,6507,2018-05-03 00:48:36
12565,Wrong Item,5.99,28005,2020-10-01 19:51:58
5923,Wrong Item,3.79,12106,2020-10-11 17:07:57
12608,Customer Return,8.97,1967,2018-12-25 22:58:14
1653,Expired,9.86,22029,2021-12-25 21:28:01
1698,Expired,9.45,11282,2021-12-25 19:31:23
9718,Expired,4.81,4659,2018-03-02 14:17:38
7020,Damaged,0.4,5111,2024-11-29 07:52:14
26514,Expired,0.54,22952,2021-08-03 22:15:39
28513,Customer Return,9.67,27667,2019-03-14 20:02:37
28050,Wrong Item,1.52,14235,2021-10-10 13:59:50
22014,Wrong Item,6.43,25768,2018-08-04 06:32:19
7977,Wrong Item,12.41,5298,2021-01-11 08:27:18
21995,Expired,2.63,1623,2022-09-26 04:44:33
7410,Expired,7.8,22429,2020-09-22 03:29:54
5174,Damaged,2.22,25996,2023-03-27 07:21:54
12344,Customer Return,5.53,2241,2024-07-31 10:05:33
24776,Wrong Item,6.14,6188,2021-06-23 10:12:17
25394,Expired,12.77,18732,2024-08-23 09:48:40
23322,Expired,13.29,12107,2022-05-04 14:16:05
8890,Customer Return,11.1,3799,2019-11-02 10:02:20
17959,Expired,13.81,6175,2024-02-18 12:36:47
16582,Customer Return,2.34,1166,2018-01-28 02:04:42
29625,Wrong Item,4.21,6395,2018-02-03 13:28:43
3335,Wrong Item,9.47,29359,2023-12-29 17:23:10
20156,Wrong Item,10.01,17679,2018-01-17 02:21:23
18295,Expired,9.81,14088,2019-03-30 22:47:39
12899,Customer Return,14.07,15604,2021-08-21 12:35:56
2483,Damaged,10.66,25850,2023-09-28 01:27:21
25514,Wrong Item,9.25,19206,2021-09-07 18:11:35
2998,Expired,5.84,3800,2019-04-16 16:01:05
26873,Expired,13.32,29720,2024-10-24 02:54:08
14718,Damaged,9.98,19175,2018-01-18 06:41:36
7413,Damaged,2.49,7848,2024-04-01 05:24:01
10847,Customer Return,11.91,11358,2020-09-02 19:37:30
17687,Wrong Item,9.31,18811,2023-07-02 03:13:54
16454,Customer Return,4.94,6614,2018-05-06 18:27:09
20938,Wrong Item,14.02,15922,2019-06-05 08:35:04
19909,Wrong Item,5.17,21819,2021-11-19 17:47:54
22285,Expired,7.16,15042,2024-01-31 22:16:22
16341,Expired,11.85,13879,2018-12-03 02:23:18
936,Expired,5.81,11058,2020-02-13 05:49:39
1014,Customer Return,5.31,16323,2018-03-31 07:00:53
154,Expired,1.43,9033,2022-05-31 05:22:10
15660,Customer Return,10.56,16027,2021-01-14 08:43:34
22516,Customer Return,11.88,3360,2024-10-31 16:08:01
5878,Damaged,13.24,22534,2024-07-26 11:09:10
5750,Wrong Item,1.07,2432,2021-05-02 15:10:31
10396,Customer Return,7.08,8063,2021-11-03 14:54:34
24061,Expired,0.72,6877,2021-10-03 10:13:06
25490,Wrong Item,14.0,13899,2024-08-23 12:38:23
18603,Wrong Item,2.32,12154,2022-01-24 23:19:13
6618,Damaged,7.11,6051,2023-09-08 09:31:38
23938,Damaged,13.35,8421,2022-01-01 23:18:53
12049,Damaged,4.6,23514,2021-11-16 16:42:54
5417,Wrong Item,12.6,8692,2019-07-03 21:54:53
27445,Expired,9.95,7065,2023-03-14 21:01:12
19648,Customer Return,0.93,12821,2024-11-24 23:24:34
701,Wrong Item,12.46,10516,2019-01-22 00:22:43
16768,Expired,7.25,16841,2023-10-17 09:41:57
26835,Damaged,2.42,24049,2020-07-17 05:07:13
13830,Customer Return,6.43,1918,2024-05-31 06:19:07
3711,Customer Return,6.92,8254,2024-04-18 11:33:07
24002,Customer Return,1.55,29674,2018-05-05 04:33:34
13364,Damaged,1.95,14361,2021-11-06 10:44:58
7568,Customer Return,10.17,14616,2021-03-28 13:10:23
8124,Wrong Item,4.79,1125,2024-12-16 12:34:19
5341,Customer Return,9.46,11013,2021-05-12 09:14:43
28115,Damaged,3.03,9649,2020-07-04 20:46:11
25920,Customer Return,3.29,3938,2020-09-02 20:35:23
20939,Damaged,5.93,13579,2020-05-30 05:57:58
16407,Customer Return,4.26,16249,2023-10-10 06:18:01
22301,Damaged,8.15,25000,2024-11-07 23:56:26
29965,Damaged,14.09,6503,2021-03-25 01:40:58
25449,Customer Return,0.89,26185,2021-12-02 12:49:11
3030,Wrong Item,9.96,21863,2022-06-20 15:19:14
6365,Damaged,1.55,12888,2022-08-11 13:14:41
9386,Wrong Item,2.37,11160,2018-02-23 04:02:12
25439,Wrong Item,3.59,27073,2024-10-14 12:18:56
20712,Customer Return,1.99,29786,2018-09-30 00:40:10
8883,Customer Return,4.73,3577,2018-02-19 15:03:35
8967,Expired,12.77,18581,2022-06-27 10:13:31
14033,Customer Return,0.29,22065,2024-08-06 11:54:17
9597,Customer Return,2.54,25495,2024-02-12 13:41:14
7199,Damaged,1.36,15028,2022-09-06 05:27:02
2196,Customer Return,6.97,11127,2023-11-22 22:21:26
3607,Customer Return,2.28,21759,2020-10-23 23:01:31
21196,Damaged,7.09,29403,2024-12-07 19:48:36
27636,Expired,13.76,3749,2018-06-08 20:32:37
4803,Damaged,1.12,12539,2018-06-26 11:58:10
28789,Expired,3.97,8074,2020-02-17 07:48:08
19867,Customer Return,10.34,29950,2019-08-11 03:29:07
13345,Damaged,1.35,19468,2024-02-25 09:34:34
27083,Expired,13.8,18619,2021-12-06 10:28:06
22725,Expired,3.48,5097,2019-06-10 16:18:18
781,Wrong Item,11.68,2388,2018-10-29 08:18:10
20142,Customer Return,13.62,5247,2024-03-10 18:45:29
27615,Customer Return,3.74,2356,2021-02-06 01:53:50
6940,Expired,12.09,28588,2023-12-14 22:29:06
16167,Wrong Item,8.14,7251,2020-10-02 09:58:40
5804,Wrong Item,13.42,15575,2023-10-18 22:23:03
17212,Customer Return,11.27,8035,2020-02-10 06:24:41
14809,Expired,13.91,5381,2023-11-27 03:50:32
12969,Expired,12.29,19770,2018-12-19 21:02:07
18964,Wrong Item,11.46,1163,2020-03-19 01:01:54
25198,Wrong Item,12.62,26101,2024-02-15 13:03:00
11486,Expired,7.84,3150,2021-06-30 19:44:54
13396,Expired,14.8,26825,2020-12-13 02:29:54
20673,Expired,0.39,29700,2023-10-24 17:33:17
4621,Damaged,10.25,13127,2023-07-31 18:44:29
8247,Wrong Item,1.16,4629,2023-01-08 00:21:40
20092,Customer Return,9.04,24018,2019-08-28 14:52:33
5385,Damaged,0.12,20579,2023-01-10 07:15:41
26446,Damaged,9.39,8365,2018-12-03 04:07:33
13752,Wrong Item,7.67,2416,2024-02-15 07:25:06
24276,Damaged,2.96,22563,2022-07-12 19:38:18
15043,Expired,13.13,3330,2024-08-07 22:08:18
16013,Expired,9.47,10381,2018-08-24 22:08:24
28019,Expired,7.41,8044,2021-09-06 01:14:19
28826,Expired,1.44,4457,2021-08-08 17:35:07
4405,Customer Return,2.54,14818,2022-06-07 22:58:34
234,Damaged,6.36,23983,2020-02-05 22:38:34
270,Damaged,12.73,15949,2021-05-14 04:18:18
19261,Wrong Item,9.43,1393,2020-06-01 22:50:04
16933,Wrong Item,6.63,12614,2019-07-26 10:53:25
27026,Customer Return,0.58,577,2018-10-31 14:00:20
14035,Wrong Item,0.27,22446,2018-09-15 00:46:22
7695,Damaged,4.54,24284,2022-05-13 06:40:28
28765,Customer Return,14.01,15080,2022-12-09 16:44:53
22975,Expired,4.08,12263,2021-09-04 00:16:30
28040,Customer Return,2.5,7373,2024-03-26 09:35:52
13979,Wrong Item,1.68,27237,2020-11-08 19:56:57
21430,Wrong Item,1.51,15260,2018-10-04 18:51:35
27751,Customer Return,4.48,25160,2018-11-24 15:30:47
22876,Customer Return,8.36,21984,2020-03-27 13:22:21
21175,Customer Return,2.86,17958,2020-05-06 13:47:18
28561,Wrong Item,1.82,22314,2024-10-23 09:49:37
20309,Expired,12.32,21520,2019-05-06 04:44:50
24544,Expired,11.11,10085,2022-12-21 15:45:34
5606,Wrong Item,0.75,10165,2024-07-17 21:06:33
4633,Wrong Item,4.64,6268,2021-07-18 14:16:30
14602,Wrong Item,11.23,6544,2019-12-06 01:29:31
20126,Customer Return,11.88,25868,2020-06-24 17:27:45
7916,Damaged,7.94,17326,2022-09-29 23:48:24
25910,Wrong Item,0.02,5025,2020-08-13 16:16:47
3008,Expired,4.26,21207,2022-10-24 19:12:20
17294,Expired,4.73,5428,2020-11-01 04:37:49
22298,Wrong Item,5.97,5143,2020-04-06 09:56:28
12272,Wrong Item,8.54,27003,2024-04-10 15:11:04
5743,Customer Return,2.65,5888,2021-01-07 05:53:11
6670,Expired,2.59,16716,2022-01-10 09:14:14
20003,Wrong Item,3.49,5259,2022-10-01 05:23:06
619,Expired,3.82,18177,2022-09-22 04:30:39
21915,Customer Return,5.71,4286,2019-09-21 17:45:58
25168,Customer Return,1.23,26349,2023-11-16 14:57:28
5100,Wrong Item,1.77,20885,2023-06-20 10:05:46
10547,Customer Return,12.32,23691,2019-05-02 19:33:04
1243,Damaged,12.28,21359,2021-05-09 11:42:49
