order_id,warehouse_id,order_to_ship_days,delivery_days,fulfillment_status,order_date
232339,136,5,4,Delayed,2022-05-27 04:46:34
184731,150,9,5,Delayed,2021-11-12 13:56:29
287078,5,6,5,Delayed,2019-08-06 09:27:16
264723,31,2,4,Fast,2023-09-29 00:20:18
243498,109,5,2,Delayed,2023-12-09 23:23:27
204668,4,7,3,Delayed,2020-02-08 03:15:42
166870,38,6,5,Delayed,2019-03-29 10:29:26
197613,152,1,6,Fast,2023-05-07 18:24:41
207497,82,2,1,Fast,2020-10-15 09:40:22
120796,35,6,4,Delayed,2019-10-06 01:06:03
123853,153,2,5,Fast,2022-06-13 01:29:39
104954,185,2,2,Fast,2022-10-30 12:09:17
217082,34,6,3,Delayed,2023-01-07 14:24:22
275735,7,8,3,Delayed,2019-06-13 07:44:45
135262,176,4,2,Delayed,2021-11-08 20:31:33
126824,120,5,3,Delayed,2018-08-12 05:15:22
157080,30,3,6,Fast,2022-01-13 22:33:58
215899,120,3,6,Fast,2022-01-25 22:15:08
158436,96,8,4,Delayed,2022-09-13 16:49:59
222638,120,4,5,Delayed,2021-09-30 04:37:26
251377,13,6,3,Delayed,2018-04-18 14:37:23
126459,189,7,1,Delayed,2018-10-30 19:28:50
238303,31,7,4,Delayed,2020-02-28 03:29:47
206367,105,3,3,Fast,2023-05-22 18:06:30
260919,161,7,1,Delayed,2021-08-14 08:14:57
146034,158,1,1,Fast,2024-08-21 15:45:57
284007,138,4,5,Delayed,2023-05-15 18:54:14
228378,28,1,4,Fast,2020-07-22 09:20:50
124702,186,7,5,Delayed,2020-10-15 11:18:06
226258,194,3,1,Fast,2018-04-16 06:03:18
254179,111,3,3,Fast,2019-12-31 16:49:13
108197,183,5,4,Delayed,2020-07-21 02:38:50
151105,15,5,5,Delayed,2019-10-27 00:07:28
251520,179,8,2,Delayed,2019-07-20 03:07:04
256590,188,9,6,Delayed,2019-06-10 07:10:26
117500,173,5,6,Delayed,2024-06-24 07:11:32
286181,36,4,5,Delayed,2019-08-28 20:28:43
103878,8,6,3,Delayed,2020-07-01 00:16:57
235049,147,5,3,Delayed,2024-11-03 02:36:38
151903,122,2,2,Fast,2021-10-06 12:04:50
151094,63,1,1,Fast,2024-02-07 16:18:28
146454,183,6,4,Delayed,2021-11-17 09:14:52
193838,116,5,5,Delayed,2021-06-09 12:25:14
263667,104,2,1,Fast,2019-10-14 18:24:39
177621,6,8,3,Delayed,2024-08-14 14:59:35
107613,16,4,1,Delayed,2021-02-18 15:39:37
220593,75,8,3,Delayed,2019-02-11 20:05:34
287336,28,6,1,Delayed,2023-06-19 07:55:24
193433,72,8,6,Delayed,2020-04-28 18:30:12
223739,81,8,1,Delayed,2022-08-23 13:49:48
113438,194,6,6,Delayed,2023-05-11 14:01:02
284739,133,6,4,Delayed,2023-06-20 17:21:47
148849,73,9,4,Delayed,2021-01-08 23:34:06
165779,100,5,6,Delayed,2023-12-18 19:22:19
298811,72,3,6,Fast,2023-02-17 07:49:20
237179,64,3,3,Fast,2019-01-01 21:43:35
262525,94,8,5,Delayed,2023-02-17 02:29:30
219147,161,9,4,Delayed,2023-06-29 09:41:18
268616,11,6,4,Delayed,2020-05-31 10:38:48
101365,181,3,6,Fast,2021-06-06 21:59:27
107938,32,9,6,Delayed,2020-08-21 02:06:20
158426,113,5,2,Delayed,2021-08-19 00:07:53
187500,140,8,1,Delayed,2020-03-14 19:18:24
141350,136,4,3,Delayed,2019-02-06 23:33:59
269336,130,6,6,Delayed,2018-01-03 09:33:59
213274,190,5,6,Delayed,2021-05-17 11:53:38
287879,28,7,2,Delayed,2023-07-25 15:04:45
214106,48,1,5,Fast,2020-01-11 07:46:27
171246,38,1,1,Fast,2021-02-05 22:43:07
136963,23,9,2,Delayed,2018-05-21 03:33:23
225137,165,9,4,Delayed,2023-06-15 18:01:34
156881,62,3,4,Fast,2021-07-10 11:57:45
233329,4,3,5,Fast,2020-04-28 19:19:55
287798,193,2,4,Fast,2018-01-15 16:48:48
100133,161,7,3,Delayed,2021-11-24 02:38:15
242053,155,3,1,Fast,2022-07-30 12:50:23
116601,191,5,6,Delayed,2023-02-26 04:06:32
231688,82,8,6,Delayed,2021-12-05 14:17:37
140616,120,6,3,Delayed,2019-07-19 22:11:46
276980,88,4,4,Delayed,2021-10-18 04:26:16
150122,73,2,6,Fast,2018-09-29 16:00:47
213326,69,8,5,Delayed,2022-11-27 22:27:10
252408,83,2,2,Fast,2020-09-24 18:31:23
125813,111,1,3,Fast,2023-03-23 11:21:22
201106,19,4,3,Delayed,2024-03-10 01:56:19
118994,147,1,3,Fast,2019-03-07 05:31:01
197511,58,1,2,Fast,2019-11-06 04:39:08
117844,88,2,2,Fast,2024-08-10 04:51:07
108190,10,6,4,Delayed,2023-02-21 13:39:45
224491,49,2,6,Fast,2021-04-04 19:10:57
243505,139,2,1,Fast,2018-03-08 03:30:43
226107,74,7,3,Delayed,2019-12-16 15:19:39
127682,167,5,3,Delayed,2018-06-24 15:42:22
131535,8,4,3,Delayed,2022-06-08 15:36:45
100752,110,8,2,Delayed,2020-10-13 08:34:32
208673,192,9,6,Delayed,2024-09-13 04:23:50
254961,18,4,6,Delayed,2024-10-20 13:09:21
262661,89,7,3,Delayed,2022-01-15 15:12:46
131438,129,8,4,Delayed,2024-03-30 22:59:04
150747,172,3,3,Fast,2023-05-04 02:23:10
104541,124,8,3,Delayed,2018-02-26 21:58:10
231669,113,4,4,Delayed,2020-09-27 05:15:16
154516,86,4,6,Delayed,2023-05-07 10:00:31
203585,199,3,1,Fast,2018-04-09 17:38:30
109472,38,2,4,Fast,2022-07-30 10:53:52
184225,63,3,6,Fast,2019-04-09 11:07:56
279948,110,8,1,Delayed,2021-05-06 09:31:33
218686,38,9,1,Delayed,2024-05-12 06:43:41
177352,116,9,2,Delayed,2018-05-25 09:17:19
141197,167,3,4,Fast,2018-10-10 04:54:38
286775,124,8,1,Delayed,2018-12-15 07:31:43
132081,125,3,4,Fast,2021-10-17 08:23:03
198075,141,4,6,Delayed,2023-08-23 20:31:37
269341,106,8,1,Delayed,2018-04-18 19:31:58
276130,94,7,6,Delayed,2023-10-29 00:51:45
169171,113,9,4,Delayed,2023-06-08 18:14:13
227786,18,3,3,Fast,2022-11-15 09:14:29
108717,159,6,6,Delayed,2023-03-26 16:26:59
138050,191,1,2,Fast,2019-01-19 09:20:00
155607,141,5,4,Delayed,2022-06-08 06:25:16
205699,199,9,6,Delayed,2021-06-16 22:51:29
283801,159,4,6,Delayed,2019-07-16 11:54:29
238010,60,7,6,Delayed,2019-04-27 19:20:45
151561,97,8,6,Delayed,2020-10-26 07:25:30
102501,25,1,4,Fast,2018-08-21 03:59:02
192004,5,1,6,Fast,2022-07-16 00:31:21
168695,183,1,2,Fast,2018-03-16 01:50:46
256890,33,9,1,Delayed,2022-04-13 12:25:26
228943,6,6,2,Delayed,2022-03-13 17:20:17
290191,163,7,4,Delayed,2022-02-24 08:18:03
111956,14,1,6,Fast,2024-11-19 21:19:53
170676,144,7,1,Delayed,2020-07-15 03:46:53
261393,98,5,1,Delayed,2019-05-24 11:47:57
187299,157,2,4,Fast,2020-03-14 17:58:30
114735,66,1,1,Fast,2019-02-09 14:04:08
210305,166,1,4,Fast,2021-07-02 15:10:55
218065,116,4,6,Delayed,2018-06-17 13:32:33
166774,142,5,3,Delayed,2018-02-03 16:46:17
237016,145,5,3,Delayed,2021-12-02 19:48:52
181000,3,8,4,Delayed,2022-10-12 20:45:59
151585,176,7,1,Delayed,2024-12-11 00:44:17
245728,70,5,5,Delayed,2020-07-06 05:20:08
277168,82,2,3,Fast,2020-01-30 08:54:12
173234,77,8,2,Delayed,2023-01-26 09:19:02
152675,74,5,3,Delayed,2023-06-15 10:13:47
202951,159,6,1,Delayed,2021-09-05 09:49:08
130001,21,1,3,Fast,2024-01-03 03:52:00
279403,135,6,6,Delayed,2019-09-17 07:56:20
292316,184,1,2,Fast,2024-09-22 21:17:57
197645,87,3,6,Fast,2018-11-05 20:15:04
290583,32,1,5,Fast,2023-04-23 23:18:23
214116,51,6,4,Delayed,2023-05-19 19:02:17
253666,94,8,1,Delayed,2022-03-10 04:04:11
202861,59,8,2,Delayed,2020-04-05 17:06:54
290333,152,4,6,Delayed,2019-09-16 12:02:16
178588,46,3,2,Fast,2023-08-15 04:11:31
109533,112,8,1,Delayed,2018-06-14 06:48:32
295240,159,7,4,Delayed,2024-12-25 12:14:09
282142,91,7,1,Delayed,2018-04-01 18:11:58
289548,5,6,6,Delayed,2019-09-24 19:00:15
160319,21,6,2,Delayed,2021-05-11 00:57:47
252878,33,5,6,Delayed,2024-11-12 02:58:12
273423,183,7,3,Delayed,2024-03-06 07:32:09
166754,155,6,3,Delayed,2023-06-13 09:52:12
113838,155,6,4,Delayed,2019-02-23 05:52:50
210844,195,3,5,Fast,2024-12-13 13:05:31
242883,22,9,3,Delayed,2018-05-17 16:43:40
288957,4,8,2,Delayed,2022-02-06 03:17:10
238250,112,6,1,Delayed,2022-07-02 23:54:18
138891,122,1,3,Fast,2018-05-13 15:42:26
183774,61,8,3,Delayed,2023-08-01 06:43:12
295223,143,1,5,Fast,2018-09-01 14:18:50
171538,103,9,2,Delayed,2024-08-31 02:29:13
180796,19,4,1,Delayed,2020-01-04 01:58:23
156573,9,2,1,Fast,2023-03-26 14:31:14
246557,26,9,4,Delayed,2018-12-02 08:25:00
146744,106,7,6,Delayed,2019-08-05 01:53:07
224472,9,2,4,Fast,2024-01-23 17:08:02
223785,173,3,4,Fast,2023-02-27 09:40:37
193110,85,3,4,Fast,2018-07-21 06:09:05
291841,18,3,3,Fast,2020-10-17 17:45:20
273575,182,3,3,Fast,2024-11-21 05:09:54
180439,186,2,4,Fast,2022-06-13 13:10:30
254939,171,4,3,Delayed,2019-05-11 15:37:54
117313,114,9,6,Delayed,2020-12-19 08:12:15
239456,29,7,2,Delayed,2021-04-11 19:48:33
289335,195,5,3,Delayed,2018-05-10 07:59:05
106692,55,8,3,Delayed,2023-05-11 11:23:20
147794,3,6,6,Delayed,2024-03-22 14:37:13
184131,77,1,1,Fast,2022-02-15 17:15:09
244271,30,3,5,Fast,2019-05-03 03:55:16
218901,61,6,2,Delayed,2022-05-03 08:46:43
245378,49,7,4,Delayed,2024-11-25 05:48:00
201508,79,9,3,Delayed,2018-08-09 15:08:20
142040,77,9,3,Delayed,2022-01-31 07:10:31
113897,134,8,3,Delayed,2023-03-22 02:47:32
100032,95,9,5,Delayed,2020-11-19 14:43:24
224267,9,6,2,Delayed,2019-11-24 02:24:04
132755,136,5,6,Delayed,2023-04-26 23:00:51
292775,124,7,6,Delayed,2021-08-01 16:45:56
195339,55,9,6,Delayed,2022-05-04 04:54:44
212708,53,4,6,Delayed,2021-10-19 23:28:41
231160,36,2,1,Fast,2018-08-22 03:46:49
230476,155,2,2,Fast,2022-01-20 06:17:58
282611,181,1,3,Fast,2024-06-30 21:37:10
250283,74,2,1,Fast,2020-01-22 04:04:53
268273,182,1,3,Fast,2024-09-10 20:41:11
258289,52,4,3,Delayed,2019-07-16 14:27:33
120258,29,5,5,Delayed,2018-02-12 22:41:24
260812,93,5,2,Delayed,2018-02-13 00:15:21
259227,11,2,4,Fast,2021-06-29 22:20:08
148062,193,5,4,Delayed,2024-05-28 04:58:55
150947,108,9,2,Delayed,2021-03-31 13:22:42
144748,74,6,4,Delayed,2022-03-11 15:36:01
190698,181,4,3,Delayed,2024-09-04 09:28:54
292853,19,4,1,Delayed,2022-02-10 15:04:01
271802,127,8,6,Delayed,2022-12-21 18:56:21
192387,93,3,4,Fast,2023-06-11 11:53:18
204724,5,3,4,Fast,2024-12-28 05:12:11
120410,160,8,5,Delayed,2024-05-26 00:35:35
109488,47,8,3,Delayed,2023-05-26 12:55:11
236690,26,7,1,Delayed,2021-11-07 02:07:57
280588,187,5,1,Delayed,2024-09-27 08:26:54
283330,120,1,4,Fast,2021-04-29 04:06:30
265277,183,5,4,Delayed,2024-07-18 21:28:07
215145,108,6,3,Delayed,2019-12-28 09:16:10
238793,185,6,4,Delayed,2023-11-10 00:17:36
295982,118,6,5,Delayed,2019-05-26 17:04:27
205515,56,7,6,Delayed,2023-04-11 09:37:04
262747,69,7,3,Delayed,2022-05-19 09:12:11
206930,94,6,6,Delayed,2023-10-13 17:22:22
257652,173,6,1,Delayed,2018-07-30 23:29:08
257798,16,5,4,Delayed,2023-05-21 17:42:46
255831,185,9,2,Delayed,2023-01-26 01:01:19
241901,158,9,3,Delayed,2024-08-04 00:27:05
129052,135,4,4,Delayed,2019-04-06 07:09:53
226029,86,7,2,Delayed,2019-11-01 09:39:44
236359,188,9,6,Delayed,2021-08-28 11:25:26
106967,34,9,4,Delayed,2020-11-17 17:41:23
139748,122,5,4,Delayed,2024-04-20 07:35:26
140456,107,6,5,Delayed,2019-07-25 19:55:14
205697,122,9,5,Delayed,2024-12-06 03:42:46
131272,156,4,3,Delayed,2022-01-26 18:03:22
282162,170,3,2,Fast,2018-03-20 18:11:00
183893,190,3,3,Fast,2022-01-22 15:31:34
181893,13,3,5,Fast,2021-01-20 22:01:20
297795,130,2,4,Fast,2020-04-05 17:16:33
239545,153,4,2,Delayed,2018-06-30 20:39:36
173538,34,7,5,Delayed,2023-07-14 21:29:21
167011,194,3,6,Fast,2018-02-07 07:41:21
197865,44,9,1,Delayed,2018-12-09 05:20:02
161770,134,1,6,Fast,2023-03-29 11:05:39
191758,15,9,2,Delayed,2024-12-19 01:24:00
295287,60,6,4,Delayed,2019-11-06 10:55:23
183213,170,5,4,Delayed,2018-08-19 11:58:43
284151,40,8,6,Delayed,2020-07-22 10:39:55
213161,150,4,1,Delayed,2018-06-14 16:52:17
128617,44,7,6,Delayed,2020-04-17 13:54:29
202553,159,2,3,Fast,2023-05-31 03:48:40
203173,57,2,5,Fast,2018-01-14 13:32:20
284074,154,4,6,Delayed,2019-01-10 13:16:57
299443,139,3,1,Fast,2018-09-07 03:26:33
162906,99,8,4,Delayed,2022-03-27 16:13:34
184389,66,4,2,Delayed,2018-11-14 20:43:40
113208,65,7,1,Delayed,2019-02-15 22:44:06
184724,187,8,5,Delayed,2021-04-01 15:34:18
165195,6,3,3,Fast,2024-04-29 00:04:39
105241,193,4,6,Delayed,2023-03-17 09:46:44
260404,105,2,5,Fast,2023-07-27 22:14:09
294329,182,9,5,Delayed,2020-03-08 13:04:31
212772,47,2,4,Fast,2022-10-04 14:54:27
298855,142,4,4,Delayed,2020-10-23 16:39:45
261314,163,4,5,Delayed,2023-02-25 17:36:48
205389,109,9,3,Delayed,2022-06-25 11:31:59
176184,56,8,1,Delayed,2023-04-20 17:08:40
260096,135,2,5,Fast,2021-09-12 20:37:15
143701,96,8,3,Delayed,2022-05-04 07:46:13
278861,72,3,6,Fast,2022-06-20 07:58:45
169093,121,7,5,Delayed,2021-11-05 06:59:21
162549,46,5,5,Delayed,2018-10-26 17:39:06
132444,199,3,3,Fast,2020-04-08 07:08:47
228610,183,8,2,Delayed,2020-03-05 07:23:50
256378,25,4,4,Delayed,2020-07-06 05:25:14
286334,11,7,4,Delayed,2018-08-03 23:20:07
276647,130,9,5,Delayed,2019-09-04 13:50:54
203031,161,2,4,Fast,2020-01-08 11:25:00
180521,84,2,3,Fast,2021-12-08 12:19:46
161430,145,4,5,Delayed,2019-04-07 14:07:46
214187,177,5,6,Delayed,2019-06-25 02:04:29
277624,184,4,4,Delayed,2021-05-06 09:04:12
190445,105,7,6,Delayed,2020-08-05 21:59:15
270236,57,7,4,Delayed,2022-06-06 05:18:22
226052,21,7,1,Delayed,2021-11-19 10:51:09
222425,75,3,3,Fast,2018-01-28 15:03:10
133702,150,1,6,Fast,2021-01-17 20:10:19
269718,190,9,4,Delayed,2020-11-20 08:40:21
104505,147,3,4,Fast,2024-12-16 19:13:44
214218,118,7,6,Delayed,2024-10-28 04:32:13
258861,37,3,1,Fast,2021-11-07 16:09:16
204704,175,8,1,Delayed,2023-10-07 12:17:39
111909,136,9,4,Delayed,2023-02-04 22:55:41
291323,143,3,2,Fast,2023-08-24 08:04:24
203176,6,5,2,Delayed,2019-02-05 00:56:44
205809,98,5,5,Delayed,2022-06-26 18:37:18
177655,137,2,1,Fast,2020-05-22 16:10:14
111633,165,5,4,Delayed,2018-06-23 22:22:03
173720,8,2,5,Fast,2023-10-07 10:34:59
136368,145,9,5,Delayed,2021-08-17 17:51:42
276887,127,8,2,Delayed,2024-07-27 12:44:58
198365,105,1,3,Fast,2024-04-21 12:06:36
249666,79,3,5,Fast,2024-09-25 02:59:57
288551,91,9,4,Delayed,2019-08-12 17:59:29
178856,49,1,5,Fast,2020-11-26 07:18:44
125071,6,9,1,Delayed,2018-06-13 23:38:13
139568,98,4,6,Delayed,2018-11-30 14:29:40
190242,163,1,2,Fast,2024-07-08 03:12:26
266472,84,1,2,Fast,2021-06-22 23:28:38
169865,186,6,4,Delayed,2021-11-23 03:23:50
157858,186,6,2,Delayed,2023-05-31 21:16:45
136919,189,2,3,Fast,2021-08-21 21:45:34
239160,33,4,3,Delayed,2020-01-18 23:09:16
258051,141,7,4,Delayed,2024-05-27 21:45:30
160323,101,1,1,Fast,2024-02-21 11:14:01
220445,83,2,4,Fast,2024-11-14 13:17:54
147432,103,5,5,Delayed,2023-01-10 05:04:19
155890,169,7,5,Delayed,2022-11-14 20:03:26
297244,54,8,5,Delayed,2022-07-29 03:09:59
114814,170,8,6,Delayed,2018-07-31 23:30:08
248806,144,5,1,Delayed,2019-07-18 20:41:41
195687,42,7,5,Delayed,2023-08-17 11:44:30
203182,164,4,5,Delayed,2021-05-09 16:17:03
279945,23,3,4,Fast,2018-12-04 02:37:34
224168,42,7,4,Delayed,2022-01-27 06:19:24
234901,29,5,2,Delayed,2020-05-25 20:19:56
261589,125,2,3,Fast,2020-09-24 16:40:31
280522,115,8,2,Delayed,2019-06-12 19:50:06
121601,153,2,1,Fast,2020-12-19 08:05:31
265949,63,7,1,Delayed,2024-10-10 22:42:02
159002,54,9,2,Delayed,2021-08-07 19:11:31
202891,29,1,2,Fast,2021-07-24 14:37:58
210686,12,4,3,Delayed,2023-10-10 23:01:57
281029,8,2,5,Fast,2021-05-23 23:17:14
159065,37,3,4,Fast,2023-01-14 19:39:36
242412,124,1,2,Fast,2019-07-23 19:45:08
231621,138,2,6,Fast,2024-06-29 12:45:44
216208,76,7,1,Delayed,2021-12-21 12:26:04
259303,62,8,6,Delayed,2019-04-29 01:56:02
289988,76,1,4,Fast,2018-07-24 17:05:38
297178,113,8,6,Delayed,2024-11-24 05:58:43
113235,113,7,5,Delayed,2019-02-20 02:45:52
261585,31,8,4,Delayed,2021-02-14 09:11:59
272051,46,8,4,Delayed,2023-01-02 08:11:13
193440,35,4,4,Delayed,2024-10-01 22:57:49
176251,61,5,5,Delayed,2023-08-20 06:41:20
277278,58,7,6,Delayed,2023-01-03 20:58:42
257156,79,7,4,Delayed,2023-02-05 17:21:46
143419,154,3,4,Fast,2019-06-13 17:27:22
247353,26,9,2,Delayed,2019-01-15 16:27:48
108476,168,4,2,Delayed,2023-10-16 15:06:49
103284,141,8,5,Delayed,2019-11-17 10:32:15
259390,129,5,6,Delayed,2023-12-17 22:23:20
138228,1,3,6,Fast,2018-01-30 18:21:37
151987,167,9,4,Delayed,2022-04-07 10:34:22
157764,132,2,3,Fast,2024-11-02 23:43:31
106375,179,3,5,Fast,2020-05-22 23:37:04
144040,105,4,3,Delayed,2024-01-08 13:48:42
155459,195,4,6,Delayed,2021-11-27 08:54:18
130859,56,2,5,Fast,2020-05-06 09:15:42
142079,21,5,3,Delayed,2023-04-22 23:12:59
274045,92,4,3,Delayed,2024-09-06 19:18:05
200196,181,8,4,Delayed,2018-11-04 22:17:41
251187,185,2,5,Fast,2019-11-16 00:22:40
294361,37,9,2,Delayed,2018-08-16 22:26:44
154070,112,3,4,Fast,2022-09-20 19:49:03
178178,16,1,2,Fast,2020-02-04 03:40:57
249680,166,3,2,Fast,2024-12-21 04:34:56
283048,100,7,5,Delayed,2020-05-25 06:17:57
243025,163,4,5,Delayed,2020-09-04 02:27:38
220464,157,9,3,Delayed,2023-04-14 11:35:32
295179,68,9,4,Delayed,2020-02-06 02:35:01
201130,194,6,6,Delayed,2024-02-02 07:12:46
239355,39,3,2,Fast,2022-01-09 21:31:45
141898,170,1,5,Fast,2021-06-12 03:31:37
203291,153,5,6,Delayed,2023-12-03 03:25:57
118742,183,4,1,Delayed,2022-02-25 21:58:15
162584,162,9,6,Delayed,2023-03-17 10:10:37
104590,113,9,1,Delayed,2024-10-03 18:36:46
105843,56,7,5,Delayed,2020-03-13 00:14:15
176290,119,5,6,Delayed,2019-09-15 12:39:02
282988,161,6,5,Delayed,2021-04-12 13:21:10
243333,124,1,6,Fast,2019-03-02 16:00:00
256341,178,4,5,Delayed,2021-07-15 01:15:41
172146,83,3,4,Fast,2018-09-23 15:13:44
243103,148,8,6,Delayed,2021-02-27 17:05:22
155262,128,3,2,Fast,2018-01-25 03:16:57
147601,123,2,4,Fast,2023-02-27 09:13:50
157492,166,7,2,Delayed,2020-04-15 22:00:53
292071,180,1,6,Fast,2018-02-18 23:31:29
167793,14,4,3,Delayed,2021-09-28 09:30:52
296333,122,7,4,Delayed,2023-09-24 19:43:36
103959,56,4,2,Delayed,2023-03-08 03:57:12
156142,51,4,5,Delayed,2021-07-25 13:43:11
215722,184,3,3,Fast,2022-09-02 07:44:50
231484,181,8,3,Delayed,2023-07-21 03:01:50
214038,127,3,6,Fast,2019-12-19 04:11:00
143873,31,2,4,Fast,2020-04-30 11:23:16
177326,129,4,4,Delayed,2022-06-25 07:30:19
236888,65,6,6,Delayed,2021-05-04 21:50:54
246311,178,1,5,Fast,2020-03-22 12:16:33
172693,145,8,3,Delayed,2019-11-12 03:19:09
127098,130,4,2,Delayed,2019-10-09 22:09:47
209166,167,4,1,Delayed,2018-02-21 14:08:19
108468,3,8,4,Delayed,2022-06-25 15:26:32
177935,32,6,4,Delayed,2024-09-21 16:19:45
135281,79,3,4,Fast,2022-09-28 12:07:19
232353,158,2,1,Fast,2019-05-05 03:28:11
257165,193,4,4,Delayed,2022-12-27 21:18:09
162795,128,5,2,Delayed,2023-05-12 22:33:11
177183,76,8,4,Delayed,2018-07-15 03:32:07
272707,181,2,6,Fast,2019-08-27 13:25:08
271807,110,8,5,Delayed,2019-06-05 03:35:24
137519,48,5,1,Delayed,2023-03-15 06:12:15
141296,13,9,6,Delayed,2021-01-23 06:44:20
224058,82,7,4,Delayed,2018-09-19 04:24:36
239896,154,5,6,Delayed,2022-03-31 17:47:36
185168,10,2,2,Fast,2018-12-04 15:45:31
290820,168,6,5,Delayed,2020-02-21 11:05:27
188981,144,3,2,Fast,2021-05-09 04:08:32
