product_id,historical_demand,forecasted_demand,forecast_error,season,forecast_month
20097,62,110,48,Monsoon,2020-07-16 02:51:51
25323,264,278,14,Monsoon,2018-02-02 22:18:20
12174,340,334,-6,Festive,2022-12-21 04:39:41
29187,412,435,23,Monsoon,2020-07-23 10:01:22
26594,389,360,-29,Monsoon,2020-09-11 03:53:58
1964,351,310,-41,Summer,2021-02-11 23:06:18
5772,242,266,24,Festive,2021-09-13 19:02:37
8737,174,124,-50,Festive,2024-12-10 18:46:42
4799,153,135,-18,Festive,2022-12-12 15:32:33
10935,297,352,55,Festive,2022-01-02 21:45:16
4630,87,73,-14,Monsoon,2018-07-25 14:01:41
4980,492,566,74,Winter,2021-10-18 22:00:34
4511,440,417,-23,Summer,2019-02-17 15:57:39
5293,401,395,-6,Summer,2021-11-17 20:12:22
1501,178,232,54,Monsoon,2019-01-24 06:13:08
24744,163,193,30,Monsoon,2018-06-22 19:02:44
4025,348,375,27,Summer,2022-07-17 09:47:37
26019,56,134,78,Festive,2020-10-31 22:53:45
24878,482,479,-3,Summer,2024-03-11 01:33:51
19600,61,110,49,Winter,2024-07-29 21:22:07
28816,372,346,-26,Winter,2020-06-07 11:25:36
15217,417,416,-1,Summer,2020-06-15 17:36:52
8738,217,180,-37,Monsoon,2024-01-21 04:59:31
18678,369,371,2,Festive,2020-03-13 15:44:18
13398,154,129,-25,Monsoon,2020-03-13 01:57:40
16783,391,350,-41,Summer,2019-01-20 20:21:57
26037,441,492,51,Summer,2018-08-24 15:53:59
25663,465,529,64,Monsoon,2018-10-19 00:20:05
2008,336,329,-7,Festive,2023-06-04 21:54:22
21320,343,358,15,Winter,2023-10-14 08:22:33
13096,182,144,-38,Festive,2019-05-23 19:00:00
26057,407,467,60,Monsoon,2022-08-27 06:47:54
11962,334,322,-12,Summer,2021-12-29 07:19:54
23484,281,331,50,Winter,2020-09-29 16:51:10
23524,251,286,35,Monsoon,2024-12-09 10:02:41
22926,170,234,64,Summer,2020-07-04 21:03:29
7110,84,82,-2,Monsoon,2019-10-13 22:04:54
28444,257,242,-15,Winter,2019-12-30 00:34:55
18240,52,60,8,Festive,2023-06-24 18:09:57
18106,137,155,18,Monsoon,2020-03-26 22:27:59
22701,204,283,79,Monsoon,2019-02-19 07:21:27
508,52,92,40,Festive,2022-08-19 22:15:08
29324,33,42,9,Winter,2019-10-22 18:28:21
17453,139,171,32,Summer,2020-10-03 13:30:21
20400,26,70,44,Festive,2021-05-24 05:02:55
24360,491,480,-11,Winter,2021-12-23 14:30:55
16299,226,183,-43,Winter,2021-09-05 20:15:21
1095,393,464,71,Summer,2024-10-31 17:08:29
24827,214,235,21,Monsoon,2020-01-12 03:48:33
7137,389,351,-38,Winter,2018-04-13 07:36:06
27143,359,361,2,Summer,2021-11-16 01:22:55
17258,106,133,27,Monsoon,2022-02-09 05:51:49
1664,461,479,18,Festive,2019-02-03 08:54:52
10356,114,155,41,Winter,2024-12-15 02:19:03
1506,239,231,-8,Winter,2023-12-14 16:31:41
25186,352,327,-25,Festive,2020-10-14 08:28:51
6506,321,381,60,Summer,2023-08-18 21:46:28
7415,178,237,59,Summer,2024-04-07 23:35:04
2260,351,314,-37,Winter,2018-05-26 05:03:20
21449,277,348,71,Festive,2021-09-14 05:24:55
6763,189,204,15,Festive,2024-06-10 23:40:38
27507,455,532,77,Winter,2019-05-17 18:55:16
19854,42,10,-32,Festive,2018-06-08 10:29:41
8003,292,337,45,Festive,2024-04-17 22:05:09
24507,458,429,-29,Winter,2022-04-19 00:42:56
25609,244,210,-34,Summer,2019-07-26 12:15:29
5720,441,485,44,Summer,2020-09-17 16:06:21
674,240,209,-31,Summer,2019-06-22 02:15:58
3969,79,97,18,Festive,2018-05-30 18:21:33
21228,274,256,-18,Winter,2022-10-11 14:10:49
11066,252,230,-22,Festive,2024-01-13 03:07:22
12236,115,130,15,Winter,2023-01-12 07:48:39
1689,95,50,-45,Summer,2022-07-29 14:19:16
29526,332,405,73,Summer,2022-08-01 01:21:23
480,232,293,61,Festive,2018-12-28 00:28:32
7433,310,382,72,Summer,2018-01-07 10:22:01
17223,119,118,-1,Festive,2022-10-02 18:10:57
7436,62,111,49,Summer,2021-11-06 20:26:18
27987,260,263,3,Winter,2018-10-26 03:02:05
22169,492,483,-9,Festive,2021-08-25 02:21:34
3310,207,253,46,Summer,2019-11-19 03:43:09
10353,479,467,-12,Winter,2022-08-28 18:45:26
5304,97,155,58,Monsoon,2023-06-23 13:30:27
21528,283,332,49,Summer,2018-05-21 15:02:16
759,173,216,43,Winter,2019-07-02 21:44:35
10816,59,40,-19,Summer,2021-11-21 23:25:22
18606,421,491,70,Winter,2019-01-24 06:50:39
3490,438,434,-4,Summer,2024-03-09 23:50:33
26985,480,540,60,Monsoon,2024-05-08 20:17:47
16,336,287,-49,Summer,2018-07-18 22:37:46
16677,321,298,-23,Winter,2021-10-10 23:31:52
7792,317,313,-4,Summer,2020-01-20 04:30:50
22838,356,428,72,Winter,2018-05-11 00:33:27
6580,391,382,-9,Summer,2021-08-19 03:32:52
13762,275,231,-44,Festive,2020-04-22 10:33:19
28937,332,340,8,Festive,2018-11-30 17:30:00
12198,413,374,-39,Festive,2018-05-18 00:13:59
7121,431,492,61,Winter,2020-02-25 17:55:48
19923,150,202,52,Winter,2019-02-05 13:14:03
22508,129,166,37,Monsoon,2022-12-02 19:33:34
27953,244,315,71,Winter,2021-10-05 14:25:58
16398,251,287,36,Winter,2018-06-23 11:45:32
925,243,320,77,Festive,2020-12-13 04:48:37
2626,492,483,-9,Festive,2020-07-10 15:38:59
7888,477,436,-41,Monsoon,2022-07-25 02:23:07
6589,206,270,64,Festive,2020-02-15 14:30:07
20431,442,448,6,Winter,2021-07-03 10:10:13
25867,496,564,68,Monsoon,2022-07-15 13:31:16
15799,460,495,35,Festive,2023-01-01 20:01:04
20852,383,444,61,Monsoon,2020-09-19 22:24:38
3019,130,160,30,Summer,2021-07-29 14:39:44
26966,114,154,40,Monsoon,2024-11-06 22:11:50
22646,307,376,69,Monsoon,2023-11-28 16:50:25
22524,462,481,19,Summer,2021-03-26 20:21:48
5794,137,89,-48,Festive,2018-02-06 16:35:26
15138,167,170,3,Summer,2021-11-08 18:32:21
4317,420,425,5,Summer,2018-02-15 12:18:53
23548,37,102,65,Festive,2024-12-25 11:54:36
9264,43,32,-11,Winter,2020-01-26 20:58:59
14322,239,265,26,Festive,2019-01-10 14:11:27
25391,271,251,-20,Monsoon,2020-01-19 22:22:23
23498,56,124,68,Monsoon,2020-12-20 18:38:01
9565,425,480,55,Winter,2018-01-04 01:50:05
21880,260,242,-18,Summer,2023-01-12 08:21:09
15992,349,308,-41,Festive,2023-03-13 10:24:00
19794,184,237,53,Winter,2023-07-24 15:51:28
20473,93,65,-28,Festive,2022-06-11 13:27:35
12565,59,90,31,Summer,2019-01-15 17:22:06
16857,298,252,-46,Festive,2018-04-04 12:59:32
21603,498,505,7,Summer,2022-12-22 07:14:51
13834,287,296,9,Winter,2018-05-21 09:46:22
10282,354,304,-50,Summer,2024-04-14 22:14:55
16116,362,436,74,Monsoon,2021-07-20 07:50:02
9488,414,414,0,Winter,2019-12-11 01:48:32
4646,447,397,-50,Monsoon,2023-08-13 02:55:50
18625,170,140,-30,Winter,2023-07-12 05:40:30
12538,412,446,34,Winter,2021-08-30 17:50:49
28845,62,111,49,Festive,2024-11-13 15:04:50
3649,228,276,48,Festive,2024-07-27 08:43:53
22231,357,354,-3,Summer,2018-09-01 03:46:42
9839,38,96,58,Summer,2020-05-15 12:38:09
28789,461,422,-39,Festive,2023-04-20 18:54:59
4618,212,254,42,Summer,2020-08-19 20:10:23
5652,110,174,64,Monsoon,2022-09-06 07:49:07
512,118,129,11,Summer,2018-03-01 01:30:22
7151,253,287,34,Winter,2023-01-12 03:00:06
20948,59,119,60,Summer,2023-11-16 20:28:22
25319,155,184,29,Summer,2024-06-16 12:30:21
11374,70,72,2,Monsoon,2018-01-03 16:26:06
19983,69,30,-39,Monsoon,2018-01-17 00:30:18
24989,475,430,-45,Summer,2018-10-18 02:39:38
15013,263,240,-23,Monsoon,2021-09-13 04:36:30
6511,478,497,19,Festive,2024-12-01 17:01:14
26110,342,409,67,Summer,2018-06-13 00:37:55
20325,459,478,19,Festive,2018-04-13 07:26:24
6443,361,331,-30,Summer,2024-03-17 19:10:29
24413,253,321,68,Summer,2023-09-16 14:27:29
2145,245,260,15,Winter,2018-05-26 09:18:04
18061,22,-4,-26,Summer,2021-05-30 04:18:20
18555,82,59,-23,Winter,2023-12-07 21:44:34
18425,256,221,-35,Summer,2023-11-10 04:02:20
9238,308,263,-45,Monsoon,2024-10-23 21:20:17
28692,153,104,-49,Monsoon,2020-08-10 00:36:19
140,481,535,54,Festive,2020-08-14 18:35:23
12935,203,245,42,Monsoon,2022-04-04 18:47:53
27802,62,15,-47,Festive,2020-11-01 00:52:01
11543,236,197,-39,Festive,2023-03-24 00:02:32
12360,231,263,32,Monsoon,2024-08-10 15:33:09
14711,480,508,28,Festive,2024-08-13 22:45:33
819,151,199,48,Monsoon,2018-02-14 12:05:21
17199,45,99,54,Festive,2024-10-18 23:00:42
28317,343,358,15,Summer,2020-03-01 04:55:42
10433,472,452,-20,Festive,2024-05-19 22:12:59
3539,138,88,-50,Festive,2019-04-21 20:15:24
2529,293,290,-3,Summer,2020-01-24 04:20:18
17366,139,146,7,Summer,2021-04-01 23:45:18
4724,222,279,57,Monsoon,2020-05-07 15:43:16
27804,306,341,35,Festive,2024-08-02 10:08:52
2755,200,236,36,Winter,2023-06-19 15:12:26
9781,467,509,42,Monsoon,2019-09-08 23:06:30
6222,482,541,59,Summer,2024-10-28 12:10:26
10064,211,244,33,Winter,2020-01-01 00:29:12
12376,467,519,52,Winter,2021-04-14 22:06:22
17684,306,280,-26,Winter,2024-01-05 15:57:41
22385,353,425,72,Festive,2020-02-10 22:30:05
5920,406,428,22,Festive,2021-08-07 08:06:59
27258,61,20,-41,Winter,2024-12-15 07:38:06
17923,441,494,53,Winter,2023-02-17 04:37:53
15012,192,156,-36,Monsoon,2023-10-31 15:42:22
24529,300,295,-5,Winter,2019-01-26 17:30:17
10077,155,113,-42,Summer,2022-06-19 15:10:47
26381,55,78,23,Summer,2018-10-26 00:47:42
3229,286,344,58,Winter,2019-06-25 03:56:11
29777,299,269,-30,Summer,2022-03-06 01:30:44
14187,262,327,65,Summer,2021-07-04 12:21:17
3625,258,261,3,Monsoon,2020-07-01 09:25:09
8358,344,303,-41,Festive,2023-06-27 16:47:22
12815,236,203,-33,Summer,2022-09-18 04:39:21
23941,482,507,25,Festive,2019-04-19 20:33:21
277,411,385,-26,Festive,2018-09-03 17:32:53
3097,374,358,-16,Monsoon,2022-05-24 20:04:18
3951,454,450,-4,Festive,2024-11-06 09:02:02
21043,123,81,-42,Festive,2022-10-27 11:46:49
22254,400,365,-35,Monsoon,2022-06-12 03:58:31
206,288,339,51,Summer,2021-10-26 23:24:38
5128,167,188,21,Summer,2021-01-22 05:32:28
26023,481,478,-3,Monsoon,2020-05-21 04:51:15
28042,345,360,15,Winter,2023-03-20 09:17:03
13557,193,156,-37,Festive,2020-06-17 21:27:55
19476,363,414,51,Monsoon,2022-12-02 07:19:41
6188,369,366,-3,Monsoon,2019-10-24 03:27:15
4960,257,297,40,Festive,2018-05-17 19:57:31
19224,225,204,-21,Festive,2019-04-23 15:37:09
881,242,216,-26,Festive,2018-02-22 23:31:42
14807,478,524,46,Winter,2021-01-27 14:12:11
16623,459,450,-9,Summer,2020-03-03 02:00:59
6835,493,497,4,Summer,2021-07-01 18:31:40
1152,446,475,29,Monsoon,2021-01-13 05:03:02
23711,494,528,34,Summer,2020-04-01 10:28:15
29186,257,327,70,Winter,2024-09-10 05:44:20
19275,157,171,14,Festive,2022-12-28 02:47:27
24138,127,139,12,Festive,2022-07-05 10:22:08
3401,416,385,-31,Winter,2022-01-22 20:13:56
13856,168,134,-34,Festive,2023-02-09 13:16:10
17273,213,204,-9,Festive,2018-04-08 19:34:13
19356,410,428,18,Summer,2022-04-06 00:17:22
5983,391,388,-3,Monsoon,2022-02-25 17:20:05
18331,198,263,65,Winter,2020-02-07 19:54:32
14518,202,169,-33,Winter,2018-01-05 22:42:01
15342,493,563,70,Winter,2023-11-02 09:40:04
20417,386,338,-48,Festive,2020-02-29 13:36:07
1119,250,231,-19,Festive,2020-10-01 08:15:29
22182,203,275,72,Festive,2022-04-02 13:15:50
20424,70,105,35,Festive,2024-12-28 18:28:35
15882,296,278,-18,Winter,2023-01-05 14:58:50
17012,488,521,33,Festive,2019-06-24 09:05:36
6366,401,385,-16,Festive,2018-04-12 20:46:36
22098,419,418,-1,Summer,2024-11-03 04:31:23
11384,264,253,-11,Winter,2022-12-24 21:05:39
29713,368,376,8,Winter,2019-09-17 09:51:03
6724,183,217,34,Festive,2023-03-19 11:38:29
12896,495,542,47,Monsoon,2019-08-20 12:47:34
25031,376,397,21,Winter,2019-08-05 12:23:51
26149,69,43,-26,Monsoon,2020-12-22 14:44:27
6943,355,426,71,Summer,2022-01-15 22:06:44
15141,146,137,-9,Winter,2018-04-04 08:26:37
21492,481,438,-43,Winter,2023-08-30 03:17:21
13938,451,476,25,Summer,2021-10-27 05:13:13
12594,281,348,67,Summer,2018-01-25 16:45:07
3014,326,345,19,Winter,2023-01-27 16:02:30
25767,285,255,-30,Festive,2020-07-29 08:01:12
15744,93,55,-38,Festive,2024-01-04 00:05:40
20784,188,173,-15,Festive,2024-10-27 01:36:53
29829,409,427,18,Summer,2024-03-14 03:54:45
27236,94,155,61,Monsoon,2024-11-12 13:08:24
19770,434,476,42,Festive,2018-03-16 14:57:53
24520,468,479,11,Monsoon,2020-08-28 20:01:42
16864,435,463,28,Summer,2023-12-17 09:48:18
22034,239,307,68,Winter,2024-09-19 15:07:45
16181,476,515,39,Monsoon,2024-06-18 11:09:26
29489,208,162,-46,Monsoon,2018-11-20 08:06:36
10964,79,89,10,Monsoon,2021-05-25 23:46:43
14189,147,124,-23,Winter,2020-07-23 18:37:07
109,431,421,-10,Festive,2024-06-21 13:31:18
7296,472,438,-34,Winter,2018-10-21 21:49:49
6370,265,232,-33,Festive,2023-06-12 01:22:29
17566,232,234,2,Festive,2021-01-29 15:07:42
8809,218,288,70,Monsoon,2020-05-12 03:34:03
26152,310,374,64,Winter,2024-12-01 03:23:07
10057,280,280,0,Winter,2018-12-31 11:52:39
5381,443,432,-11,Festive,2019-03-07 05:16:12
23464,210,249,39,Monsoon,2023-08-27 21:29:23
8097,368,384,16,Monsoon,2022-05-15 23:55:31
7477,135,144,9,Festive,2022-07-07 02:16:37
4531,365,363,-2,Festive,2024-11-15 21:33:33
14862,367,402,35,Winter,2021-09-13 21:58:53
27351,453,426,-27,Summer,2022-12-20 17:25:32
3613,69,78,9,Festive,2022-11-25 00:15:35
28284,64,55,-9,Festive,2019-08-26 05:45:11
27423,114,130,16,Summer,2023-01-07 12:04:28
20826,369,425,56,Monsoon,2018-05-24 14:03:58
9988,415,422,7,Winter,2019-09-27 01:24:47
367,251,330,79,Monsoon,2024-12-24 14:58:29
3074,299,272,-27,Winter,2018-11-20 22:00:13
21750,352,341,-11,Winter,2022-06-02 10:16:28
13804,416,385,-31,Festive,2020-12-13 12:30:03
7330,95,89,-6,Festive,2019-08-23 05:22:54
7686,173,191,18,Festive,2021-07-04 17:59:43
12183,257,233,-24,Summer,2019-08-25 07:34:25
3156,393,472,79,Festive,2023-09-02 08:23:22
20128,116,166,50,Festive,2021-02-08 20:01:11
1794,358,351,-7,Winter,2023-06-06 04:11:34
26040,147,148,1,Monsoon,2021-02-18 05:34:52
19018,371,339,-32,Summer,2018-10-05 09:43:04
15199,146,126,-20,Winter,2019-08-19 00:25:19
16643,96,130,34,Festive,2023-09-15 21:36:47
22718,463,495,32,Winter,2021-04-20 08:31:04
11552,386,457,71,Festive,2024-08-11 02:12:32
3418,338,363,25,Monsoon,2018-08-25 13:43:03
16164,486,531,45,Summer,2018-09-16 11:26:03
18687,497,503,6,Monsoon,2023-12-13 13:23:45
7260,366,443,77,Monsoon,2023-11-14 11:33:43
1758,149,126,-23,Monsoon,2020-04-04 19:32:21
11033,94,62,-32,Summer,2022-01-17 06:33:16
6777,157,170,13,Winter,2019-10-27 07:46:31
15481,67,37,-30,Monsoon,2021-09-18 12:42:11
13149,87,158,71,Monsoon,2021-07-03 13:52:03
2607,322,314,-8,Winter,2018-06-09 11:10:46
7163,41,42,1,Monsoon,2020-09-19 08:41:53
2415,149,218,69,Summer,2021-01-02 03:00:29
3510,82,148,66,Festive,2024-12-31 23:32:30
6377,24,45,21,Festive,2024-03-14 17:46:12
13369,355,345,-10,Winter,2019-11-20 01:02:10
14103,133,175,42,Winter,2018-03-03 20:25:00
3723,415,388,-27,Winter,2021-12-08 05:18:45
9598,321,289,-32,Summer,2021-07-05 13:39:30
15255,457,418,-39,Winter,2023-12-04 13:45:46
9087,90,138,48,Festive,2021-08-10 03:18:01
8935,401,366,-35,Festive,2021-02-02 12:08:21
10212,46,97,51,Monsoon,2023-03-10 21:03:43
29961,337,357,20,Monsoon,2023-02-11 01:45:08
7077,149,140,-9,Winter,2020-04-28 22:09:12
13304,40,44,4,Monsoon,2019-03-10 00:51:24
15715,25,82,57,Summer,2022-02-12 22:48:41
24985,259,216,-43,Festive,2019-10-12 15:43:05
19784,178,257,79,Festive,2022-05-27 17:58:20
20566,274,334,60,Winter,2019-12-13 14:31:27
28315,133,131,-2,Summer,2019-02-17 04:38:58
17630,435,456,21,Summer,2020-10-25 18:22:32
18597,174,227,53,Summer,2021-09-15 09:22:40
10802,264,254,-10,Summer,2021-02-17 04:52:50
13915,186,144,-42,Summer,2018-09-20 22:41:14
29109,357,429,72,Summer,2024-07-27 13:59:47
13253,240,242,2,Festive,2018-05-01 09:55:37
17030,478,523,45,Festive,2018-08-21 12:13:07
21445,475,494,19,Festive,2020-02-10 11:34:29
16179,78,66,-12,Winter,2021-12-09 08:53:02
11231,30,47,17,Festive,2019-12-28 16:53:19
24693,331,375,44,Summer,2024-07-22 12:37:30
21311,255,302,47,Monsoon,2021-04-09 13:20:36
2184,412,477,65,Festive,2023-04-17 11:13:40
5476,367,381,14,Festive,2024-09-12 19:22:50
9343,251,203,-48,Monsoon,2024-08-08 22:13:52
20142,301,317,16,Festive,2023-10-21 00:42:08
12441,432,467,35,Festive,2018-02-18 21:28:52
19602,335,312,-23,Winter,2024-04-23 10:21:00
3328,256,261,5,Festive,2019-04-19 21:52:39
4856,27,12,-15,Festive,2021-10-01 00:59:23
24323,406,369,-37,Winter,2024-09-27 02:39:23
25097,361,362,1,Festive,2022-10-05 21:37:22
26182,319,291,-28,Winter,2022-02-28 14:01:42
3758,323,313,-10,Summer,2024-05-17 21:58:12
1033,164,234,70,Winter,2019-09-12 17:02:45
29755,239,312,73,Summer,2022-09-02 13:13:01
25159,344,339,-5,Summer,2021-03-04 13:48:39
2589,332,289,-43,Winter,2022-11-27 07:21:52
19973,378,423,45,Summer,2018-06-04 07:47:12
3162,38,67,29,Festive,2022-10-17 22:22:09
21732,294,323,29,Festive,2024-11-16 00:06:02
28650,318,300,-18,Festive,2019-12-18 15:20:36
29179,323,301,-22,Summer,2018-02-10 17:26:49
3311,460,457,-3,Summer,2020-03-10 13:17:18
79,240,259,19,Monsoon,2024-12-20 12:38:19
25602,483,520,37,Summer,2024-12-12 12:39:23
17300,52,61,9,Winter,2020-07-09 12:12:58
14558,222,196,-26,Summer,2020-10-25 23:54:35
20009,395,391,-4,Festive,2021-10-18 02:25:19
13643,265,327,62,Festive,2019-06-01 03:09:37
29741,277,266,-11,Festive,2020-04-29 15:40:59
19858,337,394,57,Festive,2019-02-21 20:23:40
5710,179,158,-21,Monsoon,2023-03-25 00:31:06
16721,304,315,11,Monsoon,2022-03-24 22:39:54
11120,155,180,25,Monsoon,2024-05-05 14:53:18
28687,354,426,72,Winter,2020-06-17 20:50:27
2060,118,74,-44,Summer,2018-01-25 21:05:16
20945,205,216,11,Festive,2024-01-27 11:29:04
18494,266,342,76,Summer,2018-12-06 03:04:58
29063,399,477,78,Festive,2023-05-21 03:02:21
11458,456,451,-5,Summer,2020-12-15 20:01:32
19424,297,294,-3,Winter,2022-05-09 16:41:33
12607,209,186,-23,Monsoon,2021-03-30 09:42:25
4093,327,382,55,Festive,2018-07-20 18:22:09
26482,376,379,3,Festive,2023-02-22 09:27:04
11918,21,64,43,Festive,2018-10-23 19:58:03
2893,20,67,47,Festive,2024-05-15 22:51:45
17168,358,410,52,Winter,2019-07-01 12:23:24
23941,386,452,66,Winter,2021-11-01 06:15:26
16317,346,300,-46,Winter,2023-03-27 13:45:22
29340,209,268,59,Festive,2019-09-15 11:15:03
20471,425,388,-37,Monsoon,2018-05-08 00:39:03
13283,271,296,25,Summer,2024-06-20 15:50:04
2873,427,480,53,Festive,2020-07-09 06:58:22
24788,327,279,-48,Monsoon,2023-11-03 06:38:44
26263,34,24,-10,Winter,2022-05-12 02:21:28
6400,149,116,-33,Festive,2022-11-06 06:12:06
29554,111,167,56,Winter,2019-02-04 01:46:04
1050,369,392,23,Monsoon,2020-09-10 21:08:40
1225,390,418,28,Festive,2020-02-27 17:11:04
21894,430,411,-19,Winter,2019-12-15 23:11:27
10138,223,186,-37,Winter,2021-03-30 23:03:26
19659,34,86,52,Monsoon,2020-02-21 21:34:47
29092,421,469,48,Winter,2021-09-28 13:39:42
11055,370,346,-24,Winter,2020-04-11 15:56:37
8877,217,219,2,Monsoon,2019-11-27 20:18:31
13748,359,326,-33,Summer,2020-10-16 07:40:56
20285,499,547,48,Festive,2018-06-10 11:59:42
7983,478,480,2,Summer,2018-09-05 12:11:32
5232,357,329,-28,Festive,2022-09-24 21:19:22
26907,156,165,9,Summer,2022-01-12 21:48:08
25541,301,327,26,Winter,2020-04-25 17:23:51
8327,344,344,0,Winter,2020-01-29 23:50:30
29162,285,324,39,Monsoon,2024-12-12 21:15:49
20926,253,267,14,Festive,2023-02-24 18:35:27
19079,489,497,8,Summer,2018-06-11 05:59:41
1083,364,316,-48,Monsoon,2022-12-28 21:20:48
29121,109,131,22,Monsoon,2024-09-15 09:45:10
2322,398,355,-43,Winter,2021-06-14 20:47:38
22468,163,177,14,Festive,2024-08-25 12:18:28
28508,203,234,31,Monsoon,2024-08-19 06:18:40
1052,323,278,-45,Winter,2023-05-24 04:43:45
9998,293,273,-20,Monsoon,2024-02-29 17:43:31
23330,492,521,29,Festive,2020-07-07 12:13:04
20701,77,137,60,Festive,2018-11-28 15:17:49
17663,450,432,-18,Winter,2019-08-23 05:27:52
26608,291,330,39,Festive,2024-08-25 22:34:15
3957,386,353,-33,Monsoon,2022-01-03 19:40:39
22759,433,426,-7,Monsoon,2018-06-17 19:37:34
3665,47,124,77,Winter,2020-07-05 20:45:32
8885,44,96,52,Summer,2018-03-25 19:50:41
13674,409,483,74,Festive,2020-04-14 22:04:22
22649,441,406,-35,Monsoon,2021-04-01 11:27:09
15269,413,403,-10,Winter,2021-12-22 22:42:21
226,268,276,8,Festive,2022-12-14 14:44:49
1116,438,500,62,Monsoon,2020-05-18 12:48:04
8593,139,173,34,Summer,2019-12-15 23:56:42
18345,477,486,9,Festive,2020-02-02 11:52:04
23084,487,534,47,Festive,2023-07-05 20:15:26
11905,250,317,67,Festive,2019-12-20 13:29:36
29594,355,383,28,Summer,2018-12-12 09:50:14
15801,297,319,22,Monsoon,2023-10-17 03:33:55
3992,273,281,8,Winter,2020-10-13 07:07:46
22467,261,319,58,Winter,2019-10-27 05:35:24
22919,311,267,-44,Festive,2022-11-18 06:20:48
25471,104,114,10,Festive,2020-12-25 16:19:11
13202,337,367,30,Monsoon,2021-07-31 22:54:19
21339,419,387,-32,Summer,2022-09-25 15:36:05
23542,202,182,-20,Monsoon,2022-11-06 06:39:19
22710,426,456,30,Monsoon,2018-05-11 02:05:23
23265,269,279,10,Winter,2021-07-11 22:26:24
9340,453,483,30,Monsoon,2024-06-09 11:36:15
5585,131,110,-21,Summer,2018-10-10 23:18:00
2821,476,448,-28,Festive,2021-09-09 23:08:58
13967,35,1,-34,Festive,2018-02-13 13:13:09
28317,148,154,6,Summer,2020-11-07 11:08:06
18700,108,108,0,Monsoon,2020-06-18 10:15:33
21497,82,153,71,Monsoon,2020-11-29 23:09:00
21262,375,447,72,Summer,2022-06-27 03:52:54
3779,184,254,70,Summer,2021-10-21 07:39:31
23588,399,395,-4,Winter,2024-07-23 20:43:54
25998,472,432,-40,Festive,2020-12-24 01:39:46
9387,333,343,10,Summer,2019-05-22 16:30:37
3191,23,79,56,Winter,2018-07-22 21:12:03
29812,323,287,-36,Monsoon,2023-02-10 13:00:50
10851,336,367,31,Festive,2019-05-02 09:22:15
12390,40,9,-31,Summer,2021-09-11 23:33:54
26694,56,87,31,Monsoon,2023-10-30 03:57:01
5360,235,232,-3,Summer,2020-10-03 00:38:07
23760,49,71,22,Summer,2023-10-02 03:47:41
21927,394,383,-11,Winter,2021-03-10 20:27:03
14185,26,45,19,Monsoon,2024-09-15 03:33:32
15174,344,316,-28,Summer,2018-08-21 02:28:07
