shipment_id,distance_km,transport_mode,transport_cost,delivery_delay_days
149463,57,Rail,1059.0,1
49427,1566,Sea,14116.0,2
63201,1981,Rail,18123.0,2
14272,287,Air,4619.0,0
45787,602,Road,17902.0,3
9827,1383,Sea,31177.0,5
148226,412,Sea,10380.0,3
90489,47,Sea,1603.0,4
73042,901,Rail,11917.0,6
126561,841,Air,7241.0,6
78474,47,Air,389.0,1
4160,1226,Air,12173.0,1
18276,1626,Road,49993.0,0
148296,54,Sea,854.0,3
20407,590,Air,13132.0,6
115278,332,Road,6719.0,4
129812,1613,Road,54313.0,2
90814,143,Air,2667.0,6
122366,1721,Sea,34550.0,1
75367,87,Air,1850.0,0
17089,85,Road,1413.0,0
31635,1284,Road,39400.0,0
18487,807,Air,25770.0,3
26970,112,Sea,3478.0,1
68701,1683,Road,42445.0,1
106220,1380,Road,33008.0,3
49944,1867,Rail,19529.0,4
6597,440,Air,13268.0,5
122915,562,Rail,8354.0,5
67665,827,Rail,11967.0,6
125381,1632,Road,52185.0,2
120123,475,Sea,10197.0,5
72389,626,Rail,11645.0,0
46291,338,Rail,5752.0,5
54451,484,Road,16772.0,4
47672,1259,Rail,19878.0,1
132092,623,Rail,8289.0,0
91684,924,Sea,12750.0,0
51789,268,Sea,6824.0,0
54769,366,Rail,10030.0,2
74128,1463,Sea,50121.0,1
96371,719,Road,10228.0,3
18753,566,Road,11617.0,0
33274,1238,Air,20288.0,5
97331,38,Air,951.0,6
51675,136,Road,1731.0,5
95247,469,Sea,6282.0,0
121538,1078,Rail,17533.0,5
112963,1486,Road,30292.0,2
147814,875,Rail,25313.0,0
95744,82,Sea,999.0,6
118318,1824,Rail,48020.0,4
6712,1386,Rail,44225.0,3
90687,1495,Road,46560.0,0
28526,368,Rail,10121.0,2
53251,10,Rail,315.0,6
26685,1293,Air,22040.0,2
49595,1978,Rail,67871.0,5
122436,848,Sea,21961.0,4
81315,1501,Air,47595.0,2
3293,369,Rail,5064.0,0
59260,1747,Sea,42856.0,4
6369,1707,Sea,45000.0,4
16530,1999,Sea,56998.0,6
70454,1339,Air,35041.0,5
72137,192,Rail,3522.0,4
8946,1400,Rail,30302.0,5
82535,735,Sea,16507.0,6
99549,1062,Road,19545.0,6
43195,548,Air,7463.0,1
98023,1324,Rail,13022.0,0
74024,480,Rail,5008.0,5
44235,1176,Road,14797.0,1
93234,679,Air,18678.0,2
86244,890,Road,20149.0,0
97786,110,Air,2711.0,1
58528,19,Air,202.0,4
87718,517,Road,5096.0,4
58155,166,Road,3789.0,6
94368,55,Road,1219.0,5
80730,969,Sea,12816.0,6
119578,20,Road,681.0,1
61236,569,Sea,17785.0,5
144633,681,Sea,14206.0,4
49849,1944,Road,20439.0,1
33873,821,Sea,21397.0,4
19849,341,Road,10360.0,4
72639,1612,Rail,54386.0,5
93627,526,Road,9971.0,1
41500,473,Rail,13580.0,0
49626,592,Sea,9455.0,1
29896,1620,Rail,56575.0,1
145943,1080,Sea,29733.0,5
134848,1804,Air,51997.0,3
113129,425,Air,4495.0,0
41937,564,Sea,14454.0,4
25410,1142,Road,13510.0,4
67506,951,Sea,24257.0,4
85242,575,Air,6953.0,2
60505,1138,Sea,35877.0,0
23139,756,Sea,9804.0,5
74176,125,Air,3392.0,2
441,1490,Sea,14360.0,1
43151,1794,Road,48337.0,2
97647,669,Air,13255.0,2
19572,48,Sea,1291.0,4
44882,1164,Air,32585.0,2
40443,190,Rail,3800.0,1
28851,55,Sea,1664.0,1
34669,1419,Sea,25090.0,4
69942,758,Air,11134.0,0
2090,1739,Sea,52550.0,2
130226,95,Sea,1389.0,0
82815,977,Road,33069.0,3
73393,1212,Sea,20049.0,5
136873,885,Sea,20922.0,2
91787,357,Sea,8186.0,6
56172,1042,Sea,29162.0,2
18260,397,Sea,13854.0,3
110270,985,Rail,22657.0,3
12211,234,Rail,6655.0,6
73757,757,Rail,23106.0,3
145487,1678,Rail,53575.0,5
60843,1342,Road,24381.0,3
47952,1767,Sea,34994.0,2
110478,375,Road,10474.0,1
72922,1501,Road,39344.0,6
80701,1160,Road,39947.0,0
128920,1019,Rail,11470.0,0
115637,1383,Rail,27207.0,2
47083,77,Sea,2544.0,1
40347,548,Road,9624.0,3
27235,1751,Sea,57209.0,2
51464,925,Rail,22342.0,1
56722,1469,Sea,15617.0,1
3437,844,Rail,9984.0,6
48518,854,Rail,25286.0,3
144329,676,Sea,9307.0,4
58928,1641,Rail,25529.0,1
143068,610,Road,11430.0,6
83421,1332,Air,40892.0,5
73184,924,Sea,22620.0,5
5835,1650,Sea,40146.0,1
95759,1027,Road,26327.0,5
74308,789,Rail,21160.0,0
134260,457,Rail,11498.0,6
61336,1237,Road,36741.0,5
40127,1373,Rail,42677.0,3
103863,124,Rail,1088.0,2
143444,1149,Rail,38553.0,1
129758,1183,Rail,28894.0,6
87445,279,Air,6576.0,4
51766,1666,Sea,43909.0,5
18435,1252,Air,36930.0,5
148963,1001,Rail,12572.0,4
16382,663,Air,8377.0,1
53434,1138,Rail,16266.0,1
138524,1039,Sea,12837.0,4
136886,1808,Air,48827.0,5
95646,386,Sea,4729.0,0
89881,210,Sea,6802.0,2
22605,1093,Air,22219.0,4
66471,462,Sea,5607.0,6
126901,532,Rail,16088.0,6
42442,1871,Rail,22774.0,5
35374,1353,Air,29624.0,1
1729,969,Air,31827.0,4
80399,1463,Sea,41222.0,6
46928,580,Rail,10248.0,6
101866,1827,Rail,34049.0,0
98009,938,Rail,10433.0,4
21349,1954,Sea,32954.0,2
11739,1932,Road,31336.0,6
140996,1787,Sea,29733.0,5
57546,143,Air,1567.0,5
4265,1705,Rail,29806.0,5
54171,1628,Rail,15714.0,2
124774,996,Road,19874.0,2
35957,1152,Sea,33658.0,3
26728,625,Sea,19002.0,5
40555,242,Rail,4133.0,3
134986,563,Sea,11105.0,0
148354,1018,Rail,15205.0,5
99029,675,Air,17221.0,2
107947,452,Road,14586.0,5
81037,71,Air,923.0,5
54925,940,Road,17319.0,3
78584,380,Road,9485.0,2
23956,1045,Air,15581.0,3
74727,1926,Road,60405.0,6
3329,712,Road,15886.0,2
4426,485,Sea,15859.0,2
12319,1768,Air,47636.0,4
140555,1187,Sea,33285.0,0
139356,1228,Air,35196.0,0
35887,1450,Air,46820.0,2
72048,1583,Sea,50332.0,5
117522,1533,Sea,30632.0,6
19205,1095,Rail,30253.0,5
131358,1193,Air,11867.0,1
131289,738,Rail,13097.0,4
18432,1753,Air,23452.0,4
45656,180,Rail,3783.0,5
138539,716,Air,15395.0,6
135185,1882,Sea,45825.0,6
131008,1657,Air,36705.0,0
131547,1566,Road,23015.0,6
90139,1955,Air,52350.0,0
3039,1012,Sea,34695.0,5
133048,1473,Rail,44970.0,1
20071,1451,Air,17922.0,2
115255,319,Sea,8674.0,3
144914,174,Rail,3892.0,1
65150,1145,Sea,19760.0,2
145755,1712,Air,29582.0,3
110669,1098,Air,21477.0,4
39304,1543,Air,39924.0,3
47854,1489,Sea,41205.0,0
612,961,Road,20691.0,6
92393,549,Road,9554.0,6
78881,197,Sea,4010.0,2
16436,989,Sea,25018.0,3
71563,1282,Air,40079.0,5
97554,73,Road,2284.0,3
15661,76,Air,1016.0,4
114418,933,Sea,30760.0,6
30172,1524,Rail,34307.0,5
2178,974,Air,27375.0,3
137180,859,Sea,11754.0,6
116653,824,Rail,20818.0,0
34815,710,Road,10812.0,6
77672,82,Rail,2242.0,0
119902,161,Air,5334.0,3
16337,31,Road,606.0,6
134276,651,Air,21917.0,6
134427,61,Air,1884.0,0
135399,376,Road,4226.0,6
97974,979,Rail,12494.0,5
407,136,Sea,1823.0,5
133703,1367,Rail,19154.0,5
120982,1971,Sea,31798.0,0
48374,1466,Rail,16340.0,2
114058,664,Air,7327.0,0
145641,298,Air,6386.0,0
37168,1505,Road,42060.0,6
86151,1913,Sea,65329.0,2
19640,1265,Road,12336.0,2
38474,1775,Air,45489.0,3
45111,1139,Rail,11772.0,6
86737,1978,Rail,55887.0,3
9507,1461,Air,16533.0,4
2266,1994,Air,34689.0,4
86276,1305,Air,40664.0,4
82736,794,Rail,9869.0,5
147560,1021,Rail,25183.0,3
77611,1734,Rail,33863.0,5
112960,615,Sea,21332.0,2
90095,716,Sea,16918.0,5
48972,1380,Rail,13977.0,4
127482,401,Rail,3310.0,5
76082,707,Air,14001.0,2
90719,796,Sea,7093.0,3
141624,998,Road,9637.0,4
67614,915,Sea,13350.0,2
41074,813,Road,19816.0,4
96883,25,Air,306.0,2
48570,1607,Road,44838.0,1
107316,219,Sea,4096.0,4
7497,1841,Air,64049.0,1
111890,376,Road,12439.0,4
19598,952,Rail,21216.0,1
64057,105,Sea,2179.0,1
45073,1954,Sea,41239.0,1
19284,1352,Rail,20946.0,1
60091,1328,Rail,33590.0,2
99175,972,Road,25407.0,4
28290,921,Road,11124.0,1
115391,358,Air,5057.0,1
134851,1915,Road,25667.0,2
69478,753,Road,16176.0,3
107324,919,Sea,23373.0,1
45896,716,Rail,15420.0,0
143967,407,Air,11700.0,1
16220,1681,Sea,35112.0,4
81427,633,Rail,20797.0,0
6366,1156,Air,18311.0,6
116671,1856,Sea,20299.0,5
145637,876,Road,25823.0,5
101503,420,Road,11560.0,4
127750,1628,Sea,47855.0,3
80148,972,Sea,31297.0,4
80445,1582,Rail,32412.0,6
96011,750,Air,17123.0,3
132981,623,Rail,16898.0,6
130543,592,Road,17739.0,4
86047,929,Air,28239.0,0
11260,1018,Road,27189.0,2
42527,49,Sea,1485.0,3
52649,779,Sea,9212.0,4
32546,538,Road,15509.0,4
34853,239,Road,2503.0,3
149091,1117,Sea,12332.0,2
65801,1193,Air,22329.0,6
127402,503,Rail,13404.0,5
108969,1504,Rail,42095.0,2
130498,1334,Sea,31360.0,4
38441,649,Air,6254.0,2
129952,1348,Rail,42525.0,6
12857,738,Rail,11635.0,4
100769,670,Rail,11229.0,1
118470,1046,Air,23926.0,1
133669,251,Rail,4296.0,0
112005,911,Air,20138.0,0
101856,1043,Sea,9232.0,3
47207,1512,Air,19735.0,3
143638,1973,Air,35279.0,2
82587,816,Road,25488.0,3
22337,1909,Sea,39027.0,1
11289,196,Rail,4453.0,1
96562,539,Sea,11353.0,5
41387,1353,Road,27155.0,5
25526,1219,Rail,21920.0,6
67820,1783,Road,28663.0,1
5675,1551,Sea,35574.0,6
7177,909,Air,20928.0,2
125450,76,Sea,888.0,5
61405,236,Sea,3937.0,5
87811,187,Road,4166.0,0
35794,1747,Sea,19348.0,4
2459,480,Road,12155.0,3
83477,1219,Road,23297.0,5
73684,398,Rail,8997.0,3
136679,684,Sea,9299.0,4
15835,980,Rail,10757.0,0
89486,1436,Air,13933.0,2
101781,751,Air,18998.0,6
141857,978,Road,12479.0,3
108449,1729,Rail,15045.0,6
115845,1510,Sea,52541.0,1
123420,1924,Air,59726.0,3
33466,177,Air,2887.0,4
91083,11,Rail,329.0,5
78233,353,Rail,3772.0,5
279,712,Rail,14766.0,2
4812,908,Road,15027.0,5
3283,229,Rail,5828.0,4
106891,1593,Road,34603.0,5
92359,901,Road,20655.0,0
118901,1532,Road,53572.0,2
144539,1916,Road,44106.0,1
86569,1639,Road,25121.0,0
116143,1643,Sea,50710.0,2
511,1566,Rail,25941.0,0
55885,964,Sea,10023.0,0
21085,1078,Rail,24283.0,3
95156,494,Rail,4923.0,2
42228,246,Rail,2924.0,6
15295,1479,Road,22128.0,6
125019,1870,Sea,53882.0,0
109496,1666,Air,55213.0,0
51693,198,Air,6912.0,3
76934,635,Air,9320.0,0
110814,502,Road,6208.0,2
86123,1362,Air,30601.0,5
64610,1106,Sea,34868.0,4
80528,1126,Sea,32616.0,1
95113,1309,Sea,23148.0,3
113591,559,Road,11736.0,0
39934,1069,Road,28548.0,2
126076,913,Road,12139.0,6
81116,994,Sea,12271.0,3
132077,385,Road,6028.0,2
100699,125,Air,2703.0,4
77899,56,Sea,758.0,4
114509,1375,Rail,45064.0,0
114947,461,Sea,12462.0,5
104627,1896,Sea,39901.0,4
11252,1739,Sea,22341.0,3
118291,78,Sea,2575.0,0
60017,67,Sea,1977.0,1
6393,1243,Sea,25419.0,2
6675,1073,Rail,34634.0,4
29003,154,Sea,4264.0,0
32602,557,Air,14068.0,3
99801,460,Road,5104.0,6
147329,1181,Rail,30913.0,1
73598,672,Air,13199.0,2
83197,187,Air,4491.0,1
53935,1091,Air,21502.0,2
126903,23,Road,450.0,3
11513,774,Air,19914.0,6
136305,1865,Rail,46448.0,0
124288,1606,Road,32550.0,1
144600,1243,Road,19709.0,1
433,548,Road,6099.0,2
4513,233,Air,4674.0,5
145125,1700,Air,26097.0,0
39860,880,Rail,15925.0,5
93404,382,Road,6864.0,6
89988,128,Rail,2925.0,0
134185,274,Sea,7076.0,6
138427,727,Rail,21289.0,4
52587,1993,Sea,33321.0,5
45733,79,Sea,1382.0,4
92366,671,Rail,5698.0,0
12260,465,Road,10949.0,0
35887,1999,Road,21768.0,5
6164,1163,Road,24471.0,6
114433,1861,Sea,30437.0,0
126161,1026,Sea,14560.0,5
43615,1064,Road,13023.0,4
67058,30,Road,970.0,3
97675,1917,Sea,52902.0,2
66293,33,Air,340.0,6
78382,1094,Air,16469.0,3
45706,66,Road,1289.0,4
23149,1250,Road,32337.0,1
130431,1598,Road,37277.0,5
20157,1959,Rail,29335.0,0
14108,1277,Rail,11549.0,4
102404,1394,Air,29861.0,5
64159,1957,Sea,32132.0,4
114178,1649,Air,31809.0,1
129973,783,Rail,24917.0,2
43201,916,Sea,31371.0,2
19151,1996,Rail,47926.0,4
129835,1817,Sea,31828.0,1
60693,171,Air,3849.0,6
30929,1317,Sea,24764.0,4
64672,771,Air,8837.0,3
81936,505,Sea,8135.0,0
144779,1614,Sea,56236.0,5
100498,563,Road,7397.0,4
109731,855,Sea,16375.0,4
786,178,Sea,4576.0,3
94846,1443,Rail,36428.0,1
87952,222,Air,6988.0,6
145446,1062,Road,23271.0,0
76547,1839,Sea,20379.0,4
140897,1242,Road,43117.0,3
94615,326,Air,6952.0,1
37546,281,Road,9166.0,6
112562,1232,Sea,35233.0,6
94979,203,Rail,1705.0,3
20732,794,Air,17907.0,1
5579,720,Sea,9702.0,6
45231,696,Air,10190.0,0
144136,868,Rail,22755.0,3
40752,1757,Rail,47119.0,5
60398,770,Road,23050.0,3
123995,225,Road,5265.0,6
143003,190,Sea,4543.0,2
105587,1291,Rail,17844.0,4
148177,320,Road,7289.0,0
26957,642,Road,11742.0,6
3781,253,Road,3091.0,5
60437,743,Air,23009.0,4
238,447,Road,8493.0,2
56217,179,Sea,2347.0,2
6825,848,Sea,29145.0,0
129471,300,Air,4146.0,0
30825,1008,Road,20602.0,1
102974,1073,Sea,15988.0,0
59805,1105,Rail,15213.0,4
40146,1188,Rail,17834.0,3
12104,1666,Air,36915.0,3
75215,1450,Rail,25655.0,3
43851,530,Sea,7684.0,4
130771,260,Air,3801.0,6
62791,1157,Rail,21881.0,4
28309,150,Rail,4505.0,5
137060,1657,Rail,36085.0,3
148119,1663,Air,43441.0,3
43594,1793,Air,19585.0,3
120721,1378,Sea,46827.0,4
1234,867,Road,7419.0,5
6054,1245,Road,31152.0,1
7901,1940,Rail,43380.0,4
93778,1653,Road,46096.0,1
62530,1844,Air,52420.0,4
11878,350,Rail,10916.0,5
18651,1388,Sea,16937.0,4
145171,959,Sea,11963.0,6
135304,1870,Rail,15234.0,4
58183,1215,Air,33440.0,2
27721,765,Rail,21967.0,5
116829,155,Road,1464.0,0
136512,121,Rail,2162.0,4
123123,1264,Rail,14928.0,4
124204,1417,Road,27908.0,6
42867,1939,Sea,64227.0,2
1408,162,Sea,4952.0,4
47345,679,Air,6012.0,5
93206,220,Sea,3952.0,0
45513,337,Air,8693.0,3
11787,1721,Road,33422.0,1
91227,1224,Road,35367.0,4
120164,1274,Road,39486.0,6
110313,1427,Sea,32776.0,4
22928,1700,Air,35772.0,4
51501,1149,Sea,38328.0,4
33816,1065,Rail,19819.0,4
91354,600,Air,18754.0,1
23550,173,Rail,2455.0,0
149844,1309,Rail,12155.0,2
29929,1533,Rail,52908.0,3
110721,28,Road,494.0,2
69068,1679,Air,56063.0,0
123505,1741,Air,37905.0,3
22631,1730,Road,14635.0,4
86898,307,Road,6439.0,4
99897,312,Road,9964.0,4
69193,949,Rail,16467.0,1
133634,1023,Air,35545.0,4
134330,1732,Air,54188.0,0
101514,1455,Rail,24604.0,6
126183,1777,Road,22379.0,1
4252,618,Road,9747.0,1
8923,1070,Sea,22019.0,5
22722,1168,Air,14680.0,3
70552,189,Sea,4496.0,1
84979,1314,Air,45686.0,3
144740,1321,Sea,18007.0,1
17287,1899,Sea,33502.0,1
10826,1361,Air,35145.0,3
17002,275,Air,3792.0,2
105975,1075,Air,17107.0,6
58881,440,Sea,14560.0,1
146246,356,Air,10042.0,3
48579,1980,Sea,17821.0,4
112338,765,Road,23929.0,3
38635,115,Rail,2493.0,2
38663,883,Road,13579.0,0
38066,1890,Sea,38584.0,6
129699,312,Road,7968.0,0
79653,481,Rail,15338.0,4
116808,835,Road,23671.0,6
96244,608,Air,18767.0,1
1308,1885,Road,37485.0,4
33820,1881,Road,55202.0,4
16983,1887,Sea,48356.0,5
91744,1706,Rail,54975.0,1
123676,1626,Air,51289.0,4
148190,1979,Sea,60156.0,5
9682,1724,Road,15037.0,2
69902,100,Rail,2497.0,0
60063,994,Sea,10853.0,4
75262,1958,Road,19120.0,3
65037,1740,Road,16394.0,3
74067,85,Sea,2382.0,3
33077,1839,Rail,16527.0,0
54785,1308,Rail,12588.0,6
50858,1196,Sea,20745.0,1
25457,1807,Sea,25687.0,0
63750,565,Road,12722.0,3
62572,1060,Road,16727.0,3
109982,671,Road,9042.0,1
135618,373,Sea,10285.0,3
24852,1727,Road,41209.0,6
142942,702,Rail,16738.0,6
41441,1917,Rail,65094.0,3
33440,449,Rail,14541.0,6
68709,1688,Sea,40670.0,4
85358,616,Sea,9391.0,5
135412,988,Air,11247.0,4
101095,1968,Rail,50076.0,6
44386,1106,Rail,17696.0,0
105730,1575,Air,25243.0,3
46363,1659,Road,22062.0,0
97619,1557,Rail,51029.0,5
18331,1369,Sea,24267.0,5
86614,648,Rail,13581.0,4
33754,1746,Rail,30545.0,6
146207,1630,Air,28898.0,6
96692,1198,Road,34569.0,2
131783,45,Air,525.0,5
29243,1924,Rail,51158.0,6
145120,1840,Air,49885.0,5
127341,1134,Air,37315.0,2
16229,1471,Rail,34578.0,1
27187,1630,Road,43337.0,1
135217,301,Sea,5000.0,1
23673,36,Rail,467.0,5
91648,1516,Air,20466.0,5
57638,1940,Road,30679.0,1
84659,1040,Rail,10521.0,2
75364,1891,Rail,23419.0,0
2691,506,Rail,4798.0,2
67422,1858,Sea,36614.0,6
79744,1129,Air,16216.0,3
74877,296,Road,9469.0,1
133570,1372,Road,33639.0,3
141146,1827,Sea,21015.0,3
119850,603,Rail,14032.0,1
99160,172,Sea,4085.0,6
15445,509,Air,6824.0,6
94645,13,Sea,231.0,6
49388,1698,Sea,17565.0,1
110936,1894,Air,41448.0,5
49570,304,Rail,7617.0,2
106949,445,Road,7782.0,6
87750,1643,Road,27538.0,6
21801,1779,Air,40250.0,0
53700,1018,Air,14318.0,0
74195,1063,Road,20104.0,2
52604,864,Rail,14061.0,0
44252,495,Air,15764.0,6
2973,1321,Road,37042.0,1
26507,602,Road,14734.0,2
94244,1842,Road,55923.0,6
5494,394,Air,8955.0,3
10588,1445,Rail,27562.0,2
41524,1862,Sea,58400.0,2
135033,1955,Sea,28029.0,4
36917,1134,Air,21473.0,3
44132,524,Rail,6156.0,5
46075,1407,Air,22085.0,6
13,575,Sea,19537.0,2
60887,1609,Air,34315.0,2
119604,1533,Air,34810.0,5
21510,1096,Rail,33832.0,6
30965,516,Air,13119.0,5
87492,1534,Rail,16497.0,5
144120,658,Air,14953.0,0
144186,472,Sea,8422.0,1
138211,748,Rail,26072.0,3
47521,609,Air,11427.0,0
64438,1277,Air,16419.0,1
86158,263,Sea,6229.0,3
12161,1413,Sea,28975.0,3
34422,1775,Air,57538.0,0
85865,855,Sea,17844.0,5
142223,1644,Rail,15878.0,5
100596,48,Sea,1558.0,1
55493,1640,Rail,40776.0,4
114238,846,Road,28875.0,0
99545,334,Air,4403.0,3
79834,689,Air,8560.0,0
10336,835,Rail,28169.0,3
57232,1420,Sea,14232.0,2
55803,314,Road,3626.0,0
76114,1752,Road,57889.0,6
110937,1910,Air,16391.0,4
145981,1906,Rail,26538.0,1
94408,1317,Air,30602.0,4
83164,310,Air,10156.0,4
118540,526,Sea,11481.0,6
121729,1634,Rail,43395.0,5
63286,1560,Sea,23814.0,1
85268,1746,Road,48576.0,1
58091,923,Rail,7435.0,0
25854,999,Rail,12101.0,6
131343,285,Rail,8814.0,4
97840,1648,Road,34897.0,1
121745,397,Rail,13470.0,3
142633,841,Road,25147.0,6
60835,143,Sea,1500.0,4
36740,178,Road,4934.0,6
78437,343,Air,9133.0,6
5679,1183,Sea,34944.0,1
56460,962,Rail,33353.0,1
51757,1417,Air,43955.0,1
110808,103,Sea,2962.0,5
32293,1412,Rail,34663.0,5
102854,813,Sea,28360.0,0
105952,246,Air,8494.0,2
69319,1131,Road,9716.0,3
102651,222,Sea,2014.0,5
148289,1759,Road,18072.0,1
71386,481,Road,9066.0,2
65,946,Air,29566.0,5
49524,121,Sea,1911.0,0
6852,517,Sea,10400.0,5
80849,365,Air,7011.0,4
50849,993,Sea,11645.0,0
119861,1559,Rail,44097.0,5
50143,883,Road,24455.0,2
103292,1064,Air,18075.0,4
92047,1269,Rail,31105.0,0
84995,22,Road,277.0,1
149607,1166,Sea,38388.0,2
118367,691,Road,10541.0,1
52507,615,Road,13258.0,5
98307,1580,Sea,15158.0,2
40793,720,Sea,21714.0,5
107683,498,Sea,13712.0,0
147691,284,Air,6761.0,5
118688,134,Sea,4598.0,6
129457,1032,Road,13631.0,6
123230,1480,Sea,26685.0,4
38470,631,Rail,18483.0,5
110035,1239,Rail,21911.0,6
149024,1625,Road,25509.0,3
106552,517,Sea,6426.0,3
76518,1973,Air,37571.0,0
37174,1335,Rail,42314.0,3
76658,555,Road,14698.0,3
100117,569,Road,13490.0,3
148945,723,Road,6736.0,1
7044,1807,Rail,58740.0,5
87804,375,Air,6523.0,3
147588,680,Sea,14561.0,5
131855,1135,Air,10827.0,3
120127,1957,Rail,26274.0,4
126125,290,Road,4637.0,2
137281,1260,Air,40789.0,3
23726,391,Rail,5484.0,1
80919,519,Sea,8669.0,6
43238,1454,Air,13913.0,2
62304,693,Sea,13899.0,5
55294,485,Rail,15946.0,1
13834,772,Road,17780.0,0
57983,479,Air,6686.0,6
98979,820,Air,15157.0,5
60030,1240,Sea,42166.0,1
147710,649,Rail,21749.0,3
99128,1792,Rail,21116.0,5
14635,906,Air,26867.0,1
845,1424,Sea,35006.0,2
16590,1433,Road,31374.0,2
132489,109,Rail,3367.0,5
66999,787,Air,9375.0,1
105151,417,Air,12985.0,3
149801,641,Rail,13782.0,1
88482,1077,Air,33233.0,5
