student_id,attendance_percent,assignment_score,exam_score,final_grade
7436,67,83,86,Fail
35632,52,84,91,Fail
36639,71,93,37,Fail
10188,74,53,54,Fail
15598,67,50,54,Fail
47309,50,67,65,Fail
48429,52,89,75,Fail
31447,89,57,62,Pass
49980,94,44,43,Pass
34081,87,75,97,Pass
5093,77,40,56,Pass
37834,69,70,85,Fail
39834,74,57,59,Fail
6342,54,70,75,Fail
12937,77,78,80,Pass
29465,61,64,51,Fail
2559,71,76,80,Fail
18021,63,80,88,Fail
15468,94,69,47,Pass
26218,61,60,75,Fail
22538,65,91,53,Fail
13321,72,59,75,Fail
39257,74,54,94,Fail
43345,71,61,91,Fail
36031,60,70,75,Fail
36598,71,63,83,Fail
40113,54,77,81,Fail
33165,95,65,56,Pass
1953,60,56,74,Fail
32522,57,79,51,Fail
1834,94,71,93,Pass
33526,55,69,62,Fail
36117,56,73,69,Fail
17490,81,65,35,Pass
40928,85,91,78,Pass
39858,92,70,83,Pass
23035,97,72,93,Pass
21320,90,46,41,Pass
18642,84,67,94,Pass
24203,74,96,70,Fail
44471,88,50,83,Pass
12337,90,47,64,Pass
4679,87,59,47,Pass
36598,75,50,92,Fail
21476,76,61,43,Pass
31254,96,70,62,Pass
7508,91,66,77,Pass
7972,52,46,73,Fail
2206,83,64,46,Pass
6962,50,49,62,Fail
10742,90,57,83,Pass
43696,61,45,96,Fail
4151,86,80,81,Pass
31148,65,75,39,Fail
39044,83,81,96,Pass
24135,96,69,92,Pass
41583,68,57,50,Fail
32984,97,42,70,Pass
31138,70,45,60,Fail
8022,88,73,52,Pass
10766,63,80,74,Fail
7469,69,71,47,Fail
38105,82,77,53,Pass
35164,70,57,73,Fail
35813,87,94,40,Pass
16766,98,85,43,Pass
11978,59,40,93,Fail
47635,63,64,89,Fail
25609,66,91,76,Fail
47255,61,47,69,Fail
39785,90,98,76,Pass
12382,52,62,85,Fail
31339,57,96,95,Fail
6120,88,92,57,Pass
947,96,89,75,Pass
44266,88,82,48,Pass
27089,83,66,87,Pass
29448,70,85,96,Fail
11649,67,90,44,Fail
31229,71,58,45,Fail
36636,84,40,77,Pass
6068,58,69,61,Fail
26048,89,79,68,Pass
21989,83,43,60,Pass
32148,56,65,54,Fail
33948,63,57,58,Fail
20061,87,90,56,Pass
44294,90,97,93,Pass
31172,78,43,97,Pass
21279,88,71,87,Pass
2052,57,96,84,Fail
28663,83,53,67,Pass
31912,91,67,37,Pass
12324,62,96,77,Fail
44518,88,51,97,Pass
34676,95,71,53,Pass
30232,90,43,69,Pass
14859,73,46,95,Fail
48688,62,58,63,Fail
27029,98,41,58,Pass
37095,71,53,98,Fail
33358,62,65,99,Fail
20072,89,50,79,Pass
3950,59,82,61,Fail
36025,83,49,47,Pass
22254,93,90,59,Pass
24836,76,65,69,Pass
45709,95,92,45,Pass
49548,75,47,56,Fail
13674,76,86,96,Pass
20096,88,44,76,Pass
28796,61,90,59,Fail
15233,89,66,37,Pass
23765,55,46,76,Fail
31147,63,67,41,Fail
9736,90,77,93,Pass
20451,58,47,76,Fail
9564,97,78,35,Pass
33620,97,81,45,Pass
22613,54,88,44,Fail
4162,88,68,77,Pass
22698,74,53,87,Fail
2194,60,91,45,Fail
16964,52,92,69,Fail
27074,92,63,64,Pass
30616,86,43,69,Pass
48786,83,70,77,Pass
35150,68,71,46,Fail
36898,89,99,66,Pass
14160,82,45,85,Pass
5320,99,71,69,Pass
23788,87,42,45,Pass
47655,91,70,58,Pass
30438,62,54,97,Fail
47415,90,82,77,Pass
36372,90,84,89,Pass
28758,52,97,57,Fail
30728,88,69,47,Pass
536,76,59,63,Pass
45595,91,49,37,Pass
12045,84,47,61,Pass
33870,75,95,39,Fail
9236,50,96,75,Fail
20678,50,99,80,Fail
9737,79,56,70,Pass
44982,55,69,58,Fail
20797,72,88,87,Fail
16242,80,48,64,Pass
48344,80,47,64,Pass
46791,99,79,67,Pass
35399,59,85,78,Fail
14697,71,75,74,Fail
27552,74,51,36,Fail
1100,51,60,57,Fail
1723,81,64,35,Pass
47747,80,93,93,Pass
49267,85,43,39,Pass
39576,70,70,56,Fail
14062,91,94,80,Pass
14513,95,67,46,Pass
26016,94,92,57,Pass
26057,86,83,92,Pass
16646,85,67,43,Pass
44612,75,91,52,Fail
14608,52,75,73,Fail
2123,54,50,58,Fail
44973,95,48,89,Pass
19344,98,64,72,Pass
45665,57,81,50,Fail
37272,70,66,90,Fail
131,58,71,91,Fail
42455,85,47,56,Pass
3665,54,86,81,Fail
11476,71,96,80,Fail
21719,69,49,61,Fail
43424,55,61,70,Fail
40391,59,91,42,Fail
46948,62,66,92,Fail
17942,96,96,80,Pass
36289,74,53,77,Fail
33705,92,63,97,Pass
18593,59,57,70,Fail
4121,58,91,82,Fail
15937,80,60,50,Pass
37545,76,51,72,Pass
41182,54,57,41,Fail
49421,67,42,94,Fail
47468,81,87,69,Pass
47431,76,43,38,Pass
38393,58,42,63,Fail
20958,84,50,76,Pass
29259,74,69,79,Fail
1680,72,81,35,Fail
48785,66,80,98,Fail
41299,76,86,66,Pass
26148,76,93,90,Pass
23086,68,51,58,Fail
38657,54,48,95,Fail
28547,90,46,80,Pass
3878,75,86,73,Fail
42067,79,63,93,Pass
1692,73,98,73,Fail
31011,99,93,35,Pass
17904,89,94,36,Pass
2391,59,63,35,Fail
18707,85,74,42,Pass
2480,96,52,83,Pass
33409,63,70,86,Fail
41248,82,47,81,Pass
31655,64,98,98,Fail
45212,98,95,64,Pass
3008,67,69,71,Fail
41680,76,43,67,Pass
12522,75,69,85,Fail
24296,74,55,54,Fail
24152,88,42,49,Pass
33423,76,66,68,Pass
16387,60,65,91,Fail
14961,72,45,85,Fail
43474,91,53,78,Pass
13604,80,81,42,Pass
22257,80,65,79,Pass
25074,76,59,58,Pass
34659,73,43,83,Fail
17945,73,67,72,Fail
18405,85,84,45,Pass
11046,71,63,94,Fail
38101,98,87,45,Pass
27151,89,76,51,Pass
14012,72,59,38,Fail
27104,92,89,66,Pass
4961,58,71,66,Fail
29738,94,58,41,Pass
49424,81,91,40,Pass
47793,72,99,57,Fail
19680,71,63,92,Fail
46144,90,44,92,Pass
5844,81,63,96,Pass
15803,77,72,74,Pass
33004,81,66,97,Pass
37928,63,84,50,Fail
37039,81,99,50,Pass
22706,90,68,55,Pass
41909,89,63,76,Pass
6371,87,90,88,Pass
15733,57,60,95,Fail
5996,55,95,70,Fail
14431,93,46,98,Pass
34354,96,70,36,Pass
12365,84,89,64,Pass
29284,75,82,69,Fail
24851,77,64,35,Pass
7437,98,99,71,Pass
15887,60,65,72,Fail
14216,83,98,70,Pass
594,60,57,60,Fail
23393,77,73,83,Pass
46239,65,67,42,Fail
46704,50,51,35,Fail
30689,62,98,65,Fail
18253,77,51,74,Pass
3800,88,57,42,Pass
42892,91,46,65,Pass
27913,76,67,59,Pass
30783,88,55,96,Pass
1013,94,40,86,Pass
3560,58,96,42,Fail
3943,87,52,52,Pass
25114,85,95,46,Pass
33775,57,58,36,Fail
28063,78,88,88,Pass
49537,79,90,84,Pass
33131,89,46,58,Pass
21216,63,78,85,Fail
1148,92,65,85,Pass
35189,92,99,83,Pass
42093,91,79,40,Pass
6930,56,86,61,Fail
49535,78,94,56,Pass
10019,94,41,84,Pass
3169,80,43,56,Pass
29560,98,95,55,Pass
31135,80,60,40,Pass
979,66,54,77,Fail
17043,55,88,77,Fail
276,72,70,96,Fail
35819,76,71,72,Pass
7857,53,84,57,Fail
26252,78,92,55,Pass
7096,71,56,43,Fail
12089,59,94,61,Fail
39949,89,99,71,Pass
13777,70,71,53,Fail
21412,91,76,66,Pass
28578,52,53,91,Fail
24775,60,58,76,Fail
8596,89,65,71,Pass
5611,95,86,94,Pass
41175,79,79,79,Pass
4599,96,82,79,Pass
16522,55,55,55,Fail
34074,65,47,41,Fail
5412,60,57,77,Fail
44599,99,52,66,Pass
35700,59,96,66,Fail
29583,80,80,51,Pass
44325,59,93,40,Fail
49872,79,89,94,Pass
27361,92,63,51,Pass
5007,92,55,51,Pass
15607,62,70,73,Fail
33618,56,72,43,Fail
42634,65,88,83,Fail
22445,58,75,38,Fail
23410,76,91,46,Pass
36009,70,92,48,Fail
1991,57,90,66,Fail
23284,69,93,60,Fail
48591,66,80,38,Fail
30988,98,43,67,Pass
40187,78,86,56,Pass
3050,76,84,71,Pass
2465,54,54,40,Fail
38613,75,71,70,Fail
12483,55,45,68,Fail
27303,53,60,63,Fail
18044,54,56,75,Fail
38287,82,81,38,Pass
38683,63,80,35,Fail
44859,58,48,45,Fail
30086,84,57,82,Pass
32254,72,50,46,Fail
19995,76,67,60,Pass
22061,59,41,77,Fail
1864,74,43,41,Fail
7267,72,43,54,Fail
2994,57,76,37,Fail
47582,84,51,39,Pass
22490,85,63,54,Pass
43670,76,47,76,Pass
11489,96,79,75,Pass
35984,72,78,76,Fail
22773,55,56,71,Fail
28010,76,75,38,Pass
2894,59,81,95,Fail
24811,63,81,35,Fail
16742,56,56,84,Fail
47695,64,62,44,Fail
38449,92,83,43,Pass
38642,99,85,72,Pass
30649,61,89,36,Fail
2369,94,80,88,Pass
43062,92,91,35,Pass
14326,69,59,87,Fail
32001,99,90,40,Pass
10905,77,56,58,Pass
10215,97,77,51,Pass
1133,95,47,41,Pass
2745,73,64,94,Fail
26944,56,71,63,Fail
5687,68,96,45,Fail
46457,83,85,95,Pass
2985,56,44,45,Fail
49061,52,65,35,Fail
26728,79,66,69,Pass
14717,66,89,98,Fail
39535,53,78,51,Fail
47058,56,53,81,Fail
3819,93,42,64,Pass
31340,51,45,91,Fail
44364,72,59,96,Fail
17774,83,54,97,Pass
47175,90,86,79,Pass
28251,65,47,82,Fail
19800,54,53,63,Fail
1211,73,45,75,Fail
11701,62,97,41,Fail
46614,57,92,85,Fail
33460,76,86,50,Pass
1433,59,77,92,Fail
11496,75,98,86,Fail
25766,57,83,83,Fail
8763,64,80,68,Fail
17242,93,59,47,Pass
45678,94,71,74,Pass
43049,75,72,40,Fail
5673,94,45,93,Pass
27012,91,67,51,Pass
44858,62,77,50,Fail
38024,62,69,77,Fail
47536,85,87,96,Pass
12786,76,82,43,Pass
32533,76,58,40,Pass
19697,65,75,99,Fail
28840,90,77,60,Pass
28942,94,96,35,Pass
26578,91,41,86,Pass
27043,68,43,77,Fail
46612,81,72,81,Pass
15847,85,95,40,Pass
45922,52,77,49,Fail
18041,85,74,70,Pass
13131,85,84,56,Pass
34974,66,97,87,Fail
7995,74,41,38,Fail
23710,76,72,71,Pass
29868,68,85,76,Fail
13509,87,79,39,Pass
34839,79,63,48,Pass
11708,82,64,75,Pass
41270,77,52,38,Pass
14359,72,84,73,Fail
27685,89,94,60,Pass
45446,54,78,54,Fail
12543,82,64,78,Pass
43558,53,55,95,Fail
12778,67,53,94,Fail
37433,83,86,40,Pass
5620,97,58,97,Pass
49242,80,41,70,Pass
19017,76,78,57,Pass
30250,70,75,53,Fail
8546,84,52,71,Pass
47526,96,49,67,Pass
14893,71,51,85,Fail
12094,65,92,51,Fail
28782,56,55,78,Fail
26634,50,77,63,Fail
48609,53,54,60,Fail
29639,55,65,60,Fail
8464,98,40,41,Pass
8563,89,50,69,Pass
27768,67,64,54,Fail
18742,78,99,84,Pass
48481,78,42,41,Pass
46405,88,47,54,Pass
46821,66,79,42,Fail
3544,78,56,99,Pass
18627,82,82,90,Pass
15296,71,42,96,Fail
44238,70,74,42,Fail
34445,80,65,74,Pass
42479,89,87,37,Pass
39423,62,97,79,Fail
42370,75,40,66,Fail
15694,64,41,53,Fail
45089,65,88,60,Fail
24191,92,55,69,Pass
3155,75,97,63,Fail
26703,95,61,37,Pass
6248,63,97,77,Fail
4471,51,77,85,Fail
25736,63,53,71,Fail
2044,58,78,89,Fail
34239,98,50,39,Pass
18784,71,74,85,Fail
7682,77,92,98,Pass
21425,80,82,88,Pass
26972,93,99,45,Pass
29664,59,59,84,Fail
40942,51,63,87,Fail
47360,78,89,96,Pass
1342,56,64,71,Fail
39214,50,67,87,Fail
38443,50,71,57,Fail
49705,71,87,42,Fail
49980,98,62,68,Pass
18547,72,54,37,Fail
14928,77,57,41,Pass
27107,98,45,53,Pass
31473,87,44,72,Pass
28627,56,90,65,Fail
47362,54,70,65,Fail
34968,77,71,39,Pass
41892,98,67,63,Pass
35527,72,41,88,Fail
34566,69,46,38,Fail
36094,70,58,93,Fail
17565,62,98,82,Fail
30492,56,76,76,Fail
13328,91,42,61,Pass
23065,61,79,40,Fail
18409,81,48,72,Pass
31445,59,78,80,Fail
3608,66,48,67,Fail
48466,61,85,70,Fail
24279,99,67,60,Pass
40604,54,89,70,Fail
31671,77,56,98,Pass
8853,79,89,89,Pass
20586,78,67,56,Pass
18098,62,87,71,Fail
49522,66,51,53,Fail
26406,87,70,43,Pass
11935,72,61,76,Fail
2811,97,94,93,Pass
705,53,71,95,Fail
4248,86,62,45,Pass
20060,66,87,93,Fail
15886,84,68,65,Pass
13920,76,44,76,Pass
43861,65,89,48,Fail
9998,77,64,73,Pass
15414,51,95,42,Fail
8040,79,74,74,Pass
24911,83,76,55,Pass
45290,90,55,58,Pass
7334,99,40,76,Pass
43069,72,75,84,Fail
11409,60,99,43,Fail
28438,74,78,84,Fail
16843,95,48,54,Pass
3782,63,86,55,Fail
10250,61,72,56,Fail
7979,65,40,66,Fail
28515,74,94,83,Fail
34239,71,71,79,Fail
8184,81,68,93,Pass
3419,96,69,51,Pass
45908,50,49,95,Fail
37717,90,84,51,Pass
30628,77,92,68,Pass
12929,91,97,46,Pass
21443,92,49,96,Pass
7377,85,58,57,Pass
20470,80,47,48,Pass
16259,80,95,69,Pass
3481,52,98,47,Fail
