student_id,subject,score,grade,exam_date
32219,Maths,93,A,2024-07-04 05:21:50
35210,History,70,C,2017-05-05 21:53:44
28908,Computer,64,C,2019-11-26 00:02:53
47178,Maths,76,B,2022-09-12 11:24:36
17194,History,43,D,2020-08-16 01:18:01
47111,History,40,F,2021-04-08 20:30:47
49721,Computer,25,F,2018-12-09 07:03:59
32128,Maths,30,F,2021-03-30 09:52:03
49675,Computer,36,F,2020-08-26 22:20:14
30115,English,67,C,2018-02-24 16:00:21
23909,Maths,70,C,2017-03-19 06:27:43
10050,Science,75,C,2022-06-08 15:02:22
9363,English,97,A,2020-03-26 01:27:56
48259,Maths,60,D,2019-02-16 21:12:52
33323,Maths,26,F,2017-12-10 03:32:22
46654,History,39,F,2023-12-26 22:41:35
26371,English,90,B,2020-01-14 23:53:15
49399,History,13,F,2019-07-15 04:50:08
13166,Maths,20,F,2024-11-22 16:21:36
49477,English,49,D,2018-10-01 14:43:26
45395,Computer,69,C,2021-02-16 03:08:14
5188,Science,93,A,2020-09-06 13:30:17
18361,Maths,13,F,2021-09-23 21:49:49
991,Maths,7,F,2022-02-14 16:37:13
28942,Science,86,B,2024-12-15 09:07:24
25514,Science,39,F,2020-04-10 00:13:12
23326,English,68,C,2022-11-01 20:50:03
41786,Science,31,F,2017-08-05 15:02:16
35785,Science,31,F,2018-08-05 13:14:55
21396,Computer,93,A,2024-09-28 20:33:06
37774,Maths,91,A,2018-01-01 09:43:46
11237,Science,28,F,2024-05-23 17:35:07
25817,Science,29,F,2024-06-09 18:39:59
14213,History,47,D,2022-01-28 09:09:53
34690,Computer,82,B,2021-12-29 17:38:20
6475,Science,35,F,2018-11-21 03:57:42
6493,Science,8,F,2018-11-29 01:38:26
30778,English,10,F,2017-08-20 21:37:49
18188,Science,92,A,2019-04-17 21:47:16
28936,Science,22,F,2018-02-07 21:28:39
12602,Maths,67,C,2021-09-07 18:49:18
31667,History,97,A,2024-12-12 18:10:53
46844,Computer,44,D,2022-04-09 03:31:10
23712,History,53,D,2019-10-10 07:28:37
25461,English,63,C,2023-04-01 07:24:19
6763,English,59,D,2017-04-12 14:14:25
43017,History,86,B,2023-03-08 16:27:03
18966,Computer,52,D,2021-03-07 15:49:17
33703,Science,19,F,2023-10-18 12:37:46
47821,Science,93,A,2022-02-21 15:40:01
40484,Science,43,D,2023-03-15 20:29:03
41965,English,50,D,2019-04-26 12:55:25
23296,Science,63,C,2024-06-04 19:15:12
42381,Computer,75,C,2020-05-01 21:23:31
21110,Science,46,D,2024-02-02 06:18:24
5044,Maths,3,F,2022-03-03 21:46:18
31377,Science,2,F,2022-02-15 02:58:24
39360,Computer,43,D,2018-09-19 14:22:39
47145,History,59,D,2020-10-09 04:18:09
22484,Science,95,A,2017-04-12 13:44:27
22926,Science,53,D,2022-12-25 10:33:57
7143,Science,73,C,2022-06-18 16:37:21
37602,English,39,F,2024-02-09 15:17:37
31250,History,54,D,2020-10-21 05:06:06
28529,English,18,F,2022-11-04 04:12:12
13226,History,77,B,2024-07-05 13:06:46
33298,History,49,D,2021-07-13 13:20:20
2260,Computer,45,D,2020-02-28 09:29:39
36340,English,49,D,2024-06-06 08:21:46
637,History,61,C,2022-03-10 00:38:20
29745,Maths,57,D,2017-03-24 17:49:19
16940,Computer,91,A,2017-02-13 06:07:19
28742,Maths,49,D,2020-12-21 15:34:22
4279,English,25,F,2021-08-21 08:21:44
9654,English,65,C,2017-03-09 01:55:08
39797,Computer,6,F,2023-11-27 07:55:05
7882,Science,33,F,2021-08-03 19:00:03
25820,History,18,F,2019-04-19 23:35:02
32155,Science,35,F,2019-03-09 09:17:59
28567,Maths,0,,2023-09-17 06:44:46
5407,English,18,F,2019-08-06 04:55:54
3298,Science,42,D,2018-09-21 02:20:09
15265,History,58,D,2021-07-06 19:04:23
30649,Science,34,F,2017-07-27 09:30:34
47653,Maths,48,D,2018-11-27 22:28:11
37156,History,59,D,2024-04-17 02:16:03
30797,Computer,73,C,2023-08-13 08:25:38
13363,Computer,12,F,2023-12-05 20:50:25
12378,English,8,F,2018-08-21 11:23:30
23963,Computer,19,F,2020-03-11 18:53:43
48377,Science,63,C,2018-09-06 21:53:44
11777,Science,93,A,2017-09-24 05:43:52
8720,Science,87,B,2024-12-29 16:08:34
2284,Science,5,F,2021-05-20 16:00:07
10945,History,48,D,2018-01-27 02:47:23
30227,Science,79,B,2019-03-20 01:37:38
5620,English,88,B,2024-09-13 09:35:43
927,Maths,9,F,2019-09-14 13:18:38
14150,Maths,11,F,2023-05-29 21:30:17
13743,Science,40,F,2019-12-22 18:24:07
42966,Science,13,F,2020-03-30 05:27:02
11725,Science,61,C,2019-09-23 11:49:19
32760,History,2,F,2024-04-15 15:59:04
19368,English,42,D,2023-07-07 06:23:30
40805,Science,97,A,2023-10-01 13:14:45
49993,Maths,35,F,2019-09-05 03:31:40
6584,English,99,A,2019-08-18 10:36:00
39134,English,44,D,2019-05-05 06:32:36
37505,Computer,45,D,2018-06-26 23:38:19
1521,Science,5,F,2018-02-23 22:56:15
29640,History,74,C,2021-11-03 19:30:33
8769,Computer,54,D,2021-04-22 15:38:55
42265,Computer,94,A,2018-07-15 15:54:00
34141,Computer,58,D,2023-09-17 16:27:27
43685,English,9,F,2021-11-22 23:38:11
39268,History,70,C,2023-11-19 17:48:22
12449,Science,10,F,2022-04-09 20:35:03
2698,History,34,F,2017-09-19 13:07:44
1228,History,74,C,2022-02-25 08:26:08
31759,History,79,B,2023-07-11 20:09:36
40051,Computer,27,F,2022-08-26 19:35:36
1601,English,52,D,2017-03-20 23:37:25
47410,Maths,81,B,2023-02-24 02:09:10
5890,Computer,75,C,2022-12-11 11:45:36
26978,Maths,85,B,2024-03-17 09:09:30
30837,History,55,D,2019-10-05 04:58:46
12217,History,35,F,2019-08-03 00:47:48
4008,Computer,90,B,2019-03-13 19:58:02
42865,Science,32,F,2024-06-14 07:42:33
45698,History,77,B,2018-09-20 02:25:21
15532,Maths,79,B,2017-07-31 15:36:16
46549,Maths,76,B,2022-02-05 11:56:48
12606,English,15,F,2021-05-20 03:56:03
18208,History,2,F,2020-05-07 07:44:59
9137,History,78,B,2018-08-03 20:19:16
14298,Maths,79,B,2017-05-04 08:09:31
23078,Computer,14,F,2019-05-08 02:39:16
34081,Science,3,F,2024-09-14 15:27:35
15779,History,96,A,2017-07-29 09:39:18
8543,Maths,29,F,2023-09-15 07:27:00
14079,Maths,9,F,2021-11-28 04:49:30
42211,Science,28,F,2020-09-09 08:45:33
39006,History,4,F,2024-07-05 18:54:50
48157,Maths,59,D,2018-04-28 01:43:56
27018,Maths,32,F,2019-07-07 07:13:29
579,History,23,F,2024-09-17 11:08:01
16943,Maths,87,B,2018-07-21 00:33:51
12244,English,57,D,2024-07-18 01:59:27
12414,History,7,F,2022-09-28 14:35:19
3388,English,22,F,2020-05-06 06:58:05
36309,History,68,C,2020-06-29 18:37:29
15426,History,73,C,2021-09-17 17:19:17
34245,History,12,F,2023-08-24 19:33:20
3880,Computer,5,F,2020-04-06 01:24:25
28372,History,95,A,2021-08-10 04:53:57
2391,Maths,64,C,2018-09-08 08:21:04
20345,Computer,62,C,2019-08-21 05:49:54
30484,History,85,B,2020-10-31 03:58:29
15424,Computer,64,C,2017-04-17 12:24:07
18799,Maths,68,C,2017-06-09 19:57:14
17044,Maths,30,F,2017-09-01 05:49:43
33988,English,54,D,2024-06-20 01:17:07
27610,History,13,F,2019-12-03 07:47:46
38342,Computer,64,C,2021-01-07 07:08:28
25677,Maths,16,F,2019-07-28 20:48:54
16448,Maths,24,F,2017-10-02 17:55:22
5203,Maths,67,C,2017-12-11 06:30:38
43063,History,8,F,2018-12-27 22:27:56
45830,English,88,B,2022-02-03 09:04:29
4453,Computer,5,F,2018-05-09 17:35:18
15756,History,31,F,2020-05-04 13:19:33
43129,English,52,D,2021-01-29 22:24:21
27432,English,21,F,2019-10-24 04:55:11
40076,Science,50,D,2022-07-19 23:41:15
28018,English,97,A,2023-12-01 19:09:08
49613,Science,8,F,2017-08-12 16:24:38
27620,Maths,24,F,2022-01-09 06:32:05
45801,Computer,37,F,2022-09-25 21:54:13
18761,English,1,F,2021-03-10 03:15:08
41953,Maths,15,F,2022-05-21 16:03:14
21246,Maths,11,F,2021-01-10 17:04:24
47530,Science,20,F,2021-08-11 20:47:19
2328,English,16,F,2021-01-08 03:31:40
29917,Maths,46,D,2020-07-02 07:59:53
48895,English,18,F,2023-05-26 12:09:34
11359,Computer,49,D,2023-09-08 22:35:49
26739,Maths,26,F,2019-01-29 17:20:16
42523,English,89,B,2022-09-04 00:25:27
32828,History,64,C,2019-04-03 11:47:44
36075,English,23,F,2024-06-04 00:09:14
40807,History,89,B,2023-03-19 09:12:56
44663,English,22,F,2018-07-16 08:49:03
23652,History,0,,2021-10-26 19:31:13
33365,English,78,B,2019-12-18 13:01:28
40504,Science,76,B,2020-07-07 12:08:38
31999,History,13,F,2019-04-30 13:57:32
28426,Maths,97,A,2022-09-15 12:06:25
1740,English,40,F,2024-07-13 14:02:17
9852,English,98,A,2024-02-19 10:37:34
15315,Science,77,B,2023-05-08 07:51:14
23454,Maths,25,F,2019-06-27 16:19:21
46494,Science,15,F,2017-10-14 08:08:02
5098,Computer,2,F,2018-10-03 02:03:07
28140,English,72,C,2017-12-09 08:37:00
26305,Computer,74,C,2021-04-07 05:45:54
28117,Computer,65,C,2022-01-27 04:56:41
45670,English,41,D,2024-10-25 00:22:58
41620,English,64,C,2024-11-23 19:17:53
13242,Science,48,D,2023-10-08 16:44:03
33204,Computer,14,F,2022-10-28 11:31:55
36259,Computer,69,C,2020-09-17 20:08:43
15231,English,27,F,2017-07-08 02:34:00
15331,Maths,22,F,2022-07-24 16:03:50
30752,Science,29,F,2023-06-16 09:09:08
17493,History,73,C,2023-08-27 11:04:07
47879,History,86,B,2024-09-24 06:33:09
24647,Computer,62,C,2018-05-07 12:01:32
49684,History,29,F,2018-04-29 11:36:16
1409,Computer,37,F,2017-03-19 02:25:38
6745,Maths,81,B,2017-01-19 13:29:41
12642,Maths,33,F,2019-05-15 16:37:17
47992,Maths,94,A,2020-07-17 14:13:58
11646,Computer,22,F,2024-11-05 02:44:47
47615,Maths,48,D,2024-04-03 04:55:36
40200,Computer,22,F,2020-03-04 18:23:04
7556,English,50,D,2018-12-07 15:49:32
21813,English,99,A,2021-01-20 04:43:03
22379,Maths,80,B,2020-12-08 08:15:55
32886,History,93,A,2022-09-15 21:29:33
18038,History,82,B,2017-12-20 23:10:01
14876,Maths,80,B,2024-03-15 04:39:04
8210,English,99,A,2017-05-18 17:07:07
2168,Science,62,C,2021-12-11 07:40:21
22382,History,75,C,2019-01-27 20:07:00
4108,Computer,67,C,2017-12-11 08:03:02
23441,English,43,D,2018-09-07 05:11:38
23909,English,41,D,2020-11-17 23:52:24
17256,Maths,17,F,2019-10-06 03:57:39
4678,Science,25,F,2021-04-03 09:51:45
11098,English,44,D,2024-10-05 22:26:05
4129,Maths,46,D,2020-08-13 23:32:17
37029,Computer,76,B,2018-06-03 05:45:36
20475,Maths,98,A,2020-10-09 03:28:33
49966,English,90,B,2023-11-27 17:56:32
11512,Computer,38,F,2022-06-21 21:39:53
26090,Computer,96,A,2022-02-24 02:57:23
28744,Maths,18,F,2017-02-03 10:15:24
42176,History,88,B,2017-05-04 10:41:17
9786,English,23,F,2021-11-14 07:28:04
28839,English,42,D,2023-11-04 06:34:09
46657,Science,15,F,2019-06-28 15:20:20
10411,Science,11,F,2019-02-28 17:13:01
14865,Science,20,F,2017-01-23 12:27:20
4083,History,12,F,2023-04-12 04:38:29
29674,Maths,35,F,2022-06-18 23:35:40
37459,History,62,C,2020-02-14 18:13:39
21274,English,43,D,2024-08-03 20:56:35
15603,History,2,F,2024-11-29 22:54:47
11554,Computer,67,C,2022-07-17 06:32:46
90,Maths,90,B,2023-05-23 14:38:23
24551,Science,11,F,2022-01-20 11:05:54
1459,Science,88,B,2017-06-05 00:05:38
27919,English,10,F,2020-02-02 00:54:20
28787,Science,71,C,2024-05-28 10:54:19
47458,English,73,C,2024-10-30 12:02:17
35849,History,25,F,2020-11-05 06:20:12
46944,History,71,C,2023-10-21 21:12:46
45483,English,94,A,2018-03-27 03:30:02
20502,English,74,C,2022-04-24 16:29:59
40567,Maths,62,C,2019-09-02 20:46:12
23962,History,4,F,2023-07-03 14:46:50
610,English,86,B,2020-07-16 06:50:40
40767,Science,89,B,2017-09-12 02:54:38
15210,History,65,C,2018-03-07 00:05:03
45406,Science,5,F,2017-06-12 18:56:36
23379,English,50,D,2021-03-13 15:15:27
14474,English,31,F,2017-03-21 07:27:07
3686,Science,72,C,2018-10-24 18:45:15
19577,English,6,F,2021-11-26 12:16:05
47128,History,18,F,2024-10-17 16:14:19
3315,English,12,F,2020-08-12 18:32:37
8380,History,19,F,2018-10-23 13:25:57
9940,Computer,12,F,2020-11-28 21:18:55
375,History,19,F,2018-11-30 19:50:04
37947,Computer,38,F,2019-03-03 09:41:29
1834,Maths,46,D,2018-08-01 17:38:05
6246,Maths,4,F,2019-05-20 10:15:50
44843,Computer,13,F,2023-05-12 04:56:54
43950,Computer,37,F,2018-01-20 10:59:22
49904,Computer,17,F,2018-01-01 04:22:49
4726,Maths,72,C,2023-01-01 18:18:45
23473,English,26,F,2020-01-22 18:32:37
4362,Computer,50,D,2022-04-04 01:13:01
30864,History,33,F,2019-08-23 04:31:25
41186,Science,66,C,2020-05-10 09:33:40
32073,English,54,D,2023-06-22 14:35:36
4857,Computer,92,A,2024-06-21 05:21:28
47328,History,25,F,2017-06-23 11:17:55
17381,Computer,68,C,2023-01-25 15:27:58
28916,History,88,B,2019-02-22 23:22:46
24020,English,78,B,2021-12-17 13:27:24
15092,Science,92,A,2020-02-28 21:33:35
23970,History,77,B,2017-02-03 05:50:04
24240,Computer,44,D,2024-06-26 06:57:12
23550,English,27,F,2024-11-11 18:08:58
18005,Maths,74,C,2021-11-14 05:05:16
2640,Science,24,F,2023-10-23 16:54:51
33542,English,28,F,2018-06-27 19:54:32
39891,English,16,F,2022-03-18 03:33:08
24892,Maths,30,F,2017-07-05 06:57:57
29244,Computer,7,F,2020-03-23 14:19:52
4904,Science,12,F,2017-09-20 16:40:19
32889,Science,26,F,2019-02-23 11:53:54
5461,English,90,B,2020-01-22 23:20:50
12858,History,94,A,2021-05-08 23:30:10
41887,Maths,97,A,2017-02-25 17:40:25
29202,English,65,C,2022-10-05 19:09:07
10638,History,18,F,2022-09-07 06:22:04
37856,Maths,74,C,2023-12-06 11:28:44
47766,Maths,24,F,2019-10-06 17:32:58
40046,English,43,D,2018-02-13 12:16:54
2341,History,30,F,2024-04-24 06:24:18
8919,Computer,18,F,2024-03-20 04:00:56
20548,Science,29,F,2023-11-20 05:13:36
9898,History,90,B,2017-09-19 07:53:44
37318,Maths,3,F,2020-09-27 14:36:53
20977,Maths,36,F,2019-04-08 16:43:37
37144,History,30,F,2023-02-10 01:38:28
8514,Science,1,F,2018-03-24 03:36:39
24565,Maths,56,D,2019-09-06 05:40:35
27318,English,63,C,2021-08-28 04:17:10
38752,Computer,22,F,2018-03-23 17:21:21
46936,English,1,F,2017-09-10 23:47:57
18178,History,23,F,2019-09-19 08:24:44
7354,History,37,F,2024-01-09 06:36:17
1633,Science,68,C,2023-07-26 08:22:59
17661,Science,89,B,2021-08-02 21:20:27
310,Science,22,F,2022-06-10 19:29:38
46920,Science,2,F,2019-11-05 21:52:07
7637,English,61,C,2019-07-06 09:00:35
19192,Science,80,B,2022-03-04 17:26:06
32630,Science,81,B,2017-05-30 17:25:58
2527,History,52,D,2019-12-24 00:42:10
24167,English,10,F,2021-09-04 05:27:27
18419,Computer,21,F,2018-12-09 22:43:47
10830,Maths,57,D,2022-08-05 02:14:57
13814,English,81,B,2020-02-29 00:15:39
37521,Maths,48,D,2023-11-01 00:47:36
38413,Science,74,C,2024-09-07 11:12:49
31886,Computer,1,F,2023-07-03 11:12:59
40072,Science,73,C,2018-04-28 08:29:23
19277,Computer,48,D,2018-12-03 04:45:23
11288,English,93,A,2023-01-11 14:30:16
39712,English,40,F,2023-06-21 09:40:12
16237,English,42,D,2024-01-29 02:48:29
457,History,33,F,2021-06-17 16:03:56
14873,History,9,F,2018-12-17 01:13:27
44837,History,55,D,2017-01-19 20:32:33
21963,English,82,B,2021-10-14 00:15:40
3356,English,56,D,2019-01-25 00:20:39
2326,Computer,37,F,2017-05-10 16:01:19
13929,Computer,78,B,2020-04-22 06:24:34
2722,History,98,A,2020-10-11 07:55:02
5757,History,51,D,2023-10-08 13:44:43
32999,Science,79,B,2021-04-26 08:13:56
36221,English,4,F,2024-02-08 17:18:42
16062,Science,11,F,2019-01-23 11:15:57
10405,Computer,6,F,2017-02-21 19:30:21
13608,English,84,B,2024-09-30 09:56:23
41444,Computer,44,D,2021-07-01 05:43:56
33312,Computer,16,F,2017-10-28 21:41:55
15943,English,56,D,2019-09-10 14:14:21
6690,Maths,25,F,2020-05-24 03:15:39
30203,Science,44,D,2020-04-16 03:07:02
48263,English,1,F,2019-12-06 11:03:52
45401,Computer,82,B,2022-05-09 10:18:35
46485,Science,45,D,2021-04-20 10:15:45
16900,Science,48,D,2019-07-10 00:52:01
5587,Computer,82,B,2017-03-25 12:14:59
47957,History,2,F,2020-08-25 14:55:59
28657,English,45,D,2021-03-02 17:07:38
8323,English,63,C,2019-01-15 14:45:24
25644,History,6,F,2022-06-12 21:55:31
29138,Science,83,B,2021-09-03 09:45:26
27942,Computer,75,C,2023-09-04 05:23:02
48968,History,28,F,2019-11-11 07:34:14
13894,Maths,9,F,2021-10-04 02:44:47
5817,History,32,F,2018-11-23 18:37:22
34562,English,69,C,2023-10-11 05:29:52
42719,History,5,F,2022-02-28 16:33:12
11213,Computer,38,F,2021-11-15 19:49:38
49301,Computer,17,F,2019-09-30 03:38:30
45031,Computer,9,F,2019-10-15 12:49:38
23403,Maths,22,F,2024-11-08 09:05:59
32428,Maths,73,C,2024-11-13 22:13:44
40998,History,26,F,2023-08-04 20:58:42
28224,Science,0,,2023-08-12 21:51:00
17646,English,36,F,2020-06-02 04:43:21
46549,Computer,70,C,2017-12-11 09:59:48
30599,English,19,F,2022-08-09 16:12:09
17253,History,65,C,2024-03-01 05:31:13
32078,Maths,21,F,2020-08-19 19:00:04
8434,Maths,23,F,2019-03-24 21:10:25
23885,Maths,29,F,2020-02-03 01:54:16
35263,Maths,14,F,2020-12-18 09:32:23
9281,History,48,D,2022-07-06 09:03:12
13981,Science,69,C,2018-11-07 01:29:06
39978,English,92,A,2022-02-21 01:01:32
47408,Maths,17,F,2017-05-23 23:49:44
41750,Maths,62,C,2019-11-12 07:45:52
38396,English,58,D,2019-01-29 16:47:39
4381,Maths,88,B,2022-07-03 11:40:56
7612,History,18,F,2020-12-10 19:21:23
41685,Maths,90,B,2018-10-29 03:15:37
47809,Computer,11,F,2020-10-25 15:31:44
48612,Maths,65,C,2023-08-20 06:33:25
3869,English,70,C,2024-12-02 16:30:45
39842,Maths,47,D,2024-10-20 10:02:52
17426,Maths,75,C,2024-11-25 06:26:20
23265,English,58,D,2018-12-08 17:12:01
17810,English,43,D,2018-01-25 08:03:27
19909,History,91,A,2023-11-09 01:31:43
11631,English,0,,2024-12-20 13:16:45
6289,Computer,3,F,2023-08-21 12:22:11
26720,Computer,80,B,2021-01-14 07:27:10
18381,Science,14,F,2021-08-17 12:02:46
48140,Computer,76,B,2022-01-31 09:36:00
9916,Maths,29,F,2023-06-04 03:36:01
305,Computer,28,F,2024-10-08 22:42:50
