teacher_id,subject,student_feedback_score,experience_years,evaluation_date
8474,English,3.51,8,2022-06-26 01:20:41
3567,Maths,4.29,3,2021-03-04 21:19:30
1333,Science,2.17,19,2019-06-11 16:35:20
8451,Computer,2.26,1,2019-05-18 09:37:24
2522,English,3.32,8,2022-11-01 20:56:13
2985,English,2.11,23,2019-06-13 20:27:33
7199,Computer,4.49,8,2017-07-13 06:22:32
8319,English,3.75,22,2020-01-14 12:34:42
6103,Computer,4.15,7,2017-11-10 23:36:22
1382,Maths,4.63,7,2019-07-28 16:34:46
4134,Science,1.22,12,2024-08-25 19:46:22
1884,English,3.68,17,2022-04-24 05:09:25
4439,Science,4.66,17,2018-04-27 02:59:14
5450,Maths,1.91,28,2020-11-13 05:57:11
2229,Science,1.26,17,2017-01-04 17:56:57
4191,Science,2.87,14,2023-12-05 01:52:20
5079,Maths,1.51,7,2021-08-23 06:23:13
846,English,4.63,5,2018-05-29 06:02:10
8565,Computer,1.04,28,2024-09-11 08:03:39
4170,Science,2.66,18,2019-11-24 21:58:53
3988,Maths,1.58,12,2019-01-30 15:54:51
3122,Maths,1.94,21,2018-07-16 20:43:13
2551,Science,4.4,24,2019-09-06 09:19:22
692,English,1.77,8,2019-03-01 17:22:58
6549,English,4.02,20,2022-03-15 00:45:13
8884,Maths,3.82,29,2020-01-18 18:47:13
767,Science,3.97,4,2021-12-07 14:04:05
4500,Science,2.15,24,2024-07-12 13:57:22
8277,Maths,1.77,4,2021-08-10 16:21:36
3894,Computer,1.32,27,2018-07-25 20:11:53
5559,Science,1.63,10,2023-12-04 07:46:59
5810,Computer,2.88,1,2024-11-26 04:30:40
1986,Maths,4.8,14,2023-10-13 00:43:21
5192,English,3.49,19,2023-09-21 23:41:54
1235,Maths,3.47,12,2023-04-24 08:24:43
9516,Science,1.25,26,2020-11-27 03:28:29
7619,Science,3.62,2,2020-06-11 01:29:47
1661,Science,1.38,19,2023-01-17 03:50:30
342,Science,2.96,25,2019-05-03 15:43:32
4345,English,3.41,27,2024-08-20 13:07:27
8670,Maths,1.24,7,2022-09-11 01:58:05
7745,English,1.72,19,2022-08-15 23:10:45
8863,Computer,1.96,23,2024-12-28 01:11:07
3956,Science,2.3,4,2023-03-14 00:18:04
9987,Maths,2.56,22,2019-11-14 05:52:32
4876,Computer,3.7,20,2018-05-06 13:26:14
7610,English,3.37,20,2024-07-31 17:30:43
3264,Maths,2.72,5,2022-10-18 22:46:13
3617,Science,4.77,14,2019-12-22 04:24:47
6596,Computer,1.56,29,2017-05-17 06:01:10
1648,Computer,4.72,12,2024-01-25 15:01:20
8986,Computer,1.61,17,2020-06-25 21:18:01
1208,Maths,4.08,24,2021-12-21 14:22:45
118,Computer,3.89,8,2020-02-24 14:11:54
7459,Computer,2.98,18,2021-08-14 04:07:44
3633,Maths,2.2,8,2022-01-30 03:56:47
7992,Computer,2.52,26,2018-04-30 22:23:01
9698,Maths,2.06,10,2024-12-28 03:10:12
4797,Science,4.31,4,2017-04-15 11:15:42
6377,Computer,1.24,16,2018-10-09 18:21:43
5653,Science,1.26,25,2019-08-04 13:16:59
3835,English,1.33,6,2017-05-24 06:15:23
4381,Science,1.27,24,2024-03-29 23:03:32
6302,Maths,3.99,24,2021-12-30 19:39:40
184,Computer,3.39,15,2020-10-23 04:25:01
5754,English,2.22,3,2017-08-23 17:19:37
2368,English,1.11,8,2023-12-25 14:40:33
3502,Computer,3.1,11,2017-01-13 14:41:36
7169,Computer,2.3,12,2019-04-17 09:26:29
2854,Science,3.14,14,2018-07-22 20:30:19
7684,Science,4.97,6,2024-01-30 21:19:32
6532,Science,1.38,2,2023-02-10 04:58:51
3752,English,3.56,9,2022-08-31 16:30:14
8612,English,4.49,4,2023-07-18 10:58:29
295,Maths,2.14,28,2022-09-02 16:49:26
637,English,1.78,13,2022-03-31 19:53:01
5853,Science,4.73,6,2022-08-13 03:47:05
6373,Computer,2.89,4,2022-03-09 22:58:12
5357,Science,4.48,13,2022-02-24 05:27:50
4701,Science,1.21,21,2023-08-07 02:46:55
1449,Science,4.11,2,2023-01-04 10:37:31
1007,Computer,4.61,23,2019-02-01 02:33:34
6248,Computer,1.01,3,2017-01-11 13:46:25
5603,English,1.79,27,2017-03-20 23:50:53
61,Computer,3.2,25,2017-11-28 21:16:34
3745,English,1.23,28,2018-06-14 19:30:32
9340,Maths,2.5,19,2018-10-24 02:38:59
899,English,4.8,21,2023-04-10 17:25:59
3099,Science,4.14,9,2018-09-17 19:47:43
6182,Maths,3.28,2,2023-05-11 14:18:17
7179,Computer,1.41,23,2021-11-04 18:53:51
8822,Computer,1.32,2,2017-06-10 15:06:22
9288,Maths,2.08,18,2022-08-20 03:14:17
1854,Maths,3.72,28,2024-04-25 07:15:50
3589,Computer,1.83,23,2017-02-02 03:45:30
2106,Science,4.4,28,2021-07-30 08:08:03
3889,Computer,4.12,27,2020-04-25 01:24:42
4109,Science,3.76,13,2024-02-07 04:37:18
6761,English,2.24,4,2024-08-08 05:09:04
6968,Computer,1.38,18,2024-01-26 18:49:38
567,Computer,4.21,19,2018-10-26 07:43:09
6722,Science,1.22,19,2020-12-27 08:25:51
94,Science,1.52,5,2022-03-01 11:47:33
8943,Science,3.27,25,2023-04-28 22:04:35
3030,English,3.17,27,2021-03-11 07:46:16
7433,Computer,3.34,15,2019-07-09 20:08:56
8839,Science,1.65,26,2023-10-08 06:25:04
7760,Science,4.62,22,2018-12-16 12:11:30
691,Maths,4.63,19,2019-08-22 09:09:18
4130,Science,2.69,17,2024-03-23 07:25:24
7392,English,4.1,13,2022-06-26 00:42:05
6593,Maths,2.82,25,2024-04-19 11:10:14
4523,Science,2.58,13,2020-10-25 19:19:45
1485,Computer,2.85,17,2020-09-22 19:21:50
4028,Maths,4.2,21,2020-05-18 20:07:19
8927,Computer,3.51,12,2021-05-04 10:59:32
5286,Science,1.18,18,2017-07-23 08:25:03
6461,Science,1.28,29,2020-05-17 13:55:09
4092,Science,1.3,14,2023-01-27 01:04:37
9436,Science,1.33,18,2017-11-24 00:45:42
1834,Science,1.51,4,2020-10-04 22:33:20
3057,Maths,2.96,2,2020-05-13 01:51:55
8113,Computer,2.89,16,2023-03-03 20:16:02
1166,Maths,4.41,6,2019-07-02 17:30:29
9614,Computer,1.89,27,2020-09-12 06:36:38
9232,Maths,4.71,24,2023-09-22 15:47:44
7252,Science,4.96,21,2021-12-05 07:14:32
6618,English,2.35,12,2020-02-20 16:07:31
5085,Computer,5.0,17,2022-09-28 22:28:47
1132,English,3.38,8,2023-07-08 16:08:58
6022,English,4.47,1,2020-06-08 21:26:01
2115,Maths,1.29,24,2018-02-10 11:55:48
7357,Science,4.3,28,2021-11-07 22:37:20
4639,Maths,2.23,25,2020-11-15 01:56:33
1495,English,2.52,6,2023-03-06 13:43:52
9435,Maths,4.45,18,2023-03-14 20:57:39
8446,Maths,1.94,11,2021-11-03 09:59:34
8404,Science,4.23,25,2022-01-24 14:45:07
8369,Science,2.86,22,2017-11-22 14:01:48
2348,English,2.26,27,2019-07-22 17:29:05
6356,English,4.73,22,2022-01-09 23:48:56
7787,Maths,4.12,21,2019-05-22 12:22:13
8577,Science,4.2,14,2017-10-23 13:56:56
8905,English,1.57,16,2019-10-15 01:39:33
3585,English,3.76,27,2017-06-09 02:57:30
7394,Science,2.38,11,2017-03-31 05:12:17
4869,Maths,2.45,22,2017-07-30 16:18:26
3135,English,4.3,21,2019-11-16 15:43:04
7724,Maths,4.79,28,2024-08-26 19:27:49
6389,Maths,3.65,19,2020-11-15 12:12:55
2753,Maths,4.75,20,2022-07-09 10:48:32
1013,Computer,2.56,29,2021-07-20 02:40:23
5994,Maths,4.77,24,2020-06-20 00:44:43
8489,English,3.59,25,2022-09-07 02:49:24
9838,Maths,3.22,24,2023-04-24 04:00:04
1069,English,1.92,13,2021-06-04 21:21:30
1139,Maths,3.55,7,2017-02-11 15:27:34
5731,Science,3.79,8,2022-09-27 18:25:55
8038,Computer,2.03,23,2018-01-06 14:02:59
2643,Computer,4.8,29,2024-11-23 17:01:50
5919,English,4.84,15,2019-01-09 08:13:31
6707,English,4.14,24,2023-12-23 00:16:40
8741,Maths,3.64,28,2019-11-25 09:00:26
1695,English,1.5,23,2018-04-15 12:27:31
9647,English,2.75,20,2019-06-01 23:28:56
3736,Maths,2.6,2,2018-04-26 16:28:39
4675,Science,2.69,28,2021-08-16 18:09:40
1895,Maths,1.79,9,2024-12-16 08:37:15
3865,Science,3.73,4,2018-01-02 08:31:05
1226,Maths,2.01,16,2018-06-01 12:24:27
7403,Computer,3.68,9,2023-04-02 06:34:22
1460,English,3.32,17,2021-07-24 08:04:34
9027,Computer,3.06,26,2022-02-09 07:52:20
8197,Science,4.55,2,2023-05-23 01:23:03
5495,English,4.07,3,2018-01-10 23:12:03
6255,Science,4.86,23,2020-08-31 17:21:45
2814,English,4.69,7,2018-03-10 22:54:13
9701,English,4.51,29,2023-02-12 10:33:00
812,Maths,1.32,10,2020-11-19 03:06:12
3387,Computer,4.89,5,2020-10-08 05:17:42
9946,Maths,1.8,1,2023-08-05 22:34:51
3343,English,1.26,22,2019-07-20 05:14:51
4755,Science,4.84,17,2017-07-29 02:25:50
318,Computer,1.71,9,2023-06-08 22:20:02
1862,Science,3.83,15,2024-06-22 22:28:46
2464,Science,4.18,29,2021-07-31 04:26:03
6752,Science,3.69,14,2021-10-23 23:32:06
9450,English,1.34,28,2020-04-25 02:43:14
851,Computer,3.43,7,2020-01-31 17:20:07
5969,English,2.65,26,2017-09-29 19:15:50
6945,Maths,1.99,16,2023-04-26 22:38:39
5043,English,4.42,21,2024-04-26 15:03:09
1671,English,4.46,1,2017-05-16 17:37:23
2912,English,1.16,25,2022-07-14 23:44:44
8271,Maths,1.49,16,2023-05-03 13:51:24
5998,Computer,4.84,22,2023-12-23 00:55:50
8859,English,4.54,7,2024-10-12 21:02:15
1623,Science,4.87,8,2019-05-21 05:10:53
3726,Computer,2.07,2,2020-06-22 03:42:41
6876,Science,4.51,21,2017-01-22 15:00:27
3688,Computer,2.42,16,2021-02-16 09:06:40
689,Computer,4.92,9,2019-08-07 02:24:09
5911,Computer,3.99,10,2019-06-16 02:32:16
9996,Computer,4.44,11,2021-06-19 08:30:25
4133,English,1.83,3,2023-07-26 11:38:46
8200,Computer,3.86,23,2024-02-22 13:24:02
6083,Maths,2.94,25,2018-08-19 19:48:36
2793,Science,3.94,13,2020-09-08 04:52:24
6230,English,4.3,5,2021-10-13 20:12:46
8061,English,3.76,24,2021-05-15 16:35:26
6779,Computer,2.54,23,2023-01-07 05:58:20
957,Science,4.71,21,2021-11-16 17:28:37
9245,Science,4.69,8,2023-06-30 17:18:14
5616,Science,4.0,29,2022-12-23 03:09:22
1572,English,4.7,17,2022-03-15 06:32:00
983,English,4.22,18,2023-01-12 19:15:15
1404,Computer,4.42,21,2024-03-08 19:04:03
3662,Science,1.81,18,2017-03-31 18:56:10
3500,Maths,2.15,3,2019-04-30 02:21:31
4662,Science,2.68,16,2017-11-26 05:37:24
7050,Computer,1.43,9,2022-09-05 21:56:27
5841,English,3.7,20,2023-12-25 23:09:34
5212,Computer,2.25,16,2023-02-12 00:40:55
8511,English,1.58,22,2017-12-08 22:03:42
3812,Computer,3.26,28,2021-12-29 14:15:34
8177,Maths,1.14,14,2020-07-17 07:42:37
9005,Computer,2.59,24,2024-01-29 12:42:31
4864,English,4.67,19,2023-02-12 17:40:28
2066,Computer,3.13,29,2018-09-20 00:46:25
5652,English,2.72,20,2020-11-19 01:45:25
4063,Maths,3.68,20,2018-12-27 08:14:46
8286,English,4.51,18,2020-09-26 06:45:22
7773,English,3.95,10,2023-11-20 22:36:20
9420,Computer,2.66,29,2019-11-21 18:32:28
9715,Science,1.74,6,2021-07-07 05:55:10
1789,Maths,1.84,3,2020-07-16 07:48:06
8396,Science,2.85,16,2022-07-31 18:14:25
320,Computer,4.37,18,2023-11-18 17:43:16
26,Science,2.88,7,2022-03-18 21:37:57
8691,Maths,3.9,24,2018-04-26 06:50:21
8536,Science,3.07,17,2017-01-05 15:40:29
6955,Maths,4.56,6,2022-03-11 20:35:27
2208,Maths,3.22,18,2018-05-14 19:50:11
3789,Science,1.37,14,2017-12-20 19:58:14
8412,English,1.53,13,2018-05-15 07:25:30
7883,English,3.9,16,2023-05-17 00:15:40
3357,Computer,1.33,25,2017-11-21 00:02:18
1926,Science,3.06,5,2024-09-08 18:26:17
6032,Computer,4.32,2,2017-10-07 10:25:24
1726,Maths,3.26,8,2021-07-13 20:49:10
9251,English,3.2,6,2017-05-16 17:03:10
5710,Science,4.21,26,2022-01-27 13:21:43
3454,Science,3.93,26,2019-12-30 00:01:00
6280,Science,4.49,2,2017-08-15 02:56:23
5626,Science,1.04,5,2019-11-24 02:57:22
1192,Computer,2.62,9,2022-10-08 18:49:52
5678,English,3.31,2,2021-05-02 13:52:49
270,English,4.99,19,2018-12-22 21:38:39
9533,Computer,3.11,9,2017-02-28 03:39:51
8944,English,4.49,28,2022-03-08 19:31:34
9756,Maths,1.87,13,2019-08-15 19:20:14
7177,Computer,2.15,5,2022-09-20 19:13:42
4848,Computer,2.45,9,2017-04-25 15:43:53
8156,English,1.01,7,2019-10-14 13:19:26
3379,English,1.84,26,2022-02-09 01:16:15
5971,Maths,3.57,14,2020-03-25 07:06:13
9614,Maths,2.0,2,2018-02-24 22:02:06
753,English,1.19,20,2024-02-11 04:40:44
4170,Computer,2.48,18,2020-03-08 21:54:11
4793,Maths,2.1,19,2017-02-01 13:14:06
3457,Science,3.6,13,2022-12-02 12:05:11
5945,Science,4.66,18,2017-09-20 13:48:05
3242,Computer,3.42,19,2019-09-23 14:32:43
9386,Maths,2.7,3,2019-07-02 11:55:17
1478,English,4.64,25,2017-03-05 14:13:02
6546,English,2.77,15,2021-10-13 02:19:09
8892,English,1.15,1,2022-10-14 20:03:35
5422,Computer,1.69,7,2021-09-29 15:40:33
5592,Computer,4.48,9,2018-12-11 06:04:30
7331,Science,4.89,28,2020-04-10 13:54:07
550,Science,4.52,6,2021-07-18 09:35:06
6254,Computer,1.72,15,2022-01-25 09:45:15
3682,Computer,4.21,15,2019-04-24 13:25:58
4871,Maths,4.12,21,2018-03-25 12:02:45
2514,Maths,4.69,21,2024-04-28 04:44:41
3023,English,4.14,21,2018-02-04 19:47:24
9086,English,1.64,15,2017-08-03 03:57:59
8682,Maths,4.51,10,2022-03-12 04:42:01
9952,English,2.32,10,2017-12-29 21:01:48
9893,Science,1.54,10,2017-06-03 21:09:31
7095,Maths,4.79,3,2018-11-05 22:23:35
1695,Science,1.43,16,2020-05-13 05:28:18
6656,Computer,4.75,10,2021-12-12 08:55:32
5736,Science,2.46,5,2024-05-07 23:31:52
6927,English,3.0,4,2021-10-08 19:22:14
8621,Maths,2.78,22,2022-06-01 02:25:29
4824,Science,2.16,9,2017-04-27 11:56:10
4267,Science,1.17,21,2024-02-25 15:40:26
8763,Maths,2.09,5,2020-10-10 14:43:20
101,Computer,4.8,5,2017-03-07 06:18:52
852,Computer,3.63,25,2019-02-12 14:01:38
3536,Maths,4.4,28,2021-09-18 15:51:34
4148,Computer,2.32,5,2017-09-25 12:20:07
5816,Science,1.74,23,2018-01-23 22:27:13
181,English,2.18,24,2018-06-27 13:48:47
5245,Maths,4.36,14,2018-09-02 12:50:25
5797,Maths,2.96,7,2017-08-20 08:43:00
7833,Science,4.71,13,2021-09-20 15:59:18
4253,English,4.14,8,2018-08-15 02:22:41
2556,Maths,2.1,23,2020-11-01 03:41:11
6610,English,2.53,2,2022-10-19 11:35:19
6373,Science,2.51,2,2017-01-15 15:14:52
9924,Computer,3.25,10,2024-10-20 14:31:34
6717,Maths,3.07,4,2023-12-05 13:37:36
6724,Computer,3.8,1,2018-06-27 01:45:55
4908,Computer,4.5,29,2019-12-06 20:53:15
7764,Maths,1.57,19,2017-01-09 19:40:12
5157,English,2.93,29,2022-05-17 02:38:37
9112,Maths,4.62,2,2022-08-18 15:07:27
5751,Computer,3.49,11,2022-05-13 11:06:31
4868,English,3.6,22,2018-10-15 18:14:29
1898,Computer,2.36,1,2020-05-02 13:46:38
1618,Computer,1.77,5,2018-09-04 16:26:04
3305,Maths,2.89,27,2023-10-23 06:53:31
3924,Maths,2.09,18,2018-08-28 09:48:17
9602,Computer,1.81,15,2021-09-27 01:11:10
9698,English,3.77,20,2021-06-22 07:58:17
4298,Maths,2.3,6,2024-07-09 22:37:17
8852,English,3.61,27,2024-07-07 14:38:30
8949,English,1.41,6,2023-12-16 13:22:06
3405,Computer,1.41,12,2023-07-07 01:28:26
2790,Science,4.91,20,2019-07-21 02:00:29
15,Computer,2.29,12,2023-10-11 01:35:29
2750,Science,4.15,29,2019-06-01 03:50:41
7514,Science,1.82,17,2021-08-02 08:00:04
6702,Computer,1.86,22,2023-01-08 02:28:16
9635,Maths,4.93,10,2024-03-01 06:36:38
2088,Computer,1.89,13,2023-06-19 23:12:50
2362,English,3.62,17,2018-06-10 02:20:46
6915,Maths,3.41,14,2018-09-26 13:48:33
1075,Science,1.54,25,2017-07-30 08:55:16
9507,Science,4.54,8,2022-03-29 12:27:22
2660,Computer,4.45,7,2023-04-12 10:16:11
9576,Computer,3.83,22,2024-06-27 22:56:58
4964,Maths,3.55,2,2018-12-13 22:11:00
5369,English,4.02,26,2023-01-27 04:00:07
2207,English,4.92,1,2018-04-17 03:45:49
4184,Computer,1.1,22,2021-06-16 13:10:59
9168,Science,2.44,4,2019-05-21 06:52:13
830,Maths,4.19,15,2023-08-18 06:23:52
2159,Science,3.87,12,2021-02-23 16:09:13
7047,Science,3.89,7,2019-03-05 15:35:35
5585,English,1.77,25,2020-05-25 11:51:42
1900,English,3.65,19,2023-10-31 12:21:09
5250,English,1.39,19,2017-02-13 17:52:57
5296,English,4.61,15,2017-03-12 17:30:01
9262,English,1.44,26,2018-09-29 01:06:06
616,Maths,2.52,8,2019-12-04 22:29:13
7386,English,4.0,12,2022-04-27 18:08:56
6624,Computer,4.31,9,2024-08-16 02:16:45
4812,Maths,3.25,24,2022-02-23 22:19:52
9174,English,2.68,27,2017-02-13 08:35:02
8498,Computer,1.74,27,2024-07-16 15:20:38
2526,Maths,3.12,1,2022-10-18 12:48:14
5722,English,2.03,6,2024-03-04 12:29:04
71,Science,4.81,25,2021-02-19 07:41:50
3247,Maths,3.74,11,2021-10-06 07:52:23
9111,English,3.57,11,2024-06-07 22:29:29
4157,Maths,3.37,23,2020-04-13 01:09:11
3100,Computer,4.5,22,2017-09-04 22:59:24
4113,Maths,1.11,7,2024-06-21 12:50:08
5947,Maths,2.07,18,2023-09-26 11:29:32
4883,Science,4.96,24,2022-09-20 00:14:01
7382,Science,4.9,25,2024-04-26 12:54:52
2021,Science,2.25,12,2022-06-23 11:50:19
8872,English,4.9,3,2024-08-06 17:58:16
8815,Computer,2.67,8,2020-11-05 20:56:23
71,Maths,2.85,15,2019-10-29 08:06:23
5831,Science,2.97,6,2023-12-23 18:13:53
8449,Maths,2.62,5,2017-05-29 04:58:04
5456,Computer,1.86,6,2017-10-17 06:20:17
7520,Maths,3.33,25,2018-10-17 11:49:20
1797,Computer,2.7,10,2020-10-21 12:06:35
8096,Maths,1.75,1,2018-04-08 20:38:04
9979,English,1.19,29,2019-01-28 10:00:18
2039,Science,2.73,3,2019-03-27 00:31:29
5761,English,1.18,17,2019-08-03 12:20:15
416,English,1.41,12,2020-04-16 08:13:52
1532,Computer,3.85,13,2021-11-05 12:21:26
1210,Science,4.34,8,2018-11-29 20:23:20
6599,Science,3.1,2,2022-10-10 00:54:50
5295,Science,2.64,23,2021-08-30 22:06:17
4806,Science,1.06,23,2020-08-12 21:11:54
6856,Science,2.71,18,2019-10-21 03:53:49
8917,Maths,3.58,22,2020-09-14 08:24:35
8069,Computer,3.46,21,2024-11-17 06:11:02
6159,English,1.63,16,2019-10-12 13:59:28
3406,English,2.32,25,2020-01-30 14:47:40
8765,Computer,4.38,24,2020-06-12 01:02:22
7457,Computer,1.87,10,2023-08-23 03:26:20
8422,Maths,4.56,27,2023-09-11 07:45:15
8065,Science,1.79,15,2018-02-06 09:55:28
7824,Science,2.45,26,2021-08-31 18:45:21
7960,Science,4.18,7,2017-03-18 20:02:34
4066,Maths,4.34,2,2022-05-30 13:39:37
5128,Computer,4.31,26,2023-10-30 12:21:10
6087,Maths,2.64,23,2020-12-03 03:20:34
6580,Science,1.73,11,2018-08-05 01:07:55
8558,English,4.19,13,2021-10-02 09:21:01
8103,Maths,2.74,27,2017-09-26 12:38:36
7091,Maths,1.68,13,2024-05-15 14:37:58
2817,English,4.81,4,2017-04-20 00:20:12
3374,Computer,4.84,19,2023-09-04 15:36:25
8593,Maths,2.03,14,2021-07-29 19:04:08
8408,Computer,2.0,7,2019-06-23 14:49:34
6216,Science,1.06,8,2017-11-26 20:39:45
3956,Computer,2.47,27,2018-11-02 08:46:11
2940,English,1.68,17,2018-04-21 17:42:23
7287,Computer,4.38,9,2019-08-24 20:52:51
2714,English,1.33,24,2020-08-28 10:32:28
6054,Science,4.86,2,2020-12-19 00:50:32
6050,Computer,1.02,9,2017-05-18 17:45:33
4783,English,3.05,14,2018-06-16 22:29:05
6425,English,1.56,13,2020-08-06 05:03:07
7733,English,2.56,10,2021-10-31 02:42:40
3427,Maths,4.62,1,2017-02-18 14:34:15
9062,Maths,3.37,14,2017-07-12 02:37:10
8145,Maths,2.38,12,2022-07-16 21:02:31
1842,Science,3.64,21,2022-08-15 06:27:18
7640,Maths,3.97,20,2024-05-17 16:35:41
408,English,4.08,6,2022-05-26 06:33:00
5020,Computer,4.82,9,2022-05-05 15:52:47
2675,Computer,1.38,10,2024-04-14 08:16:14
9973,Science,2.38,1,2023-10-04 12:11:16
1256,Science,1.92,25,2024-11-21 10:45:40
7487,Computer,1.29,11,2021-01-08 16:59:39
9654,Science,4.36,19,2020-08-22 20:25:38
7678,Maths,2.84,5,2019-12-23 18:31:15
2805,Science,3.31,29,2020-09-25 07:32:21
6757,Maths,2.48,22,2020-08-06 23:18:18
9841,English,3.27,24,2019-08-01 08:49:14
1997,English,2.63,28,2021-09-28 04:54:38
2215,English,1.77,4,2017-10-20 20:09:10
5893,Maths,2.36,12,2020-09-16 16:21:43
5673,Maths,4.88,14,2020-11-12 11:51:47
8692,Maths,2.92,29,2017-04-14 23:10:16
623,English,3.59,9,2018-04-09 12:54:43
6865,Computer,4.94,12,2024-05-01 01:19:50
325,English,2.57,25,2018-09-09 16:22:38
2819,Maths,3.97,13,2018-10-30 07:58:18
667,English,3.36,3,2017-10-12 19:43:14
5310,Science,4.05,28,2017-11-30 17:53:59
4618,Science,2.72,13,2022-03-18 22:44:45
3584,Maths,4.5,27,2021-02-27 02:13:22
1904,English,3.13,6,2024-06-21 14:59:51
1010,English,1.5,12,2018-07-18 08:51:40
2872,English,3.92,5,2019-03-03 03:06:33
3665,English,3.58,22,2021-06-20 17:16:47
4901,English,1.49,27,2022-02-23 17:56:47
