applicant_id,entrance_score,board_percentage,preferred_stream,admission_status,application_date
19151,46,65,Commerce,Admitted,2017-08-30 09:38:04
47760,56,81,Arts,Admitted,2023-08-07 21:08:11
12058,61,46,Commerce,Rejected,2020-10-24 23:13:38
27326,52,72,Science,Admitted,2019-07-13 21:38:18
22132,38,64,Arts,Admitted,2024-05-19 07:39:55
11200,51,53,Arts,Rejected,2024-05-23 23:56:40
52301,63,78,Arts,Rejected,2023-02-13 04:00:27
48892,86,59,Science,Admitted,2018-06-08 20:53:28
50359,80,93,Commerce,Admitted,2024-06-27 12:43:26
7904,89,87,Science,Rejected,2020-08-07 20:57:37
44259,85,64,Science,Rejected,2018-07-10 07:45:41
51314,50,80,Arts,Admitted,2018-03-15 23:36:33
6623,70,79,Science,Rejected,2021-03-22 13:29:31
8575,38,72,Commerce,Rejected,2020-05-02 03:40:50
19954,35,45,Science,Admitted,2022-03-28 22:32:45
8351,45,79,Arts,Rejected,2018-02-01 20:28:24
53481,93,56,Science,Admitted,2023-06-11 22:15:59
34915,41,57,Arts,Rejected,2020-11-23 00:03:00
28154,85,77,Arts,Admitted,2018-07-05 14:55:32
23293,45,63,Science,Admitted,2024-04-17 12:11:53
9593,94,49,Commerce,Rejected,2021-09-28 23:22:13
37131,54,56,Commerce,Admitted,2019-11-08 05:01:23
6047,99,64,Arts,Admitted,2020-05-06 23:27:06
47428,37,52,Science,Admitted,2023-12-27 09:52:35
34482,99,73,Commerce,Admitted,2022-02-23 10:12:56
50179,47,58,Commerce,Rejected,2024-12-16 07:19:28
29725,44,60,Commerce,Rejected,2021-09-05 18:19:22
56371,88,47,Science,Admitted,2019-11-01 07:04:47
46231,66,94,Science,Admitted,2024-12-01 11:12:02
41773,67,59,Arts,Admitted,2023-04-05 07:19:15
27865,69,60,Science,Admitted,2017-04-16 06:00:00
5877,63,90,Commerce,Rejected,2017-04-22 13:26:15
42532,60,76,Science,Rejected,2017-02-16 19:30:17
47469,68,45,Arts,Admitted,2024-01-26 19:41:23
6148,54,75,Arts,Rejected,2018-06-21 16:15:35
35627,35,66,Science,Admitted,2019-05-22 02:02:51
38716,64,89,Arts,Admitted,2018-02-23 14:24:12
3196,93,72,Science,Admitted,2023-07-14 16:13:33
57567,60,95,Arts,Admitted,2021-04-07 10:54:10
38817,92,90,Commerce,Rejected,2023-02-23 13:09:38
55124,43,46,Arts,Admitted,2017-06-27 02:57:53
30403,46,64,Arts,Admitted,2022-09-19 01:26:44
12174,96,55,Science,Rejected,2022-08-11 08:52:53
17689,42,80,Science,Rejected,2024-01-18 11:23:53
7415,64,73,Commerce,Admitted,2022-10-12 20:44:13
47533,60,61,Science,Admitted,2022-01-26 19:37:49
26733,35,76,Commerce,Rejected,2020-07-24 14:58:20
34980,49,72,Arts,Admitted,2020-10-05 13:22:54
39297,44,83,Science,Rejected,2024-04-30 11:30:44
5174,34,70,Science,Admitted,2021-11-28 21:52:55
7140,40,56,Commerce,Admitted,2020-11-23 06:58:02
35831,73,83,Arts,Rejected,2023-06-23 01:17:03
35072,74,92,Commerce,Admitted,2023-12-23 12:38:18
42100,73,77,Arts,Admitted,2017-02-10 14:47:51
55479,86,54,Commerce,Admitted,2019-02-13 10:04:35
53087,53,63,Commerce,Rejected,2018-10-10 05:45:17
11656,97,49,Arts,Admitted,2019-04-27 21:04:12
50528,39,96,Commerce,Admitted,2019-06-25 23:17:29
10213,42,64,Commerce,Rejected,2023-10-25 16:16:29
43185,35,55,Commerce,Rejected,2019-05-02 14:06:05
22920,72,58,Science,Admitted,2024-06-21 15:18:09
15672,52,58,Commerce,Admitted,2021-04-14 15:47:21
59097,54,92,Science,Admitted,2021-06-17 08:14:23
4348,96,79,Commerce,Rejected,2019-12-08 18:45:59
12405,77,54,Commerce,Admitted,2024-10-08 23:58:01
55380,61,48,Commerce,Admitted,2022-03-01 03:23:29
11501,83,85,Arts,Admitted,2019-03-04 18:22:35
440,56,90,Commerce,Admitted,2021-11-19 13:01:42
16171,66,92,Commerce,Rejected,2022-05-26 22:57:43
23738,60,70,Arts,Admitted,2018-09-22 12:14:21
25882,80,93,Science,Admitted,2018-09-16 20:29:27
6812,41,53,Commerce,Admitted,2024-12-13 13:38:50
33606,38,62,Arts,Rejected,2020-07-03 13:59:46
8153,80,91,Arts,Admitted,2017-08-19 03:23:12
19336,45,68,Commerce,Admitted,2024-05-17 05:05:06
12751,42,45,Science,Admitted,2017-01-14 16:55:12
55678,74,70,Science,Admitted,2023-12-20 18:09:15
2513,82,56,Arts,Admitted,2023-03-30 12:00:43
12862,44,96,Science,Rejected,2017-12-05 19:30:32
42418,73,61,Commerce,Rejected,2023-08-17 22:08:15
330,45,79,Commerce,Rejected,2020-02-13 05:55:16
46474,64,99,Science,Admitted,2024-10-18 02:09:43
7536,49,70,Science,Admitted,2019-11-02 03:08:35
9857,58,88,Commerce,Admitted,2022-12-20 04:48:21
2959,44,68,Arts,Admitted,2022-04-11 05:21:18
57915,55,79,Commerce,Rejected,2017-12-08 22:44:07
49784,51,55,Arts,Admitted,2020-12-26 08:20:23
8589,62,55,Science,Admitted,2019-01-16 00:12:27
37136,89,89,Arts,Rejected,2021-12-03 04:58:06
26266,51,62,Science,Admitted,2024-10-18 13:47:39
23601,78,75,Arts,Admitted,2017-09-03 03:05:27
40706,60,93,Commerce,Rejected,2024-02-17 14:36:39
5731,49,95,Science,Admitted,2019-06-29 01:34:41
35669,84,76,Commerce,Rejected,2023-06-09 16:01:25
12185,58,45,Arts,Admitted,2021-02-15 12:12:30
45269,90,99,Arts,Admitted,2018-09-01 16:16:09
36350,96,97,Science,Admitted,2017-05-27 00:52:01
33007,84,76,Arts,Admitted,2024-02-10 10:44:26
51473,80,83,Commerce,Admitted,2019-01-24 07:58:22
4585,59,78,Science,Admitted,2017-05-09 18:53:34
9461,49,45,Science,Admitted,2022-03-20 18:14:04
44700,61,50,Arts,Rejected,2017-08-11 04:10:28
31527,31,54,Science,Rejected,2024-01-07 19:10:59
52632,48,51,Science,Rejected,2019-09-21 07:35:48
756,95,99,Science,Rejected,2017-05-08 16:02:54
57656,80,80,Science,Admitted,2018-08-19 20:10:09
54875,50,63,Science,Rejected,2023-12-13 12:49:43
10382,99,90,Arts,Admitted,2018-11-04 02:02:48
15310,74,52,Commerce,Rejected,2018-01-25 08:42:29
54139,66,84,Arts,Rejected,2024-06-30 13:46:46
12595,80,45,Commerce,Admitted,2024-04-02 06:40:30
6124,51,80,Arts,Admitted,2023-09-14 17:47:08
45324,32,58,Commerce,Admitted,2023-06-01 08:20:06
22949,52,61,Arts,Admitted,2020-02-12 14:25:02
47545,47,52,Science,Admitted,2019-06-09 14:17:34
9407,53,96,Arts,Admitted,2021-02-09 16:58:25
4349,93,65,Commerce,Admitted,2020-02-21 23:36:03
27766,57,83,Science,Rejected,2020-07-19 20:13:33
22323,64,51,Arts,Rejected,2018-12-12 03:47:19
59946,87,47,Commerce,Admitted,2017-06-05 03:40:08
46046,92,53,Arts,Rejected,2018-09-25 11:34:20
28576,33,84,Commerce,Admitted,2018-05-25 03:27:35
1476,87,83,Science,Admitted,2020-02-14 05:53:31
52577,49,70,Science,Admitted,2018-05-01 10:27:13
49897,45,80,Arts,Rejected,2022-12-01 11:09:08
36375,60,99,Science,Admitted,2017-07-21 12:33:07
40037,81,53,Arts,Rejected,2023-10-23 01:21:49
18675,97,79,Science,Rejected,2023-10-04 15:47:54
28491,57,65,Arts,Admitted,2023-05-08 11:56:12
4165,92,50,Arts,Admitted,2021-04-10 00:56:00
40620,95,54,Science,Admitted,2017-12-28 05:58:02
30704,92,74,Arts,Rejected,2024-11-02 19:03:38
39133,34,69,Commerce,Rejected,2022-04-03 04:27:02
29800,37,53,Commerce,Admitted,2018-06-22 21:52:07
58940,54,47,Arts,Rejected,2019-04-11 20:31:38
18426,62,69,Commerce,Admitted,2017-06-19 19:44:02
38500,31,58,Commerce,Rejected,2020-11-27 13:39:33
50048,90,51,Science,Rejected,2020-08-03 12:19:49
48664,89,60,Science,Rejected,2023-08-19 08:50:57
7347,38,76,Science,Rejected,2022-12-12 15:58:14
24371,53,78,Science,Admitted,2021-09-30 15:55:53
47811,44,58,Arts,Rejected,2023-08-27 15:26:23
21005,42,58,Arts,Admitted,2021-01-11 07:49:10
50715,97,76,Arts,Rejected,2017-10-29 01:27:37
58384,71,57,Science,Rejected,2018-12-20 18:25:46
48118,96,63,Commerce,Rejected,2024-12-20 13:20:56
30382,76,94,Commerce,Admitted,2023-11-14 21:28:15
52435,63,88,Commerce,Rejected,2021-05-20 12:16:22
41717,43,63,Arts,Rejected,2018-07-24 12:17:51
16687,80,82,Commerce,Admitted,2021-10-19 16:36:02
48930,54,84,Science,Rejected,2018-05-06 18:34:49
32060,85,54,Science,Admitted,2018-08-13 00:38:55
47856,85,60,Arts,Rejected,2022-02-17 09:44:29
31864,30,76,Science,Rejected,2024-06-19 04:05:53
27184,42,89,Arts,Rejected,2024-06-26 22:11:37
24070,73,70,Commerce,Rejected,2020-03-29 08:20:39
8658,73,95,Science,Admitted,2024-02-08 09:04:08
11873,42,97,Science,Admitted,2020-09-27 15:39:52
4797,94,75,Commerce,Rejected,2021-03-22 17:11:55
37821,88,60,Commerce,Admitted,2020-10-16 16:35:41
53456,37,97,Science,Admitted,2018-10-24 07:10:28
11283,65,53,Science,Admitted,2020-09-06 09:57:51
9860,35,72,Arts,Rejected,2020-08-08 15:17:14
33931,74,59,Commerce,Rejected,2017-07-14 09:09:20
32595,49,76,Arts,Rejected,2017-04-25 21:51:38
43859,43,64,Science,Admitted,2021-10-07 13:07:00
1189,82,69,Commerce,Rejected,2023-11-04 05:18:02
53426,60,96,Arts,Admitted,2017-10-04 04:52:17
57601,77,66,Commerce,Admitted,2020-10-15 21:54:20
37594,45,92,Commerce,Rejected,2020-08-16 16:53:01
24819,60,83,Commerce,Rejected,2021-06-22 03:32:56
5818,90,61,Science,Admitted,2020-09-24 16:45:35
29393,75,49,Science,Rejected,2018-09-24 07:18:44
28679,47,69,Science,Rejected,2017-07-19 19:07:18
39738,72,47,Arts,Rejected,2017-02-09 14:34:19
53494,97,47,Arts,Rejected,2021-02-02 07:57:36
15202,61,80,Arts,Rejected,2021-12-01 01:50:09
36449,57,74,Arts,Admitted,2021-04-02 21:27:22
43580,32,84,Science,Rejected,2019-03-28 00:32:17
28640,41,91,Arts,Rejected,2018-03-11 05:40:32
3406,98,83,Arts,Rejected,2019-07-20 17:34:50
25505,82,97,Arts,Admitted,2018-09-08 19:55:58
19037,76,92,Science,Admitted,2017-11-29 08:31:45
11865,65,51,Science,Rejected,2018-07-11 11:04:36
56226,76,71,Science,Rejected,2018-06-30 18:45:30
3312,87,80,Science,Rejected,2018-12-24 10:47:48
38366,68,68,Science,Rejected,2022-02-03 13:08:00
19579,84,77,Science,Rejected,2019-01-24 02:23:08
38855,95,80,Arts,Rejected,2023-03-16 10:32:46
48258,65,99,Arts,Admitted,2021-10-29 14:05:06
7291,65,61,Commerce,Admitted,2020-10-01 07:31:27
28522,79,66,Arts,Admitted,2024-11-22 05:53:24
53204,65,69,Commerce,Admitted,2024-05-04 02:34:22
30744,41,93,Science,Admitted,2022-01-22 06:56:07
54561,49,64,Commerce,Admitted,2020-12-21 05:34:18
34597,40,67,Arts,Rejected,2019-01-08 22:41:46
38635,59,67,Commerce,Admitted,2024-05-20 18:46:53
43369,91,75,Science,Admitted,2017-04-24 12:35:57
45178,39,63,Arts,Admitted,2021-05-29 14:31:15
55299,60,92,Commerce,Admitted,2022-05-02 07:15:38
380,44,67,Commerce,Rejected,2022-01-19 09:24:37
56152,77,91,Commerce,Admitted,2020-10-12 04:27:21
44265,67,61,Commerce,Admitted,2018-01-17 16:05:08
55128,67,73,Science,Admitted,2017-11-24 15:36:23
34645,78,69,Arts,Rejected,2023-08-17 05:42:55
4596,80,56,Science,Rejected,2021-11-14 23:40:31
44908,45,92,Commerce,Admitted,2019-06-22 04:10:25
28672,83,89,Science,Admitted,2022-09-08 07:43:23
6419,82,80,Arts,Admitted,2023-08-29 02:26:53
24491,90,53,Arts,Rejected,2018-11-14 08:11:39
22456,68,97,Arts,Admitted,2019-07-10 09:13:51
14970,45,60,Commerce,Admitted,2019-11-08 17:16:23
13395,42,74,Commerce,Rejected,2018-01-19 03:52:10
49999,58,93,Commerce,Admitted,2024-09-10 17:10:08
49412,53,66,Science,Admitted,2019-09-27 22:54:21
53636,89,75,Arts,Rejected,2022-10-09 00:46:11
17471,52,95,Arts,Rejected,2022-07-21 18:37:56
20380,44,95,Science,Rejected,2022-05-11 06:32:04
21876,69,65,Arts,Admitted,2020-10-04 06:25:42
58197,60,95,Arts,Admitted,2017-11-23 01:27:29
55348,56,97,Science,Rejected,2024-07-01 11:40:30
53117,76,88,Arts,Rejected,2023-06-16 21:00:16
45948,41,71,Commerce,Rejected,2022-04-22 10:29:14
10587,92,86,Science,Rejected,2017-06-11 14:10:41
12736,46,97,Commerce,Admitted,2017-01-04 19:14:27
26102,79,88,Science,Rejected,2024-07-10 07:14:07
13012,53,58,Science,Admitted,2017-11-18 09:12:50
10377,41,63,Commerce,Rejected,2022-04-27 23:41:36
10556,56,47,Arts,Admitted,2017-04-22 05:36:01
53756,56,85,Arts,Admitted,2023-07-22 23:46:27
30686,48,62,Arts,Rejected,2024-01-08 03:06:15
59267,90,73,Commerce,Rejected,2023-11-18 02:24:15
7371,74,67,Commerce,Rejected,2024-08-01 17:47:06
5471,76,50,Commerce,Admitted,2020-02-26 00:35:14
12560,77,87,Science,Admitted,2020-07-16 10:38:36
1864,44,45,Science,Admitted,2023-10-31 13:30:14
50232,50,62,Arts,Admitted,2023-03-31 23:50:56
38471,61,85,Commerce,Rejected,2017-02-16 07:39:12
48554,39,73,Science,Rejected,2022-07-03 11:15:45
631,52,65,Commerce,Rejected,2019-09-30 08:06:21
10233,40,80,Commerce,Admitted,2018-12-22 02:19:56
19307,60,75,Commerce,Admitted,2020-04-20 11:24:29
59137,84,64,Arts,Rejected,2019-09-03 11:37:24
27944,97,72,Science,Admitted,2017-08-21 03:23:43
31366,64,90,Science,Rejected,2020-12-01 17:22:41
5846,57,59,Arts,Admitted,2022-01-14 13:24:27
31694,64,72,Science,Admitted,2017-10-17 23:21:13
37548,99,58,Science,Rejected,2018-01-21 08:04:12
32456,45,77,Arts,Rejected,2021-11-16 17:07:58
54221,96,74,Science,Rejected,2021-08-07 04:04:34
35994,32,94,Science,Admitted,2022-03-01 13:38:09
3268,87,46,Science,Rejected,2018-09-24 07:53:02
54411,85,75,Arts,Admitted,2020-07-10 01:16:17
13625,46,54,Commerce,Admitted,2022-02-14 13:10:52
3771,64,53,Arts,Admitted,2018-04-30 07:11:37
27388,86,46,Science,Admitted,2021-12-13 16:12:04
54453,42,52,Commerce,Rejected,2017-06-25 08:04:03
58940,53,76,Arts,Admitted,2024-10-28 04:56:47
52792,94,73,Arts,Admitted,2018-10-08 19:43:39
30614,98,85,Science,Rejected,2018-11-27 18:04:46
28636,53,76,Science,Rejected,2020-10-06 22:52:14
25483,49,51,Science,Rejected,2018-09-26 20:04:27
47490,71,69,Commerce,Admitted,2023-09-06 07:43:48
39474,41,93,Arts,Admitted,2024-01-18 06:00:32
59340,67,49,Commerce,Rejected,2017-07-24 20:50:10
40395,78,93,Science,Admitted,2024-03-18 10:23:14
24537,67,46,Arts,Rejected,2019-05-18 21:58:38
20230,47,63,Science,Admitted,2017-02-07 15:08:01
53624,70,77,Science,Rejected,2020-02-09 20:07:55
39639,65,97,Science,Admitted,2019-09-06 13:16:27
57688,53,82,Arts,Admitted,2023-07-27 23:26:28
14113,31,82,Science,Admitted,2018-02-05 04:18:37
30216,54,45,Arts,Rejected,2019-08-07 21:30:46
28561,68,98,Commerce,Rejected,2020-05-08 11:19:14
17995,58,57,Commerce,Rejected,2023-09-19 14:53:48
35585,46,78,Arts,Rejected,2019-12-23 05:08:58
11025,33,54,Science,Admitted,2020-06-14 23:32:37
29909,35,61,Commerce,Rejected,2019-11-16 21:26:17
34934,31,74,Arts,Rejected,2022-12-14 18:22:26
17331,43,54,Commerce,Rejected,2019-01-03 04:05:25
56224,33,67,Arts,Rejected,2024-03-01 02:39:48
34769,99,69,Science,Rejected,2023-03-29 11:48:53
28405,58,60,Commerce,Admitted,2024-07-27 07:24:13
4760,32,53,Commerce,Rejected,2020-02-15 13:46:09
59920,46,95,Science,Admitted,2022-02-28 19:56:03
20997,38,74,Science,Admitted,2022-07-16 12:56:25
21790,88,79,Commerce,Admitted,2021-10-29 18:26:33
9961,51,59,Science,Admitted,2021-04-13 15:49:43
10699,32,98,Arts,Rejected,2017-01-22 05:17:44
65,59,61,Commerce,Rejected,2017-11-24 08:54:00
36592,37,98,Arts,Admitted,2021-12-13 16:06:48
125,50,90,Commerce,Rejected,2021-02-09 12:37:06
40291,59,71,Science,Admitted,2020-01-30 07:55:27
11223,87,45,Commerce,Admitted,2017-12-30 04:59:32
36012,73,85,Arts,Rejected,2021-07-05 01:45:55
38357,31,49,Commerce,Admitted,2020-03-24 17:52:58
53866,56,94,Arts,Admitted,2024-08-15 21:16:12
15174,65,84,Arts,Rejected,2017-07-16 10:19:52
33202,59,55,Science,Rejected,2024-10-25 06:37:54
19261,31,60,Arts,Admitted,2018-02-23 11:40:59
54629,34,50,Commerce,Rejected,2024-03-24 06:21:28
23189,97,68,Commerce,Rejected,2018-05-31 09:21:03
42754,79,81,Commerce,Rejected,2020-02-28 20:19:53
16287,97,78,Science,Rejected,2017-11-02 11:49:27
31896,58,96,Science,Admitted,2020-07-10 14:25:40
28752,92,96,Science,Rejected,2023-05-29 06:30:53
10555,99,91,Arts,Rejected,2018-01-03 21:54:49
51460,62,80,Science,Rejected,2022-03-10 03:58:20
55626,30,93,Arts,Admitted,2023-10-17 12:26:02
15669,37,54,Commerce,Rejected,2018-05-22 14:27:30
8830,81,53,Commerce,Rejected,2019-10-29 08:19:49
53975,71,70,Science,Rejected,2024-01-15 16:45:16
35086,79,50,Science,Rejected,2022-07-07 03:00:35
56368,70,52,Commerce,Rejected,2021-11-30 17:31:23
55654,71,47,Science,Rejected,2017-07-19 10:10:30
34437,96,48,Arts,Admitted,2022-07-23 03:08:58
51494,49,46,Commerce,Admitted,2023-08-20 07:29:39
4781,98,88,Science,Admitted,2017-10-19 09:14:02
23499,80,91,Commerce,Admitted,2022-02-13 23:55:21
57292,66,86,Arts,Admitted,2017-03-28 12:25:55
15002,34,48,Science,Rejected,2017-04-14 05:09:52
10360,44,59,Commerce,Rejected,2023-02-19 15:59:49
46932,44,87,Arts,Rejected,2019-05-24 21:23:42
179,99,97,Science,Admitted,2021-09-25 06:28:27
39740,91,97,Science,Admitted,2022-08-08 03:42:13
20394,48,62,Arts,Rejected,2022-07-14 14:27:38
29530,69,94,Commerce,Rejected,2021-06-26 07:29:01
17833,59,70,Arts,Admitted,2018-03-18 14:15:31
30375,44,77,Science,Admitted,2024-11-15 20:08:13
28997,98,68,Commerce,Admitted,2020-07-14 20:33:01
15673,72,58,Commerce,Rejected,2017-12-05 07:39:18
19667,81,77,Commerce,Rejected,2021-10-12 10:34:08
40345,85,52,Science,Rejected,2019-02-24 12:43:48
46431,99,67,Commerce,Rejected,2020-05-06 08:55:25
57242,62,80,Science,Admitted,2023-12-21 04:29:53
33741,49,74,Commerce,Admitted,2018-10-27 17:02:31
39669,96,62,Commerce,Admitted,2023-03-22 18:12:38
16525,68,77,Arts,Admitted,2022-01-06 22:20:18
705,36,89,Arts,Rejected,2017-05-11 19:58:43
37102,87,82,Science,Admitted,2018-03-03 12:33:32
7096,36,46,Science,Rejected,2017-03-10 03:51:00
52498,63,48,Commerce,Admitted,2022-12-02 03:14:25
51874,97,83,Arts,Admitted,2020-03-21 01:47:31
22676,78,71,Commerce,Admitted,2023-03-17 13:00:33
38208,84,64,Science,Admitted,2020-06-10 08:04:13
29391,33,64,Commerce,Admitted,2019-03-21 19:48:23
24222,81,56,Commerce,Rejected,2018-06-04 06:18:46
54080,40,54,Arts,Admitted,2020-08-13 05:45:19
46826,81,74,Science,Rejected,2021-10-18 16:53:23
39419,52,77,Commerce,Rejected,2022-11-05 12:38:11
17196,93,81,Arts,Admitted,2019-11-24 09:59:44
30193,39,47,Science,Rejected,2023-10-21 11:03:06
53120,89,60,Science,Admitted,2019-01-03 06:59:16
36806,34,93,Commerce,Admitted,2024-05-30 13:58:37
18801,83,98,Science,Admitted,2021-02-02 18:42:47
11795,50,65,Arts,Rejected,2017-08-21 23:18:50
7979,70,68,Arts,Rejected,2017-01-17 03:54:44
4563,46,90,Commerce,Rejected,2021-02-02 23:27:40
28950,39,62,Commerce,Admitted,2019-10-20 12:03:14
12435,38,61,Commerce,Admitted,2019-03-17 21:04:19
27231,75,55,Science,Rejected,2019-03-01 11:39:08
34857,79,74,Arts,Admitted,2024-05-01 10:53:41
43304,31,46,Arts,Admitted,2018-12-22 23:31:25
41591,70,69,Science,Admitted,2019-12-29 08:36:37
14887,52,50,Commerce,Admitted,2022-02-28 04:54:41
27880,53,48,Commerce,Rejected,2024-07-24 12:19:09
20442,98,60,Arts,Rejected,2023-02-17 09:20:56
39661,84,97,Arts,Admitted,2021-02-27 03:38:25
47451,53,46,Science,Rejected,2020-07-16 05:00:04
29123,96,93,Arts,Rejected,2019-11-07 11:48:40
10669,72,70,Commerce,Admitted,2019-01-31 14:16:51
54638,80,59,Commerce,Rejected,2022-05-19 12:50:44
37177,84,57,Arts,Admitted,2024-01-01 13:04:41
23085,43,53,Arts,Rejected,2024-10-12 23:45:37
955,55,91,Commerce,Admitted,2023-05-17 10:36:47
26033,94,75,Science,Rejected,2023-04-04 13:06:41
10391,76,82,Science,Admitted,2022-07-05 20:19:14
38460,76,91,Science,Admitted,2022-12-05 18:03:01
47477,55,88,Commerce,Rejected,2018-07-28 11:37:05
42823,33,64,Arts,Rejected,2020-07-22 04:17:34
37057,95,53,Science,Admitted,2019-12-21 07:08:52
23442,53,81,Science,Rejected,2020-06-23 12:53:15
35391,47,51,Science,Admitted,2020-06-03 06:16:34
36328,35,71,Science,Rejected,2018-10-19 18:30:51
