student_id,family_income,merit_score,scholarship_amount,scholarship_awarded
29994,408216,58,0,No
23244,526310,90,0,No
8060,295428,62,77907,Yes
17343,798522,99,0,No
26291,639860,93,0,No
10020,274834,63,49583,Yes
10556,525600,69,0,No
25859,395193,54,0,No
46829,236669,67,96082,Yes
47107,194183,52,79371,Yes
2483,104984,74,72362,Yes
42238,362776,66,0,No
36137,644788,91,0,No
9867,636929,66,0,No
9857,494834,73,0,No
46127,268364,50,68216,Yes
21582,57624,70,58137,Yes
46444,452804,94,0,No
15529,799506,99,0,No
28381,587803,97,0,No
17616,268077,90,67849,Yes
24753,620408,92,0,No
247,608348,52,0,No
49404,665794,76,0,No
8782,753105,82,0,No
17041,666936,98,0,No
16086,82992,61,29266,Yes
26086,275147,54,94114,Yes
12105,260698,75,96236,Yes
30308,787338,90,0,No
42158,244991,76,70901,Yes
21467,486756,85,0,No
4441,53024,50,90466,Yes
36331,779853,69,0,No
26240,621441,54,0,No
30918,684381,85,0,No
27182,748288,58,0,No
20843,461823,59,0,No
35710,555894,55,0,No
22028,771200,97,0,No
36779,741762,69,0,No
5672,545443,67,0,No
16519,287925,62,52605,Yes
36031,401631,67,0,No
37052,690638,66,0,No
10452,205182,50,97788,Yes
28913,300371,75,0,No
13263,660499,81,0,No
40840,697068,82,0,No
5768,247909,62,71448,Yes
3450,467697,77,0,No
18163,449667,67,0,No
44705,102433,65,96056,Yes
26649,705177,55,0,No
9903,768478,82,0,No
46818,601374,93,0,No
18768,324855,80,0,No
21475,797116,77,0,No
17722,758770,64,0,No
19032,274725,57,33793,Yes
28785,752363,60,0,No
31088,753705,77,0,No
29715,115719,72,61065,Yes
34260,132037,64,92612,Yes
40952,606159,76,0,No
6643,532113,56,0,No
24858,799760,79,0,No
19130,100814,51,69854,Yes
48313,239647,64,50848,Yes
5797,421890,63,0,No
45712,223672,77,93841,Yes
3880,404711,96,0,No
15950,335675,74,0,No
13644,699474,69,0,No
792,219836,99,53432,Yes
44645,88596,76,72841,Yes
32958,219151,95,34586,Yes
3209,352207,72,0,No
37651,418040,87,0,No
34645,458119,59,0,No
17928,302389,84,0,No
27422,53523,78,43334,Yes
4377,612650,72,0,No
35785,724360,60,0,No
26613,766101,94,0,No
35062,633379,80,0,No
23760,399838,95,0,No
10150,517957,66,0,No
27195,184820,69,75454,Yes
48351,531071,52,0,No
48117,157612,86,20854,Yes
40714,240821,87,25588,Yes
26509,293893,93,83987,Yes
29316,669794,88,0,No
15003,252982,54,87908,Yes
5373,243847,63,75734,Yes
39242,616766,97,0,No
22914,383180,80,0,No
8148,291816,52,74148,Yes
30956,66729,63,62541,Yes
2524,350907,85,0,No
16337,276988,91,96166,Yes
18549,61724,89,73546,Yes
4762,67604,91,22515,Yes
1309,329408,81,0,No
23027,169754,94,66045,Yes
39428,71636,52,58114,Yes
4488,527303,76,0,No
31642,114505,76,53856,Yes
28559,652158,54,0,No
10064,275791,65,52441,Yes
44072,633552,58,0,No
3133,353678,72,0,No
32399,291833,84,72458,Yes
26433,52605,50,71521,Yes
34879,554881,74,0,No
33438,637321,73,0,No
45024,404523,82,0,No
25924,381100,65,0,No
6593,474198,85,0,No
41666,317123,81,0,No
4147,661099,84,0,No
42946,663598,95,0,No
45305,282429,54,47115,Yes
15965,56587,63,95151,Yes
34820,225140,58,50906,Yes
7397,681003,63,0,No
16096,231068,61,41686,Yes
37214,233599,73,96194,Yes
937,456418,89,0,No
34274,610045,57,0,No
45238,71134,72,76058,Yes
41507,332024,71,0,No
18126,573699,62,0,No
34052,784921,60,0,No
44920,675276,68,0,No
7258,269464,67,24068,Yes
11292,455043,74,0,No
11155,321204,93,0,No
33803,662120,88,0,No
33928,248182,58,33417,Yes
43417,528149,59,0,No
27537,270633,95,73153,Yes
40875,299818,63,29924,Yes
23985,716720,53,0,No
1916,400238,81,0,No
48194,119409,91,60451,Yes
48187,791902,86,0,No
25576,429103,79,0,No
19208,680008,61,0,No
5542,746840,76,0,No
32028,102140,66,62163,Yes
9840,74719,93,36186,Yes
4047,382930,60,0,No
9806,129180,94,70278,Yes
20274,317200,58,0,No
31770,383048,50,0,No
20395,782953,60,0,No
31283,449465,94,0,No
44740,669975,99,0,No
10868,401573,63,0,No
3273,588801,95,0,No
9626,728481,77,0,No
42817,134885,58,77676,Yes
44134,448155,80,0,No
22902,57197,58,83017,Yes
1015,771885,68,0,No
46787,337071,76,0,No
13937,569481,60,0,No
47287,635284,81,0,No
47805,597501,83,0,No
10244,369712,90,0,No
18759,783357,69,0,No
39183,319673,69,0,No
48216,699154,61,0,No
5232,665398,77,0,No
34679,53785,85,32308,Yes
43,240905,50,68268,Yes
12306,750378,53,0,No
20491,226572,71,50809,Yes
4400,130588,54,89249,Yes
19961,593437,58,0,No
28156,511777,99,0,No
4413,64964,90,86054,Yes
36700,610489,84,0,No
18772,494224,73,0,No
35747,659477,67,0,No
36174,626956,93,0,No
48423,610241,59,0,No
41480,395828,53,0,No
28840,402860,90,0,No
32913,735009,83,0,No
27878,448780,65,0,No
31146,275616,96,28667,Yes
48400,713434,83,0,No
1184,599914,57,0,No
11069,705358,50,0,No
11960,777363,90,0,No
21148,63858,86,31420,Yes
47832,51670,74,24394,Yes
1223,771290,87,0,No
21255,564688,64,0,No
41459,761624,63,0,No
28576,620874,98,0,No
25932,100768,80,88193,Yes
21997,627953,53,0,No
47412,520695,78,0,No
15399,260924,78,85572,Yes
47485,710740,71,0,No
5759,311618,79,0,No
25042,731955,67,0,No
22112,752588,86,0,No
13498,697400,97,0,No
4211,770937,92,0,No
17731,796236,74,0,No
23051,270394,71,86176,Yes
24499,218933,54,82207,Yes
21152,410773,73,0,No
49294,541092,55,0,No
28136,750273,52,0,No
44480,591835,86,0,No
49451,521659,61,0,No
4552,565734,83,0,No
35042,653882,61,0,No
30660,192699,72,89699,Yes
3457,177451,51,57264,Yes
3839,475263,64,0,No
43732,620364,68,0,No
31819,363669,54,0,No
19050,626885,67,0,No
37782,72544,99,73368,Yes
49338,264089,57,26970,Yes
8957,172884,54,66211,Yes
27673,145480,79,21435,Yes
20609,647157,55,0,No
18044,646212,95,0,No
20481,124977,62,23517,Yes
8337,425143,87,0,No
31554,118395,60,85446,Yes
5746,271407,98,55271,Yes
20595,735287,75,0,No
13549,729788,60,0,No
29190,709010,95,0,No
48184,407447,53,0,No
31577,670181,79,0,No
42739,607599,53,0,No
4172,255835,84,47961,Yes
5269,355111,98,0,No
20846,412149,64,0,No
46011,765101,96,0,No
37011,63412,86,54060,Yes
42006,778185,77,0,No
31082,186400,98,40647,Yes
37437,691533,61,0,No
39510,745946,66,0,No
1820,368271,68,0,No
9787,664047,76,0,No
25956,603023,56,0,No
39557,632631,63,0,No
14824,545162,78,0,No
5726,728944,61,0,No
4077,687975,85,0,No
13739,511891,75,0,No
23369,441189,87,0,No
16850,56432,85,57795,Yes
49915,509134,90,0,No
13610,304576,92,0,No
29237,400189,67,0,No
15221,543453,85,0,No
10740,596514,79,0,No
28106,532762,72,0,No
30980,730816,60,0,No
41687,516591,96,0,No
8611,374300,84,0,No
17113,420044,91,0,No
28725,229581,82,75014,Yes
11578,491900,68,0,No
11298,189760,90,96113,Yes
48686,420632,95,0,No
19861,778594,58,0,No
21139,98592,53,93696,Yes
21150,790871,92,0,No
15402,567809,56,0,No
25514,670079,57,0,No
44368,389977,79,0,No
25861,775969,84,0,No
9907,462676,67,0,No
38974,466264,68,0,No
1706,712875,75,0,No
20844,355938,63,0,No
40915,107978,72,28682,Yes
44998,407600,52,0,No
34302,123905,90,88517,Yes
36300,338115,67,0,No
24496,61285,83,68431,Yes
7270,794921,80,0,No
44313,637654,52,0,No
17671,157741,71,31738,Yes
13306,371878,61,0,No
23871,757074,51,0,No
23657,519466,87,0,No
27912,606599,51,0,No
8570,524473,67,0,No
24490,611808,75,0,No
36809,342472,74,0,No
5587,378144,61,0,No
24705,422689,55,0,No
35970,85400,76,40345,Yes
3800,90368,53,30459,Yes
45352,496779,67,0,No
30148,286073,83,34975,Yes
48349,211962,72,24792,Yes
40356,795504,68,0,No
11782,619612,96,0,No
38509,534850,72,0,No
16815,223559,78,93075,Yes
11249,547145,81,0,No
39620,185579,70,35281,Yes
3194,596610,69,0,No
31886,447974,68,0,No
5374,646678,74,0,No
47254,787439,94,0,No
28161,269869,67,30810,Yes
13729,78321,62,47187,Yes
15893,616639,60,0,No
1942,541341,67,0,No
36687,572415,60,0,No
22853,257876,89,66457,Yes
22349,289663,55,20142,Yes
9883,217886,67,38481,Yes
21127,366948,91,0,No
29018,527421,94,0,No
1143,618955,58,0,No
14015,275655,91,39878,Yes
27978,160184,76,56122,Yes
22439,732916,60,0,No
43381,601966,79,0,No
4685,422985,84,0,No
2525,632181,87,0,No
23866,379886,89,0,No
16144,160959,79,80108,Yes
10019,116137,72,34877,Yes
40890,172009,82,22745,Yes
21158,220735,52,28575,Yes
33261,704649,69,0,No
49458,692645,76,0,No
37054,447109,53,0,No
25588,171998,88,76011,Yes
11203,216921,99,38044,Yes
18747,342225,85,0,No
26846,340834,60,0,No
25338,625864,99,0,No
18063,775750,81,0,No
44129,192093,96,33841,Yes
31516,733471,60,0,No
5151,398379,77,0,No
35283,423590,93,0,No
16823,780512,59,0,No
21862,499783,90,0,No
27796,752764,68,0,No
25108,499592,82,0,No
43171,521868,75,0,No
29396,161344,73,40550,Yes
21747,124329,90,72785,Yes
36175,667512,81,0,No
16590,624332,50,0,No
49055,542975,90,0,No
48207,572090,87,0,No
8841,148790,51,47590,Yes
34564,179941,54,98254,Yes
48783,537859,83,0,No
22095,435309,52,0,No
6427,661308,69,0,No
5095,317793,57,0,No
42442,400154,97,0,No
35483,579113,54,0,No
22943,483869,93,0,No
17080,369717,63,0,No
36919,311897,79,0,No
4513,776074,75,0,No
17595,634085,53,0,No
17281,532863,83,0,No
34713,503547,68,0,No
49083,626760,83,0,No
12198,600268,66,0,No
41289,712542,50,0,No
37149,406281,78,0,No
22602,799343,64,0,No
23220,157761,72,96700,Yes
956,601514,62,0,No
48591,331320,64,0,No
36238,51384,90,33562,Yes
23220,320286,79,0,No
225,318220,92,0,No
13043,340895,66,0,No
29962,755997,69,0,No
19076,610391,99,0,No
35049,699616,98,0,No
26399,256500,82,71525,Yes
39718,560715,52,0,No
39259,544743,81,0,No
20888,514050,57,0,No
20640,99771,85,29609,Yes
23667,450765,86,0,No
35556,144274,70,22009,Yes
48777,229124,91,59998,Yes
34851,494822,73,0,No
42903,415802,76,0,No
33857,424117,68,0,No
14843,446346,88,0,No
42460,483401,65,0,No
5053,412902,74,0,No
15279,304706,50,0,No
38998,455844,73,0,No
16930,663073,99,0,No
37182,152163,65,91964,Yes
13841,383962,63,0,No
4514,235512,52,61149,Yes
16440,60600,87,50616,Yes
24256,688707,96,0,No
18420,611488,54,0,No
26597,739168,92,0,No
21406,88291,60,85386,Yes
34893,497824,98,0,No
2155,65904,83,57825,Yes
18609,621777,94,0,No
33133,686891,69,0,No
24543,632362,98,0,No
37668,464825,99,0,No
10468,567855,84,0,No
6329,587923,61,0,No
16164,133631,68,57749,Yes
35923,238914,61,37631,Yes
26551,633863,79,0,No
40304,278923,58,73884,Yes
26158,655025,89,0,No
35674,484927,95,0,No
4745,523188,78,0,No
23312,549523,80,0,No
39795,670092,94,0,No
41341,575904,75,0,No
36927,241700,59,37774,Yes
39394,74938,78,20093,Yes
36536,671088,94,0,No
12631,781093,89,0,No
6135,643177,65,0,No
21764,67131,51,51488,Yes
1575,606364,74,0,No
9927,316647,97,0,No
31376,281653,78,38465,Yes
398,668817,99,0,No
45288,306436,56,0,No
16147,644651,67,0,No
29225,736125,64,0,No
45672,306679,70,0,No
31284,348132,59,0,No
24397,788179,66,0,No
30733,493122,59,0,No
14859,724131,81,0,No
18056,624646,95,0,No
16399,192433,60,56739,Yes
9367,501137,67,0,No
38504,410241,55,0,No
11972,775604,71,0,No
38148,539461,59,0,No
26847,411905,81,0,No
45331,633867,67,0,No
6451,354784,94,0,No
7271,128807,82,70716,Yes
9836,203925,88,33394,Yes
49911,485147,78,0,No
42753,760821,84,0,No
48980,124352,84,20650,Yes
46528,417372,71,0,No
29363,255833,68,21518,Yes
26653,450645,54,0,No
26088,768931,57,0,No
20301,424872,97,0,No
27598,741573,90,0,No
24349,163469,96,27116,Yes
17015,768458,62,0,No
2809,717514,71,0,No
15841,438231,87,0,No
22985,276533,95,72254,Yes
37480,414309,64,0,No
25178,57747,98,90258,Yes
1239,605640,52,0,No
4980,365504,84,0,No
23446,444994,95,0,No
19486,701245,95,0,No
3465,685010,66,0,No
20962,50932,90,62703,Yes
43319,419125,50,0,No
31588,491726,54,0,No
9881,497048,66,0,No
43604,642887,79,0,No
43972,525813,51,0,No
26634,418298,99,0,No
45583,164758,59,86998,Yes
34893,114157,51,31305,Yes
28316,764961,57,0,No
47976,422478,98,0,No
5343,250686,89,78536,Yes
11274,333684,86,0,No
48488,717914,92,0,No
35528,155187,56,73065,Yes
16094,613082,59,0,No
19124,526151,67,0,No
22216,367750,86,0,No
34420,99345,81,90914,Yes
18762,112607,71,99872,Yes
30444,630417,74,0,No
30986,726375,61,0,No
12880,193903,82,22697,Yes
5517,480093,71,0,No
28545,509088,68,0,No
43501,779258,69,0,No
8045,370506,92,0,No
46344,221496,83,70567,Yes
47082,583418,94,0,No
46733,83089,55,56311,Yes
16140,777632,88,0,No
25106,634781,66,0,No
21835,707525,59,0,No
36027,87226,53,72454,Yes
32203,195215,54,70261,Yes
47505,249358,57,61562,Yes
33807,317095,96,0,No
6254,317247,52,0,No
5304,395318,69,0,No
26784,726393,92,0,No
29867,382453,68,0,No
7429,280133,84,31147,Yes
25090,332859,54,0,No
35770,130662,61,29583,Yes
35526,122117,50,83131,Yes
24429,761581,69,0,No
32061,78543,96,78635,Yes
36757,70195,55,63527,Yes
42632,703301,58,0,No
6220,105134,75,81010,Yes
46196,790593,81,0,No
7728,139506,50,58323,Yes
12515,131912,87,20657,Yes
36489,194947,78,79706,Yes
47027,76746,75,67837,Yes
36958,632155,59,0,No
28551,433946,70,0,No
29159,293292,51,57676,Yes
26253,535154,89,0,No
17025,261512,83,90229,Yes
20245,89054,84,92662,Yes
27353,604451,82,0,No
46478,734598,67,0,No
38630,152187,64,32426,Yes
37904,471885,55,0,No
22860,502663,96,0,No
34956,224198,91,66879,Yes
2801,524146,55,0,No
24528,418630,73,0,No
30301,671071,58,0,No
31137,196751,50,87252,Yes
14161,356903,72,0,No
5322,395923,64,0,No
24336,381640,87,0,No
22769,548644,93,0,No
14363,744474,87,0,No
47131,67003,54,60502,Yes
48444,711306,72,0,No
29331,223076,78,92740,Yes
12833,635682,50,0,No
27244,567504,53,0,No
34069,765696,60,0,No
30049,264101,66,75956,Yes
18681,522489,70,0,No
8819,318377,67,0,No
28817,744397,68,0,No
29098,375025,89,0,No
20413,160519,82,48909,Yes
31177,219024,51,29760,Yes
19369,51371,53,41549,Yes
41669,647777,84,0,No
16630,140894,50,41353,Yes
26860,196650,98,27399,Yes
44982,723114,78,0,No
12608,470096,91,0,No
14402,173850,60,36719,Yes
49557,471092,78,0,No
47595,668131,88,0,No
20783,723051,90,0,No
12921,263944,61,30644,Yes
20354,346861,81,0,No
25057,774332,58,0,No
45520,168000,74,27963,Yes
23090,107980,64,59881,Yes
35297,335571,91,0,No
5761,622784,88,0,No
26631,437217,91,0,No
48779,426894,65,0,No
47978,695305,58,0,No
33557,507826,80,0,No
2152,537906,64,0,No
7858,227550,83,47262,Yes
24579,492566,58,0,No
26018,558220,53,0,No
14384,767406,83,0,No
28300,294787,55,28416,Yes
43343,212000,68,80581,Yes
4290,337462,86,0,No
29098,545626,79,0,No
43161,242738,79,87250,Yes
17443,364527,86,0,No
21960,74903,84,45004,Yes
48120,149882,95,80262,Yes
43034,86013,66,48816,Yes
13384,203620,58,27394,Yes
25580,657952,74,0,No
26907,457985,66,0,No
12113,471945,91,0,No
13448,537617,58,0,No
26380,224977,68,31673,Yes
5310,314067,80,0,No
39848,85093,99,29899,Yes
3469,406101,85,0,No
724,130523,76,29111,Yes
27920,128510,83,73275,Yes
42471,766927,96,0,No
24171,546288,56,0,No
37081,347183,93,0,No
35890,332555,52,0,No
40728,468337,78,0,No
738,430873,94,0,No
8780,775512,88,0,No
19817,765731,89,0,No
44541,726798,89,0,No
22209,693091,88,0,No
39260,124818,86,60339,Yes
35001,217187,93,72180,Yes
32222,539328,90,0,No
38392,306434,70,0,No
39725,717406,73,0,No
36999,68881,76,46409,Yes
30245,321149,79,0,No
39917,153347,91,69787,Yes
40127,130199,86,72958,Yes
27697,72423,91,38610,Yes
29365,635037,70,0,No
40683,766146,82,0,No
17102,712446,83,0,No
23324,754210,52,0,No
43524,165569,53,65439,Yes
1582,784685,57,0,No
18063,454478,58,0,No
1197,149491,79,76976,Yes
5050,83920,84,79463,Yes
22883,712585,50,0,No
20395,261233,74,97056,Yes
9706,114063,81,68437,Yes
4250,328607,84,0,No
44018,54779,94,88887,Yes
39154,279946,51,26197,Yes
44590,567049,52,0,No
7697,408575,80,0,No
38825,693607,99,0,No
28376,119857,76,45609,Yes
19070,549300,58,0,No
34507,418192,99,0,No
16562,366160,74,0,No
20593,738472,71,0,No
32184,714247,59,0,No
4957,653514,59,0,No
36971,300755,87,0,No
47359,740817,85,0,No
10604,412451,79,0,No
5156,168826,77,29525,Yes
25213,686325,74,0,No
31377,524498,79,0,No
19255,420351,93,0,No
6517,750368,83,0,No
5124,569945,77,0,No
6977,717362,50,0,No
28336,437720,94,0,No
22566,677192,98,0,No
19605,144192,53,80306,Yes
28605,435375,61,0,No
9077,268854,86,36651,Yes
49982,421945,51,0,No
48914,196761,78,97112,Yes
20517,123504,77,27383,Yes
7854,73923,63,39823,Yes
11882,73291,54,56180,Yes
46254,451052,77,0,No
11530,394314,52,0,No
470,557582,65,0,No
36520,521077,60,0,No
26357,525635,92,0,No
25499,776155,80,0,No
20818,66808,96,79976,Yes
42266,484290,56,0,No
1790,664973,59,0,No
18047,545848,56,0,No
7546,276940,71,60462,Yes
3554,185327,74,70476,Yes
2389,65346,61,45197,Yes
25146,226299,94,80307,Yes
43492,194823,52,22381,Yes
40726,53895,59,71873,Yes
24752,91825,83,43638,Yes
10419,59559,69,88382,Yes
32261,423109,99,0,No
49599,577597,97,0,No
18589,444691,97,0,No
23945,705784,58,0,No
20483,392594,55,0,No
48061,702290,98,0,No
39109,307979,82,0,No
18073,738324,63,0,No
30595,704877,61,0,No
32856,475517,60,0,No
33074,510734,83,0,No
9698,692534,98,0,No
24325,749625,87,0,No
18228,50877,79,60051,Yes
17220,472640,74,0,No
29601,185820,59,96497,Yes
40759,648974,65,0,No
25077,167204,77,48125,Yes
8813,385274,58,0,No
19147,188741,51,27282,Yes
7198,493173,81,0,No
23384,503020,94,0,No
42663,214471,94,46843,Yes
1131,280987,72,98906,Yes
2942,682713,50,0,No
49021,683373,86,0,No
18645,509988,77,0,No
34432,419176,50,0,No
10970,272597,52,96450,Yes
24364,627863,99,0,No
39936,781976,79,0,No
568,786433,78,0,No
32537,369907,68,0,No
36085,239198,60,56823,Yes
10185,159310,90,81472,Yes
24872,643554,89,0,No
28984,329210,50,0,No
2016,136560,92,88673,Yes
35568,211508,57,69613,Yes
41812,410488,88,0,No
11301,64557,97,30381,Yes
23437,385285,66,0,No
48845,645813,55,0,No
45828,365739,77,0,No
26705,692995,96,0,No
22541,449390,94,0,No
41789,742015,55,0,No
7320,727001,80,0,No
3460,610756,50,0,No
40732,257074,59,85523,Yes
14461,797523,95,0,No
48048,472647,89,0,No
42406,747742,97,0,No
22113,698868,94,0,No
20962,296914,81,42968,Yes
43898,64291,69,38067,Yes
33880,436678,58,0,No
4352,442593,96,0,No
42564,520496,89,0,No
26265,370919,55,0,No
16147,311451,79,0,No
6422,621675,81,0,No
28423,188061,98,39601,Yes
13955,131139,70,61377,Yes
48811,351282,70,0,No
43075,704887,76,0,No
41942,89754,57,43668,Yes
38835,610829,91,0,No
9499,422833,71,0,No
41392,708378,95,0,No
5971,526777,62,0,No
9211,364079,54,0,No
28067,226401,67,38839,Yes
840,483644,76,0,No
10785,405306,67,0,No
22928,767279,63,0,No
6655,450016,83,0,No
43860,220152,98,41432,Yes
17385,289979,62,86669,Yes
5943,130063,64,52662,Yes
18930,101361,50,56705,Yes
25048,697584,60,0,No
8901,799903,91,0,No
13041,270916,50,50713,Yes
42980,127272,85,84508,Yes
617,699368,74,0,No
26296,739575,68,0,No
24493,323004,84,0,No
32297,234241,68,63943,Yes
27600,87408,81,87476,Yes
20147,419645,68,0,No
8338,169358,94,32195,Yes
37003,76447,51,55076,Yes
14422,728258,97,0,No
30183,624766,59,0,No
27972,333432,97,0,No
31176,794006,51,0,No
21345,112148,98,73678,Yes
17850,759032,54,0,No
32675,678567,50,0,No
43779,257777,57,88650,Yes
26517,417765,92,0,No
22089,526099,52,0,No
34586,155527,58,99082,Yes
6930,546327,65,0,No
32990,766375,89,0,No
30616,173576,70,35029,Yes
42245,583333,97,0,No
9396,525883,82,0,No
148,173863,74,66547,Yes
47877,394899,76,0,No
49051,530642,61,0,No
49254,566916,70,0,No
2609,407449,52,0,No
33084,784048,64,0,No
12469,519449,84,0,No
29147,365799,79,0,No
15864,390838,56,0,No
181,633253,87,0,No
48222,254905,76,45908,Yes
49088,461894,60,0,No
16959,675262,50,0,No
37265,633584,72,0,No
32585,580542,82,0,No
41818,607915,54,0,No
42510,139286,56,74306,Yes
19461,611399,70,0,No
23126,233430,52,44571,Yes
33626,596867,98,0,No
36421,417327,78,0,No
3109,465069,63,0,No
8468,460702,79,0,No
4321,188800,83,73305,Yes
15726,720823,97,0,No
24793,507454,68,0,No
29276,543490,65,0,No
48503,305403,60,0,No
45414,677577,62,0,No
26681,359952,53,0,No
17789,526129,91,0,No
34302,370373,89,0,No
20109,347827,59,0,No
8053,543715,57,0,No
41057,145813,97,94873,Yes
39327,656976,61,0,No
31322,543909,82,0,No
42097,629736,78,0,No
1816,506437,94,0,No
34546,408049,90,0,No
23565,659685,57,0,No
47960,395528,61,0,No
19301,203154,83,96502,Yes
3213,279532,82,81059,Yes
43870,208440,58,59295,Yes
2595,260865,84,53089,Yes
18348,182900,80,28304,Yes
28580,680077,94,0,No
13810,315247,54,0,No
45511,457617,87,0,No
6239,195778,80,39745,Yes
8332,413747,56,0,No
47158,529472,91,0,No
26872,785718,76,0,No
37587,729156,63,0,No
33559,785162,78,0,No
29195,59923,97,54932,Yes
27136,776548,72,0,No
49220,731971,93,0,No
19077,608822,94,0,No
34969,321443,74,0,No
48007,415531,84,0,No
20365,662636,65,0,No
42408,649998,82,0,No
8696,650616,87,0,No
38643,768722,60,0,No
25552,332050,76,0,No
42366,240930,60,25258,Yes
10716,221305,68,58198,Yes
4406,122086,92,46993,Yes
2117,516174,68,0,No
27674,227134,80,46245,Yes
17063,396688,98,0,No
46400,60644,94,93693,Yes
36474,366695,78,0,No
34616,56677,52,74425,Yes
49540,81841,90,42852,Yes
10496,150156,69,57843,Yes
21170,793270,53,0,No
29128,328875,50,0,No
24694,559903,84,0,No
34966,710523,52,0,No
42745,341626,74,0,No
39086,76858,53,56506,Yes
25754,205611,78,89784,Yes
19307,454699,72,0,No
37317,282112,60,49863,Yes
42379,250806,87,56634,Yes
3289,330059,95,0,No
36383,575035,63,0,No
19040,333987,73,0,No
38998,172841,85,51838,Yes
29954,414664,76,0,No
22663,754816,72,0,No
20216,434740,70,0,No
19309,481233,96,0,No
46299,370592,82,0,No
29706,360195,83,0,No
26435,178109,64,96246,Yes
47510,562172,79,0,No
45097,486945,67,0,No
34765,699957,76,0,No
15959,203755,86,54309,Yes
41019,706137,84,0,No
17806,56552,66,30755,Yes
18440,264311,80,47950,Yes
28698,506667,74,0,No
32237,614404,76,0,No
12026,736994,76,0,No
10627,472480,60,0,No
13912,356935,63,0,No
33897,435001,76,0,No
36393,181896,74,44181,Yes
30975,137041,98,25228,Yes
18474,331911,67,0,No
856,312361,95,0,No
46796,375544,78,0,No
27715,392839,89,0,No
21471,56197,83,32366,Yes
41754,768272,65,0,No
3000,524044,83,0,No
20847,60218,55,59218,Yes
44264,95076,63,68799,Yes
44153,164347,91,73874,Yes
30152,267767,87,94875,Yes
7738,449779,67,0,No
29393,718756,95,0,No
8955,352813,71,0,No
10165,653863,56,0,No
22915,62468,51,71198,Yes
48495,766182,59,0,No
44696,452248,68,0,No
3402,378813,76,0,No
37895,781214,85,0,No
26219,598930,70,0,No
4882,749417,93,0,No
35161,276732,97,54752,Yes
25290,159029,88,89388,Yes
30441,700813,88,0,No
26875,445203,74,0,No
681,531796,74,0,No
40807,201017,97,74091,Yes
25380,463388,55,0,No
19297,256345,96,69409,Yes
44585,140860,87,96646,Yes
16201,313701,64,0,No
20149,431722,59,0,No
43859,608512,67,0,No
44143,784313,95,0,No
43810,122133,81,78199,Yes
49467,626054,69,0,No
