user_id,subscription_plan,monthly_fee,months_active,churn_risk
34965,Free,499,23,Low
56629,Premium,499,26,Low
56578,Basic,499,22,High
46904,Free,0,31,High
31629,Premium,499,4,Low
470,Free,499,31,Low
14247,Free,0,32,Low
55075,Basic,499,28,Low
38635,Free,999,9,Low
49186,Basic,999,19,High
26193,Free,499,2,Low
55893,Free,999,19,High
50790,Free,499,17,Low
42605,Basic,0,14,Low
3812,Premium,0,30,High
22397,Premium,999,24,Low
36941,Free,0,19,Low
56152,Premium,499,18,High
52124,Premium,499,19,Low
23893,Basic,499,22,High
34452,Premium,999,3,Low
36345,Free,999,22,Low
37361,Basic,999,19,High
59945,Basic,499,7,High
3202,Basic,499,20,High
54702,Basic,999,16,Low
44054,Free,0,20,Low
23674,Basic,0,22,Low
54605,Free,0,15,High
23923,Basic,499,31,High
41910,Basic,499,33,Low
31432,Premium,0,13,Low
26043,Free,0,15,Low
440,Basic,999,1,High
25395,Basic,0,25,Low
43456,Premium,999,24,High
47888,Free,999,4,Low
5810,Free,0,19,Low
12306,Premium,0,6,Low
31048,Basic,0,21,Low
20771,Premium,499,16,High
9069,Basic,499,17,Low
22185,Free,499,23,Low
15138,Premium,999,31,Low
17305,Free,499,28,Low
59131,Basic,499,27,Low
12305,Basic,0,11,Low
57338,Free,499,35,Low
2303,Free,0,28,High
37800,Premium,499,19,High
21544,Basic,999,1,High
35457,Free,999,11,High
11142,Basic,999,29,Low
21868,Basic,0,21,High
3094,Basic,0,25,Low
48892,Premium,999,29,High
16068,Basic,999,35,High
32555,Basic,999,22,High
16782,Premium,999,6,High
53771,Basic,999,34,High
14846,Basic,0,23,Low
37131,Premium,499,9,Low
4437,Basic,999,25,High
40811,Premium,999,8,High
5489,Free,0,5,Low
20921,Premium,0,4,Low
48737,Free,0,1,High
46462,Basic,499,8,High
13272,Basic,999,12,High
52998,Basic,0,18,Low
48838,Free,0,30,Low
11228,Basic,499,17,High
55514,Basic,999,3,High
35075,Basic,499,2,High
44417,Premium,999,21,High
33804,Free,999,20,High
6176,Basic,0,24,Low
503,Premium,999,6,Low
56426,Premium,0,34,Low
13245,Premium,999,12,High
56402,Free,999,8,Low
25470,Premium,499,8,High
53203,Basic,999,7,High
11890,Basic,0,22,High
10109,Basic,0,22,Low
49343,Free,999,27,Low
13925,Free,499,19,High
14952,Free,999,9,High
40648,Free,999,2,Low
47346,Premium,999,7,Low
8646,Premium,499,23,Low
43782,Premium,999,12,Low
15287,Free,0,30,High
161,Premium,999,13,Low
5800,Premium,999,32,Low
58883,Basic,999,5,High
26220,Free,0,30,Low
19325,Basic,0,11,High
465,Premium,999,3,Low
7030,Basic,0,31,High
23393,Free,499,20,Low
17068,Free,0,31,Low
4281,Free,999,4,Low
26879,Free,999,7,Low
47982,Basic,0,28,High
38036,Basic,999,19,Low
2214,Premium,499,8,Low
18645,Free,999,26,High
3390,Premium,0,4,High
3895,Basic,499,4,High
41457,Free,0,22,Low
22207,Premium,499,23,Low
52712,Free,499,6,High
34215,Premium,499,31,High
20137,Premium,999,34,Low
33297,Basic,499,9,High
27240,Free,0,26,Low
10178,Basic,999,1,Low
15450,Premium,499,15,High
58781,Free,999,18,High
34201,Basic,0,29,High
14587,Free,0,10,Low
48209,Free,499,2,High
39574,Basic,999,7,Low
2673,Basic,999,26,High
58641,Free,0,6,Low
2388,Basic,0,27,Low
52528,Premium,999,35,Low
7563,Premium,999,31,Low
55742,Free,499,17,Low
41513,Basic,499,30,Low
3055,Premium,0,29,High
6417,Basic,999,4,Low
49839,Basic,0,2,High
2858,Premium,0,15,Low
53437,Basic,999,32,High
8891,Free,0,1,High
52063,Free,0,20,Low
12390,Free,0,11,High
14088,Premium,999,28,Low
37892,Free,499,3,High
50154,Basic,0,25,Low
21256,Basic,0,19,High
39115,Free,499,18,High
12238,Premium,0,24,Low
33623,Premium,999,33,High
8970,Basic,999,2,Low
35571,Premium,0,9,Low
41183,Free,999,1,Low
40456,Premium,999,34,High
22527,Basic,0,7,Low
4600,Premium,999,8,Low
19316,Free,499,1,High
55080,Free,999,18,High
38023,Premium,0,2,High
7104,Free,0,8,Low
26637,Free,0,22,Low
12684,Free,999,19,High
7443,Free,499,22,Low
23516,Basic,499,18,Low
7327,Free,499,18,Low
15609,Basic,499,26,Low
49242,Premium,0,28,Low
21531,Premium,0,3,Low
24460,Basic,499,10,Low
20112,Premium,499,17,High
6161,Premium,999,23,Low
25763,Premium,0,18,Low
34123,Premium,999,30,Low
6102,Basic,999,16,High
51655,Premium,0,35,Low
34859,Free,499,30,High
839,Free,999,3,Low
48512,Free,999,30,Low
10125,Basic,0,33,Low
23096,Premium,999,35,High
50779,Basic,999,16,Low
16709,Premium,0,19,High
6016,Basic,499,9,Low
7347,Premium,999,13,High
8933,Premium,0,19,Low
52323,Basic,999,2,High
4263,Premium,499,7,Low
37482,Premium,999,13,Low
37161,Free,0,19,High
19145,Basic,499,5,High
9036,Free,499,16,High
48741,Free,0,15,High
56418,Free,499,1,Low
53913,Free,499,21,Low
41785,Basic,0,9,High
17741,Basic,999,23,High
22079,Basic,999,1,Low
45060,Premium,999,32,Low
22562,Free,0,33,Low
23079,Premium,999,33,Low
14276,Free,999,9,Low
51071,Premium,499,2,Low
33149,Free,499,6,High
4823,Basic,999,23,Low
19077,Free,0,23,Low
58987,Basic,0,28,Low
3123,Free,499,20,High
39032,Basic,0,30,Low
21683,Free,0,3,High
5099,Premium,0,33,High
45672,Premium,999,24,Low
29023,Premium,0,4,Low
18454,Basic,499,23,Low
8171,Basic,999,14,High
5884,Free,499,26,Low
3374,Free,999,30,Low
21769,Free,999,10,Low
39248,Premium,499,12,Low
51006,Premium,999,8,High
49040,Basic,0,31,Low
56112,Free,0,26,High
46160,Premium,499,5,High
35324,Basic,0,25,Low
48102,Premium,499,35,Low
4712,Basic,499,4,Low
30377,Basic,999,25,Low
33728,Premium,499,14,Low
2412,Premium,499,16,Low
20812,Free,999,30,High
48955,Free,0,6,Low
37257,Free,0,19,Low
54347,Basic,499,29,Low
43,Premium,499,17,High
9180,Premium,0,14,High
20730,Free,999,18,Low
57233,Premium,999,34,High
9222,Premium,499,34,High
8699,Free,0,11,High
39915,Premium,999,10,Low
37860,Premium,499,33,High
16478,Free,499,13,Low
4640,Premium,0,5,Low
48427,Free,0,19,High
56203,Basic,999,8,High
33733,Free,499,10,High
54275,Premium,999,28,Low
44034,Basic,0,32,High
50319,Basic,499,24,High
40301,Premium,999,10,Low
16113,Basic,499,5,Low
50574,Free,499,23,Low
46450,Basic,999,35,Low
47253,Free,999,28,Low
36556,Premium,999,18,Low
33453,Premium,0,13,Low
12129,Premium,999,32,Low
59466,Basic,499,9,Low
27290,Free,0,26,Low
23649,Basic,0,29,Low
16420,Premium,999,6,Low
18481,Premium,999,11,Low
59200,Free,0,34,High
15742,Free,0,6,Low
36916,Free,499,18,High
7042,Free,999,4,Low
17580,Basic,0,11,Low
12040,Basic,499,19,High
56,Basic,999,5,High
22576,Free,0,21,Low
26428,Basic,499,4,Low
35013,Free,0,29,Low
5144,Free,999,23,Low
14779,Premium,999,35,Low
51470,Premium,999,34,Low
26265,Free,0,6,Low
55950,Free,999,13,High
22323,Premium,0,22,High
42283,Free,0,10,High
36508,Free,499,28,Low
449,Basic,499,7,Low
28956,Basic,999,18,Low
25941,Premium,0,25,High
33535,Basic,0,16,Low
58680,Basic,499,29,Low
29543,Premium,999,31,High
57070,Free,0,29,Low
49723,Premium,999,19,Low
3382,Premium,0,16,Low
24149,Premium,499,8,High
38432,Basic,499,18,Low
44739,Premium,0,17,High
32724,Basic,999,29,Low
27632,Free,0,12,Low
23583,Basic,499,35,Low
1258,Free,499,17,High
33489,Premium,999,20,Low
32340,Free,499,18,Low
26336,Basic,499,18,High
42214,Basic,499,11,High
14320,Premium,499,19,High
16891,Premium,0,3,High
57432,Free,499,29,High
10330,Basic,999,3,Low
41163,Premium,499,20,Low
26632,Basic,0,29,Low
41386,Basic,0,5,High
37918,Premium,999,15,Low
19656,Premium,499,13,Low
41917,Premium,999,11,High
13545,Basic,499,34,Low
55961,Basic,499,26,High
31516,Basic,0,22,High
33395,Premium,0,19,Low
48043,Free,499,22,Low
27697,Basic,499,18,High
45916,Premium,999,28,High
2327,Basic,499,18,Low
31649,Free,0,12,High
9378,Basic,0,30,Low
56889,Premium,499,20,High
36957,Premium,999,24,High
4682,Premium,0,25,High
30656,Basic,999,14,Low
197,Free,0,27,High
3916,Basic,499,34,High
35771,Basic,0,2,High
37057,Premium,999,17,High
34647,Free,499,2,Low
2523,Free,999,25,High
58612,Free,499,29,Low
25895,Basic,0,24,Low
1373,Free,0,15,High
42849,Basic,999,27,Low
30063,Premium,0,25,Low
29084,Free,999,17,Low
27933,Basic,0,2,High
52221,Premium,999,25,Low
14932,Basic,499,14,Low
165,Basic,499,21,Low
48271,Premium,0,13,High
14299,Premium,499,27,Low
53796,Premium,999,23,Low
57613,Free,999,11,Low
52587,Premium,999,33,Low
31517,Premium,999,17,High
35198,Basic,0,5,High
29761,Premium,0,3,Low
56372,Premium,499,16,High
30174,Basic,499,10,Low
58953,Free,999,3,High
6217,Free,999,7,High
7941,Free,499,25,Low
23854,Basic,999,7,Low
4235,Basic,499,16,Low
51613,Basic,0,1,Low
6967,Free,0,1,Low
5443,Premium,999,21,High
29573,Premium,499,11,Low
18462,Premium,499,35,Low
23072,Free,499,2,Low
32454,Basic,499,8,Low
27434,Free,999,7,Low
25802,Premium,499,28,High
20920,Basic,0,20,Low
6988,Basic,999,8,Low
13478,Premium,0,8,High
23074,Basic,499,18,High
32397,Basic,999,10,Low
22247,Premium,0,15,High
2046,Basic,0,15,High
50242,Premium,0,35,Low
43824,Premium,0,33,Low
27199,Free,999,18,Low
34292,Free,999,4,Low
59719,Premium,999,7,High
37980,Basic,0,14,High
2936,Premium,0,26,Low
22174,Premium,0,17,Low
44442,Premium,999,22,High
28624,Basic,999,31,Low
8394,Free,499,26,Low
8461,Basic,499,33,High
9177,Basic,0,2,Low
53366,Premium,0,28,Low
25044,Free,0,10,Low
29573,Free,499,32,High
18607,Premium,0,33,High
36627,Free,499,22,High
27513,Basic,0,8,High
7273,Basic,499,1,High
52895,Premium,499,32,Low
4606,Basic,0,17,High
38703,Free,0,10,Low
32331,Basic,999,26,Low
40245,Basic,499,10,Low
35077,Free,999,28,Low
56528,Free,999,19,High
3738,Basic,499,35,High
1288,Free,499,9,High
16869,Free,999,1,Low
31531,Free,0,14,Low
33728,Premium,499,17,High
33935,Free,999,5,High
49520,Premium,499,27,High
2699,Premium,999,6,Low
44671,Premium,999,3,Low
57685,Free,499,32,Low
14446,Premium,999,20,Low
32048,Free,999,6,Low
31107,Premium,0,23,Low
41361,Free,999,6,Low
6126,Premium,499,29,High
32114,Premium,0,35,High
17247,Basic,0,34,High
40008,Free,999,4,High
1565,Free,0,1,High
34437,Basic,499,4,High
26891,Free,999,31,Low
27844,Free,999,13,Low
20142,Basic,0,25,High
29436,Free,999,35,High
22125,Premium,999,24,Low
20484,Free,999,7,Low
36472,Premium,499,26,Low
46848,Free,999,11,Low
22677,Premium,499,17,High
57638,Premium,499,7,Low
45155,Basic,499,29,Low
39235,Basic,999,28,Low
11769,Basic,499,15,Low
24534,Premium,999,35,Low
8432,Free,0,19,Low
23053,Basic,0,20,Low
49515,Free,0,19,Low
46908,Free,0,7,High
49853,Premium,999,7,Low
8270,Basic,0,18,High
59366,Free,499,18,High
49742,Basic,999,16,Low
52630,Basic,999,8,High
56854,Basic,999,5,Low
25276,Free,499,35,Low
20611,Free,0,9,Low
16954,Free,499,8,High
45957,Free,0,18,Low
57860,Premium,999,21,Low
49550,Basic,499,18,High
58234,Free,0,7,Low
38629,Free,499,7,High
660,Basic,0,21,Low
26313,Basic,0,26,Low
42617,Basic,499,33,Low
52888,Premium,0,33,High
3903,Basic,0,32,Low
15456,Free,999,19,Low
43884,Free,999,33,Low
18272,Premium,0,7,High
17296,Free,0,3,High
13990,Basic,0,7,Low
48844,Premium,0,28,Low
26110,Premium,999,24,High
56225,Free,999,4,Low
44820,Basic,499,1,High
38994,Free,499,12,High
11884,Premium,499,35,Low
39898,Free,999,10,High
14743,Basic,499,7,Low
33138,Premium,0,27,Low
27895,Basic,499,12,High
37511,Premium,0,11,Low
28126,Basic,499,5,High
23535,Basic,499,23,Low
32814,Free,499,8,High
1991,Basic,0,11,High
44587,Basic,499,6,Low
25388,Free,999,6,High
42416,Premium,499,28,Low
37652,Premium,499,29,Low
25697,Basic,499,33,High
32487,Free,0,8,Low
13665,Basic,0,14,Low
34492,Premium,499,30,High
18089,Premium,0,16,Low
36263,Basic,0,33,Low
29908,Premium,999,23,Low
40087,Free,999,4,High
41146,Basic,499,20,Low
43997,Basic,0,15,Low
24848,Premium,499,13,Low
13447,Free,0,9,High
39461,Premium,499,33,High
20879,Basic,499,32,High
54687,Basic,0,14,High
31796,Free,999,3,High
22776,Free,0,9,Low
25273,Premium,0,32,Low
25973,Premium,499,3,Low
31930,Free,999,10,Low
42227,Premium,999,4,High
57564,Premium,999,14,Low
14221,Free,0,14,High
31297,Basic,999,1,Low
54487,Free,0,13,High
6899,Premium,999,15,High
6394,Basic,999,4,High
26152,Premium,0,25,Low
6433,Premium,999,8,High
44995,Free,499,17,Low
27364,Premium,0,1,High
14502,Premium,499,10,High
55148,Premium,999,27,High
8272,Free,999,6,Low
9927,Basic,999,2,High
40653,Premium,0,24,High
50441,Basic,999,20,High
51960,Basic,0,32,High
38159,Free,999,4,Low
17898,Free,999,12,Low
41946,Basic,999,30,Low
36495,Basic,0,5,Low
59154,Basic,999,15,High
34213,Premium,999,29,High
52193,Premium,0,32,Low
26212,Free,0,5,High
2138,Basic,999,9,High
39983,Basic,999,7,Low
36813,Basic,499,24,Low
7038,Premium,999,16,Low
24446,Premium,499,28,High
18154,Premium,499,30,Low
56637,Free,999,34,High
22479,Premium,0,1,Low
54164,Basic,999,9,High
16731,Free,499,22,High
56082,Free,499,28,Low
26684,Premium,999,12,Low
28957,Premium,999,15,High
27128,Basic,499,27,High
15572,Free,999,31,High
14678,Basic,999,12,High
22430,Premium,999,19,High
17097,Premium,999,5,High
21167,Premium,0,16,Low
30185,Free,999,4,Low
19177,Free,499,22,High
7881,Basic,0,23,High
39032,Premium,499,8,Low
29732,Free,499,20,Low
36369,Premium,499,23,High
42830,Premium,499,5,High
13885,Premium,499,13,Low
35800,Premium,0,11,High
49514,Basic,499,16,High
28817,Premium,499,6,High
53288,Free,499,25,Low
8652,Free,0,5,Low
41541,Premium,999,26,Low
21990,Premium,499,33,High
42323,Free,0,24,High
28855,Premium,499,18,Low
2880,Premium,999,24,High
17183,Free,0,17,Low
4632,Premium,499,3,High
18193,Basic,999,23,High
6878,Basic,499,24,Low
14814,Free,0,23,High
44493,Premium,499,15,Low
19432,Basic,499,2,Low
27589,Premium,0,31,Low
23098,Premium,0,21,Low
31219,Premium,0,12,Low
55460,Premium,499,15,Low
25123,Free,499,29,Low
9533,Basic,499,22,Low
37451,Premium,999,32,Low
8704,Free,499,19,Low
24634,Free,0,21,High
21783,Basic,499,2,Low
5856,Basic,0,27,Low
5465,Basic,999,15,Low
31837,Premium,499,12,Low
54440,Basic,999,11,Low
59198,Free,0,3,Low
52212,Premium,0,33,High
4229,Free,499,24,Low
29472,Free,499,33,Low
45036,Premium,0,8,Low
46687,Free,0,21,Low
42288,Premium,499,4,Low
31939,Premium,999,23,High
39147,Basic,499,18,Low
42817,Basic,499,3,High
32174,Premium,0,26,High
55766,Free,499,8,Low
25624,Premium,0,15,High
13998,Free,0,1,High
45712,Premium,0,29,Low
1097,Free,0,25,High
47526,Premium,0,1,High
24678,Premium,0,15,High
33681,Free,999,34,Low
14823,Basic,0,35,High
22521,Free,499,4,Low
8837,Basic,499,22,Low
37172,Free,999,25,High
53923,Premium,999,2,Low
2531,Free,499,1,High
26660,Basic,0,27,High
58026,Free,999,12,High
33770,Premium,999,13,High
14804,Free,0,27,Low
46264,Premium,0,3,Low
8331,Premium,0,18,Low
12137,Premium,0,13,High
30414,Premium,499,25,Low
27519,Free,0,11,Low
14727,Basic,0,6,Low
8564,Free,499,3,High
41353,Basic,499,1,Low
14588,Basic,999,30,Low
22341,Premium,499,21,Low
52011,Free,0,32,High
12747,Basic,999,29,High
6761,Free,999,27,Low
49029,Basic,999,25,Low
41351,Basic,499,15,High
2384,Premium,0,28,High
22114,Basic,0,6,Low
27954,Premium,999,20,Low
7899,Free,999,9,Low
2945,Basic,999,27,High
530,Free,999,20,High
25076,Premium,0,22,Low
44726,Basic,0,27,High
50384,Premium,999,27,High
39359,Free,499,7,Low
15259,Free,999,24,Low
28513,Basic,999,12,High
48118,Premium,499,24,High
50994,Premium,499,1,High
5585,Basic,999,3,High
41236,Premium,499,8,Low
28004,Premium,499,4,Low
3676,Premium,0,23,Low
49562,Premium,499,13,Low
742,Free,999,28,Low
306,Basic,999,27,Low
42002,Free,999,5,Low
5802,Premium,499,19,Low
20195,Basic,999,25,Low
21507,Free,0,23,High
17909,Basic,499,6,High
38624,Free,999,2,High
28510,Basic,999,8,High
12774,Free,499,29,High
32542,Free,999,18,Low
4369,Premium,999,12,Low
48406,Free,499,15,Low
574,Basic,0,35,Low
24933,Free,999,13,High
45564,Basic,999,23,High
41438,Free,499,20,Low
47582,Premium,999,35,Low
20754,Premium,499,26,Low
28138,Premium,999,17,High
29370,Premium,0,3,Low
50217,Basic,999,26,Low
51542,Basic,499,35,High
1014,Free,499,11,High
51470,Basic,0,16,Low
48674,Free,999,32,Low
18959,Free,499,16,Low
36494,Free,499,23,High
14090,Premium,0,30,Low
31490,Basic,499,29,High
18963,Free,999,15,Low
1462,Basic,499,19,Low
4152,Basic,499,15,High
43250,Premium,0,34,Low
48160,Free,999,26,Low
32138,Premium,499,4,Low
26595,Basic,499,21,Low
45778,Premium,0,35,High
28391,Basic,0,16,Low
6415,Basic,0,2,Low
22862,Free,999,20,Low
59640,Basic,999,3,High
38589,Basic,0,8,Low
21634,Premium,499,19,High
7695,Basic,999,13,High
55045,Free,0,28,High
22292,Premium,499,4,Low
50459,Free,499,21,High
18503,Premium,0,13,High
11713,Basic,0,25,Low
3336,Premium,999,12,Low
6179,Free,999,5,Low
11031,Free,499,8,Low
7251,Free,999,21,Low
21439,Basic,999,29,Low
59303,Basic,999,1,High
39407,Premium,999,34,High
48687,Basic,0,26,High
51037,Basic,999,1,Low
24444,Basic,999,10,Low
59156,Free,499,13,High
23295,Free,999,7,High
12913,Premium,499,3,Low
15358,Premium,0,25,Low
42566,Premium,999,15,Low
34583,Free,499,5,Low
26950,Premium,0,17,Low
11687,Basic,999,4,Low
43726,Free,999,31,Low
22333,Premium,0,26,Low
44358,Premium,999,30,High
53205,Premium,999,33,Low
14909,Free,999,15,Low
48270,Basic,0,16,High
7533,Premium,499,28,Low
54198,Basic,999,3,High
1455,Free,0,17,High
8538,Basic,999,6,High
48963,Free,499,10,Low
54872,Free,0,9,High
40055,Premium,999,3,Low
31852,Basic,0,11,Low
8603,Free,0,17,Low
10239,Premium,499,1,High
19988,Basic,499,23,Low
22442,Premium,0,23,Low
31915,Basic,999,22,Low
27277,Basic,999,26,Low
38286,Premium,0,9,Low
57931,Free,0,3,High
51713,Premium,0,20,Low
54020,Premium,499,16,Low
58212,Free,0,24,Low
25630,Basic,499,8,Low
57312,Basic,999,1,High
1537,Basic,499,7,Low
45030,Premium,999,12,High
1862,Free,0,4,High
13504,Basic,499,35,Low
22602,Free,0,24,Low
32095,Basic,499,18,Low
