station_id,pm2_5,pm10,aqi_category,recorded_date
365,68,161,Moderate,2018-03-16 18:07:32
264,63,167,Moderate,2023-10-07 20:16:53
753,105,126,Poor,2019-04-24 08:38:38
7,189,218,Poor,2018-08-01 09:00:53
26,28,60,Good,2019-05-16 22:08:42
170,196,297,Poor,2018-07-03 00:20:33
380,256,309,Very Poor,2022-03-19 22:28:52
269,335,376,Severe,2018-09-05 22:05:51
695,256,274,Very Poor,2018-06-19 13:21:28
342,131,217,Poor,2024-11-14 04:52:12
393,58,111,Moderate,2019-10-17 11:19:59
94,213,309,Very Poor,2018-10-27 14:33:30
79,309,416,Severe,2024-10-14 18:18:45
105,192,311,Poor,2018-01-31 03:39:18
29,38,48,Good,2019-06-21 06:18:43
289,170,199,Poor,2023-07-27 19:05:14
646,206,319,Very Poor,2023-10-29 20:53:10
567,262,341,Very Poor,2018-08-25 23:19:17
454,109,123,Poor,2020-02-03 21:33:08
269,24,58,Good,2022-12-18 20:30:55
641,293,362,Very Poor,2024-12-16 13:08:18
419,302,335,Severe,2020-11-29 06:59:23
730,183,288,Poor,2021-06-29 20:43:06
434,153,209,Poor,2023-09-30 00:16:49
245,108,134,Poor,2024-11-11 18:37:19
182,121,135,Poor,2024-05-23 04:28:32
249,61,140,Moderate,2022-03-22 07:22:33
23,184,233,Poor,2019-02-22 22:09:27
358,44,58,Good,2022-01-06 16:52:57
699,294,325,Very Poor,2018-08-05 22:28:01
648,168,179,Poor,2024-02-03 04:58:50
418,225,249,Very Poor,2024-12-12 23:25:03
543,205,213,Very Poor,2022-09-14 23:57:30
259,317,330,Severe,2021-07-20 11:55:15
390,318,404,Severe,2021-10-23 14:06:44
192,348,420,Severe,2018-08-20 12:25:05
216,142,218,Poor,2020-08-25 23:21:06
757,277,300,Very Poor,2021-04-06 20:06:55
432,297,321,Very Poor,2019-03-23 11:12:49
141,79,183,Moderate,2022-06-22 22:58:06
280,39,104,Good,2021-08-22 18:22:00
131,39,79,Good,2020-12-04 09:39:04
700,141,197,Poor,2018-04-29 00:43:50
164,314,382,Severe,2023-07-02 22:41:42
286,17,58,Good,2018-04-09 22:07:40
293,113,168,Poor,2022-05-28 13:49:24
430,317,403,Severe,2019-08-27 12:51:24
72,29,61,Good,2021-06-03 15:30:46
320,68,152,Moderate,2024-05-31 09:36:18
409,41,130,Good,2019-06-29 09:56:46
90,259,310,Very Poor,2022-03-29 01:29:46
600,125,172,Poor,2020-08-15 16:41:53
611,223,323,Very Poor,2020-10-07 20:32:11
726,235,254,Very Poor,2022-01-01 12:20:07
352,205,267,Very Poor,2023-04-14 22:20:19
444,288,401,Very Poor,2024-04-07 11:06:24
506,51,100,Moderate,2021-11-05 08:27:26
44,252,364,Very Poor,2019-05-03 05:55:34
690,79,107,Moderate,2020-11-19 11:03:16
734,322,362,Severe,2019-05-17 08:22:40
661,161,270,Poor,2022-05-13 05:47:16
185,154,255,Poor,2019-11-25 03:54:13
440,341,432,Severe,2019-01-24 07:36:40
337,198,250,Poor,2019-09-25 21:55:38
172,96,171,Moderate,2018-01-13 09:26:20
453,244,296,Very Poor,2018-01-07 09:49:54
51,106,141,Poor,2019-10-23 01:06:20
41,211,304,Very Poor,2024-11-10 20:18:39
786,99,173,Moderate,2020-08-17 07:24:46
798,132,247,Poor,2020-06-26 01:49:50
698,33,55,Good,2023-12-20 07:09:57
68,64,118,Moderate,2018-01-15 09:38:43
558,125,195,Poor,2024-04-11 04:26:38
225,81,86,Moderate,2018-05-11 18:24:22
428,79,128,Moderate,2023-02-27 16:03:34
437,194,301,Poor,2018-02-23 09:26:51
325,289,386,Very Poor,2023-09-14 05:51:24
52,69,99,Moderate,2018-10-16 07:29:12
358,19,127,Good,2020-12-14 00:34:59
693,346,393,Severe,2022-09-26 19:48:36
378,301,344,Severe,2021-01-30 14:07:43
424,249,353,Very Poor,2018-04-10 13:19:28
659,320,398,Severe,2024-11-18 18:40:27
766,236,276,Very Poor,2024-02-02 18:36:05
615,45,86,Good,2024-07-18 23:35:46
51,229,327,Very Poor,2018-09-26 05:58:08
359,127,244,Poor,2018-10-15 15:41:02
109,90,150,Moderate,2021-06-16 15:48:22
249,75,162,Moderate,2021-05-30 09:12:34
145,103,142,Poor,2019-02-16 07:39:52
550,279,383,Very Poor,2018-02-05 16:11:51
594,246,279,Very Poor,2023-10-21 16:52:53
97,93,184,Moderate,2019-09-03 06:35:09
479,149,176,Poor,2022-12-09 09:27:33
417,34,134,Good,2021-07-09 04:26:48
55,323,353,Severe,2023-03-24 08:43:17
585,42,77,Good,2021-11-03 11:18:06
304,228,296,Very Poor,2022-01-29 12:04:23
644,129,183,Poor,2019-02-18 11:12:00
476,346,431,Severe,2019-04-09 23:38:56
128,271,368,Very Poor,2021-01-28 18:08:26
614,265,367,Very Poor,2022-05-06 00:03:05
542,326,371,Severe,2019-07-25 09:30:33
62,103,125,Poor,2024-09-01 04:50:28
684,10,111,Good,2024-08-18 08:51:41
41,132,212,Poor,2024-07-01 21:48:44
124,71,157,Moderate,2020-07-21 04:34:36
260,218,258,Very Poor,2022-12-27 16:39:43
648,251,333,Very Poor,2023-10-10 13:03:21
324,285,369,Very Poor,2018-02-20 08:08:54
148,117,142,Poor,2024-11-11 23:56:45
694,293,411,Very Poor,2022-11-24 12:34:22
743,96,146,Moderate,2020-05-18 06:07:39
683,203,318,Very Poor,2018-04-20 15:39:17
552,225,336,Very Poor,2022-09-15 21:07:51
290,77,145,Moderate,2019-10-04 19:01:36
649,240,273,Very Poor,2018-11-28 01:16:24
618,165,174,Poor,2018-10-26 23:22:16
94,299,365,Very Poor,2024-05-18 10:04:42
629,274,296,Very Poor,2018-09-09 05:00:44
515,36,123,Good,2019-08-15 12:34:11
728,311,384,Severe,2023-07-11 16:28:08
197,289,407,Very Poor,2018-02-20 03:40:40
784,46,68,Good,2021-02-23 22:09:36
195,33,148,Good,2020-03-14 22:11:20
136,127,153,Poor,2021-12-26 20:03:28
606,99,141,Moderate,2021-11-02 04:20:52
135,204,272,Very Poor,2023-10-31 02:37:03
171,170,202,Poor,2021-12-01 18:57:20
173,349,372,Severe,2020-03-28 19:57:47
170,53,155,Moderate,2021-06-18 05:12:07
79,46,53,Good,2021-01-23 21:33:35
615,176,268,Poor,2019-09-05 03:54:42
308,286,314,Very Poor,2023-08-17 19:17:24
73,85,151,Moderate,2018-07-27 03:56:19
743,217,292,Very Poor,2024-08-08 13:08:59
58,247,339,Very Poor,2022-03-08 14:10:54
217,251,289,Very Poor,2021-02-25 21:49:57
608,220,337,Very Poor,2021-09-13 02:54:52
634,155,199,Poor,2021-03-04 12:49:21
796,153,236,Poor,2024-10-09 05:59:20
609,193,204,Poor,2019-02-27 10:05:59
15,148,215,Poor,2020-11-23 22:15:45
495,90,110,Moderate,2021-11-23 22:34:18
150,24,129,Good,2019-11-11 00:55:07
205,245,275,Very Poor,2018-06-28 01:59:55
512,211,289,Very Poor,2018-12-30 16:25:23
137,343,381,Severe,2021-10-07 13:42:45
670,81,91,Moderate,2019-11-11 19:20:47
214,119,209,Poor,2021-10-29 17:06:32
393,118,199,Poor,2024-11-18 07:01:44
476,311,325,Severe,2023-03-18 12:45:00
392,243,321,Very Poor,2018-06-12 06:17:57
190,152,183,Poor,2023-10-27 14:29:34
333,62,78,Moderate,2020-02-01 23:20:01
346,262,314,Very Poor,2023-12-21 19:18:41
728,343,433,Severe,2023-08-03 05:53:23
165,57,85,Moderate,2022-10-05 21:55:15
23,298,391,Very Poor,2018-01-23 08:47:17
169,266,379,Very Poor,2018-05-06 21:24:43
130,247,339,Very Poor,2024-02-08 13:25:15
564,244,319,Very Poor,2021-05-09 05:17:26
655,253,268,Very Poor,2021-02-15 23:04:54
412,94,170,Moderate,2022-06-06 13:35:41
448,50,132,Good,2023-04-28 11:32:27
290,97,146,Moderate,2018-03-03 19:04:10
526,208,321,Very Poor,2024-07-03 06:37:46
540,58,137,Moderate,2019-02-07 07:51:06
588,17,67,Good,2021-08-18 07:48:33
149,147,160,Poor,2019-04-03 12:13:45
606,271,302,Very Poor,2020-10-16 05:27:51
227,136,156,Poor,2022-05-22 04:48:30
633,261,339,Very Poor,2018-10-08 03:34:09
731,125,149,Poor,2022-05-07 15:05:16
758,81,170,Moderate,2024-07-26 15:16:04
350,292,409,Very Poor,2019-01-14 13:54:35
111,223,265,Very Poor,2024-05-12 06:10:37
37,226,288,Very Poor,2022-07-20 03:15:17
777,40,47,Good,2020-01-09 10:18:20
754,145,258,Poor,2019-04-25 06:44:35
637,103,140,Poor,2021-07-08 15:02:24
722,88,190,Moderate,2020-09-09 22:04:24
340,143,167,Poor,2022-10-11 17:28:41
406,48,105,Good,2021-02-13 13:28:06
693,52,140,Moderate,2020-02-22 23:14:29
94,278,397,Very Poor,2022-10-15 14:57:02
183,72,163,Moderate,2024-01-28 18:52:44
771,332,362,Severe,2018-03-05 20:24:43
777,222,314,Very Poor,2020-07-13 10:15:05
446,301,358,Severe,2023-05-18 13:39:42
15,151,220,Poor,2023-07-16 03:55:17
245,246,303,Very Poor,2019-06-13 01:08:56
703,257,278,Very Poor,2024-08-29 08:51:45
626,96,153,Moderate,2018-09-16 18:11:33
210,35,88,Good,2020-06-12 18:31:54
344,270,314,Very Poor,2022-06-18 10:51:13
452,192,235,Poor,2019-07-31 09:15:38
799,16,98,Good,2019-11-22 14:56:35
244,329,368,Severe,2020-12-12 21:58:13
57,263,307,Very Poor,2021-03-16 22:37:48
207,170,179,Poor,2024-11-30 23:22:38
462,248,351,Very Poor,2021-11-19 13:32:57
137,75,123,Moderate,2020-08-15 00:10:23
438,157,197,Poor,2023-10-27 16:41:34
671,39,98,Good,2023-11-27 23:47:12
116,162,264,Poor,2022-02-11 23:57:03
185,94,192,Moderate,2022-04-20 08:04:56
228,70,123,Moderate,2019-09-06 06:52:28
410,37,134,Good,2019-04-01 01:24:44
622,302,318,Severe,2024-10-04 14:20:41
264,222,239,Very Poor,2018-10-03 11:20:09
50,233,242,Very Poor,2024-06-30 05:12:17
167,159,220,Poor,2023-03-17 08:53:30
492,64,135,Moderate,2022-06-06 15:25:10
70,277,307,Very Poor,2022-08-19 06:49:12
16,108,222,Poor,2020-03-27 21:04:06
621,131,161,Poor,2019-02-17 11:00:09
144,266,280,Very Poor,2023-04-22 04:45:59
592,23,140,Good,2024-03-08 21:14:05
49,64,110,Moderate,2022-03-28 00:38:19
132,318,352,Severe,2020-10-10 10:31:47
463,97,128,Moderate,2022-08-29 22:56:46
185,308,377,Severe,2021-12-21 04:00:26
437,24,124,Good,2021-07-25 04:16:27
239,44,119,Good,2024-07-16 06:35:38
640,47,85,Good,2020-03-01 15:33:19
326,195,265,Poor,2020-12-05 00:10:27
340,57,105,Moderate,2021-08-22 14:34:06
7,29,131,Good,2020-08-05 13:26:20
305,134,144,Poor,2023-01-19 06:48:29
41,108,217,Poor,2018-08-04 09:32:26
483,177,224,Poor,2024-01-31 19:58:23
413,293,326,Very Poor,2018-05-11 09:20:24
69,314,421,Severe,2019-11-15 20:29:24
536,74,130,Moderate,2023-04-08 11:15:18
723,117,149,Poor,2024-06-16 05:50:38
63,142,234,Poor,2023-12-02 06:59:28
432,158,186,Poor,2018-05-06 08:15:46
611,334,346,Severe,2024-02-19 20:03:23
3,275,308,Very Poor,2023-08-12 16:37:57
11,162,222,Poor,2024-09-20 09:25:43
655,153,264,Poor,2019-05-21 09:39:17
349,207,236,Very Poor,2019-06-04 04:20:14
504,290,307,Very Poor,2024-02-02 16:44:49
61,118,140,Poor,2020-11-10 03:14:30
395,321,387,Severe,2022-12-02 23:56:50
434,67,146,Moderate,2022-05-07 03:54:55
346,281,291,Very Poor,2021-07-25 04:00:44
156,192,306,Poor,2022-10-31 20:28:33
572,52,107,Moderate,2022-11-30 02:34:03
374,47,54,Good,2021-09-09 10:59:55
152,309,378,Severe,2020-01-05 19:12:35
687,15,128,Good,2018-04-18 16:36:54
672,337,443,Severe,2021-12-27 02:19:20
8,280,342,Very Poor,2021-12-02 23:27:56
436,163,188,Poor,2024-10-05 16:55:43
231,67,147,Moderate,2018-12-09 20:29:44
301,150,219,Poor,2022-04-12 04:44:01
361,187,206,Poor,2021-02-10 05:48:58
614,238,327,Very Poor,2024-06-15 21:02:47
5,69,154,Moderate,2019-12-12 04:46:16
147,61,153,Moderate,2022-01-01 11:31:10
347,343,423,Severe,2023-02-15 05:37:30
201,139,244,Poor,2022-12-05 11:33:30
460,75,101,Moderate,2021-01-31 22:09:25
434,86,149,Moderate,2024-06-09 21:11:59
306,74,119,Moderate,2023-07-28 06:01:58
751,84,191,Moderate,2020-07-23 02:08:09
130,347,422,Severe,2021-09-09 09:45:03
791,290,365,Very Poor,2019-04-30 17:28:26
385,111,163,Poor,2019-04-16 07:42:56
83,132,244,Poor,2023-11-20 20:01:43
799,327,379,Severe,2021-01-10 09:12:58
3,160,166,Poor,2018-12-21 10:15:34
637,91,141,Moderate,2018-10-26 20:57:21
728,282,383,Very Poor,2023-03-06 12:44:09
476,65,127,Moderate,2021-02-02 18:24:38
558,105,201,Poor,2021-05-30 05:04:54
355,316,414,Severe,2022-07-19 11:01:30
607,297,407,Very Poor,2024-02-09 03:48:19
238,138,183,Poor,2024-12-20 00:18:37
542,242,313,Very Poor,2021-06-04 00:56:17
317,335,451,Severe,2024-10-27 02:29:44
668,207,289,Very Poor,2020-10-07 05:04:49
146,190,292,Poor,2019-04-23 23:34:07
561,77,106,Moderate,2022-02-28 20:38:51
701,297,302,Very Poor,2022-04-17 01:29:59
639,296,309,Very Poor,2019-06-03 00:59:54
639,175,191,Poor,2024-12-30 14:27:50
689,343,443,Severe,2021-05-30 00:57:56
243,218,233,Very Poor,2021-03-12 10:22:56
85,174,211,Poor,2020-07-01 18:14:45
356,341,388,Severe,2019-07-07 15:10:47
85,186,191,Poor,2019-03-11 11:21:16
519,87,192,Moderate,2019-09-20 03:59:08
624,44,56,Good,2024-05-15 09:17:25
582,329,382,Severe,2022-06-10 22:50:06
656,199,220,Poor,2023-09-12 12:07:13
585,268,316,Very Poor,2020-11-04 18:20:30
294,38,116,Good,2018-06-06 21:05:36
771,60,151,Moderate,2022-10-05 21:39:39
342,157,194,Poor,2021-10-24 01:52:07
555,311,379,Severe,2021-06-26 08:53:59
471,88,192,Moderate,2024-11-08 15:55:28
23,190,291,Poor,2024-04-28 23:13:10
424,187,270,Poor,2020-06-26 05:55:41
408,249,312,Very Poor,2021-07-23 12:39:24
353,90,109,Moderate,2022-07-20 18:43:00
310,151,170,Poor,2019-07-15 00:43:09
352,197,245,Poor,2018-10-04 22:51:31
405,49,153,Good,2023-04-25 05:54:15
726,51,108,Moderate,2019-06-09 03:10:46
534,324,333,Severe,2022-04-30 01:36:01
563,65,172,Moderate,2018-01-27 19:07:45
200,56,70,Moderate,2021-05-16 15:08:11
255,346,429,Severe,2021-09-18 22:04:31
703,209,306,Very Poor,2024-04-23 20:04:30
247,165,200,Poor,2024-02-09 12:27:59
469,304,419,Severe,2023-10-03 14:54:10
209,308,409,Severe,2021-08-09 06:06:13
630,323,367,Severe,2021-01-01 18:04:07
701,244,349,Very Poor,2020-10-07 20:28:03
794,99,193,Moderate,2023-11-28 01:59:21
42,131,154,Poor,2024-03-28 08:24:10
793,182,244,Poor,2023-11-02 06:33:41
462,140,250,Poor,2018-04-29 11:37:15
570,177,199,Poor,2020-05-23 00:49:41
508,117,200,Poor,2023-03-29 22:55:48
527,105,168,Poor,2018-03-24 02:02:34
210,22,70,Good,2021-12-27 06:23:28
404,316,352,Severe,2021-04-19 17:52:57
738,272,385,Very Poor,2022-11-22 12:32:15
782,342,426,Severe,2024-06-13 10:28:50
22,148,200,Poor,2022-08-06 09:23:01
240,118,130,Poor,2020-02-27 02:38:09
98,249,343,Very Poor,2024-10-29 00:57:34
776,88,200,Moderate,2021-08-25 02:36:10
85,54,135,Moderate,2023-05-27 07:06:42
394,264,312,Very Poor,2018-09-02 13:32:24
615,144,209,Poor,2023-09-14 00:41:32
338,78,113,Moderate,2023-09-24 08:33:10
82,285,387,Very Poor,2022-08-28 06:08:24
78,15,129,Good,2018-05-06 15:09:26
289,38,55,Good,2023-02-03 12:08:32
778,329,389,Severe,2020-03-02 07:21:07
745,26,112,Good,2020-12-22 18:42:18
666,318,343,Severe,2019-08-12 22:18:34
348,57,170,Moderate,2024-04-29 21:35:50
560,197,291,Poor,2020-04-30 07:36:56
399,207,231,Very Poor,2018-06-01 19:27:44
712,54,166,Moderate,2024-03-31 19:12:07
399,264,380,Very Poor,2023-08-18 15:28:29
682,61,69,Moderate,2020-05-24 07:38:13
365,176,249,Poor,2023-04-19 19:05:57
525,205,283,Very Poor,2023-07-20 16:22:41
178,193,300,Poor,2022-12-27 02:09:47
637,118,151,Poor,2022-10-23 03:53:58
542,70,163,Moderate,2019-03-18 04:43:31
594,233,338,Very Poor,2023-10-17 01:57:29
124,227,295,Very Poor,2018-04-21 05:53:50
705,152,191,Poor,2019-03-02 10:17:14
406,346,450,Severe,2020-03-27 07:49:07
605,70,123,Moderate,2024-02-10 14:29:44
67,33,133,Good,2021-09-17 06:51:38
522,186,194,Poor,2020-11-25 07:24:29
185,187,262,Poor,2019-12-22 15:54:26
695,141,174,Poor,2024-04-07 00:15:43
373,170,194,Poor,2018-12-06 12:17:07
434,129,222,Poor,2022-12-26 10:03:24
279,129,215,Poor,2023-03-27 23:04:31
116,270,313,Very Poor,2021-05-31 22:27:38
547,144,151,Poor,2019-05-08 03:54:04
707,11,90,Good,2018-01-19 07:11:48
283,346,457,Severe,2024-09-27 15:53:49
447,229,285,Very Poor,2020-07-01 06:05:09
118,161,257,Poor,2019-03-09 23:36:17
197,56,137,Moderate,2019-12-03 17:34:07
230,238,248,Very Poor,2020-11-02 05:41:52
188,263,332,Very Poor,2018-11-21 02:13:11
651,126,170,Poor,2019-05-19 13:21:06
223,205,248,Very Poor,2020-11-12 09:10:18
789,31,112,Good,2021-11-15 09:38:02
41,76,181,Moderate,2023-10-10 18:14:33
532,266,356,Very Poor,2018-03-22 07:26:25
424,123,167,Poor,2019-09-03 09:52:29
142,310,408,Severe,2019-11-27 09:30:15
724,270,348,Very Poor,2020-05-18 23:39:58
577,202,309,Very Poor,2022-06-02 16:00:34
685,196,235,Poor,2019-06-15 16:58:40
452,296,365,Very Poor,2018-03-31 23:44:31
668,263,300,Very Poor,2018-07-31 13:52:10
583,341,433,Severe,2019-02-18 03:57:11
767,79,114,Moderate,2024-03-14 18:36:32
31,270,350,Very Poor,2019-12-08 10:29:12
491,229,306,Very Poor,2021-05-07 18:58:28
643,335,351,Severe,2021-07-03 07:59:08
766,318,347,Severe,2022-04-06 05:59:45
777,21,30,Good,2022-02-08 01:22:25
730,327,422,Severe,2023-07-04 07:40:40
232,294,348,Very Poor,2020-04-02 21:20:56
92,33,147,Good,2019-06-05 10:24:52
215,207,303,Very Poor,2023-02-26 15:29:20
705,70,129,Moderate,2020-05-22 06:14:05
705,115,171,Poor,2021-03-30 02:25:42
467,147,200,Poor,2023-05-26 16:01:27
309,301,328,Severe,2021-10-14 03:00:26
570,194,207,Poor,2020-03-13 00:37:48
550,334,377,Severe,2022-01-10 23:32:25
646,216,330,Very Poor,2019-11-17 06:45:23
525,340,397,Severe,2021-08-04 05:08:32
463,197,210,Poor,2024-05-27 01:28:42
500,177,262,Poor,2021-09-22 18:29:52
96,14,74,Good,2020-06-12 07:19:23
714,26,119,Good,2019-01-14 12:48:38
509,183,266,Poor,2020-07-16 19:22:28
223,145,229,Poor,2021-11-27 05:31:20
4,95,181,Moderate,2020-02-28 01:13:51
110,338,391,Severe,2018-12-10 12:36:53
213,66,181,Moderate,2022-06-02 16:28:21
345,142,151,Poor,2024-09-09 15:45:25
538,77,190,Moderate,2018-06-22 18:31:47
463,107,184,Poor,2022-11-19 03:23:59
443,257,263,Very Poor,2019-06-19 04:44:37
22,11,108,Good,2018-07-08 21:38:44
770,68,100,Moderate,2018-07-15 06:32:52
566,314,343,Severe,2020-05-08 23:38:52
687,98,138,Moderate,2024-03-16 07:55:12
734,129,232,Poor,2020-11-04 15:03:57
58,207,316,Very Poor,2021-07-04 20:18:22
59,338,454,Severe,2019-04-06 23:47:27
443,146,152,Poor,2020-03-24 06:06:46
225,289,299,Very Poor,2019-07-03 01:54:42
34,129,172,Poor,2023-05-14 14:12:42
706,99,206,Moderate,2023-03-06 00:03:22
237,257,374,Very Poor,2019-11-18 00:36:49
568,72,86,Moderate,2019-06-11 15:11:54
167,313,427,Severe,2019-03-07 09:06:51
229,188,303,Poor,2018-09-07 05:51:04
6,301,358,Severe,2023-08-10 15:57:37
284,34,125,Good,2020-12-04 21:23:50
304,158,210,Poor,2023-02-22 10:50:49
493,138,240,Poor,2023-06-04 21:07:01
344,152,188,Poor,2020-02-12 18:01:54
164,234,313,Very Poor,2018-12-15 22:20:30
350,74,143,Moderate,2023-10-06 18:17:30
119,114,173,Poor,2023-10-28 03:30:55
358,78,147,Moderate,2020-04-11 12:58:50
166,349,429,Severe,2023-10-25 05:32:09
77,49,76,Good,2019-06-27 06:35:12
342,236,279,Very Poor,2018-09-05 18:07:35
81,62,178,Moderate,2024-03-01 17:47:02
749,234,295,Very Poor,2018-01-05 22:34:22
29,338,356,Severe,2023-12-18 02:09:17
435,52,140,Moderate,2023-10-13 15:00:32
700,12,53,Good,2024-02-29 01:37:05
551,344,421,Severe,2024-12-03 14:24:22
399,255,297,Very Poor,2024-08-30 23:41:36
202,336,443,Severe,2022-09-15 08:22:45
251,193,216,Poor,2024-05-27 22:52:18
256,276,385,Very Poor,2020-06-27 22:36:59
472,343,403,Severe,2018-12-28 18:46:32
203,277,322,Very Poor,2024-08-04 01:18:34
397,315,384,Severe,2018-06-29 15:36:39
581,174,270,Poor,2022-06-26 08:33:39
176,329,340,Severe,2018-08-12 22:15:57
62,226,315,Very Poor,2021-09-04 14:38:35
39,60,179,Moderate,2023-07-17 11:25:02
62,188,251,Poor,2019-05-05 01:40:48
