influencer_id,platform,followers,campaign_sales,roi,campaign_date
8952,Instagram,711848,3814,3856.94,2020-08-27 22:19:59
6067,YouTube,1253535,1077,565.03,2020-02-03 00:01:12
12147,Instagram,984475,8695,10112.17,2023-11-14 15:46:09
7655,YouTube,387088,7120,17341.25,2024-05-04 08:29:25
9296,TikTok,472040,9398,12310.58,2019-07-26 18:47:30
8334,YouTube,846865,5846,13224.27,2023-09-19 20:30:21
12869,YouTube,1153878,22043,23871.58,2018-10-03 19:56:26
12396,YouTube,1215105,21602,21165.22,2024-11-09 01:06:03
6971,Instagram,350039,6919,5185.49,2018-11-11 13:11:48
6883,YouTube,412297,3863,8994.25,2018-07-12 18:38:43
14996,YouTube,1819033,3268,3589.04,2021-07-29 20:19:22
14162,TikTok,1170626,19712,48618.47,2018-08-13 12:48:38
5349,YouTube,1999058,24110,48746.72,2022-06-17 21:21:55
10958,TikTok,1062078,1841,4274.85,2019-12-17 13:37:41
12027,TikTok,97840,1035,528.44,2020-03-13 21:29:17
2491,TikTok,1435598,15370,17570.62,2023-12-11 04:10:16
9434,TikTok,349173,3470,5615.42,2022-07-02 05:17:32
10692,TikTok,1229263,4845,7265.06,2018-01-29 07:02:48
5749,Instagram,1086923,7145,15915.86,2022-11-22 12:42:04
8798,Instagram,1913428,2484,2412.4,2023-06-28 08:33:40
14010,TikTok,1643449,6018,14910.58,2018-10-15 10:10:05
376,TikTok,437226,625,400.76,2023-04-26 22:56:05
2846,TikTok,1653199,27639,61479.93,2019-08-23 11:17:21
13469,TikTok,630764,12024,14329.56,2018-12-04 03:21:43
5758,YouTube,1427403,25848,47289.6,2018-05-15 19:57:13
2496,TikTok,753611,8327,8256.26,2024-11-14 01:21:54
12101,Instagram,160261,1181,1964.31,2019-05-20 17:30:21
6625,TikTok,1153157,2894,3213.0,2021-08-29 17:19:58
11389,Instagram,1844039,30434,58183.88,2019-06-03 20:57:05
10720,TikTok,1000533,14136,32973.13,2018-05-09 09:38:48
3842,Instagram,1614554,13858,9753.97,2021-03-26 05:22:29
11167,Instagram,111290,1848,1654.78,2023-12-08 07:26:13
1218,TikTok,966717,14901,16825.99,2022-12-06 11:20:50
14747,Instagram,1401227,2402,2692.7,2019-02-06 21:01:51
9065,TikTok,574948,9635,21233.8,2021-11-09 00:46:07
7739,Instagram,906073,7641,9036.71,2023-07-07 19:42:50
8544,YouTube,117044,1121,1489.09,2024-10-02 21:07:27
2847,TikTok,978192,16943,40388.07,2024-10-26 10:12:09
6911,YouTube,1452049,1384,761.28,2020-11-05 08:26:41
6606,Instagram,1591651,15537,21908.26,2019-02-19 06:00:48
13419,Instagram,1236523,5908,7376.18,2021-09-26 09:05:47
2460,YouTube,1247380,22771,49396.61,2021-05-25 03:51:46
9269,Instagram,630041,9837,10453.02,2018-03-19 10:14:59
6401,TikTok,1192714,3962,6366.28,2022-06-15 04:50:13
11624,Instagram,1372293,9651,21151.25,2020-10-05 06:35:15
501,Instagram,1355669,17705,36361.64,2021-07-10 10:46:42
13166,YouTube,954965,18316,34315.92,2019-12-06 19:59:12
9983,Instagram,1686103,3043,4430.09,2021-10-14 05:42:35
5332,TikTok,663990,7253,6784.35,2022-08-25 17:08:36
7816,TikTok,896547,5048,8698.68,2020-05-25 20:33:23
14417,TikTok,743224,7660,5775.36,2018-05-19 00:31:36
14911,Instagram,1668333,13003,24793.23,2021-02-21 19:13:09
3680,Instagram,1596984,11892,26157.4,2023-03-30 23:02:46
11701,Instagram,474824,1838,2238.1,2020-04-08 00:53:11
5332,TikTok,637386,2594,2897.93,2022-01-07 18:10:44
6604,TikTok,156207,2615,4803.24,2023-07-09 23:10:14
11613,TikTok,1882263,4236,7562.48,2018-08-20 21:36:43
2776,YouTube,937536,4660,7570.04,2022-04-23 04:23:02
4013,TikTok,785031,12626,11220.47,2024-05-19 22:53:40
11241,Instagram,1579821,14797,10526.69,2019-09-23 18:59:03
12917,YouTube,1465141,7990,16905.93,2023-03-21 22:55:20
2324,YouTube,918027,15679,12897.99,2019-10-31 09:37:37
12761,TikTok,1105462,6698,13503.27,2018-07-19 16:24:39
198,YouTube,1806109,13228,24424.35,2021-01-11 12:11:26
4936,TikTok,1056791,13368,32184.16,2023-05-23 06:39:06
2684,Instagram,1104148,1761,3869.0,2023-01-25 07:13:49
3886,TikTok,372210,5644,6204.39,2024-05-17 12:17:21
1453,YouTube,993052,11177,7485.5,2018-04-18 21:29:29
2117,YouTube,912928,5352,10719.59,2024-07-30 16:29:53
6889,Instagram,1583174,31582,44212.55,2023-04-08 23:08:28
8263,Instagram,1369586,23027,28799.38,2021-02-07 07:01:42
851,YouTube,715448,7623,16907.19,2020-02-29 15:07:06
1549,YouTube,1410792,2508,3159.5,2024-02-18 07:16:50
4842,TikTok,149480,178,151.62,2018-03-09 02:36:44
13843,TikTok,472978,5039,4193.76,2021-01-28 23:45:29
682,Instagram,830590,12330,9544.99,2021-11-13 08:58:27
2991,Instagram,1224903,17127,15149.61,2021-12-14 16:33:49
4183,TikTok,1562441,6700,6521.74,2018-09-24 19:19:14
6565,YouTube,1491604,11062,13039.98,2020-04-05 10:51:29
146,YouTube,411610,6965,9902.46,2020-08-18 15:59:47
3771,YouTube,350043,2345,2712.4,2018-10-04 15:38:01
7459,TikTok,512748,2893,5419.36,2021-07-13 09:13:46
511,Instagram,221847,3977,3764.74,2023-05-17 19:21:18
3131,YouTube,568453,9900,8600.62,2018-02-08 02:57:07
14401,TikTok,1152627,697,887.31,2018-09-12 13:57:48
13974,YouTube,1643307,2572,6154.05,2020-02-25 18:39:28
11811,Instagram,1249395,15231,23476.39,2024-07-16 18:58:49
2502,Instagram,544567,1271,978.86,2024-12-10 05:18:21
5909,Instagram,1449191,1942,2525.14,2019-12-23 14:54:13
3833,TikTok,249875,4214,10387.02,2021-02-19 02:39:27
1339,YouTube,1521327,19755,30332.73,2024-04-30 00:48:25
2072,YouTube,590013,1978,2746.85,2020-12-05 20:10:15
1669,Instagram,1888515,8524,11990.12,2023-07-02 05:53:58
12112,YouTube,1519918,11086,24841.54,2019-05-06 19:45:39
10248,Instagram,54023,303,466.87,2023-09-12 02:22:47
11447,TikTok,759974,12144,16730.02,2023-10-10 15:34:49
3351,Instagram,374508,3388,7306.83,2022-05-01 05:06:45
7368,TikTok,90553,1468,847.43,2024-12-16 14:58:56
11916,TikTok,1002851,19380,42845.82,2023-04-05 00:28:13
5648,YouTube,348300,5246,9662.15,2018-09-04 16:22:45
10379,TikTok,798874,1654,1052.89,2020-01-03 03:41:28
12210,TikTok,1671809,17367,34248.36,2023-03-31 10:33:59
11719,Instagram,1919293,14308,7232.02,2021-08-04 13:57:09
4516,YouTube,1458841,27058,51959.82,2020-04-07 02:12:55
4970,YouTube,264481,4142,7909.38,2024-07-18 11:07:14
4561,TikTok,597091,8212,17548.69,2019-03-22 09:35:36
5065,YouTube,901340,2705,2195.81,2020-02-11 18:51:34
7824,Instagram,1323524,20019,16378.44,2021-12-23 01:13:18
14858,Instagram,557997,8483,11486.91,2024-11-23 06:32:41
7413,YouTube,1640274,2761,2206.85,2021-07-25 20:52:42
5482,YouTube,1265250,24288,33970.3,2019-05-14 01:18:05
5074,YouTube,1203743,7516,15196.7,2020-02-14 02:45:38
10295,TikTok,1344457,7770,5280.54,2021-12-19 02:35:17
6968,TikTok,320541,2840,2725.28,2021-12-05 05:41:35
14980,Instagram,917358,7036,16655.81,2024-02-21 13:10:13
14486,TikTok,1431704,15871,21423.83,2018-08-23 00:33:03
2626,TikTok,379949,3384,2459.57,2019-07-24 20:59:07
9560,YouTube,1670057,12458,7927.54,2023-12-01 09:28:16
4908,YouTube,1840858,15021,32046.4,2020-06-25 01:41:07
10194,TikTok,1575675,7958,12879.38,2022-04-27 02:29:23
9328,YouTube,1237318,4745,3014.19,2022-04-27 21:50:42
321,YouTube,266167,2198,2608.95,2022-06-10 06:05:44
9821,TikTok,1040500,2480,3983.68,2023-06-25 22:04:28
14177,YouTube,925031,10846,25257.45,2021-10-22 11:57:20
7734,Instagram,1433537,21312,50565.76,2020-05-08 19:00:02
12048,Instagram,100757,997,1076.3,2020-01-08 15:46:11
6963,Instagram,1248994,6291,8217.71,2018-12-25 12:54:02
8689,Instagram,422839,1711,3013.34,2024-05-24 09:08:21
3277,TikTok,1051141,19544,17143.67,2019-03-14 17:32:48
12922,TikTok,441255,8535,10368.99,2018-10-11 22:51:06
13231,TikTok,339732,1755,2787.26,2023-02-10 15:08:12
14552,YouTube,385182,6848,13394.15,2020-10-25 13:22:55
12405,YouTube,511604,1948,4869.96,2018-02-15 12:33:50
4305,Instagram,1785460,19555,42761.34,2020-10-15 16:57:42
13647,TikTok,1452147,17588,43628.99,2024-08-26 17:33:20
9489,Instagram,838023,8535,14383.01,2020-02-14 07:09:15
1339,Instagram,606056,4187,6516.07,2023-10-16 08:37:47
14153,TikTok,987853,12633,10967.63,2023-08-07 12:14:29
12034,TikTok,49074,413,405.48,2020-07-02 15:51:54
6282,YouTube,675488,6365,5561.09,2022-10-31 16:52:01
14985,TikTok,1412634,28111,16191.27,2021-11-06 02:23:41
6797,Instagram,959924,7338,9931.04,2019-08-03 19:47:09
1851,YouTube,1707640,27440,14152.08,2022-12-19 07:48:33
12810,Instagram,1570559,29981,34113.09,2024-07-01 23:57:19
7164,TikTok,910233,9854,18785.59,2020-03-02 18:58:54
12122,TikTok,58712,744,1226.83,2024-03-15 05:12:26
7976,TikTok,657791,11611,25666.6,2021-04-28 23:54:01
7092,Instagram,372981,3603,8870.34,2023-01-12 13:41:02
13359,TikTok,1650901,22613,15927.0,2023-01-29 21:07:53
5917,YouTube,48784,342,296.58,2021-10-13 12:35:49
13796,TikTok,844802,574,776.36,2022-10-14 10:06:35
559,TikTok,1544166,19302,25206.34,2018-07-09 13:14:12
1522,YouTube,1390368,16029,18660.7,2022-12-29 06:21:36
11732,YouTube,782911,11733,7625.53,2021-01-30 08:07:59
13616,TikTok,305821,5150,2652.52,2019-02-06 02:14:10
5170,YouTube,1487049,15557,36013.2,2020-07-19 14:24:33
1632,TikTok,1504051,9456,13775.71,2021-04-02 15:12:53
3196,TikTok,659323,2983,3371.55,2022-12-20 04:19:00
6474,TikTok,1532832,9108,6021.34,2024-04-11 04:30:55
12431,YouTube,955450,10511,15133.4,2018-04-25 18:01:11
14975,Instagram,887914,16410,36189.12,2020-01-18 06:55:16
7726,YouTube,1891308,13586,27791.35,2021-01-19 00:29:05
6102,Instagram,1478409,25626,42838.41,2018-07-27 15:25:35
4316,Instagram,431258,3561,2185.08,2022-02-08 03:12:04
8631,YouTube,1615077,10758,25952.08,2019-10-18 23:46:16
3780,Instagram,443511,7886,12777.13,2023-03-14 16:42:05
11731,YouTube,421726,7127,12393.01,2021-04-09 09:04:40
4851,YouTube,1110407,7215,3794.22,2018-02-21 16:56:23
1041,YouTube,205665,3760,2813.84,2023-06-20 09:38:46
14663,YouTube,1572379,20093,40304.87,2022-12-23 06:41:45
2942,TikTok,1685601,26980,36344.21,2022-04-05 11:50:48
10486,TikTok,1210656,18223,27826.18,2021-10-31 00:00:01
8431,Instagram,573421,4010,9790.18,2024-04-26 00:55:11
1688,Instagram,1676764,26452,25373.69,2019-08-29 22:50:14
9332,TikTok,298347,1142,1864.74,2023-04-21 14:37:10
11271,TikTok,1809935,3957,6022.1,2020-01-31 05:42:25
4594,Instagram,875728,9126,12886.38,2018-03-22 06:55:47
1211,Instagram,1656311,12484,27068.4,2024-03-29 20:41:55
9916,TikTok,177617,1728,3908.11,2020-01-24 11:45:24
5286,TikTok,1294837,7367,17961.99,2018-01-14 09:37:47
8022,TikTok,604004,4125,8346.2,2019-04-12 21:24:08
6858,TikTok,1287961,11973,21264.25,2024-08-31 21:25:17
14473,TikTok,1374964,22139,40212.97,2019-07-04 10:59:06
5147,TikTok,372952,4478,2289.18,2019-01-14 06:18:55
9376,Instagram,1361155,13505,8951.89,2021-07-27 12:02:40
5578,TikTok,59283,696,816.97,2022-01-01 10:17:17
2004,TikTok,1024619,2219,3546.98,2024-06-25 01:12:07
5960,YouTube,456563,3304,3477.47,2024-01-09 08:56:53
8768,Instagram,1871852,1865,2264.1,2018-09-04 21:28:48
7709,Instagram,668717,11697,22108.19,2022-07-28 02:24:57
726,YouTube,1286381,22675,36978.3,2022-09-18 10:13:57
241,Instagram,1911819,2610,1796.85,2023-03-30 09:12:40
1710,YouTube,621380,345,365.0,2021-01-04 14:13:16
10815,TikTok,763213,13732,33023.77,2024-08-24 07:18:13
5833,TikTok,1211692,14493,15917.52,2024-05-05 04:54:07
7043,YouTube,1036471,19435,22968.94,2022-11-04 13:07:48
10889,YouTube,927287,15027,14225.14,2024-08-13 13:55:11
9770,TikTok,1292672,11109,12942.55,2018-11-09 15:53:04
828,TikTok,935664,6120,12153.84,2021-10-17 05:44:48
3837,YouTube,1431304,17820,11182.94,2020-05-02 20:38:36
7447,YouTube,507774,4311,2890.62,2018-12-09 02:43:45
12677,Instagram,1423782,21910,17780.54,2020-04-05 16:50:20
7220,TikTok,1034931,19599,21587.44,2019-10-27 09:57:35
6360,TikTok,474064,6326,10092.59,2023-06-06 08:47:02
3200,Instagram,741417,12184,14517.53,2018-04-30 05:45:57
5020,YouTube,687258,7754,4619.1,2020-01-10 23:41:46
5596,TikTok,1084901,19046,43173.12,2022-12-28 13:16:39
42,TikTok,1718349,22886,55717.18,2020-06-27 23:42:38
14982,TikTok,1300245,19367,39408.81,2022-12-14 02:32:45
5707,Instagram,1198582,3359,3320.69,2021-07-08 23:55:03
3589,Instagram,1220969,7500,5558.28,2021-09-29 23:39:09
12835,Instagram,1938588,7901,19188.1,2023-07-16 00:21:12
492,TikTok,116321,1235,2548.08,2018-01-14 13:18:33
4197,Instagram,668129,564,1320.29,2018-12-12 17:29:36
9380,TikTok,1131764,1101,1238.9,2022-09-02 02:53:54
2572,YouTube,1376531,14691,15189.27,2018-09-27 20:26:17
1806,Instagram,682488,1965,3774.7,2023-09-17 20:15:00
11787,YouTube,1791681,28446,39962.6,2018-03-17 20:02:51
13260,Instagram,1823054,12854,25467.35,2021-02-26 09:42:58
13642,Instagram,1591967,7766,9603.32,2021-09-28 18:36:58
809,Instagram,1678988,28393,38394.83,2019-01-08 11:18:30
5195,Instagram,200641,3243,2029.36,2022-09-11 00:06:10
14190,TikTok,349666,229,456.74,2019-01-29 21:40:41
5371,YouTube,1159101,22140,27216.77,2022-04-14 10:03:48
13755,TikTok,360308,5517,6571.82,2018-09-27 11:21:58
10311,Instagram,1095775,2306,5524.49,2022-12-19 11:55:10
4363,YouTube,209800,671,1350.74,2019-10-29 02:53:54
546,TikTok,1086495,2731,4048.01,2023-01-25 21:46:33
10538,TikTok,1259828,24326,16487.01,2022-04-03 10:20:47
1854,Instagram,154308,487,669.43,2019-04-28 09:53:40
2081,TikTok,59843,481,549.84,2019-08-31 02:57:53
11635,TikTok,294308,3095,4685.75,2022-03-28 06:12:07
9108,Instagram,488418,6254,4289.44,2018-03-26 07:38:38
14824,YouTube,497933,4120,5189.82,2021-04-03 16:04:03
3500,YouTube,1677309,32746,25607.0,2021-07-16 19:15:23
11802,YouTube,1231015,21951,43111.92,2018-01-29 19:47:17
3217,Instagram,1523848,24707,47089.48,2023-04-28 15:49:21
2366,YouTube,1814760,27309,60066.26,2020-02-06 06:23:21
3633,Instagram,1952061,8106,14067.39,2018-03-20 15:39:54
5595,Instagram,380711,7494,9722.19,2018-05-15 21:13:38
10959,YouTube,190765,3274,7415.41,2022-11-27 03:03:37
1714,Instagram,424562,7447,16349.21,2018-05-23 21:10:21
125,TikTok,1617309,14377,12390.18,2020-11-17 05:42:01
125,TikTok,1234665,19663,28779.57,2022-03-13 03:08:03
127,Instagram,1197447,10734,20248.59,2021-04-15 21:51:44
9295,Instagram,72342,1134,894.11,2020-06-17 17:28:24
10138,TikTok,1676267,18803,19312.42,2021-10-26 15:16:34
4349,YouTube,1620858,4634,10131.82,2023-06-20 01:03:08
9692,YouTube,1249777,7982,6248.36,2024-12-31 08:33:48
2803,Instagram,1086018,8237,6876.37,2024-01-02 10:26:01
3539,YouTube,284921,4345,3739.28,2023-08-16 21:00:19
3709,TikTok,147512,2416,4188.91,2024-08-07 15:12:42
2773,TikTok,593469,1834,1429.78,2021-02-25 19:13:13
6597,YouTube,158289,1163,2799.27,2019-03-22 16:32:16
6486,YouTube,1660126,31674,47981.86,2024-08-09 06:59:51
4996,Instagram,713192,12802,20398.73,2023-06-08 00:47:33
14144,Instagram,1667785,15452,20381.42,2021-04-14 04:19:43
4766,TikTok,289162,5618,12963.3,2019-08-30 03:14:33
8821,YouTube,185668,1043,1773.35,2023-04-03 11:56:55
2205,TikTok,464814,4136,9856.04,2022-11-05 12:40:40
13973,TikTok,1210620,12494,19978.44,2024-01-01 01:14:07
10874,YouTube,1141547,2240,1155.78,2020-12-21 07:09:27
11610,Instagram,1922914,29158,47683.38,2019-12-06 10:31:24
4544,Instagram,231568,3326,3081.07,2019-06-15 12:44:12
1241,Instagram,1397012,10208,7134.77,2019-12-23 07:02:44
7399,YouTube,1095137,10430,6825.52,2018-10-08 02:24:07
5579,TikTok,1298994,22763,33018.28,2020-05-19 07:41:40
7688,YouTube,420045,7024,3959.4,2022-08-24 01:32:54
14102,TikTok,886727,7574,18067.18,2021-03-14 20:54:35
13522,YouTube,1926241,31346,53054.24,2021-08-14 23:09:28
2973,Instagram,43139,179,310.32,2024-02-25 23:17:05
5772,TikTok,243034,3696,7251.08,2021-11-09 21:54:42
14095,YouTube,1550637,7983,6013.76,2021-07-19 02:08:28
3399,Instagram,1112561,8415,5154.69,2024-09-20 17:23:34
7687,Instagram,1386598,779,492.47,2024-07-26 15:54:56
14116,Instagram,242751,2868,2546.27,2023-10-06 09:30:15
14525,Instagram,1784599,27704,20894.79,2022-02-17 22:29:20
10295,TikTok,1498399,7244,14971.79,2022-06-04 01:50:26
2691,Instagram,1296636,7605,15554.55,2023-10-16 12:20:10
4204,Instagram,1146260,14798,13188.09,2021-11-21 05:17:20
8885,TikTok,810632,1791,3715.83,2021-09-15 03:02:18
6959,TikTok,265430,5272,4385.82,2020-12-13 02:18:51
10417,TikTok,969257,17801,35387.62,2018-06-03 16:43:58
7343,YouTube,1187935,20994,41724.19,2020-02-16 16:31:38
2248,Instagram,1297354,20131,10233.32,2021-04-27 07:19:30
2841,Instagram,1764038,24049,34436.87,2019-01-31 12:16:11
14373,YouTube,739023,11236,21089.63,2024-07-29 14:01:49
12521,YouTube,1248923,1219,2926.89,2021-07-24 20:32:02
13355,TikTok,1709083,33797,72816.41,2023-01-27 19:52:16
4302,TikTok,638452,2589,6179.62,2020-04-16 12:20:37
5163,YouTube,1230757,23005,53925.78,2022-12-04 19:10:24
1900,TikTok,1128378,20687,37391.86,2018-06-05 10:39:00
13845,YouTube,610121,10493,15544.74,2022-02-14 12:43:16
13717,Instagram,775147,12118,15205.67,2024-03-04 18:55:48
14181,TikTok,1625235,5243,4551.14,2021-04-06 07:44:48
11307,Instagram,978834,17079,8886.27,2021-02-18 17:37:17
554,TikTok,1885960,26280,21555.73,2019-09-05 14:34:26
5153,TikTok,1533726,7934,6381.5,2024-03-31 02:41:57
4721,YouTube,1908512,9920,12334.3,2021-01-17 18:15:30
11355,YouTube,133509,2488,5924.3,2022-11-26 02:29:09
9961,TikTok,1920025,9237,16715.64,2019-12-01 18:38:13
7705,YouTube,555975,6112,11873.88,2024-10-25 09:14:41
14591,YouTube,1505151,29268,46459.86,2020-07-01 23:20:33
2051,TikTok,1211674,21489,51803.02,2024-06-28 17:37:16
9795,Instagram,1424570,10969,18334.36,2021-02-25 22:11:31
2384,TikTok,1490519,8539,5725.41,2024-02-22 04:40:02
12536,TikTok,591736,8126,18771.52,2018-01-18 11:28:39
14365,YouTube,782016,5653,9445.09,2023-04-16 13:21:14
11531,Instagram,1385014,6533,16272.35,2021-08-11 14:20:07
1579,Instagram,240321,507,433.83,2020-02-20 14:36:55
688,TikTok,1979503,35086,50714.67,2019-04-05 17:52:42
5539,TikTok,289369,1841,4140.65,2022-12-22 19:46:37
8641,YouTube,1521290,9386,21354.28,2024-09-18 17:25:24
9223,YouTube,1374876,22078,35669.31,2020-07-15 00:07:55
396,YouTube,821710,14701,13998.64,2021-08-13 21:50:41
10450,TikTok,800047,8077,17288.98,2022-08-26 17:29:59
3604,TikTok,321499,1053,533.88,2019-06-10 11:48:07
1049,YouTube,1593188,14286,23829.18,2021-12-29 21:20:50
3018,Instagram,1365751,17428,26975.58,2018-11-05 21:12:50
14771,YouTube,381319,4357,6736.18,2023-02-05 00:34:38
521,TikTok,1187183,13027,22763.39,2018-10-07 01:52:09
143,TikTok,597523,4776,8614.99,2018-05-03 22:51:29
8335,Instagram,640780,9232,9047.57,2023-03-26 19:18:54
11849,YouTube,1695744,28982,51428.33,2021-08-16 11:52:27
10179,Instagram,71650,1287,2943.51,2019-11-18 22:48:59
14328,YouTube,1282098,12387,19421.99,2021-08-24 13:17:25
13581,YouTube,1354640,25340,61301.09,2018-04-12 23:47:24
528,YouTube,1724390,23133,55689.21,2021-09-06 09:52:38
2980,TikTok,995155,8479,15122.12,2022-11-15 02:08:06
6278,TikTok,1971509,21431,40971.82,2018-12-14 16:53:14
12565,TikTok,757120,969,1285.84,2019-09-18 08:10:20
10132,Instagram,554093,1325,2704.08,2023-11-17 19:39:05
13424,TikTok,1183586,10154,6985.18,2022-06-02 11:01:26
14219,Instagram,1936593,12944,18201.42,2020-10-26 18:22:17
1210,Instagram,1220693,22190,21715.66,2018-07-23 16:33:03
7046,TikTok,1383402,1174,2277.72,2021-12-14 22:59:29
573,Instagram,462883,1765,2609.0,2021-08-25 08:28:04
13106,TikTok,1556062,29991,67665.08,2022-06-08 10:50:26
13585,TikTok,1796310,10202,21146.86,2024-08-05 02:05:46
11349,YouTube,889721,5526,4340.0,2019-12-11 04:17:02
2797,YouTube,90239,1347,1246.63,2019-07-07 11:37:53
12824,Instagram,117202,1113,1632.75,2022-11-09 09:11:26
10788,YouTube,1115514,13322,9680.98,2020-02-04 06:41:36
248,TikTok,1415385,20383,40252.94,2022-02-21 15:40:53
3847,TikTok,365809,2192,3401.83,2021-02-02 16:29:24
9827,TikTok,1125972,3738,6116.18,2020-05-18 15:53:25
4366,TikTok,900572,11491,19107.41,2024-10-21 23:17:03
10937,YouTube,332458,3626,5805.28,2018-03-06 14:11:44
5272,Instagram,656535,1540,1142.48,2022-09-10 14:07:43
12521,Instagram,1830715,13914,9376.73,2019-10-22 12:12:24
12079,YouTube,1670984,2146,3369.67,2022-11-25 00:56:58
14132,YouTube,360538,4149,4428.38,2023-08-16 12:55:21
6558,YouTube,332116,5110,11288.64,2019-02-05 17:41:47
14991,TikTok,1384900,16249,11930.5,2024-01-04 20:01:19
874,Instagram,1817900,14028,18895.55,2021-02-15 12:42:59
11447,YouTube,1790431,27659,27400.98,2022-02-28 22:25:38
2827,TikTok,867392,4156,2449.32,2020-05-11 08:47:13
1249,YouTube,790190,3686,3173.46,2023-03-16 14:28:43
8079,Instagram,1065887,20321,13900.27,2018-05-24 15:29:22
940,Instagram,908447,4179,3756.77,2021-07-27 06:58:56
9339,Instagram,726637,10609,12641.57,2023-01-16 04:19:56
