session_id,page_visits,signups,purchases,dropoff_rate,funnel_date
217129,19031,2621,768,0.96,2021-05-01 07:32:24
450713,17305,5098,2793,0.84,2024-04-08 20:45:18
221842,1028,476,110,0.89,2019-07-14 02:23:47
380359,11780,3222,1291,0.89,2023-09-24 10:27:30
408198,1553,354,85,0.95,2019-11-09 15:38:47
16682,17748,3790,1725,0.9,2022-07-23 13:51:39
25544,19538,4673,2441,0.88,2021-09-25 04:29:48
262753,16888,3559,1910,0.89,2021-07-15 03:12:39
473911,17771,8789,4219,0.76,2020-09-13 02:19:27
68963,13143,1707,873,0.93,2020-12-27 05:37:50
237640,5676,2225,337,0.94,2022-12-06 10:38:44
134506,9935,1798,414,0.96,2019-03-04 17:53:25
404000,15829,6944,1951,0.88,2021-09-26 08:17:37
257991,17551,2400,906,0.95,2020-03-16 19:05:54
124346,9211,4439,1013,0.89,2022-05-29 00:17:21
84366,9007,1702,413,0.95,2022-11-23 08:23:06
449130,12854,2295,542,0.96,2023-01-06 23:25:35
238070,12232,2974,1471,0.88,2018-06-13 16:01:28
398037,12695,4863,1321,0.9,2024-04-22 09:17:22
120304,8796,1520,672,0.92,2020-03-05 23:28:58
469431,8533,1738,924,0.89,2024-01-16 06:48:36
363162,13956,3083,1248,0.91,2018-07-05 12:57:51
386068,3627,668,176,0.95,2019-11-22 22:14:28
175616,4249,457,123,0.97,2022-07-21 05:46:03
141246,13865,4993,952,0.93,2020-06-26 23:25:46
44259,8263,1407,336,0.96,2021-12-07 06:17:07
57502,14863,3280,556,0.96,2024-08-25 16:02:41
252765,1053,135,68,0.94,2024-06-24 22:57:53
316622,14931,3546,1676,0.89,2019-06-16 18:02:05
142113,3416,965,172,0.95,2019-10-03 17:13:11
68481,13211,2258,326,0.98,2020-06-20 12:44:42
238796,9359,3939,1106,0.88,2019-06-02 22:39:39
13220,11796,3694,2214,0.81,2020-11-10 19:58:35
30272,18168,4966,2130,0.88,2018-08-09 08:01:44
419055,19089,3101,1014,0.95,2023-04-21 12:30:23
309866,8647,3386,353,0.96,2022-03-22 15:04:10
218392,16198,2485,461,0.97,2018-04-15 07:16:53
291338,11862,4258,2283,0.81,2024-10-18 05:39:46
267432,561,164,83,0.85,2022-02-28 19:02:27
266569,3645,1008,243,0.93,2022-04-08 03:25:25
495893,2709,1096,524,0.81,2020-02-18 06:05:37
272227,13547,2845,1235,0.91,2022-04-12 17:49:46
215644,6405,2530,717,0.89,2020-06-20 22:40:57
213881,1065,163,40,0.96,2023-09-17 17:54:42
299528,13381,2983,1249,0.91,2020-02-17 21:22:39
370334,11757,2004,612,0.95,2024-12-03 12:28:25
98337,3335,1638,305,0.91,2021-03-10 06:00:15
131011,18855,7035,4132,0.78,2022-09-10 02:17:34
131328,12271,4060,1198,0.9,2022-04-21 12:03:34
331117,13791,2884,876,0.94,2024-05-03 03:31:42
155840,2064,474,181,0.91,2018-03-14 13:04:07
22943,4224,1195,400,0.91,2020-01-19 09:41:08
61330,10377,1146,502,0.95,2020-08-10 04:31:01
120896,18476,3489,1998,0.89,2024-10-17 05:10:53
459202,19773,9217,4807,0.76,2023-08-12 13:48:09
480443,11628,2178,724,0.94,2024-12-17 07:42:31
237256,11991,5787,3111,0.74,2020-07-04 19:34:34
356786,17117,8464,1862,0.89,2024-07-16 23:41:05
374388,3027,1474,226,0.93,2019-04-21 11:13:59
168632,14387,5801,1901,0.87,2018-09-30 10:40:50
266461,15434,4204,2188,0.86,2024-09-22 23:30:30
408417,9265,2714,461,0.95,2022-10-24 19:50:26
205785,181,60,35,0.81,2022-04-23 11:43:04
41592,5104,2429,883,0.83,2024-07-15 16:55:47
308987,15028,5650,2168,0.86,2021-07-29 10:20:08
330081,17655,4113,1244,0.93,2024-03-16 16:20:16
377752,10684,3903,563,0.95,2020-08-19 15:36:18
288036,14158,3602,993,0.93,2024-02-16 20:34:55
91250,17064,7890,2465,0.86,2018-10-19 00:26:40
177675,16435,6227,2607,0.84,2020-10-10 18:19:30
295946,12719,6145,1512,0.88,2021-10-21 15:00:57
116051,12817,2328,250,0.98,2020-12-16 01:23:59
256069,6158,616,322,0.95,2020-07-04 23:56:10
361281,1788,470,146,0.92,2020-06-23 03:15:08
199411,264,35,13,0.95,2022-06-03 22:35:20
270605,10337,4758,1919,0.81,2021-11-24 13:02:52
347348,4996,1347,456,0.91,2021-03-14 14:14:05
184866,18146,4492,867,0.95,2021-09-10 22:43:20
303722,17563,8368,2181,0.88,2019-01-07 01:27:42
321262,5004,2156,682,0.86,2024-06-05 02:39:11
338205,17669,1802,502,0.97,2019-10-23 18:33:09
421882,350,151,79,0.77,2019-07-15 21:17:18
37448,17524,2889,1593,0.91,2019-10-18 16:38:38
281020,19770,6320,3313,0.83,2019-07-23 15:45:46
2420,10271,4558,2596,0.75,2021-09-28 22:58:49
189942,9108,2558,1405,0.85,2018-08-17 04:21:42
129752,19121,7007,2684,0.86,2021-02-19 21:57:02
404662,1023,416,112,0.89,2020-10-26 03:41:16
160061,19582,6022,1382,0.93,2020-03-31 09:24:49
139023,17177,6929,3080,0.82,2021-05-27 16:29:43
79145,15266,5217,2099,0.86,2023-11-06 11:05:13
486147,17795,2141,1193,0.93,2023-12-05 23:29:18
467692,18178,7134,2518,0.86,2021-06-02 09:25:07
218362,10316,3484,1127,0.89,2023-06-17 16:31:15
401652,17640,7192,3128,0.82,2022-11-25 01:29:11
74706,12676,1540,766,0.94,2018-04-29 15:04:11
120814,16146,3561,1706,0.89,2024-11-23 02:34:29
10148,10012,1863,553,0.94,2022-11-28 00:44:27
481447,10876,4426,1914,0.82,2022-12-05 01:58:03
108987,3270,1209,675,0.79,2021-03-14 07:23:30
379347,9298,4348,438,0.95,2018-10-05 06:02:31
315246,11254,3220,1070,0.9,2019-08-26 16:38:13
389782,15702,2497,1279,0.92,2018-12-07 06:42:27
235559,17978,7854,4254,0.76,2024-06-05 11:41:33
208062,9667,2489,798,0.92,2020-08-05 10:47:45
499469,587,156,84,0.86,2024-09-01 22:28:03
444719,15742,3629,1437,0.91,2022-11-26 14:04:24
393521,3977,1831,1085,0.73,2023-08-13 10:03:23
314599,14413,3822,536,0.96,2018-05-29 23:17:21
46115,11828,3617,1851,0.84,2018-11-29 02:48:43
350171,19734,6701,2561,0.87,2022-08-24 17:29:08
15290,1663,547,81,0.95,2020-03-01 01:04:58
398313,10523,4493,1113,0.89,2023-08-23 20:07:06
225118,651,170,57,0.91,2021-10-24 19:50:22
316572,7423,3400,1741,0.77,2020-08-07 21:31:29
478917,12787,3913,858,0.93,2021-10-04 10:46:17
103833,14574,7078,3171,0.78,2023-02-10 12:19:48
6722,13943,1412,608,0.96,2021-12-22 00:54:53
342951,15883,6074,668,0.96,2021-07-26 01:48:43
425575,9051,1722,591,0.93,2019-06-09 22:52:05
335673,3754,1813,405,0.89,2019-11-05 13:55:02
2516,1531,484,143,0.91,2018-11-04 02:16:12
202006,9617,2625,1193,0.88,2018-11-13 22:50:43
285902,1054,463,150,0.86,2019-05-03 06:39:46
216769,2152,869,192,0.91,2019-09-28 04:42:02
276940,12920,2081,879,0.93,2024-07-19 18:38:31
36948,19878,5006,1226,0.94,2020-10-27 11:14:38
284833,10458,1311,569,0.95,2020-07-26 18:59:29
241188,12114,5096,2147,0.82,2022-10-13 01:50:49
97038,16391,3903,873,0.95,2024-10-02 23:51:18
19059,11798,4628,2025,0.83,2022-02-28 20:36:39
45678,2057,792,469,0.77,2022-08-25 12:18:19
68225,10556,4131,413,0.96,2022-09-27 07:14:03
392259,18716,6233,3216,0.83,2024-03-19 00:53:14
239318,13895,5208,2844,0.8,2020-12-01 00:59:22
174439,1231,343,145,0.88,2024-07-09 23:21:52
66712,8660,3779,707,0.92,2021-02-16 23:24:47
159780,4566,930,215,0.95,2024-12-09 11:37:02
82255,12134,4522,1499,0.88,2023-08-29 10:35:27
376685,12533,1768,629,0.95,2018-09-14 15:15:40
142110,11800,2206,922,0.92,2018-09-28 20:00:15
278103,13063,5343,916,0.93,2024-02-20 11:46:38
138687,8509,1132,249,0.97,2020-12-28 17:52:47
453791,2646,1040,239,0.91,2019-01-02 12:47:51
342936,6510,3243,974,0.85,2021-02-05 18:10:58
153825,15686,1934,462,0.97,2022-05-25 19:52:49
300704,6324,1515,692,0.89,2022-09-22 16:20:33
298046,4636,1865,784,0.83,2024-02-18 07:45:32
469135,2357,1007,365,0.85,2023-01-12 21:19:57
41550,10029,1683,1006,0.9,2022-10-14 08:39:50
170661,9752,2247,1190,0.88,2018-05-01 07:01:49
293346,11858,5111,2930,0.75,2021-06-28 20:56:49
228354,10041,3685,1788,0.82,2023-04-20 13:11:06
96287,15231,2068,1236,0.92,2018-01-18 03:26:54
190170,4241,1578,449,0.89,2018-11-09 10:32:18
123122,9815,3800,1360,0.86,2022-10-17 05:03:26
274638,8949,1873,932,0.9,2022-07-30 22:34:25
87930,18496,5508,2925,0.84,2022-10-02 21:42:33
116534,7762,2030,797,0.9,2020-01-15 15:31:01
147428,9547,4482,1942,0.8,2024-03-02 13:57:28
348774,3204,1164,611,0.81,2021-09-09 04:22:05
176025,1989,438,163,0.92,2022-01-12 06:57:29
172483,11840,1358,408,0.97,2024-10-01 19:45:50
374442,11960,2520,630,0.95,2020-11-28 23:05:16
369009,1183,161,40,0.97,2020-01-10 02:23:40
296025,7348,2018,778,0.89,2021-06-22 02:30:36
274312,1483,162,49,0.97,2023-01-07 15:00:32
102774,12345,1854,1087,0.91,2024-04-27 07:16:51
81089,8732,935,103,0.99,2018-10-27 17:48:46
440528,18995,7039,3506,0.82,2023-10-18 10:45:18
395501,3288,1625,170,0.95,2022-08-02 05:20:35
181250,6634,1372,523,0.92,2021-04-10 18:04:25
459597,19907,6600,2105,0.89,2019-03-01 18:11:20
266026,9257,3580,1023,0.89,2024-03-13 14:44:31
113574,11840,2253,690,0.94,2024-02-07 04:46:00
30114,15518,7750,1715,0.89,2019-01-29 02:37:11
35686,12352,5367,1841,0.85,2021-03-24 09:10:12
73591,657,78,40,0.94,2023-04-04 00:45:38
264734,14400,7103,3137,0.78,2019-05-04 07:41:56
307281,9713,1815,285,0.97,2019-06-23 17:56:18
5212,3098,452,169,0.95,2023-03-13 01:16:55
84058,9232,2840,627,0.93,2024-04-11 01:17:50
373117,11701,4123,1324,0.89,2021-12-12 13:05:15
156145,12162,5170,1497,0.88,2024-02-17 04:41:19
150803,4479,1193,348,0.92,2018-01-24 00:33:30
257065,6468,1539,399,0.94,2024-09-24 23:23:05
365310,4047,1300,609,0.85,2022-02-22 10:43:57
493412,16223,1625,961,0.94,2022-09-11 00:42:15
197524,17453,6283,3658,0.79,2020-07-14 10:02:36
264985,15932,4808,2603,0.84,2024-06-18 23:15:34
178718,7152,3157,1364,0.81,2023-12-11 06:43:31
324384,16953,4551,1931,0.89,2019-12-17 17:41:57
80653,7251,2362,541,0.93,2018-06-25 20:09:59
465306,5511,634,345,0.94,2024-12-26 22:14:36
153454,9924,3195,699,0.93,2022-11-04 20:56:55
309495,6360,2878,377,0.94,2019-11-07 20:19:06
119172,16608,6183,1745,0.89,2022-02-06 04:13:17
222400,18648,2167,1108,0.94,2020-04-08 03:38:54
214695,16144,3841,1933,0.88,2019-05-13 00:14:52
380447,17039,4612,1942,0.89,2024-07-10 03:36:12
201763,809,221,124,0.85,2019-09-17 18:11:53
188530,9297,4627,2722,0.71,2022-05-08 06:15:04
232129,3064,1461,583,0.81,2021-12-30 10:59:52
444822,5736,1419,384,0.93,2020-07-29 17:17:55
266539,2797,1395,708,0.75,2019-09-03 16:14:44
464303,13424,4839,2693,0.8,2022-03-04 15:01:31
365846,8879,2296,501,0.94,2020-07-01 07:59:18
135929,13753,4659,2647,0.81,2020-01-25 14:15:37
289959,10562,4317,712,0.93,2021-09-09 00:12:13
287176,10512,3778,1195,0.89,2023-02-01 12:22:41
420631,13513,4026,2193,0.84,2024-04-02 19:22:05
343559,5372,567,123,0.98,2019-05-01 08:00:13
7106,11636,1619,732,0.94,2020-02-14 11:27:06
120688,3633,1789,818,0.77,2019-04-05 11:20:39
343409,15590,5498,1976,0.87,2018-07-31 17:45:57
384619,5334,584,335,0.94,2021-11-01 02:50:38
192224,5008,1032,415,0.92,2018-08-22 16:09:27
470898,11044,3549,885,0.92,2019-07-22 00:20:31
491487,4414,1169,263,0.94,2020-10-09 06:53:30
44766,5620,2302,1091,0.81,2021-10-27 21:22:05
272286,8852,1197,542,0.94,2021-01-12 10:32:05
356960,14210,3867,1961,0.86,2022-03-28 19:16:41
296251,991,441,185,0.81,2023-06-02 14:10:09
493934,9465,2978,548,0.94,2022-07-23 02:27:43
45742,16368,4366,2574,0.84,2022-01-01 17:11:28
206485,15401,6687,2712,0.82,2018-01-30 20:08:04
301219,5476,1396,335,0.94,2022-01-31 01:38:50
236890,12052,4872,2216,0.82,2021-03-07 15:38:31
19556,5771,2172,771,0.87,2024-06-21 05:09:03
1759,19493,6754,3750,0.81,2023-12-01 16:58:01
464143,2425,992,506,0.79,2018-09-30 13:27:57
310287,19647,8011,3007,0.85,2023-10-05 18:28:17
342675,5297,2308,1284,0.76,2019-06-16 16:10:04
230071,2293,380,191,0.92,2021-05-23 00:37:51
307052,11637,4622,2629,0.77,2024-12-08 11:49:29
14360,16258,4699,627,0.96,2018-08-22 10:36:46
160262,14843,2662,485,0.97,2023-03-02 04:51:40
365656,11929,3354,931,0.92,2023-01-31 08:53:02
272249,3591,1175,703,0.8,2024-03-08 19:44:01
29110,16435,6759,1693,0.9,2022-02-25 15:07:20
285618,8989,2179,877,0.9,2021-09-07 18:45:51
153848,626,197,31,0.95,2020-07-23 12:56:22
468864,238,48,24,0.9,2019-03-03 06:03:12
469771,14048,4957,2442,0.83,2018-03-29 22:51:33
105252,2032,497,274,0.87,2024-04-14 21:57:15
298760,4574,1506,762,0.83,2019-01-21 12:50:57
198819,2382,541,272,0.89,2021-10-07 18:52:15
278508,19334,7042,3216,0.83,2019-05-19 20:46:36
462453,3886,1479,357,0.91,2020-07-17 03:15:14
482817,15453,7001,2005,0.87,2023-12-05 20:20:17
118433,12126,1339,546,0.95,2022-04-11 04:16:42
171887,11707,2983,691,0.94,2019-10-23 19:33:58
390743,15685,1654,422,0.97,2021-08-01 14:46:01
174644,11456,3398,919,0.92,2019-04-18 10:05:53
447031,9539,4219,584,0.94,2024-01-30 15:37:12
323554,2554,873,387,0.85,2021-07-16 11:12:11
355549,19024,9128,4741,0.75,2024-09-09 10:17:20
253392,15085,2266,859,0.94,2023-11-16 15:36:00
339952,4691,2076,220,0.95,2023-01-23 17:37:28
332058,16850,2993,561,0.97,2023-10-23 10:21:11
44044,14033,4944,2597,0.81,2023-03-14 13:22:32
355456,13595,3973,592,0.96,2022-03-23 16:46:32
264110,3572,1318,293,0.92,2024-06-05 22:23:07
391680,16917,2323,1020,0.94,2019-07-10 02:15:23
175321,17493,6798,2553,0.85,2024-08-06 20:13:03
270875,10615,2806,542,0.95,2018-02-13 02:55:36
227131,4211,497,135,0.97,2021-02-01 05:08:29
220109,17758,7919,3126,0.82,2020-04-12 09:32:21
176849,14940,6421,2566,0.83,2023-01-02 21:46:46
265318,10197,1910,220,0.98,2020-05-02 09:13:41
16802,10446,4092,1264,0.88,2019-01-20 21:12:51
389971,11634,2087,1115,0.9,2023-04-25 09:34:09
9943,12584,1968,1013,0.92,2024-10-06 06:44:16
213993,10110,4871,2452,0.76,2022-06-19 08:18:16
328972,13187,2938,794,0.94,2024-06-09 15:13:20
291990,3543,438,158,0.96,2020-09-07 12:41:59
398714,4588,1832,1083,0.76,2023-10-07 18:06:40
59187,5478,2640,896,0.84,2020-06-19 14:55:56
31195,11378,3763,983,0.91,2021-11-04 03:39:55
169119,6496,3090,1770,0.73,2022-03-28 20:18:30
495975,18483,8300,4390,0.76,2018-01-08 18:36:57
98905,12172,2577,1522,0.87,2020-09-28 00:32:59
226140,18070,7640,2359,0.87,2018-12-25 00:51:32
180761,1013,351,126,0.88,2022-07-06 00:26:33
240097,10562,3671,2163,0.8,2018-01-21 23:37:32
59997,6445,2525,1431,0.78,2023-03-10 12:52:10
265014,9954,3249,1766,0.82,2019-04-19 01:14:30
157491,3951,1948,489,0.88,2023-06-14 23:13:48
447045,14581,2529,1240,0.91,2021-11-11 00:04:02
171972,8573,2556,1309,0.85,2022-06-13 12:05:16
478762,14469,3091,1554,0.89,2023-09-16 04:11:00
314023,1858,752,434,0.77,2021-12-28 03:31:08
346242,19805,6269,3720,0.81,2019-01-09 23:15:34
471371,2964,1309,334,0.89,2020-08-25 15:16:21
329651,5463,2651,1351,0.75,2023-11-19 10:49:00
357607,9231,3671,1760,0.81,2018-09-27 02:43:22
385578,10555,1735,492,0.95,2019-06-06 20:02:04
249510,19649,5344,3087,0.84,2023-09-19 10:40:23
363900,2776,1302,698,0.75,2023-09-19 20:25:34
191003,3637,1680,893,0.75,2019-12-26 01:53:05
317651,3094,1333,382,0.88,2022-11-03 11:44:46
49072,8183,1254,451,0.94,2022-01-22 23:54:17
359189,16953,5094,660,0.96,2022-12-04 22:12:20
236372,12363,5848,2034,0.84,2022-02-18 17:51:09
129493,5334,2593,863,0.84,2023-01-23 03:32:19
282957,14754,3041,1726,0.88,2023-01-06 16:07:21
95053,16155,5605,2146,0.87,2018-04-07 10:31:45
221768,290,125,15,0.95,2018-11-07 18:32:24
456061,3470,1060,190,0.95,2023-09-04 08:11:25
230253,11624,3720,1728,0.85,2020-09-28 03:59:03
464677,8240,2249,883,0.89,2019-11-18 23:32:17
311146,15571,2938,1270,0.92,2020-07-10 16:48:02
385121,14245,3387,643,0.95,2022-07-15 20:21:26
99803,11847,2401,363,0.97,2020-03-20 09:31:45
471604,13013,6163,1153,0.91,2019-01-26 22:16:15
437873,653,177,21,0.97,2019-09-24 21:05:01
347923,2350,1006,174,0.93,2024-10-29 08:16:36
361292,12644,1307,687,0.95,2023-07-09 03:27:53
110059,2160,1063,244,0.89,2019-07-22 10:16:18
146709,3194,912,344,0.89,2020-09-16 12:10:48
3558,17126,3436,710,0.96,2022-04-28 07:58:48
478772,1576,219,46,0.97,2021-03-28 05:52:03
292751,8152,2830,1115,0.86,2021-09-06 16:41:27
131291,1836,882,413,0.78,2022-05-22 03:07:10
420722,9273,3273,1065,0.89,2020-05-24 17:14:50
495403,15876,6275,939,0.94,2022-03-14 15:59:21
295625,2308,451,218,0.91,2021-03-06 17:53:49
117553,17839,8785,3569,0.8,2023-06-13 21:32:41
464453,8190,1470,740,0.91,2020-10-14 05:57:05
137891,4399,1631,914,0.79,2024-07-16 09:57:37
342214,5850,1207,174,0.97,2019-01-06 10:38:08
202393,9696,1699,658,0.93,2022-02-24 14:35:42
335267,2035,547,72,0.96,2019-12-14 10:48:36
479915,1805,405,213,0.88,2021-11-09 18:42:00
326183,4307,1898,1049,0.76,2024-03-01 17:53:40
223443,5159,1942,1037,0.8,2022-08-06 21:37:04
172392,13535,4753,1710,0.87,2019-04-02 07:48:44
198086,13803,3386,1729,0.87,2019-03-03 17:09:15
41263,9020,3325,1740,0.81,2021-07-23 08:57:05
233506,1818,395,151,0.92,2020-06-17 07:33:43
422961,7019,725,234,0.97,2020-01-12 23:04:05
481239,9571,4747,2241,0.77,2020-06-05 11:50:17
71136,3450,1611,242,0.93,2021-04-21 06:57:47
423581,18485,4630,2463,0.87,2018-11-15 19:56:26
283782,11105,4145,773,0.93,2024-11-29 05:41:59
212278,17880,5555,1734,0.9,2023-10-02 02:34:40
234477,12644,3322,1548,0.88,2021-09-27 19:19:41
114088,13379,4906,1832,0.86,2024-10-21 03:57:36
429629,17577,2366,917,0.95,2023-04-02 21:35:44
276475,12861,5895,1243,0.9,2022-01-31 23:50:17
452435,19535,2704,331,0.98,2018-12-24 12:23:17
145132,264,128,14,0.95,2021-09-08 21:06:54
166996,3655,750,304,0.92,2023-11-02 06:31:56
5226,13140,1511,662,0.95,2020-05-09 17:23:40
122186,7684,2849,1579,0.79,2020-11-25 04:20:39
185339,18079,3992,535,0.97,2022-08-18 19:34:59
66703,12215,2824,471,0.96,2022-08-01 21:46:17
215514,13061,2704,1034,0.92,2023-08-20 16:18:10
102721,16087,6316,1696,0.89,2024-12-10 22:59:29
296704,6704,2981,1183,0.82,2022-02-27 13:05:48
