customer_id,monthly_revenue,customer_lifespan_months,customer_lifetime_value,segment
20976,5412,4,21648,High Value
23989,2319,48,111312,Mid Value
10741,7697,16,123152,Mid Value
7236,971,8,7768,Mid Value
25460,468,55,25740,High Value
4824,2091,41,85731,High Value
4723,7395,28,207060,High Value
26580,9466,2,18932,Low Value
4705,1115,40,44600,Mid Value
4819,5606,29,162574,Low Value
28723,6754,15,101310,Mid Value
21923,2225,57,126825,Low Value
20959,9527,45,428715,High Value
18098,2618,36,94248,Mid Value
10856,8839,11,97229,High Value
3000,5770,19,109630,High Value
25071,5858,17,99586,Mid Value
9419,903,37,33411,High Value
6707,8524,22,187528,Mid Value
21611,4463,30,133890,Low Value
12867,1103,35,38605,Mid Value
11458,4149,32,132768,Mid Value
8828,3677,25,91925,Mid Value
14833,9694,4,38776,Mid Value
20391,1696,23,39008,High Value
9902,5651,32,180832,Mid Value
12157,8869,13,115297,Low Value
3672,5781,6,34686,High Value
6094,8345,26,216970,Low Value
29656,3836,37,141932,Mid Value
29495,863,6,5178,High Value
20538,8045,33,265485,Mid Value
26684,8132,25,203300,Mid Value
25051,7879,33,260007,Mid Value
21796,1369,58,79402,Mid Value
12851,9207,23,211761,Mid Value
1930,7720,26,200720,Mid Value
25015,3388,49,166012,High Value
6616,8459,55,465245,Mid Value
23743,4938,11,54318,Mid Value
20441,6894,9,62046,High Value
13559,1025,10,10250,Low Value
3983,8239,48,395472,High Value
16039,7780,26,202280,Mid Value
8079,7253,50,362650,High Value
6621,970,14,13580,High Value
15345,6116,11,67276,Mid Value
22617,8296,45,373320,High Value
26844,1003,37,37111,Low Value
11599,283,57,16131,Low Value
26999,9122,38,346636,Mid Value
11726,338,24,8112,High Value
19940,5435,4,21740,Low Value
26688,8992,5,44960,Low Value
27092,3442,8,27536,Low Value
724,8222,31,254882,Low Value
3015,4550,17,77350,Low Value
10839,6754,16,108064,High Value
3356,1302,48,62496,High Value
18275,3007,50,150350,High Value
5673,5864,13,76232,Mid Value
9157,7986,12,95832,High Value
4432,8109,30,243270,High Value
18050,6054,8,48432,Low Value
11815,7808,44,343552,High Value
23685,1544,10,15440,High Value
26227,6941,58,402578,High Value
5685,738,57,42066,Mid Value
20527,4077,35,142695,Mid Value
13078,1479,8,11832,High Value
25223,1853,20,37060,Mid Value
29882,3046,49,149254,Low Value
28393,690,50,34500,High Value
6333,2394,53,126882,Low Value
25112,2572,54,138888,Mid Value
25056,766,25,19150,Mid Value
15338,540,55,29700,Mid Value
29483,5354,39,208806,High Value
22404,4223,6,25338,High Value
26496,8144,17,138448,Low Value
21420,3865,3,11595,High Value
4630,656,3,1968,Low Value
6227,1856,24,44544,Mid Value
7079,4796,16,76736,Mid Value
4183,2567,21,53907,High Value
4322,4612,36,166032,Mid Value
6717,8985,57,512145,Low Value
23540,9065,23,208495,High Value
6258,2221,12,26652,High Value
8839,6071,19,115349,Mid Value
19216,3918,31,121458,Mid Value
29434,896,31,27776,Low Value
29443,3475,44,152900,High Value
2596,6711,55,369105,High Value
22749,7249,57,413193,High Value
27950,3482,47,163654,Low Value
7732,4815,38,182970,High Value
12302,1678,45,75510,High Value
14611,891,25,22275,Mid Value
1715,9398,21,197358,Mid Value
28596,5133,19,97527,High Value
6655,4702,17,79934,Low Value
28962,9507,50,475350,Low Value
1302,1417,39,55263,Low Value
23646,9681,8,77448,Mid Value
2668,3757,15,56355,High Value
17293,1678,53,88934,Low Value
12849,3327,34,113118,High Value
12977,2570,16,41120,High Value
2180,2322,38,88236,High Value
27035,7157,23,164611,Mid Value
23135,1188,44,52272,High Value
11213,2873,52,149396,Low Value
8301,5216,36,187776,Mid Value
12322,2053,41,84173,Low Value
11787,1098,39,42822,Mid Value
20086,7200,53,381600,Mid Value
24576,7438,50,371900,High Value
28990,4574,55,251570,Low Value
18633,7748,20,154960,Mid Value
15870,2068,52,107536,Low Value
2598,3153,5,15765,Low Value
21651,3309,40,132360,Mid Value
15857,3490,21,73290,Mid Value
27763,6874,46,316204,Mid Value
6009,9677,44,425788,Low Value
1117,9826,49,481474,High Value
25201,2832,1,2832,High Value
6813,9855,36,354780,Mid Value
1023,8375,32,268000,Low Value
7951,4716,19,89604,Low Value
20335,5513,22,121286,Low Value
9481,1410,24,33840,High Value
24055,3839,5,19195,Low Value
2286,1173,57,66861,Mid Value
16961,2032,53,107696,Low Value
5943,5969,5,29845,Mid Value
19977,6252,7,43764,High Value
8661,2670,28,74760,Mid Value
28981,7621,25,190525,Low Value
7725,4090,3,12270,Mid Value
20647,4979,1,4979,Low Value
9330,9129,10,91290,Low Value
5479,6456,55,355080,High Value
19151,3622,20,72440,High Value
18585,9417,47,442599,High Value
23032,2464,1,2464,Mid Value
14328,2803,48,134544,High Value
21699,1638,40,65520,Mid Value
9596,4372,53,231716,High Value
6496,3200,51,163200,Low Value
27172,2050,47,96350,High Value
7859,9753,48,468144,High Value
23937,1807,39,70473,Low Value
424,1592,6,9552,Low Value
15644,5473,51,279123,Mid Value
6449,854,16,13664,Low Value
2678,5360,59,316240,High Value
987,1569,5,7845,High Value
16110,7324,57,417468,Low Value
3215,2927,50,146350,Mid Value
6647,9142,18,164556,Mid Value
12056,7128,25,178200,Mid Value
1574,4447,55,244585,High Value
1230,5621,37,207977,Low Value
25168,7456,10,74560,Low Value
12264,7371,3,22113,Low Value
4845,4357,43,187351,Mid Value
22077,8665,20,173300,Mid Value
19341,7764,10,77640,Mid Value
157,3171,10,31710,Low Value
15292,2422,37,89614,Low Value
20867,9591,28,268548,Mid Value
30,9067,48,435216,Mid Value
23067,3254,31,100874,High Value
15458,5797,15,86955,Low Value
21650,4326,28,121128,Mid Value
26314,7634,12,91608,High Value
18296,491,18,8838,High Value
9029,2653,2,5306,Mid Value
9349,6060,45,272700,High Value
17992,2783,30,83490,Low Value
5405,5377,42,225834,Low Value
26224,5904,23,135792,Mid Value
1724,5547,52,288444,High Value
5636,2464,47,115808,Low Value
17669,5108,18,91944,Low Value
23032,3547,2,7094,Low Value
8037,6676,25,166900,High Value
20443,8834,32,282688,Low Value
27425,7948,23,182804,High Value
24709,8180,46,376280,High Value
8643,6990,12,83880,High Value
18574,9214,55,506770,Low Value
24555,4062,12,48744,High Value
17995,8502,23,195546,High Value
14133,1991,21,41811,Mid Value
11405,295,33,9735,High Value
21651,7447,34,253198,Mid Value
11625,9265,10,92650,Low Value
5349,974,32,31168,Low Value
6615,4045,40,161800,Mid Value
5288,4221,22,92862,Low Value
798,9169,53,485957,Low Value
4960,5499,17,93483,Mid Value
4762,1107,25,27675,High Value
1465,3997,3,11991,Low Value
14114,9392,12,112704,Low Value
28336,5007,26,130182,High Value
27328,7350,17,124950,Low Value
16720,2998,17,50966,Mid Value
29142,7490,16,119840,Low Value
4411,390,34,13260,Low Value
20742,1010,58,58580,High Value
16217,7602,13,98826,High Value
4468,336,40,13440,Mid Value
9159,7714,5,38570,Low Value
4574,5208,26,135408,High Value
1972,2145,38,81510,Low Value
17967,8509,25,212725,High Value
25343,5252,3,15756,Mid Value
1207,1204,57,68628,Low Value
1632,543,41,22263,Low Value
17643,3011,28,84308,Low Value
22987,6779,56,379624,High Value
13586,7929,59,467811,Low Value
7497,6872,21,144312,Mid Value
28228,7451,41,305491,High Value
15177,1175,10,11750,High Value
17436,5302,59,312818,High Value
23178,685,24,16440,Mid Value
18168,9768,20,195360,Mid Value
27841,8605,8,68840,Mid Value
6239,7598,33,250734,High Value
3031,3648,24,87552,High Value
1558,6495,47,305265,Mid Value
24242,7132,25,178300,High Value
11971,9592,50,479600,High Value
19041,7648,27,206496,Low Value
27529,7898,53,418594,Mid Value
14108,237,38,9006,Low Value
11230,4272,2,8544,Mid Value
18192,5752,40,230080,High Value
11429,8589,24,206136,Low Value
14288,2451,22,53922,Low Value
15258,4102,18,73836,High Value
22064,1563,45,70335,Low Value
17542,7768,43,334024,Mid Value
29148,6137,9,55233,Low Value
4064,4544,10,45440,High Value
22629,6819,40,272760,Low Value
9587,3690,29,107010,Mid Value
29777,2756,42,115752,Mid Value
23584,992,37,36704,Mid Value
8771,9300,28,260400,High Value
6387,364,2,728,Low Value
29963,5644,56,316064,High Value
42,4341,47,204027,Mid Value
5652,301,10,3010,Low Value
4864,6408,47,301176,High Value
13040,4478,8,35824,Low Value
2158,1677,42,70434,Mid Value
21564,1166,38,44308,High Value
2310,5869,26,152594,Mid Value
12947,5860,7,41020,High Value
25148,2872,14,40208,Mid Value
5693,3826,34,130084,Low Value
29139,3997,44,175868,High Value
23967,600,21,12600,Mid Value
24261,1523,4,6092,Low Value
4972,7060,26,183560,Low Value
11824,1549,36,55764,Mid Value
18538,7533,29,218457,High Value
7462,3668,47,172396,Mid Value
3556,5153,2,10306,High Value
3208,4437,13,57681,High Value
8444,4367,24,104808,High Value
15746,1197,58,69426,High Value
22680,5836,23,134228,Low Value
11724,3167,24,76008,Low Value
25629,5029,14,70406,High Value
29085,7087,24,170088,Low Value
21548,7031,52,365612,Low Value
7957,2162,22,47564,Mid Value
28833,2077,4,8308,High Value
6155,5969,53,316357,Low Value
28013,3773,39,147147,High Value
11164,7945,26,206570,High Value
8549,1207,27,32589,Mid Value
10546,8428,25,210700,High Value
16299,3594,34,122196,Mid Value
26969,894,32,28608,High Value
27942,7143,11,78573,Low Value
11826,9009,59,531531,Low Value
727,556,1,556,Mid Value
13163,5618,54,303372,Mid Value
11786,8867,31,274877,Low Value
13926,2637,19,50103,High Value
29635,7077,24,169848,High Value
29044,1478,40,59120,Low Value
6676,9066,27,244782,High Value
11677,9107,50,455350,Mid Value
29851,2122,11,23342,High Value
21348,6008,15,90120,Low Value
26101,5031,32,160992,Mid Value
26227,3621,4,14484,Low Value
3881,7790,44,342760,High Value
21742,4076,22,89672,High Value
28710,1393,6,8358,Mid Value
4780,5093,24,122232,Low Value
8440,5950,2,11900,Mid Value
10635,329,58,19082,High Value
4108,6630,10,66300,Mid Value
27400,8935,10,89350,Low Value
13264,7245,13,94185,Low Value
20614,4527,25,113175,High Value
5039,302,53,16006,Mid Value
21133,5530,26,143780,Mid Value
26530,3030,32,96960,Low Value
20005,7994,30,239820,High Value
332,5245,18,94410,Low Value
10717,7509,47,352923,Mid Value
28840,3475,23,79925,Low Value
11886,6570,19,124830,Low Value
14243,1757,5,8785,High Value
8311,5405,31,167555,High Value
18797,8198,4,32792,Mid Value
24477,2682,1,2682,Mid Value
11461,589,23,13547,High Value
28501,6620,51,337620,Mid Value
577,8116,12,97392,Low Value
22045,2548,34,86632,Mid Value
6641,5799,9,52191,Mid Value
13933,3556,22,78232,Mid Value
11004,3519,17,59823,Low Value
6205,7279,7,50953,High Value
13744,2266,47,106502,High Value
21137,232,45,10440,Mid Value
24128,6814,41,279374,Low Value
18039,5336,3,16008,Mid Value
25770,1043,49,51107,Mid Value
25527,8869,46,407974,Mid Value
24654,3177,5,15885,High Value
21391,7611,31,235941,Low Value
24026,4760,25,119000,Low Value
14489,6594,16,105504,High Value
24404,4100,13,53300,High Value
18121,6551,45,294795,Mid Value
22688,8376,36,301536,Mid Value
14403,7021,21,147441,Mid Value
12384,3103,38,117914,Mid Value
1522,1813,31,56203,High Value
17657,2569,23,59087,Mid Value
7900,429,29,12441,Mid Value
21264,8533,59,503447,Low Value
16619,1700,42,71400,Low Value
21382,4834,20,96680,Mid Value
10290,2454,50,122700,Mid Value
16790,4602,58,266916,Low Value
13534,4880,41,200080,Low Value
15588,7626,26,198276,High Value
26874,4348,12,52176,High Value
11155,5212,9,46908,Low Value
12070,3169,41,129929,Mid Value
26443,5658,9,50922,Mid Value
5750,333,14,4662,High Value
29922,327,9,2943,High Value
29747,6543,55,359865,Low Value
15311,3575,18,64350,Mid Value
12176,4301,17,73117,Low Value
1335,1043,40,41720,Low Value
28047,5969,52,310388,Low Value
15739,8024,31,248744,Mid Value
6165,6305,57,359385,Low Value
8457,4645,33,153285,High Value
9457,575,25,14375,Low Value
11442,7461,36,268596,Mid Value
25351,3668,18,66024,Mid Value
20981,4802,50,240100,Low Value
27141,6832,9,61488,Low Value
17293,7884,56,441504,Low Value
401,656,14,9184,Low Value
7116,1017,24,24408,Low Value
928,8216,47,386152,High Value
20106,882,2,1764,Mid Value
8988,7474,35,261590,High Value
28136,5500,3,16500,Low Value
10836,7497,37,277389,Low Value
9676,3373,43,145039,Low Value
9397,4220,31,130820,Mid Value
4302,3932,37,145484,Low Value
21623,3264,41,133824,Low Value
22707,9917,45,446265,Low Value
26378,3431,9,30879,Low Value
3752,7931,28,222068,Low Value
19923,9681,17,164577,Low Value
20031,6352,36,228672,Mid Value
11157,5132,24,123168,Mid Value
15596,4722,59,278598,High Value
19696,8231,20,164620,High Value
24970,6600,50,330000,Low Value
5960,5264,59,310576,High Value
9043,8263,46,380098,High Value
8970,1335,4,5340,High Value
24338,9768,45,439560,Mid Value
23404,3230,9,29070,High Value
11275,2722,21,57162,High Value
27822,2583,49,126567,Low Value
19993,9142,49,447958,Mid Value
3611,1786,17,30362,Low Value
3334,3970,34,134980,Mid Value
25578,5590,8,44720,High Value
14227,1908,25,47700,High Value
27290,6779,3,20337,Low Value
19592,7834,39,305526,Low Value
23015,6686,57,381102,Low Value
7859,5080,26,132080,High Value
15041,6190,28,173320,High Value
22402,1732,58,100456,High Value
29765,8595,21,180495,Mid Value
18286,1133,34,38522,Mid Value
8534,6832,28,191296,Mid Value
19339,4942,52,256984,High Value
29398,5694,54,307476,High Value
25792,6859,19,130321,Low Value
5669,6726,27,181602,Low Value
25066,1978,18,35604,Mid Value
19583,1575,11,17325,Low Value
24266,5877,16,94032,Low Value
13238,5800,6,34800,Mid Value
14095,3156,36,113616,Low Value
6360,2207,4,8828,High Value
679,8095,39,315705,High Value
19692,6187,52,321724,Mid Value
16666,7656,14,107184,High Value
2630,5937,52,308724,Mid Value
18861,4159,3,12477,Mid Value
13743,3110,16,49760,Mid Value
23681,9787,20,195740,High Value
9446,6455,47,303385,High Value
11268,5125,30,153750,High Value
5780,7677,2,15354,High Value
6364,8068,26,209768,Low Value
2973,2386,39,93054,Mid Value
11157,5687,27,153549,Mid Value
17011,7879,44,346676,Low Value
789,6173,19,117287,Low Value
1973,3664,19,69616,High Value
12244,9042,1,9042,Mid Value
25009,8940,27,241380,Mid Value
5659,9308,32,297856,Low Value
25462,7271,22,159962,Low Value
17378,5018,18,90324,Mid Value
28775,2455,42,103110,Mid Value
22680,630,43,27090,Mid Value
3961,2473,56,138488,Low Value
18886,5992,38,227696,High Value
6959,2032,30,60960,Low Value
16455,3025,47,142175,Low Value
7176,3727,34,126718,High Value
11041,212,15,3180,Low Value
29778,2117,40,84680,High Value
8663,5975,38,227050,Mid Value
649,2259,52,117468,Low Value
29300,8882,43,381926,High Value
8268,8269,36,297684,Low Value
13000,8457,42,355194,High Value
11328,8196,57,467172,Low Value
11755,3408,30,102240,Low Value
10441,7208,46,331568,Mid Value
19938,2025,49,99225,High Value
14186,7233,24,173592,High Value
15254,9897,47,465159,Mid Value
5692,7706,57,439242,High Value
528,5315,36,191340,Mid Value
12795,8406,20,168120,High Value
22645,288,55,15840,High Value
1317,1549,45,69705,Mid Value
27516,7115,26,184990,High Value
12782,9624,8,76992,High Value
17834,5299,17,90083,Mid Value
7448,2907,15,43605,Mid Value
5879,325,57,18525,Mid Value
10497,8964,2,17928,Mid Value
24206,4765,34,162010,Mid Value
21942,3630,1,3630,High Value
22033,4691,53,248623,Low Value
7335,3248,54,175392,Low Value
27910,4825,34,164050,Mid Value
29606,7493,50,374650,High Value
25154,9330,49,457170,High Value
4291,3847,3,11541,Mid Value
10455,9886,33,326238,High Value
27016,2753,44,121132,Mid Value
18709,3626,5,18130,Low Value
5365,1143,40,45720,Low Value
26112,3799,36,136764,Mid Value
27979,2414,41,98974,Mid Value
28766,8322,36,299592,Mid Value
19894,1850,10,18500,Low Value
24655,2370,24,56880,Mid Value
2969,7181,54,387774,Mid Value
18831,5511,17,93687,Low Value
24231,4858,55,267190,Low Value
19515,9979,6,59874,Mid Value
14002,3006,30,90180,Low Value
8690,2508,5,12540,High Value
20027,8363,8,66904,Mid Value
29167,3155,58,182990,Mid Value
21505,1355,25,33875,Mid Value
15865,7344,1,7344,Mid Value
28666,2905,2,5810,Low Value
17472,5322,3,15966,High Value
9428,9015,51,459765,Mid Value
6550,7761,7,54327,Mid Value
12233,5969,1,5969,Mid Value
17747,5236,31,162316,High Value
3193,2733,12,32796,Low Value
15049,8721,29,252909,High Value
5458,4439,22,97658,High Value
10380,1824,37,67488,High Value
16317,9419,50,470950,High Value
5836,536,42,22512,Mid Value
23772,8686,21,182406,High Value
16569,9787,35,342545,Low Value
22899,1705,13,22165,High Value
8625,711,37,26307,Low Value
28075,1642,47,77174,High Value
2120,9521,14,133294,Mid Value
18587,1774,32,56768,Low Value
18186,1038,14,14532,Mid Value
19795,500,45,22500,High Value
29051,5942,4,23768,Mid Value
24975,6560,24,157440,Mid Value
25191,6821,21,143241,High Value
1084,3236,26,84136,High Value
19135,8261,56,462616,Mid Value
12965,9243,17,157131,Mid Value
6101,2722,19,51718,Low Value
8474,6870,30,206100,High Value
20650,8144,39,317616,Low Value
13938,941,6,5646,Low Value
10289,1292,36,46512,Mid Value
25270,5064,16,81024,High Value
8994,2589,21,54369,Low Value
6670,5846,8,46768,High Value
6061,9351,44,411444,High Value
12847,7287,23,167601,Mid Value
4419,3762,30,112860,Low Value
25602,9705,5,48525,High Value
23261,1234,9,11106,Low Value
25820,1361,32,43552,High Value
4842,6609,33,218097,Low Value
21359,9911,44,436084,Low Value
12289,9593,27,259011,Mid Value
10353,2017,47,94799,Low Value
4157,586,17,9962,Low Value
12929,9302,22,204644,Mid Value
23397,5521,49,270529,High Value
2238,4178,39,162942,High Value
627,3249,30,97470,Low Value
12655,2770,50,138500,Mid Value
24428,8142,35,284970,Low Value
17767,9801,47,460647,High Value
24749,5266,14,73724,Mid Value
22614,5355,44,235620,Low Value
16904,6690,24,160560,High Value
14138,8613,6,51678,Mid Value
5086,4968,13,64584,Mid Value
17081,420,28,11760,Low Value
2688,6969,12,83628,High Value
25083,4800,47,225600,Mid Value
3022,6256,11,68816,High Value
22316,2951,54,159354,Mid Value
2016,2113,12,25356,High Value
24576,4169,37,154253,Low Value
21798,4252,22,93544,Mid Value
18686,3123,28,87444,High Value
2019,1260,35,44100,Low Value
3468,469,4,1876,High Value
2059,1049,50,52450,Low Value
16187,1451,21,30471,Mid Value
1421,6441,22,141702,Mid Value
13320,8176,36,294336,Low Value
25560,1066,52,55432,Low Value
20392,8844,26,229944,Low Value
24780,8077,5,40385,Low Value
6953,8508,25,212700,Mid Value
20862,2971,56,166376,High Value
28495,6100,17,103700,Low Value
25329,6359,36,228924,Mid Value
916,2375,2,4750,Low Value
17059,9388,16,150208,High Value
15662,4650,17,79050,High Value
28168,3271,35,114485,Mid Value
1008,604,11,6644,Mid Value
29235,477,43,20511,Low Value
14854,1226,8,9808,Mid Value
1077,8174,11,89914,High Value
28850,6907,18,124326,High Value
28353,1578,22,34716,High Value
17834,3241,37,119917,Mid Value
24617,3623,49,177527,Mid Value
5685,8437,27,227799,Low Value
1516,5193,14,72702,Mid Value
22097,8833,15,132495,Low Value
6109,3670,41,150470,High Value
28511,9995,44,439780,High Value
25430,2256,33,74448,Mid Value
19719,3014,46,138644,High Value
27528,1224,17,20808,Mid Value
21600,8314,57,473898,Low Value
607,4079,6,24474,High Value
14777,2442,17,41514,High Value
9187,9143,52,475436,High Value
7939,1479,37,54723,High Value
19338,578,57,32946,High Value
13826,7223,58,418934,High Value
13748,5935,44,261140,Mid Value
11516,9844,9,88596,Mid Value
21845,627,8,5016,Mid Value
22623,932,16,14912,High Value
10851,8753,43,376379,Mid Value
8583,4488,5,22440,Mid Value
20922,7522,41,308402,Low Value
20170,2613,23,60099,High Value
17344,6226,34,211684,Mid Value
5590,3979,26,103454,Low Value
1820,6649,20,132980,Mid Value
8081,7232,53,383296,Mid Value
14989,9087,59,536133,Mid Value
26432,9805,5,49025,Mid Value
17717,9843,38,374034,Mid Value
23549,7114,28,199192,Mid Value
19278,1044,47,49068,Mid Value
16525,1329,20,26580,High Value
7230,8291,55,456005,Mid Value
20064,1041,42,43722,Mid Value
17089,3069,49,150381,Mid Value
8493,8681,52,451412,Mid Value
8069,9957,33,328581,Mid Value
1555,6213,36,223668,Low Value
16607,1764,47,82908,Mid Value
19975,8046,18,144828,High Value
24777,2687,9,24183,High Value
13089,1708,42,71736,Mid Value
8663,4115,10,41150,Low Value
1860,4447,58,257926,Low Value
19938,9301,45,418545,Low Value
23038,5363,9,48267,High Value
20276,6117,52,318084,Mid Value
7889,866,30,25980,Low Value
19130,2660,41,109060,High Value
1464,4753,22,104566,Mid Value
3683,9305,7,65135,High Value
19396,6456,43,277608,Low Value
8728,6847,36,246492,Mid Value
2370,1479,28,41412,High Value
12197,8692,50,434600,High Value
22896,9322,15,139830,High Value
12432,4550,30,136500,High Value
28917,547,4,2188,Mid Value
17351,1048,2,2096,Low Value
6351,8875,43,381625,Mid Value
3684,8525,7,59675,Mid Value
18873,4145,59,244555,Low Value
26807,793,47,37271,High Value
18612,4179,13,54327,Low Value
23365,1748,8,13984,Mid Value
18122,6562,52,341224,High Value
257,1800,34,61200,Low Value
7699,4386,11,48246,Mid Value
1032,2949,56,165144,Mid Value
14655,621,31,19251,High Value
2060,5562,22,122364,Mid Value
20702,2624,53,139072,Low Value
22736,3561,9,32049,High Value
22432,5704,40,228160,High Value
6239,1015,9,9135,Mid Value
2037,728,34,24752,Low Value
19027,9482,56,530992,Mid Value
19006,5135,36,184860,High Value
22988,1309,27,35343,Mid Value
13555,3226,24,77424,High Value
20818,5783,13,75179,Low Value
29400,5812,54,313848,Mid Value
1319,5928,55,326040,Mid Value
