month,new_mrr,expansion_mrr,churned_mrr,net_mrr
2023-06,555635,262780,160817,578557
2022-01,547989,40357,177412,584853
2021-01,323486,403990,238319,864671
2024-05,546285,248284,50712,187062
2023-11,219363,470680,282538,306830
2021-10,111098,418825,317088,812409
2021-07,559077,311874,161907,691846
2022-01,777611,75392,153051,619452
2022-09,393205,35872,128152,822005
2021-07,564470,315050,114672,219431
2023-04,701022,37561,308874,52396
2021-09,520025,493986,246222,186248
2024-07,332499,281653,202174,550937
2021-02,740311,23291,276953,461882
2025-05,290847,74032,363565,721050
2023-08,332691,164551,297647,280524
2022-08,750906,246659,196722,247672
2021-03,221829,45081,363060,254255
2023-09,300137,328239,259873,550774
2023-01,569630,404633,304661,827670
2023-07,135332,177641,341502,357612
2025-08,198111,50665,260492,377108
2021-02,423501,452937,88497,204316
2022-04,396880,498762,79833,157788
2021-03,548191,100101,176065,438127
2023-03,460126,228354,393560,689034
2021-05,724912,301518,164585,179242
2025-07,421994,291309,360529,507699
2023-11,378183,425956,346242,767415
2023-03,425975,108844,175172,726455
2023-05,412074,247293,203213,540316
2021-09,688949,112729,148250,493221
2024-03,779342,181512,266893,307442
2023-09,702564,222184,300948,880655
2022-04,488513,238616,213563,484136
2025-04,565378,315454,362644,406433
2023-08,280106,189796,35565,491853
2022-06,571360,139098,338207,587869
2025-04,179511,196390,366091,335447
2022-07,172743,345239,327002,440415
2025-02,232330,389131,386059,647357
2021-07,702336,304269,299479,526088
2023-02,353328,422293,103115,641929
2025-10,647268,317484,266913,501737
2021-03,620194,428691,332564,427558
2022-01,508625,236294,16449,474573
2023-09,766993,55932,128447,783703
2024-08,678196,130661,294917,800791
2021-11,231125,373080,30562,307121
2024-05,150460,457369,324819,701209
2024-10,470488,375110,257100,696981
2025-04,454024,125508,378141,446965
2025-09,638690,438967,147332,625805
2024-09,708096,50820,204726,222851
2021-01,135010,53058,113406,558220
2023-03,715810,407402,27819,795009
2022-04,773961,430022,329454,684954
2021-09,148759,79534,213713,340878
2023-12,388345,472304,137487,344144
2023-11,477477,216772,54625,771601
2021-11,686859,120604,260055,723557
2025-01,513495,136507,22353,378127
2025-12,701763,89482,167325,575247
2025-09,325308,86173,110379,132820
2021-12,54271,170974,214975,443271
2021-08,263038,386393,223845,176906
2023-05,523497,35529,215888,869078
2023-01,548559,328888,146998,460466
2021-11,514838,318336,366253,393145
2021-07,309965,285542,118122,83481
2021-02,687490,355458,328654,380537
2024-03,68611,463829,175016,536043
2021-10,97170,174291,109358,545701
2023-02,711228,338181,83078,219213
2023-02,594455,27934,82514,527764
2021-07,695840,103741,165012,725987
2022-09,50032,304594,79025,501156
2025-10,665773,63221,278088,599358
2024-11,703301,62651,187644,175672
2021-07,684381,48776,197190,608224
2023-09,216755,179737,16871,463452
2021-10,168352,40601,221895,430559
2023-02,478687,488303,166890,633976
2021-08,563004,187653,74024,791955
2021-11,415930,499177,382974,191552
2024-04,178307,413402,258276,778497
2023-05,406811,323548,92811,71804
2021-09,627811,176070,47450,875713
2022-03,775741,450145,206589,576780
2022-03,115371,249265,234607,858590
2025-04,553284,91047,178451,704541
2022-05,97782,425817,190127,494313
2022-04,783053,281297,174771,131083
2023-04,519011,239672,140871,314930
2023-11,187515,81117,73998,149012
2024-03,482400,219141,260287,620528
2022-02,512881,331434,277339,461860
2025-05,399529,476742,127945,518830
2024-08,128303,40509,261505,476561
2021-09,701646,199115,114412,482274
2025-03,305553,312069,118331,794759
2024-04,713965,319962,105141,894918
2023-08,328405,140056,84704,167271
2022-05,476317,42187,91786,500130
2024-02,749993,69809,350399,815123
2023-11,395279,241037,143471,197517
2023-10,433163,497476,99584,734826
2022-12,261548,82848,196171,183153
2023-09,643106,481034,118036,686836
2022-08,323785,196188,300665,855448
2021-05,373915,179462,323132,743736
2025-02,649203,61650,364165,384514
2024-10,658723,78893,34535,245421
2024-10,155099,147784,248501,296839
2024-06,798766,174988,167173,563495
2023-12,521955,193978,28994,593689
2025-01,465852,466830,187880,64171
2022-09,112835,93446,153883,276679
2021-03,657276,347458,313568,367889
2023-02,302292,186487,65491,496452
2022-08,130179,48809,106624,775956
2024-03,696315,75016,318297,839176
2021-07,382166,254828,277584,115709
2021-09,94820,309950,190194,265472
2023-03,189974,98407,235353,469828
2023-01,651554,299838,175791,898729
2024-12,179508,462461,382137,505829
2025-08,66180,203662,142577,557190
2024-03,372359,137491,53135,645064
2021-02,671178,170427,85972,141335
2023-06,569118,499407,147473,607246
2021-07,612644,447982,332277,290496
2021-09,228393,112901,283230,247139
2024-10,448787,215037,355449,351208
2022-05,145545,397029,349195,496094
2025-01,746114,74022,237373,699110
2024-10,638820,319341,149850,577947
2021-06,765094,301840,11377,592084
2024-12,514779,495174,269718,634158
2021-06,702814,269197,208937,414199
2021-08,747517,452320,68091,763815
2023-09,610414,231527,164905,896004
2025-06,690561,206152,143614,728182
2025-11,739144,439826,290147,214186
2023-09,759709,495724,287972,657856
2025-06,684973,102158,75267,634252
2023-10,76236,214466,253783,258940
2022-06,275011,440710,125498,626401
2021-06,414494,469927,191294,864541
2023-04,332870,317037,199015,556099
2025-04,120851,245716,247538,250249
2025-01,108943,477080,43375,372426
2024-12,380109,32426,294348,898261
2023-02,482190,145292,231795,695935
2022-05,702621,390041,225689,576673
2022-04,650103,134371,36852,51400
2025-05,713133,217525,72652,883424
2023-11,653790,406180,192648,115576
2022-01,563228,380438,255688,537646
2021-03,333430,168443,67499,609878
2021-07,545623,399038,371469,447510
2021-12,314904,350100,77791,834067
2021-04,272329,101176,388032,691287
2025-02,676146,86361,356811,366732
2024-10,747710,316604,78345,520271
2021-11,66196,264029,248337,489057
2024-01,755076,143254,337619,746660
2024-01,697345,424097,99563,788613
2023-07,554039,358381,118811,85761
2024-08,746387,408008,149598,409767
2025-07,211614,441694,15139,180305
2021-08,660643,241879,389009,617264
2024-05,796413,420691,234847,661322
2022-08,644267,361758,207086,342593
2023-02,740607,318790,60890,730696
2022-09,447695,431385,10466,404186
2025-07,541646,441922,53545,780985
2022-02,424533,379251,321444,622184
2025-10,476657,199568,67001,611531
2025-05,437151,141205,352173,189735
2024-12,173799,462428,121523,706407
2021-05,55697,471189,347133,535767
2023-03,235265,410524,237968,736081
2024-05,55960,293857,26462,212644
2025-09,706018,166488,255931,336328
2025-12,775833,131243,174428,812926
2025-04,583231,80393,149867,169193
2023-09,265725,422131,113891,837967
2022-02,141262,431473,16204,728768
2024-07,205526,209126,345383,274002
2024-05,438731,342912,32865,460770
2023-03,566406,386055,17330,384380
2023-11,532920,180671,187417,273401
2024-09,585239,258705,271912,729811
2022-02,204292,330437,232698,218301
2025-11,184586,100850,151222,682828
2021-03,705643,71057,366615,273559
2025-06,128872,360581,114645,651626
2025-06,714738,235656,214897,764892
2022-12,190626,451721,170765,641133
2021-06,575100,349257,113496,211284
2022-12,440605,481813,251959,540588
2021-05,395352,442470,239652,62648
2021-12,593932,295475,263737,768591
2022-10,457887,393745,13908,740932
2025-02,59782,253390,108779,195858
2022-07,480752,319245,339434,236934
2021-11,71685,455499,229275,706512
2022-09,131515,262844,175393,664082
2024-01,633248,280509,44082,872718
2023-09,384510,445757,140415,211094
2025-06,343852,90865,364784,254687
2023-01,586205,108283,221704,893942
2021-11,590644,281172,209885,632163
2023-01,192467,52808,362339,152261
2022-01,206942,88332,173463,187463
2021-07,685529,470720,14265,204105
2024-03,579087,260995,174041,93152
2024-06,447877,481026,272744,115446
2023-06,222322,464291,118891,369170
2022-12,263599,432456,186209,504217
2023-11,70858,273650,178652,536808
2022-05,177246,29113,332661,617122
2023-12,665881,326601,123177,863042
2023-12,698973,235414,129526,800007
2023-09,256344,461877,43148,839734
2025-01,70203,74966,160986,406866
2023-05,359296,246702,73748,210957
2024-07,99091,150365,272032,109315
2022-08,133474,378792,177567,268118
2022-09,582249,76209,69102,888544
2025-06,604045,114622,118139,272470
2021-01,486695,498913,231270,829450
2025-01,224252,388894,107512,361653
2021-08,397647,152163,329818,506252
2025-02,458398,152357,364356,91538
2024-07,237696,430673,23930,725871
2025-07,740420,416917,177595,497791
2023-09,333808,340420,54907,899075
2022-10,540118,166477,83385,136654
2022-06,564374,425906,316396,730494
2021-12,577935,337550,248145,180492
2024-07,780118,28875,151672,676952
2023-12,733081,48979,62025,165611
2021-06,762795,20387,361686,272374
2024-07,186091,159667,71304,264493
2025-07,416988,132275,327071,764036
2023-12,775635,89402,102263,497609
2021-02,114190,111488,107286,151889
2025-06,165449,127502,391608,86004
2023-07,378748,43826,226409,696905
2024-04,409511,213801,43970,731422
2022-08,130165,52238,196954,478470
2022-11,309744,103906,397890,584136
2023-10,174723,478058,66318,285815
2022-03,215492,216759,296910,202763
2023-07,493886,170275,238162,168377
2024-06,211401,269540,293668,744715
2025-07,195216,328677,360291,591584
2023-10,443528,206169,246566,593828
2024-09,293196,214412,257767,367995
2021-01,556977,164493,161614,250795
2023-11,681614,440474,143048,370905
2024-12,217318,393950,193176,823774
2025-02,125824,309544,270968,335750
2025-12,230458,391144,318025,408440
2021-10,445690,268783,142475,498499
2021-11,499329,335718,155915,702345
2021-06,606545,111873,55567,586072
2022-04,421439,354996,288324,276735
2023-04,604745,36948,216970,834854
2023-09,471786,60221,382988,394104
2025-04,110076,25437,287120,299021
2025-11,552392,374609,307379,735051
2021-11,182648,445549,109479,837887
2024-08,682868,268213,334555,646256
2021-11,448286,439017,154952,516855
2024-04,65576,417183,154092,622812
2023-08,118295,72655,169465,824897
2022-12,480772,24448,303603,375510
2024-02,411209,110028,308501,701560
2025-05,181702,472116,329972,895220
2025-05,660685,345726,232084,256480
2021-04,103722,483566,42123,420930
2024-08,179731,111168,232257,150235
2022-11,251134,307421,82696,832730
2024-09,154496,467223,385878,443874
2023-09,466266,153674,345256,488607
2024-12,476656,122324,278444,83676
2021-07,334285,493729,85029,827352
2024-07,118513,174592,149786,688826
2025-02,455209,269642,269190,217929
2023-09,729737,38897,102073,496911
2025-12,329869,342700,217636,716527
2022-04,449254,216646,191467,773411
2024-10,193774,315023,381627,243357
2025-10,557239,288280,228089,790925
2023-01,296779,78512,322802,108851
2025-12,69096,326477,251002,553019
2022-07,510441,37181,288666,743716
2022-09,336956,276222,89301,781736
2022-04,612052,36746,389527,838652
2023-06,243834,202114,19320,654727
2024-02,298504,478317,270089,307451
2023-10,577390,388721,100419,846620
2024-10,191092,94443,50277,507438
2021-03,466642,298484,361624,620479
2021-11,237329,234388,76781,333682
2024-05,777643,445033,287886,567164
2025-08,113168,328602,104397,476800
2022-03,780898,366730,148480,187165
2024-06,594205,125713,224155,394409
2024-02,404561,464571,304312,595876
2025-02,623213,86630,149398,385714
2023-04,727525,34923,362178,100240
2021-12,113845,130260,328402,232081
2025-08,286641,154186,363067,80226
2024-05,224982,331012,135936,352537
2025-08,422807,46887,259623,94934
2023-06,357296,172129,155078,777856
2022-05,232501,175390,341481,389561
2024-12,356864,44736,94674,701506
2023-07,146391,383652,208139,768216
2021-09,745299,192345,288293,323245
2021-02,601724,199598,100270,823214
2023-10,74847,89888,29599,492314
2022-11,463471,401909,354196,106734
2025-12,646935,153777,319272,868135
2021-04,245334,327818,90540,466236
2025-10,633489,396303,254987,75155
2024-08,441932,431647,394824,565288
2022-10,159529,83307,89497,460877
2021-06,278997,433880,122415,362886
2022-03,57123,210374,75617,664196
2024-04,346774,482184,213253,532194
2021-03,534039,383949,196373,841087
2021-02,391877,132587,257379,269639
2024-04,626610,482441,62730,781499
2022-08,403266,447160,289850,602333
2021-04,78491,270220,284262,177340
2025-04,117927,126619,97048,881494
2023-10,388218,401435,358487,368822
2022-02,746120,27963,316829,629362
2022-07,769411,217417,100738,254182
2024-04,393519,425044,299871,82988
2023-08,636777,80797,164750,494465
2022-05,136908,346966,228331,627712
2022-09,339833,156810,253241,403838
2021-12,237947,218746,15508,224118
2021-08,478122,468386,115855,691052
2023-12,509653,70568,382205,741379
2021-09,463037,44668,241536,153697
2022-09,700756,143683,294581,122304
2024-03,651463,478232,110723,744866
2024-11,735657,317989,52585,762372
2021-02,205159,38423,173233,278185
2025-11,507389,95381,167210,304010
2021-02,535552,318296,323350,897138
2022-03,755763,429772,170346,532088
2021-04,243707,196941,85187,431515
2023-06,297157,491806,360197,655101
2021-10,602963,213727,163992,265514
2021-02,209158,79542,216281,764867
2022-01,296520,118362,358804,614056
2022-08,551556,358408,355875,735549
2022-12,562407,62318,350717,299025
2024-03,629571,359818,144486,431439
2022-09,743121,125168,53477,431754
2023-01,364765,219995,297691,196230
2022-03,630459,323033,350107,89304
2024-02,597021,109869,31820,345620
2025-02,445679,301329,310722,726173
2022-01,580828,298803,315494,833957
2024-06,329230,275458,269542,699812
2021-06,527259,264456,155263,528118
2025-01,88488,207812,57588,265559
2024-01,280172,299086,143900,558670
2025-12,126373,395402,309660,669847
2022-05,530120,145129,99988,407713
2024-05,713305,455164,248723,541166
2022-03,492169,489374,246615,504981
2025-03,793588,319986,12920,518585
2025-07,357202,178585,108012,312153
2025-06,722408,193112,255363,337513
2023-11,728675,267052,314462,384636
2021-12,508423,468759,172819,706740
2024-01,418163,33017,309704,107973
2024-07,411978,297372,110104,641741
2024-12,588036,86641,127656,726905
2023-04,563381,216364,399255,495839
2025-08,401972,240740,259462,61805
2022-04,282670,37310,208947,85154
2021-04,111706,274417,32808,461715
2022-07,181404,193462,199925,408478
2024-12,441057,252644,372174,238084
2024-05,550287,142098,146031,581310
2023-06,249136,36975,214185,52933
2024-02,673728,176159,152809,592230
2022-08,99478,186071,303991,125257
2023-09,517302,57294,160241,258764
2024-06,241371,90330,288392,273099
2024-09,434112,136393,137688,612054
2023-09,234583,69292,95431,759554
2025-12,418820,164263,272344,783134
2025-09,571585,344756,276507,487234
2021-03,601510,235622,85862,731129
2022-03,80685,353836,337908,458977
2021-02,648670,116462,286659,212267
2023-05,484650,123606,294847,55396
2021-01,537159,250584,151028,384045
2022-06,440746,104004,119865,72178
2025-10,510094,78938,370146,636592
2022-03,260286,222163,345384,633127
2023-06,653144,109321,117121,90296
2023-10,442924,339872,154999,725819
2022-08,540120,98966,306530,668689
2024-10,715512,263282,385241,705903
2023-11,765661,353082,237580,92225
2023-04,481038,313014,333847,411196
2021-02,360527,87903,83771,679336
2024-07,240008,278491,90659,385293
2025-01,356866,347561,43480,697535
2021-08,590157,63910,358112,514920
2023-01,499292,499521,291281,125742
2024-09,291673,85484,197558,723037
2025-05,104261,308621,185465,212585
2021-03,139813,473677,267793,249018
2021-06,114893,374757,349757,420439
2022-06,654265,214637,277669,737512
2022-12,386460,261366,289214,782496
2024-10,455845,74438,165294,615256
2025-08,667327,282635,257070,847775
2022-08,450800,188965,77326,601989
2021-11,752139,288601,40462,858627
2024-01,202854,178618,55726,703416
2025-06,741598,328158,20292,555686
2023-07,141443,27523,378298,568323
2021-03,273239,463850,304706,199880
2023-12,777147,74337,335774,337287
2023-06,68893,188277,356497,672118
2021-10,287897,53631,72653,391706
2025-06,225571,488524,228238,368225
2021-03,565861,319911,210007,263118
2023-06,138965,166137,109601,129352
2022-12,648693,341065,264274,684986
2022-10,755969,493659,21077,498219
2022-04,216623,370759,190349,492765
2021-05,447054,138406,73803,769819
2025-04,227433,477612,296346,466066
2022-10,158993,254087,321353,616978
2025-07,759585,208240,21685,112719
2023-06,76224,316755,358227,750680
2021-10,88621,139569,138156,743980
2025-05,444885,21406,357539,883369
2024-06,302812,329933,355397,95525
2021-08,570253,362077,190152,855198
2024-10,338043,316871,139992,364206
2022-09,709116,437174,375674,150789
2022-11,185541,454306,119460,465435
2021-06,147532,52903,246022,675349
2021-06,686833,291255,373164,471847
2021-01,520934,35562,152877,529127
2023-05,283217,43210,243743,829512
2022-05,420749,157216,185316,740527
2024-03,485994,415035,312156,419591
2025-03,120903,219014,371231,862788
2021-12,211370,357904,10253,477487
2023-03,60697,39195,212089,722865
2025-01,384606,388369,157875,450165
2022-05,592194,452305,64914,660743
2025-04,60518,152590,200338,773342
2021-06,492260,389765,130883,780279
2021-11,795478,93096,379096,442328
2023-06,136817,368185,215167,849896
2023-06,623137,464293,147262,781902
2025-09,118577,462872,20186,670091
2021-06,200798,436548,75760,484075
2024-06,460044,464479,354435,838184
2023-01,299321,383904,31024,229152
2023-04,352072,44433,192451,509405
2023-01,225205,201379,116995,651281
2024-07,128505,249167,251887,85460
2022-10,694967,367676,295783,350998
2024-10,544280,123455,77618,137650
2022-11,125884,474331,26986,418759
2025-10,270004,276041,329694,506255
2022-02,497710,269038,335383,55604
2022-01,381875,266553,37854,448985
2023-05,615117,178995,225828,746628
2023-04,724995,160628,267009,105821
2024-10,399349,238398,300592,240176
2022-04,478272,117198,211147,763926
2021-06,729876,81564,222101,814765
2021-09,225701,305094,60810,823255
2024-08,165483,278347,237732,134751
2022-06,462308,91678,207457,533812
2024-04,219301,367914,78611,659301
2022-12,370892,294355,266464,235269
2022-06,695516,479590,236378,137911
2025-03,491664,78894,124846,802856
2022-10,516875,234414,169702,881218
2022-01,722201,273462,114914,137844
2024-10,644582,351629,69410,399898
2024-02,668851,67383,193614,162784
2023-01,742784,321583,256567,816584
2023-06,528260,142281,47039,805570
2025-11,607254,200593,99484,258751
2024-05,662436,218790,276320,597865
2024-12,94778,204961,85075,856163
2021-10,412642,248496,86934,593111
2022-11,418960,403845,63831,96942
2024-11,103328,479666,142366,504239
2021-05,250334,441881,63956,625080
2024-02,637192,241524,306330,822574
2023-09,561863,277835,155442,643598
2024-11,50337,82837,94613,645226
2023-12,218201,483702,357802,741567
2023-07,431290,274130,294823,520002
2024-11,191552,451093,196289,320582
2023-01,374288,411019,304683,266211
2024-02,370221,405815,351131,639251
2023-02,280419,219016,57031,458218
2025-02,598551,57026,174290,719152
2023-06,401818,37169,333156,333775
2021-04,726338,109997,189034,612980
2021-06,644421,388180,88965,255906
2025-07,286343,392559,187086,245767
2023-10,490819,456609,362834,856222
2021-08,529191,362687,359040,609748
2023-09,320728,362673,233346,113409
2024-09,574545,289139,314369,187677
2023-05,295758,297695,89520,515290
2022-01,490663,480082,279637,795223
2024-07,427713,407202,260413,104924
2021-05,162273,274953,222402,448492
2025-10,161416,457508,225477,392501
2023-06,379957,316646,47218,890193
2025-01,413101,320320,394565,157983
2023-03,264395,266086,60315,792923
2022-11,411017,61851,274657,223646
2021-05,773338,497447,235996,826556
2021-06,376000,251182,102522,95824
2022-06,190726,374662,26076,404841
2022-09,544626,132874,216440,259523
2022-07,142723,340642,294552,407659
2024-09,254543,460947,82301,86271
2025-02,693335,278354,187497,125103
2022-11,595881,59404,350770,778646
2023-12,226404,428821,46549,355798
2024-01,723933,266327,162861,771002
2021-04,510318,70364,33715,109590
2021-08,490889,121140,199811,638635
2022-01,614865,257479,185747,280788
2023-03,768196,269836,134402,590181
2022-10,628326,42660,338839,194519
2021-06,72616,137158,279026,772491
2024-07,228794,321575,178968,643739
2023-12,631831,58194,31657,197444
2023-06,159380,257931,171166,587460
2021-03,298055,70132,260483,106100
2025-03,449036,395421,156835,339252
2024-06,692701,413749,26484,94669
2022-11,210380,304668,58552,411062
2024-08,478099,125168,21111,93484
2025-09,441371,214601,243714,185869
2021-08,715728,57127,365560,66204
2023-05,137963,82274,196839,878845
2021-08,704200,339615,282917,894858
2024-07,330963,244774,45296,792720
2023-02,380656,370011,157461,375589
2025-12,114312,97596,33580,484906
2025-11,96153,210426,248624,717073
2021-03,236961,263575,162048,235053
2022-06,88448,469063,166614,199120
2025-05,325124,274454,83868,622097
2023-08,538871,174639,96202,150121
2024-04,416100,334935,215699,592729
2021-12,198056,262076,240420,816529
2025-05,472675,76941,357604,183006
2024-06,220485,123784,359211,419277
2023-05,604358,487940,313781,252232
2022-02,798781,491947,248775,409918
2023-12,379760,345775,197238,871585
2024-05,554629,467325,162034,517081
2022-02,572944,115413,175281,636168
2024-09,469272,257210,343193,617545
2022-11,413438,269642,175039,448737
2021-11,444621,128332,109998,644604
2025-10,319602,86045,269717,135528
2021-11,548412,445640,260509,115798
2025-05,265185,330403,360665,187192
2023-06,65362,356779,358710,572305
2024-03,193670,312508,327621,138553
