experiment_id,pricing_variant,price,conversion_rate,experiment_date
31,B,999,0.327,2021-08-25 03:58:08
7438,B,999,0.254,2020-08-05 02:49:49
4224,B,999,0.227,2019-01-10 04:02:31
7845,B,699,0.302,2022-01-13 15:51:53
4832,B,999,0.146,2024-09-11 04:14:43
468,A,499,0.153,2024-04-30 14:03:47
6496,B,499,0.201,2023-09-13 16:27:47
2551,B,499,0.143,2022-03-12 04:38:36
2510,A,499,0.202,2023-02-23 00:47:43
6222,A,999,0.221,2024-05-10 16:09:08
4566,B,499,0.102,2022-09-06 09:53:16
9544,A,499,0.122,2024-03-25 00:28:26
4164,B,999,0.252,2023-06-08 05:51:35
3354,B,699,0.111,2020-03-26 11:58:01
5763,B,699,0.327,2023-03-11 13:47:38
9003,B,699,0.218,2020-07-21 22:33:53
9476,A,499,0.148,2022-12-23 18:48:38
6924,B,699,0.256,2021-08-26 08:49:45
1313,A,699,0.126,2019-12-14 06:16:07
7894,B,499,0.159,2022-08-04 18:14:11
172,B,999,0.104,2024-10-22 06:05:13
2153,B,499,0.232,2022-01-10 17:44:03
5166,B,999,0.308,2020-02-29 06:14:57
7035,A,999,0.3,2022-12-22 18:19:00
4024,B,499,0.285,2024-09-13 04:11:44
3888,A,699,0.303,2024-03-26 05:28:25
8587,B,999,0.282,2021-12-25 23:23:13
8954,B,699,0.317,2022-11-26 05:42:59
1494,A,499,0.054,2023-02-27 17:26:51
7474,A,499,0.08,2022-04-22 18:23:40
7704,A,999,0.326,2022-03-09 05:40:00
2004,A,999,0.158,2021-08-05 09:47:12
5701,A,699,0.134,2023-05-30 22:06:03
471,A,499,0.289,2019-01-24 13:20:18
4139,A,499,0.312,2022-04-13 06:32:39
1964,A,999,0.271,2022-07-28 22:41:44
4745,B,999,0.077,2022-04-29 10:39:50
6561,B,499,0.21,2019-01-02 05:02:51
8224,B,699,0.206,2024-11-02 14:02:40
9574,A,699,0.143,2023-10-08 08:57:31
6388,B,499,0.108,2018-12-25 05:22:45
4275,A,499,0.328,2018-12-21 01:59:56
950,A,499,0.082,2020-12-07 14:25:07
5477,A,699,0.111,2020-03-18 06:20:55
7033,B,699,0.235,2018-01-23 09:52:31
602,B,699,0.077,2021-11-17 14:34:14
722,A,499,0.202,2020-03-28 17:56:59
8918,A,699,0.125,2024-05-07 21:40:45
1552,B,499,0.198,2021-01-24 11:55:20
9418,B,999,0.318,2023-04-28 22:49:35
1935,B,499,0.189,2019-03-10 22:39:01
1742,B,999,0.146,2020-11-01 09:14:33
8026,A,499,0.193,2024-08-31 15:06:49
3719,B,999,0.12,2018-10-03 23:35:19
9890,A,499,0.287,2021-10-16 01:18:05
6214,B,999,0.238,2022-05-05 09:37:45
349,A,999,0.062,2019-01-03 14:30:04
1396,B,999,0.061,2024-03-16 03:19:45
4442,A,699,0.091,2023-09-18 03:15:07
2735,B,499,0.068,2024-04-20 10:59:48
9412,B,999,0.155,2024-08-25 01:45:33
7750,B,499,0.097,2023-11-21 00:02:52
9747,B,499,0.34,2024-12-19 14:26:06
9516,A,999,0.324,2022-04-21 03:21:22
3619,B,999,0.258,2022-11-07 08:12:46
6221,B,699,0.302,2023-09-17 07:22:11
6693,A,999,0.309,2018-11-11 13:16:30
6136,B,499,0.27,2021-05-24 01:52:43
6698,A,699,0.288,2023-11-24 05:54:15
8829,A,699,0.289,2020-12-24 04:32:36
8823,A,499,0.298,2022-06-04 03:40:56
6691,A,699,0.217,2022-07-04 20:47:34
3709,B,699,0.183,2021-01-24 17:52:46
886,B,499,0.242,2024-03-17 05:03:22
7642,A,499,0.123,2018-01-23 00:48:29
9621,A,699,0.337,2021-10-01 12:59:22
5895,B,699,0.124,2020-07-25 02:23:26
7101,B,699,0.082,2018-02-26 15:09:44
4682,A,699,0.15,2023-12-03 12:40:49
1587,A,699,0.32,2020-02-22 07:45:53
1742,B,699,0.148,2018-06-05 08:02:32
881,B,699,0.182,2023-11-24 10:46:09
2916,A,999,0.308,2022-05-29 16:09:06
9734,A,499,0.328,2019-01-21 14:41:25
4279,B,499,0.093,2021-04-26 04:22:24
9941,A,699,0.069,2024-03-17 17:31:17
7978,B,699,0.328,2018-12-28 05:15:18
7466,A,699,0.336,2018-11-19 02:57:31
2457,A,699,0.243,2020-06-20 06:35:24
2582,A,499,0.07,2019-12-31 14:26:16
6371,A,699,0.1,2019-09-03 23:56:24
3305,A,699,0.236,2023-10-29 14:52:38
8132,B,699,0.078,2024-05-30 06:23:10
305,B,499,0.259,2022-02-13 04:18:11
5818,A,499,0.062,2023-08-23 10:06:18
1966,B,999,0.286,2024-07-19 03:51:07
8159,B,499,0.21,2024-04-29 00:27:56
5326,B,499,0.277,2020-09-20 03:38:15
985,B,999,0.221,2022-11-18 18:06:55
6724,A,699,0.236,2024-09-21 12:37:31
7884,B,499,0.245,2019-07-09 01:22:12
121,A,699,0.25,2022-05-01 05:44:14
8272,A,499,0.327,2018-08-09 22:14:54
7082,B,699,0.201,2024-06-02 07:13:49
1841,A,699,0.2,2019-11-17 05:55:22
3526,A,499,0.054,2019-07-19 12:28:36
9329,B,999,0.204,2024-11-24 13:44:43
3810,B,699,0.139,2024-01-18 18:17:03
5197,A,499,0.339,2020-02-19 18:24:09
2302,A,699,0.119,2023-05-12 12:29:23
7683,A,499,0.121,2022-08-04 10:16:45
9000,A,499,0.076,2020-08-08 09:31:19
7323,B,699,0.287,2022-02-22 18:59:40
182,B,999,0.313,2018-02-10 14:42:01
7197,B,499,0.061,2018-10-15 07:01:04
3720,B,499,0.253,2024-05-29 11:25:36
9258,A,499,0.141,2019-09-20 04:13:35
2004,B,499,0.203,2022-05-04 11:30:08
8233,B,699,0.315,2020-04-12 23:16:42
7375,B,999,0.295,2022-10-27 02:00:08
1779,A,499,0.22,2021-08-18 19:15:58
9977,A,999,0.336,2023-05-05 11:42:42
8540,B,999,0.207,2022-05-14 02:47:09
8467,A,499,0.244,2023-07-13 09:07:38
2685,A,499,0.156,2021-05-24 12:28:47
9831,B,499,0.305,2024-05-21 14:28:15
6260,A,499,0.074,2021-09-24 12:46:22
8079,B,999,0.216,2024-04-14 06:48:18
4472,A,999,0.117,2020-10-25 22:08:33
2699,B,499,0.2,2019-02-16 00:09:26
6972,A,999,0.065,2024-01-14 11:55:27
9524,B,999,0.101,2020-10-31 13:04:38
7759,A,699,0.101,2019-03-23 11:44:35
6466,B,499,0.317,2023-05-02 09:01:42
2115,B,699,0.125,2023-04-16 04:04:00
340,A,999,0.059,2024-07-20 22:48:22
1744,A,499,0.228,2024-09-02 14:43:07
7521,B,999,0.175,2023-08-21 06:46:02
538,A,499,0.079,2022-03-13 07:00:53
2075,A,699,0.231,2023-11-06 22:05:03
3925,B,999,0.201,2021-05-26 09:24:44
2275,B,499,0.335,2018-06-01 00:35:46
490,A,499,0.332,2021-08-14 15:51:50
5333,B,999,0.157,2021-09-22 08:47:46
7936,B,499,0.053,2023-03-13 19:03:28
4874,A,699,0.209,2021-05-18 15:43:38
5111,A,999,0.346,2023-11-17 15:36:45
948,B,499,0.216,2023-04-04 20:34:22
1338,A,999,0.343,2019-06-08 18:51:06
9694,A,499,0.239,2019-03-18 07:23:06
6486,A,999,0.16,2021-10-14 11:47:53
1878,B,499,0.172,2021-04-11 09:43:08
223,A,699,0.145,2022-02-17 07:21:28
8295,B,999,0.144,2022-04-30 22:42:58
8747,B,499,0.281,2018-11-01 01:17:57
8829,B,699,0.104,2020-07-24 14:03:02
1212,B,699,0.149,2021-03-08 16:30:12
4641,A,699,0.348,2018-12-20 09:30:14
4926,B,999,0.294,2021-11-01 14:02:01
807,B,999,0.153,2021-02-07 10:11:52
1902,B,699,0.252,2018-02-18 09:03:57
4400,B,699,0.254,2023-07-29 15:00:34
8855,B,699,0.332,2018-01-19 02:06:42
1144,B,999,0.215,2018-09-30 16:41:13
6051,B,699,0.156,2018-02-02 17:15:47
2418,A,499,0.218,2022-09-02 05:21:04
5740,A,499,0.24,2023-03-10 12:24:10
6147,A,999,0.256,2021-09-20 17:11:42
361,A,699,0.2,2023-10-01 04:01:02
9533,B,499,0.215,2021-01-22 20:33:51
7627,A,999,0.135,2024-07-20 05:13:21
4104,A,999,0.344,2020-02-09 12:37:03
1112,B,999,0.304,2018-04-24 14:49:36
3307,B,699,0.174,2019-02-08 13:05:12
3768,A,699,0.086,2019-06-16 14:35:09
3932,A,999,0.263,2023-05-18 15:35:18
607,A,999,0.252,2022-10-05 22:11:43
4061,A,499,0.203,2020-07-11 12:23:29
5853,B,999,0.33,2018-11-24 18:54:53
3095,A,499,0.084,2018-09-21 02:33:05
2845,B,999,0.293,2023-08-18 18:48:02
708,A,699,0.053,2023-10-16 10:02:47
2294,A,699,0.099,2018-07-02 13:08:08
2344,A,499,0.106,2021-02-14 14:01:49
7149,B,499,0.263,2024-03-15 01:22:33
4212,B,699,0.317,2024-03-31 08:38:02
3730,A,499,0.175,2020-11-24 00:33:54
7707,A,499,0.346,2018-02-24 14:46:29
3768,B,699,0.142,2020-10-01 15:05:15
7065,A,699,0.133,2023-08-18 05:34:28
2844,A,999,0.054,2020-02-19 14:48:05
8617,B,999,0.211,2024-09-06 22:52:56
1194,A,699,0.252,2024-11-17 13:58:08
5681,B,499,0.121,2021-03-18 23:39:06
4652,B,999,0.26,2023-03-31 15:00:48
165,A,699,0.296,2021-07-14 04:50:00
1420,B,499,0.249,2021-04-28 20:26:56
974,B,999,0.165,2022-10-27 03:13:51
4343,B,999,0.081,2020-08-29 04:20:55
9399,A,699,0.193,2023-05-04 14:32:55
682,A,699,0.188,2018-11-01 11:40:01
4261,A,699,0.242,2024-05-07 07:32:00
5352,B,699,0.131,2020-09-15 03:00:48
7094,B,699,0.133,2022-05-30 15:15:21
3255,B,699,0.247,2019-02-02 04:53:09
7127,A,499,0.341,2022-04-11 10:28:15
2670,B,999,0.232,2023-01-10 23:49:31
1839,A,699,0.1,2021-06-07 15:20:29
368,A,499,0.339,2023-08-13 03:43:46
9189,A,499,0.218,2018-06-23 10:30:15
6572,B,499,0.299,2020-11-02 09:01:42
2620,A,999,0.058,2019-04-04 20:05:11
5826,A,999,0.29,2024-03-10 21:06:03
4615,A,499,0.332,2021-06-05 01:11:19
9827,B,999,0.096,2023-09-25 05:13:05
6859,A,499,0.104,2022-02-18 12:46:19
8628,B,499,0.25,2022-05-16 18:27:31
921,B,699,0.307,2018-01-09 21:53:31
9600,B,699,0.308,2018-07-20 02:22:21
2467,B,999,0.236,2019-10-24 16:48:57
8454,A,699,0.309,2019-10-23 07:12:50
250,A,499,0.059,2019-02-11 12:45:40
5699,B,999,0.101,2018-04-03 11:57:43
3114,B,499,0.086,2023-03-02 20:20:30
9813,A,999,0.304,2022-07-07 07:52:34
7408,B,699,0.321,2020-05-31 02:07:52
8167,A,699,0.166,2019-08-06 01:37:55
4540,B,699,0.068,2020-01-17 21:35:05
8582,A,999,0.282,2024-02-26 22:01:24
106,B,699,0.261,2019-07-23 12:16:02
135,B,999,0.142,2024-07-11 17:21:27
281,A,999,0.058,2018-05-15 06:46:58
5774,B,499,0.141,2019-07-30 18:14:52
3877,B,499,0.298,2023-07-18 06:41:01
4252,A,699,0.13,2023-01-23 22:55:03
8994,A,499,0.292,2020-01-26 03:15:54
8995,A,699,0.324,2024-11-04 01:43:33
9327,A,699,0.228,2023-04-27 11:31:12
6372,A,999,0.201,2023-05-19 04:08:04
3444,A,499,0.122,2019-09-21 19:37:41
4718,B,699,0.247,2019-07-08 22:25:32
5899,A,699,0.22,2022-01-25 22:05:30
6710,B,499,0.224,2024-08-06 15:58:14
8915,A,999,0.189,2023-10-09 07:30:11
8191,B,999,0.062,2018-11-14 19:49:21
4033,B,699,0.127,2022-10-17 12:52:05
9595,B,499,0.076,2019-01-27 22:14:11
1090,A,499,0.318,2020-08-10 18:07:52
5445,B,699,0.057,2021-10-07 14:32:06
2182,A,999,0.289,2018-10-01 02:23:36
3937,A,999,0.175,2020-05-17 04:23:18
3463,B,999,0.095,2018-01-21 03:35:08
384,B,699,0.194,2024-01-12 15:33:09
3555,B,699,0.218,2019-07-09 17:44:34
9712,B,699,0.293,2018-04-13 11:35:06
9612,A,499,0.31,2020-10-12 02:06:10
2327,B,699,0.203,2021-09-20 12:11:30
8675,A,699,0.338,2022-11-05 04:41:02
7161,B,999,0.055,2024-11-15 06:43:50
2609,B,499,0.157,2020-06-06 06:15:24
623,A,699,0.169,2018-03-26 10:28:16
1153,B,999,0.281,2021-01-07 13:35:22
3024,B,499,0.293,2018-07-05 22:43:46
7973,A,699,0.157,2018-11-30 00:01:04
7784,A,699,0.259,2024-06-18 07:45:05
7060,B,699,0.24,2019-11-04 06:27:16
467,A,499,0.32,2023-01-13 21:15:58
8713,A,999,0.077,2018-01-21 04:08:47
8622,A,699,0.35,2018-03-19 13:38:54
8736,B,499,0.218,2019-01-06 06:54:45
2599,A,699,0.343,2022-04-17 21:43:42
8355,A,999,0.082,2020-07-26 00:56:48
1589,B,499,0.262,2020-08-30 20:27:35
718,A,999,0.144,2022-08-21 22:22:16
9832,B,999,0.338,2019-12-30 18:08:45
7557,A,499,0.123,2021-03-13 13:15:51
5524,A,499,0.066,2019-04-05 04:07:39
9655,A,999,0.162,2018-12-26 13:03:29
7048,B,499,0.335,2018-06-16 08:01:00
212,A,499,0.282,2024-12-04 10:39:48
2534,B,999,0.057,2021-12-31 08:47:10
5627,A,999,0.205,2022-01-03 08:27:31
10,B,499,0.349,2022-09-09 11:12:03
3081,B,499,0.341,2020-07-18 11:55:53
3560,A,699,0.084,2023-11-11 01:48:15
7953,B,499,0.142,2022-03-19 23:48:59
4421,B,499,0.29,2023-07-02 02:15:43
6257,A,499,0.126,2020-05-13 14:15:03
7449,A,499,0.136,2019-01-04 12:22:32
2878,A,999,0.277,2021-05-04 04:50:31
2583,A,999,0.345,2023-11-25 20:19:39
8638,A,999,0.342,2024-09-11 11:50:49
6983,B,499,0.31,2020-01-19 01:49:23
3151,A,999,0.148,2020-12-17 15:24:00
6610,A,699,0.15,2018-04-17 02:33:47
7613,A,999,0.205,2020-02-08 20:15:25
4618,B,499,0.203,2024-02-22 17:17:10
1475,A,499,0.112,2018-12-14 02:20:13
5331,A,699,0.198,2024-02-18 00:48:15
4321,A,999,0.255,2019-01-01 15:30:25
3317,B,699,0.104,2022-10-06 15:48:53
1523,A,499,0.151,2021-12-14 11:08:20
4616,A,999,0.156,2024-02-03 13:33:06
8588,A,999,0.294,2020-04-19 05:05:44
220,A,499,0.18,2024-02-15 16:23:43
3095,B,999,0.136,2018-08-11 05:13:35
5364,A,699,0.224,2021-01-23 23:27:59
7411,A,999,0.091,2022-03-25 21:53:25
9506,B,699,0.228,2021-01-10 12:15:18
3364,B,499,0.122,2022-08-02 22:16:27
5908,A,999,0.311,2021-03-01 06:01:12
5986,B,499,0.297,2021-10-14 09:07:12
9860,A,499,0.131,2019-08-16 03:00:57
6912,B,699,0.191,2018-03-30 23:27:31
3725,A,999,0.22,2024-10-20 05:46:06
3926,B,699,0.257,2023-05-07 22:41:13
3338,B,499,0.163,2024-03-26 05:50:03
8814,A,499,0.119,2023-02-27 19:32:18
1186,B,499,0.183,2019-02-08 19:35:33
8996,A,499,0.297,2021-01-15 11:50:24
6159,A,699,0.124,2019-12-12 04:37:36
1548,B,699,0.186,2022-11-26 02:32:08
7760,A,499,0.327,2021-06-14 20:32:14
6545,A,999,0.188,2021-09-11 02:09:57
2754,A,999,0.328,2019-04-05 18:13:13
1082,A,999,0.33,2019-12-20 03:53:58
2214,B,699,0.219,2021-09-24 09:17:48
9205,A,999,0.108,2022-08-02 05:38:38
3525,A,999,0.083,2020-12-27 18:05:41
338,B,999,0.1,2020-02-13 16:01:07
2929,B,499,0.24,2018-02-09 05:31:14
5822,A,699,0.259,2023-01-09 21:14:38
722,A,499,0.332,2020-06-20 10:16:30
3538,B,999,0.317,2020-04-13 17:03:25
517,B,699,0.247,2021-08-08 05:38:39
6696,A,699,0.161,2020-06-16 11:11:15
6080,B,999,0.101,2018-02-07 09:37:46
3843,A,999,0.314,2018-05-03 12:13:38
7836,B,699,0.19,2018-02-13 12:29:54
7662,B,999,0.174,2024-01-11 16:20:48
1445,A,999,0.242,2021-11-08 06:13:21
13,A,699,0.234,2021-10-17 08:57:56
4242,A,499,0.162,2023-10-20 18:04:21
783,B,699,0.213,2019-01-23 15:05:01
1116,A,699,0.151,2023-05-29 00:13:37
4525,A,499,0.237,2019-08-08 10:26:50
3953,A,699,0.294,2018-04-01 06:49:35
9796,B,999,0.173,2020-07-13 23:42:45
6617,B,999,0.194,2018-03-15 04:36:00
2114,B,999,0.224,2022-09-22 09:36:30
34,A,999,0.052,2018-03-30 11:48:32
7853,A,499,0.119,2020-01-23 20:46:52
2384,B,699,0.106,2021-06-30 16:18:14
8844,B,699,0.332,2024-03-24 17:11:47
5513,B,699,0.291,2021-10-25 21:09:25
2428,A,499,0.21,2023-07-25 04:28:54
9710,A,699,0.336,2022-02-27 07:16:49
651,B,499,0.343,2020-01-23 02:55:16
1675,B,699,0.25,2024-04-22 20:35:50
5001,A,499,0.316,2021-01-10 11:42:48
2488,B,999,0.093,2020-10-07 14:18:44
6752,A,699,0.19,2023-07-17 01:34:03
678,B,999,0.236,2023-02-05 13:44:05
2614,A,699,0.139,2023-01-07 06:33:44
7056,B,999,0.203,2023-10-23 23:36:32
6502,B,699,0.09,2021-03-22 01:26:16
6856,A,499,0.316,2023-11-25 02:39:23
6694,A,499,0.13,2018-11-29 06:29:36
6011,B,499,0.051,2022-09-16 11:36:06
8019,A,499,0.292,2023-04-30 15:43:21
7123,B,499,0.35,2018-10-27 10:08:17
9734,B,999,0.129,2019-10-23 13:55:56
3888,B,999,0.25,2023-01-07 22:47:19
9441,B,499,0.345,2023-07-17 22:10:49
3506,B,699,0.159,2024-01-17 07:35:54
123,A,999,0.24,2020-12-09 13:59:44
3426,A,499,0.287,2023-10-15 03:21:43
5293,A,999,0.182,2021-03-20 20:25:51
5248,A,999,0.074,2021-12-10 09:26:53
5960,B,699,0.07,2021-08-31 03:01:51
9383,A,999,0.28,2024-03-08 13:15:39
5978,A,499,0.322,2018-09-23 23:51:47
6499,B,699,0.341,2020-11-11 01:07:27
9338,B,999,0.226,2019-12-08 23:40:18
339,A,999,0.075,2023-10-09 13:10:01
7878,A,999,0.195,2022-08-21 05:58:16
5065,B,699,0.126,2020-08-31 03:19:04
3609,A,699,0.087,2018-05-10 20:28:44
8362,B,999,0.267,2023-07-15 17:08:59
689,B,999,0.145,2019-01-01 06:12:52
5911,A,999,0.137,2020-05-25 23:31:08
3476,A,699,0.175,2018-03-30 06:18:01
3770,A,499,0.141,2020-08-20 12:59:40
8585,A,499,0.249,2024-10-26 01:40:38
2290,B,699,0.066,2018-07-09 03:00:52
5214,B,499,0.205,2018-05-28 17:44:14
420,A,999,0.199,2021-01-24 17:21:13
1385,A,999,0.312,2023-09-09 10:16:10
5383,A,699,0.119,2020-06-06 18:13:44
6655,B,499,0.344,2024-10-07 11:17:59
1696,B,499,0.176,2018-09-28 00:29:34
6403,B,499,0.051,2019-05-14 18:41:40
3524,B,499,0.218,2018-12-13 14:53:22
8573,A,699,0.288,2018-05-08 22:43:31
861,A,699,0.159,2022-01-29 14:23:44
5538,A,499,0.224,2023-06-30 22:08:47
9951,B,499,0.14,2020-03-25 19:39:49
8311,B,699,0.256,2020-10-21 05:26:08
7231,A,699,0.178,2018-10-05 14:51:12
8884,A,699,0.27,2018-12-09 05:36:58
8070,B,999,0.123,2021-07-06 22:03:44
7800,A,999,0.261,2022-01-01 20:59:04
7677,A,999,0.116,2022-11-22 14:23:57
3908,B,699,0.206,2019-12-08 02:14:29
8320,B,699,0.051,2020-07-17 06:33:18
7128,A,999,0.151,2022-10-05 10:44:58
3800,A,499,0.246,2018-01-27 06:00:19
2034,A,699,0.241,2021-12-12 23:02:33
9061,A,999,0.159,2024-12-04 11:09:23
1431,A,499,0.179,2022-02-12 09:44:25
8948,A,999,0.299,2020-04-12 09:35:51
7965,A,499,0.26,2023-08-20 00:47:51
4191,A,999,0.213,2022-03-04 22:58:43
9399,B,499,0.33,2024-02-26 19:41:42
6704,A,699,0.295,2018-05-11 05:43:07
644,A,999,0.313,2019-12-09 03:35:13
7327,A,999,0.146,2020-09-11 20:29:37
580,B,499,0.254,2024-07-02 17:09:33
546,B,499,0.243,2020-04-04 04:25:03
9594,A,699,0.286,2019-09-08 09:08:08
6773,B,999,0.098,2024-03-27 15:18:37
200,B,499,0.117,2021-03-05 14:27:01
6000,B,699,0.156,2021-01-27 23:39:22
8787,A,499,0.089,2021-01-12 12:53:36
6793,B,999,0.257,2022-06-14 16:49:34
9343,B,499,0.344,2020-05-20 21:16:46
5685,A,999,0.318,2022-10-01 14:38:53
1159,A,499,0.217,2024-09-20 06:52:49
8609,B,999,0.095,2019-01-06 08:00:53
5691,B,499,0.163,2018-06-26 00:01:16
4800,B,499,0.33,2020-01-03 21:53:13
7104,A,499,0.056,2024-01-03 10:39:46
7830,B,999,0.12,2024-12-14 09:04:42
248,A,999,0.228,2022-02-25 02:19:33
723,A,499,0.304,2024-10-30 22:19:38
2876,A,499,0.291,2024-10-28 03:34:27
6087,B,699,0.249,2019-12-14 03:53:05
6113,B,999,0.294,2023-03-24 08:33:47
5187,B,699,0.134,2018-10-11 09:48:47
6628,B,699,0.193,2023-04-12 15:28:39
9107,B,499,0.24,2019-06-15 17:46:50
9555,A,699,0.112,2024-12-10 18:19:33
9811,B,499,0.299,2021-03-07 05:54:09
3818,A,999,0.185,2018-10-11 13:11:14
4499,A,999,0.32,2018-08-29 07:14:36
55,A,699,0.139,2019-04-30 11:50:48
6626,A,999,0.145,2024-07-29 10:45:09
4265,A,699,0.321,2024-10-03 11:04:23
4769,B,699,0.095,2021-08-22 17:01:15
9538,A,499,0.236,2024-11-18 09:04:15
8861,B,699,0.183,2021-10-26 11:27:23
5429,B,999,0.263,2021-11-06 05:12:11
7217,A,499,0.279,2019-12-14 00:51:32
8193,B,499,0.073,2021-05-17 06:20:32
8904,A,499,0.11,2023-04-18 23:12:08
9676,A,499,0.312,2021-03-13 22:22:37
9745,B,999,0.282,2021-05-13 00:19:38
141,A,499,0.26,2024-09-14 13:57:52
3502,B,699,0.107,2023-06-18 10:23:54
2846,B,699,0.277,2022-02-26 00:01:54
7864,B,999,0.279,2019-04-13 02:47:23
5323,A,999,0.342,2023-07-26 23:17:06
8129,B,499,0.11,2021-09-30 02:43:37
6761,B,499,0.324,2018-12-23 22:17:10
4830,A,499,0.292,2020-07-07 16:38:34
3031,A,499,0.279,2020-05-29 02:04:54
3796,A,999,0.338,2021-04-11 09:57:49
2307,B,999,0.147,2021-05-24 12:34:42
6064,A,499,0.105,2018-03-28 15:03:05
3797,A,499,0.297,2022-07-17 05:40:30
7123,B,999,0.111,2019-05-20 00:30:37
4195,A,699,0.281,2018-08-24 23:43:27
6930,B,699,0.074,2019-10-10 12:42:14
