user_id,daily_active_minutes,sessions_per_day,feature_clicks,activity_date
30991,247,7,9,2019-06-17 14:22:02
32104,111,4,3,2022-02-21 02:53:41
8557,140,7,38,2021-09-04 17:38:27
29912,229,4,3,2021-05-31 20:59:20
38321,289,2,33,2023-05-16 18:29:26
31428,55,3,49,2024-10-21 07:28:57
49942,294,9,29,2021-10-07 09:36:12
37094,34,9,17,2021-10-02 00:23:59
27644,248,6,44,2023-01-10 20:21:57
21214,199,8,1,2024-02-19 15:13:07
43427,270,5,8,2024-09-26 22:11:58
25870,117,2,43,2018-07-25 02:11:25
22231,267,1,17,2023-11-23 23:26:36
33138,31,1,44,2021-03-20 01:45:36
20566,60,2,27,2024-09-09 20:43:17
37284,167,9,21,2021-09-08 02:59:02
34132,192,6,35,2022-11-03 18:01:53
42249,217,4,11,2023-04-24 23:53:23
37412,88,9,47,2022-07-28 11:34:39
26978,27,4,46,2024-11-10 11:56:56
42080,142,1,2,2021-01-05 13:52:51
32389,268,3,41,2018-04-16 09:34:42
31783,194,8,44,2023-12-02 20:34:35
4605,239,6,10,2024-10-25 23:25:02
17507,93,8,42,2020-05-01 08:50:07
25345,78,5,34,2021-06-27 16:37:25
42487,79,6,47,2022-03-28 21:22:01
11901,196,2,32,2019-04-04 06:59:59
31777,270,9,25,2018-12-26 14:39:52
35437,125,6,3,2018-09-22 07:40:50
35089,26,4,30,2022-05-09 21:30:19
34266,261,7,31,2022-02-27 22:06:36
3543,247,7,7,2019-12-03 13:00:32
40108,235,4,26,2018-12-30 00:18:26
34906,44,1,22,2021-03-09 02:06:37
37986,297,4,47,2021-04-26 17:17:27
20293,90,9,49,2018-09-09 10:44:43
576,104,1,2,2020-03-29 23:51:45
27915,44,3,27,2021-11-13 09:21:43
28882,125,8,17,2023-06-18 12:03:28
2518,9,5,21,2018-04-10 17:18:42
14357,43,6,10,2018-03-05 15:08:46
16763,270,4,0,2019-11-05 11:12:20
35136,197,2,36,2022-11-26 01:05:11
317,265,4,25,2024-04-15 04:17:05
28095,70,1,10,2018-09-03 00:38:46
38452,113,4,23,2023-12-21 20:06:52
31452,223,2,4,2020-06-12 13:54:42
8395,132,6,47,2024-11-30 22:17:41
8936,60,1,19,2020-01-22 22:36:18
24513,121,1,19,2018-05-08 05:08:12
34697,59,9,15,2023-02-04 06:38:40
3121,3,6,31,2018-10-19 12:42:31
20443,274,4,19,2021-02-10 04:55:26
48700,148,7,32,2018-02-13 21:23:08
6824,171,4,33,2023-05-27 22:10:56
46918,7,6,47,2020-03-25 07:41:50
49009,182,8,25,2022-02-25 15:13:54
37470,115,5,16,2018-12-14 10:33:50
37299,298,4,19,2018-08-24 10:31:51
45511,218,8,10,2024-07-14 00:54:11
29547,228,5,3,2018-10-01 19:33:33
3549,242,9,32,2019-10-25 14:10:26
34529,188,3,7,2022-09-22 08:10:03
6849,31,3,9,2021-08-14 23:30:06
16432,209,4,47,2023-12-19 02:56:59
11506,263,4,48,2023-11-15 14:27:26
32152,174,2,5,2019-06-09 22:43:33
41258,30,2,35,2019-06-21 21:53:46
18990,170,8,25,2019-09-09 06:09:20
24693,30,5,10,2023-03-01 02:28:16
30656,187,4,35,2022-02-25 05:53:43
37853,174,4,32,2018-04-24 16:11:58
6212,268,6,9,2024-11-23 07:01:54
1422,207,7,12,2018-07-28 06:50:51
44982,87,7,38,2024-02-01 04:15:36
24277,22,8,0,2023-12-30 04:29:56
45748,87,4,29,2021-01-03 03:34:28
9811,264,2,39,2019-06-03 01:03:16
32570,146,7,18,2018-07-15 04:05:44
21634,297,2,10,2018-10-25 11:49:01
11895,144,7,21,2023-07-30 03:51:58
2894,28,8,37,2024-06-27 23:20:38
15713,41,8,32,2021-05-24 11:56:10
37132,109,8,26,2022-10-12 03:40:59
33513,240,8,43,2022-02-13 01:09:31
32325,67,9,46,2024-02-12 10:15:53
16116,247,2,34,2018-09-01 15:10:12
7392,40,4,39,2018-08-03 06:35:05
40178,229,9,14,2022-11-29 22:52:23
26848,125,8,16,2022-01-29 15:36:42
42972,290,9,18,2018-04-18 19:22:21
16398,56,3,1,2021-03-26 02:12:20
30791,276,3,10,2023-08-19 16:43:26
13279,200,2,28,2018-12-13 10:08:12
2215,299,2,20,2023-06-21 08:40:00
22125,25,2,26,2020-09-21 22:10:57
27831,242,8,37,2022-09-06 00:05:49
6666,111,9,26,2019-04-13 18:53:19
42907,55,1,35,2019-11-10 17:29:47
35945,282,5,23,2020-11-22 05:43:36
12686,241,2,28,2023-03-13 19:06:32
44373,223,9,39,2021-08-26 04:41:56
20430,25,3,22,2023-01-03 23:00:00
23000,9,4,37,2019-06-13 10:35:27
42643,55,5,41,2023-08-04 02:32:39
16570,22,2,6,2022-07-17 15:05:57
19034,45,8,28,2018-06-03 23:43:05
10016,28,1,19,2021-11-05 23:30:14
16835,255,6,41,2024-09-14 00:49:48
24410,267,4,33,2018-01-05 02:53:03
19100,193,3,23,2020-10-26 17:48:06
22007,61,6,36,2018-09-16 20:25:25
35569,268,7,41,2021-09-10 23:28:06
47839,189,2,28,2018-08-30 12:29:16
16274,70,7,36,2023-01-20 15:46:18
24808,265,3,5,2020-09-11 14:33:51
27956,287,2,1,2023-06-19 01:32:45
17071,188,9,4,2019-09-16 19:14:27
8078,112,4,43,2022-12-03 10:13:16
47561,54,6,11,2021-10-06 19:46:37
27440,287,3,44,2021-06-06 04:49:47
34536,96,7,14,2019-04-19 04:42:17
10133,130,6,10,2019-03-21 03:29:24
7504,291,3,39,2023-06-23 03:31:19
47617,194,2,34,2021-01-30 07:35:12
5349,250,1,9,2021-03-29 08:05:04
17256,279,6,15,2024-01-07 05:48:20
5904,278,9,31,2021-09-05 03:09:15
15737,89,1,35,2018-11-21 21:10:08
17704,86,6,17,2018-12-19 13:13:11
37260,52,5,17,2021-03-10 11:28:24
23695,267,8,11,2024-10-31 00:30:15
42647,295,4,39,2024-02-01 16:38:56
16143,208,8,10,2024-07-04 04:18:07
27769,134,6,48,2024-12-24 04:53:20
86,190,5,14,2022-11-24 10:09:52
42506,152,8,11,2022-02-19 20:05:41
3812,133,2,37,2022-09-27 19:05:45
40404,241,6,24,2023-07-13 18:58:19
5231,213,3,26,2023-05-23 15:20:47
40041,37,5,8,2021-11-09 10:37:56
33759,292,9,39,2021-08-09 15:26:15
18979,240,2,22,2024-06-10 23:20:13
42807,108,6,5,2018-11-04 13:16:56
3098,163,7,37,2024-10-05 08:47:07
35789,296,3,24,2023-10-16 14:21:47
17502,231,2,7,2018-08-04 20:20:08
46742,68,8,8,2023-09-28 23:40:45
16649,280,2,40,2023-01-29 13:19:50
2936,71,9,9,2019-01-30 06:53:52
20048,283,6,45,2018-07-18 13:55:51
37041,40,7,5,2024-02-12 20:11:37
11482,16,3,9,2023-10-20 16:28:14
28180,259,6,46,2024-12-22 03:00:29
15260,113,1,28,2021-10-21 05:14:53
31908,185,9,15,2019-08-07 09:43:36
18222,37,2,45,2023-10-20 20:23:01
14702,171,7,47,2018-09-23 20:03:38
38223,43,6,44,2019-04-07 01:05:31
3251,251,3,34,2019-04-19 19:45:45
24091,45,8,10,2020-03-25 02:52:09
27658,52,3,32,2024-11-25 07:20:25
21875,103,7,39,2019-02-13 09:44:59
11031,210,8,43,2018-09-28 20:32:11
45936,95,7,18,2021-09-10 07:05:37
39648,142,6,16,2018-07-25 02:01:06
40796,124,4,20,2019-10-25 21:05:24
42154,63,3,27,2024-04-08 05:51:36
5250,7,9,44,2023-10-10 11:17:53
38978,253,7,14,2018-04-06 18:56:08
24903,186,4,1,2024-06-18 12:39:55
16839,185,1,31,2023-02-11 15:49:47
46282,224,4,46,2019-04-08 20:19:56
27141,253,9,9,2024-09-12 10:43:42
26603,35,8,33,2018-06-20 03:34:36
17589,197,8,17,2018-09-21 17:37:22
5462,138,4,1,2022-03-18 17:36:56
24205,143,3,31,2022-08-04 08:33:29
35750,284,8,15,2021-03-30 05:59:12
10696,45,2,34,2021-02-17 10:08:47
39794,149,7,23,2024-01-23 23:01:35
38353,155,2,43,2021-10-25 02:45:12
31157,161,2,34,2019-11-03 05:38:39
7563,13,3,13,2019-12-05 13:12:22
11820,62,1,13,2019-04-10 15:41:51
29594,25,2,37,2019-01-06 15:45:14
27122,201,1,31,2019-08-14 20:59:56
40168,225,4,31,2019-09-06 09:33:20
31726,148,4,23,2023-08-17 21:47:40
46369,276,1,21,2024-09-04 05:50:06
4166,121,6,12,2021-04-29 07:53:17
39050,116,4,1,2023-11-24 18:32:05
6909,84,7,38,2022-03-08 23:24:28
47324,291,2,20,2019-07-22 11:37:31
7028,264,2,8,2021-07-15 00:03:20
29295,34,8,33,2018-09-03 23:29:27
21433,65,5,24,2018-10-14 03:16:11
5951,264,5,5,2018-03-04 01:38:20
29217,117,9,17,2022-06-28 07:02:58
36372,3,4,30,2019-07-11 08:35:15
36352,134,2,29,2018-12-25 10:08:40
21045,178,6,25,2018-04-17 16:10:14
39513,23,2,39,2020-05-29 16:04:58
37627,101,8,21,2022-02-07 19:00:48
9891,4,6,15,2019-11-28 11:35:30
14267,200,7,17,2023-09-22 21:39:52
2972,111,5,1,2022-04-15 16:28:15
22265,230,8,3,2023-03-18 11:14:30
45884,104,9,15,2021-02-20 07:10:37
46015,255,8,7,2024-05-25 04:29:49
5679,268,5,48,2023-12-26 20:14:01
25465,34,3,42,2018-04-23 23:33:13
32279,165,4,21,2023-10-18 07:58:20
13202,263,7,24,2020-04-27 13:55:37
40686,178,6,31,2021-04-19 19:03:14
47404,193,2,27,2023-04-11 10:21:52
963,188,8,19,2024-01-01 19:33:59
31358,51,8,42,2018-08-12 09:29:16
18206,231,5,26,2019-02-02 01:33:14
22323,257,5,30,2024-01-09 14:46:30
24139,249,6,13,2024-03-12 16:08:19
9634,35,5,41,2023-03-08 08:54:18
30814,208,6,49,2019-05-05 23:13:32
20307,17,4,14,2024-12-13 10:49:21
29629,255,7,35,2021-09-09 00:26:26
6695,99,4,22,2022-07-23 02:02:20
29249,249,5,45,2018-08-29 01:09:13
17308,142,9,25,2021-10-13 02:39:11
38166,295,2,27,2019-05-02 08:55:57
14507,113,7,33,2020-09-25 07:30:45
34410,278,5,41,2024-09-06 03:06:55
36219,295,7,28,2022-05-29 20:21:24
29778,59,2,44,2024-12-15 07:33:04
42048,183,4,25,2018-09-01 19:18:10
18287,238,5,45,2022-08-18 04:38:55
8431,145,1,13,2021-09-01 03:26:43
10644,212,4,26,2024-06-26 07:54:10
38726,173,2,14,2022-01-29 11:24:15
25179,103,7,31,2022-01-08 01:35:16
29352,148,1,41,2024-08-24 18:14:52
33387,80,7,31,2018-03-30 22:32:06
36475,221,6,28,2020-01-10 17:59:20
39618,195,6,8,2023-05-09 03:34:41
37401,2,1,34,2018-04-08 12:42:46
15996,200,2,4,2018-10-27 12:53:30
23050,15,1,4,2018-01-27 19:59:24
36958,143,8,32,2018-04-11 03:59:35
40937,265,7,36,2022-12-16 06:57:29
48949,289,1,36,2020-04-25 05:14:34
41436,89,4,13,2019-07-08 16:49:10
47172,109,9,4,2018-08-08 23:55:22
49110,172,9,38,2019-08-19 22:39:55
21121,117,5,34,2021-05-27 23:31:03
33973,63,2,40,2021-01-28 08:26:20
44127,62,2,9,2018-11-09 19:47:48
4024,199,5,36,2024-08-26 14:25:21
46534,125,7,17,2024-01-11 17:20:06
30042,142,3,32,2020-10-11 11:26:30
249,292,6,10,2023-06-15 02:04:14
25830,165,8,16,2019-07-19 19:47:47
34571,267,2,18,2023-06-01 21:10:26
230,108,7,19,2022-02-18 09:16:57
3387,181,8,9,2020-10-27 09:53:48
26532,26,8,24,2018-10-14 18:28:38
4952,281,3,9,2018-09-18 16:28:44
12929,73,6,39,2024-03-25 01:40:03
5905,208,6,28,2020-11-15 22:51:22
24684,110,5,39,2019-01-11 21:20:10
27105,269,6,33,2023-07-18 09:03:21
4781,281,2,47,2023-09-05 19:29:28
44131,282,9,22,2019-10-10 16:30:01
27724,82,2,49,2018-08-08 22:25:13
20757,238,8,13,2023-08-06 13:02:50
786,299,1,40,2018-03-28 18:23:12
49366,59,1,38,2022-12-20 11:43:56
33663,91,8,22,2022-11-26 17:47:54
30481,31,2,25,2021-01-14 23:30:12
46918,31,4,27,2021-08-27 03:13:30
45377,86,5,29,2023-08-17 21:46:35
37241,157,5,34,2022-04-02 11:18:49
45259,51,7,47,2022-01-27 05:46:40
38892,159,3,4,2022-12-28 20:43:31
49997,229,3,1,2019-08-23 12:32:29
46729,178,6,29,2024-10-06 03:08:25
45825,281,5,16,2022-03-01 08:46:00
11396,65,4,25,2022-07-30 06:43:43
48279,98,8,48,2021-02-17 12:01:13
34631,291,3,10,2023-05-17 19:46:40
19173,175,9,27,2024-02-20 20:36:07
48949,291,9,5,2018-05-16 11:15:48
23936,63,9,20,2023-04-02 00:09:22
45134,165,4,35,2023-02-04 23:20:04
4585,288,8,38,2019-04-03 16:45:28
32676,183,7,6,2024-06-18 22:54:26
1778,8,8,10,2024-08-22 08:46:21
43769,43,3,41,2018-06-08 23:52:49
7758,284,3,11,2018-08-10 20:41:05
37636,230,6,15,2022-08-31 16:00:24
38948,295,3,8,2018-07-07 15:45:49
34136,154,2,30,2022-07-29 16:34:41
31338,27,4,24,2021-07-23 10:22:16
24303,129,8,29,2019-01-03 22:45:10
23258,179,6,20,2023-06-27 15:37:23
46725,163,3,40,2024-10-27 00:17:27
39264,276,4,11,2022-06-19 19:16:07
47211,177,5,14,2024-03-24 16:17:28
20715,143,8,34,2020-02-24 14:43:34
24013,98,2,36,2020-03-12 09:50:15
35104,15,7,31,2020-03-17 19:03:48
45489,238,3,46,2019-03-21 15:17:42
25278,281,4,12,2018-11-04 13:55:56
35685,91,7,44,2024-11-09 18:16:18
1664,213,8,12,2020-05-16 21:18:49
18957,56,9,4,2024-12-28 20:14:45
20167,75,2,36,2021-03-11 03:34:18
787,35,4,45,2023-05-01 06:01:40
21545,40,2,43,2021-01-15 08:52:02
40773,167,1,12,2023-01-03 05:30:30
14214,194,4,5,2023-04-13 04:40:31
49508,246,6,42,2023-04-11 08:10:33
4766,106,8,15,2024-01-24 03:21:20
20455,238,4,48,2021-08-28 12:49:56
34393,34,8,41,2022-05-19 15:48:32
49623,120,6,11,2022-09-29 12:25:33
28685,220,2,26,2022-07-02 22:08:57
18315,246,4,4,2019-02-28 17:47:42
33168,146,5,14,2024-04-20 23:00:44
27184,9,9,38,2024-09-02 00:28:16
28889,268,6,5,2023-02-26 09:13:36
49311,107,5,48,2018-02-07 22:18:59
12234,61,7,23,2021-09-20 13:08:24
33151,46,7,35,2024-07-21 19:33:05
34410,151,2,43,2024-12-18 00:53:32
15044,137,8,40,2024-10-12 21:41:37
14087,73,5,25,2024-09-18 17:00:35
30513,243,6,34,2019-06-02 15:45:21
43803,159,3,15,2022-05-24 03:29:00
35265,48,5,16,2024-04-02 02:29:18
15399,291,1,39,2022-09-25 22:37:40
26339,63,6,37,2018-02-26 08:58:00
34501,185,2,43,2018-07-29 20:07:55
26418,76,9,3,2024-08-09 09:04:46
36387,84,2,16,2019-06-22 19:34:04
10005,246,3,20,2022-05-10 14:54:06
36929,36,1,25,2022-05-25 21:12:06
27765,249,7,15,2021-08-30 02:27:30
18424,204,9,45,2022-11-28 01:28:39
13757,27,7,16,2020-10-06 19:01:06
33933,143,7,0,2019-08-21 10:58:46
23702,45,5,39,2023-09-25 10:04:57
836,278,5,25,2019-03-26 15:51:02
14527,36,9,3,2024-04-21 11:00:56
31403,97,6,16,2019-09-25 12:58:40
18445,127,4,48,2020-03-15 19:48:06
12690,213,8,24,2022-11-11 13:26:20
21926,186,5,28,2021-03-09 07:57:47
8709,26,7,25,2023-06-30 06:38:11
41723,12,5,11,2018-03-26 23:29:43
21736,177,6,0,2018-01-31 18:34:09
32109,210,9,14,2022-09-26 11:02:38
19155,112,4,11,2019-10-07 16:59:08
20150,233,9,0,2021-04-07 21:19:17
10116,136,2,1,2020-12-04 08:59:10
45333,210,5,18,2019-06-04 07:37:06
34849,65,3,32,2023-10-05 18:49:11
43372,142,8,36,2022-01-07 19:25:53
46684,208,6,20,2022-09-14 15:28:30
36070,143,2,17,2023-06-06 08:15:00
19440,66,1,15,2023-01-15 10:40:24
45842,121,4,39,2024-07-18 08:05:06
17794,86,9,21,2018-06-26 11:22:55
44334,28,2,49,2023-05-24 11:28:31
41618,193,6,18,2022-08-12 08:38:36
6208,97,8,31,2022-01-17 22:18:08
49401,179,9,34,2018-01-22 03:12:57
27264,91,2,22,2024-03-04 09:18:43
25855,71,6,21,2020-09-08 15:03:58
25994,183,8,2,2023-08-02 03:05:17
29592,100,2,6,2018-10-17 23:14:56
21642,94,1,38,2019-01-08 18:27:47
43704,64,2,38,2024-09-12 04:42:26
39289,216,3,14,2024-09-20 11:31:12
27996,202,1,45,2024-04-07 15:36:07
22386,176,4,21,2023-08-04 20:33:50
38510,246,8,14,2022-10-12 09:02:05
13247,160,8,34,2019-06-07 16:13:27
348,70,2,31,2023-02-25 01:37:15
44142,2,9,43,2022-09-30 01:23:14
7783,34,8,19,2018-04-08 12:01:46
17443,293,9,39,2020-06-27 21:08:41
35882,109,1,49,2021-07-13 18:05:01
42342,44,5,24,2018-04-23 17:02:33
17270,21,8,10,2019-03-05 18:01:41
6947,220,9,16,2024-01-10 21:19:05
36081,161,6,43,2018-04-28 02:58:38
20961,297,3,8,2024-04-29 04:03:11
4373,200,4,25,2021-09-16 13:52:35
21643,176,9,37,2024-12-19 03:49:31
48390,205,4,39,2022-10-29 00:35:42
26488,215,4,22,2020-10-08 12:31:35
11551,82,4,33,2023-12-08 21:22:12
35366,45,9,48,2018-11-07 19:29:02
37327,179,7,38,2023-04-15 00:49:58
6568,156,4,20,2021-11-06 16:45:26
7337,199,2,46,2021-05-01 22:11:50
22288,292,1,42,2022-12-18 15:18:44
28962,117,8,34,2023-09-22 23:02:50
21604,49,3,15,2020-06-05 18:40:06
17628,201,9,29,2021-11-20 14:14:22
5701,71,7,23,2023-09-25 13:31:48
49598,196,4,9,2020-03-20 13:18:07
13311,79,4,17,2024-03-16 17:21:19
10430,262,8,40,2023-08-10 14:15:41
25825,210,7,4,2020-01-22 22:39:37
44661,275,3,47,2024-07-25 05:13:12
14046,93,6,15,2018-08-15 02:32:29
39275,9,2,15,2022-06-03 01:01:23
36868,22,3,34,2018-05-05 15:01:36
35174,233,9,39,2018-10-05 00:39:45
25205,192,4,20,2021-06-18 10:00:26
38993,73,7,32,2023-06-08 09:53:52
40402,42,8,5,2022-02-16 12:20:38
47483,259,2,44,2019-09-30 23:39:33
10928,61,1,1,2021-02-20 18:01:02
10080,104,1,40,2022-05-27 09:23:13
46373,49,8,45,2022-01-10 19:41:49
25034,66,7,17,2020-09-24 14:08:36
30210,259,7,39,2023-08-11 07:11:25
25811,117,5,11,2018-08-03 21:51:11
45129,92,2,26,2019-10-21 21:40:42
49257,11,7,13,2018-08-09 10:57:30
28111,37,6,48,2018-08-23 23:22:59
44634,148,1,6,2021-12-08 16:21:52
37516,295,3,9,2022-06-18 09:35:34
18107,107,8,30,2024-07-26 21:10:02
25185,138,7,38,2018-02-14 05:44:13
34347,62,5,30,2019-10-14 08:08:16
37703,72,6,3,2023-01-30 10:27:16
19943,17,3,13,2023-03-13 03:52:37
37787,292,5,4,2024-01-11 11:22:09
28882,284,8,40,2023-09-05 09:30:21
37593,71,2,39,2018-08-22 18:57:55
15762,225,4,2,2022-02-19 17:52:39
33535,150,3,15,2020-04-16 02:27:51
7362,242,2,18,2019-10-19 00:33:24
35778,41,4,33,2023-08-24 18:55:15
45190,36,1,20,2020-06-23 17:00:36
18254,87,6,5,2022-08-12 05:51:34
6364,181,8,0,2023-06-28 09:21:54
20019,198,5,24,2018-01-31 23:14:23
87,113,9,0,2020-05-07 05:06:55
27834,48,5,48,2021-03-31 16:18:03
31001,5,6,26,2024-04-23 00:11:07
20233,255,7,32,2023-10-15 20:27:53
33788,250,2,14,2024-01-25 15:03:25
4060,186,4,5,2020-10-26 18:50:45
32807,150,3,14,2022-10-27 09:36:07
6232,193,2,25,2019-12-21 06:47:00
1280,175,1,2,2022-01-30 17:04:01
37492,98,9,43,2021-02-14 14:49:43
10030,299,3,13,2021-10-12 01:17:23
13182,140,7,49,2020-04-25 16:59:11
23880,115,5,22,2021-10-05 22:43:00
26263,132,1,28,2018-07-08 07:53:20
1291,68,6,14,2019-09-30 17:25:58
12103,172,4,0,2020-10-13 17:52:37
41926,103,9,49,2020-01-12 16:16:03
38702,87,5,32,2018-01-14 11:07:31
35894,29,5,4,2020-05-04 07:54:38
5717,216,2,25,2018-02-26 20:11:38
6019,212,4,1,2021-08-20 00:11:54
16451,216,2,24,2018-08-02 20:01:50
48875,114,5,12,2022-05-16 02:26:22
54,22,6,39,2021-09-26 14:41:20
19308,20,4,22,2018-02-03 02:13:08
48157,265,8,41,2023-09-16 16:44:42
36655,147,9,41,2020-10-30 06:18:40
27563,6,7,38,2023-08-24 13:15:12
36868,158,6,42,2023-08-04 15:09:13
9674,97,6,38,2024-05-12 16:09:34
4237,11,6,7,2018-10-15 20:17:43
12387,79,7,38,2024-05-04 18:43:47
960,202,9,46,2024-07-26 04:47:23
13774,40,6,33,2023-01-18 03:14:26
5846,226,6,18,2022-09-09 19:18:37
35425,40,7,45,2020-05-31 16:15:04
21105,183,5,17,2023-07-26 20:07:17
17634,87,2,42,2023-08-15 18:50:29
17570,22,4,24,2023-05-18 06:02:29
21905,21,5,11,2021-09-25 16:33:25
7447,32,7,36,2022-12-28 04:25:53
8605,149,9,7,2021-10-11 06:19:26
45009,174,2,14,2023-03-11 23:24:35
40497,65,8,30,2024-03-12 17:42:52
31358,184,4,41,2021-06-05 08:22:12
48188,69,5,16,2019-07-15 06:27:31
43552,100,7,4,2019-06-09 09:02:36
49330,205,6,17,2023-09-06 21:58:13
21260,9,4,3,2021-09-09 07:44:46
37253,96,1,21,2020-06-01 03:14:51
18629,197,4,20,2019-12-26 17:58:25
403,287,4,12,2024-08-01 22:27:14
25816,138,4,49,2023-12-29 08:31:40
41039,236,8,5,2023-11-01 02:43:42
21750,206,2,25,2022-11-09 12:53:37
33669,187,9,16,2019-10-03 10:51:33
39844,39,6,19,2020-06-03 02:35:03
43164,112,2,5,2019-11-16 00:22:05
1715,267,9,15,2022-05-09 19:29:11
1005,70,5,13,2021-02-16 04:57:09
6857,126,8,19,2021-06-19 06:29:29
32805,265,6,48,2023-06-08 07:55:46
5714,124,2,36,2023-02-15 00:31:28
44163,231,1,22,2018-08-27 01:39:23
45794,18,2,43,2020-11-20 07:59:24
23549,21,4,34,2021-07-25 12:47:19
8459,84,7,43,2021-01-31 16:26:00
29514,113,7,47,2022-12-28 09:19:00
12710,127,6,30,2023-06-30 00:38:07
23995,107,4,31,2023-08-04 19:35:36
6271,286,2,36,2023-04-17 03:22:53
20670,189,3,44,2019-03-30 22:16:58
32414,244,8,22,2023-10-31 16:23:31
6865,64,8,17,2020-02-04 15:02:45
21922,287,7,34,2018-10-31 11:13:14
8347,41,3,27,2023-09-16 09:31:41
8915,132,8,9,2024-12-26 13:05:39
41777,204,3,31,2024-07-06 11:40:56
9130,40,8,31,2020-01-16 08:58:15
21668,51,5,27,2021-09-14 14:46:28
2942,173,5,7,2018-10-20 04:55:30
46814,45,7,37,2020-04-15 06:39:33
46361,20,8,41,2020-08-15 07:46:10
2701,269,1,1,2021-01-21 21:37:42
8268,256,5,23,2024-02-03 12:30:35
30934,182,5,41,2022-05-07 07:08:14
38899,229,5,46,2021-09-16 02:09:14
6217,260,4,23,2023-09-14 22:50:57
31930,17,1,29,2024-04-28 12:35:09
1853,240,3,3,2020-12-30 07:13:23
45794,217,1,46,2022-09-17 08:04:43
