user_id,subscription_plan,tenure_months,monthly_price,churn
14879,Enterprise,21,499,No
18983,Enterprise,18,499,No
30797,Pro,3,999,Yes
48789,Basic,14,499,No
26043,Pro,45,2499,No
27522,Pro,32,2499,No
15204,Enterprise,29,499,No
46353,Basic,7,999,No
1046,Basic,36,2499,No
45785,Enterprise,46,2499,No
19895,Pro,6,2499,No
47189,Basic,12,999,No
3666,Basic,45,2499,No
46319,Basic,8,499,No
44092,Enterprise,4,999,Yes
31998,Pro,2,999,Yes
26378,Pro,9,999,No
4663,Pro,10,499,No
1732,Pro,30,2499,No
19779,Enterprise,20,499,No
40701,Pro,21,999,No
39244,Pro,1,2499,Yes
4490,Enterprise,4,2499,Yes
9941,Basic,7,2499,No
7821,Pro,5,499,Yes
9742,Enterprise,31,499,No
1202,Enterprise,37,499,No
44807,Basic,40,499,No
16024,Enterprise,15,499,No
1164,Pro,46,2499,No
36240,Basic,9,2499,No
27682,Basic,32,2499,No
1723,Basic,31,999,No
40531,Enterprise,46,2499,No
41197,Pro,39,499,No
12578,Basic,28,499,No
32280,Basic,26,2499,No
41185,Basic,27,999,No
22710,Enterprise,22,499,No
2309,Enterprise,24,999,No
11571,Basic,43,499,No
41126,Basic,21,2499,No
30955,Basic,20,499,No
28855,Basic,14,499,No
23972,Basic,10,2499,No
41625,Basic,12,999,No
9840,Enterprise,2,2499,Yes
5995,Enterprise,36,999,No
28483,Enterprise,11,2499,No
38319,Pro,46,999,No
36054,Basic,18,2499,No
49967,Basic,38,499,No
47769,Basic,32,999,No
6743,Basic,44,999,No
37531,Enterprise,15,499,No
20739,Pro,42,499,No
26912,Basic,18,999,No
17799,Pro,6,999,No
49862,Pro,42,999,No
22472,Enterprise,6,999,No
49420,Basic,2,999,Yes
30645,Pro,18,999,No
46426,Pro,37,2499,No
20007,Basic,9,2499,No
19572,Enterprise,9,499,No
48947,Pro,24,2499,No
39401,Basic,11,499,No
28513,Pro,4,499,Yes
35026,Basic,27,999,No
21139,Pro,39,999,No
44425,Pro,45,2499,No
25915,Enterprise,17,999,No
25136,Pro,16,499,No
15309,Pro,41,999,No
33483,Pro,23,2499,No
35048,Basic,3,999,Yes
1626,Enterprise,6,999,No
41976,Basic,40,499,No
5358,Pro,42,499,No
8478,Basic,44,2499,No
4861,Basic,12,999,No
39411,Pro,7,2499,No
28345,Pro,44,999,No
27378,Basic,14,499,No
7114,Enterprise,22,2499,No
39570,Enterprise,29,499,No
19789,Enterprise,27,999,No
26724,Basic,40,999,No
42342,Pro,8,999,No
33213,Enterprise,14,2499,No
48945,Basic,2,999,Yes
47993,Basic,24,2499,No
17299,Pro,10,999,No
7069,Basic,30,999,No
4303,Enterprise,35,2499,No
36794,Basic,7,2499,No
12039,Enterprise,47,999,No
33006,Basic,34,999,No
5927,Basic,19,2499,No
18045,Pro,43,2499,No
45185,Enterprise,2,2499,Yes
30977,Pro,40,2499,No
44334,Basic,34,499,No
42306,Enterprise,34,999,No
49226,Pro,37,499,No
24084,Basic,24,999,No
18499,Pro,31,999,No
16787,Enterprise,13,999,No
12915,Basic,6,499,No
22716,Basic,16,999,No
20537,Basic,3,2499,Yes
47626,Basic,46,2499,No
47929,Pro,27,999,No
11886,Enterprise,40,2499,No
3574,Basic,30,2499,No
36903,Enterprise,14,499,No
16702,Pro,16,999,No
38466,Basic,11,2499,No
6188,Pro,30,999,No
3993,Pro,47,2499,No
41941,Enterprise,15,2499,No
36633,Basic,12,2499,No
19845,Basic,38,499,No
22380,Pro,37,499,No
47901,Pro,22,499,No
11525,Pro,12,499,No
3886,Pro,42,499,No
25426,Pro,41,2499,No
22795,Pro,20,999,No
16949,Basic,11,499,No
14212,Pro,4,999,Yes
14871,Basic,7,999,No
38931,Enterprise,15,499,No
43286,Pro,43,2499,No
29543,Enterprise,5,999,Yes
20905,Enterprise,30,999,No
13417,Basic,5,999,Yes
32904,Enterprise,7,499,No
33851,Basic,11,2499,No
28070,Pro,28,2499,No
46740,Enterprise,29,2499,No
22369,Pro,26,499,No
15699,Pro,12,499,No
40382,Pro,7,499,No
28964,Pro,47,499,No
13163,Enterprise,21,999,No
6262,Basic,28,2499,No
40250,Enterprise,3,999,Yes
39816,Basic,21,499,No
32149,Basic,19,999,No
8103,Pro,18,499,No
30397,Enterprise,42,499,No
39877,Basic,16,2499,No
12719,Enterprise,28,2499,No
646,Enterprise,42,999,No
33916,Basic,47,999,No
39895,Basic,16,499,No
33636,Basic,44,999,No
37581,Basic,9,999,No
25342,Enterprise,36,499,No
27066,Enterprise,4,499,Yes
48025,Pro,39,499,No
7737,Basic,24,999,No
35241,Pro,9,499,No
34428,Enterprise,7,2499,No
12851,Pro,16,2499,No
12770,Enterprise,16,499,No
40478,Enterprise,2,999,Yes
36246,Basic,12,2499,No
43377,Enterprise,47,2499,No
42943,Enterprise,24,499,No
47645,Pro,11,2499,No
38153,Pro,33,999,No
9993,Enterprise,30,2499,No
15930,Enterprise,44,999,No
45727,Pro,29,2499,No
44657,Enterprise,14,2499,No
34843,Enterprise,29,999,No
40575,Basic,39,2499,No
20097,Basic,40,499,No
11569,Pro,3,999,Yes
20640,Basic,26,2499,No
33820,Basic,23,499,No
23032,Enterprise,13,499,No
48104,Enterprise,15,999,No
8785,Pro,40,2499,No
34147,Pro,20,2499,No
22590,Basic,28,2499,No
470,Pro,25,499,No
26123,Enterprise,40,2499,No
35522,Pro,19,999,No
8625,Enterprise,29,2499,No
43036,Pro,17,2499,No
1699,Basic,5,2499,Yes
8995,Pro,1,999,Yes
27244,Basic,6,2499,No
43093,Basic,36,2499,No
46732,Enterprise,20,499,No
39341,Basic,17,2499,No
5236,Pro,41,2499,No
47098,Pro,7,999,No
44588,Basic,21,999,No
48147,Basic,21,499,No
21790,Basic,23,999,No
49829,Basic,45,2499,No
9040,Pro,36,2499,No
27953,Basic,21,2499,No
16046,Enterprise,27,999,No
5882,Pro,17,2499,No
44932,Pro,34,2499,No
17200,Pro,13,2499,No
12386,Basic,15,499,No
7639,Pro,14,2499,No
20257,Basic,21,2499,No
22376,Pro,44,999,No
42020,Enterprise,9,2499,No
5141,Pro,10,499,No
4470,Pro,42,499,No
26708,Enterprise,47,2499,No
11371,Basic,7,999,No
1503,Enterprise,45,499,No
46361,Basic,28,499,No
1352,Enterprise,23,2499,No
13435,Enterprise,5,2499,Yes
35612,Enterprise,39,999,No
27273,Pro,45,2499,No
36027,Pro,44,2499,No
2544,Basic,15,999,No
25503,Basic,3,499,Yes
1104,Pro,22,2499,No
5994,Pro,41,2499,No
12603,Enterprise,27,2499,No
43529,Pro,25,2499,No
15599,Enterprise,13,999,No
9895,Enterprise,17,499,No
3411,Enterprise,3,999,Yes
21410,Enterprise,45,2499,No
13831,Enterprise,12,999,No
20678,Basic,40,499,No
29006,Pro,5,999,Yes
45161,Enterprise,4,499,Yes
18787,Pro,3,999,Yes
39374,Pro,42,2499,No
37185,Pro,42,499,No
39599,Basic,24,999,No
36792,Basic,36,499,No
48467,Basic,35,2499,No
20425,Pro,42,499,No
43301,Enterprise,27,999,No
17907,Enterprise,18,499,No
39630,Enterprise,31,499,No
20238,Basic,28,999,No
9225,Pro,10,999,No
16360,Enterprise,31,499,No
14376,Basic,32,499,No
28766,Basic,44,2499,No
4079,Pro,32,2499,No
34383,Basic,8,999,No
34673,Basic,18,999,No
794,Enterprise,5,999,Yes
39796,Basic,35,999,No
19504,Basic,36,2499,No
3206,Enterprise,4,2499,Yes
18282,Enterprise,16,999,No
22360,Enterprise,5,999,Yes
33658,Pro,10,999,No
37278,Pro,45,499,No
23679,Basic,21,499,No
30523,Enterprise,11,999,No
7418,Pro,2,499,Yes
24640,Enterprise,35,499,No
1700,Enterprise,7,2499,No
44696,Pro,8,999,No
12734,Basic,37,2499,No
42784,Enterprise,24,499,No
48816,Basic,22,499,No
42645,Basic,21,2499,No
298,Pro,8,499,No
45544,Enterprise,6,2499,No
20503,Basic,6,2499,No
31364,Enterprise,1,499,Yes
39785,Basic,29,999,No
34280,Basic,14,499,No
16827,Enterprise,21,999,No
28135,Enterprise,8,499,No
21105,Basic,7,2499,No
21274,Enterprise,14,999,No
24770,Basic,45,499,No
42130,Enterprise,12,999,No
7157,Enterprise,31,999,No
40913,Enterprise,20,499,No
35171,Basic,39,2499,No
20778,Basic,12,999,No
23511,Basic,46,499,No
17512,Pro,30,2499,No
2112,Enterprise,6,499,No
30004,Pro,32,2499,No
9296,Enterprise,3,499,Yes
33114,Basic,34,2499,No
45479,Basic,23,999,No
46309,Basic,10,999,No
26700,Enterprise,2,2499,Yes
38911,Enterprise,21,499,No
32590,Pro,10,999,No
25301,Basic,32,499,No
6155,Pro,18,2499,No
3200,Pro,41,499,No
9410,Basic,40,2499,No
42489,Basic,8,499,No
21570,Enterprise,35,999,No
44397,Basic,33,2499,No
45076,Basic,6,499,No
47906,Basic,2,499,Yes
17890,Enterprise,38,999,No
23623,Pro,42,499,No
2893,Basic,15,2499,No
24565,Basic,36,2499,No
5629,Enterprise,16,2499,No
24503,Pro,47,999,No
31271,Enterprise,44,499,No
23902,Pro,9,499,No
28332,Basic,9,999,No
25931,Pro,26,999,No
42800,Enterprise,3,2499,Yes
34805,Enterprise,43,2499,No
18054,Pro,29,999,No
37780,Basic,17,499,No
9578,Pro,45,499,No
37608,Enterprise,25,999,No
31440,Pro,42,999,No
17114,Basic,36,499,No
46457,Pro,25,2499,No
41782,Enterprise,16,499,No
39609,Basic,38,2499,No
45585,Enterprise,30,2499,No
220,Enterprise,29,499,No
22178,Basic,32,999,No
22696,Pro,39,499,No
10517,Enterprise,30,499,No
41197,Pro,3,499,Yes
31799,Pro,44,2499,No
38742,Enterprise,1,999,Yes
48369,Enterprise,2,2499,Yes
28802,Basic,37,999,No
32591,Pro,36,999,No
49564,Enterprise,19,499,No
19288,Enterprise,26,999,No
22125,Pro,44,499,No
33265,Pro,25,2499,No
39805,Pro,47,999,No
5355,Enterprise,4,499,Yes
15850,Pro,44,2499,No
38606,Pro,15,2499,No
285,Basic,36,999,No
1872,Enterprise,14,999,No
10486,Pro,23,2499,No
12314,Enterprise,30,2499,No
37522,Basic,39,499,No
35009,Pro,1,2499,Yes
43894,Pro,25,499,No
20127,Basic,1,2499,Yes
41970,Enterprise,39,999,No
29187,Basic,17,499,No
46469,Pro,8,999,No
9007,Basic,47,2499,No
29674,Enterprise,47,999,No
39986,Pro,26,499,No
33406,Enterprise,12,2499,No
14932,Enterprise,43,999,No
41522,Pro,16,2499,No
35708,Enterprise,27,499,No
40186,Basic,23,499,No
49839,Basic,10,999,No
22982,Basic,27,999,No
34119,Pro,4,2499,Yes
20320,Basic,3,2499,Yes
23572,Basic,6,499,No
45803,Basic,14,2499,No
9876,Enterprise,28,499,No
24323,Enterprise,18,999,No
29401,Basic,20,499,No
20889,Pro,14,999,No
13752,Enterprise,15,499,No
47537,Enterprise,21,499,No
23234,Basic,38,999,No
12992,Enterprise,20,499,No
29157,Enterprise,30,999,No
39670,Basic,8,499,No
36490,Enterprise,10,999,No
45229,Pro,5,499,Yes
18279,Basic,13,499,No
3531,Enterprise,35,499,No
21570,Basic,32,2499,No
4864,Basic,20,999,No
38941,Pro,32,999,No
12003,Enterprise,35,499,No
37030,Pro,46,499,No
25032,Enterprise,25,499,No
36504,Enterprise,46,499,No
17991,Enterprise,26,499,No
42831,Basic,5,999,Yes
24238,Basic,46,2499,No
1215,Basic,9,499,No
9789,Pro,44,999,No
35347,Enterprise,35,999,No
40796,Basic,39,2499,No
34300,Pro,46,2499,No
18036,Pro,10,999,No
48038,Enterprise,31,999,No
7339,Basic,7,999,No
40566,Basic,2,499,Yes
25441,Enterprise,22,499,No
10737,Basic,2,2499,Yes
7148,Enterprise,25,499,No
19204,Basic,14,2499,No
19966,Basic,21,499,No
6953,Basic,3,2499,Yes
45107,Enterprise,18,2499,No
24845,Basic,42,2499,No
30451,Enterprise,4,2499,Yes
28463,Pro,13,999,No
44456,Pro,41,2499,No
4827,Enterprise,32,499,No
12971,Basic,42,499,No
35063,Pro,29,2499,No
11433,Pro,30,499,No
26151,Enterprise,37,2499,No
26294,Basic,4,999,Yes
36801,Enterprise,14,499,No
3687,Basic,9,999,No
10085,Pro,6,999,No
24280,Basic,13,499,No
33601,Enterprise,3,499,Yes
25691,Pro,20,2499,No
29122,Pro,29,999,No
31337,Enterprise,30,2499,No
46174,Enterprise,47,999,No
38008,Enterprise,15,2499,No
46637,Enterprise,42,999,No
12228,Enterprise,1,999,Yes
8850,Basic,25,999,No
36512,Enterprise,3,999,Yes
41175,Enterprise,13,999,No
37826,Basic,24,999,No
25962,Pro,17,999,No
39403,Basic,34,499,No
30518,Basic,10,499,No
21994,Pro,43,999,No
49190,Enterprise,21,499,No
13664,Basic,17,499,No
46455,Enterprise,26,2499,No
32850,Basic,17,499,No
10524,Pro,10,499,No
9071,Basic,14,999,No
35257,Basic,35,2499,No
33319,Enterprise,35,2499,No
47266,Enterprise,46,2499,No
47248,Basic,38,999,No
14196,Basic,19,2499,No
45383,Enterprise,30,2499,No
15758,Basic,43,2499,No
4943,Basic,7,2499,No
45204,Enterprise,4,2499,Yes
14117,Pro,21,999,No
27568,Basic,9,499,No
33903,Enterprise,17,499,No
37720,Basic,5,499,Yes
49536,Pro,20,499,No
106,Pro,22,499,No
12653,Pro,24,2499,No
