month,new_users,active_users,revenue,growth_rate_percent
2024-06,2961,27126,3342021,20.09
2023-08,9415,33198,4263047,13.59
2024-08,7962,10755,712742,5.12
2025-05,1905,34752,2638607,1.75
2024-07,5033,41730,4870311,24.51
2023-04,5122,13754,998476,6.37
2021-04,3459,30573,2744991,19.22
2024-10,4676,37219,3802187,9.75
2022-08,9999,15607,2006951,7.79
2025-12,2098,21677,3545412,13.78
2021-12,1475,14424,2351616,12.32
2021-02,5148,1808,4046745,2.38
2024-06,8937,16002,782666,2.99
2021-10,181,6734,2153455,9.47
2024-06,6610,14191,717386,5.98
2023-01,4244,34981,1066105,13.74
2025-11,8890,41221,3240715,16.78
2025-07,7667,41534,779452,5.58
2021-05,107,15581,4317864,11.62
2021-04,7231,1568,2573332,21.69
2025-09,4183,2446,2008254,10.88
2024-10,3558,44576,300202,18.35
2021-03,2457,17317,2293734,24.64
2022-08,1902,26469,450882,22.63
2025-11,6749,39969,1300030,22.93
2022-09,5490,30454,2921721,8.52
2023-07,2921,21050,316050,11.55
2022-03,4417,32942,3742688,9.34
2023-04,5337,42339,1366924,16.96
2021-06,4592,10577,2617913,22.61
2024-01,2250,36107,1855854,4.68
2023-08,6038,29831,1407179,16.31
2023-11,5706,18931,4789674,18.6
2023-05,5437,5057,2824598,24.58
2022-10,7684,1108,2689585,19.83
2022-02,5422,13942,1543525,23.3
2023-07,9759,17907,413004,10.97
2025-09,2209,21587,4993293,10.27
2022-02,7600,13938,3930051,13.09
2024-06,2710,20918,3922793,15.6
2025-12,3627,13570,4487947,3.85
2024-10,6657,41443,305061,4.3
2023-11,9775,41978,455269,18.91
2025-09,9119,7064,1068462,3.38
2022-03,3694,22132,4713417,1.35
2021-09,5937,42136,1174172,2.58
2022-02,4388,15927,595666,10.53
2025-07,3009,34866,661956,1.27
2025-12,7080,46850,2750534,2.85
2025-02,8291,29622,3771397,11.34
2025-01,8337,47945,1963476,15.39
2024-10,4839,4947,4047665,24.41
2024-07,578,40604,851290,4.1
2025-05,9714,1166,579749,22.55
2023-12,7289,4400,298143,24.26
2021-04,5817,38350,3608530,9.02
2023-07,586,22730,4525754,21.33
2021-08,6004,2439,4822212,2.68
2022-08,6779,23229,4230602,13.77
2023-09,3760,44791,1771454,12.46
2022-05,9713,15316,967397,16.1
2022-01,3883,8345,3801339,17.07
2023-01,4171,43737,3525391,11.05
2024-06,218,12276,4649013,8.3
2021-03,1919,36072,1363562,23.46
2025-08,1712,27048,1472933,8.32
2021-10,8446,32387,4908509,22.27
2021-12,6972,7897,3081068,6.96
2022-08,3826,17122,2090601,23.35
2022-03,5509,36828,3814220,12.25
2022-03,2795,23380,3474796,16.98
2024-12,6753,47760,4052238,11.68
2025-01,3871,2225,3845510,5.77
2021-09,5842,44629,2416202,19.91
2024-03,4148,20139,3350471,12.77
2025-04,5046,41061,605736,3.02
2021-01,1000,2470,921780,23.92
2024-11,9378,18785,3657866,20.47
2025-01,1508,3056,2674179,21.86
2024-05,8308,48807,923734,3.58
2021-04,787,38282,2571055,19.65
2021-02,2605,31404,4255349,4.61
2024-05,6957,20642,4360644,11.1
2024-02,2867,18412,3971171,17.66
2022-09,5843,16880,2266627,23.22
2024-07,3423,16664,3439484,13.98
2024-03,2280,2181,4495073,1.72
2021-08,2650,20867,3193854,21.18
2021-04,831,4207,3478304,24.32
2023-05,2119,31528,2462832,21.84
2025-12,342,24167,4923862,7.64
2021-01,2379,5116,4826544,18.02
2025-08,2716,2141,1239717,7.83
2023-06,6459,28238,2461308,20.33
2025-10,2209,6534,4171577,16.73
2021-04,8899,21075,2481302,14.07
2023-05,5799,30986,1029965,13.61
2025-04,4985,34240,4688481,8.94
2024-01,9445,8085,3099297,22.07
2024-10,4814,15923,300817,21.61
2022-11,4108,29828,2274608,12.77
2024-11,6897,16220,3017474,20.77
2023-02,6852,28720,643384,24.62
2021-09,6516,39951,153342,11.6
2025-05,5176,38973,1229014,23.49
2023-06,286,28735,4823744,6.94
2024-09,5636,2946,179969,24.31
2022-11,2445,19755,3604642,24.76
2021-02,9234,29270,3262461,22.3
2023-02,2562,42097,3626444,4.68
2025-05,4710,48261,2933848,20.18
2023-03,5415,16634,325218,20.8
2023-01,8392,48695,414726,8.9
2021-01,5251,42594,1064478,4.47
2022-06,5288,24674,463594,11.36
2021-12,871,14675,2408116,23.43
2024-09,3043,36660,2519638,6.17
2024-11,9647,43159,4501583,16.46
2021-06,8258,14048,2349077,9.99
2021-08,513,48123,4809732,13.49
2024-04,3278,13104,1639031,23.41
2024-07,9408,9945,1932639,5.65
2021-07,5957,21706,468935,21.97
2022-01,7854,4670,395314,15.81
2023-01,6211,26144,111936,16.64
2022-02,457,45418,4186347,24.58
2021-04,8162,30489,1317554,2.2
2021-11,2030,2756,996692,22.7
2025-10,5058,43629,3641409,8.79
2025-09,9597,48364,2023006,22.57
2024-01,9953,15777,4855495,4.73
2024-03,5778,48761,1746977,17.54
2023-09,4588,49823,1487832,2.55
2023-06,1540,42037,2263055,12.91
2024-11,9876,22468,4965038,1.9
2023-04,4951,24676,1826806,3.63
2023-07,4969,11243,4721450,24.63
2024-12,1382,40896,4002276,23.7
2023-07,4850,34089,1016823,6.35
2021-07,9727,35133,2819256,20.32
2023-09,4917,32292,3702984,16.86
2025-01,3160,41426,4249514,1.24
2022-08,9259,35870,4147592,16.7
2025-03,2380,19045,2874756,19.06
2024-04,992,3146,2081370,24.1
2025-12,1135,44822,175214,14.36
2021-06,9240,47885,3622000,10.13
2021-04,9563,14362,439358,1.68
2021-03,6152,11012,1322121,17.1
2024-03,839,31912,3523499,22.84
2025-07,8221,42660,1118020,7.63
2025-08,4161,20127,981080,1.5
2021-11,5644,8290,1872779,21.26
2024-03,3110,42319,890503,9.18
2022-01,4401,12984,3685910,6.04
2024-03,1491,32083,4367912,16.57
2021-11,8330,9208,472532,13.31
2025-10,7071,39837,230083,19.05
2021-06,814,44683,485438,6.99
2021-09,3780,4196,3167233,15.73
2025-10,1223,26086,4385414,13.51
2025-01,3437,22209,2683178,24.84
2021-01,5255,19136,4504948,20.13
2024-03,3688,8924,796781,7.38
2021-09,6507,2765,4655362,11.7
2021-03,2580,45803,4377938,18.06
2023-05,7234,27544,232293,22.03
2024-04,9561,39223,293592,7.96
2024-10,1710,29751,3648681,17.67
2023-01,3799,36459,451722,1.8
2024-03,7384,48755,2320155,17.13
2025-09,5543,23568,249470,4.02
2025-02,2687,37927,3946262,10.71
2025-04,8311,42292,1871586,12.24
2025-08,8644,1473,4862273,11.89
2023-12,8374,6689,3449484,7.07
2025-11,700,12602,4014147,19.26
2025-11,1558,718,1164439,12.46
2025-12,3288,27560,2312517,14.33
2025-04,2846,17194,884674,18.23
2021-08,4123,43742,3958991,10.38
2021-04,1530,32673,2951274,14.17
2025-03,4497,4188,3673294,4.49
2024-08,9741,6067,4776328,4.18
2021-07,8645,22046,1192116,11.29
2022-11,4380,1292,538534,12.16
2025-05,8580,36731,2735617,12.48
2021-01,6084,22286,2076415,20.41
2023-07,1937,29548,2977216,12.7
2024-09,6353,13817,179500,20.29
2024-05,9902,7556,4422646,15.45
2022-10,8458,7033,1260923,13.25
2022-04,525,39543,1114992,23.91
2024-10,3876,7150,999288,20.4
2023-09,2490,33676,103594,4.73
2025-09,6197,35500,1846029,2.79
2023-05,6770,1646,358432,17.95
2023-03,2811,6099,3796296,18.13
2025-05,5367,31038,1892435,4.97
2023-05,6034,29322,1968378,16.29
2025-02,5788,6922,4942609,15.39
2024-07,8118,42161,827882,9.14
2024-02,539,29236,732441,9.28
2025-04,2314,15335,1685931,21.79
2022-08,5148,32375,240290,17.28
2023-02,7984,30685,2399251,21.47
2021-11,4646,13588,736632,14.23
2025-08,6152,35609,4433372,14.38
2021-04,7707,27042,395514,23.23
2023-07,9917,47318,1433788,21.02
2022-03,2551,16248,4362250,12.11
2023-04,7538,37415,1925173,12.64
2022-05,296,11381,1260423,11.95
2023-05,8145,22410,1744717,5.5
2025-02,4087,6956,4357132,12.49
2025-09,5578,31735,2263166,14.16
2025-10,6273,5938,4864579,17.19
2022-04,7469,40613,3035985,1.91
2025-02,3381,17340,2192274,8.15
2022-02,1045,22675,3658090,13.09
2021-12,5567,46388,3822935,1.65
2025-01,7370,35647,2560754,7.76
2025-06,3517,18110,385317,24.31
2025-10,7405,15968,130983,15.7
2025-03,973,39588,748840,17.61
2022-11,3993,10644,1089327,18.88
2021-12,4346,22300,4373308,19.05
2022-12,4678,34807,295103,16.17
2022-02,4049,3685,556989,14.74
2023-02,2760,36760,2525650,22.96
2023-09,412,43763,4475120,7.74
2022-02,3695,23823,3194688,6.22
2024-01,446,2340,1411991,18.02
2023-09,8490,5446,2453600,11.84
2021-09,9888,7405,4548957,17.92
2021-01,4492,32955,1589838,17.53
2022-12,6429,12280,3798574,5.45
2022-11,776,28925,3922106,8.57
2023-03,4906,10951,842570,8.48
2023-11,2256,44553,604081,20.04
2021-08,4258,18744,1646209,17.27
2025-07,1234,1649,2527228,7.85
2023-05,9251,42837,166739,9.4
2025-05,653,21014,1983373,11.3
2024-12,237,42624,3303057,14.24
2021-03,4399,48816,2824051,3.76
2025-02,7573,3750,3599841,21.59
2025-12,9494,22635,3551826,1.25
2024-09,3633,34037,2397659,20.86
2021-01,4451,22162,4853445,14.18
2025-08,4305,28340,1935146,20.2
2023-01,6227,26623,2466778,1.84
2023-12,8485,32696,4400370,7.66
2024-03,9610,28256,3003315,9.71
2024-05,4665,10049,2143828,24.66
2024-03,524,24077,3509898,9.06
2022-03,8012,44031,736130,18.96
2021-12,1170,7824,4866102,22.79
2025-03,8530,10483,3018535,8.2
2025-05,2860,9847,144373,20.21
2024-11,1187,6315,3139169,12.71
2025-09,7751,20476,1226670,14.84
2025-11,8852,19716,2859187,21.27
2022-09,3499,39517,701943,21.04
2021-10,8059,27640,231723,15.73
2025-11,846,25730,2296317,6.63
2023-04,8323,12925,379195,15.09
2023-02,6509,40619,2307893,22.55
2022-06,2404,13577,2888666,3.44
2023-04,5783,31435,1618914,4.33
2025-10,4809,25602,4336829,9.95
2024-09,9711,29066,186797,22.5
2022-07,881,47333,3680491,16.99
2021-11,4503,20861,3980247,16.54
2025-12,4193,22314,307350,13.07
2021-06,4011,12894,877522,23.9
2023-05,4659,47170,486933,24.76
2024-02,7423,21899,4705043,9.8
2025-09,6905,42437,2092941,17.88
2025-11,5422,34304,384980,11.48
2025-08,152,29244,3590863,23.04
2021-01,6807,23139,2127474,12.65
2024-09,7399,47382,2037609,20.58
2023-10,1898,45643,2362294,15.42
2021-04,9833,17868,2098424,13.04
2023-11,7824,20422,508003,21.92
2023-04,2544,9052,109987,2.08
2021-08,975,19227,4435571,18.03
2024-01,5763,43519,801814,14.95
2025-11,5375,49268,2334599,2.19
2023-04,394,24081,4743279,12.01
2024-03,8426,5930,3481661,3.43
2025-05,2767,13112,2572648,19.53
2025-08,3999,3504,4269913,22.19
2023-07,9963,20443,2204567,2.34
2021-09,4310,28817,2926068,17.6
2021-09,8537,10139,3613319,3.84
2025-11,8125,12024,1468797,21.75
2023-01,992,17358,646964,15.51
2021-07,1249,6506,1789768,5.76
2025-03,7050,41054,481876,9.41
2025-11,6212,40146,2840877,2.18
2022-11,6086,1902,4012813,15.71
2023-01,3769,45107,3045406,21.08
2025-04,220,4338,3222827,23.84
2021-08,2605,44604,3806400,18.05
2022-04,6538,40775,3296284,7.33
2021-08,4539,39873,561667,21.63
2024-01,290,38245,2187026,12.26
2025-06,5974,11232,4017571,22.63
2023-07,9326,34280,4013237,6.19
2021-03,6700,10618,1853280,19.28
2024-11,5712,24245,2677269,9.08
2025-11,5627,12465,171274,8.44
2021-08,8897,4516,4012940,3.36
2022-04,1595,24290,4265017,2.29
2022-02,906,13184,4598107,10.78
2022-08,2222,16891,2709035,1.65
2023-03,5671,7378,3300974,11.07
2022-03,350,19903,3795920,14.79
2021-09,2536,21618,4276439,24.53
2021-07,632,30909,3922100,10.27
2022-07,6868,18001,888523,5.98
2023-01,1199,34744,2546847,9.76
2022-12,7166,3514,239786,7.46
2022-06,8861,43540,2231126,15.23
2023-03,1424,10284,2522547,20.39
2023-11,2464,21878,2145636,16.5
2023-08,8383,7379,4857547,5.14
2021-03,5782,9321,773741,11.47
2024-05,4287,29995,153293,9.63
2021-08,1194,6952,158375,11.75
2023-05,7852,1642,4655099,19.62
2025-10,3020,23309,3809661,15.3
2021-06,1011,32208,2951292,12.52
2022-03,4905,13684,3134565,5.27
2022-07,5468,41952,4278128,19.97
2025-08,1028,34934,4751720,12.98
2024-01,3731,44424,2869711,2.59
2021-03,469,18697,4420227,20.07
2022-06,1975,2062,1919571,7.13
2022-08,3405,39693,733541,10.81
2023-01,587,16136,400961,17.75
2025-06,8844,18840,4120442,1.46
2023-02,9646,29397,3170552,3.72
2025-05,8694,26963,4491670,19.51
2022-03,7696,45718,3446693,19.0
2022-03,7526,36345,1174478,13.5
2022-04,3568,506,2940114,4.43
2022-04,9897,46629,3475487,15.23
2021-06,2245,33241,3589769,4.81
2023-09,3108,5924,2757197,15.3
2025-11,8429,3256,3420107,11.37
2024-02,7749,6310,603879,22.42
2025-09,6282,692,2060554,2.6
2023-10,4389,19344,266128,18.1
2025-01,4779,7078,244864,7.25
2024-07,3008,29341,2529525,18.47
2021-12,7585,49659,3118043,6.73
2025-01,6828,4131,2393452,5.76
2023-08,2282,35535,4951574,24.74
2025-02,4074,2420,2609765,22.28
2024-07,1087,17726,333312,11.38
2024-12,6785,14078,238049,6.02
2021-03,8028,27011,4591806,12.94
2025-10,8402,18323,3270154,16.77
2023-02,4321,39572,971015,9.72
2025-04,6065,23446,4211546,22.78
2023-08,4723,46493,3344740,14.9
2021-02,839,37229,3515771,10.76
2021-02,2956,1932,3044807,18.13
2021-05,6297,4332,198828,20.85
2024-11,5494,18058,2804652,3.78
2021-10,2090,1881,2385148,13.51
2021-11,2968,3854,978727,5.01
2022-01,7812,10767,2922944,2.51
2021-02,2117,7821,3903417,20.35
2021-03,8006,42952,2599905,17.51
2021-08,6281,29277,3664129,24.18
2024-09,9369,39580,4330838,10.73
2024-08,8030,11621,2284431,4.66
2024-08,3110,18801,2406390,21.82
2025-12,3213,28393,2785831,3.83
2021-02,3662,9500,3248145,22.45
2021-10,8505,14696,3480802,21.98
2024-08,5464,47505,680563,22.94
2022-09,4433,38758,2077391,18.38
2025-05,5258,10229,989536,13.76
2024-09,7444,24267,2954500,10.84
2022-02,4710,1609,4859388,1.6
2021-05,5745,26565,4015604,5.83
2025-05,7285,43867,1395880,11.78
2021-09,1477,37092,1928515,11.51
2022-03,3774,4145,4687963,8.06
2022-02,4247,15611,4370732,14.24
2023-11,1255,2501,1151637,3.87
2021-11,3482,34802,2710636,1.73
2023-05,7966,22609,3516920,8.12
2024-10,3202,19108,870042,11.98
2022-09,9291,6970,2217425,10.72
2023-02,8653,30942,2648481,12.24
2023-10,365,33651,3918318,4.92
2021-04,231,13811,4489712,21.32
2022-06,5186,23032,1806005,2.14
2023-12,9006,30210,3046421,16.67
2024-07,419,13586,4330302,6.85
2022-07,4209,3985,2161046,18.82
2021-02,9875,27329,1912702,13.37
2021-01,7402,34129,1917298,3.89
2023-03,3489,25273,4944535,6.96
2022-06,480,14320,4281417,9.67
2025-09,1057,41560,4153799,6.53
2023-12,6629,4881,3946149,7.86
2024-05,6250,44570,1712561,5.68
2024-03,6775,3933,3949738,14.34
2025-06,4014,33371,3072867,9.57
2023-11,3601,45444,3007119,10.38
2023-01,3075,38675,4441564,21.73
2024-07,1199,5217,1632442,19.83
2023-02,8845,49958,802111,20.31
2023-04,7147,7084,1753795,5.67
2023-03,3416,22697,4568192,13.55
2022-01,9281,35926,2003961,15.36
2025-05,3089,26714,4284624,6.55
2025-11,7646,871,2098922,9.98
2025-07,6297,4988,1249779,15.07
2021-03,6951,12231,4685227,19.36
2021-11,2091,46471,4508897,5.12
2021-06,8552,27913,2268355,5.36
2021-10,8274,10137,4310349,16.98
2023-04,3824,1451,4124731,8.14
2024-04,5702,14495,1044685,20.0
2022-04,4556,592,4664502,14.68
2021-05,7155,42977,3676463,2.38
2021-01,9257,3347,2756079,18.39
2025-08,9011,44257,425169,1.68
2022-04,7424,3376,308602,2.69
2021-04,944,4191,681968,18.72
2024-12,6275,2349,2214807,20.76
2021-07,2498,33966,4744952,20.66
2023-09,537,17899,4141471,20.84
2021-01,8461,2441,3717462,9.04
2025-12,3945,39301,3973083,14.75
2022-10,5945,27179,1664671,3.19
2023-12,8510,48327,2051212,11.41
2021-01,7737,16120,3495492,23.36
2022-02,7649,8542,1519691,2.49
2022-12,4139,31196,871067,19.21
2021-09,5257,4008,2120802,16.36
2024-10,4873,46904,2187072,21.54
2024-07,2437,29096,3834779,13.37
2021-10,2799,6826,297731,15.12
2023-06,3721,24616,3685906,8.68
2024-10,5061,38742,754972,12.92
2024-08,2671,4494,885293,20.06
2024-01,1602,21918,770518,24.31
2021-05,7049,20675,3187299,12.69
2024-05,7993,46305,2492057,8.92
2025-02,6295,13317,2842257,4.1
2023-04,2458,26929,1269656,19.37
2024-12,247,45071,1129404,23.38
2023-11,4192,43646,2685778,18.86
2025-01,8769,6271,4810857,19.41
2022-11,5897,34933,1548143,8.99
2025-07,9915,23578,1514167,23.29
2023-04,4194,28889,3304241,7.41
2025-04,1386,42318,450997,1.91
2022-11,9372,9737,2500058,23.5
2024-10,8623,42274,1540834,14.63
2024-08,2413,21114,213055,12.71
2021-04,1351,7696,2050647,6.54
2022-02,8897,18976,1543572,14.04
2025-03,7089,41424,1414170,1.78
2025-07,7091,33850,4402497,8.28
2024-06,9092,1811,2006596,8.67
2023-07,6657,5606,2848974,6.23
2023-07,7594,23109,3060991,7.0
2023-10,6211,32494,1414562,5.44
2025-02,5382,10498,1867799,9.81
2021-02,2852,40260,3468335,3.02
2025-11,6589,33873,2252029,9.01
2023-12,9777,10937,3597795,16.69
2021-02,5539,6255,4521318,21.18
2022-05,3340,38682,1077752,7.92
2024-08,1729,25582,3606597,5.17
2024-09,6364,9649,2429378,21.8
2025-03,1743,13148,1971408,15.23
2022-08,8846,4817,3827673,11.69
2022-06,7198,7791,4062490,15.48
2023-08,7124,37629,4170586,22.6
2021-03,5337,13175,542654,5.96
2024-09,3056,4895,3632109,12.01
2023-12,6126,4548,217524,8.8
2025-01,6120,908,119371,19.97
2025-07,4455,25499,242199,7.92
2023-01,9423,12880,2941492,18.26
2025-04,9549,34386,1684153,6.85
2024-01,8313,47195,3011208,14.92
2024-11,4039,44112,3522210,21.59
2021-09,9204,12897,1753292,21.59
2021-06,6171,18072,1100262,5.89
2025-01,6728,45739,1009095,20.08
2022-12,1663,2357,724060,13.8
2022-07,7672,44169,4640473,24.26
2021-11,9129,41051,4559383,9.64
2022-02,6362,29658,3525510,14.44
2021-08,6272,16499,1272391,7.94
2022-12,4575,30006,1094976,16.58
2024-08,8953,27979,2116559,13.06
2025-02,8924,33813,782959,11.54
2021-04,9759,46348,4424487,8.85
2021-01,1398,45239,1805875,5.78
2022-10,4122,34239,462448,15.38
2021-07,6989,2777,611355,6.98
2022-03,8925,25193,2342199,21.45
2023-08,9050,47491,1724005,17.88
2022-11,869,22277,1775648,19.77
2022-02,8056,11862,2615154,17.09
2021-06,2030,26837,2385736,9.68
2022-07,9891,23948,1875702,3.55
2023-12,9959,8642,4907528,15.36
2024-05,5683,10268,2946133,12.8
2021-10,5521,44796,4691385,13.34
2022-11,7950,27752,1744094,15.44
2022-11,9772,22689,1722297,1.83
2025-12,1254,48618,3140232,21.7
2021-05,7544,20231,4446447,18.21
2025-07,9710,45391,2703675,9.97
2022-03,9653,7931,1018962,7.81
2023-04,5192,21551,4792550,7.16
2025-08,6361,4796,2829631,18.48
2021-08,8965,26804,2909218,15.96
2023-02,6001,4714,2635812,19.47
2021-08,7684,4973,4250948,20.08
2021-12,2054,5342,2896331,23.13
2023-06,8030,32302,4014194,20.44
2025-02,9177,25973,2906194,7.15
2022-07,8851,22491,772114,18.31
2021-01,7767,38176,2383132,11.01
2024-09,810,42708,4488969,16.65
2021-02,6366,48215,511267,13.63
2021-11,7120,14233,2493334,10.73
2022-04,2410,37826,4634400,8.46
2024-05,8346,14833,2345867,5.05
2022-06,958,31663,3102135,20.92
2022-09,6576,17885,2942353,1.85
2022-05,5063,32955,4092009,3.61
2021-09,4467,44756,4123358,7.26
2021-07,6456,13029,1740889,10.3
2025-09,4738,18460,995776,13.73
2024-04,9708,27633,1670228,3.66
2024-01,4560,12322,4127403,8.27
2023-10,2797,46158,623702,8.46
2025-09,4309,31736,2767721,1.12
2021-01,1895,40485,3689850,3.88
2024-05,9742,24122,1441164,11.11
2022-04,9143,45599,3171975,15.23
2025-10,5875,36345,4613801,23.39
2021-04,3951,23677,4838551,6.47
2025-08,4272,33194,4411200,22.81
2021-05,6739,4893,4153441,22.99
2023-12,2490,7785,2631421,9.41
2022-06,9383,45382,3359835,6.47
2021-08,2027,8931,4543278,24.57
2021-05,1880,24355,753243,15.65
2024-06,6842,31058,330426,12.33
2021-07,6623,31012,4509528,16.54
2025-05,3209,6172,995774,20.85
2022-02,3406,29686,2240832,22.64
2024-03,4842,47354,2369510,13.84
2023-12,3063,13439,1601286,2.99
2025-03,2066,17730,876383,24.57
2025-12,7758,43406,2757168,20.39
2023-07,1610,19848,4302379,22.47
2022-11,4006,29278,3734829,13.75
2023-02,3032,41515,148419,24.21
2025-12,8183,22118,3437071,1.0
2025-12,368,37066,2650552,1.35
2021-11,1261,19582,1887484,21.84
2021-08,1990,37954,1881305,13.57
2025-05,6533,49886,3458366,17.83
2025-03,3330,36092,495810,2.26
2024-05,9503,12758,2449096,8.54
2021-08,5359,16513,4742557,3.57
2022-10,3814,17097,2890755,10.76
2024-03,3609,11617,165204,7.71
2024-12,4791,12670,548755,24.36
2023-11,6527,41515,2247270,20.55
2022-09,8018,5491,2368285,14.96
2024-03,5441,20609,2247925,5.58
2025-08,4071,9539,3699534,16.37
2025-04,8043,45059,827751,10.29
2025-04,4932,44508,1146129,2.17
2025-06,3068,25813,1576098,3.71
2022-04,3826,3217,2873493,22.17
2021-03,7487,37431,3043146,13.01
2025-03,7800,6623,2179569,23.34
2024-09,1508,16677,2670304,7.17
2025-11,274,25684,4043455,20.26
2023-02,5549,13689,2836378,9.01
2022-12,3326,24922,1776695,4.98
2024-12,2797,1319,4385589,5.16
2024-02,977,22662,3953584,9.47
2024-10,2479,13463,4295775,5.92
2021-06,8898,6727,4795788,18.49
2021-11,7730,8624,482503,22.91
2021-10,930,38150,2705459,3.98
2025-10,1646,31729,4240303,10.14
2022-12,3426,41688,3540964,2.45
2025-01,8806,8468,3811083,22.42
2021-11,4204,27926,4894608,10.57
2023-09,1751,3060,3035446,6.63
2025-09,691,3028,2126098,16.51
2024-02,3032,38638,101290,7.45
2024-08,3434,6251,3880897,21.93
2021-05,8237,36812,3694320,2.0
2022-01,8372,43569,4133932,20.51
2022-03,8243,28674,2834308,9.37
2024-11,1488,23177,1504274,20.39
2023-08,5058,37335,1973797,21.35
2023-01,3658,7244,2672719,7.41
