user_id,trial_days_used,features_used,converted_to_paid,trial_start_date
27021,7,8,Yes,2023-12-29 12:37:25
28340,3,6,No,2023-01-07 17:29:25
14941,13,4,Yes,2023-03-27 10:41:13
1182,19,2,Yes,2024-09-01 19:09:35
3209,6,2,No,2022-07-23 10:43:18
5711,27,3,Yes,2022-12-07 08:55:43
40019,11,8,Yes,2023-04-28 15:55:17
39091,18,9,Yes,2019-10-16 08:59:30
11426,9,2,No,2023-02-28 14:46:34
40349,27,7,Yes,2024-05-20 13:20:51
27120,12,1,No,2024-10-10 02:55:22
35675,10,8,Yes,2020-02-07 07:32:52
34930,17,1,No,2019-07-24 07:28:33
31752,25,6,No,2022-07-29 00:15:21
39649,11,6,Yes,2019-04-26 00:15:28
29692,15,4,No,2018-11-13 12:55:35
4730,10,7,No,2018-10-09 05:52:03
10145,14,3,Yes,2019-08-09 20:05:24
7307,27,7,Yes,2018-09-24 02:20:38
7701,8,1,No,2019-10-31 00:55:07
7841,4,7,Yes,2019-12-20 23:58:28
15091,2,5,No,2024-12-19 16:39:58
30992,23,2,Yes,2023-10-29 15:39:45
11831,21,2,No,2021-08-17 13:37:56
20795,23,3,Yes,2021-02-08 11:28:38
23985,19,2,No,2022-11-11 04:16:51
36674,28,4,No,2021-10-13 03:09:04
5650,4,9,Yes,2018-02-04 17:19:10
13038,8,4,Yes,2021-09-09 06:49:41
25860,6,1,Yes,2023-06-16 08:14:46
40466,2,2,No,2024-03-26 00:51:07
40814,20,3,Yes,2022-08-10 13:39:08
27450,9,1,Yes,2023-09-01 03:48:26
39826,24,4,Yes,2022-10-26 11:03:45
30396,8,8,No,2018-03-12 22:09:41
1444,11,9,Yes,2019-09-28 00:33:42
1222,3,7,No,2020-06-10 04:03:43
12055,24,5,Yes,2021-08-04 05:43:07
41204,8,9,No,2019-10-08 19:33:55
45738,6,3,No,2021-01-21 15:04:35
5549,16,6,Yes,2024-05-27 01:23:46
23066,6,7,Yes,2020-05-08 01:48:52
45403,14,8,No,2020-12-30 03:49:06
49865,2,2,Yes,2018-12-07 06:53:10
41275,28,6,No,2023-11-15 13:32:08
32479,21,2,Yes,2024-05-24 17:51:18
29922,8,4,Yes,2022-08-30 16:52:13
27033,21,1,No,2021-05-15 21:26:54
41425,29,6,No,2023-08-09 17:27:16
32992,28,5,Yes,2019-09-30 19:44:04
24153,17,2,Yes,2023-01-28 13:31:37
47783,19,8,No,2024-05-06 19:13:43
33094,21,7,Yes,2019-05-07 05:40:21
48882,15,1,Yes,2021-06-07 20:07:27
1181,25,5,No,2021-08-04 05:25:53
14465,5,3,Yes,2018-04-19 03:44:03
44760,14,8,Yes,2023-08-30 14:57:40
9354,6,1,Yes,2018-12-22 07:47:38
24230,28,1,No,2020-05-04 19:58:27
6606,15,3,No,2018-09-28 06:40:34
10614,12,8,No,2019-03-21 08:38:26
38843,23,6,Yes,2020-01-31 05:51:48
37561,23,4,Yes,2024-09-16 10:13:49
44580,12,6,No,2019-05-12 19:29:04
9669,18,1,Yes,2019-09-11 13:38:45
33173,12,5,No,2019-01-05 07:53:01
11921,8,6,Yes,2024-01-15 04:26:55
46190,2,2,Yes,2020-07-25 16:38:09
29099,8,9,No,2021-10-19 01:02:47
18202,16,5,No,2021-12-22 03:43:57
49101,8,7,No,2019-01-11 13:40:18
19219,21,8,Yes,2020-05-08 00:11:40
44731,15,1,Yes,2019-01-07 04:31:02
24168,10,9,No,2019-07-20 00:55:14
48382,2,5,No,2018-06-20 20:33:20
28002,7,3,Yes,2022-04-21 05:23:00
43008,25,2,No,2022-05-22 04:58:24
34482,19,5,Yes,2019-06-26 08:27:49
49844,5,7,No,2023-01-22 17:48:50
31571,16,3,Yes,2022-03-06 12:19:41
46227,20,2,Yes,2024-06-19 23:44:55
39524,27,6,Yes,2023-11-23 19:13:25
38471,18,8,No,2018-01-26 01:08:38
36935,13,6,No,2021-07-25 18:44:16
40911,24,3,No,2023-10-24 20:36:34
21634,14,9,Yes,2018-08-02 01:34:59
15095,12,1,No,2020-12-13 04:41:29
38491,7,7,No,2024-07-09 12:40:06
35601,23,2,Yes,2018-07-19 02:29:25
30344,24,2,Yes,2022-04-30 18:18:36
8438,20,1,No,2023-01-09 22:40:31
22242,26,2,No,2020-03-17 23:35:02
2494,25,2,Yes,2019-09-15 03:47:19
21263,16,1,No,2024-04-09 04:36:55
14279,1,2,No,2022-06-02 06:48:28
48425,14,5,Yes,2023-09-17 21:37:37
16398,11,2,No,2024-05-11 11:04:23
46083,21,9,No,2020-11-01 23:39:10
32201,12,9,No,2021-12-29 02:08:02
26730,28,5,No,2022-06-20 21:24:17
30555,15,7,No,2018-03-29 12:28:29
7710,5,4,No,2021-05-02 05:36:12
34811,14,5,No,2018-07-19 05:55:43
27851,6,1,Yes,2022-10-11 12:42:52
2152,9,9,No,2019-06-13 08:08:58
30929,15,8,Yes,2023-10-12 20:44:02
13631,8,6,Yes,2024-11-15 18:42:37
42205,19,5,Yes,2021-01-25 20:07:12
2873,10,8,No,2021-05-08 06:29:49
32064,29,2,Yes,2024-02-10 22:24:56
30797,18,7,No,2021-08-08 23:50:03
3132,13,7,No,2020-03-20 07:00:09
2689,8,2,Yes,2018-08-01 01:44:56
149,29,7,Yes,2020-10-10 02:11:44
7224,18,5,Yes,2019-08-21 19:53:47
4996,5,4,Yes,2024-04-26 05:45:09
34402,21,9,Yes,2020-05-18 14:54:14
46438,14,6,Yes,2019-12-11 08:40:45
41148,25,9,No,2024-09-26 17:44:34
2475,23,3,Yes,2023-04-17 20:03:42
15800,19,4,No,2023-06-24 01:58:02
15084,15,9,Yes,2019-01-15 06:39:03
34639,11,3,No,2018-05-23 16:06:42
18276,25,6,No,2020-09-21 05:49:12
35997,13,7,No,2024-03-08 03:46:43
3696,17,5,No,2020-02-19 11:13:24
25386,21,4,No,2018-07-13 16:28:29
1239,19,3,Yes,2023-01-11 15:40:52
29200,2,2,No,2020-12-02 08:51:46
5051,10,7,No,2024-07-05 19:35:51
27728,16,2,Yes,2024-02-07 18:59:09
1575,25,1,No,2022-02-12 18:06:06
25301,20,8,No,2024-12-05 00:28:33
46241,26,8,No,2021-05-17 04:44:12
37509,18,7,Yes,2024-03-27 10:58:57
9345,17,6,No,2018-04-12 16:44:50
12898,18,3,Yes,2022-06-11 19:53:59
43904,5,8,No,2018-09-27 10:43:01
25746,27,5,No,2019-11-21 19:22:23
43919,22,5,Yes,2023-10-09 18:15:21
20949,1,1,No,2018-04-02 08:52:56
34109,5,4,No,2023-01-11 01:52:57
24899,8,8,Yes,2020-12-10 08:02:38
25591,18,7,No,2023-05-01 14:28:08
20658,29,3,No,2023-06-29 06:09:32
42153,15,2,No,2024-07-19 21:38:17
49683,4,2,Yes,2021-08-06 18:43:26
15961,12,1,No,2024-06-02 17:01:26
21826,3,9,Yes,2020-02-21 20:51:57
38035,12,9,Yes,2024-03-05 06:13:32
9378,24,6,No,2018-07-26 16:23:02
26269,25,6,Yes,2021-04-28 00:02:20
15474,18,3,Yes,2020-08-14 09:47:58
19022,5,1,No,2023-03-20 04:19:12
38587,12,1,No,2024-04-12 21:09:44
27946,25,2,Yes,2023-04-29 05:43:29
1034,10,3,No,2024-12-29 07:11:47
36031,19,8,No,2019-02-06 10:39:07
45016,6,5,Yes,2023-02-16 03:07:43
44533,7,7,Yes,2024-12-22 09:22:26
29665,27,5,Yes,2023-04-06 22:11:02
11529,1,6,No,2021-11-26 08:43:32
11695,22,4,No,2018-11-28 14:03:15
47745,2,3,Yes,2021-08-04 06:47:39
36267,29,5,Yes,2022-01-14 02:03:05
9862,6,3,No,2019-05-29 02:39:02
49150,20,6,No,2019-12-18 13:28:19
7014,24,5,No,2024-09-21 16:19:03
44429,7,5,Yes,2020-09-10 21:35:34
31079,21,1,No,2023-03-04 20:54:15
25579,29,8,Yes,2021-05-03 23:09:03
8768,26,6,No,2021-06-14 20:24:41
49910,27,2,No,2019-01-14 13:47:14
40149,28,4,No,2021-12-26 06:04:40
32970,18,1,No,2021-09-24 05:04:30
20912,17,1,Yes,2020-01-02 13:25:27
44291,15,9,No,2022-06-05 21:08:06
35150,2,4,Yes,2023-01-11 03:22:24
15303,16,1,No,2024-06-07 03:26:58
723,28,6,Yes,2024-09-24 06:38:17
41156,3,1,No,2022-04-08 03:21:02
19986,22,1,Yes,2021-03-14 16:37:06
25347,6,3,No,2021-07-30 10:15:22
26219,13,3,No,2022-02-09 15:22:53
40821,29,1,Yes,2022-01-17 17:16:15
24728,18,6,Yes,2021-03-21 01:26:54
40239,21,8,Yes,2019-07-13 16:58:31
20872,15,3,Yes,2019-06-23 01:35:35
12101,29,6,Yes,2023-07-13 00:05:44
36599,8,1,Yes,2022-04-02 01:41:21
15821,14,2,No,2024-11-22 04:18:20
23092,22,3,Yes,2018-10-21 02:07:29
48758,18,9,Yes,2024-05-02 20:55:47
26320,15,2,Yes,2018-01-05 10:50:15
24951,2,2,No,2018-12-11 07:14:53
37437,17,6,No,2023-09-28 01:48:46
38347,15,6,No,2018-11-15 04:39:52
14145,10,5,Yes,2019-04-23 03:33:59
20598,9,8,Yes,2021-06-20 04:26:48
26566,15,9,No,2023-12-05 06:19:30
6043,13,4,Yes,2023-10-24 19:08:16
25130,14,3,Yes,2020-08-15 20:02:02
8754,20,8,Yes,2019-08-04 10:15:54
2337,27,3,Yes,2024-12-15 03:48:13
34126,11,5,Yes,2023-11-14 17:09:19
47078,9,5,No,2023-01-07 12:09:59
29,20,7,No,2020-05-28 00:25:37
34267,4,5,No,2019-06-15 05:07:23
47723,8,2,No,2024-07-25 12:31:43
34692,27,2,No,2024-06-30 15:26:01
8657,3,3,Yes,2018-05-24 20:14:40
49569,16,2,No,2020-04-02 15:49:20
15738,12,2,No,2024-04-28 13:45:58
48084,22,1,Yes,2024-07-08 02:17:22
13449,23,1,No,2022-08-22 00:25:24
24509,7,6,No,2018-11-10 08:42:45
7939,8,1,No,2021-07-17 13:05:35
26704,4,1,Yes,2021-07-22 09:26:04
38038,28,4,No,2020-07-03 18:42:29
1819,6,9,Yes,2022-06-08 16:12:34
6834,5,5,Yes,2024-10-26 10:14:32
2105,5,3,Yes,2023-09-26 05:28:39
22065,16,2,No,2022-01-21 09:47:50
19720,24,3,Yes,2022-12-10 11:09:55
41249,2,3,Yes,2019-08-18 02:58:29
30157,12,6,Yes,2020-05-31 19:26:07
26986,18,1,Yes,2021-02-14 08:28:25
44108,12,9,No,2021-10-11 02:13:15
17033,4,6,Yes,2018-01-29 17:49:32
28275,3,6,Yes,2023-11-19 23:59:05
32454,2,1,Yes,2019-01-10 15:31:45
8262,17,5,No,2024-09-05 21:43:16
9708,29,9,Yes,2020-08-28 16:07:08
4968,10,7,Yes,2020-01-16 09:46:31
33336,24,7,Yes,2021-12-23 20:48:52
43500,10,8,No,2020-07-22 21:47:55
22883,24,7,Yes,2020-11-02 11:07:21
21137,19,4,Yes,2022-11-30 18:38:02
33339,18,3,No,2019-05-16 02:58:47
16262,20,1,Yes,2021-10-22 20:57:07
19566,15,4,Yes,2018-04-26 06:49:24
23343,14,3,No,2022-04-02 08:17:47
13716,7,2,No,2022-06-15 10:02:02
47742,9,7,No,2020-08-02 19:20:35
46338,27,4,No,2021-04-22 02:28:35
44132,18,8,No,2021-06-10 18:10:48
36795,16,1,No,2022-04-06 14:40:21
28786,26,9,No,2021-02-15 11:43:16
47558,21,3,Yes,2021-01-26 00:39:58
44256,16,9,No,2023-05-09 11:02:53
43233,22,5,Yes,2018-10-24 05:06:30
5331,16,3,Yes,2023-04-21 04:29:03
32882,15,6,Yes,2022-01-05 06:01:18
43454,26,7,Yes,2022-10-30 09:40:18
7788,16,2,No,2024-02-13 01:22:13
43730,23,6,Yes,2024-09-28 18:03:41
8034,17,9,Yes,2022-06-07 20:00:53
48513,23,5,No,2024-12-18 10:18:51
34270,27,9,No,2024-12-10 19:40:17
30383,27,3,Yes,2018-05-31 06:20:35
16425,11,6,Yes,2019-06-13 05:03:04
23434,6,5,Yes,2020-11-02 03:56:07
2074,17,8,Yes,2024-02-18 18:35:34
47387,15,7,No,2018-07-19 05:22:23
49339,20,6,No,2021-01-01 04:58:06
31563,6,4,Yes,2022-12-25 12:52:36
40739,28,8,No,2022-07-24 23:25:52
28368,28,3,No,2022-04-08 10:56:55
25319,13,2,No,2024-01-19 09:52:29
16386,23,2,Yes,2020-05-17 10:42:20
2031,4,8,Yes,2024-06-18 19:52:03
38658,9,6,No,2024-05-18 05:49:02
43223,25,2,Yes,2019-06-03 15:22:02
10958,4,4,Yes,2019-12-14 19:32:43
36590,16,6,No,2021-11-08 03:46:11
32340,6,3,Yes,2018-08-04 22:44:51
36678,6,8,Yes,2024-01-06 10:51:04
33510,28,3,Yes,2018-09-14 10:26:14
43376,21,4,No,2024-03-18 19:27:54
34399,28,7,Yes,2024-06-19 23:08:04
46673,12,2,Yes,2023-05-13 20:56:54
30560,22,7,No,2023-04-07 10:41:57
31348,7,1,No,2021-10-30 11:58:14
21244,26,6,No,2020-03-12 11:42:43
14640,21,1,No,2023-06-18 01:09:50
9453,29,6,No,2018-10-11 18:26:47
24587,24,3,Yes,2022-09-03 00:16:34
16495,14,9,Yes,2021-08-04 05:41:59
11661,2,3,No,2024-02-26 06:10:38
24165,19,4,No,2022-09-19 00:50:29
46110,19,6,No,2023-06-02 04:17:34
11579,8,5,No,2022-07-17 02:42:15
31829,1,2,No,2019-03-25 15:19:43
47388,1,4,Yes,2022-09-26 09:08:49
22286,22,8,Yes,2024-07-12 21:49:43
41723,14,1,Yes,2022-04-10 12:19:28
34800,19,8,Yes,2019-02-12 11:11:45
23230,4,2,Yes,2024-08-27 12:09:19
11414,29,5,Yes,2021-07-04 05:27:05
19596,10,6,No,2021-02-28 13:22:25
12899,18,1,Yes,2020-05-19 21:05:18
39531,27,1,No,2024-03-16 02:28:28
12423,28,5,Yes,2020-11-11 02:38:06
40891,13,2,No,2022-09-07 05:18:33
27172,9,3,No,2023-08-03 18:54:30
8472,4,7,Yes,2023-09-09 14:11:36
43071,8,9,No,2023-09-02 15:36:26
42672,6,2,Yes,2021-08-19 21:22:43
11348,4,7,Yes,2018-01-07 04:01:36
15250,2,8,No,2022-02-06 08:24:22
30351,17,8,Yes,2019-05-30 22:02:12
6322,19,7,No,2020-10-07 19:41:14
28000,24,7,No,2020-04-05 23:37:59
4546,19,2,Yes,2020-01-18 14:53:53
36708,20,5,Yes,2024-06-02 19:02:03
11884,22,9,Yes,2020-06-04 04:42:50
4020,1,1,Yes,2018-03-05 01:31:24
4212,21,2,Yes,2024-02-03 13:41:37
8435,2,4,No,2018-06-15 06:15:51
9136,19,5,No,2020-04-23 19:38:07
3991,28,8,No,2018-07-10 22:17:33
48003,12,1,Yes,2024-10-08 12:24:02
37714,2,7,No,2020-01-20 17:33:34
29802,19,9,No,2019-12-28 07:32:37
21958,27,3,No,2023-06-02 09:00:43
27002,4,9,Yes,2018-05-29 20:29:08
22436,4,8,Yes,2023-04-27 10:42:59
15024,18,2,No,2023-11-03 02:58:28
7423,2,4,No,2019-03-16 11:50:45
19979,20,2,Yes,2019-08-25 18:32:48
25725,5,3,Yes,2024-08-01 23:00:34
20531,8,5,No,2019-08-05 10:17:09
20072,5,2,Yes,2020-01-01 16:14:51
49841,4,5,No,2021-05-16 17:58:23
37595,28,7,No,2024-02-05 13:27:01
48333,16,2,No,2024-06-23 02:56:00
20156,5,8,No,2018-04-16 21:06:24
7231,10,9,No,2022-04-01 21:10:04
18973,11,1,No,2020-04-19 09:05:08
40616,18,4,No,2020-06-08 14:29:22
46513,15,5,Yes,2023-12-28 20:28:53
23477,13,8,Yes,2023-04-12 16:54:37
33662,29,2,Yes,2023-11-26 08:31:07
23403,26,3,No,2019-04-09 00:27:38
42118,22,5,No,2023-07-30 20:50:37
15668,15,6,No,2023-10-06 21:55:50
37219,5,4,No,2024-10-25 05:11:37
18766,17,2,No,2022-06-01 17:52:26
17564,6,8,Yes,2024-01-17 06:52:49
38820,10,5,No,2020-10-22 22:46:06
27869,20,9,No,2018-03-16 03:38:16
7353,28,2,Yes,2020-05-01 12:59:29
20245,13,2,Yes,2022-04-14 07:08:06
25149,29,2,Yes,2021-03-07 05:59:45
35459,23,4,No,2018-07-14 12:28:24
41536,12,4,Yes,2018-01-20 03:47:38
13605,18,4,No,2018-12-03 15:42:25
34773,17,1,Yes,2023-10-24 15:06:58
6489,9,8,Yes,2022-02-01 02:29:22
2956,9,5,Yes,2019-08-13 23:10:28
9670,3,1,Yes,2021-05-08 01:41:00
28925,9,1,No,2022-01-25 12:02:20
1248,27,1,No,2023-08-20 08:43:08
44998,29,7,Yes,2020-05-09 00:34:06
28079,19,9,Yes,2023-07-14 04:49:15
47244,21,9,No,2019-10-19 04:16:44
38726,4,3,No,2020-09-18 03:21:40
11979,8,1,Yes,2024-11-25 15:18:57
39875,11,6,No,2020-04-07 14:12:24
34853,18,8,Yes,2019-12-25 13:16:06
7716,22,6,No,2022-09-24 01:20:38
4683,20,3,Yes,2022-06-19 04:45:52
28974,11,5,No,2019-07-22 01:18:59
14834,7,1,No,2024-12-28 13:14:24
14292,22,2,No,2022-06-14 11:47:18
8914,9,5,No,2022-11-12 16:54:43
15658,27,1,No,2023-08-08 13:19:05
29373,12,4,Yes,2022-01-05 20:04:21
32654,29,6,No,2024-07-12 11:44:49
29114,9,9,Yes,2023-02-28 03:53:26
49714,14,9,Yes,2020-04-01 13:19:17
45909,10,3,Yes,2018-09-11 09:42:52
40790,14,2,Yes,2018-05-02 10:34:02
6065,13,8,Yes,2019-03-09 06:23:18
6673,4,7,Yes,2023-10-06 18:48:46
25463,26,1,No,2018-02-22 05:26:53
43965,8,3,No,2022-12-24 15:40:32
9135,9,4,Yes,2019-07-10 04:32:36
37972,4,9,No,2024-08-28 01:48:28
14448,1,6,Yes,2020-04-06 17:42:33
33158,24,1,No,2023-09-23 12:03:07
31788,22,1,Yes,2019-02-09 00:45:16
38870,9,4,No,2022-03-10 23:30:53
8647,3,2,No,2020-07-12 01:56:15
16839,28,5,No,2020-11-19 17:23:22
802,7,7,Yes,2022-08-14 13:33:02
8699,27,2,Yes,2023-03-20 21:50:35
10535,22,9,No,2019-08-21 13:12:43
8124,2,8,Yes,2018-01-12 08:56:34
45315,5,8,No,2024-12-31 15:54:55
6793,22,1,No,2020-09-10 13:38:14
5669,22,2,Yes,2020-02-03 09:55:58
6652,28,3,No,2024-03-23 01:11:06
49964,23,1,Yes,2024-07-28 20:10:21
3745,3,4,No,2020-10-16 16:37:09
5736,6,8,Yes,2018-05-07 11:20:08
17149,28,7,No,2023-05-10 04:49:55
43003,27,3,No,2018-09-02 09:05:12
10611,10,4,No,2021-07-02 05:30:59
23043,7,6,No,2018-12-24 17:06:46
26083,25,5,No,2021-05-25 11:24:50
43202,6,8,Yes,2021-11-09 04:36:04
13419,27,8,No,2021-04-20 09:43:09
19545,26,7,Yes,2024-01-10 22:06:36
44387,12,3,Yes,2020-03-23 04:53:21
36044,25,7,No,2019-03-21 02:56:43
44625,21,7,Yes,2020-02-02 15:59:56
38394,27,6,Yes,2022-09-01 10:37:15
29935,20,8,Yes,2021-12-11 05:58:32
30797,23,1,No,2021-11-06 14:38:59
8555,1,1,Yes,2018-12-18 16:52:31
14909,14,5,No,2024-06-17 02:09:36
41816,22,9,No,2018-05-31 04:07:07
23776,23,1,No,2023-05-21 08:04:20
45351,9,6,No,2020-01-26 05:10:12
42315,27,3,Yes,2018-05-11 15:49:01
48853,3,8,No,2019-05-21 05:08:35
9403,2,1,No,2018-04-11 11:16:14
15853,17,2,Yes,2020-04-15 13:55:15
5687,8,5,Yes,2021-07-08 01:59:54
33600,24,9,No,2024-12-29 09:39:25
2313,3,1,Yes,2021-12-05 17:57:39
40747,28,5,No,2023-07-28 05:52:51
38252,13,6,No,2022-01-19 08:35:14
20030,21,3,Yes,2018-09-13 23:39:56
28623,18,9,Yes,2018-10-26 23:00:42
2421,14,4,No,2019-01-25 15:33:44
30765,5,7,No,2021-12-14 00:36:58
25227,4,8,Yes,2020-08-30 03:43:36
12918,19,4,No,2023-05-01 17:21:15
28605,29,1,Yes,2020-06-10 08:37:19
45862,21,7,Yes,2018-03-26 23:50:43
32015,12,8,Yes,2020-06-10 23:53:22
24357,2,5,Yes,2021-05-05 21:30:27
24966,17,2,No,2018-04-13 06:30:45
43055,15,6,Yes,2020-11-04 17:10:16
41743,26,4,No,2019-08-21 12:32:46
27638,18,8,No,2020-07-08 13:49:14
48279,2,7,No,2018-04-13 20:41:03
28880,24,4,Yes,2021-10-08 17:56:56
16229,1,4,Yes,2024-06-06 22:53:57
17966,3,7,No,2024-09-18 17:52:56
13581,28,8,Yes,2020-01-16 20:42:48
38372,15,7,No,2023-12-01 20:46:51
38332,2,1,No,2022-12-02 04:15:00
28719,5,8,Yes,2018-02-05 14:59:17
44120,20,3,Yes,2023-10-19 07:14:07
10572,19,8,No,2022-08-30 09:01:45
12506,4,9,Yes,2023-02-09 17:24:10
32574,15,9,No,2020-04-05 00:06:49
21093,21,4,Yes,2021-01-10 12:40:00
38321,7,3,No,2022-07-10 17:17:12
1422,17,3,Yes,2018-06-23 12:48:02
26971,5,6,Yes,2024-04-30 07:08:33
29719,7,8,Yes,2021-11-14 10:18:45
38927,18,1,No,2022-06-01 13:58:55
10319,29,5,Yes,2023-02-01 10:00:50
37820,8,1,No,2020-08-09 21:42:50
37652,6,1,No,2021-04-28 12:35:02
21938,21,7,Yes,2019-06-27 01:31:19
37489,7,1,Yes,2021-07-08 05:53:44
4465,25,8,No,2022-03-17 04:08:09
27805,27,6,Yes,2021-01-11 17:42:08
11478,17,9,No,2019-08-15 02:34:01
40630,19,6,Yes,2020-02-27 21:59:22
37135,8,5,No,2020-04-07 01:46:26
22291,8,2,No,2018-01-04 02:14:35
20735,22,7,Yes,2018-12-30 08:41:34
23172,13,1,No,2019-01-02 10:22:22
26274,18,9,Yes,2023-10-18 10:12:48
27572,11,6,Yes,2020-12-19 20:18:45
625,11,6,No,2021-09-17 23:42:43
2810,23,5,Yes,2023-10-13 07:48:13
40657,16,2,Yes,2018-08-20 00:09:03
4650,22,2,No,2024-10-02 14:46:48
40650,28,7,Yes,2024-08-19 04:57:51
45940,2,4,No,2023-05-17 18:19:22
32034,1,7,No,2024-01-04 13:04:02
14866,25,9,Yes,2022-03-08 02:02:56
33418,16,6,No,2020-03-30 22:17:56
44416,6,8,No,2019-01-12 09:21:29
19855,25,6,Yes,2020-11-16 10:01:14
10261,10,7,No,2021-10-07 02:47:19
42421,15,1,Yes,2018-10-16 10:04:17
14374,22,1,No,2024-03-19 03:49:09
26921,10,5,No,2019-11-16 00:44:31
32702,15,9,Yes,2024-09-16 12:46:30
9228,15,7,Yes,2023-06-22 14:10:08
31701,28,5,Yes,2022-09-07 23:22:47
16997,8,1,No,2023-01-20 20:46:47
27034,27,7,Yes,2019-03-19 11:01:47
42058,21,3,Yes,2021-02-12 03:28:19
11048,23,9,No,2019-11-26 17:55:04
25095,1,6,Yes,2021-05-20 20:10:39
17728,1,8,Yes,2023-08-23 20:21:22
21560,10,8,No,2019-12-25 14:43:39
37988,13,1,No,2019-01-02 02:54:34
39091,17,8,Yes,2022-02-26 18:13:24
47565,5,1,Yes,2020-01-26 09:01:05
29884,15,2,Yes,2019-08-27 01:53:50
30896,3,4,Yes,2024-08-08 19:19:36
12569,18,6,Yes,2019-12-01 19:55:03
40347,29,9,No,2021-04-07 19:03:49
25216,16,5,No,2022-02-15 23:51:29
36043,5,3,No,2019-08-14 09:19:47
25038,22,3,No,2022-08-30 17:39:58
29038,15,6,No,2024-03-27 17:22:17
9477,10,7,No,2018-03-20 20:09:34
39067,14,2,No,2021-04-03 15:18:37
35247,6,9,No,2018-08-11 17:15:21
12592,1,2,No,2021-02-24 06:18:24
14710,15,4,No,2023-10-21 17:04:14
39589,20,9,No,2022-09-20 12:33:36
37116,18,5,No,2022-08-01 14:55:43
13360,16,2,No,2018-05-30 23:40:25
18735,21,3,No,2019-03-12 13:18:40
34225,5,6,No,2021-04-24 09:40:59
24847,12,2,No,2023-02-22 09:34:56
31904,8,4,No,2022-03-22 07:13:19
23822,6,6,No,2020-12-09 18:18:56
34834,16,4,No,2024-06-10 06:59:41
4481,1,4,Yes,2023-01-25 09:56:18
39829,22,9,No,2019-04-15 14:38:18
23831,4,1,Yes,2020-05-04 06:51:51
13350,10,2,Yes,2018-03-14 01:59:09
49442,20,7,No,2021-11-22 00:30:49
37252,17,3,No,2018-07-13 14:54:10
17588,7,4,Yes,2018-05-03 03:29:03
32038,3,4,Yes,2019-11-28 20:28:12
43158,13,7,No,2019-05-14 18:12:51
16818,17,7,Yes,2021-12-22 07:55:59
13077,3,9,Yes,2024-11-17 20:21:17
31404,27,9,Yes,2024-06-30 13:51:13
9384,27,9,No,2020-04-22 22:11:51
6456,14,2,Yes,2020-09-15 11:48:05
27792,12,7,Yes,2021-09-16 07:29:35
44365,4,9,No,2018-12-04 08:23:52
33827,23,5,Yes,2018-01-12 16:50:06
5913,21,3,No,2019-02-08 06:18:14
33105,14,9,No,2020-04-02 22:22:58
32346,1,1,Yes,2022-08-14 14:49:00
48851,16,6,Yes,2020-04-19 02:03:29
24828,23,9,No,2024-03-20 07:14:47
24721,25,7,Yes,2019-07-01 06:17:49
15717,24,4,Yes,2024-05-04 03:34:26
37075,27,5,No,2018-05-19 22:22:05
26267,7,1,No,2021-01-13 22:30:07
