service_name,uptime_percent,incidents_reported,incident_date
API,99.99,1,2018-06-12 07:33:28
Payments,97.85,3,2018-01-20 22:39:52
Auth,98.21,1,2020-08-09 20:55:33
Auth,98.53,6,2020-03-10 08:17:51
API,97.36,2,2022-11-03 04:18:16
Payments,99.13,6,2022-08-13 23:15:54
Payments,97.79,4,2018-02-14 20:50:04
Auth,97.67,8,2020-02-09 02:41:08
Payments,97.57,2,2019-07-18 20:43:59
Auth,99.23,4,2021-09-01 05:29:25
Dashboard,96.85,6,2018-03-28 04:28:43
Payments,95.92,4,2022-04-08 19:30:45
Auth,98.76,9,2019-11-05 10:09:51
API,96.73,7,2024-02-04 18:10:06
API,95.24,2,2020-11-26 13:34:27
API,96.23,9,2022-07-19 23:11:55
Payments,97.08,7,2019-06-05 06:17:24
Payments,97.45,3,2023-07-11 08:55:59
Payments,96.17,4,2018-11-28 05:40:05
Payments,98.58,9,2024-12-19 21:40:44
Payments,99.93,8,2024-01-13 13:08:48
Dashboard,96.56,5,2018-02-06 07:37:56
API,97.41,9,2020-12-09 20:16:53
API,98.47,8,2024-08-22 23:12:39
API,98.56,6,2023-04-29 11:54:29
Payments,96.41,3,2020-02-20 04:22:22
Auth,99.51,6,2019-05-24 08:13:43
Auth,98.58,0,2020-05-28 12:00:03
Dashboard,99.86,3,2021-12-02 15:41:28
API,98.09,7,2021-10-17 16:07:39
Auth,96.2,9,2024-02-13 20:45:11
Auth,98.4,6,2023-07-23 06:49:04
Auth,95.97,3,2019-03-19 22:11:03
Auth,96.04,8,2020-01-30 19:07:45
API,95.91,9,2021-04-22 16:37:10
Auth,97.56,9,2019-03-26 01:32:44
API,97.05,6,2019-04-02 23:06:18
Auth,97.08,8,2021-09-13 03:50:43
Payments,99.32,1,2020-01-16 00:19:34
Payments,95.81,2,2019-08-30 07:09:41
Payments,95.37,0,2024-05-26 12:26:19
API,97.5,6,2023-02-17 05:59:21
API,98.1,3,2019-01-18 03:24:27
Dashboard,97.87,3,2023-04-19 05:23:01
Auth,97.19,3,2024-03-18 13:52:11
Auth,98.52,6,2018-09-03 07:33:38
Dashboard,96.53,9,2019-07-09 22:49:05
Auth,99.64,3,2024-06-06 08:19:16
API,97.34,8,2018-02-15 16:06:07
API,97.53,5,2023-04-17 01:09:06
Auth,97.58,7,2022-09-04 11:31:59
Payments,96.1,9,2018-07-01 19:59:41
Auth,95.19,9,2018-10-26 05:27:24
Payments,95.04,7,2018-01-04 18:32:57
Dashboard,99.57,4,2022-06-22 07:16:29
Dashboard,97.1,2,2020-03-30 23:24:25
Dashboard,98.05,9,2024-09-06 08:15:48
Payments,98.39,5,2022-07-24 10:54:30
API,99.29,8,2021-12-29 13:46:55
Auth,95.11,7,2020-04-13 06:39:58
Dashboard,96.96,9,2024-01-15 17:53:48
Payments,97.07,0,2018-12-31 10:39:48
API,96.06,7,2021-09-20 09:12:30
Auth,97.94,9,2022-06-03 07:21:27
API,96.91,1,2021-08-18 03:01:14
Dashboard,95.73,3,2021-05-31 12:55:01
Auth,98.32,0,2021-04-08 05:44:32
Payments,98.33,4,2024-04-05 03:17:51
API,95.82,3,2020-11-16 04:16:15
Auth,95.23,8,2022-07-12 20:26:14
Payments,95.96,7,2021-12-07 21:01:39
Dashboard,99.6,4,2024-02-28 20:30:46
Dashboard,98.18,8,2024-08-29 04:34:23
Payments,96.3,8,2023-05-09 08:31:41
Dashboard,95.39,0,2022-05-16 09:38:01
Auth,96.38,0,2021-07-10 08:06:58
API,95.81,1,2023-11-26 23:26:38
API,97.3,3,2019-07-06 03:35:22
Payments,96.65,9,2024-05-21 12:05:53
API,96.85,5,2021-07-22 04:43:23
Dashboard,97.58,1,2023-05-15 20:19:22
API,97.4,2,2022-01-04 15:29:12
Payments,98.68,2,2020-10-02 09:04:46
Payments,95.94,0,2024-02-02 17:34:03
Dashboard,95.47,5,2023-03-29 20:10:44
Payments,98.05,1,2022-11-08 12:05:10
API,96.18,3,2024-09-19 04:40:57
Auth,97.61,9,2019-08-02 16:46:12
API,95.51,7,2022-11-03 10:45:20
Payments,97.45,2,2019-03-16 17:02:03
Payments,97.22,5,2019-10-11 17:35:38
Auth,95.26,7,2018-05-20 20:08:41
Auth,96.1,0,2021-09-04 01:38:22
API,98.42,2,2020-05-17 18:07:16
Auth,97.89,7,2021-09-01 02:55:16
Auth,96.82,4,2024-03-17 14:15:33
Auth,97.13,1,2022-05-30 00:30:09
Auth,97.78,7,2018-05-12 06:59:13
Auth,99.33,1,2022-05-28 05:27:30
Dashboard,97.47,4,2019-03-23 12:19:49
API,97.66,2,2024-02-28 13:52:38
Payments,98.06,7,2019-06-08 11:13:46
Dashboard,99.86,8,2020-01-20 12:42:14
Payments,95.23,6,2020-05-02 21:49:28
Dashboard,99.29,5,2024-08-18 00:39:53
Payments,95.42,5,2018-09-28 01:25:40
Dashboard,95.34,2,2019-11-08 17:37:54
Auth,95.99,3,2022-01-15 14:20:09
Auth,97.07,0,2024-04-22 06:41:55
Payments,97.36,1,2023-07-16 20:52:33
Dashboard,98.67,5,2019-02-04 19:28:57
API,96.78,4,2022-07-13 09:04:13
Payments,97.02,0,2019-01-18 14:23:40
Auth,99.02,3,2021-12-03 20:45:56
Payments,97.77,1,2022-05-28 17:38:28
Payments,97.42,9,2021-08-28 19:10:46
Payments,98.28,9,2020-01-02 05:15:54
Dashboard,97.68,5,2022-06-03 09:42:24
Auth,99.19,4,2024-03-08 14:40:49
Payments,95.1,2,2020-01-13 16:16:36
Dashboard,97.89,8,2020-04-02 00:20:19
Payments,97.54,4,2022-01-12 22:17:03
API,96.65,4,2024-04-05 23:29:47
Dashboard,97.57,7,2024-01-20 15:19:10
Dashboard,97.19,5,2020-04-12 06:23:07
Dashboard,98.83,7,2020-03-13 05:15:05
API,97.87,6,2024-06-09 02:03:42
Auth,96.11,7,2020-10-09 00:35:07
Dashboard,97.02,8,2022-12-23 22:02:00
API,99.92,7,2021-09-15 06:42:27
Auth,99.08,8,2018-11-13 17:39:20
API,98.7,4,2018-03-28 14:54:51
Dashboard,99.25,6,2019-04-24 03:30:35
Dashboard,97.05,8,2019-09-24 20:07:35
Dashboard,95.54,9,2022-01-23 04:36:27
Dashboard,95.77,6,2024-01-21 11:38:18
Payments,95.04,5,2019-05-14 23:16:00
Auth,99.18,7,2022-05-31 20:03:33
API,96.0,5,2020-04-29 01:56:53
API,97.76,3,2020-09-03 07:49:33
Dashboard,98.18,8,2024-01-13 07:12:19
Auth,98.86,3,2022-06-14 17:37:14
API,99.78,6,2022-12-03 01:53:52
API,95.3,2,2021-07-09 20:51:30
Dashboard,99.14,6,2018-02-18 18:14:48
Payments,98.29,5,2020-05-08 21:55:49
Payments,99.84,2,2018-09-22 01:54:23
Auth,95.8,2,2021-04-30 00:07:04
Dashboard,98.55,9,2024-11-13 21:15:04
Auth,95.03,3,2018-07-22 17:59:46
API,98.01,7,2021-09-05 17:57:50
Dashboard,97.63,5,2023-09-29 09:11:02
Auth,95.16,4,2019-11-20 01:03:56
API,98.8,4,2022-11-28 06:05:06
Dashboard,99.28,7,2020-01-17 21:20:24
API,97.42,8,2020-08-05 18:54:37
API,96.61,2,2021-09-02 20:48:19
Payments,97.37,0,2024-01-01 04:19:43
Payments,98.5,8,2022-06-23 09:24:13
Payments,96.75,8,2021-09-21 17:11:20
Dashboard,98.91,9,2024-02-14 18:47:42
Auth,99.89,8,2020-12-28 07:01:57
Auth,98.13,0,2020-03-05 16:52:10
API,96.61,0,2020-07-21 19:23:29
Dashboard,95.85,7,2022-04-15 10:04:53
Auth,99.67,9,2024-11-22 00:54:28
Dashboard,96.29,0,2023-09-06 01:40:20
API,95.36,2,2022-03-03 14:36:49
Dashboard,98.47,5,2020-12-14 22:07:05
Dashboard,99.17,2,2022-10-24 22:13:06
Payments,95.45,3,2024-12-05 01:52:13
Auth,99.8,3,2019-08-13 10:34:46
API,97.42,8,2020-11-13 19:54:07
Auth,97.8,8,2022-06-16 23:27:19
API,98.92,0,2022-01-28 05:04:21
Dashboard,98.86,3,2023-08-04 10:14:55
Payments,97.0,6,2022-11-29 16:25:49
Payments,95.46,1,2018-01-26 09:04:55
API,96.81,3,2020-09-15 16:37:31
API,95.29,5,2019-05-13 07:04:23
Auth,95.4,6,2023-08-31 11:28:17
API,96.15,0,2024-04-13 22:51:18
API,98.5,8,2018-07-19 03:36:49
Auth,98.28,9,2018-07-20 03:40:15
Auth,95.97,9,2018-08-25 08:02:34
Payments,98.68,0,2019-04-10 21:23:36
Dashboard,95.35,8,2019-05-15 12:24:00
API,97.3,7,2023-08-30 15:45:55
Payments,97.42,9,2022-01-13 19:08:12
Dashboard,95.17,9,2024-06-30 09:00:18
Dashboard,98.84,4,2023-02-22 09:31:36
API,97.8,9,2023-10-15 01:50:49
Dashboard,98.93,8,2022-11-01 18:34:32
API,99.8,9,2019-02-27 06:39:49
Dashboard,96.47,1,2020-12-15 06:52:02
Dashboard,99.03,0,2022-11-27 20:32:57
API,96.96,7,2022-01-07 10:12:50
API,97.99,3,2023-05-31 08:06:55
API,99.55,2,2022-02-16 12:27:09
Dashboard,95.85,3,2024-04-25 00:27:48
Auth,98.99,9,2019-03-02 13:33:30
Auth,96.97,8,2022-02-16 09:26:14
Payments,99.85,9,2023-12-29 05:30:49
Auth,97.27,0,2020-07-20 11:24:33
Auth,98.75,2,2021-12-10 23:22:24
Dashboard,97.33,0,2019-08-17 21:49:47
Dashboard,95.95,2,2020-05-16 16:00:36
Auth,97.2,4,2018-07-22 10:46:52
Payments,96.5,9,2020-07-02 18:08:51
Auth,97.01,8,2018-03-06 02:35:36
Payments,98.56,1,2023-11-19 06:34:26
Payments,99.23,1,2022-01-23 19:54:08
Dashboard,97.15,4,2022-06-27 09:08:01
Payments,99.66,1,2018-08-01 17:08:33
Payments,95.47,8,2019-07-09 05:53:35
Auth,96.06,1,2024-05-27 15:30:04
Payments,96.03,0,2018-06-22 04:06:48
Payments,95.19,9,2024-01-30 23:56:58
Dashboard,99.43,9,2022-05-23 10:34:24
Dashboard,96.58,9,2018-03-01 22:00:08
Dashboard,98.62,4,2023-04-01 23:45:32
Auth,95.63,1,2020-08-23 11:14:42
Auth,96.45,0,2020-12-02 01:06:24
Payments,98.78,7,2019-03-17 11:15:27
Payments,96.02,2,2020-11-10 23:41:29
Auth,95.15,3,2024-02-29 20:30:00
Dashboard,96.44,5,2021-09-21 05:29:49
Auth,95.2,5,2022-09-18 00:29:57
Payments,97.53,3,2023-04-27 18:14:20
API,98.22,9,2024-04-07 07:51:42
API,96.86,6,2020-12-09 06:13:46
API,96.72,2,2018-10-22 06:31:54
Auth,98.48,6,2020-02-11 15:25:36
Auth,96.8,7,2021-10-23 23:39:24
API,99.7,5,2024-08-19 00:43:32
Auth,98.34,4,2023-12-19 18:44:22
API,95.45,7,2022-01-15 23:23:05
Auth,97.92,2,2019-07-20 11:19:20
Dashboard,98.33,2,2020-11-21 02:57:03
API,95.12,8,2020-04-05 01:55:54
API,95.1,8,2021-08-31 15:25:23
Payments,98.78,0,2020-03-29 12:40:39
Payments,98.02,7,2023-09-26 13:23:53
API,99.71,2,2018-03-31 10:09:03
Payments,98.78,7,2019-08-08 23:11:15
Auth,98.31,7,2023-11-21 07:14:42
Payments,99.36,8,2022-06-26 19:04:42
Dashboard,98.85,6,2018-03-20 21:59:59
Auth,95.14,0,2019-12-03 06:36:50
Payments,99.23,7,2023-11-17 23:26:14
Dashboard,95.21,0,2019-05-02 13:57:47
API,95.49,1,2021-10-10 03:25:00
API,96.24,6,2018-04-01 14:49:39
Payments,97.22,2,2023-07-05 20:50:41
Dashboard,97.36,9,2019-01-29 07:00:00
API,97.0,3,2024-10-29 16:55:35
Auth,96.29,9,2024-04-16 03:53:35
Dashboard,99.51,5,2024-07-16 09:03:28
Dashboard,96.88,9,2024-10-22 21:21:20
Payments,96.24,5,2022-06-23 08:28:54
Payments,95.68,1,2024-02-15 06:10:46
API,98.42,4,2019-08-18 19:37:15
Payments,96.58,4,2019-07-28 03:12:04
Auth,97.37,1,2023-08-31 03:31:27
API,95.34,2,2019-12-30 08:59:32
Dashboard,97.84,4,2018-05-05 11:58:04
Payments,98.14,2,2023-07-08 17:57:06
Payments,98.83,5,2019-02-21 06:00:23
Auth,96.33,7,2021-12-17 01:29:06
API,96.35,8,2021-01-23 18:07:23
Dashboard,96.68,3,2019-12-13 16:24:35
Dashboard,99.06,0,2021-06-12 22:16:03
Auth,98.47,5,2019-01-11 02:08:52
Dashboard,95.77,5,2020-04-07 08:09:20
Dashboard,97.37,5,2019-05-22 13:40:24
API,98.78,6,2024-04-20 23:14:37
Payments,98.54,3,2019-12-08 09:58:05
Auth,97.6,5,2024-04-19 14:31:10
API,97.02,0,2018-01-02 18:58:34
Payments,98.29,6,2019-12-29 14:13:48
Auth,99.04,0,2018-10-19 15:23:24
API,96.74,6,2022-11-09 10:38:57
Payments,97.71,9,2023-05-29 06:11:07
Dashboard,97.92,8,2021-08-02 19:55:36
API,97.94,6,2023-12-17 00:25:18
Payments,97.67,6,2022-01-06 17:10:24
Auth,95.4,6,2024-09-26 04:20:04
Payments,98.8,4,2024-04-24 08:44:28
Payments,96.72,9,2018-03-20 03:35:43
API,96.1,5,2020-04-21 22:54:25
Dashboard,96.07,7,2018-03-11 21:10:31
Dashboard,96.14,7,2021-04-25 20:56:34
Auth,96.94,1,2022-12-13 18:12:25
Auth,99.55,9,2019-04-29 23:22:04
API,95.92,3,2023-01-01 11:44:42
Auth,95.12,5,2022-03-02 17:00:54
Auth,98.84,4,2023-04-25 08:30:54
Payments,98.47,2,2018-07-08 16:54:54
Payments,98.67,1,2024-11-16 06:32:10
Auth,99.74,2,2024-09-06 16:14:56
Payments,98.63,7,2021-06-11 11:29:40
API,98.73,3,2023-12-07 18:26:22
Dashboard,99.11,2,2023-06-27 09:38:04
Dashboard,99.33,7,2019-08-25 03:05:02
API,99.75,3,2020-10-17 11:49:27
API,95.56,1,2021-07-23 13:10:25
API,99.08,4,2021-12-15 15:09:46
Auth,96.63,2,2024-03-14 13:07:04
Auth,95.69,4,2023-10-08 22:03:19
Payments,97.0,7,2024-12-22 06:02:22
Dashboard,96.99,5,2022-12-25 03:15:21
Auth,99.42,2,2019-02-09 15:33:12
API,99.83,7,2020-05-28 20:45:05
Dashboard,97.59,0,2021-11-25 07:36:41
Auth,98.41,4,2021-05-10 16:01:42
Payments,96.36,5,2024-09-19 09:17:41
Dashboard,95.5,1,2021-11-17 04:57:25
Dashboard,99.44,1,2022-06-08 20:35:13
API,96.23,3,2021-03-02 10:55:21
API,98.34,0,2020-06-03 05:41:11
Auth,95.19,0,2023-02-05 16:07:15
Auth,98.73,8,2021-07-30 10:18:32
Payments,99.81,5,2019-11-04 16:44:22
Auth,99.12,2,2019-01-06 03:20:17
Dashboard,97.65,4,2020-06-15 02:11:27
Auth,95.44,2,2022-10-10 05:28:42
Payments,96.55,5,2023-06-03 16:56:34
Dashboard,96.02,8,2018-12-17 05:05:32
Payments,98.69,0,2018-02-26 07:36:14
API,98.58,3,2024-11-23 20:48:12
Dashboard,98.66,3,2020-04-29 22:05:13
Auth,97.39,4,2019-05-23 09:32:55
API,97.76,2,2020-07-10 04:31:43
API,95.0,3,2019-08-02 20:24:24
API,98.58,5,2018-06-05 18:50:43
Auth,98.14,1,2022-04-03 03:46:24
API,95.41,4,2024-11-29 17:51:14
Auth,98.06,9,2019-05-06 17:41:14
Dashboard,96.94,9,2023-02-05 10:36:32
API,97.67,1,2021-01-08 05:57:42
Payments,99.28,4,2019-11-01 14:07:49
Auth,95.39,8,2021-07-19 17:57:39
Dashboard,99.01,2,2021-07-07 14:44:21
API,97.55,3,2019-08-03 08:01:14
Payments,97.72,3,2018-07-27 04:03:45
Dashboard,97.97,2,2020-09-28 21:56:58
Auth,96.29,9,2018-03-06 15:20:27
Auth,98.97,6,2018-10-06 18:16:45
API,98.8,4,2018-12-14 01:14:50
API,99.33,8,2023-07-04 16:11:14
Payments,99.19,1,2021-04-08 17:17:00
API,99.91,3,2021-11-26 16:39:22
Auth,97.81,9,2022-09-05 13:20:35
Payments,96.44,6,2022-01-07 01:18:55
API,96.06,5,2024-10-30 20:55:36
Auth,98.83,3,2024-10-23 14:12:18
Payments,98.16,7,2021-11-07 23:02:46
Payments,98.49,1,2022-09-12 02:03:31
Payments,95.3,8,2023-06-06 10:29:53
API,95.05,6,2019-04-23 14:19:15
Auth,95.13,3,2022-04-20 00:27:51
API,95.67,5,2020-04-13 00:03:01
Auth,95.24,3,2021-12-05 20:56:34
Auth,97.53,6,2020-04-04 04:21:00
Dashboard,97.26,3,2024-11-14 09:33:27
Dashboard,95.17,9,2024-08-29 12:30:11
Auth,98.78,9,2023-07-01 02:25:17
Payments,96.39,1,2024-09-03 05:00:51
API,96.12,1,2019-10-02 15:31:38
Payments,96.54,5,2023-08-06 12:52:28
Dashboard,99.76,1,2020-05-12 04:24:04
Payments,99.89,8,2022-01-02 05:08:12
API,98.63,1,2019-07-08 00:36:58
Payments,97.86,7,2018-02-10 20:17:27
API,99.04,5,2023-11-27 13:47:24
Payments,97.89,1,2023-06-24 08:32:19
API,98.75,8,2020-02-03 01:22:32
Dashboard,97.14,1,2018-10-25 03:04:24
Auth,98.01,3,2020-11-13 23:41:41
API,99.62,2,2020-11-27 13:09:31
API,95.59,8,2021-04-07 10:50:24
Dashboard,97.24,4,2020-06-09 15:59:40
API,97.74,8,2022-08-31 23:48:38
Auth,98.0,3,2024-12-26 02:46:03
Payments,96.18,4,2022-05-13 05:35:49
Auth,96.43,1,2024-08-18 23:59:07
Dashboard,99.89,6,2023-04-21 21:25:36
API,98.82,6,2019-03-13 00:09:23
Auth,98.24,0,2020-08-07 12:11:12
Payments,99.05,3,2019-05-20 21:38:28
Auth,99.26,8,2021-06-06 00:48:45
Dashboard,97.29,2,2022-06-05 20:41:27
Dashboard,96.11,6,2023-04-03 01:25:32
Dashboard,99.43,6,2024-12-27 00:19:39
Auth,96.7,7,2024-07-29 23:03:24
Auth,99.07,1,2021-08-31 01:27:55
Payments,96.6,4,2024-03-03 22:22:48
Payments,98.83,3,2023-03-13 07:17:21
Dashboard,95.12,3,2019-09-24 11:35:45
Auth,96.41,8,2019-10-27 11:16:55
Payments,96.4,2,2021-03-23 22:33:42
Auth,99.27,4,2022-10-09 09:05:34
API,97.94,8,2024-10-27 19:18:25
API,98.41,3,2022-01-01 19:20:25
Auth,99.25,9,2022-07-13 15:27:17
API,98.83,4,2022-07-14 15:13:56
Auth,96.3,6,2022-05-30 16:31:18
Payments,99.04,4,2022-02-27 22:21:11
API,98.7,7,2021-11-01 23:40:47
Auth,95.41,7,2018-04-06 08:02:46
Dashboard,99.87,9,2022-10-27 03:26:31
Auth,95.94,2,2022-08-04 11:39:45
Auth,96.84,7,2020-10-19 17:54:58
Dashboard,98.94,9,2023-08-29 05:44:26
Auth,97.8,7,2023-02-01 03:03:29
Dashboard,95.91,3,2023-03-01 11:36:34
API,99.01,8,2023-04-06 11:02:51
Auth,99.12,5,2023-07-24 13:44:27
API,96.36,3,2018-01-31 06:13:16
API,99.38,3,2018-06-16 04:39:53
Auth,98.43,3,2024-12-22 00:26:43
Dashboard,98.15,3,2018-09-12 04:52:15
Auth,97.26,6,2019-01-03 00:52:17
Auth,95.14,5,2023-03-10 18:23:12
Dashboard,99.12,3,2019-11-11 11:16:05
API,96.14,8,2023-01-03 23:44:05
Payments,96.64,0,2018-07-06 01:10:33
API,98.23,2,2021-08-27 12:53:06
