ticket_id,user_id,issue_type,resolution_time_hours,satisfaction_score,ticket_date
163562,22919,Feature Request,84,1,2021-01-10 10:30:41
102491,41405,Billing,90,3,2023-01-08 03:34:30
72960,34453,Feature Request,116,2,2022-10-02 21:14:58
27617,21842,Login,15,4,2022-10-21 01:43:59
190544,30858,Billing,55,1,2023-12-27 00:23:43
146696,16852,Login,81,1,2022-11-28 19:52:50
27498,11741,Login,7,5,2023-10-06 02:14:27
99760,30601,Billing,68,5,2021-11-24 23:19:05
54800,24474,Bug,115,4,2024-10-12 02:43:56
24800,27019,Bug,38,1,2019-11-05 23:22:50
183189,164,Bug,107,1,2024-02-24 00:08:04
102699,4387,Billing,97,1,2020-02-17 22:26:51
155734,6867,Billing,60,2,2024-02-09 03:15:54
170296,39699,Feature Request,82,3,2018-09-13 16:40:53
136606,14338,Billing,99,1,2022-11-30 22:15:10
8552,30964,Bug,118,3,2019-12-24 12:09:56
174313,8273,Login,45,1,2024-02-04 19:34:58
122281,11806,Login,115,3,2018-02-05 11:40:47
182060,11892,Bug,73,4,2023-09-04 06:57:17
101773,5800,Login,83,1,2023-07-19 22:25:41
159301,46321,Bug,77,2,2023-02-15 19:31:15
36117,42429,Billing,104,1,2018-08-20 08:41:18
164846,14880,Login,12,4,2018-01-31 01:06:30
191510,44079,Bug,106,5,2024-01-17 17:33:05
80780,45604,Feature Request,38,1,2021-04-30 22:43:47
92543,26703,Feature Request,58,1,2018-10-30 13:01:03
81661,3299,Feature Request,90,5,2022-06-07 12:47:36
137177,22126,Billing,45,1,2024-03-07 10:20:06
22524,16874,Bug,66,3,2023-08-07 04:19:30
38546,15394,Bug,41,4,2020-10-08 10:48:59
51360,3967,Login,23,4,2019-01-19 19:26:06
67161,9974,Login,82,3,2024-11-26 09:38:33
198522,19272,Feature Request,45,4,2021-07-08 02:50:08
64519,42513,Billing,23,5,2022-07-29 16:59:21
179268,35278,Feature Request,27,3,2023-08-10 12:59:19
90021,7877,Login,19,1,2018-05-16 15:00:29
106305,21672,Feature Request,19,3,2021-05-10 14:22:59
105279,39727,Feature Request,73,1,2024-01-14 02:19:14
107290,13758,Bug,64,3,2024-08-28 12:07:26
65653,13639,Feature Request,51,2,2022-10-09 06:31:26
97726,20813,Billing,93,3,2020-09-17 00:46:47
7559,187,Bug,42,5,2024-03-24 19:34:47
31130,30436,Billing,41,2,2024-11-06 01:23:46
106397,39509,Bug,59,1,2020-08-29 03:43:50
38866,31374,Billing,105,5,2022-11-19 06:37:15
106036,4049,Billing,95,3,2022-03-09 23:39:28
70513,4480,Billing,92,5,2018-01-15 02:38:55
133232,17221,Login,31,3,2021-05-25 23:51:42
110779,3068,Feature Request,12,5,2024-05-18 12:42:01
9967,32962,Billing,70,1,2019-03-16 17:23:08
110360,31358,Feature Request,72,2,2020-11-24 10:23:30
58805,42294,Bug,22,4,2019-07-27 12:35:56
21849,41068,Feature Request,27,4,2022-03-02 06:10:21
140245,16041,Feature Request,22,3,2020-02-27 10:54:42
151336,44786,Feature Request,29,3,2023-08-08 18:52:19
54330,31107,Feature Request,30,2,2020-08-05 17:11:37
4706,13743,Bug,79,5,2022-04-11 05:01:02
137526,7863,Login,16,1,2018-02-28 06:39:47
88786,34677,Login,95,4,2022-08-25 02:54:16
105142,32967,Login,39,5,2023-02-11 00:50:21
126276,43409,Bug,103,2,2024-11-28 05:59:48
125113,31489,Feature Request,62,5,2022-08-24 02:09:59
172653,39997,Billing,27,5,2024-01-11 05:45:18
165957,33440,Bug,63,3,2020-04-17 05:24:59
174817,41183,Billing,18,3,2019-06-10 07:25:09
14184,46331,Login,117,3,2023-09-21 22:16:52
131716,29257,Billing,72,3,2019-04-20 13:01:07
73858,18604,Login,22,1,2024-04-11 07:26:22
130387,15592,Bug,106,2,2018-07-10 16:40:04
50014,18198,Login,47,5,2022-01-03 11:00:49
191667,22552,Feature Request,27,5,2021-09-30 09:32:52
35596,24561,Bug,51,2,2019-08-17 21:26:35
183352,40225,Billing,72,5,2018-03-29 02:00:20
129724,44183,Login,34,5,2020-06-17 22:23:33
63832,5427,Feature Request,84,2,2022-03-16 03:55:29
142470,20471,Feature Request,72,5,2024-01-27 08:39:13
127644,2098,Login,19,2,2019-12-24 08:56:52
43605,28136,Billing,89,1,2020-01-10 18:33:58
166708,44758,Login,91,5,2023-01-22 23:37:53
184118,10040,Billing,71,5,2022-11-25 18:34:34
77114,41989,Billing,102,4,2019-07-12 23:15:05
176235,39143,Billing,49,4,2020-10-19 16:02:59
5250,11056,Login,30,5,2019-03-04 17:34:45
172962,567,Billing,104,1,2022-10-01 05:21:10
57542,14063,Billing,81,2,2020-04-08 17:02:18
12036,20111,Billing,85,3,2024-06-19 16:12:43
117777,13118,Billing,72,2,2024-02-07 16:39:10
150269,4572,Login,84,4,2020-06-03 23:39:50
152767,49193,Bug,75,5,2023-02-22 06:49:33
7476,14763,Feature Request,56,5,2024-09-08 15:46:54
179546,47269,Bug,23,2,2018-12-01 22:59:12
158248,33657,Feature Request,38,2,2019-05-08 15:10:28
82059,13498,Billing,102,4,2021-02-24 03:26:00
94328,19364,Bug,81,2,2023-02-03 10:44:56
186777,47033,Feature Request,62,4,2020-12-06 07:44:40
181799,9919,Login,54,2,2020-10-23 21:24:09
47357,28272,Billing,9,4,2020-09-30 14:18:05
115592,34293,Feature Request,96,4,2023-11-11 13:33:39
176977,23648,Login,2,5,2023-02-08 03:34:20
25457,42775,Bug,6,2,2024-10-12 01:30:06
148956,23969,Login,76,4,2018-02-05 08:18:28
196473,6175,Login,56,2,2021-11-07 04:17:04
117745,45143,Feature Request,83,2,2020-11-08 08:31:52
91936,26526,Billing,74,1,2018-02-11 03:29:33
83613,2668,Billing,119,5,2020-07-26 14:06:40
88336,10818,Feature Request,70,2,2020-12-08 23:33:18
177052,40682,Feature Request,4,3,2019-07-18 02:15:36
137705,32667,Feature Request,63,3,2021-11-01 16:47:10
53459,8022,Login,7,4,2021-05-14 12:16:49
139284,36031,Bug,65,1,2021-10-26 18:48:37
107993,36546,Billing,107,2,2018-03-17 01:26:56
54940,48810,Billing,53,4,2022-01-30 15:15:59
120640,27004,Billing,52,3,2022-05-12 23:54:42
28094,14496,Bug,115,3,2019-09-01 22:18:09
38672,27279,Billing,119,3,2021-10-12 16:21:32
142250,7551,Billing,60,1,2020-11-15 05:28:14
98839,26498,Login,96,1,2020-10-06 17:20:02
41962,5556,Feature Request,45,5,2020-05-04 12:07:59
42824,14055,Billing,109,4,2019-11-24 11:11:26
25275,936,Billing,63,3,2020-08-13 15:08:41
60242,18540,Bug,72,4,2018-06-06 04:57:54
198569,7363,Feature Request,42,2,2018-08-28 01:14:17
156268,37871,Bug,97,5,2023-05-19 22:20:59
84510,16938,Login,42,1,2023-09-10 02:58:33
181812,45830,Login,73,4,2018-07-17 18:23:42
4359,39138,Login,90,2,2021-01-23 14:27:47
178225,19589,Feature Request,72,5,2018-09-20 02:48:16
100612,24769,Feature Request,111,3,2020-10-14 18:56:10
143525,31570,Billing,1,4,2023-12-07 21:06:51
149153,3519,Login,33,3,2018-09-15 17:04:01
178738,38076,Billing,81,4,2021-07-09 11:39:24
109104,2194,Feature Request,91,4,2020-07-12 01:39:33
10302,39012,Login,106,1,2023-07-20 15:24:20
180403,15582,Login,67,4,2023-10-14 02:47:00
188194,34065,Login,19,4,2024-06-18 20:15:36
147517,4689,Bug,4,1,2020-10-11 00:37:13
43228,21877,Login,80,4,2018-02-15 05:12:29
67677,3107,Login,31,1,2023-07-26 14:22:33
136695,2419,Billing,6,3,2019-12-25 19:28:37
172968,23318,Bug,71,4,2023-12-14 07:22:22
171734,4328,Bug,92,1,2022-08-06 20:52:59
13794,14624,Login,101,5,2019-07-02 18:51:42
88716,3304,Billing,93,1,2022-12-18 17:36:17
37566,10795,Bug,59,3,2024-11-09 18:52:33
27819,41217,Bug,101,4,2018-01-03 21:38:07
39350,3602,Bug,115,3,2020-12-19 09:10:40
155685,31457,Feature Request,94,2,2021-02-24 14:50:22
171293,11746,Billing,100,5,2024-07-30 23:49:42
27099,3434,Feature Request,90,2,2019-10-02 06:03:57
179347,11489,Feature Request,108,1,2020-04-10 13:21:14
126063,22361,Billing,104,1,2018-05-15 17:26:12
92175,32759,Billing,59,4,2024-07-16 04:00:05
163954,13707,Bug,24,2,2019-03-17 06:12:14
137544,26488,Login,51,5,2019-10-31 02:47:31
85698,19158,Bug,19,3,2024-01-12 22:11:45
181060,37619,Billing,62,2,2022-09-24 04:25:27
169841,38297,Login,97,2,2024-08-05 18:28:27
142296,11575,Feature Request,78,1,2020-01-01 09:16:19
99448,19127,Feature Request,117,3,2018-06-16 04:28:54
137600,48099,Feature Request,92,5,2023-12-22 05:03:43
95600,32126,Bug,35,2,2023-04-10 11:16:51
45224,33080,Billing,31,3,2018-12-20 04:28:11
32331,36079,Bug,22,2,2018-03-30 22:30:39
13944,36749,Billing,19,3,2024-02-20 13:24:10
196657,34345,Billing,117,4,2018-10-15 00:53:47
31499,2326,Feature Request,22,2,2023-04-17 17:07:27
19773,2633,Billing,42,4,2020-01-04 11:32:27
63717,27588,Bug,96,1,2018-05-08 15:57:26
30624,32334,Bug,26,5,2022-12-24 03:07:57
5130,42653,Bug,100,5,2018-02-20 18:57:17
186803,22842,Billing,116,1,2021-02-09 06:35:12
133418,4247,Bug,55,3,2023-04-29 19:53:12
175421,42474,Login,29,5,2022-10-07 12:50:58
148827,46437,Feature Request,112,1,2024-05-09 10:06:50
84938,42809,Login,46,1,2021-11-06 04:51:26
126422,47846,Feature Request,36,2,2018-04-17 14:56:55
10012,18361,Bug,2,4,2024-08-06 09:00:06
177624,30894,Bug,108,4,2022-03-07 07:27:53
85921,23108,Feature Request,105,3,2018-10-01 18:59:33
52640,19237,Login,13,4,2018-09-14 09:01:01
182528,34595,Login,16,5,2019-03-14 10:33:00
96921,31223,Feature Request,33,3,2018-07-03 14:54:13
145622,3244,Bug,116,4,2018-03-11 06:08:41
42191,4374,Login,66,5,2019-09-12 01:44:07
23028,29868,Bug,108,4,2021-10-15 19:20:24
34128,24536,Feature Request,89,5,2023-05-28 21:16:54
89993,42709,Bug,38,4,2024-08-07 06:46:46
58437,6319,Login,1,5,2022-03-22 19:55:54
147628,44158,Login,46,3,2018-10-09 03:42:13
62948,47069,Billing,17,2,2018-07-05 11:05:56
122228,11893,Billing,109,4,2024-07-02 23:34:34
11251,8882,Bug,75,4,2019-12-02 11:04:16
81425,44171,Login,24,4,2019-01-11 21:26:31
146009,26181,Billing,62,1,2021-06-17 06:20:32
17259,12863,Bug,105,5,2022-03-12 18:17:36
52083,3821,Bug,42,4,2021-07-26 07:31:50
145422,21039,Feature Request,87,3,2019-09-22 14:51:30
79313,31778,Login,28,4,2019-07-04 13:39:21
134718,19491,Feature Request,62,5,2021-06-25 10:06:33
92821,47157,Login,80,3,2018-11-07 04:34:25
36136,16253,Bug,90,4,2019-01-07 01:49:14
185065,47590,Login,17,4,2021-05-02 09:16:15
85421,19521,Feature Request,38,3,2020-04-19 13:18:56
183121,25341,Billing,93,3,2019-09-19 19:01:14
68257,3228,Feature Request,59,4,2024-06-14 01:32:24
86567,19573,Login,56,5,2019-01-17 22:35:26
162522,39760,Billing,17,2,2024-07-02 19:09:04
119383,12054,Bug,60,2,2022-07-07 10:43:05
36182,16032,Feature Request,1,1,2020-01-07 11:42:10
118864,28974,Login,17,5,2024-09-29 22:32:01
153941,45559,Billing,7,5,2023-06-16 11:58:44
171187,40110,Feature Request,12,1,2018-09-10 04:59:54
20846,38032,Bug,29,5,2019-09-04 22:52:50
169528,43367,Billing,36,2,2022-05-02 07:02:19
86338,13395,Bug,69,5,2021-04-12 20:41:00
24471,10165,Login,110,5,2022-06-01 02:16:05
153111,3582,Feature Request,81,3,2018-01-28 08:47:41
99478,42618,Feature Request,94,2,2019-12-07 20:30:29
116825,16650,Feature Request,19,3,2023-08-16 16:48:56
63430,15375,Billing,26,3,2019-08-30 23:57:37
12310,48135,Bug,87,3,2023-07-03 01:54:15
139605,14960,Login,35,1,2019-07-23 19:44:48
172149,10498,Login,34,4,2018-04-30 03:17:20
195957,30258,Bug,25,3,2020-06-16 12:40:29
180913,42790,Login,61,2,2019-02-13 00:53:18
56868,18104,Feature Request,19,5,2024-01-29 04:47:29
71717,43878,Feature Request,110,3,2019-12-10 07:04:59
138282,29047,Bug,54,4,2024-07-07 18:16:58
20475,28644,Bug,44,2,2020-08-03 04:00:47
172979,26139,Billing,99,5,2018-06-04 20:30:39
81840,20884,Login,115,3,2023-01-09 17:50:47
168011,44953,Feature Request,48,1,2024-05-14 12:28:14
45065,26833,Billing,30,2,2021-03-27 15:12:00
141658,16297,Feature Request,59,4,2024-06-17 17:15:13
410,23570,Login,112,3,2019-03-08 06:12:11
135643,21471,Login,85,2,2019-11-13 09:48:00
2742,11342,Feature Request,119,4,2018-04-19 11:06:57
143540,25227,Billing,116,1,2024-10-10 10:06:21
193019,47920,Login,20,2,2019-06-29 10:44:29
181949,26766,Billing,97,4,2020-07-29 03:30:31
18536,1122,Feature Request,56,2,2023-06-22 21:17:38
102312,38813,Login,41,4,2023-05-16 12:51:24
176297,8318,Billing,104,3,2019-11-12 19:23:12
97116,27924,Bug,110,5,2024-08-23 13:39:41
132515,42176,Login,45,1,2021-04-25 19:28:54
163756,11322,Billing,90,5,2020-07-11 22:15:39
64591,19495,Billing,14,4,2021-07-11 00:38:07
64543,45293,Billing,25,4,2018-10-03 14:49:59
63915,36852,Feature Request,19,1,2020-11-15 10:13:52
119637,40541,Billing,99,4,2024-12-10 09:11:59
6661,46867,Login,8,1,2021-04-16 15:41:42
118847,15621,Billing,91,2,2021-01-22 14:40:22
32990,48278,Feature Request,92,2,2019-07-12 19:23:14
36789,33272,Bug,13,1,2021-06-09 05:33:12
176793,48329,Feature Request,17,3,2018-09-29 23:15:00
155074,6691,Login,16,2,2024-12-14 15:40:28
162634,47313,Bug,106,1,2023-01-17 23:02:53
54326,18628,Feature Request,46,5,2021-03-01 00:11:19
105765,41428,Login,19,4,2019-03-07 19:15:09
162322,7993,Login,80,5,2020-12-16 13:21:28
21660,49490,Feature Request,112,3,2020-08-05 05:21:49
52583,47016,Login,56,3,2018-12-23 09:55:57
186291,17278,Bug,12,4,2018-04-10 03:19:23
104443,9825,Billing,22,1,2019-07-10 03:25:49
30070,49779,Billing,49,2,2018-02-12 17:49:31
66245,33476,Billing,75,4,2024-02-27 19:45:37
28,38736,Bug,69,2,2023-02-11 15:12:46
130118,9337,Bug,54,2,2021-01-31 19:16:49
99602,34325,Login,110,1,2024-07-03 10:39:01
199959,21671,Login,75,3,2022-07-26 02:46:48
144419,10827,Login,84,2,2022-10-20 13:58:30
97161,23872,Billing,12,5,2018-04-30 21:20:38
80262,18836,Login,62,3,2024-11-14 05:03:32
60189,9994,Bug,48,5,2018-07-05 06:48:01
101687,33222,Billing,28,5,2022-09-01 12:44:06
83662,2222,Feature Request,20,5,2018-08-29 07:06:40
3966,673,Billing,16,3,2021-10-07 16:38:24
14346,26971,Login,65,2,2023-03-07 22:51:25
170915,23552,Feature Request,41,2,2022-01-27 21:46:54
138800,46098,Billing,41,1,2018-07-27 08:55:51
149502,15844,Feature Request,16,2,2024-07-16 12:24:22
70310,22061,Login,84,1,2021-07-17 18:31:24
118760,44383,Billing,88,2,2021-02-23 21:24:15
79529,7885,Login,46,4,2019-06-24 21:39:15
87931,29205,Billing,116,5,2018-06-24 22:47:12
80047,40509,Billing,76,4,2023-05-08 11:50:22
105109,2583,Login,65,1,2022-05-03 13:14:16
126265,37026,Billing,27,2,2023-02-02 01:10:33
81758,40996,Feature Request,68,5,2018-02-08 09:09:30
143570,18601,Billing,112,4,2018-01-17 18:36:13
27244,3517,Billing,109,5,2022-07-15 01:45:40
155122,13361,Billing,2,1,2020-09-05 14:29:57
53801,49754,Feature Request,77,2,2024-06-12 19:17:21
175486,33734,Billing,71,2,2019-05-31 20:45:12
182599,2961,Feature Request,66,1,2020-02-18 18:49:41
33319,27727,Billing,36,2,2022-07-06 07:57:50
132622,98,Feature Request,5,1,2020-09-28 22:56:42
163750,23964,Login,64,3,2022-01-29 17:44:26
162838,31944,Billing,61,5,2024-10-06 17:10:10
147020,46800,Login,4,2,2018-02-03 22:45:22
64057,10982,Bug,26,5,2021-12-06 15:59:02
69256,12569,Feature Request,114,3,2024-12-17 01:47:43
167127,49362,Feature Request,94,5,2021-08-11 21:22:40
29121,48003,Feature Request,11,3,2024-11-06 20:36:14
135693,36224,Login,102,2,2019-12-07 05:50:32
16313,25188,Feature Request,75,3,2024-09-02 18:17:30
94134,24389,Billing,98,3,2018-03-05 11:35:18
164444,25405,Feature Request,49,3,2018-11-27 00:55:50
6028,35403,Bug,80,1,2020-08-09 19:48:32
166977,33059,Bug,98,3,2020-12-21 02:28:42
31714,39391,Billing,100,1,2020-12-12 23:24:59
41116,4136,Login,39,3,2020-02-20 17:41:21
117094,49739,Billing,112,5,2024-09-15 07:27:27
149956,11182,Feature Request,7,1,2023-12-11 08:36:58
187735,30250,Feature Request,34,5,2022-09-17 14:18:12
95879,17293,Feature Request,37,4,2023-02-10 07:40:19
199178,40108,Login,80,1,2020-07-18 07:18:44
73949,37201,Bug,70,5,2021-06-27 06:37:12
121982,26189,Bug,71,1,2019-03-26 15:23:45
22121,28399,Billing,28,5,2019-07-09 16:43:00
95099,19502,Bug,65,1,2020-12-20 14:19:04
32008,6982,Billing,46,4,2021-12-13 15:49:35
15414,27100,Login,103,2,2023-04-17 03:53:38
114231,46208,Billing,98,3,2021-10-28 23:44:45
64263,46796,Bug,65,3,2023-07-13 12:40:39
148090,32857,Billing,100,4,2023-12-28 14:45:56
99597,16039,Billing,97,1,2024-02-07 10:55:08
132517,22921,Login,65,5,2024-03-14 05:49:02
99167,43337,Login,21,2,2020-05-08 08:53:28
2714,48484,Billing,75,1,2021-03-14 15:13:37
175389,32352,Billing,22,4,2023-05-17 11:17:13
84811,31344,Login,8,5,2024-12-19 11:45:16
57321,14351,Billing,39,2,2022-10-28 20:01:06
184151,10598,Login,110,5,2020-03-01 22:42:15
133164,27604,Billing,21,5,2023-02-08 04:55:44
185696,3765,Billing,14,5,2022-11-06 19:27:42
150943,32694,Login,37,4,2020-05-11 13:07:53
108741,6416,Feature Request,29,5,2022-11-12 14:15:54
184838,20340,Billing,16,5,2018-03-24 01:41:55
145915,41859,Billing,47,1,2018-05-07 04:12:19
25461,11331,Feature Request,15,4,2018-10-19 17:29:10
148586,22616,Billing,60,2,2019-01-09 10:13:50
190861,15786,Feature Request,24,1,2019-04-02 14:13:49
157142,49104,Login,47,4,2018-08-25 04:50:27
838,16517,Bug,82,3,2018-07-31 01:27:17
177290,1458,Billing,13,3,2023-02-19 23:05:17
197513,322,Bug,13,3,2024-03-22 05:32:28
37392,5626,Bug,81,4,2022-07-18 18:51:13
70335,23453,Login,2,2,2020-10-05 14:24:46
154496,77,Feature Request,13,2,2018-04-23 16:30:29
83908,19127,Bug,44,5,2020-02-12 13:29:08
155181,2130,Billing,101,3,2023-01-03 10:10:03
33107,37308,Login,80,4,2024-12-27 15:34:56
66573,48932,Bug,109,1,2018-12-17 19:11:43
28616,28286,Feature Request,113,5,2018-06-22 01:45:56
127303,42915,Feature Request,14,3,2019-07-13 18:27:53
172490,19904,Bug,48,5,2023-11-15 10:32:09
136815,44947,Login,86,1,2023-10-22 21:21:15
189854,34337,Billing,118,2,2023-03-30 11:48:17
6116,27654,Billing,29,5,2018-05-20 15:17:05
175828,830,Billing,38,2,2023-08-06 14:40:10
167336,14672,Feature Request,38,3,2021-11-11 15:23:42
26952,36200,Feature Request,66,5,2019-06-21 09:46:45
199400,40291,Feature Request,98,5,2023-09-28 12:16:47
69707,37345,Bug,24,5,2019-11-30 12:33:30
194983,42010,Feature Request,11,4,2024-04-02 03:32:59
58991,28955,Login,60,4,2022-05-07 04:14:23
122781,31185,Billing,101,4,2022-03-19 01:14:56
135170,47053,Billing,119,5,2018-07-30 23:01:36
54316,27288,Feature Request,108,3,2020-11-13 03:18:18
156139,24980,Billing,84,3,2019-02-20 14:55:09
1161,7790,Billing,37,1,2018-03-20 06:40:08
91175,1668,Login,74,2,2024-05-04 04:29:03
44004,30540,Feature Request,12,5,2020-01-28 04:28:45
59269,7812,Login,61,2,2021-08-23 04:28:37
116136,25685,Bug,40,2,2018-10-14 17:29:53
61737,32966,Bug,92,1,2019-12-21 00:37:53
5521,34433,Billing,36,1,2021-07-22 08:01:48
133374,40506,Login,32,3,2018-08-24 02:34:07
134981,18524,Bug,72,3,2019-11-01 16:43:02
150113,49330,Feature Request,1,1,2023-05-10 22:11:45
28506,8995,Billing,2,3,2021-06-16 13:47:18
19427,49037,Bug,34,2,2019-01-06 00:31:00
70997,48365,Billing,56,2,2021-08-12 05:25:57
125339,37991,Billing,114,3,2020-04-12 07:23:40
183390,7523,Login,96,1,2018-12-10 08:49:20
71662,13877,Feature Request,79,4,2018-12-19 19:18:24
4984,25048,Feature Request,56,1,2019-07-31 18:14:34
139820,15526,Bug,19,5,2020-06-24 12:21:15
138161,5408,Bug,56,5,2022-08-29 22:35:34
89122,1115,Feature Request,108,2,2019-09-04 07:51:16
27891,1111,Bug,77,5,2018-11-11 15:11:11
46116,17109,Login,9,3,2018-10-06 07:03:19
109151,30406,Bug,35,1,2024-11-03 10:46:36
196041,17489,Feature Request,28,2,2024-07-26 12:33:47
169886,37782,Login,31,3,2019-10-10 05:47:24
136285,9605,Login,16,3,2020-11-13 18:23:13
17119,7042,Feature Request,7,1,2018-04-03 02:31:30
42653,32126,Billing,36,3,2020-11-15 10:10:49
55458,21095,Feature Request,78,5,2022-12-23 15:48:12
120810,47301,Bug,53,2,2018-07-30 07:17:04
128515,36410,Feature Request,100,1,2020-02-05 11:32:30
104184,19855,Feature Request,49,2,2022-01-02 05:54:52
65432,36273,Feature Request,118,1,2022-10-15 02:22:34
174645,20451,Login,50,2,2019-10-26 16:53:05
132268,35347,Billing,74,5,2020-06-21 09:05:01
6593,42736,Bug,70,3,2024-12-25 20:22:48
25693,17768,Login,36,3,2023-10-01 12:17:34
12150,31165,Billing,109,5,2020-08-07 11:39:21
132391,39330,Billing,78,3,2018-10-06 22:18:24
156882,18570,Bug,91,3,2022-12-19 01:02:56
50748,8663,Bug,33,4,2020-12-31 09:26:25
120979,21451,Feature Request,4,1,2021-10-23 11:37:09
34409,11135,Feature Request,53,1,2018-08-27 22:20:08
68014,6491,Login,85,2,2019-09-27 19:56:50
93412,10874,Bug,42,4,2018-04-09 18:49:13
185794,23323,Feature Request,32,5,2020-08-23 15:06:55
159644,18085,Bug,2,3,2022-06-29 06:04:38
140167,17654,Login,90,4,2019-06-27 17:39:01
19967,5496,Feature Request,61,3,2023-07-11 00:33:49
105055,14371,Login,7,2,2019-09-16 10:48:14
111419,8357,Billing,24,2,2022-10-20 17:51:53
114133,26877,Bug,49,2,2022-10-26 17:02:36
107024,28876,Feature Request,110,4,2021-11-09 13:57:33
85578,24266,Bug,62,4,2021-11-27 00:11:01
78963,22756,Billing,90,1,2024-03-17 15:17:08
174646,44295,Login,29,5,2018-05-08 06:12:51
69202,10175,Billing,16,1,2023-06-18 23:23:18
14604,429,Billing,53,5,2020-09-24 21:53:17
144266,37960,Billing,24,3,2019-02-10 21:00:48
145418,27359,Billing,2,3,2022-04-25 00:54:18
143994,5744,Login,30,1,2022-12-18 19:24:58
195165,43244,Login,13,3,2019-02-01 03:56:55
53023,833,Billing,9,4,2022-03-20 14:45:19
22266,45507,Billing,55,4,2023-04-12 19:11:19
119331,9890,Login,56,4,2023-01-13 02:32:00
16812,15263,Billing,93,5,2018-07-29 22:45:10
6786,46884,Login,103,4,2022-04-02 03:33:53
