employee_id,avg_daily_hours,tasks_completed,work_mode,productivity_level
18070,10.5,5,Remote,Normal
85499,7.9,4,Hybrid,Normal
51006,7.4,24,Remote,High
13865,10.4,13,Onsite,Normal
22128,10.9,7,Onsite,Normal
74127,10.2,15,Remote,Normal
25794,6.8,14,Onsite,Normal
27484,5.4,18,Hybrid,High
59554,9.3,11,Onsite,Normal
13768,5.3,4,Onsite,Normal
83521,5.6,4,Remote,Normal
3680,7.8,23,Onsite,High
28250,10.2,24,Remote,Normal
50143,6.6,13,Hybrid,Normal
68550,4.7,12,Onsite,Normal
22731,7.2,5,Onsite,Normal
33530,11.0,20,Hybrid,Normal
52926,5.1,6,Hybrid,Normal
43873,9.1,17,Onsite,Normal
82455,9.5,2,Remote,Normal
46191,10.8,9,Onsite,Normal
88037,4.5,15,Remote,Normal
40275,5.4,21,Remote,High
42258,11.7,9,Hybrid,Normal
89821,6.5,9,Hybrid,Normal
3401,12.0,24,Remote,Normal
25780,4.9,18,Onsite,High
82605,8.4,12,Hybrid,Normal
56641,6.0,20,Remote,High
69021,10.9,3,Remote,Normal
9250,6.7,18,Onsite,High
87202,8.4,24,Onsite,High
79144,10.2,24,Remote,Normal
60305,7.9,16,Hybrid,High
85158,5.5,3,Onsite,Normal
84112,11.4,14,Remote,Normal
32618,5.9,3,Remote,Normal
74167,10.2,24,Onsite,Normal
28134,10.0,23,Onsite,Normal
89613,11.9,5,Remote,Normal
78470,6.2,20,Hybrid,High
28172,4.4,19,Remote,High
87351,5.1,7,Remote,Normal
39039,8.4,1,Onsite,Normal
85149,7.8,14,Remote,Normal
56599,5.7,22,Hybrid,High
31532,9.9,15,Hybrid,Normal
26907,7.6,7,Onsite,Normal
8377,4.1,3,Remote,Normal
16755,4.4,6,Remote,Normal
72368,4.8,16,Remote,High
89271,6.8,7,Remote,Normal
34075,11.9,14,Onsite,Normal
1955,4.7,1,Remote,Normal
8719,11.6,24,Remote,Normal
50432,11.4,24,Onsite,Normal
62904,11.2,14,Onsite,Normal
19424,7.5,9,Onsite,Normal
19786,6.0,3,Hybrid,Normal
57627,6.0,18,Hybrid,High
244,6.6,17,Hybrid,High
64055,11.4,4,Remote,Normal
56625,6.0,19,Remote,High
6225,4.9,2,Onsite,Normal
74486,5.2,24,Hybrid,High
5876,8.2,12,Hybrid,Normal
3969,11.8,21,Onsite,Normal
47645,10.5,2,Hybrid,Normal
54710,4.1,20,Onsite,High
85806,9.5,14,Onsite,Normal
22182,10.2,20,Onsite,Normal
19691,10.3,3,Onsite,Normal
39613,7.6,12,Onsite,Normal
81417,9.4,6,Onsite,Normal
76999,6.0,10,Onsite,Normal
29845,11.7,14,Remote,Normal
53696,5.2,12,Hybrid,Normal
23969,11.3,18,Onsite,Normal
75618,6.2,17,Hybrid,High
34964,5.6,1,Onsite,Normal
51350,9.8,5,Remote,Normal
18172,5.9,24,Onsite,High
76325,6.3,21,Onsite,High
5102,5.9,5,Hybrid,Normal
73024,8.4,24,Hybrid,High
80937,8.8,4,Remote,Normal
37836,6.6,11,Hybrid,Normal
88303,8.9,16,Onsite,High
5033,6.3,17,Hybrid,High
71790,11.0,22,Hybrid,Normal
58133,5.5,22,Onsite,High
51371,11.6,3,Onsite,Normal
13898,10.4,9,Remote,Normal
55773,9.2,18,Remote,Normal
4850,6.3,10,Onsite,Normal
19818,9.9,19,Remote,Normal
43864,5.5,8,Onsite,Normal
38587,6.6,15,Hybrid,Normal
83409,8.0,15,Onsite,Normal
51571,11.6,5,Remote,Normal
33633,6.2,15,Hybrid,Normal
2815,11.5,22,Onsite,Normal
14698,9.4,2,Remote,Normal
62681,11.2,21,Remote,Normal
16435,9.3,17,Remote,Normal
6137,6.6,10,Onsite,Normal
58204,9.3,21,Remote,Normal
55352,11.0,2,Remote,Normal
18922,10.5,17,Onsite,Normal
5138,11.2,18,Remote,Normal
54356,6.6,8,Hybrid,Normal
77505,4.6,4,Hybrid,Normal
44841,10.3,8,Onsite,Normal
22140,8.1,4,Remote,Normal
25998,6.9,7,Remote,Normal
84166,4.9,21,Onsite,High
83850,8.2,22,Onsite,High
62074,11.6,14,Onsite,Normal
28707,7.4,16,Onsite,High
13313,4.5,10,Remote,Normal
86476,11.7,2,Onsite,Normal
26047,9.5,9,Hybrid,Normal
14058,4.2,13,Onsite,Normal
17286,5.1,23,Onsite,High
14744,8.1,2,Remote,Normal
89560,7.3,13,Remote,Normal
75802,5.8,14,Remote,Normal
38160,4.5,23,Hybrid,High
34282,4.7,8,Onsite,Normal
15621,11.7,12,Onsite,Normal
921,5.5,24,Remote,High
2863,8.3,14,Remote,Normal
55230,5.2,8,Onsite,Normal
61766,5.3,20,Hybrid,High
76725,7.0,12,Onsite,Normal
41861,6.6,21,Onsite,High
75687,11.5,2,Onsite,Normal
37010,6.0,23,Hybrid,High
12284,4.6,4,Onsite,Normal
39598,6.4,9,Onsite,Normal
22611,8.1,14,Onsite,Normal
11801,9.0,1,Hybrid,Normal
68909,7.8,17,Onsite,High
29441,8.9,15,Hybrid,Normal
44038,8.8,10,Onsite,Normal
85425,9.0,15,Onsite,Normal
67059,6.7,9,Remote,Normal
60396,5.6,7,Remote,Normal
58804,10.2,17,Remote,Normal
70864,6.2,6,Hybrid,Normal
9170,5.2,8,Remote,Normal
59076,9.1,1,Hybrid,Normal
72417,4.3,12,Remote,Normal
27038,9.5,23,Hybrid,Normal
42350,10.3,24,Remote,Normal
15971,10.2,5,Hybrid,Normal
4389,9.4,13,Hybrid,Normal
79784,7.2,19,Remote,High
67896,8.7,13,Onsite,Normal
25367,5.6,18,Remote,High
43379,5.1,5,Remote,Normal
4856,8.9,24,Onsite,High
83769,9.3,4,Onsite,Normal
47985,11.1,15,Hybrid,Normal
46584,11.9,14,Hybrid,Normal
48093,9.0,16,Hybrid,High
71830,4.5,4,Remote,Normal
65086,7.1,8,Hybrid,Normal
19696,5.9,20,Onsite,High
34909,8.2,24,Onsite,High
55932,4.4,19,Remote,High
13290,8.4,17,Hybrid,High
19779,7.6,5,Remote,Normal
31528,4.2,13,Onsite,Normal
21056,11.2,2,Onsite,Normal
44517,5.4,8,Onsite,Normal
10034,8.8,14,Hybrid,Normal
11498,11.6,18,Hybrid,Normal
2448,5.9,24,Remote,High
76730,6.5,17,Hybrid,High
84099,11.6,17,Remote,Normal
63740,9.7,4,Remote,Normal
60855,5.0,4,Hybrid,Normal
6864,11.4,21,Hybrid,Normal
75110,4.1,18,Remote,High
6445,8.3,14,Hybrid,Normal
85275,5.2,1,Remote,Normal
53712,10.9,12,Hybrid,Normal
8800,6.2,22,Remote,High
38858,9.1,20,Remote,Normal
58143,7.9,15,Hybrid,Normal
51715,6.0,23,Onsite,High
6486,6.7,7,Hybrid,Normal
70927,6.1,3,Remote,Normal
30761,4.7,10,Remote,Normal
84056,7.6,13,Onsite,Normal
25343,10.3,4,Hybrid,Normal
68339,7.5,15,Remote,Normal
48361,4.8,1,Hybrid,Normal
86714,4.9,18,Hybrid,High
73209,11.6,24,Hybrid,Normal
44266,6.2,6,Hybrid,Normal
15126,9.4,13,Hybrid,Normal
54759,8.9,3,Onsite,Normal
74129,7.5,8,Remote,Normal
13815,5.8,21,Onsite,High
53106,11.8,14,Hybrid,Normal
2490,7.0,18,Remote,High
57168,6.4,21,Onsite,High
10542,5.7,7,Remote,Normal
83929,11.4,4,Hybrid,Normal
69834,10.9,19,Hybrid,Normal
77247,4.1,13,Onsite,Normal
27761,11.0,10,Onsite,Normal
69555,9.2,12,Hybrid,Normal
21242,11.0,23,Remote,Normal
15549,10.7,2,Remote,Normal
36496,11.3,11,Hybrid,Normal
42279,6.8,14,Onsite,Normal
8070,6.8,5,Remote,Normal
65073,4.9,2,Remote,Normal
10265,7.1,13,Onsite,Normal
85023,4.3,6,Onsite,Normal
10943,5.6,24,Remote,High
47697,11.3,12,Hybrid,Normal
64876,5.7,16,Onsite,High
81416,7.5,13,Hybrid,Normal
82402,10.2,18,Remote,Normal
11867,5.0,10,Hybrid,Normal
73340,6.0,10,Remote,Normal
31830,10.1,22,Hybrid,Normal
65563,4.3,11,Remote,Normal
60684,10.4,14,Onsite,Normal
21629,6.2,12,Remote,Normal
14276,9.7,23,Onsite,Normal
1705,12.0,12,Onsite,Normal
13696,4.5,21,Remote,High
4588,8.6,8,Onsite,Normal
81832,8.2,10,Onsite,Normal
7377,9.9,13,Hybrid,Normal
4627,10.0,4,Onsite,Normal
29974,9.6,19,Onsite,Normal
30132,8.8,20,Remote,High
64075,10.6,6,Hybrid,Normal
21550,11.1,21,Hybrid,Normal
13722,5.5,4,Remote,Normal
71698,5.5,9,Remote,Normal
69871,11.4,9,Onsite,Normal
79587,8.7,10,Remote,Normal
30474,5.1,10,Onsite,Normal
44597,8.2,18,Hybrid,High
14736,8.8,11,Remote,Normal
63038,5.2,6,Onsite,Normal
20731,11.6,6,Hybrid,Normal
22174,7.6,13,Remote,Normal
42329,9.8,3,Remote,Normal
89286,4.4,15,Hybrid,Normal
55459,10.7,6,Hybrid,Normal
20409,4.0,8,Onsite,Normal
72401,6.4,5,Remote,Normal
75779,4.8,9,Hybrid,Normal
82219,10.0,12,Onsite,Normal
46934,5.6,12,Onsite,Normal
39783,6.5,10,Onsite,Normal
26165,4.4,16,Onsite,High
55303,5.3,2,Remote,Normal
69215,8.6,9,Hybrid,Normal
86229,11.8,4,Onsite,Normal
72574,6.7,8,Hybrid,Normal
75824,8.6,6,Onsite,Normal
9202,9.2,2,Hybrid,Normal
46359,5.6,18,Hybrid,High
6220,6.8,20,Hybrid,High
66319,6.1,8,Hybrid,Normal
18293,6.2,10,Remote,Normal
77129,6.3,18,Remote,High
21638,8.9,7,Onsite,Normal
74307,6.9,10,Onsite,Normal
83552,10.4,16,Onsite,Normal
75290,10.9,7,Hybrid,Normal
48998,6.7,7,Onsite,Normal
40542,4.5,16,Hybrid,High
80256,11.4,24,Hybrid,Normal
28471,8.6,12,Hybrid,Normal
17896,4.6,8,Onsite,Normal
72275,9.4,1,Onsite,Normal
51873,8.8,4,Remote,Normal
72673,11.9,2,Remote,Normal
42998,10.7,10,Hybrid,Normal
69791,10.8,19,Remote,Normal
29514,11.5,8,Remote,Normal
86118,11.6,4,Remote,Normal
30523,11.2,6,Onsite,Normal
12378,8.2,22,Onsite,High
50911,11.4,15,Onsite,Normal
21367,5.4,22,Hybrid,High
59725,10.9,5,Remote,Normal
10618,7.3,22,Remote,High
87220,11.9,22,Onsite,Normal
62267,11.0,5,Onsite,Normal
27544,9.9,12,Hybrid,Normal
49744,5.7,17,Remote,High
70388,11.1,19,Hybrid,Normal
26202,8.8,18,Hybrid,High
72970,10.2,5,Remote,Normal
44329,7.2,3,Remote,Normal
71700,8.1,22,Hybrid,High
21822,6.5,3,Hybrid,Normal
37618,10.6,4,Remote,Normal
34374,9.5,1,Hybrid,Normal
32040,8.1,19,Remote,High
2458,6.6,21,Remote,High
18005,4.6,24,Remote,High
63443,4.4,10,Remote,Normal
75700,6.5,4,Onsite,Normal
18145,12.0,4,Onsite,Normal
61836,5.6,20,Remote,High
47060,9.7,1,Remote,Normal
23666,10.1,14,Onsite,Normal
45247,8.6,17,Onsite,High
44645,8.7,17,Onsite,High
86326,9.4,12,Hybrid,Normal
54782,6.5,14,Onsite,Normal
51877,9.8,1,Hybrid,Normal
40096,11.2,16,Onsite,Normal
32148,7.2,13,Hybrid,Normal
4668,6.0,15,Onsite,Normal
44596,5.7,9,Hybrid,Normal
27469,6.2,14,Onsite,Normal
85017,6.6,16,Remote,High
10851,7.1,3,Hybrid,Normal
74721,8.1,14,Hybrid,Normal
51697,8.1,15,Hybrid,Normal
19400,10.8,12,Onsite,Normal
32110,6.1,15,Remote,Normal
25315,5.7,9,Remote,Normal
2862,5.5,19,Remote,High
88778,11.4,1,Hybrid,Normal
85847,6.8,3,Hybrid,Normal
18014,7.9,6,Remote,Normal
41432,5.2,22,Remote,High
61405,6.1,1,Onsite,Normal
59091,10.9,1,Remote,Normal
55981,10.8,16,Remote,Normal
45470,4.6,9,Remote,Normal
39453,6.7,6,Onsite,Normal
79982,12.0,16,Onsite,Normal
62818,8.3,24,Remote,High
75709,10.0,13,Onsite,Normal
12268,10.6,10,Onsite,Normal
49191,9.2,16,Onsite,Normal
20237,6.6,17,Hybrid,High
34555,11.7,18,Onsite,Normal
85003,5.9,2,Hybrid,Normal
66433,8.6,24,Onsite,High
82317,10.9,8,Hybrid,Normal
17181,4.2,5,Hybrid,Normal
44457,5.4,5,Remote,Normal
33348,8.6,18,Remote,High
41604,11.6,10,Onsite,Normal
3885,11.8,11,Onsite,Normal
76343,8.8,12,Onsite,Normal
48022,4.3,12,Onsite,Normal
55164,10.0,11,Hybrid,Normal
6131,8.4,20,Remote,High
72987,5.5,10,Onsite,Normal
11595,11.1,16,Hybrid,Normal
70136,7.7,10,Hybrid,Normal
63543,10.6,17,Remote,Normal
62949,10.4,15,Onsite,Normal
33268,11.4,23,Onsite,Normal
4067,9.9,11,Onsite,Normal
74297,6.8,18,Onsite,High
10285,5.9,22,Remote,High
432,6.7,9,Remote,Normal
22998,6.5,16,Onsite,High
1685,10.3,15,Remote,Normal
80834,6.8,16,Hybrid,High
7218,5.0,2,Onsite,Normal
30734,5.2,1,Hybrid,Normal
45258,6.7,16,Remote,High
41511,5.9,23,Hybrid,High
43700,5.2,24,Remote,High
31328,5.7,14,Hybrid,Normal
16565,5.5,23,Remote,High
1444,4.5,6,Remote,Normal
65805,11.5,24,Onsite,Normal
66800,7.7,11,Onsite,Normal
48641,5.1,17,Remote,High
50076,4.1,1,Onsite,Normal
30290,9.4,20,Onsite,Normal
65432,12.0,13,Remote,Normal
10853,5.6,15,Hybrid,Normal
13552,4.7,7,Remote,Normal
55306,7.4,10,Remote,Normal
4634,6.7,24,Onsite,High
20356,4.5,5,Onsite,Normal
38268,6.6,14,Onsite,Normal
72293,6.6,17,Remote,High
66899,4.1,4,Onsite,Normal
7832,7.6,9,Onsite,Normal
70202,5.5,12,Onsite,Normal
47234,8.7,1,Hybrid,Normal
42582,9.3,1,Remote,Normal
20681,7.9,9,Hybrid,Normal
66930,5.9,17,Onsite,High
50765,8.4,12,Onsite,Normal
46099,6.2,12,Onsite,Normal
45631,6.5,8,Remote,Normal
94,7.7,18,Hybrid,High
34908,4.3,3,Remote,Normal
85049,4.1,20,Onsite,High
2191,8.0,13,Remote,Normal
19995,6.3,20,Remote,High
69670,7.6,2,Onsite,Normal
73345,10.8,10,Remote,Normal
14023,4.8,23,Hybrid,High
22088,4.4,8,Hybrid,Normal
22496,9.0,9,Remote,Normal
14842,4.9,20,Hybrid,High
35987,5.9,11,Onsite,Normal
75731,4.8,3,Onsite,Normal
63702,6.8,4,Hybrid,Normal
75123,9.5,5,Onsite,Normal
79564,10.0,1,Hybrid,Normal
65912,4.0,12,Onsite,Normal
87003,4.3,2,Onsite,Normal
80646,10.9,10,Hybrid,Normal
86250,5.2,14,Remote,Normal
53883,8.9,4,Onsite,Normal
60555,10.7,18,Remote,Normal
72578,7.5,4,Hybrid,Normal
79821,11.4,23,Remote,Normal
76606,5.3,2,Hybrid,Normal
75998,7.8,19,Onsite,High
76085,6.8,3,Remote,Normal
41661,5.8,4,Hybrid,Normal
49562,10.3,8,Hybrid,Normal
12369,5.2,6,Remote,Normal
20758,7.2,21,Hybrid,High
23874,9.7,12,Hybrid,Normal
51951,9.7,21,Onsite,Normal
37890,4.7,9,Onsite,Normal
44352,4.7,9,Onsite,Normal
23996,6.1,18,Onsite,High
77491,7.5,24,Remote,High
38552,8.2,13,Remote,Normal
85968,8.2,22,Onsite,High
87860,7.1,2,Onsite,Normal
19830,4.5,13,Onsite,Normal
21875,5.3,1,Remote,Normal
78485,5.4,6,Onsite,Normal
73688,11.9,5,Onsite,Normal
32711,7.1,1,Hybrid,Normal
11903,6.9,11,Remote,Normal
70215,10.4,4,Hybrid,Normal
70700,11.3,3,Remote,Normal
32358,4.2,16,Remote,High
30723,10.5,7,Onsite,Normal
28774,11.0,23,Remote,Normal
5669,5.9,2,Remote,Normal
15726,10.1,6,Hybrid,Normal
72861,8.8,4,Remote,Normal
69143,6.7,17,Hybrid,High
86252,7.2,18,Onsite,High
20801,9.6,14,Onsite,Normal
17468,10.0,22,Hybrid,Normal
12004,4.0,24,Onsite,High
25864,11.4,14,Hybrid,Normal
38168,6.7,19,Onsite,High
73186,8.3,1,Onsite,Normal
8310,11.0,3,Hybrid,Normal
12838,6.5,11,Onsite,Normal
66993,9.2,12,Onsite,Normal
29211,8.6,21,Remote,High
80759,8.6,22,Hybrid,High
86979,9.5,12,Hybrid,Normal
48224,6.7,1,Remote,Normal
58260,7.8,16,Onsite,High
6313,5.4,17,Remote,High
84887,7.5,8,Remote,Normal
34018,4.7,18,Hybrid,High
3797,5.8,21,Onsite,High
15837,4.0,17,Onsite,High
60914,6.4,15,Hybrid,Normal
38681,9.4,9,Hybrid,Normal
12996,8.1,5,Onsite,Normal
45038,4.7,5,Onsite,Normal
40188,10.6,4,Remote,Normal
18553,5.0,22,Hybrid,High
36849,5.6,18,Onsite,High
56919,9.5,10,Hybrid,Normal
65280,5.4,19,Onsite,High
20915,6.8,21,Onsite,High
39738,8.8,6,Onsite,Normal
10207,9.2,11,Remote,Normal
11796,10.9,2,Remote,Normal
68405,4.6,8,Hybrid,Normal
88110,4.8,1,Onsite,Normal
35889,7.6,9,Onsite,Normal
57477,5.2,4,Onsite,Normal
50504,7.2,21,Hybrid,High
56577,4.8,1,Hybrid,Normal
58181,8.4,9,Hybrid,Normal
82735,8.6,15,Hybrid,Normal
22486,11.6,24,Onsite,Normal
63287,4.5,24,Onsite,High
87994,7.0,23,Remote,High
89059,8.6,11,Hybrid,Normal
18120,10.1,19,Hybrid,Normal
27758,9.4,19,Hybrid,Normal
1941,8.7,19,Remote,High
50560,6.0,16,Onsite,High
86034,6.5,23,Hybrid,High
83252,7.8,20,Hybrid,High
68297,4.1,6,Hybrid,Normal
55910,4.9,11,Remote,Normal
6540,6.4,24,Remote,High
35301,7.4,15,Onsite,Normal
45642,11.5,19,Hybrid,Normal
19646,4.4,22,Remote,High
89297,6.6,20,Onsite,High
2887,8.2,13,Remote,Normal
45242,9.4,19,Remote,Normal
73530,9.6,21,Onsite,Normal
10436,8.4,23,Hybrid,High
15019,8.2,19,Onsite,High
21223,8.1,18,Hybrid,High
55229,4.1,8,Hybrid,Normal
8951,8.5,5,Remote,Normal
65066,6.1,18,Remote,High
16652,4.4,10,Hybrid,Normal
54373,11.2,8,Remote,Normal
52810,5.0,17,Remote,High
76406,5.5,15,Hybrid,Normal
63410,6.0,14,Remote,Normal
54347,5.0,7,Hybrid,Normal
71178,4.2,20,Hybrid,High
85611,6.7,10,Hybrid,Normal
57491,11.0,4,Hybrid,Normal
43085,7.2,15,Remote,Normal
5682,5.6,6,Hybrid,Normal
1217,9.4,18,Remote,Normal
82110,9.2,18,Remote,Normal
20743,6.3,11,Hybrid,Normal
67401,11.2,2,Remote,Normal
33261,7.5,15,Hybrid,Normal
22298,6.1,3,Remote,Normal
65335,4.5,22,Onsite,High
32280,4.9,24,Hybrid,High
28719,5.7,22,Onsite,High
46181,6.1,5,Onsite,Normal
45913,11.1,14,Remote,Normal
11389,6.2,12,Hybrid,Normal
10674,5.8,18,Onsite,High
53477,10.6,4,Hybrid,Normal
81555,7.2,5,Onsite,Normal
50007,7.6,2,Remote,Normal
58438,6.6,18,Onsite,High
20605,6.2,14,Hybrid,Normal
31843,5.7,8,Onsite,Normal
55576,8.7,8,Remote,Normal
41857,6.1,3,Hybrid,Normal
13139,4.7,4,Remote,Normal
66347,6.8,8,Hybrid,Normal
26108,5.7,17,Hybrid,High
33361,5.3,21,Hybrid,High
23333,10.6,24,Hybrid,Normal
4414,7.9,9,Onsite,Normal
30327,8.6,21,Onsite,High
8234,9.2,12,Onsite,Normal
19581,4.5,11,Hybrid,Normal
19847,7.4,14,Remote,Normal
6939,10.2,20,Remote,Normal
2507,4.5,19,Remote,High
71941,9.8,8,Onsite,Normal
52859,8.5,1,Remote,Normal
86472,9.2,2,Hybrid,Normal
33337,10.0,8,Remote,Normal
166,10.6,9,Hybrid,Normal
48138,4.5,11,Onsite,Normal
39595,7.1,4,Remote,Normal
50775,10.1,11,Hybrid,Normal
44323,11.5,1,Remote,Normal
40169,8.6,20,Onsite,High
2295,6.2,21,Remote,High
9345,10.1,2,Hybrid,Normal
14767,5.2,13,Remote,Normal
45208,6.5,20,Hybrid,High
81341,7.2,15,Hybrid,Normal
16935,10.7,6,Remote,Normal
5906,7.7,4,Hybrid,Normal
78725,4.9,13,Remote,Normal
39773,7.9,16,Onsite,High
22480,5.6,6,Onsite,Normal
77950,10.1,19,Onsite,Normal
70211,5.4,19,Hybrid,High
79298,9.4,5,Onsite,Normal
28497,4.2,11,Remote,Normal
73565,6.9,22,Remote,High
8022,8.7,10,Hybrid,Normal
35603,5.2,21,Onsite,High
1081,5.7,3,Onsite,Normal
49361,9.6,10,Hybrid,Normal
63880,9.5,4,Onsite,Normal
52326,6.2,17,Remote,High
71109,7.9,5,Hybrid,Normal
71964,5.9,11,Hybrid,Normal
83820,9.7,1,Hybrid,Normal
7036,11.4,7,Remote,Normal
49496,4.9,18,Hybrid,High
12936,5.2,15,Hybrid,Normal
72893,6.3,1,Remote,Normal
37705,8.1,19,Hybrid,High
25999,8.5,19,Hybrid,High
21689,7.8,1,Onsite,Normal
13012,10.0,1,Onsite,Normal
77438,5.1,11,Onsite,Normal
40449,7.3,4,Hybrid,Normal
20537,6.8,8,Hybrid,Normal
27122,8.1,17,Remote,High
44053,8.0,11,Onsite,Normal
75955,10.5,16,Remote,Normal
63036,9.8,19,Onsite,Normal
5649,8.2,4,Remote,Normal
32192,10.0,1,Onsite,Normal
77134,10.6,10,Remote,Normal
73921,10.3,22,Remote,Normal
53258,7.3,22,Hybrid,High
4416,7.4,17,Onsite,High
17198,4.5,1,Onsite,Normal
56523,10.9,24,Onsite,Normal
62458,7.8,8,Remote,Normal
17727,11.9,10,Hybrid,Normal
53200,4.4,23,Onsite,High
28544,11.6,16,Remote,Normal
57947,6.8,13,Hybrid,Normal
61383,9.6,16,Onsite,Normal
5341,10.6,8,Remote,Normal
3218,10.0,23,Hybrid,Normal
45596,11.5,17,Hybrid,Normal
89029,8.5,14,Remote,Normal
74024,10.2,14,Onsite,Normal
89589,9.7,18,Hybrid,Normal
7972,11.4,20,Hybrid,Normal
66021,11.8,24,Hybrid,Normal
30080,9.5,6,Hybrid,Normal
9186,5.7,19,Hybrid,High
46020,11.1,22,Hybrid,Normal
63458,11.4,20,Remote,Normal
13920,10.8,3,Remote,Normal
83966,5.6,10,Remote,Normal
43585,11.7,11,Onsite,Normal
72482,10.6,18,Onsite,Normal
69742,9.4,3,Hybrid,Normal
39334,6.9,3,Hybrid,Normal
1098,5.0,13,Onsite,Normal
13217,7.6,15,Onsite,Normal
13628,5.8,7,Remote,Normal
56297,10.7,7,Hybrid,Normal
19937,5.2,19,Onsite,High
38136,11.5,23,Hybrid,Normal
45085,11.4,19,Remote,Normal
32255,5.8,24,Remote,High
2735,4.1,19,Remote,High
653,9.2,8,Remote,Normal
37142,11.3,1,Hybrid,Normal
55611,6.8,11,Onsite,Normal
46022,11.7,11,Remote,Normal
77286,4.8,3,Hybrid,Normal
61811,9.7,20,Hybrid,Normal
16692,10.7,7,Hybrid,Normal
9048,4.4,3,Hybrid,Normal
25209,8.3,7,Onsite,Normal
47530,5.4,18,Onsite,High
3440,8.4,1,Hybrid,Normal
716,11.0,4,Hybrid,Normal
73097,7.0,23,Remote,High
77429,7.1,14,Remote,Normal
78873,5.1,15,Onsite,Normal
72392,9.7,2,Hybrid,Normal
14062,7.7,4,Hybrid,Normal
64624,6.0,8,Remote,Normal
50324,5.9,9,Remote,Normal
60682,4.6,3,Remote,Normal
44272,4.5,22,Remote,High
73848,5.2,6,Hybrid,Normal
35138,9.1,3,Remote,Normal
17807,11.5,24,Remote,Normal
34907,10.0,12,Remote,Normal
28775,12.0,13,Remote,Normal
42978,5.3,6,Hybrid,Normal
7140,7.9,11,Remote,Normal
7507,9.8,5,Onsite,Normal
86617,11.2,16,Remote,Normal
17756,10.7,6,Hybrid,Normal
38076,5.1,5,Onsite,Normal
64879,4.8,8,Onsite,Normal
57728,7.2,8,Onsite,Normal
71333,10.8,10,Hybrid,Normal
85681,11.8,23,Remote,Normal
1707,8.5,5,Remote,Normal
36829,5.5,11,Hybrid,Normal
68193,6.3,15,Remote,Normal
75140,11.6,7,Hybrid,Normal
72276,8.4,4,Hybrid,Normal
50533,6.3,22,Hybrid,High
21753,7.9,17,Remote,High
80367,5.4,5,Remote,Normal
67890,5.2,11,Hybrid,Normal
73422,5.1,6,Hybrid,Normal
44618,8.3,10,Remote,Normal
13753,11.8,20,Hybrid,Normal
53288,7.5,6,Remote,Normal
24314,5.9,10,Remote,Normal
12415,4.9,16,Onsite,High
70994,5.9,14,Hybrid,Normal
85248,7.8,24,Remote,High
8911,5.9,2,Remote,Normal
19743,11.5,7,Remote,Normal
81441,6.5,24,Onsite,High
25976,6.3,10,Hybrid,Normal
75489,4.8,4,Remote,Normal
64156,8.0,20,Remote,High
55720,11.2,17,Hybrid,Normal
76188,10.8,13,Hybrid,Normal
73870,8.5,9,Hybrid,Normal
6196,7.9,18,Hybrid,High
15820,9.6,21,Remote,Normal
86776,7.1,6,Remote,Normal
87798,10.0,20,Onsite,Normal
20030,7.2,15,Remote,Normal
38114,10.7,19,Onsite,Normal
18306,10.1,7,Remote,Normal
32000,4.8,1,Remote,Normal
