employee_id,training_program,training_hours,completion_status
38242,Compliance,107,Completed
2575,Leadership,16,Completed
4355,Technical,54,In Progress
1211,Soft Skills,96,In Progress
32057,Leadership,64,Completed
18040,Compliance,43,Completed
48304,Technical,74,Completed
23547,Compliance,92,Completed
37976,Compliance,106,In Progress
24562,Soft Skills,56,In Progress
41955,Compliance,42,Completed
56934,Leadership,43,In Progress
36511,Leadership,82,Completed
29055,Soft Skills,12,Completed
42344,Leadership,84,Completed
14268,Technical,62,Completed
30083,Leadership,96,Completed
57386,Soft Skills,87,Completed
19688,Leadership,110,Completed
22938,Compliance,109,In Progress
29697,Leadership,13,Completed
39713,Technical,53,In Progress
10906,Leadership,57,Completed
34498,Technical,108,In Progress
52534,Technical,17,Completed
11698,Compliance,119,Completed
1340,Soft Skills,43,In Progress
23227,Compliance,103,Completed
12479,Technical,96,In Progress
52950,Leadership,4,Completed
36390,Compliance,94,Completed
23677,Leadership,111,Completed
2967,Leadership,5,Completed
56764,Technical,36,In Progress
8699,Leadership,48,Completed
47069,Soft Skills,13,Completed
22960,Leadership,67,Completed
19920,Compliance,52,Completed
3373,Leadership,110,Completed
23734,Compliance,63,Completed
8916,Soft Skills,69,In Progress
28047,Compliance,67,In Progress
37133,Soft Skills,105,Completed
24198,Leadership,63,Completed
40790,Technical,5,Completed
5540,Compliance,25,Completed
36764,Technical,101,In Progress
51400,Compliance,99,Completed
25924,Soft Skills,67,Completed
49983,Soft Skills,24,Completed
42680,Leadership,32,Completed
20143,Compliance,102,Completed
22322,Leadership,38,In Progress
35111,Compliance,87,Completed
26640,Technical,72,Completed
55237,Soft Skills,38,Completed
7723,Soft Skills,66,Completed
18507,Leadership,67,In Progress
33298,Soft Skills,36,In Progress
22233,Technical,60,Completed
9069,Technical,98,In Progress
34266,Soft Skills,95,In Progress
55380,Leadership,90,In Progress
15760,Technical,42,Completed
57496,Technical,119,Completed
12447,Leadership,12,Completed
44821,Soft Skills,98,Completed
25351,Leadership,64,In Progress
59023,Leadership,113,In Progress
13621,Compliance,89,Completed
49511,Soft Skills,22,Completed
43383,Compliance,103,Completed
36241,Technical,39,In Progress
53614,Technical,88,Completed
24163,Compliance,103,Completed
29930,Leadership,49,Completed
25028,Leadership,60,Completed
21703,Compliance,17,In Progress
33029,Leadership,57,Completed
3165,Technical,112,Completed
54285,Leadership,77,Completed
7831,Leadership,27,Completed
41208,Compliance,66,In Progress
12890,Leadership,81,Completed
54213,Technical,81,Completed
18805,Technical,6,In Progress
26054,Technical,62,Completed
43034,Technical,93,In Progress
59827,Soft Skills,41,Completed
14634,Leadership,43,Completed
29589,Compliance,39,In Progress
3506,Compliance,117,Completed
34625,Technical,76,Completed
17565,Leadership,7,Completed
48380,Compliance,80,Completed
38200,Compliance,41,Completed
203,Soft Skills,41,Completed
42656,Leadership,105,Completed
10667,Soft Skills,78,In Progress
36173,Compliance,78,Completed
59717,Soft Skills,64,Completed
1151,Leadership,36,Completed
35682,Soft Skills,116,Completed
19118,Technical,75,Completed
11096,Soft Skills,56,Completed
32366,Soft Skills,68,Completed
2633,Leadership,13,Completed
29984,Soft Skills,70,Completed
32942,Technical,66,In Progress
8006,Soft Skills,89,Completed
58237,Compliance,41,Completed
23739,Leadership,100,Completed
23156,Soft Skills,92,Completed
19353,Soft Skills,33,Completed
33577,Soft Skills,112,In Progress
11944,Compliance,35,Completed
10838,Leadership,86,Completed
22838,Technical,19,Completed
56306,Leadership,88,Completed
43598,Technical,88,Completed
54030,Technical,92,In Progress
48627,Leadership,40,Completed
10783,Compliance,45,In Progress
43611,Compliance,47,Completed
28785,Leadership,29,Completed
25582,Technical,117,Completed
4613,Soft Skills,47,In Progress
20701,Leadership,96,Completed
5663,Leadership,93,Completed
19579,Technical,23,Completed
42952,Technical,101,Completed
9191,Leadership,73,Completed
3618,Soft Skills,110,In Progress
15049,Soft Skills,59,Completed
43561,Compliance,36,In Progress
14814,Leadership,22,In Progress
16526,Soft Skills,23,Completed
54093,Technical,10,Completed
1923,Soft Skills,97,Completed
23696,Leadership,47,Completed
8782,Compliance,49,Completed
21484,Leadership,45,Completed
56834,Compliance,53,Completed
55142,Leadership,93,In Progress
47258,Compliance,55,In Progress
2538,Leadership,112,Completed
7416,Compliance,78,In Progress
16190,Soft Skills,85,Completed
10353,Soft Skills,90,In Progress
57556,Compliance,105,Completed
26849,Compliance,111,In Progress
49261,Soft Skills,86,Completed
33087,Leadership,23,Completed
6286,Soft Skills,54,Completed
50434,Soft Skills,64,Completed
26156,Soft Skills,16,Completed
51364,Leadership,95,In Progress
53256,Compliance,84,In Progress
51115,Technical,102,In Progress
12663,Soft Skills,50,Completed
32705,Leadership,118,Completed
41974,Compliance,10,In Progress
3043,Soft Skills,27,Completed
18350,Compliance,4,Completed
50288,Soft Skills,19,Completed
35175,Leadership,116,Completed
43918,Compliance,118,Completed
59526,Technical,87,In Progress
23598,Compliance,38,Completed
34598,Leadership,81,Completed
44672,Leadership,18,Completed
14068,Technical,86,Completed
17697,Soft Skills,17,In Progress
23504,Soft Skills,29,Completed
37884,Technical,27,Completed
50992,Technical,56,Completed
38397,Technical,88,Completed
17184,Leadership,108,In Progress
23485,Leadership,96,Completed
17739,Leadership,64,Completed
32432,Leadership,91,Completed
59395,Compliance,61,In Progress
50682,Technical,68,Completed
33314,Leadership,89,Completed
53499,Compliance,97,In Progress
48127,Compliance,119,Completed
9306,Soft Skills,107,Completed
58833,Compliance,55,Completed
8162,Technical,11,Completed
2231,Soft Skills,39,Completed
21189,Technical,79,Completed
285,Compliance,36,Completed
12217,Compliance,45,Completed
29109,Soft Skills,14,In Progress
25805,Technical,27,Completed
14679,Technical,67,Completed
49771,Technical,57,In Progress
6873,Soft Skills,11,Completed
27493,Compliance,93,Completed
31617,Leadership,117,In Progress
5272,Compliance,101,Completed
50647,Leadership,68,Completed
23151,Soft Skills,42,Completed
3079,Technical,44,Completed
28665,Compliance,19,Completed
33599,Leadership,81,Completed
28281,Technical,53,Completed
18386,Compliance,48,Completed
52003,Compliance,36,Completed
19397,Soft Skills,80,Completed
30818,Technical,51,In Progress
43975,Soft Skills,84,Completed
58595,Compliance,27,Completed
27154,Compliance,17,Completed
26606,Leadership,37,Completed
32718,Leadership,65,In Progress
22739,Leadership,30,Completed
24652,Leadership,18,Completed
20696,Soft Skills,43,Completed
56002,Compliance,92,In Progress
44759,Technical,94,Completed
8531,Soft Skills,62,Completed
57194,Compliance,117,Completed
6787,Leadership,25,Completed
48059,Technical,66,Completed
12435,Leadership,79,In Progress
46847,Soft Skills,9,In Progress
55570,Leadership,104,Completed
52446,Leadership,116,In Progress
3995,Compliance,15,In Progress
48612,Technical,18,Completed
31816,Leadership,92,Completed
31815,Leadership,29,Completed
13748,Leadership,69,Completed
7036,Soft Skills,62,Completed
25672,Technical,114,In Progress
30550,Soft Skills,6,In Progress
14749,Compliance,8,In Progress
