employee_id,self_rating,manager_rating,rating_gap
46479,3,1,2
49685,4,3,1
25607,5,5,0
3908,1,1,0
60386,3,2,1
11766,1,1,0
41384,1,1,0
22710,3,4,-1
1256,2,5,-3
56376,2,3,-1
28157,4,2,2
2665,5,2,3
56593,2,1,1
2748,5,4,1
41309,5,1,4
34489,1,1,0
11,5,1,4
15997,3,2,1
1727,4,5,-1
41830,5,4,1
43273,4,5,-1
9039,3,3,0
39386,2,5,-3
67384,1,3,-2
3453,3,3,0
69732,3,2,1
22605,1,1,0
14638,2,5,-3
55882,5,5,0
69066,3,2,1
34846,5,5,0
68270,2,5,-3
65485,1,2,-1
41205,2,5,-3
31089,4,4,0
66157,1,1,0
11803,1,5,-4
57874,3,4,-1
22658,3,3,0
64881,4,1,3
15149,4,5,-1
38615,4,1,3
6744,1,1,0
61082,1,3,-2
69146,3,3,0
38156,4,4,0
25264,4,3,1
26336,4,5,-1
68464,5,4,1
24709,1,2,-1
32181,5,1,4
58433,1,1,0
69405,3,1,2
65935,1,5,-4
67220,2,2,0
15357,2,4,-2
1167,4,2,2
53917,4,1,3
7644,3,5,-2
12240,2,2,0
31004,1,4,-3
61283,2,3,-1
20306,2,2,0
55608,5,2,3
37292,5,1,4
30198,4,5,-1
54625,3,4,-1
41973,1,3,-2
58223,4,3,1
219,3,2,1
67036,1,2,-1
3555,4,4,0
21851,5,1,4
10210,2,2,0
48501,3,4,-1
12861,1,2,-1
39920,3,2,1
54642,5,5,0
50574,2,2,0
6059,5,2,3
22081,3,2,1
42268,3,2,1
4066,4,2,2
50379,3,2,1
64027,3,3,0
12289,3,2,1
60334,1,4,-3
30949,3,5,-2
62571,1,4,-3
2835,3,2,1
51500,3,2,1
56098,3,3,0
25901,2,4,-2
44949,2,2,0
44344,3,5,-2
7025,2,4,-2
47763,2,2,0
24981,4,5,-1
14428,2,3,-1
29226,5,4,1
3011,3,2,1
7590,3,5,-2
36910,1,1,0
13723,3,3,0
4016,1,1,0
19050,2,5,-3
41294,1,5,-4
64711,1,1,0
3600,2,2,0
16445,5,2,3
41429,1,3,-2
13532,2,4,-2
32722,1,2,-1
154,5,4,1
35901,4,4,0
17256,4,3,1
45542,2,1,1
20580,3,4,-1
12417,2,3,-1
29424,5,5,0
33026,1,5,-4
56102,2,1,1
6073,2,3,-1
50711,3,5,-2
46022,2,3,-1
29186,2,1,1
64983,1,1,0
30852,5,4,1
36743,1,1,0
6852,1,5,-4
32876,2,2,0
31527,2,2,0
17619,4,2,2
25015,4,1,3
67618,1,4,-3
27296,3,3,0
51895,5,5,0
51564,1,3,-2
37822,2,5,-3
9063,2,5,-3
6957,1,4,-3
22203,2,1,1
27374,3,2,1
35396,3,2,1
39785,3,3,0
10022,4,5,-1
65872,5,3,2
44668,4,1,3
30114,3,4,-1
10030,4,3,1
22693,2,4,-2
61330,4,1,3
60839,2,5,-3
3102,4,1,3
69737,1,2,-1
58568,2,1,1
65238,1,3,-2
41719,2,1,1
12831,5,3,2
3745,2,3,-1
54387,2,1,1
34777,5,1,4
21147,1,2,-1
56647,1,1,0
57909,2,5,-3
10503,4,3,1
25377,4,2,2
13726,2,4,-2
20025,4,3,1
42877,2,2,0
16300,2,3,-1
25645,3,1,2
42829,3,1,2
66987,2,4,-2
10112,1,4,-3
44402,3,2,1
18251,4,2,2
35202,4,4,0
11450,4,5,-1
55696,2,1,1
4539,1,4,-3
9871,5,1,4
22827,1,5,-4
27852,3,3,0
3698,5,4,1
66946,5,3,2
20072,5,5,0
34505,5,2,3
15716,5,5,0
7580,1,5,-4
39891,2,3,-1
10378,3,1,2
44856,5,3,2
69065,4,5,-1
25649,5,2,3
32754,2,4,-2
26646,1,2,-1
5183,5,3,2
60671,3,5,-2
41095,5,4,1
30458,2,1,1
36659,5,1,4
59766,4,1,3
67376,2,4,-2
69376,1,2,-1
62727,5,1,4
68802,1,3,-2
47779,5,4,1
55437,4,5,-1
8683,1,5,-4
48212,5,3,2
49472,1,4,-3
39166,2,2,0
2360,2,3,-1
11834,4,3,1
26737,1,5,-4
24046,4,4,0
29674,1,3,-2
57339,5,5,0
13831,4,5,-1
35741,1,2,-1
49861,2,2,0
35834,5,2,3
14929,1,1,0
2392,4,3,1
6989,3,4,-1
20833,3,2,1
21503,2,2,0
7049,4,1,3
55593,1,1,0
28478,5,1,4
7933,2,3,-1
45767,1,3,-2
56010,4,3,1
45430,1,2,-1
30625,3,3,0
47048,2,4,-2
32517,1,3,-2
56374,5,5,0
43680,3,3,0
53555,3,2,1
12150,3,4,-1
44553,5,2,3
57789,1,5,-4
26549,3,1,2
39540,1,4,-3
45177,4,3,1
66422,2,4,-2
66499,1,5,-4
27593,4,1,3
27558,4,1,3
56876,2,5,-3
41046,2,5,-3
16145,4,4,0
6735,5,2,3
51084,2,3,-1
10888,1,4,-3
38275,5,3,2
24317,1,3,-2
24493,1,5,-4
43606,5,5,0
61229,1,1,0
43549,4,3,1
47284,1,3,-2
51893,3,1,2
567,4,4,0
37013,4,5,-1
19935,4,4,0
46432,5,5,0
44080,2,3,-1
69795,4,5,-1
38743,4,1,3
61013,1,1,0
13674,3,2,1
63248,5,4,1
5828,3,5,-2
45838,5,2,3
31516,3,3,0
26384,5,2,3
53289,4,1,3
45816,2,1,1
67692,4,5,-1
67566,4,2,2
60336,1,5,-4
46059,5,1,4
60089,4,4,0
21781,1,4,-3
31587,5,3,2
59013,1,2,-1
60028,4,3,1
11202,5,3,2
21611,5,2,3
7343,4,4,0
53923,3,2,1
35510,3,2,1
24471,4,1,3
31119,1,2,-1
44323,3,1,2
25996,3,3,0
5578,1,3,-2
61178,5,1,4
26560,1,4,-3
50049,2,5,-3
39637,4,3,1
2465,5,1,4
16618,5,3,2
21003,2,3,-1
29621,3,4,-1
43411,1,1,0
24845,3,1,2
16857,5,5,0
31546,2,3,-1
65863,4,5,-1
13315,2,1,1
37317,1,5,-4
9721,3,1,2
5031,4,4,0
21008,2,2,0
69115,1,2,-1
19676,3,4,-1
69550,1,5,-4
8914,5,2,3
36666,3,3,0
35234,4,1,3
40361,1,5,-4
15953,1,1,0
39686,4,2,2
3132,4,5,-1
65734,5,4,1
34386,3,5,-2
15202,3,1,2
19826,3,1,2
61872,5,2,3
28821,1,2,-1
4159,4,3,1
37896,3,1,2
22286,4,5,-1
32717,2,2,0
49957,1,3,-2
29537,3,1,2
51068,4,5,-1
4403,2,3,-1
28237,1,5,-4
29583,2,2,0
52942,1,4,-3
32127,2,2,0
40631,1,4,-3
68502,2,4,-2
48683,4,2,2
8732,4,5,-1
8946,5,1,4
59794,2,2,0
64184,5,1,4
60725,2,5,-3
63776,5,5,0
37746,1,5,-4
52697,3,1,2
15291,4,4,0
33282,4,2,2
33608,5,3,2
13931,3,1,2
58072,4,2,2
36456,5,2,3
31667,5,5,0
11096,1,2,-1
67187,4,4,0
63169,3,3,0
9722,5,5,0
29572,2,1,1
16181,2,1,1
55510,3,5,-2
14442,1,2,-1
21121,3,1,2
37472,1,5,-4
2502,5,3,2
37963,2,3,-1
18464,2,2,0
24043,4,3,1
67809,2,1,1
36640,2,3,-1
5733,1,1,0
64086,5,4,1
54652,3,5,-2
21665,3,1,2
64899,4,5,-1
47603,3,5,-2
25143,4,5,-1
918,4,4,0
6649,2,2,0
17292,1,1,0
19949,1,4,-3
29614,3,4,-1
28780,5,4,1
11858,1,4,-3
23296,2,4,-2
18380,4,1,3
20652,2,5,-3
7684,4,3,1
63803,4,4,0
22790,5,2,3
58166,5,2,3
32048,4,1,3
12161,5,4,1
36913,3,2,1
34729,1,3,-2
17821,3,2,1
42292,1,1,0
48097,5,3,2
55036,4,4,0
40277,4,3,1
40003,4,4,0
65887,2,5,-3
44697,2,5,-3
12005,1,1,0
44937,3,5,-2
10713,5,1,4
40807,1,1,0
30784,3,2,1
37142,4,5,-1
48737,3,1,2
25874,1,1,0
21891,3,2,1
40767,1,4,-3
20451,1,4,-3
68139,1,2,-1
1025,2,5,-3
16643,4,5,-1
53953,1,2,-1
60843,3,2,1
69137,4,4,0
19921,3,3,0
9652,4,1,3
662,3,5,-2
37173,1,4,-3
31069,5,5,0
66923,5,5,0
38986,2,2,0
32057,5,1,4
7465,1,2,-1
15591,1,2,-1
60913,1,4,-3
6058,3,5,-2
25478,5,4,1
9428,3,4,-1
60490,5,3,2
19368,4,3,1
11426,3,2,1
21759,4,5,-1
23748,1,1,0
47270,1,2,-1
18234,4,5,-1
15065,3,3,0
55094,1,4,-3
16216,2,5,-3
43734,5,4,1
25184,2,5,-3
40438,1,1,0
21647,4,5,-1
35980,3,3,0
23718,3,4,-1
42051,4,2,2
59346,1,2,-1
38598,5,3,2
34292,3,4,-1
29517,1,1,0
28815,2,1,1
21919,5,4,1
42728,2,5,-3
52857,4,4,0
29890,5,2,3
6080,1,1,0
6550,1,2,-1
36529,3,5,-2
57150,2,5,-3
34173,5,4,1
48634,1,3,-2
22780,4,4,0
37814,2,5,-3
55396,1,3,-2
6009,4,2,2
55214,1,5,-4
34391,4,3,1
21565,5,1,4
24587,4,3,1
14078,2,5,-3
24183,3,4,-1
26885,2,3,-1
55177,1,4,-3
10584,5,5,0
40112,4,5,-1
29697,1,1,0
58762,3,3,0
32529,1,3,-2
6134,4,3,1
57710,2,5,-3
48880,5,3,2
6155,4,1,3
43707,3,3,0
8288,2,1,1
6043,2,5,-3
52970,4,2,2
16486,2,3,-1
50055,5,2,3
63773,1,4,-3
27231,1,2,-1
60811,4,5,-1
29709,5,4,1
11054,5,3,2
67055,5,3,2
35318,2,2,0
28598,1,2,-1
39151,1,2,-1
19160,2,3,-1
46466,1,3,-2
17376,2,5,-3
2642,3,1,2
24834,5,4,1
66629,2,4,-2
48927,4,2,2
10797,2,3,-1
17915,5,4,1
6590,1,4,-3
52970,1,2,-1
8167,2,5,-3
17091,4,5,-1
23622,5,2,3
21173,2,2,0
58708,4,5,-1
39554,3,2,1
49352,1,1,0
60198,3,2,1
69147,3,2,1
22988,5,1,4
3987,4,3,1
34299,5,4,1
3572,1,1,0
44613,1,4,-3
6156,5,3,2
36447,3,3,0
65728,2,1,1
27341,5,4,1
18351,2,3,-1
2501,5,4,1
57065,4,2,2
9244,3,4,-1
66155,1,3,-2
54418,2,1,1
62867,1,3,-2
54027,3,1,2
48485,1,1,0
3067,1,5,-4
34391,3,5,-2
18093,4,2,2
59520,3,2,1
35357,4,4,0
23497,2,4,-2
7548,2,5,-3
25929,1,3,-2
56164,1,1,0
33987,1,4,-3
35914,3,5,-2
16230,4,5,-1
20756,2,1,1
61596,4,4,0
24818,2,5,-3
7402,1,1,0
59076,4,2,2
4116,3,1,2
23376,4,5,-1
33668,2,3,-1
36037,1,3,-2
48505,4,5,-1
26059,2,3,-1
59412,4,3,1
19838,3,1,2
45702,1,2,-1
35877,1,5,-4
37692,5,4,1
38921,3,3,0
28788,2,3,-1
50836,2,2,0
50754,4,2,2
3031,3,1,2
66708,1,4,-3
53016,3,2,1
56453,4,5,-1
27876,1,5,-4
68087,2,2,0
25646,4,5,-1
48574,2,2,0
32323,5,2,3
54529,3,2,1
7557,5,4,1
21875,4,4,0
9300,4,1,3
48100,3,3,0
40162,1,4,-3
23055,2,1,1
59233,4,4,0
40117,2,5,-3
40531,4,1,3
52565,3,1,2
35221,1,1,0
57638,1,2,-1
48851,4,5,-1
8668,1,3,-2
3202,3,4,-1
12383,5,2,3
26959,1,2,-1
8037,4,3,1
40625,5,1,4
36518,4,4,0
23543,5,4,1
40194,1,3,-2
59463,5,1,4
42759,2,2,0
25668,4,3,1
67104,2,2,0
4862,5,3,2
15114,5,5,0
24257,5,4,1
55182,4,2,2
44290,2,2,0
27486,4,1,3
66885,5,4,1
7305,4,3,1
30531,1,5,-4
67226,3,1,2
69171,5,2,3
50210,1,2,-1
67168,3,1,2
36831,3,3,0
47770,1,2,-1
33213,1,1,0
379,2,4,-2
30344,4,3,1
42276,4,5,-1
42950,5,1,4
460,5,5,0
44670,5,4,1
23219,3,3,0
61901,1,3,-2
54649,1,5,-4
45367,3,3,0
66841,2,4,-2
29699,4,3,1
44114,5,1,4
20519,3,1,2
36906,3,2,1
25010,1,3,-2
25559,4,5,-1
54084,3,4,-1
38614,1,5,-4
22535,2,2,0
25684,3,1,2
686,1,5,-4
6578,1,1,0
56653,1,1,0
27960,1,5,-4
49900,1,4,-3
32635,3,4,-1
3764,5,4,1
22112,2,4,-2
66588,2,2,0
44563,5,3,2
58966,1,3,-2
51060,1,3,-2
22322,4,1,3
33956,1,5,-4
932,4,4,0
31105,2,4,-2
57731,4,2,2
1564,3,5,-2
65090,2,3,-1
29683,2,3,-1
61668,1,4,-3
54929,3,5,-2
67569,1,5,-4
66058,2,4,-2
24406,4,3,1
52726,4,3,1
18006,5,5,0
51992,1,3,-2
46298,4,5,-1
26782,4,1,3
22274,1,3,-2
36435,4,5,-1
9913,5,1,4
8333,5,4,1
12496,4,5,-1
1591,1,5,-4
40372,4,3,1
48527,3,2,1
585,4,1,3
61418,2,3,-1
55637,5,5,0
62518,3,1,2
18130,5,4,1
61855,4,4,0
51233,4,2,2
13483,1,4,-3
27974,1,1,0
51772,2,5,-3
36265,2,1,1
30397,2,5,-3
49510,3,3,0
24845,3,4,-1
18689,1,3,-2
51330,5,4,1
17272,4,4,0
57449,1,1,0
10398,5,4,1
35117,4,2,2
30949,3,2,1
67004,3,3,0
30938,1,3,-2
12604,3,5,-2
216,1,2,-1
39289,4,3,1
25337,1,2,-1
36188,4,3,1
69658,2,4,-2
26074,3,2,1
4042,1,3,-2
28705,3,3,0
15262,3,1,2
54782,3,2,1
4858,1,1,0
4433,1,4,-3
34862,4,5,-1
29961,4,2,2
3019,5,3,2
15204,3,1,2
27982,1,4,-3
15034,4,4,0
60430,2,4,-2
12890,4,5,-1
65310,5,3,2
34529,3,5,-2
32990,2,4,-2
7228,3,1,2
28269,2,4,-2
33780,3,3,0
33646,4,4,0
5990,3,3,0
3215,3,4,-1
68363,3,5,-2
66395,4,4,0
10756,1,5,-4
29386,1,4,-3
62809,4,1,3
41332,5,2,3
39884,4,5,-1
44877,3,3,0
63531,3,3,0
18300,4,3,1
16131,5,5,0
16996,3,1,2
65037,5,1,4
9300,3,5,-2
55948,4,4,0
48380,2,5,-3
40568,4,1,3
27823,2,2,0
31702,3,5,-2
41740,4,4,0
62609,2,2,0
20143,3,2,1
59900,5,3,2
34362,2,4,-2
4687,5,2,3
22149,3,5,-2
42161,5,1,4
2555,1,3,-2
50362,3,5,-2
25512,3,2,1
48915,4,3,1
24850,2,4,-2
5632,2,5,-3
19159,2,2,0
51975,3,1,2
2554,4,2,2
9746,5,4,1
20131,1,1,0
61786,5,1,4
19406,4,1,3
1756,4,4,0
23680,4,4,0
42258,1,2,-1
16818,4,5,-1
49130,4,1,3
27882,4,2,2
62678,3,4,-1
66559,1,3,-2
67137,5,1,4
35558,4,5,-1
60020,4,3,1
60130,3,4,-1
7335,1,1,0
64713,3,5,-2
52953,4,5,-1
45042,4,1,3
68709,5,1,4
831,1,2,-1
13415,1,3,-2
27710,5,1,4
40411,4,1,3
69415,2,3,-1
68295,4,4,0
55965,3,3,0
52018,1,1,0
17244,1,2,-1
12312,3,3,0
42543,2,3,-1
21425,1,2,-1
23191,2,4,-2
21245,5,5,0
37826,3,4,-1
16015,1,1,0
25254,3,1,2
21976,2,4,-2
60298,5,1,4
46335,3,3,0
39174,5,2,3
61423,1,5,-4
48028,4,4,0
44388,4,1,3
35955,3,2,1
67494,1,5,-4
9633,4,4,0
36818,1,1,0
68507,4,1,3
59611,5,4,1
18568,4,5,-1
8865,2,1,1
29536,4,4,0
10858,5,2,3
2295,5,2,3
44427,2,4,-2
69624,3,3,0
57841,4,4,0
26064,3,5,-2
42562,2,3,-1
1794,4,5,-1
12194,2,1,1
69062,4,5,-1
49042,3,3,0
61719,3,5,-2
24333,4,4,0
11823,3,4,-1
9273,1,5,-4
18244,2,2,0
30116,3,2,1
20231,4,5,-1
9745,5,2,3
17557,4,1,3
35741,4,1,3
30313,5,3,2
34608,2,5,-3
40104,2,5,-3
42012,3,5,-2
6400,2,3,-1
5999,5,2,3
19393,1,2,-1
51020,2,1,1
5791,2,2,0
35362,3,4,-1
20417,5,2,3
18733,2,3,-1
63549,5,3,2
62295,2,4,-2
27088,4,3,1
22356,4,4,0
18896,1,5,-4
10578,3,2,1
34775,4,4,0
38197,1,3,-2
46494,2,1,1
49625,5,1,4
56475,4,2,2
11247,3,2,1
55911,3,1,2
14567,4,2,2
44179,4,4,0
4014,2,3,-1
53614,2,1,1
27010,1,3,-2
30947,4,5,-1
1266,3,1,2
24513,2,4,-2
7785,1,5,-4
6250,2,3,-1
1738,2,4,-2
56187,4,1,3
25724,3,3,0
57390,5,2,3
32614,2,3,-1
1070,4,3,1
21344,1,5,-4
38082,5,5,0
3298,5,1,4
69069,3,2,1
29397,3,1,2
22712,2,2,0
68030,3,5,-2
33785,4,4,0
53839,4,2,2
61837,4,3,1
31057,3,5,-2
55204,2,2,0
7146,1,2,-1
42377,5,3,2
34203,4,2,2
11767,2,1,1
36269,5,4,1
22500,3,2,1
69469,3,3,0
52997,1,2,-1
6801,5,5,0
17166,3,3,0
25415,1,2,-1
36483,3,5,-2
66183,4,5,-1
9352,3,2,1
24450,4,4,0
55225,5,2,3
63857,4,4,0
50227,2,3,-1
5399,3,1,2
60182,4,1,3
48602,5,5,0
23894,3,3,0
18261,1,1,0
62787,5,2,3
42931,3,2,1
43150,5,4,1
66316,2,4,-2
47262,4,2,2
17650,2,5,-3
8008,3,2,1
2605,2,4,-2
30677,3,4,-1
42789,1,5,-4
45242,5,3,2
39382,4,3,1
45300,4,5,-1
15074,5,5,0
26747,3,5,-2
3557,5,5,0
59408,4,5,-1
56424,3,3,0
6129,5,2,3
13691,5,1,4
52257,3,3,0
6437,4,2,2
16224,4,1,3
23427,5,5,0
46271,5,1,4
18064,4,1,3
65437,4,1,3
57634,4,5,-1
32112,4,2,2
37868,4,3,1
58583,1,2,-1
4718,3,5,-2
15277,1,2,-1
29371,4,4,0
56126,5,5,0
37023,4,2,2
66149,5,1,4
24909,3,5,-2
20337,5,2,3
20988,3,2,1
1159,4,1,3
2306,1,4,-3
1380,5,1,4
37179,3,1,2
23353,1,3,-2
66195,1,1,0
4181,4,3,1
43976,5,1,4
61055,1,2,-1
46212,2,2,0
25328,3,3,0
29429,4,5,-1
40401,5,4,1
54361,3,2,1
67328,1,5,-4
1784,4,3,1
48104,1,2,-1
37280,2,2,0
48365,1,4,-3
12268,1,5,-4
60694,3,3,0
39352,3,5,-2
19221,1,3,-2
35404,3,4,-1
42620,2,1,1
7486,2,4,-2
26607,4,3,1
33673,5,4,1
29258,3,5,-2
38919,5,4,1
45586,4,2,2
2435,2,3,-1
19726,2,4,-2
3058,3,2,1
19812,4,5,-1
22826,3,4,-1
358,1,3,-2
49701,4,2,2
50014,5,5,0
53934,1,2,-1
19975,4,2,2
40965,2,2,0
3745,2,4,-2
44455,4,3,1
2591,3,4,-1
16331,5,1,4
13466,2,5,-3
25150,1,1,0
50080,1,5,-4
63020,3,4,-1
275,4,5,-1
33276,5,4,1
17230,5,4,1
13423,2,4,-2
37553,4,4,0
29829,2,3,-1
21958,1,2,-1
25384,5,5,0
62749,4,3,1
40557,4,3,1
55287,5,5,0
38432,2,5,-3
31248,1,2,-1
49384,1,2,-1
16618,3,4,-1
41077,3,1,2
27934,2,1,1
67073,1,1,0
61900,2,4,-2
21885,3,4,-1
33509,5,1,4
35517,3,1,2
58484,5,4,1
43281,3,1,2
3219,2,3,-1
7702,2,1,1
61871,2,4,-2
53622,5,4,1
32359,2,3,-1
14825,3,3,0
54705,1,4,-3
62347,3,2,1
52247,4,3,1
30558,5,5,0
68621,5,1,4
20699,5,1,4
47212,5,3,2
19394,4,2,2
26134,1,3,-2
13397,3,4,-1
15016,3,3,0
65746,3,3,0
28680,3,2,1
13116,3,3,0
28005,1,5,-4
48479,5,4,1
25623,3,2,1
12428,4,3,1
42089,1,4,-3
27107,4,4,0
35478,5,1,4
33321,2,2,0
47614,5,5,0
34934,1,1,0
44135,4,3,1
46067,2,3,-1
17602,4,2,2
52252,3,4,-1
68972,5,3,2
62969,5,4,1
60779,3,1,2
44697,1,2,-1
23816,4,4,0
6838,4,5,-1
38380,5,5,0
66614,1,2,-1
23098,5,4,1
50946,2,5,-3
54048,2,2,0
40340,4,1,3
47603,1,1,0
602,3,3,0
46636,5,4,1
54125,4,2,2
52757,5,5,0
21014,5,5,0
382,4,5,-1
55287,2,5,-3
45370,4,1,3
56793,4,3,1
61061,2,5,-3
52789,1,1,0
3725,3,1,2
31856,3,1,2
34651,1,3,-2
61955,4,2,2
13320,5,4,1
63488,2,3,-1
43882,2,4,-2
27431,2,2,0
14640,5,1,4
8879,2,2,0
37439,5,3,2
32666,5,4,1
37537,1,4,-3
35688,1,2,-1
9737,1,4,-3
28221,5,4,1
57198,4,3,1
49475,2,2,0
9756,5,4,1
46740,4,2,2
24786,4,4,0
30817,1,2,-1
31361,3,1,2
2361,3,5,-2
69761,5,3,2
3227,4,2,2
8519,3,1,2
69599,5,4,1
38911,2,4,-2
23025,3,4,-1
62266,1,5,-4
16849,5,2,3
14671,2,4,-2
60473,4,2,2
45197,2,2,0
4409,3,4,-1
11128,3,3,0
63668,3,2,1
35368,3,5,-2
68715,3,5,-2
34765,4,1,3
39998,4,2,2
36758,2,5,-3
43546,4,3,1
60343,5,5,0
12415,2,3,-1
18825,1,2,-1
2188,4,1,3
49915,2,2,0
45826,3,3,0
23727,3,2,1
31582,2,1,1
29905,2,4,-2
39180,1,2,-1
7471,3,2,1
12496,2,1,1
22187,4,2,2
66721,1,3,-2
56760,3,2,1
54019,3,2,1
11560,2,4,-2
24856,2,1,1
26515,5,5,0
4802,1,5,-4
9730,5,2,3
34087,1,4,-3
60802,3,5,-2
32191,2,5,-3
69987,3,4,-1
40231,4,2,2
60826,5,1,4
43099,2,2,0
7444,5,2,3
22193,4,3,1
5817,2,1,1
68130,4,2,2
35461,2,2,0
46076,1,2,-1
11576,4,2,2
45170,1,3,-2
50156,5,4,1
24226,5,4,1
60000,3,4,-1
1979,2,3,-1
15159,5,2,3
32668,3,5,-2
23346,2,2,0
21522,1,3,-2
45061,4,5,-1
17105,1,5,-4
53809,3,3,0
15225,1,5,-4
30353,5,2,3
30788,3,4,-1
28663,1,2,-1
14875,1,2,-1
40536,2,1,1
66036,1,5,-4
44293,4,3,1
33403,1,5,-4
50356,5,4,1
28512,4,1,3
38409,4,3,1
419,2,4,-2
60385,3,2,1
23996,5,5,0
61837,5,4,1
62659,3,2,1
49877,5,1,4
55270,3,5,-2
64247,4,1,3
825,4,2,2
61187,4,2,2
27212,1,1,0
39411,3,2,1
68468,5,3,2
68551,4,2,2
54682,1,1,0
20498,1,2,-1
63864,3,5,-2
45999,2,3,-1
57135,1,2,-1
54140,2,2,0
60459,1,2,-1
23416,2,5,-3
7898,4,5,-1
39084,2,3,-1
51723,1,1,0
11445,4,1,3
58336,2,2,0
34912,3,2,1
28540,2,3,-1
41462,4,4,0
59930,2,4,-2
44165,3,1,2
18769,4,4,0
15023,1,4,-3
44459,1,3,-2
43956,3,3,0
59335,5,1,4
33777,2,2,0
636,5,2,3
1215,2,2,0
18687,5,1,4
26244,3,4,-1
17483,5,3,2
32263,1,5,-4
69773,4,1,3
54349,3,1,2
15320,5,5,0
9664,2,2,0
42419,4,3,1
40382,3,3,0
36082,5,4,1
27732,1,3,-2
7890,2,1,1
28221,1,1,0
45860,1,3,-2
38095,4,2,2
41391,4,2,2
31005,5,1,4
9898,1,1,0
63181,1,2,-1
43792,3,1,2
55415,3,5,-2
56359,5,2,3
21063,3,3,0
61625,5,5,0
3266,4,2,2
57932,4,3,1
47664,1,2,-1
42619,3,3,0
16006,1,3,-2
61292,5,5,0
66782,2,5,-3
53785,5,3,2
22370,5,2,3
28044,4,1,3
66239,2,4,-2
40594,2,5,-3
67585,3,5,-2
38746,1,2,-1
62292,3,5,-2
32143,3,5,-2
42336,2,1,1
53097,5,1,4
68450,2,1,1
28698,4,4,0
5590,3,3,0
9530,1,1,0
40989,5,4,1
3708,4,4,0
28656,3,2,1
58910,5,4,1
26489,5,4,1
42470,3,5,-2
28884,2,2,0
48219,4,2,2
60889,3,1,2
31680,4,1,3
8493,1,4,-3
23832,2,5,-3
55110,5,2,3
65010,5,5,0
17112,2,4,-2
1348,4,3,1
62475,5,5,0
69549,4,3,1
56242,5,1,4
63121,4,4,0
29391,3,4,-1
21118,1,1,0
32427,4,4,0
4778,2,3,-1
53712,3,3,0
38154,4,4,0
47995,5,3,2
26062,5,2,3
55114,1,2,-1
9131,4,3,1
14016,2,3,-1
20669,3,2,1
29482,2,1,1
31765,3,4,-1
67005,5,3,2
14781,4,1,3
10853,1,1,0
29581,2,2,0
56505,5,5,0
28074,5,1,4
5158,4,2,2
28018,4,4,0
19261,3,3,0
6013,5,2,3
9557,5,1,4
37907,3,2,1
33571,1,5,-4
7254,5,1,4
37887,3,3,0
52998,5,3,2
29665,3,4,-1
5313,3,3,0
21704,1,3,-2
28465,1,1,0
57863,1,1,0
54346,2,5,-3
