employee_id,years_at_company,job_satisfaction,work_life_balance,attrition
44921,1,4,1,No
28472,4,2,3,No
5725,3,1,3,Yes
35913,8,1,1,No
48402,11,1,4,No
26004,11,5,2,No
20450,1,4,4,No
1993,9,4,4,No
27290,2,4,2,No
45939,1,4,4,No
16000,13,4,1,No
57105,14,4,5,No
41439,0,4,2,No
51888,11,3,4,No
25622,9,2,1,No
34257,13,2,3,No
53029,14,4,3,No
2325,3,4,5,No
54646,14,2,2,No
31277,1,4,4,No
29932,1,1,5,Yes
17206,4,3,2,No
46656,1,4,3,No
51441,13,3,4,No
1699,3,1,2,Yes
1445,11,1,4,No
38986,0,2,1,Yes
37359,8,2,3,No
52047,9,5,3,No
47864,6,3,5,No
6951,12,3,1,No
38282,2,4,1,No
26143,1,3,4,No
50606,10,2,4,No
16889,5,4,1,No
33936,5,1,4,No
44434,9,1,5,No
16182,7,1,5,No
14086,10,4,3,No
43640,11,5,2,No
51391,5,2,2,No
48202,4,3,3,No
47794,5,3,4,No
54489,6,4,5,No
6419,5,4,5,No
1881,8,4,2,No
49637,4,2,4,No
39835,14,5,5,No
36430,14,2,1,No
39616,12,5,4,No
18488,4,3,5,No
2634,11,2,5,No
42350,13,1,4,No
22570,1,4,5,No
34191,5,1,4,No
46446,6,1,1,No
3787,13,5,1,No
4768,1,5,5,No
34077,9,2,2,No
12273,13,1,1,No
32290,2,2,3,Yes
39062,13,5,5,No
30699,0,3,5,No
11352,3,3,5,No
22016,2,5,5,No
14534,11,3,3,No
58744,3,1,4,Yes
25730,11,3,1,No
31039,3,1,1,Yes
20837,9,5,5,No
42631,5,3,3,No
29397,11,1,4,No
40120,12,2,5,No
51922,13,1,1,No
25847,4,3,1,No
32950,2,4,3,No
36972,3,5,3,No
49987,0,4,3,No
22816,4,1,1,No
58175,0,1,5,Yes
59993,0,4,5,No
59404,14,4,2,No
3783,2,3,4,No
30717,12,5,3,No
31980,13,1,5,No
39620,1,1,5,Yes
24639,9,2,2,No
11244,10,3,2,No
46104,3,1,3,Yes
3326,11,1,3,No
26580,5,2,3,No
58192,2,1,5,Yes
43634,2,3,5,No
52913,6,5,1,No
832,4,3,2,No
31961,6,5,4,No
26162,10,4,4,No
50240,0,4,2,No
23191,9,3,3,No
1065,2,3,4,No
19463,10,4,5,No
8619,6,5,2,No
14715,0,1,4,Yes
19518,9,2,1,No
38496,13,2,2,No
31327,10,3,4,No
34400,10,5,4,No
59389,12,3,4,No
59431,7,1,2,No
42712,12,3,4,No
4031,5,1,3,No
19510,9,5,5,No
54511,9,4,4,No
45400,2,3,5,No
24395,3,1,2,Yes
42959,3,5,4,No
57381,8,3,2,No
21869,0,2,4,Yes
16557,12,2,4,No
14089,11,3,5,No
8052,14,5,4,No
30849,11,1,2,No
1386,12,3,5,No
23843,2,1,4,Yes
32501,10,4,5,No
47850,0,4,3,No
9742,10,1,4,No
48756,1,5,1,No
22690,1,3,1,No
27861,5,5,4,No
20173,14,1,3,No
31351,10,2,3,No
21505,13,1,4,No
824,3,5,5,No
20948,13,4,1,No
51122,5,4,1,No
12127,6,2,3,No
46642,7,3,2,No
13980,6,3,2,No
8187,11,5,4,No
53467,8,4,3,No
31054,8,2,1,No
54701,5,4,1,No
14667,3,2,5,Yes
25254,7,5,3,No
5254,7,4,2,No
57523,8,5,1,No
58511,0,4,3,No
59830,7,5,2,No
27857,8,1,5,No
21985,13,1,2,No
20715,12,4,1,No
12406,3,5,4,No
10895,6,4,3,No
12453,4,1,5,No
2511,0,5,1,No
23180,8,5,2,No
28631,0,5,3,No
3133,4,2,1,No
59181,2,5,4,No
10816,6,5,1,No
45539,6,1,5,No
40997,9,5,1,No
54664,8,4,1,No
52164,8,4,3,No
39714,14,2,3,No
32590,9,2,1,No
35020,14,2,4,No
398,10,3,4,No
14711,13,1,1,No
25452,9,1,3,No
21648,10,4,2,No
14641,13,1,4,No
31543,9,2,3,No
51328,8,5,2,No
49967,7,2,1,No
27864,6,1,5,No
18798,3,5,4,No
14207,1,1,5,Yes
3754,14,4,2,No
16146,0,5,1,No
27439,2,5,3,No
36939,8,5,2,No
53916,6,4,4,No
9147,8,4,1,No
9379,10,5,1,No
22907,6,5,2,No
54621,12,2,2,No
18848,2,5,5,No
29811,8,3,1,No
41498,11,5,3,No
52843,7,1,3,No
819,13,2,4,No
46449,7,3,3,No
44813,5,4,3,No
17527,2,1,1,Yes
35498,10,1,1,No
3829,4,3,1,No
54914,14,5,1,No
35160,6,2,3,No
47560,6,5,1,No
54657,3,4,3,No
47068,0,1,3,Yes
18310,7,5,3,No
43320,0,2,3,Yes
16153,5,1,2,No
41031,1,1,2,Yes
2446,4,4,2,No
12613,7,4,1,No
43214,3,2,1,Yes
35003,8,3,2,No
37380,13,2,2,No
39407,9,3,5,No
37113,14,2,5,No
54135,4,2,4,No
9083,13,2,1,No
56634,7,2,3,No
39176,3,5,2,No
17246,14,1,3,No
23555,5,4,5,No
59266,10,2,4,No
51530,8,4,5,No
6772,7,2,5,No
55143,12,1,4,No
58420,9,3,5,No
25064,14,4,4,No
2063,12,1,4,No
52522,4,1,3,No
37188,4,4,1,No
31090,2,1,4,Yes
32146,4,3,2,No
51135,1,1,2,Yes
50319,7,2,5,No
47229,4,1,3,No
59837,10,5,3,No
20585,7,1,4,No
30357,0,5,3,No
28801,6,3,5,No
53712,7,1,2,No
34372,0,5,3,No
45746,14,5,5,No
32514,5,2,5,No
18252,14,1,1,No
41937,7,5,3,No
32752,7,1,3,No
1627,1,3,3,No
12680,8,2,1,No
11640,10,4,4,No
26529,6,3,3,No
5645,10,3,5,No
38228,1,4,1,No
9989,3,3,2,No
771,6,1,3,No
12068,14,5,5,No
18179,3,4,5,No
2681,10,4,5,No
40463,10,1,4,No
25472,8,4,4,No
45100,12,4,5,No
39190,7,1,4,No
54893,10,1,3,No
44673,11,4,3,No
33342,8,1,2,No
166,3,4,1,No
29757,9,2,1,No
18121,1,2,5,Yes
2964,1,1,1,Yes
52453,0,2,4,Yes
44983,11,3,5,No
4834,10,4,5,No
36401,0,1,4,Yes
38734,3,1,2,Yes
58400,11,4,2,No
54327,13,2,1,No
32114,9,5,5,No
44777,3,2,1,Yes
50580,7,1,3,No
31899,2,4,3,No
32713,6,5,4,No
8839,0,5,1,No
42131,7,2,2,No
32249,7,5,4,No
45032,12,5,5,No
54947,6,2,2,No
24453,4,2,3,No
3434,9,4,2,No
439,6,3,3,No
43557,13,4,2,No
25373,13,4,1,No
11433,5,2,3,No
58379,7,4,5,No
36702,6,1,4,No
39208,6,4,4,No
24281,14,1,3,No
4191,2,1,1,Yes
46282,5,4,2,No
54670,10,3,1,No
39553,3,2,1,Yes
37806,2,4,4,No
15650,14,2,2,No
9763,13,5,2,No
38761,10,5,4,No
17948,14,4,2,No
1131,5,2,4,No
46159,12,3,4,No
42743,11,4,2,No
21622,8,1,2,No
7351,0,3,5,No
15353,4,3,3,No
15386,1,2,2,Yes
12990,2,1,3,Yes
49337,10,1,2,No
41954,4,4,3,No
12516,8,2,3,No
9942,6,1,5,No
2913,2,5,2,No
48566,3,1,5,Yes
10557,11,2,2,No
29775,8,5,2,No
9518,10,1,5,No
20080,13,5,3,No
50822,11,1,1,No
23097,4,4,2,No
31387,0,4,1,No
3541,10,3,1,No
55240,2,1,5,Yes
13751,3,3,2,No
21373,8,5,2,No
29993,11,4,4,No
39437,1,4,2,No
2868,3,4,5,No
28332,2,5,3,No
19751,10,5,4,No
32672,5,1,3,No
12045,3,2,4,Yes
1733,1,4,4,No
18096,7,3,3,No
12887,11,4,4,No
10401,13,5,3,No
13506,13,5,4,No
10377,2,5,4,No
42388,5,5,3,No
25574,5,2,3,No
43925,8,1,3,No
27893,13,4,2,No
16944,4,1,2,No
18460,5,4,1,No
4242,11,1,1,No
47946,8,3,3,No
20075,4,5,3,No
5602,12,1,1,No
22592,5,4,5,No
8034,3,1,5,Yes
44805,13,1,2,No
10512,0,4,1,No
56098,5,2,5,No
21471,9,4,4,No
36399,9,3,2,No
15913,8,3,1,No
55468,10,4,2,No
11366,9,1,3,No
37787,1,4,5,No
51485,7,1,5,No
8362,10,4,3,No
34300,6,5,3,No
48737,8,4,1,No
37054,3,4,4,No
44565,1,4,1,No
42527,12,3,1,No
54748,4,3,1,No
55676,11,2,3,No
17302,5,3,4,No
44196,3,3,4,No
32163,14,5,4,No
45594,10,5,1,No
651,9,3,2,No
56591,0,5,3,No
46623,9,4,1,No
30944,8,2,1,No
39518,2,2,3,Yes
15182,14,1,2,No
56668,11,5,4,No
54007,12,1,1,No
7061,2,2,4,Yes
36684,10,5,1,No
30440,13,5,3,No
10883,8,5,1,No
23855,8,3,5,No
11770,3,4,3,No
37000,11,2,5,No
25077,5,2,1,No
36824,7,3,5,No
43440,2,1,2,Yes
16370,7,3,4,No
39131,6,1,4,No
50348,10,5,5,No
15933,13,2,1,No
38018,8,5,2,No
34395,10,2,2,No
7230,5,1,4,No
28067,10,1,2,No
22561,6,5,4,No
7596,8,1,4,No
9895,9,4,2,No
5849,11,3,1,No
38171,8,5,4,No
44951,8,3,4,No
23915,14,5,2,No
36263,10,3,2,No
35604,13,1,2,No
40474,9,4,2,No
50116,5,1,3,No
51872,4,5,5,No
45505,7,2,2,No
28731,13,1,2,No
20684,14,2,5,No
7572,4,5,5,No
45872,10,4,2,No
59279,0,2,5,Yes
16170,14,5,2,No
51267,3,4,3,No
25001,9,1,3,No
31286,10,3,2,No
53841,3,4,2,No
49298,12,1,4,No
19814,13,2,3,No
58446,0,1,4,Yes
5449,13,1,1,No
4243,7,3,3,No
30587,0,4,4,No
43465,1,4,1,No
39322,12,5,4,No
16623,12,3,2,No
58789,5,4,3,No
53841,13,2,3,No
38377,12,5,5,No
2755,0,1,1,Yes
16514,2,5,3,No
42702,11,5,1,No
29865,6,5,4,No
33857,3,3,2,No
1994,9,5,4,No
451,5,4,1,No
20045,9,2,5,No
22546,6,1,3,No
13696,0,2,2,Yes
59463,12,1,2,No
22111,13,2,5,No
11440,7,2,2,No
41644,14,2,2,No
15011,7,4,5,No
37296,4,5,3,No
39522,6,3,3,No
7295,7,2,3,No
24457,5,2,4,No
14389,9,2,5,No
57972,1,4,2,No
14549,12,4,1,No
28221,10,2,5,No
24590,10,3,4,No
38183,8,5,3,No
3013,3,4,3,No
52936,1,2,3,Yes
38,3,3,3,No
26809,6,4,2,No
9092,4,2,1,No
11408,10,3,1,No
8858,10,3,5,No
59112,1,1,3,Yes
31906,3,1,1,Yes
15849,9,1,4,No
26998,3,1,2,Yes
7397,0,5,4,No
20140,13,3,3,No
34341,4,4,3,No
5040,2,1,3,Yes
49261,10,1,3,No
51011,0,5,2,No
55149,2,2,1,Yes
39459,13,5,5,No
41048,14,4,4,No
21917,13,5,4,No
10825,5,3,4,No
3228,12,2,5,No
27081,12,2,4,No
51966,12,4,5,No
14534,6,3,5,No
11962,12,2,5,No
29733,9,1,1,No
1590,6,1,1,No
25519,1,5,3,No
22988,1,1,5,Yes
2097,14,3,2,No
10130,1,1,2,Yes
40801,12,5,4,No
55070,5,4,3,No
45708,6,2,4,No
23133,10,3,4,No
51408,6,1,3,No
41343,8,5,4,No
14877,0,2,1,Yes
51546,6,2,2,No
7961,3,3,3,No
11487,1,3,2,No
9076,6,4,2,No
56422,6,1,3,No
13590,14,1,3,No
46714,6,5,3,No
691,11,4,3,No
34826,6,2,2,No
33406,0,2,5,Yes
51986,5,4,2,No
13341,11,5,1,No
30225,9,2,1,No
29308,7,2,2,No
55253,2,4,2,No
58797,7,3,5,No
59537,11,2,4,No
5132,7,1,3,No
7228,4,4,5,No
19186,9,5,3,No
25309,12,2,3,No
12204,11,3,3,No
59350,10,5,3,No
29668,6,5,4,No
42927,14,2,4,No
2895,13,5,5,No
8620,14,1,4,No
10360,1,4,5,No
8901,9,2,5,No
57544,13,5,4,No
53957,12,5,2,No
59888,5,1,2,No
37768,13,3,3,No
39270,4,2,3,No
20407,12,1,5,No
59531,11,4,5,No
38714,11,2,2,No
57893,11,2,5,No
32811,0,5,5,No
31537,6,5,5,No
10987,4,3,4,No
44361,3,1,1,Yes
22047,6,4,2,No
29509,5,5,1,No
8456,3,3,4,No
27651,10,2,5,No
59415,2,3,1,No
57410,6,3,5,No
53461,7,5,2,No
15209,2,1,1,Yes
28293,14,1,1,No
59738,8,3,5,No
3639,5,5,4,No
45104,14,4,1,No
39911,13,1,4,No
7284,8,5,3,No
7705,11,1,3,No
32192,14,5,2,No
51973,2,4,4,No
28514,14,2,1,No
29658,7,2,5,No
41577,6,4,2,No
7921,8,3,5,No
21978,14,2,3,No
13303,12,3,1,No
10491,13,1,5,No
52220,5,3,4,No
18134,0,1,5,Yes
27566,14,1,4,No
40923,8,2,5,No
38856,13,1,4,No
21949,12,5,2,No
4560,4,4,4,No
28896,10,1,5,No
15504,2,1,1,Yes
54676,9,4,5,No
9418,8,2,2,No
3629,5,4,3,No
18111,0,5,2,No
46836,5,3,5,No
51735,7,1,1,No
7750,14,2,5,No
48544,10,1,4,No
23921,1,4,4,No
32132,13,1,1,No
28527,1,5,4,No
36017,8,5,2,No
7036,2,1,3,Yes
50653,10,2,5,No
3353,3,2,1,Yes
59840,10,1,4,No
15205,11,5,1,No
26815,4,5,2,No
55005,9,3,2,No
10433,1,1,2,Yes
15750,14,2,2,No
52009,5,4,2,No
25061,10,4,5,No
40119,13,2,1,No
50436,5,2,5,No
13617,1,2,1,Yes
4705,0,3,2,No
31820,2,5,2,No
46285,5,4,2,No
53821,3,3,4,No
45252,2,3,4,No
8276,10,3,1,No
37349,3,1,4,Yes
13544,1,2,5,Yes
2931,6,1,4,No
34302,11,2,2,No
49079,14,4,4,No
5598,2,3,1,No
34752,6,3,2,No
47944,2,4,1,No
43764,10,1,4,No
26993,1,3,3,No
6360,2,2,3,Yes
9020,10,5,5,No
3110,2,1,4,Yes
43907,7,2,2,No
36792,11,5,4,No
28541,4,3,4,No
15054,5,5,4,No
36855,12,3,1,No
452,10,4,4,No
42739,11,5,3,No
31274,0,4,2,No
53311,6,4,3,No
11075,1,5,2,No
36733,1,5,1,No
45006,7,4,4,No
9687,11,2,3,No
37668,0,4,3,No
18346,10,4,2,No
23246,11,2,4,No
14469,14,3,4,No
38199,2,5,3,No
1470,12,5,5,No
18557,12,5,5,No
47733,5,2,2,No
52279,14,4,4,No
16460,12,3,4,No
24989,1,2,5,Yes
7876,0,2,2,Yes
39655,14,4,5,No
33820,12,2,3,No
8187,11,5,5,No
34846,5,5,4,No
56580,10,4,4,No
49337,14,2,4,No
8011,0,2,2,Yes
53087,4,2,1,No
16804,3,2,5,Yes
11427,5,5,5,No
7213,9,1,3,No
28300,11,3,2,No
25077,0,5,5,No
6214,1,4,5,No
24283,3,2,2,Yes
10294,1,1,1,Yes
42479,9,4,4,No
53070,6,2,1,No
42882,12,2,5,No
54501,7,5,3,No
23510,5,2,5,No
52484,6,4,1,No
10567,7,5,5,No
33117,0,1,3,Yes
4297,14,4,4,No
34052,7,5,2,No
5004,11,3,2,No
4338,12,5,4,No
7139,5,2,1,No
49465,11,2,1,No
48098,13,5,3,No
35478,3,4,1,No
49292,0,5,2,No
14180,14,2,1,No
35973,11,4,2,No
26103,3,3,5,No
6101,10,4,3,No
29371,6,1,5,No
44964,5,5,5,No
48360,3,3,5,No
39755,2,2,5,Yes
56105,2,4,2,No
1761,8,3,2,No
29122,5,5,3,No
32097,10,5,1,No
15974,12,5,4,No
41943,2,4,4,No
53866,5,2,5,No
36116,0,4,1,No
21742,11,1,4,No
28847,0,4,1,No
21238,4,5,5,No
9693,4,4,1,No
23468,10,2,2,No
27843,10,1,1,No
52666,10,3,2,No
38153,6,4,5,No
33260,2,1,4,Yes
26118,12,3,3,No
48388,10,4,4,No
55705,7,5,1,No
33288,9,2,2,No
37914,11,2,3,No
36365,0,2,2,Yes
15410,14,5,1,No
19673,4,5,5,No
58642,0,4,5,No
49810,6,4,3,No
925,9,2,1,No
42522,10,5,4,No
18074,11,5,4,No
4768,3,2,2,Yes
58676,12,1,4,No
49882,2,4,3,No
57594,1,4,4,No
15185,9,3,3,No
57879,8,1,5,No
9852,2,3,1,No
4409,14,4,3,No
22877,4,1,1,No
862,8,1,5,No
19136,11,4,5,No
40106,12,2,2,No
36349,2,4,2,No
24261,8,1,5,No
18713,14,5,3,No
6758,10,3,5,No
38089,8,1,2,No
59192,13,1,2,No
34096,5,4,1,No
51217,6,5,3,No
1097,5,2,5,No
26637,12,1,1,No
37382,13,5,3,No
17379,7,3,5,No
28653,12,2,1,No
24444,11,3,1,No
55386,10,1,1,No
56293,10,2,5,No
13628,10,5,1,No
35418,12,1,5,No
57392,0,3,1,No
4633,10,4,1,No
41148,14,2,2,No
42447,5,1,3,No
38640,8,5,1,No
24248,10,4,3,No
16698,5,1,5,No
52484,6,4,3,No
7545,10,3,2,No
43771,12,1,2,No
49361,6,3,4,No
9150,8,1,3,No
10046,11,2,1,No
12752,2,1,4,Yes
10000,3,5,5,No
21245,2,2,1,Yes
36186,11,1,5,No
915,0,3,3,No
43524,0,4,4,No
56412,9,2,3,No
8675,2,5,4,No
54059,6,4,5,No
3223,1,3,3,No
56902,6,2,2,No
45157,6,5,1,No
33887,14,2,4,No
27239,0,5,1,No
20474,7,3,4,No
17358,9,4,1,No
1664,3,1,1,Yes
25368,6,3,1,No
5991,2,4,4,No
6867,8,2,1,No
49227,4,5,5,No
57698,2,3,4,No
12550,5,2,1,No
55185,10,2,2,No
14914,13,5,4,No
26985,4,4,3,No
4164,10,1,1,No
25193,12,2,2,No
7625,10,1,1,No
28237,12,4,1,No
9341,10,4,2,No
49035,7,4,2,No
41413,2,4,3,No
33908,4,2,4,No
14770,11,3,4,No
52988,10,1,5,No
47182,13,3,2,No
18367,4,1,1,No
7758,1,1,2,Yes
47522,7,5,5,No
7377,9,3,5,No
38681,3,1,2,Yes
12683,12,4,3,No
34140,3,2,4,Yes
59613,10,4,4,No
25400,5,4,4,No
34363,9,3,2,No
16627,10,2,2,No
20383,3,4,2,No
1553,1,1,1,Yes
967,5,1,3,No
54386,13,4,1,No
26034,1,4,4,No
48045,14,1,4,No
55298,0,2,2,Yes
210,12,2,1,No
36946,11,3,3,No
50093,13,3,1,No
28030,11,1,1,No
55701,8,3,2,No
45974,2,3,5,No
51738,11,1,2,No
11135,4,1,5,No
8780,5,4,1,No
32483,12,3,3,No
44356,0,5,2,No
12413,3,4,2,No
33689,10,3,2,No
18259,1,3,1,No
25136,7,3,2,No
50596,7,2,1,No
28954,4,2,5,No
37416,9,1,4,No
8637,9,3,5,No
35336,12,3,3,No
26346,12,3,3,No
41444,0,1,4,Yes
53376,4,1,2,No
48094,14,1,1,No
42656,6,3,4,No
50559,12,5,5,No
20970,1,3,5,No
54767,3,3,5,No
59695,1,4,5,No
52706,3,5,5,No
29659,4,3,1,No
23604,1,2,3,Yes
15550,2,3,5,No
17028,13,1,5,No
52592,12,3,4,No
54713,4,5,2,No
50999,0,3,4,No
5012,13,5,4,No
15276,13,4,5,No
20641,10,5,2,No
4364,13,4,1,No
50600,5,4,5,No
21120,1,3,1,No
45557,4,1,3,No
59081,9,3,3,No
49526,0,1,5,Yes
51178,13,1,2,No
7887,10,2,1,No
41712,14,2,4,No
5476,14,4,3,No
58731,1,2,2,Yes
44242,1,5,1,No
41036,0,3,4,No
38175,2,3,3,No
39426,12,4,2,No
24797,13,5,4,No
49825,1,5,2,No
2384,12,3,1,No
3902,5,1,4,No
3818,1,2,5,Yes
39240,8,5,1,No
37980,12,5,3,No
716,14,5,5,No
20148,5,2,3,No
47103,12,1,5,No
3346,9,4,3,No
17314,12,4,3,No
26886,6,5,5,No
24286,13,4,1,No
22497,7,4,3,No
6370,12,1,2,No
51583,6,4,1,No
185,2,4,2,No
26532,14,4,5,No
19579,3,4,2,No
13724,3,5,1,No
2037,11,3,1,No
15710,2,1,2,Yes
24015,10,5,4,No
5921,11,3,3,No
15057,7,4,5,No
57871,3,5,4,No
45921,8,2,1,No
6827,0,3,5,No
11288,9,4,3,No
22051,7,2,4,No
29293,14,4,5,No
18605,13,5,1,No
46599,1,2,2,Yes
53253,10,2,5,No
5824,2,3,3,No
56643,0,3,2,No
59310,2,4,3,No
43423,3,2,5,Yes
6011,9,1,2,No
45318,8,2,1,No
39928,14,5,3,No
5365,4,2,3,No
41982,2,5,1,No
32970,9,4,3,No
35423,13,3,3,No
22022,7,1,3,No
55135,5,1,4,No
21539,9,2,4,No
34907,13,4,5,No
9757,8,1,2,No
29618,8,5,1,No
34147,0,1,5,Yes
50036,0,2,3,Yes
22235,9,4,2,No
18589,5,1,1,No
47439,12,1,1,No
52137,10,2,3,No
45852,6,3,5,No
57807,2,5,4,No
47409,8,3,1,No
1633,3,3,2,No
8308,3,2,5,Yes
55566,2,5,1,No
35571,1,5,1,No
2849,4,2,2,No
21063,7,3,4,No
44751,9,1,5,No
59695,13,1,4,No
43347,7,3,4,No
18274,4,2,5,No
12526,10,3,1,No
3654,6,2,5,No
50625,0,5,2,No
46858,2,1,2,Yes
52628,4,3,4,No
16677,4,1,1,No
35013,8,1,5,No
15647,2,2,2,Yes
30549,4,3,2,No
12306,5,3,4,No
50483,14,1,4,No
44250,1,4,3,No
48613,10,3,5,No
59202,0,5,3,No
12137,13,2,1,No
27263,6,5,1,No
22222,14,2,5,No
13481,9,3,3,No
53122,3,1,2,Yes
51164,8,1,4,No
1156,13,4,2,No
2006,6,2,1,No
38965,4,3,1,No
26649,6,4,1,No
14585,12,1,2,No
4920,14,1,2,No
28351,8,1,5,No
9086,11,1,3,No
32674,1,4,4,No
23199,4,4,3,No
16000,6,4,5,No
58059,3,3,3,No
11658,3,4,1,No
35997,2,3,1,No
17473,13,5,4,No
36888,8,3,2,No
23521,14,1,4,No
35870,1,2,4,Yes
56815,3,3,4,No
54492,6,3,2,No
33981,9,2,2,No
2644,10,3,1,No
41778,4,3,4,No
24138,14,1,2,No
36463,0,5,5,No
49549,11,1,4,No
25702,14,5,2,No
1019,10,5,2,No
13050,12,2,5,No
46655,11,1,4,No
15074,7,5,4,No
19020,9,4,4,No
46654,9,1,1,No
46978,1,5,2,No
59244,6,3,1,No
47640,10,3,4,No
33630,14,1,3,No
7186,14,4,2,No
16203,14,2,4,No
57786,4,4,3,No
37885,13,4,4,No
53854,5,4,3,No
43133,12,5,5,No
7382,9,2,5,No
21337,13,4,4,No
23723,11,2,2,No
21610,13,2,4,No
55978,9,3,3,No
36474,8,4,5,No
8374,10,1,1,No
2385,6,1,2,No
53751,11,1,2,No
56414,2,3,4,No
17884,2,1,3,Yes
4766,10,4,2,No
2996,12,1,4,No
38921,11,2,1,No
58097,6,2,1,No
38928,8,3,3,No
50294,11,3,4,No
13055,5,4,3,No
35925,6,5,1,No
43774,0,1,1,Yes
26371,12,3,3,No
14136,1,1,5,Yes
23607,2,2,2,Yes
31571,13,5,2,No
54554,5,5,2,No
28888,1,2,4,Yes
30780,13,2,2,No
24680,12,4,2,No
54055,6,1,5,No
5108,9,4,2,No
32565,13,1,4,No
39016,3,1,3,Yes
19379,2,3,3,No
24848,4,4,4,No
51773,2,2,3,Yes
54071,9,1,1,No
2896,4,5,5,No
45480,2,5,2,No
44618,6,1,2,No
5103,0,1,3,Yes
33873,4,1,5,No
13284,11,3,2,No
26549,12,5,4,No
1595,12,3,2,No
14316,11,3,3,No
21892,12,5,4,No
31672,13,4,5,No
43560,12,5,3,No
54502,8,1,1,No
59682,9,3,5,No
20911,4,2,3,No
42226,9,4,3,No
48867,14,2,5,No
368,8,2,1,No
27580,12,4,5,No
58593,3,4,1,No
24690,8,3,5,No
59803,6,5,5,No
7708,2,1,4,Yes
46902,13,1,4,No
19605,10,4,3,No
14758,3,1,5,Yes
37531,7,4,4,No
29963,6,3,3,No
28417,11,3,5,No
5240,7,5,4,No
15440,0,1,4,Yes
33326,12,5,2,No
31762,11,4,3,No
33876,14,2,5,No
39166,8,2,1,No
37907,12,3,1,No
38533,9,4,2,No
17992,1,5,4,No
25412,5,2,2,No
51983,10,4,1,No
42142,11,1,4,No
15218,9,1,2,No
16033,1,4,4,No
1142,9,5,4,No
35474,11,2,2,No
50250,1,3,3,No
54016,3,4,5,No
48428,1,1,5,Yes
10426,13,4,2,No
22866,1,2,4,Yes
34986,2,2,4,Yes
39301,7,3,5,No
43524,10,1,2,No
3169,6,3,4,No
36833,13,5,1,No
27104,4,3,5,No
33202,8,3,2,No
56740,13,2,1,No
4640,14,5,2,No
10837,11,3,4,No
23521,3,2,1,Yes
2554,14,5,5,No
52128,10,2,2,No
34839,2,5,3,No
37234,11,4,2,No
40592,10,4,3,No
2977,12,2,1,No
58419,4,5,5,No
19953,13,2,1,No
8305,9,4,5,No
33845,8,2,5,No
31217,1,5,4,No
53792,9,4,5,No
32627,14,3,2,No
