employee_id,performance_rating,projects_completed,manager_feedback_score,review_date
28091,4,4,2.8,2020-04-09 07:17:24
3221,1,1,4.2,2020-06-12 07:14:27
22302,2,7,3.7,2018-07-21 14:58:36
29018,1,5,1.0,2023-08-30 21:22:09
57229,4,2,3.8,2022-06-03 18:15:10
49195,3,6,4.8,2021-07-13 00:41:46
54540,4,5,2.1,2019-11-02 00:56:45
20301,5,2,1.1,2018-03-28 04:02:37
30843,2,9,2.4,2021-04-27 14:43:59
59266,2,11,1.2,2021-10-09 08:32:35
40246,3,8,3.6,2024-01-02 21:15:33
38917,5,9,2.6,2019-04-22 23:30:16
3384,1,11,3.7,2022-06-03 11:38:03
26839,4,2,2.4,2020-03-06 20:27:32
39500,1,8,2.6,2024-03-14 01:29:07
52328,3,6,2.1,2018-12-02 04:54:35
51466,5,7,3.0,2021-06-19 14:05:51
56220,3,1,3.7,2020-03-30 23:35:06
28540,4,4,3.1,2021-04-25 05:09:55
4070,1,8,3.6,2018-11-18 01:42:15
58775,1,5,2.1,2022-01-13 09:39:08
9688,1,11,1.8,2019-02-06 12:04:59
15714,1,7,2.8,2024-02-11 22:42:50
25663,2,6,3.2,2019-06-20 02:06:02
22582,3,8,3.7,2022-02-28 02:16:48
15841,3,11,3.1,2024-09-02 22:00:08
40405,2,6,1.9,2019-11-21 02:59:32
26360,5,9,5.0,2022-08-27 17:35:14
21936,4,6,2.5,2023-04-03 18:41:28
11751,4,9,1.3,2022-11-04 16:02:28
29717,5,0,1.5,2023-07-21 23:26:49
30082,4,10,2.8,2019-05-20 18:25:22
19809,5,10,3.9,2018-02-23 18:00:39
12582,1,0,3.1,2019-08-04 02:27:43
51795,2,0,4.7,2019-01-05 16:52:58
11362,3,6,2.1,2023-12-09 23:51:11
1160,2,8,3.1,2019-02-03 00:55:02
23276,2,3,1.4,2018-10-06 15:52:52
15392,4,1,2.5,2022-11-05 09:11:51
46314,5,7,2.6,2022-09-29 05:51:39
56267,2,0,2.8,2021-12-28 15:13:19
886,1,1,3.4,2020-06-26 02:21:24
18113,2,2,3.3,2024-01-27 04:59:27
25492,5,1,4.8,2021-01-26 09:09:35
9773,2,0,2.4,2019-11-02 19:27:45
16739,3,1,2.5,2022-04-24 04:11:04
42043,4,6,2.9,2020-05-08 22:04:16
19633,2,7,4.8,2022-05-17 21:15:57
58470,3,8,2.0,2019-05-09 06:53:16
46712,5,5,4.5,2024-08-25 02:22:20
57826,2,5,4.0,2019-11-28 01:48:04
25650,3,6,1.8,2024-12-07 00:23:50
32002,5,8,3.4,2021-01-08 20:42:25
25412,5,9,1.6,2023-10-25 18:59:30
17175,2,5,4.8,2019-08-29 21:51:06
54785,4,4,4.2,2022-05-12 17:31:30
52270,2,1,4.7,2018-04-08 21:35:08
29949,1,0,1.9,2020-09-12 10:01:18
40561,3,0,4.9,2024-10-09 19:00:08
31364,4,10,1.2,2020-01-11 20:52:32
46621,5,3,4.6,2021-12-26 06:56:27
23185,2,3,3.1,2020-04-06 09:44:10
1553,1,1,2.4,2022-07-14 08:38:57
53454,5,3,2.8,2021-12-27 22:56:31
10911,3,1,2.7,2019-08-31 02:26:24
20653,1,6,2.1,2023-12-21 05:10:46
23420,5,0,1.2,2021-01-03 11:12:02
19376,4,5,3.8,2019-10-07 06:18:41
48971,2,2,4.2,2021-04-03 08:18:04
43033,2,5,3.3,2024-05-17 01:34:59
46542,4,11,4.2,2022-01-05 01:50:18
5658,2,11,3.6,2023-04-23 11:05:16
49959,3,0,1.1,2022-07-12 01:30:22
27465,5,8,2.8,2023-05-27 22:15:11
18600,5,7,1.9,2024-06-25 02:48:14
56535,5,9,4.5,2019-12-21 13:34:17
6982,1,9,4.0,2019-10-22 23:23:04
15751,3,7,2.7,2024-09-13 17:17:23
55268,2,7,4.9,2024-06-10 09:49:05
34866,3,8,2.3,2019-04-21 07:13:07
2219,2,8,1.1,2023-07-20 01:37:42
56769,5,9,3.3,2019-03-10 19:52:59
43950,2,1,1.6,2019-12-28 16:04:22
22909,3,2,3.9,2023-05-15 22:56:25
16137,2,0,2.4,2018-10-11 11:34:46
7866,3,5,4.2,2019-08-13 19:01:47
57258,5,3,2.8,2020-04-21 08:22:14
11581,1,11,4.8,2021-05-27 21:25:58
35939,5,8,4.5,2023-12-29 15:14:47
52046,2,10,3.6,2018-09-09 21:02:44
40386,1,1,3.8,2019-11-12 09:12:16
10771,4,1,4.2,2022-06-22 13:26:12
21375,3,5,3.4,2020-08-04 18:32:07
17190,1,0,1.8,2024-02-03 12:15:28
21110,5,10,1.8,2018-11-28 19:17:42
30942,1,6,3.5,2020-07-09 02:55:57
54328,2,7,2.4,2021-11-02 23:26:12
44997,5,4,3.6,2018-08-27 03:03:07
32151,4,0,1.3,2024-05-07 16:07:44
37486,1,4,3.1,2019-07-01 10:22:33
22744,4,2,4.5,2021-02-15 03:10:49
19574,2,8,3.5,2024-10-26 23:11:17
6490,5,6,2.0,2023-02-22 13:32:32
26,1,3,4.7,2019-07-30 09:16:07
5472,3,7,4.7,2024-09-16 06:32:30
37547,5,1,2.7,2019-12-03 13:59:09
58240,1,7,3.1,2019-07-21 08:18:01
45069,3,7,2.6,2022-05-23 02:01:51
22406,4,4,1.1,2022-08-14 10:56:49
21769,1,1,3.1,2022-09-10 08:14:51
46019,3,1,4.5,2021-08-06 15:49:19
56727,4,0,2.4,2018-03-08 06:54:26
13196,5,7,1.2,2019-10-08 08:35:01
10451,2,4,4.8,2019-01-15 18:17:23
10685,2,10,2.0,2022-02-12 05:25:14
27960,3,2,4.9,2022-11-05 20:32:53
50381,3,7,4.3,2020-01-24 21:11:46
44752,1,3,3.6,2021-02-08 20:00:57
31704,4,0,4.3,2023-08-09 15:39:00
25996,1,0,1.1,2018-07-06 00:34:27
11361,3,5,1.8,2022-05-11 12:12:41
21452,2,2,4.0,2020-12-24 09:44:28
20767,5,8,4.1,2019-12-16 10:06:57
20382,1,5,4.0,2024-09-06 22:52:44
30878,2,10,2.3,2023-12-01 15:18:47
38130,5,2,3.8,2024-05-23 13:55:28
13511,3,4,4.4,2019-05-26 06:11:28
21442,5,11,1.6,2020-10-04 06:27:14
8157,1,1,2.6,2018-08-09 21:15:44
36540,3,11,1.2,2022-09-06 06:44:59
9047,5,2,4.3,2021-05-13 01:08:24
43839,3,3,3.2,2020-04-23 10:31:10
53553,5,5,1.8,2019-06-05 04:35:11
41675,2,5,2.3,2018-06-21 15:16:09
36100,4,3,2.2,2024-08-01 08:51:46
45760,1,1,3.8,2019-11-15 14:55:51
40278,1,7,1.6,2019-02-10 08:46:21
929,2,5,2.4,2020-01-26 13:20:01
20121,1,9,1.9,2024-03-25 23:02:38
57385,3,8,4.5,2021-11-26 10:31:48
47100,2,0,1.5,2023-03-16 04:30:43
43957,1,11,2.1,2023-05-26 21:14:46
37768,1,7,3.4,2020-08-05 04:09:12
20207,3,1,1.6,2024-03-19 05:30:17
43630,5,6,2.6,2020-11-09 10:48:38
59370,4,5,4.1,2021-01-14 09:48:59
48240,4,4,2.8,2019-12-11 05:14:11
54253,4,4,3.0,2020-11-01 09:50:45
23996,2,1,1.5,2018-01-05 15:08:03
58168,5,3,2.7,2024-02-27 23:35:19
16113,5,6,1.6,2020-12-01 01:15:08
52739,3,5,4.4,2023-01-30 04:59:24
7070,4,6,1.5,2024-11-03 19:39:51
59827,4,8,4.3,2019-09-19 23:46:18
35315,4,3,4.9,2018-07-13 06:51:55
7230,5,9,4.5,2020-02-17 19:21:07
44670,1,7,5.0,2020-11-13 18:47:22
48477,5,7,1.7,2021-08-14 18:43:13
2178,1,0,4.6,2022-05-20 05:51:12
1709,3,10,4.4,2019-11-17 15:52:33
1724,3,8,1.4,2018-06-29 00:38:11
54711,1,7,4.2,2020-03-31 09:31:00
18207,2,2,3.4,2018-04-23 23:29:24
20692,1,7,1.7,2021-11-22 01:15:21
50127,5,8,1.3,2021-09-26 21:18:04
59675,3,10,3.7,2018-11-25 17:21:20
30858,5,7,1.3,2024-07-22 01:25:11
26632,2,3,1.0,2021-01-29 22:39:51
3412,2,1,3.7,2020-12-20 20:56:28
12723,2,3,2.3,2018-09-13 16:36:47
47835,2,10,2.1,2018-07-09 23:59:23
33210,2,11,2.3,2020-01-26 22:22:22
27417,4,7,3.7,2020-07-17 19:11:14
54357,4,9,1.2,2021-02-17 16:54:55
18345,1,3,1.8,2020-06-26 10:17:33
8237,5,1,1.1,2023-01-20 12:35:13
29686,1,8,3.4,2024-09-02 22:43:35
47896,2,11,1.3,2021-06-01 20:00:54
2573,5,2,2.8,2022-06-19 02:28:43
19943,1,8,1.5,2018-10-19 08:29:34
30897,1,6,3.8,2022-10-21 21:00:27
1075,1,8,1.9,2022-02-10 14:29:19
35390,4,0,3.3,2019-05-03 11:51:21
1133,5,5,4.3,2020-06-15 07:32:47
15342,1,9,2.7,2020-05-09 03:43:15
28042,5,2,2.0,2018-11-10 03:00:52
15160,5,4,1.4,2021-02-16 13:12:40
59367,1,7,3.1,2023-12-11 03:41:04
30745,5,10,4.3,2024-06-22 00:05:07
535,5,2,3.7,2024-11-20 08:59:37
59559,4,0,3.4,2023-07-07 09:12:36
13666,1,7,3.4,2019-12-01 16:49:32
23284,1,6,3.3,2024-01-19 11:11:44
16123,3,10,3.4,2021-06-10 08:25:38
30535,5,8,2.5,2020-01-03 12:46:13
30734,3,5,4.1,2022-07-13 15:47:06
48960,5,11,4.4,2022-02-14 22:47:30
39591,2,5,1.0,2021-02-26 01:30:22
27400,5,6,3.2,2019-09-10 13:19:59
58506,2,4,2.8,2021-08-17 11:41:31
51214,1,3,2.0,2021-09-05 17:56:07
45032,2,10,2.5,2019-04-01 19:50:19
591,3,9,4.3,2018-06-03 00:59:38
5337,1,4,4.7,2019-01-29 21:36:54
8527,2,5,1.1,2021-01-01 04:13:34
40721,4,2,1.6,2022-06-03 00:23:33
47514,4,0,1.2,2021-10-07 08:33:17
44555,4,2,4.7,2019-05-31 12:45:20
27528,1,5,3.6,2024-12-03 09:46:27
3004,1,7,4.3,2019-02-09 01:02:43
24794,5,11,4.0,2020-01-27 05:37:36
1206,5,4,2.8,2018-03-22 04:35:41
49870,2,0,1.4,2018-11-17 19:07:20
37727,2,8,2.4,2024-01-11 11:13:28
59030,4,6,4.3,2023-04-05 08:09:53
7410,1,5,4.9,2018-04-22 08:30:00
14579,3,10,2.1,2018-05-01 00:31:43
26609,5,0,2.2,2022-08-03 01:43:16
43713,3,8,1.0,2022-12-22 01:54:35
55732,3,0,4.3,2022-11-18 07:44:42
29823,1,1,4.0,2023-10-15 15:27:37
28973,4,7,4.7,2020-10-10 07:37:45
30426,1,4,3.2,2021-01-31 23:45:17
13882,1,6,1.4,2019-05-07 10:19:54
23086,2,8,2.4,2022-11-26 13:56:34
36687,1,8,4.4,2021-05-13 07:55:05
27527,4,6,3.3,2018-10-04 17:07:56
6175,4,3,2.2,2019-10-29 17:10:37
19892,4,4,2.9,2021-06-04 17:02:52
59464,5,2,3.0,2024-11-30 14:46:24
21426,5,10,2.1,2020-05-26 16:22:02
35902,2,2,3.6,2024-10-18 17:26:31
50386,5,11,1.6,2020-04-15 00:02:45
5320,1,0,1.4,2021-03-08 08:26:10
32421,4,3,3.8,2020-10-15 01:26:20
33150,1,8,1.7,2020-06-08 12:11:53
45628,3,9,3.6,2020-04-15 20:44:45
28870,3,1,2.5,2023-07-10 08:14:39
56534,3,4,3.5,2022-05-04 13:55:17
10748,4,2,4.2,2021-07-29 16:01:18
57568,4,5,3.4,2024-12-24 22:52:06
50651,4,10,3.7,2022-10-29 14:53:32
38093,1,11,4.0,2022-12-08 04:15:59
36926,2,2,2.7,2023-08-01 08:54:09
11762,1,10,3.9,2023-11-07 09:55:23
6091,5,0,4.3,2018-11-17 19:01:33
50731,4,1,3.6,2021-01-26 20:29:08
34133,5,6,2.7,2020-02-25 15:51:23
30191,3,5,3.7,2019-03-29 00:00:19
8220,1,4,1.5,2019-04-21 16:49:00
21093,1,2,1.8,2022-09-19 08:12:21
20564,2,4,4.2,2023-03-16 12:49:04
34250,5,10,4.0,2019-12-31 03:01:44
42814,5,2,2.6,2020-05-06 22:12:30
11716,2,10,2.6,2019-03-11 06:20:17
47477,2,3,1.7,2018-03-13 14:16:12
52946,3,10,4.8,2022-02-14 03:30:48
20271,3,3,2.4,2018-08-15 04:12:46
45090,3,11,5.0,2022-01-18 22:25:57
49309,2,8,3.5,2023-12-03 07:20:41
46425,4,2,3.9,2022-02-25 08:19:16
930,5,9,1.5,2020-06-16 11:01:53
23243,5,0,1.0,2022-01-13 23:13:32
25349,2,3,4.8,2022-07-30 08:54:57
26667,3,5,3.3,2022-06-30 00:27:19
34367,2,7,4.7,2021-08-31 17:48:37
12677,5,7,1.3,2019-08-12 16:52:05
38078,4,0,2.2,2022-02-20 08:10:40
48890,5,5,4.8,2021-01-19 07:49:42
15333,4,11,4.1,2019-07-30 17:07:31
57813,2,0,1.4,2019-05-27 12:44:42
5330,5,8,2.2,2023-05-04 05:48:43
36984,1,1,3.6,2018-12-13 06:59:01
40857,5,5,1.1,2021-09-09 18:52:28
1154,4,11,3.5,2023-04-18 04:16:30
23823,3,9,1.6,2018-11-03 09:37:47
32068,4,2,1.6,2023-01-19 08:06:06
50118,4,1,3.9,2024-08-23 19:31:50
35315,3,1,1.3,2021-11-26 20:40:33
52582,2,3,1.9,2021-06-21 05:18:03
41465,4,5,1.9,2021-05-25 10:06:19
54668,5,8,3.9,2024-09-27 18:13:51
33024,4,4,4.9,2020-04-09 13:25:40
2384,2,6,1.3,2022-08-15 21:44:32
25124,1,0,1.8,2019-02-12 04:28:38
25688,4,0,2.0,2020-11-21 08:18:53
48241,2,9,2.0,2020-10-31 14:07:11
57510,4,6,1.3,2023-04-02 18:02:55
6039,2,1,2.6,2023-06-04 16:31:02
14054,5,3,2.9,2022-05-14 00:20:00
985,3,9,2.9,2020-11-12 04:08:25
33100,1,9,2.3,2021-04-07 05:03:47
13610,1,10,2.4,2021-04-27 14:22:10
18156,1,6,2.8,2019-07-28 17:49:48
33675,3,5,2.1,2023-03-17 11:40:52
57687,3,3,3.5,2020-02-01 16:43:08
43158,2,9,3.2,2024-07-03 14:13:45
31935,2,3,1.2,2020-08-13 18:12:29
46225,1,8,2.0,2021-06-07 23:47:13
45774,1,7,3.4,2019-12-01 19:57:00
15534,2,2,4.9,2023-03-23 20:16:53
21892,4,1,3.0,2022-04-02 23:15:39
38579,3,10,2.1,2023-10-27 16:20:37
33313,1,6,1.0,2022-11-29 14:06:30
12594,3,4,2.6,2019-04-02 05:37:51
36231,1,8,3.5,2023-08-23 00:33:56
17314,3,1,1.5,2023-11-16 18:09:24
26692,1,1,3.2,2024-07-26 17:51:56
48027,2,8,4.6,2022-05-11 05:23:48
26630,5,6,2.3,2018-02-20 23:44:55
37648,2,5,2.1,2018-12-03 05:14:45
30435,5,6,4.8,2022-01-11 23:07:32
36512,3,10,4.9,2019-02-17 15:02:50
17187,3,1,4.8,2023-01-26 05:32:00
47573,5,8,1.6,2021-06-18 03:48:17
54334,5,8,4.4,2021-10-28 07:58:34
1491,2,0,4.2,2021-11-27 13:57:20
28834,3,11,1.3,2022-03-18 20:31:05
23120,2,1,1.2,2021-04-10 10:57:48
34469,5,4,3.3,2022-08-15 21:27:30
59273,2,1,3.8,2020-08-04 23:01:09
32724,5,2,2.4,2023-03-22 15:01:29
44640,5,11,4.8,2022-10-14 19:43:05
44569,1,5,1.6,2019-12-25 07:27:51
38164,3,0,3.3,2022-06-03 02:14:16
52746,5,7,4.5,2024-03-16 09:40:19
13354,1,11,1.4,2022-06-03 03:26:21
12148,4,9,2.5,2024-01-17 11:03:55
34540,3,7,4.0,2024-02-16 19:53:45
29147,1,9,1.7,2024-06-01 21:59:09
45036,2,2,4.3,2018-07-01 07:38:08
32011,4,2,2.6,2021-08-24 09:04:39
8088,2,5,2.1,2019-08-02 23:12:35
24601,1,2,3.7,2024-07-26 22:19:23
27853,1,10,2.0,2020-03-29 22:59:34
57374,5,7,1.4,2018-06-12 12:26:04
7431,4,10,4.7,2023-02-12 02:08:16
7278,3,9,2.9,2018-12-19 12:53:57
42427,1,1,4.1,2019-02-11 23:18:42
18117,4,4,1.8,2018-08-08 16:26:56
21844,3,4,1.6,2020-05-22 19:05:38
19130,4,5,4.7,2020-05-29 18:24:02
28613,3,8,1.9,2023-01-05 12:13:33
59562,5,8,2.0,2018-06-28 11:53:58
37726,4,2,3.2,2020-08-21 10:47:59
28577,4,2,3.2,2024-08-29 07:07:45
21492,5,11,2.4,2022-02-20 12:24:42
38070,2,0,2.1,2022-10-05 17:31:59
11890,2,8,3.8,2024-07-08 22:48:34
31184,2,3,4.2,2023-07-24 20:42:58
13514,5,7,1.1,2024-08-16 07:16:09
25159,5,7,2.9,2021-07-29 06:33:24
44230,5,11,2.4,2018-04-28 19:31:06
56849,4,3,1.4,2023-11-14 12:09:18
58924,3,4,4.5,2024-02-25 07:56:45
44079,2,9,4.4,2022-02-15 21:47:03
29437,5,5,4.5,2023-09-17 17:20:32
5762,4,4,4.7,2024-06-19 02:21:51
51357,5,7,3.7,2024-09-27 08:51:40
9051,4,8,4.8,2019-02-28 07:51:24
49303,1,0,4.7,2020-02-10 10:37:10
14268,4,11,1.0,2020-05-07 07:13:22
35866,2,4,4.4,2019-08-09 05:42:53
51392,1,5,2.3,2023-09-16 08:49:48
53401,4,0,1.9,2024-07-25 03:07:27
49564,4,0,3.6,2020-05-16 11:25:03
28967,3,0,1.6,2024-09-22 19:21:17
59099,4,0,2.4,2020-03-10 04:11:14
24815,4,3,1.8,2019-04-28 10:15:13
39199,1,11,1.9,2023-02-28 15:13:35
38137,2,0,2.2,2021-03-22 11:56:57
35943,2,4,2.1,2021-02-04 12:56:09
40072,5,10,3.6,2020-04-04 05:35:40
39645,2,5,4.2,2020-08-04 14:28:45
56889,4,11,3.1,2021-09-15 10:47:37
32526,5,9,1.1,2024-03-25 10:50:33
24590,3,2,4.9,2018-05-15 07:41:47
59894,3,10,1.9,2023-09-03 16:03:29
19168,1,6,1.4,2019-09-13 01:29:31
49851,3,6,3.0,2019-08-30 15:21:33
41543,2,11,4.8,2024-02-25 17:21:39
41469,4,10,1.8,2022-03-17 20:34:06
48114,4,10,2.8,2021-07-09 22:18:35
7379,4,10,3.1,2020-03-31 20:27:24
57986,2,4,4.0,2020-08-05 19:46:43
45481,2,3,2.7,2021-05-22 04:38:39
21670,2,0,4.2,2020-12-14 18:46:02
6551,5,3,3.6,2018-12-16 22:39:15
28646,1,2,4.8,2019-03-22 12:34:36
39865,4,10,4.7,2024-11-23 16:44:45
38900,4,8,3.8,2021-10-01 07:31:29
9449,2,7,1.9,2018-04-30 09:18:58
35925,2,5,4.2,2024-04-23 16:43:18
33797,1,7,1.1,2019-11-02 08:45:37
40190,5,7,3.4,2019-05-29 07:33:42
320,3,9,1.4,2018-03-24 00:29:19
24300,4,1,2.8,2023-08-28 22:31:49
59839,2,11,2.3,2020-09-13 07:31:57
13499,3,11,3.3,2020-03-15 22:52:05
39349,4,2,1.4,2023-11-05 19:16:19
47299,5,0,3.6,2019-02-22 19:24:48
32131,3,8,4.0,2021-04-03 02:39:43
23496,2,7,4.2,2022-04-07 04:19:38
50408,3,3,2.9,2019-03-19 05:03:34
10504,3,11,3.6,2022-01-27 03:43:56
59734,5,10,1.6,2018-11-04 16:11:40
45507,3,10,2.3,2024-05-25 01:27:35
59826,3,6,3.4,2022-12-24 18:29:39
27101,2,4,3.1,2023-11-02 20:19:12
44272,5,11,1.4,2018-01-15 04:11:00
47132,2,11,2.6,2023-09-11 03:09:04
22422,2,3,2.2,2019-08-18 18:34:38
27032,1,7,3.8,2018-09-28 06:12:37
49559,2,10,2.5,2021-09-08 08:09:19
24786,3,3,3.5,2023-04-23 02:42:47
5451,1,0,4.7,2023-09-09 19:51:40
50612,3,7,2.1,2023-01-20 02:37:39
13172,2,4,4.3,2021-03-16 05:43:37
26028,3,2,3.1,2019-05-30 13:57:59
4392,2,7,2.8,2021-01-30 03:51:40
53884,2,9,3.1,2018-09-16 17:13:44
59194,3,0,1.1,2024-10-22 07:58:34
8990,4,0,2.0,2019-09-03 19:05:07
30042,4,4,2.1,2018-02-21 06:44:45
48744,4,0,4.7,2018-09-06 06:45:10
41247,2,0,4.1,2023-06-08 07:31:33
4927,1,1,2.3,2021-12-14 03:06:26
20903,4,10,1.5,2022-03-13 09:43:22
46716,1,6,4.9,2022-08-18 07:46:51
50618,5,10,4.7,2022-05-19 00:45:28
44117,5,7,1.0,2022-11-16 04:23:29
38802,1,8,3.3,2023-01-01 08:29:36
45667,3,1,1.3,2024-03-28 20:01:14
15591,2,3,3.9,2018-12-27 09:23:51
52531,5,11,2.9,2023-01-14 22:49:56
37054,5,10,2.0,2022-06-15 04:23:08
35144,3,10,4.5,2021-10-06 22:13:21
15152,3,9,4.9,2022-03-21 03:56:25
40138,3,10,4.3,2024-01-03 01:23:18
35557,2,8,3.2,2022-08-29 18:42:40
8911,1,6,4.2,2022-01-15 08:03:56
27329,2,2,3.8,2024-12-12 15:27:38
59748,2,3,3.3,2019-04-03 04:38:41
25023,4,9,1.8,2023-12-20 19:23:06
38942,2,7,1.8,2019-11-25 11:46:40
26359,5,8,1.9,2018-12-10 13:40:55
52397,4,4,4.5,2020-04-04 04:18:35
15964,3,11,4.7,2018-07-06 07:42:00
36298,3,8,3.9,2019-03-11 00:57:43
30202,5,8,2.9,2020-04-15 10:00:54
24054,4,9,2.3,2022-08-31 02:26:47
43249,3,11,1.1,2019-03-04 07:50:09
4135,4,9,3.8,2020-06-10 20:12:55
40549,1,4,2.2,2023-07-29 15:46:08
57798,2,4,3.1,2021-04-12 06:38:20
47094,5,1,3.1,2022-10-23 01:03:20
16524,5,3,4.8,2019-08-08 21:55:30
43334,1,10,1.3,2018-09-26 14:14:40
27351,5,1,4.9,2022-03-07 16:46:32
52729,2,5,4.3,2023-12-10 14:41:30
28455,1,5,3.2,2020-06-25 15:54:00
17668,2,6,1.3,2020-08-04 00:04:47
2280,1,11,1.3,2024-09-22 12:50:59
2008,4,2,2.8,2024-07-28 20:40:52
44216,1,4,3.9,2021-07-05 00:33:46
56505,4,10,3.4,2020-11-02 16:14:39
55765,1,10,1.9,2023-08-02 17:10:45
11246,5,4,2.2,2024-01-06 20:00:44
21365,5,11,3.5,2020-11-10 13:23:09
6658,3,7,3.5,2018-11-15 14:11:44
28799,5,7,3.4,2022-09-06 10:58:36
28682,5,4,1.6,2018-08-18 14:39:24
42707,5,0,4.3,2021-11-24 00:31:30
48209,4,11,3.2,2020-09-28 07:45:54
19168,2,4,1.6,2019-10-28 00:30:18
54522,1,0,3.1,2023-10-01 13:14:22
50724,4,1,3.8,2024-02-12 08:32:02
48637,5,6,3.9,2021-06-22 18:28:24
3591,3,0,4.9,2024-05-09 08:55:21
38818,2,4,1.8,2019-10-26 16:03:54
31303,3,0,4.0,2023-03-20 17:39:42
23500,1,0,3.3,2023-08-09 09:22:05
30429,2,6,2.1,2023-10-08 18:04:19
57149,5,10,3.9,2018-08-19 14:42:10
14586,3,3,3.7,2018-03-06 23:04:57
56766,5,7,4.0,2022-09-14 07:27:23
43177,2,11,2.5,2022-10-23 08:30:02
26970,1,11,1.2,2021-04-10 00:53:54
22132,5,1,1.6,2024-12-07 23:53:03
41817,4,8,3.5,2018-01-20 12:43:16
58651,2,9,3.3,2022-03-23 20:30:11
23555,5,11,3.2,2022-10-15 09:58:42
24710,4,1,3.0,2023-04-08 15:31:18
36051,2,8,5.0,2019-04-27 09:35:36
13153,2,5,4.5,2024-05-08 07:45:41
41962,2,11,3.6,2022-01-08 02:18:41
11813,2,11,3.7,2022-03-04 18:53:39
20532,4,6,3.0,2018-11-05 19:04:28
2525,5,7,1.6,2023-01-16 14:15:48
13075,5,5,5.0,2023-05-29 02:04:03
31716,4,9,3.0,2023-07-17 22:49:40
35379,1,1,1.8,2023-07-20 09:30:17
41762,4,0,3.6,2020-10-27 10:26:48
32195,1,0,3.8,2020-06-11 17:21:56
32293,2,10,3.4,2022-09-15 11:25:22
8065,1,8,1.4,2019-05-30 20:10:11
780,4,11,3.6,2019-12-15 12:20:00
17761,1,4,4.1,2018-07-05 12:40:14
36729,5,5,3.5,2024-11-11 16:02:37
726,4,1,3.7,2022-09-04 01:47:06
39548,4,9,4.2,2024-03-23 09:56:15
50326,4,9,3.7,2024-12-05 20:56:13
57530,3,2,1.7,2024-01-24 11:23:03
49919,4,8,2.5,2018-02-13 11:33:28
10598,1,10,2.9,2022-01-27 05:57:16
5923,4,6,3.4,2019-05-07 18:06:45
51822,1,2,4.4,2021-12-04 05:39:17
25706,4,6,4.0,2022-01-11 13:51:06
38633,2,11,3.5,2023-09-04 04:26:58
39193,1,4,3.2,2021-03-11 18:45:09
