employee_id,current_level,years_in_current_role,promotion_eligible
58752,Lead,0,Yes
20807,Senior,7,No
56742,Lead,0,No
59791,Senior,0,No
24702,Junior,0,No
13951,Mid,5,No
58500,Mid,7,No
10044,Lead,4,Yes
3258,Lead,0,No
1728,Senior,4,Yes
35873,Senior,5,Yes
37216,Mid,5,No
24929,Senior,7,No
25914,Junior,0,Yes
16061,Mid,4,Yes
30384,Lead,5,No
59183,Junior,6,No
54361,Junior,3,No
57540,Senior,2,No
1897,Lead,6,No
21123,Senior,0,No
31923,Mid,1,Yes
2493,Lead,1,Yes
57729,Junior,6,Yes
55790,Lead,4,Yes
54904,Mid,6,No
28362,Lead,0,No
17045,Senior,3,No
32848,Junior,4,No
37452,Senior,1,No
51984,Mid,4,No
12330,Mid,4,No
42451,Senior,7,No
35836,Mid,4,No
55595,Mid,7,No
23167,Senior,5,No
30799,Mid,7,No
25676,Mid,3,No
26783,Lead,7,No
44948,Mid,2,No
30807,Lead,2,Yes
37217,Mid,3,No
54422,Senior,1,Yes
18389,Lead,7,No
26645,Lead,3,Yes
35668,Lead,2,No
54309,Senior,6,No
26605,Mid,2,No
44657,Junior,5,No
14042,Mid,2,Yes
16522,Lead,7,Yes
31642,Junior,4,No
42624,Lead,1,No
44362,Mid,2,No
32921,Senior,3,No
33647,Mid,6,Yes
44559,Senior,3,No
54631,Mid,1,Yes
32439,Junior,4,No
52622,Lead,6,Yes
4558,Mid,6,Yes
27101,Junior,0,Yes
40228,Lead,7,No
42676,Lead,7,No
24093,Junior,1,No
7079,Junior,1,Yes
42976,Lead,7,No
55675,Mid,0,Yes
54039,Senior,0,Yes
16920,Mid,2,No
14147,Mid,7,Yes
33362,Mid,0,No
55136,Lead,1,No
59210,Junior,6,No
28257,Junior,6,No
24332,Senior,3,Yes
7838,Senior,7,No
14766,Junior,5,No
52497,Junior,6,No
27823,Mid,3,Yes
12357,Junior,6,No
41740,Junior,7,No
31296,Senior,0,No
42668,Lead,1,No
48742,Lead,6,Yes
6344,Mid,0,No
53826,Mid,7,No
45103,Lead,6,No
49901,Mid,0,No
23346,Mid,4,No
2197,Senior,0,Yes
52960,Junior,7,No
17652,Mid,3,No
59061,Lead,6,No
50416,Senior,7,No
7747,Senior,6,No
11585,Lead,2,No
36234,Junior,3,No
21111,Senior,3,No
46099,Lead,0,No
24803,Junior,6,No
172,Senior,0,No
24881,Junior,4,No
29250,Mid,7,No
43483,Senior,3,No
8263,Junior,6,No
5153,Senior,3,Yes
52546,Junior,7,Yes
58333,Mid,4,No
13037,Lead,1,No
20899,Senior,7,Yes
21076,Lead,5,Yes
25139,Junior,1,Yes
51080,Lead,3,No
7644,Mid,0,No
1532,Senior,2,No
31135,Mid,1,Yes
49405,Senior,3,Yes
31621,Senior,6,Yes
10753,Senior,2,No
25882,Lead,1,No
11076,Lead,6,Yes
20427,Junior,3,No
21997,Lead,6,No
34456,Junior,2,Yes
6981,Lead,7,No
16409,Lead,1,Yes
34274,Lead,5,No
18438,Senior,7,No
1156,Mid,3,No
49905,Mid,5,No
56661,Senior,4,No
51248,Senior,5,No
37570,Junior,6,Yes
39952,Lead,6,No
32713,Senior,6,No
52993,Lead,0,No
35522,Lead,2,No
7317,Mid,3,Yes
3158,Senior,2,No
47226,Senior,6,Yes
59320,Lead,4,No
8921,Lead,5,Yes
45543,Junior,1,No
29231,Junior,5,No
30073,Senior,6,Yes
40893,Junior,4,No
14450,Senior,3,Yes
19472,Lead,2,No
52001,Mid,1,No
3685,Lead,6,Yes
47040,Mid,0,No
15843,Lead,0,Yes
49430,Mid,0,Yes
27823,Senior,7,Yes
43572,Junior,5,Yes
18755,Senior,4,Yes
25478,Mid,6,No
41243,Mid,1,No
16469,Senior,1,Yes
50390,Junior,3,No
6060,Mid,5,Yes
42440,Senior,3,No
12565,Lead,7,No
21231,Mid,4,Yes
7999,Lead,2,No
36915,Junior,5,Yes
49995,Lead,6,No
59202,Junior,1,Yes
16564,Senior,7,No
1866,Mid,5,No
6883,Senior,3,No
8007,Junior,7,No
25116,Lead,5,No
26530,Lead,0,No
36645,Senior,7,Yes
27906,Mid,5,No
8535,Senior,5,No
46929,Junior,4,No
43610,Lead,4,Yes
44878,Mid,3,No
16311,Senior,7,No
49368,Junior,1,No
41288,Senior,7,Yes
1565,Senior,7,No
53984,Mid,4,No
38870,Mid,4,No
13128,Junior,7,No
29927,Junior,0,No
8601,Senior,3,No
25570,Lead,4,No
12592,Mid,2,No
26776,Junior,2,No
40796,Lead,3,No
40448,Junior,2,No
47067,Mid,2,No
21194,Senior,4,Yes
779,Senior,7,Yes
29066,Lead,1,No
38182,Junior,5,No
25517,Lead,3,Yes
43743,Lead,5,No
10710,Mid,0,No
635,Lead,1,No
53152,Lead,4,No
37736,Junior,2,No
25699,Lead,5,No
33067,Senior,6,No
40405,Lead,4,No
17056,Senior,0,No
4827,Lead,7,No
52821,Mid,3,No
29610,Senior,4,No
25288,Mid,2,No
8940,Senior,6,Yes
52487,Senior,6,No
11929,Mid,2,Yes
34787,Lead,6,No
55862,Mid,4,No
46585,Senior,2,No
30886,Mid,4,Yes
18743,Junior,3,No
43840,Junior,5,No
56466,Mid,2,No
12164,Mid,4,No
37517,Junior,5,No
46906,Senior,3,No
7005,Junior,6,Yes
4726,Senior,3,No
13822,Mid,5,No
48898,Lead,0,No
51154,Junior,0,No
27737,Senior,2,Yes
3235,Senior,6,No
16283,Junior,6,No
2349,Mid,3,No
55417,Senior,1,No
1955,Mid,3,No
50515,Lead,7,Yes
38426,Mid,4,Yes
11264,Mid,6,Yes
37616,Mid,4,Yes
42045,Junior,5,No
8063,Senior,4,No
40684,Junior,1,No
38640,Lead,6,No
26588,Mid,1,No
44977,Lead,0,No
19783,Lead,5,No
18312,Lead,2,No
23385,Mid,4,No
32975,Mid,2,Yes
52515,Mid,5,Yes
47703,Mid,6,No
54992,Junior,5,No
4900,Mid,1,Yes
1120,Mid,3,Yes
14415,Junior,4,No
7991,Mid,5,Yes
2252,Lead,2,No
30081,Senior,5,No
36446,Senior,4,No
35183,Mid,0,No
44455,Senior,2,No
48912,Senior,5,Yes
6573,Lead,6,No
58943,Lead,0,No
53409,Senior,2,No
17417,Mid,0,Yes
29166,Junior,1,Yes
37438,Senior,6,No
9845,Junior,5,No
9190,Junior,5,No
23654,Lead,2,No
14161,Senior,2,No
54307,Junior,5,No
4816,Lead,2,Yes
1284,Lead,4,Yes
31309,Senior,7,No
12764,Lead,7,No
21094,Mid,0,Yes
2015,Senior,6,Yes
7887,Lead,0,No
14506,Senior,2,Yes
2804,Lead,7,No
36989,Mid,4,Yes
29829,Lead,6,No
51209,Mid,4,Yes
25943,Junior,5,Yes
58909,Mid,5,No
29894,Senior,0,Yes
55321,Senior,6,No
48649,Lead,0,No
7303,Lead,1,No
42921,Senior,1,No
23281,Mid,0,No
38480,Lead,4,Yes
8501,Mid,3,No
24051,Mid,2,No
30025,Mid,6,No
44506,Senior,1,No
32480,Senior,7,No
34766,Senior,7,No
33140,Junior,3,No
19180,Mid,7,No
51697,Mid,0,No
50653,Senior,3,Yes
33969,Junior,5,No
7425,Mid,3,No
38136,Mid,6,Yes
37062,Junior,6,No
54235,Junior,3,No
26564,Junior,5,Yes
27041,Lead,0,No
2077,Junior,4,No
17021,Mid,6,Yes
18223,Junior,3,Yes
26767,Mid,5,No
41943,Lead,5,No
4615,Lead,5,Yes
14657,Junior,0,No
23293,Mid,4,No
47807,Lead,2,No
13438,Lead,7,No
25978,Junior,5,No
32024,Junior,5,No
24917,Mid,2,No
21741,Mid,4,Yes
31399,Lead,4,Yes
29293,Junior,4,No
4313,Junior,0,Yes
50194,Senior,1,No
52171,Lead,3,No
57647,Lead,4,No
46802,Mid,1,No
38923,Senior,0,No
6959,Mid,2,Yes
12286,Senior,1,Yes
13621,Lead,4,No
9516,Junior,5,No
21370,Senior,0,No
5356,Lead,4,Yes
25553,Lead,7,Yes
9336,Senior,3,No
3542,Lead,1,Yes
20810,Junior,2,No
2389,Junior,1,No
18695,Senior,7,No
57035,Mid,3,Yes
33056,Mid,2,Yes
25630,Lead,7,No
4114,Mid,2,No
32185,Lead,5,No
8573,Junior,4,Yes
34232,Senior,4,No
2879,Lead,0,Yes
47392,Senior,0,No
38856,Senior,2,No
37538,Senior,6,Yes
20059,Senior,4,Yes
42939,Mid,0,No
3416,Junior,0,No
23747,Junior,2,No
8600,Mid,1,No
32049,Lead,5,No
46170,Mid,7,No
8348,Senior,1,Yes
53577,Junior,0,No
28113,Lead,0,No
41116,Lead,3,Yes
1484,Senior,6,No
43429,Senior,5,No
47755,Senior,3,No
50154,Junior,6,No
42298,Lead,5,No
13883,Senior,4,No
25971,Mid,3,No
29626,Junior,0,No
55504,Lead,3,Yes
39520,Junior,1,No
14687,Lead,7,Yes
7735,Lead,5,Yes
693,Mid,4,No
39157,Senior,1,No
3118,Mid,3,No
51643,Lead,4,No
11487,Junior,7,No
25284,Senior,4,Yes
47887,Lead,2,No
17503,Senior,6,No
28206,Lead,7,Yes
29035,Mid,2,No
44089,Junior,6,No
17082,Lead,3,Yes
57889,Junior,1,Yes
16478,Senior,5,No
34018,Lead,1,No
21088,Mid,0,No
4245,Senior,3,No
56808,Junior,1,Yes
10811,Lead,2,No
49574,Mid,5,Yes
41481,Senior,0,Yes
10472,Lead,0,Yes
24835,Mid,0,Yes
17453,Mid,4,Yes
4750,Lead,5,No
26617,Mid,1,No
13417,Senior,5,Yes
42427,Senior,4,No
8633,Lead,0,No
47923,Junior,3,No
58582,Lead,6,No
24698,Lead,5,No
30815,Lead,6,Yes
42281,Junior,2,No
41312,Mid,1,No
42658,Mid,1,Yes
34751,Junior,3,No
11260,Lead,5,Yes
48087,Junior,1,Yes
40264,Junior,7,Yes
28803,Lead,0,No
50162,Lead,5,No
37518,Lead,1,No
57716,Lead,4,Yes
32976,Junior,0,No
50775,Mid,3,Yes
26733,Junior,7,No
54184,Junior,3,No
11211,Mid,6,No
7854,Lead,3,Yes
49011,Mid,2,No
53479,Mid,4,No
30561,Mid,3,No
47925,Lead,3,No
32114,Junior,0,No
31177,Mid,2,Yes
12094,Junior,7,Yes
48953,Senior,1,Yes
8101,Mid,0,Yes
31672,Lead,5,Yes
42954,Lead,1,No
45208,Lead,3,No
15792,Lead,6,No
21773,Senior,0,Yes
12570,Senior,2,Yes
59863,Senior,1,Yes
21434,Mid,0,No
25658,Junior,2,No
45165,Junior,4,No
49334,Lead,4,No
23269,Lead,3,Yes
48396,Junior,7,Yes
1253,Mid,1,Yes
1339,Junior,5,Yes
33913,Junior,5,Yes
59370,Senior,2,Yes
904,Lead,3,Yes
15444,Senior,0,No
59851,Lead,4,No
35583,Senior,5,No
55768,Senior,1,No
9586,Senior,0,No
54882,Junior,1,No
42315,Junior,5,No
46621,Mid,7,No
41678,Lead,2,No
8947,Mid,4,No
39880,Junior,7,No
14644,Mid,3,No
51944,Mid,3,Yes
45126,Lead,3,Yes
37169,Junior,2,Yes
6240,Senior,5,Yes
40708,Senior,6,Yes
7488,Lead,5,Yes
44475,Mid,6,No
53738,Mid,2,Yes
9346,Junior,7,No
32654,Lead,5,No
39773,Junior,5,No
19414,Senior,0,Yes
31595,Lead,7,No
26984,Senior,6,No
53635,Junior,5,No
7069,Lead,4,No
40622,Senior,6,No
23721,Senior,5,No
56386,Mid,5,No
1032,Lead,3,No
49969,Senior,6,No
49174,Senior,2,No
40913,Lead,4,Yes
6853,Junior,3,Yes
12878,Junior,0,Yes
44492,Mid,2,Yes
50773,Junior,4,No
45825,Senior,0,Yes
37722,Mid,6,Yes
44155,Senior,6,Yes
28591,Junior,6,No
11608,Lead,2,Yes
4323,Lead,1,No
13834,Lead,5,Yes
15604,Junior,5,No
9052,Junior,0,No
51433,Senior,7,Yes
2744,Lead,4,No
59710,Senior,4,No
7074,Mid,1,Yes
45157,Junior,7,Yes
25267,Senior,5,No
42990,Junior,1,No
22472,Lead,7,Yes
30811,Junior,6,No
46984,Mid,3,No
49437,Senior,2,No
16784,Mid,6,No
48093,Lead,2,No
20799,Junior,0,No
4480,Mid,3,Yes
33285,Mid,5,No
49268,Lead,0,Yes
20493,Junior,3,No
4563,Mid,3,Yes
54041,Lead,7,No
38757,Lead,6,Yes
27998,Mid,0,No
38608,Junior,5,No
15491,Lead,2,No
26088,Senior,0,No
20618,Lead,2,Yes
4672,Senior,2,No
54755,Junior,2,Yes
1533,Senior,2,No
10113,Mid,7,No
34746,Senior,6,Yes
24476,Mid,1,No
6865,Mid,6,No
31087,Junior,7,Yes
55283,Junior,3,Yes
54303,Junior,6,Yes
10868,Junior,4,No
55911,Senior,3,No
20052,Senior,1,Yes
59814,Mid,1,No
21855,Lead,1,No
18268,Lead,6,No
47217,Mid,2,Yes
50686,Mid,1,Yes
28394,Senior,1,Yes
25575,Mid,5,Yes
36568,Senior,4,No
40107,Senior,7,No
37440,Junior,4,No
24988,Senior,1,No
32191,Junior,2,Yes
4192,Mid,1,No
26497,Senior,6,No
51541,Mid,5,No
44408,Lead,7,No
40099,Junior,1,No
45844,Mid,7,No
26171,Junior,6,Yes
28629,Mid,4,No
21502,Senior,3,Yes
31162,Mid,0,No
39033,Lead,5,Yes
14739,Junior,6,No
6228,Mid,1,No
43226,Mid,4,Yes
15188,Mid,6,No
54708,Mid,7,Yes
39025,Mid,4,Yes
26298,Lead,5,No
58791,Lead,1,Yes
8538,Junior,4,Yes
9687,Lead,1,No
31533,Lead,2,Yes
54372,Lead,4,No
2890,Senior,4,No
41282,Junior,1,No
11184,Mid,5,Yes
34047,Senior,2,No
29347,Senior,7,No
6809,Senior,0,No
40824,Junior,7,No
55713,Lead,6,No
42402,Mid,0,No
24850,Lead,4,No
37314,Mid,4,Yes
14210,Junior,1,No
39608,Lead,3,No
25700,Mid,6,Yes
7101,Mid,2,Yes
50497,Lead,1,Yes
2947,Lead,3,No
36710,Lead,4,No
34461,Mid,6,No
51556,Senior,1,No
21681,Lead,6,Yes
56878,Mid,7,No
33162,Senior,4,Yes
51406,Mid,7,No
47493,Senior,7,Yes
27877,Lead,6,No
53577,Lead,4,No
53435,Junior,1,No
56487,Senior,7,Yes
23210,Lead,5,Yes
56269,Junior,2,No
26795,Junior,5,Yes
20358,Mid,5,Yes
20950,Junior,5,Yes
48918,Junior,7,No
47973,Lead,4,No
6454,Mid,2,Yes
7077,Lead,1,Yes
14774,Senior,7,No
33650,Junior,1,No
45179,Lead,0,No
21242,Junior,5,No
38951,Lead,5,No
20167,Lead,3,No
13169,Lead,4,No
43319,Mid,2,No
10859,Junior,4,No
26130,Senior,5,Yes
1707,Lead,3,Yes
46045,Lead,0,Yes
11845,Mid,4,No
50601,Mid,7,No
7641,Senior,6,No
6029,Lead,2,No
5171,Mid,5,No
44725,Junior,1,Yes
52544,Mid,6,No
19731,Junior,7,No
16232,Senior,0,No
6201,Senior,3,No
14810,Junior,0,Yes
14626,Junior,4,Yes
37108,Senior,6,No
13951,Senior,0,No
38813,Senior,3,No
21069,Junior,3,Yes
887,Lead,1,No
18674,Junior,1,No
13749,Senior,3,No
35233,Lead,4,No
17492,Senior,2,Yes
11780,Junior,6,No
50734,Lead,2,No
6778,Junior,3,No
9181,Junior,0,No
34574,Junior,5,Yes
51977,Senior,0,No
56609,Lead,0,Yes
14027,Mid,6,Yes
22512,Senior,7,No
15510,Mid,2,No
13405,Senior,7,No
23199,Junior,7,No
59378,Senior,3,No
31998,Lead,0,No
47865,Lead,2,Yes
9563,Junior,7,Yes
57315,Junior,3,No
38800,Senior,6,No
55387,Senior,6,No
36658,Mid,2,No
28161,Junior,7,No
17674,Junior,1,No
6379,Junior,3,No
37924,Lead,4,No
37119,Lead,5,No
8932,Mid,2,No
57242,Mid,7,Yes
29070,Mid,2,No
12462,Mid,6,Yes
33042,Junior,5,Yes
55342,Junior,2,Yes
37117,Mid,7,No
53537,Lead,2,Yes
21503,Junior,6,Yes
18832,Mid,1,No
18782,Junior,2,No
20118,Lead,6,No
15602,Junior,3,Yes
58225,Mid,0,Yes
23760,Lead,4,No
24346,Lead,7,No
48451,Senior,0,Yes
48699,Junior,6,No
22691,Lead,1,No
8791,Junior,7,No
49467,Lead,5,No
33491,Junior,1,Yes
49078,Lead,3,No
26829,Lead,2,No
57847,Senior,1,No
51353,Senior,7,No
37741,Mid,2,No
14740,Junior,5,No
44549,Mid,3,Yes
51640,Junior,1,No
23097,Senior,2,No
1857,Senior,2,Yes
53629,Mid,2,No
47908,Junior,6,Yes
54343,Lead,1,No
9176,Mid,5,No
13025,Mid,3,No
18201,Mid,0,No
6406,Lead,2,No
25410,Mid,5,No
42047,Lead,4,Yes
9024,Lead,2,Yes
50367,Junior,5,No
49031,Senior,4,No
30873,Junior,5,Yes
36427,Lead,5,No
43160,Mid,7,No
20360,Senior,5,No
40308,Senior,5,No
12553,Junior,1,Yes
12515,Junior,5,No
14884,Junior,7,No
31294,Junior,1,No
48464,Senior,6,Yes
22448,Senior,5,No
6868,Mid,2,No
22086,Mid,6,Yes
11769,Lead,0,Yes
19531,Mid,0,No
50758,Lead,3,Yes
7218,Senior,1,No
1934,Senior,5,No
32798,Junior,4,Yes
39435,Mid,6,No
57517,Mid,2,No
19881,Lead,7,No
34302,Junior,4,No
56567,Lead,2,No
58557,Senior,4,No
27052,Mid,4,No
46138,Mid,5,Yes
51750,Mid,1,No
50617,Senior,0,No
2192,Lead,5,No
18299,Lead,4,Yes
36888,Lead,0,Yes
5327,Senior,2,Yes
44983,Senior,5,No
11252,Junior,7,Yes
25737,Mid,7,Yes
47772,Lead,1,No
41469,Mid,5,No
25199,Senior,6,No
1738,Senior,3,No
10447,Mid,1,Yes
18033,Senior,6,Yes
48728,Mid,2,No
25089,Lead,3,No
54050,Mid,6,No
22240,Junior,0,No
32604,Senior,4,No
15045,Senior,4,Yes
10281,Senior,5,No
39790,Senior,5,Yes
12153,Junior,1,No
58789,Junior,2,No
58908,Senior,4,Yes
54991,Junior,4,No
50484,Senior,3,No
29321,Junior,7,No
21463,Senior,7,Yes
35132,Lead,2,No
37435,Senior,7,No
24629,Mid,5,Yes
47503,Mid,2,Yes
14938,Senior,5,No
41119,Junior,4,No
21106,Senior,5,No
49700,Senior,7,Yes
38529,Lead,5,Yes
6603,Mid,5,No
10064,Junior,6,Yes
17667,Junior,0,No
50758,Mid,4,Yes
31451,Senior,5,Yes
9764,Senior,5,No
51136,Junior,2,Yes
26385,Junior,3,No
44595,Junior,3,Yes
53484,Mid,3,No
20976,Lead,2,No
24354,Mid,6,Yes
52145,Mid,1,Yes
53455,Mid,7,No
39395,Lead,4,No
46419,Junior,4,Yes
20361,Junior,3,Yes
39638,Mid,4,Yes
51440,Senior,5,No
22283,Senior,1,No
1518,Junior,1,No
6300,Senior,2,No
13769,Junior,5,Yes
14774,Mid,7,No
58610,Mid,7,No
18476,Senior,7,No
14869,Junior,6,No
25243,Senior,7,No
49157,Junior,1,Yes
28959,Mid,4,Yes
54516,Junior,6,Yes
22215,Lead,4,Yes
39797,Junior,5,Yes
48814,Mid,2,No
31923,Lead,3,No
56689,Junior,2,No
55254,Senior,4,No
7088,Senior,5,Yes
21564,Mid,0,No
55326,Lead,3,No
34380,Junior,6,Yes
46961,Lead,2,Yes
47159,Lead,2,Yes
19242,Lead,0,Yes
4825,Senior,3,No
44939,Senior,6,No
46030,Mid,3,No
14406,Mid,7,Yes
44942,Senior,7,No
33994,Mid,3,No
57944,Lead,5,No
40486,Mid,6,Yes
50537,Lead,4,No
2048,Junior,2,No
1285,Senior,3,No
26424,Mid,3,No
43786,Senior,7,No
3185,Senior,3,No
45521,Lead,7,No
