employee_id,absent_days,sick_leaves,workload_level,absence_risk
23431,11,14,High,High
44817,10,1,High,Low
6311,2,11,Medium,Low
19907,1,2,Medium,Low
33067,0,14,High,Low
28561,10,6,High,Low
78851,11,11,Low,High
26941,22,0,High,High
32814,6,2,Medium,Low
51565,1,14,Low,Low
42909,7,9,Low,Low
65096,20,0,High,High
4111,10,3,Medium,Low
65191,25,5,High,High
20994,24,10,Low,High
81160,16,12,Low,High
53064,17,4,Medium,High
75909,16,11,Low,High
63006,25,12,Low,High
35570,10,3,High,Low
44008,5,3,Medium,Low
31687,7,5,Low,Low
75479,15,14,High,High
34623,23,6,High,High
76409,19,2,Medium,High
66761,21,13,Low,High
78410,14,8,Low,High
10821,28,2,Low,High
64284,13,12,High,High
71349,9,0,Low,Low
43256,23,1,Low,High
32837,6,0,Medium,Low
84081,14,13,Low,High
16520,23,7,Medium,High
37541,1,14,High,Low
41986,8,8,Medium,Low
9460,21,12,High,High
35297,12,7,Low,High
54922,8,12,High,Low
43972,2,1,Low,Low
1076,27,5,High,High
23777,19,10,High,High
45709,24,11,High,High
9649,7,11,High,Low
60168,7,11,Medium,Low
8223,2,3,Medium,Low
73252,9,9,High,Low
5227,19,0,Medium,High
45899,0,2,Medium,Low
41704,8,5,Low,Low
50795,12,8,Medium,High
65332,25,3,Low,High
15305,17,11,High,High
40214,14,2,Low,High
72787,18,0,Medium,High
9515,11,8,Medium,High
9744,15,8,Low,High
39537,22,4,Low,High
48955,23,10,High,High
31123,28,12,Medium,High
42847,0,6,Low,Low
34814,11,3,High,High
78329,24,9,Low,High
14939,6,14,High,Low
80207,28,14,High,High
62312,8,9,Low,Low
56404,29,0,High,High
26444,8,5,High,Low
12756,23,2,High,High
82341,4,9,High,Low
6705,22,8,Medium,High
33197,25,1,Medium,High
79717,2,8,Low,Low
26023,6,4,High,Low
33326,28,1,Low,High
34064,6,5,High,Low
6973,21,11,Low,High
6182,3,8,Medium,Low
51644,10,9,Medium,Low
69311,19,11,Low,High
33008,19,4,Medium,High
2830,25,12,Medium,High
54198,7,4,Medium,Low
2387,29,7,Medium,High
58919,2,12,High,Low
60139,0,2,Low,Low
53094,9,11,High,Low
72894,16,6,Low,High
2984,17,14,Low,High
25287,21,3,Low,High
37461,9,12,Medium,Low
6421,1,3,Medium,Low
64290,27,7,High,High
10605,13,4,High,High
27246,5,4,Medium,Low
51765,18,2,Medium,High
61922,10,10,Low,Low
11647,25,7,Medium,High
53849,29,5,Low,High
58311,21,14,High,High
48901,25,9,High,High
74494,16,5,Low,High
15336,29,1,Low,High
42260,1,4,High,Low
29435,4,0,Medium,Low
14274,18,1,High,High
37774,9,14,Low,Low
54857,9,2,Medium,Low
52,28,12,Medium,High
31587,5,8,Low,Low
68614,17,12,Low,High
10957,23,14,Medium,High
47487,12,2,Low,High
8008,29,13,High,High
75447,2,13,Low,Low
5602,0,5,High,Low
48112,20,1,High,High
32002,3,7,Low,Low
23657,24,2,Medium,High
46276,18,8,High,High
76719,1,9,Medium,Low
2541,23,0,High,High
37052,22,9,Low,High
11201,20,12,Medium,High
40343,13,11,Low,High
49878,5,3,Low,Low
80731,29,4,Medium,High
69408,29,6,High,High
39970,12,2,High,High
8993,26,8,High,High
41260,1,9,Low,Low
21678,23,8,Low,High
5881,28,0,Medium,High
48382,5,3,Medium,Low
63873,14,7,Medium,High
70037,27,14,High,High
13292,7,5,Medium,Low
43725,28,5,High,High
36464,15,7,Medium,High
29100,19,8,Medium,High
55899,10,11,High,Low
15931,2,10,Low,Low
41995,7,3,Medium,Low
72431,0,7,Medium,Low
27334,29,5,High,High
84246,27,2,Low,High
43972,23,9,Medium,High
55975,25,6,Medium,High
60838,6,7,Medium,Low
31389,21,0,Medium,High
65518,29,7,Low,High
39195,9,12,High,Low
47082,2,11,High,Low
24654,2,8,High,Low
55868,6,5,Medium,Low
42922,28,1,High,High
48451,28,6,Low,High
421,22,5,Low,High
73665,26,2,High,High
23736,27,14,Medium,High
58941,26,1,Low,High
64091,29,6,High,High
9609,13,5,Low,High
51669,26,3,Medium,High
54356,18,12,Medium,High
59210,22,0,Low,High
36529,15,7,Medium,High
36484,27,4,High,High
10147,15,12,Medium,High
14556,16,1,Medium,High
81798,17,1,Low,High
19879,15,0,High,High
66989,16,5,High,High
75848,15,6,High,High
65334,7,9,High,Low
64856,13,10,Low,High
26179,9,13,High,Low
38199,21,1,Medium,High
77867,26,3,Low,High
20597,12,11,Medium,High
76669,4,6,Medium,Low
40725,19,3,Medium,High
9390,26,3,Low,High
65984,5,5,Medium,Low
81647,1,11,Low,Low
43244,8,10,Low,Low
1295,25,3,High,High
39374,17,11,Low,High
64314,0,6,Medium,Low
28686,16,10,Medium,High
1249,2,11,Medium,Low
64995,8,11,Medium,Low
5659,29,4,Medium,High
67984,18,5,High,High
37735,29,14,Low,High
73515,14,12,High,High
43928,0,8,Low,Low
58853,8,5,Low,Low
9174,7,5,Medium,Low
2442,0,0,High,Low
12946,21,14,High,High
69412,19,1,Medium,High
55011,15,13,Medium,High
49000,26,12,Low,High
39631,2,2,Medium,Low
81837,26,9,High,High
51395,3,14,Medium,Low
46744,11,13,Low,High
77854,13,1,High,High
46120,3,8,Low,Low
18863,13,1,Low,High
80632,12,2,Low,High
47511,15,7,Low,High
3398,15,7,Medium,High
78989,21,13,Low,High
3963,13,12,High,High
59858,11,6,Medium,High
50606,9,13,High,Low
18440,7,11,Low,Low
60781,24,11,High,High
60753,28,9,Low,High
20635,17,5,Low,High
64426,24,10,High,High
27063,20,0,High,High
43578,20,6,Low,High
42808,16,14,High,High
24277,25,1,Medium,High
77660,0,4,Medium,Low
15160,25,6,High,High
32674,7,7,Medium,Low
48935,26,6,Low,High
50328,7,6,High,Low
1774,4,4,Medium,Low
47523,0,4,Low,Low
11610,14,8,Low,High
12693,27,12,Medium,High
27657,13,10,High,High
18512,18,3,Medium,High
70305,18,11,Medium,High
55920,17,7,Low,High
72067,1,9,Medium,Low
34914,21,14,Medium,High
4695,9,4,Low,Low
55771,14,1,Medium,High
45742,9,2,High,Low
30307,2,10,Medium,Low
8206,13,10,High,High
47073,2,2,High,Low
52623,8,2,Medium,Low
53993,12,10,Low,High
82734,13,7,Low,High
78514,27,1,High,High
73642,2,11,Medium,Low
63898,12,12,Low,High
65933,15,10,Medium,High
57635,18,11,Low,High
41615,27,5,High,High
48009,9,3,High,Low
73058,12,12,Low,High
6515,20,11,Low,High
65023,4,6,Medium,Low
5270,29,10,Medium,High
47015,26,3,Medium,High
72908,25,6,Medium,High
41282,0,11,Medium,Low
574,20,9,Medium,High
26705,23,0,Low,High
64336,0,0,Low,Low
26910,19,10,Medium,High
80844,0,13,High,Low
74608,23,13,Low,High
71619,15,9,Medium,High
71083,6,2,High,Low
57003,0,13,Low,Low
16369,8,1,Medium,Low
36766,7,7,Low,Low
72771,19,10,Medium,High
76388,18,7,High,High
24349,28,11,High,High
84174,3,5,Medium,Low
17760,14,10,High,High
12005,13,14,High,High
41692,12,9,High,High
74195,17,8,High,High
23745,20,9,High,High
41885,16,4,Low,High
22064,4,0,High,Low
5198,1,9,Medium,Low
68778,2,3,High,Low
50350,15,9,Low,High
83728,3,4,Medium,Low
29101,26,10,Low,High
16333,1,9,High,Low
8339,19,13,High,High
10864,27,1,Medium,High
1415,24,13,Low,High
29991,1,8,Medium,Low
50103,9,12,Medium,Low
44796,22,12,Low,High
60835,23,5,Low,High
80063,12,9,Low,High
75349,9,10,Medium,Low
20847,17,2,Medium,High
13969,28,5,High,High
84615,5,4,Low,Low
72249,25,1,Low,High
45489,25,5,Low,High
24431,22,10,High,High
1929,15,10,Medium,High
73167,12,2,Low,High
28082,22,8,Low,High
13005,19,8,Medium,High
73010,20,11,Medium,High
60691,14,3,High,High
28229,8,10,Low,Low
36299,5,0,Medium,Low
76633,27,12,Medium,High
68628,19,9,High,High
28125,25,12,Low,High
2686,22,9,High,High
33570,27,1,Medium,High
67396,9,4,High,Low
38382,25,4,Low,High
74766,23,10,Medium,High
36414,8,7,Low,Low
28745,4,5,Low,Low
12519,4,5,Medium,Low
12527,2,5,Medium,Low
61096,16,14,Low,High
83346,2,8,High,Low
61944,23,3,High,High
56288,18,9,Low,High
418,0,6,High,Low
28595,8,7,High,Low
67438,5,10,Low,Low
19973,0,5,Medium,Low
34065,19,2,Low,High
4127,0,2,High,Low
64645,23,5,Medium,High
57065,13,0,Low,High
45391,2,11,Low,Low
20093,16,3,Medium,High
63199,9,8,Medium,Low
22570,20,2,Low,High
48030,5,13,Medium,Low
84466,6,1,High,Low
82003,6,13,Medium,Low
16308,0,9,Medium,Low
57412,24,7,Medium,High
19738,8,0,High,Low
64818,3,8,Medium,Low
47494,18,11,Low,High
56329,2,11,Medium,Low
71521,13,4,High,High
41515,4,14,Low,Low
66317,2,7,Low,Low
21006,28,10,Medium,High
79761,24,12,High,High
23677,25,6,Medium,High
32093,26,5,High,High
45516,9,3,Low,Low
58293,10,8,Low,Low
34939,27,1,High,High
562,20,13,High,High
20427,3,9,Low,Low
72893,18,8,Medium,High
45611,24,13,Medium,High
8677,5,0,High,Low
60852,24,7,Low,High
39887,2,2,Medium,Low
22890,21,0,Low,High
19956,26,5,High,High
8130,11,11,Medium,High
57728,25,13,Low,High
75901,25,1,Medium,High
405,24,1,High,High
18871,23,2,Medium,High
20186,4,7,Medium,Low
65747,19,11,Medium,High
5158,24,12,Medium,High
75734,23,7,Medium,High
63598,28,8,Low,High
5896,12,13,Low,High
54142,16,10,High,High
78518,12,0,Low,High
24006,6,7,Medium,Low
31063,5,1,Low,Low
12199,9,5,High,Low
3493,23,14,High,High
57570,14,5,Medium,High
56885,15,11,Medium,High
13828,24,5,High,High
54855,25,2,High,High
58408,24,8,Medium,High
43153,7,6,Low,Low
18705,7,1,Medium,Low
50100,1,13,Medium,Low
48282,2,0,Low,Low
73942,15,11,Low,High
38274,20,14,Low,High
74270,15,1,Low,High
71626,21,3,Medium,High
43243,20,9,Low,High
79688,7,5,Medium,Low
25439,23,11,Low,High
83160,25,8,Medium,High
64432,19,4,Low,High
14136,23,5,Medium,High
10853,22,5,Medium,High
62028,12,2,High,High
39730,4,7,Low,Low
68053,25,14,High,High
35991,8,2,Medium,Low
38442,16,12,High,High
47460,8,6,Medium,Low
83151,2,14,Low,Low
42301,29,9,High,High
16105,17,10,Medium,High
42711,26,5,Medium,High
44429,27,12,Medium,High
20826,17,10,Medium,High
5887,4,5,Low,Low
42112,26,13,High,High
50280,7,3,High,Low
72579,2,11,Medium,Low
78084,26,4,Medium,High
57904,4,8,Medium,Low
74319,10,7,Low,Low
38244,13,1,Low,High
15995,15,5,High,High
21945,29,7,Medium,High
33777,17,1,High,High
33263,5,13,High,Low
65684,6,9,Low,Low
2126,22,2,High,High
50384,13,6,Medium,High
20143,24,9,Low,High
50223,3,8,High,Low
12969,19,6,High,High
69437,6,3,High,Low
64981,13,3,High,High
7408,6,14,Medium,Low
3893,13,2,Low,High
74391,22,9,High,High
78681,21,8,Low,High
43052,9,14,High,Low
38409,2,1,High,Low
6842,14,2,Medium,High
24197,16,7,High,High
83555,11,5,High,High
61867,25,0,Medium,High
67142,8,5,Medium,Low
54265,15,11,Low,High
84050,2,6,Low,Low
31782,3,3,Medium,Low
6863,18,10,Medium,High
21101,15,11,Low,High
8080,17,3,Low,High
42902,1,12,Low,Low
44391,27,11,Medium,High
40992,21,3,Medium,High
45096,6,11,High,Low
9342,14,3,Low,High
20450,26,11,High,High
81395,6,8,Low,Low
61101,10,5,High,Low
26882,12,5,High,High
26867,1,1,High,Low
4874,7,12,Low,Low
1838,18,10,Low,High
71678,17,5,Medium,High
70622,27,5,Low,High
13359,21,13,Low,High
57942,15,12,Low,High
34275,15,10,Medium,High
70883,11,1,Medium,High
58357,21,6,High,High
48084,0,9,Medium,Low
17314,12,5,Low,High
15575,1,8,Low,Low
23395,26,3,High,High
33378,1,0,Medium,Low
6233,22,14,High,High
20694,11,11,High,High
30124,3,10,High,Low
16283,22,11,High,High
3341,4,5,Low,Low
39128,5,13,High,Low
58731,13,5,Low,High
2187,2,10,High,Low
48797,2,3,Medium,Low
40142,27,9,High,High
44138,25,12,Low,High
54544,25,12,Low,High
71142,11,3,Low,High
38755,12,11,High,High
9700,10,9,High,Low
17406,17,9,Low,High
39320,0,13,High,Low
80473,28,8,Low,High
15542,5,1,Medium,Low
50087,3,0,Medium,Low
39150,17,1,Medium,High
7256,13,4,Low,High
36629,1,9,High,Low
61887,7,13,Low,Low
42795,7,0,Low,Low
6442,17,9,High,High
71717,23,1,High,High
71580,4,3,High,Low
9832,9,3,Low,Low
3125,27,6,Low,High
31755,14,2,High,High
36438,16,3,Low,High
79781,21,3,High,High
36911,26,8,High,High
26359,8,2,Low,Low
47053,24,9,Low,High
37526,1,11,Low,Low
7177,3,12,Medium,Low
15304,24,7,Low,High
62619,1,4,Low,Low
45000,16,4,High,High
63572,5,4,Low,Low
79604,10,1,High,Low
66360,0,8,High,Low
62862,23,3,Low,High
2272,17,8,High,High
41266,26,2,Low,High
5207,21,7,Medium,High
48933,3,0,High,Low
61756,19,1,Low,High
25840,25,9,Medium,High
7533,2,11,Medium,Low
43736,19,1,High,High
4324,7,5,Low,Low
21911,22,0,High,High
842,12,4,High,High
32194,12,13,Low,High
80777,3,8,Low,Low
36968,27,2,Low,High
23624,10,9,Medium,Low
73925,13,0,High,High
37549,18,13,High,High
4205,13,1,Medium,High
25090,25,3,Low,High
45905,21,7,Medium,High
46870,24,7,Low,High
61822,12,2,Medium,High
44834,3,6,High,Low
9849,27,6,High,High
54270,6,2,Medium,Low
39182,10,3,Low,Low
23281,28,9,Low,High
35618,23,13,High,High
32017,29,6,High,High
47817,8,6,High,Low
25005,22,0,Low,High
58141,10,2,Medium,Low
79886,10,12,Medium,Low
59126,15,0,Low,High
10275,9,12,High,Low
10226,8,1,High,Low
62636,21,7,High,High
15960,15,14,Low,High
3080,9,13,Low,Low
58547,8,1,Low,Low
58996,24,13,Low,High
3544,26,14,Medium,High
48535,9,13,High,Low
12614,2,2,Low,Low
31696,17,12,Medium,High
57145,27,13,Low,High
11532,9,8,Medium,Low
14301,17,1,Low,High
15060,15,14,Medium,High
1008,11,2,Medium,High
12644,11,13,High,High
16231,27,3,Low,High
37906,26,9,Low,High
26231,10,12,Low,Low
13893,19,1,High,High
21249,2,1,Low,Low
54484,25,5,Low,High
19780,21,8,Low,High
8669,16,12,High,High
78864,29,1,High,High
35678,26,9,Medium,High
41959,14,7,Medium,High
35401,29,12,Low,High
28029,10,8,Medium,Low
65067,27,2,Low,High
52509,26,3,Low,High
47287,16,12,Medium,High
28389,14,12,High,High
21571,25,4,Low,High
73870,1,8,Low,Low
45948,19,3,Low,High
68076,0,7,Medium,Low
24869,14,6,Low,High
77396,1,12,Low,Low
36248,17,3,Medium,High
3426,23,5,Low,High
71380,2,8,High,Low
42639,2,7,High,Low
26311,6,14,Medium,Low
32578,13,14,Medium,High
6934,19,7,Low,High
53418,3,2,High,Low
11198,19,10,Low,High
50680,25,8,Medium,High
61818,11,4,Low,High
64552,29,13,Medium,High
20442,24,8,Low,High
60088,27,12,Medium,High
24557,6,14,High,Low
83740,11,13,High,High
17370,9,11,Medium,Low
61086,14,11,Low,High
1324,23,4,High,High
3124,16,6,Medium,High
43226,2,11,Low,Low
45792,7,6,High,Low
12521,5,11,Medium,Low
62488,17,1,Low,High
1430,3,1,High,Low
50410,7,12,High,Low
9992,28,7,Low,High
6682,15,3,Low,High
5604,24,4,Low,High
1075,17,10,Medium,High
17571,14,13,High,High
60385,12,13,High,High
51148,16,11,Medium,High
51202,16,5,High,High
50238,0,10,Low,Low
56786,10,2,Low,Low
79691,1,5,Low,Low
62176,9,11,Low,Low
20784,3,10,High,Low
30776,18,13,Medium,High
74720,8,4,Low,Low
68781,1,13,Low,Low
6580,15,0,Low,High
45429,5,6,Medium,Low
56885,10,8,High,Low
29616,28,9,High,High
21783,20,11,Medium,High
622,15,0,Low,High
22293,14,14,Medium,High
51786,3,12,Low,Low
70242,16,9,Medium,High
32259,12,3,High,High
79011,14,12,Low,High
73252,18,11,Medium,High
62106,24,11,Medium,High
4915,13,9,Medium,High
20328,2,10,Low,Low
65507,29,9,High,High
11369,18,6,High,High
53969,20,2,Low,High
61493,14,12,Medium,High
83637,23,14,Low,High
53912,11,14,Medium,High
23761,25,9,Medium,High
64986,21,12,Low,High
28969,8,11,High,Low
67844,23,7,Low,High
65710,24,13,Medium,High
60265,28,5,Medium,High
76090,22,14,Low,High
78626,15,0,Low,High
1387,11,1,Low,High
23659,2,2,High,Low
64599,25,12,Medium,High
31230,13,11,Medium,High
55474,1,10,Low,Low
52167,4,1,High,Low
68857,7,13,High,Low
62450,28,4,High,High
11889,26,0,High,High
74329,25,4,Low,High
46532,5,5,Medium,Low
63608,11,0,Medium,High
37924,10,2,Low,Low
76280,26,10,High,High
39842,0,0,Low,Low
32406,29,4,High,High
49262,6,4,Medium,Low
72727,18,10,Low,High
64905,22,11,Medium,High
21696,18,3,Low,High
13473,26,3,Medium,High
59764,20,8,Low,High
39047,16,1,Low,High
57091,29,0,High,High
5629,3,8,Medium,Low
65260,22,1,High,High
30941,29,10,Medium,High
69954,2,6,Medium,Low
32121,12,0,High,High
55943,7,2,Medium,Low
40384,24,11,Medium,High
79507,13,7,High,High
49522,2,2,Medium,Low
64856,11,13,Low,High
36329,7,14,Low,Low
378,6,6,Medium,Low
22947,6,9,Medium,Low
63487,21,6,Low,High
15841,27,10,Medium,High
72167,5,2,Low,Low
8213,26,2,Low,High
64386,26,8,High,High
16084,3,13,Low,Low
32429,18,4,Low,High
51798,29,3,Medium,High
16601,10,1,High,Low
54630,4,13,High,Low
43561,12,1,High,High
25160,29,9,Medium,High
80945,16,1,Low,High
21619,26,7,High,High
54187,6,8,Medium,Low
24036,16,8,High,High
74659,17,7,High,High
80320,26,2,Medium,High
74767,2,5,Medium,Low
43452,27,5,Medium,High
18422,7,0,Low,Low
26134,19,2,High,High
71485,20,4,Low,High
76582,7,8,High,Low
49861,16,0,Low,High
64064,29,7,Low,High
3956,24,1,Low,High
28386,25,8,Low,High
10496,10,5,High,Low
76745,8,12,Medium,Low
60414,17,9,Medium,High
38586,0,9,High,Low
48886,24,3,Medium,High
53938,29,11,High,High
24795,6,3,Low,Low
53603,19,11,High,High
77305,15,3,Medium,High
35314,23,0,Medium,High
1615,0,11,Low,Low
67876,20,9,Medium,High
32849,7,2,High,Low
43735,21,11,Low,High
42280,0,10,Low,Low
50557,24,5,Medium,High
6207,28,5,High,High
6343,18,5,Medium,High
42275,12,10,Medium,High
5226,15,12,Low,High
10836,17,8,High,High
21485,13,12,Medium,High
51240,9,5,High,Low
15929,28,12,High,High
65606,15,14,Medium,High
22525,4,6,Low,Low
68556,24,0,Medium,High
55353,21,0,Low,High
21534,23,10,Medium,High
10074,25,1,Medium,High
83865,10,3,Medium,Low
45145,1,2,Low,Low
11993,27,13,Medium,High
23729,1,12,Medium,Low
29989,11,3,Low,High
20461,19,9,Medium,High
19893,21,10,High,High
36489,18,1,Medium,High
47015,6,8,Low,Low
31858,16,1,Low,High
59884,1,6,High,Low
43232,14,6,Medium,High
57895,17,12,Medium,High
23607,0,13,High,Low
35983,26,9,Medium,High
13999,11,6,Medium,High
53549,11,10,Medium,High
53178,10,7,High,Low
31492,27,2,Low,High
14269,13,14,Low,High
81028,5,8,Medium,Low
27308,25,5,Low,High
16507,21,13,Medium,High
3911,9,11,Low,Low
84681,10,2,High,Low
16308,2,12,High,Low
66798,28,14,High,High
54341,7,13,Medium,Low
83552,27,14,Medium,High
68795,20,4,High,High
34727,26,14,Low,High
5965,1,5,Low,Low
55660,7,11,High,Low
60096,25,1,High,High
224,21,14,Medium,High
29940,14,5,High,High
34468,17,11,Medium,High
69978,14,3,High,High
71438,28,3,Low,High
8316,20,0,High,High
53899,17,5,High,High
47556,3,13,Low,Low
60245,9,10,Medium,Low
8175,28,2,Medium,High
29481,29,12,High,High
79368,2,3,Medium,Low
13153,13,12,High,High
42423,29,7,Low,High
37789,19,0,High,High
80470,11,5,High,High
37788,3,6,High,Low
18819,26,4,Medium,High
68289,12,11,Medium,High
20824,19,7,High,High
64680,17,9,High,High
23720,12,1,High,High
52289,10,4,Medium,Low
49717,0,13,High,Low
3975,6,2,Medium,Low
58626,27,3,Low,High
67447,10,9,High,Low
18272,26,7,High,High
30127,25,7,Low,High
33311,17,11,Low,High
48320,20,12,High,High
67725,16,12,High,High
76758,6,5,High,Low
51912,21,13,High,High
46705,7,0,Low,Low
13980,2,7,Low,Low
39818,9,3,Low,Low
77030,13,5,High,High
53479,4,4,High,Low
8950,5,10,High,Low
82841,22,10,Medium,High
48938,17,2,High,High
7071,3,8,Medium,Low
2297,3,14,Low,Low
20663,28,5,Low,High
30959,12,11,High,High
76850,2,9,High,Low
53294,8,2,High,Low
62458,3,11,Medium,Low
34807,17,0,High,High
6001,16,3,High,High
33419,26,5,High,High
78600,25,9,Low,High
26399,14,0,Low,High
33710,16,6,High,High
31642,17,9,High,High
42316,2,14,High,Low
55643,3,3,Medium,Low
78640,19,8,Medium,High
71592,13,3,Medium,High
77112,29,7,High,High
68877,23,12,Medium,High
75294,9,9,Medium,Low
69671,17,6,Low,High
83087,19,5,Medium,High
40934,9,6,Medium,Low
12561,27,3,Low,High
52003,22,7,Medium,High
11424,27,6,High,High
82385,21,4,High,High
1235,14,1,Low,High
84709,9,14,High,Low
17242,3,8,High,Low
6343,10,5,High,Low
57259,18,12,Medium,High
27325,2,14,Medium,Low
72385,27,13,Low,High
82538,19,4,Medium,High
61864,16,8,Medium,High
28722,5,5,Low,Low
28801,3,7,Low,Low
34848,28,0,Medium,High
49798,3,12,High,Low
24427,7,1,Medium,Low
75751,0,14,Low,Low
42213,23,0,High,High
61792,29,9,High,High
18344,25,14,High,High
41036,28,7,Low,High
58365,27,6,Medium,High
5651,6,12,High,Low
82421,18,12,Low,High
16784,13,1,Low,High
47627,16,9,Low,High
36361,26,9,Low,High
64890,0,4,High,Low
44326,26,13,Medium,High
58280,16,9,Medium,High
19575,12,1,High,High
28117,11,7,Medium,High
1951,15,7,Medium,High
73486,29,1,High,High
25574,28,11,High,High
11102,29,7,Low,High
59619,25,9,Low,High
30741,3,13,Medium,Low
64903,4,1,Low,Low
42912,11,2,Low,High
2468,20,2,High,High
59637,16,12,Low,High
38786,18,1,Low,High
24992,15,2,High,High
36400,12,8,Medium,High
23595,8,12,Low,Low
59371,14,0,High,High
65039,4,9,High,Low
71870,24,5,High,High
39476,6,12,High,Low
70223,13,4,Medium,High
21431,26,7,Low,High
13962,19,9,Medium,High
73971,2,13,Medium,Low
69531,1,6,Low,Low
48177,0,4,High,Low
37143,21,2,High,High
56967,7,0,High,Low
52596,24,6,Low,High
72650,0,0,High,Low
72899,22,7,High,High
61163,1,11,Medium,Low
43520,0,11,Low,Low
24039,22,1,Medium,High
21593,0,12,Low,Low
71499,16,3,Low,High
46888,5,5,Low,Low
10863,13,9,Medium,High
23871,8,7,High,Low
49674,27,5,Medium,High
68356,11,12,Low,High
39549,16,6,High,High
77045,26,2,Medium,High
19195,0,12,Low,Low
80743,5,13,Medium,Low
29016,12,8,Medium,High
9704,25,14,Medium,High
76756,21,5,Low,High
57407,11,13,Medium,High
1186,16,11,High,High
22892,28,0,Medium,High
7073,21,8,Low,High
32739,1,4,Medium,Low
62889,20,0,High,High
49369,10,5,Medium,Low
76410,2,7,Medium,Low
14280,9,0,High,Low
60462,5,2,Low,Low
15073,7,4,Medium,Low
37757,14,7,Medium,High
48892,14,0,Low,High
15463,11,11,Medium,High
77886,0,7,Low,Low
3366,26,4,Medium,High
71573,29,8,Medium,High
3474,13,6,Low,High
67508,19,5,Low,High
53183,3,11,High,Low
43,1,12,Low,Low
80836,8,13,Low,Low
61490,7,13,High,Low
2242,14,5,High,High
25771,26,7,Low,High
55108,23,5,Medium,High
14899,6,14,High,Low
26189,10,7,High,Low
62945,11,14,High,High
20208,29,8,High,High
65774,11,12,Medium,High
36706,0,5,Low,Low
68190,22,12,High,High
32265,2,3,High,Low
45136,12,8,Low,High
38684,20,14,Medium,High
65976,9,2,Low,Low
31925,10,11,Medium,Low
66906,23,7,High,High
27388,2,6,Medium,Low
67952,16,9,Low,High
31140,1,8,High,Low
55922,14,0,Low,High
5768,4,6,Low,Low
3491,16,14,Low,High
18622,16,6,Medium,High
55745,10,11,Medium,Low
31933,4,4,Medium,Low
13433,24,13,High,High
53034,18,0,Low,High
20869,5,2,Low,Low
28228,2,12,Medium,Low
82096,2,5,Medium,Low
31518,5,2,High,Low
71393,8,8,High,Low
84567,21,12,Low,High
48731,1,10,Low,Low
10629,9,4,High,Low
30005,5,14,Low,Low
64146,21,4,Medium,High
64737,15,8,High,High
21488,25,11,Medium,High
26178,15,1,Low,High
80605,26,5,High,High
25333,14,7,Low,High
67135,15,12,Low,High
67332,2,5,High,Low
71467,24,8,Low,High
41095,25,12,Medium,High
81307,20,8,High,High
67049,11,6,Low,High
74457,1,9,High,Low
36161,20,9,Low,High
59074,2,8,High,Low
27209,6,13,Low,Low
47695,27,5,High,High
22264,14,4,Low,High
42782,6,9,Medium,Low
62898,12,8,High,High
41500,12,11,High,High
61703,21,1,Medium,High
11056,28,11,High,High
46099,18,3,Medium,High
45118,27,14,Medium,High
59620,25,10,Medium,High
47351,1,3,Medium,Low
4685,12,0,Low,High
47025,14,7,Medium,High
8715,4,13,High,Low
37355,22,12,High,High
32749,7,8,Medium,Low
56335,10,12,Medium,Low
66864,7,2,Medium,Low
70532,5,8,High,Low
73478,3,3,Low,Low
50581,16,0,High,High
49910,29,13,Low,High
27146,0,8,Low,Low
16629,26,9,Low,High
