employee_id,engagement_score,survey_participation,feedback_count
30242,2.87,No,4
21660,1.97,Yes,1
14827,1.7,Yes,5
28912,3.46,Yes,0
47154,3.81,Yes,3
28081,3.72,Yes,0
46131,3.27,Yes,2
44518,3.35,Yes,3
53711,3.67,Yes,3
2483,3.72,Yes,0
21941,3.71,No,7
3074,4.66,Yes,0
49344,3.23,Yes,0
14904,4.69,Yes,0
28229,2.8,No,3
16131,3.04,Yes,1
31073,1.19,No,4
38409,2.86,No,2
1985,4.67,Yes,2
21252,1.14,No,3
48625,3.56,Yes,7
17347,1.78,No,6
16752,3.99,Yes,3
16923,1.97,Yes,3
53395,1.5,Yes,1
15714,1.77,Yes,2
3676,3.66,No,7
41132,3.65,Yes,1
30104,3.63,No,4
4343,2.68,Yes,6
7808,2.04,Yes,5
53917,3.47,Yes,1
23921,4.07,Yes,0
4597,2.5,Yes,4
16751,2.09,No,3
34817,2.94,No,4
13048,4.36,No,1
10031,1.72,No,6
34027,3.49,Yes,4
200,5.0,No,2
8089,1.52,Yes,6
32116,2.87,Yes,2
15002,1.01,Yes,2
39827,1.68,No,5
57858,3.62,Yes,6
39587,2.22,Yes,3
26090,4.55,Yes,5
41498,4.16,No,1
59545,1.05,Yes,3
42689,2.47,No,3
5967,3.59,Yes,0
34198,3.72,Yes,4
29051,3.1,Yes,3
12165,3.27,Yes,0
22291,1.02,Yes,6
49102,4.18,Yes,7
59925,4.45,Yes,2
47510,1.0,Yes,3
536,4.01,Yes,6
23515,3.1,Yes,6
12096,4.08,No,4
59611,3.12,Yes,2
13689,3.97,Yes,0
2398,3.9,Yes,3
49279,3.76,Yes,6
41832,4.3,Yes,5
26353,2.22,Yes,3
56266,3.9,Yes,1
38061,1.82,Yes,4
48626,3.5,No,2
34552,1.25,No,7
38544,3.7,No,1
59371,4.81,No,2
11769,4.81,Yes,5
5599,4.88,No,7
28274,1.05,Yes,5
31213,1.79,No,7
58560,1.05,Yes,7
54101,2.08,Yes,6
4073,3.0,Yes,7
52289,2.88,Yes,4
20072,3.72,No,4
5681,1.95,No,3
26649,2.84,Yes,5
34395,4.15,Yes,3
54034,4.82,Yes,1
19103,3.78,Yes,7
28323,2.99,Yes,5
13819,3.74,Yes,6
9698,3.72,Yes,3
54847,3.89,Yes,0
15937,1.47,Yes,4
13051,1.52,Yes,3
6205,3.95,Yes,3
24784,3.54,Yes,7
36585,3.46,Yes,4
12429,1.92,Yes,7
55012,4.48,Yes,0
43397,2.51,Yes,0
9227,1.47,Yes,3
18518,1.16,Yes,7
31374,3.18,Yes,5
57671,3.77,Yes,3
23660,4.4,Yes,7
6358,1.16,Yes,2
47628,4.73,Yes,5
281,1.48,Yes,7
48665,3.01,Yes,0
27711,3.42,No,6
11562,2.55,No,6
9090,3.39,Yes,4
835,1.11,Yes,1
46669,1.28,Yes,6
11951,2.61,Yes,0
38685,1.99,Yes,2
7218,4.48,Yes,6
55564,3.12,Yes,4
41127,4.7,No,7
59572,4.51,No,5
59098,3.65,Yes,3
16878,1.62,No,7
19379,1.96,Yes,7
39872,1.3,Yes,7
17292,2.22,Yes,1
34112,2.12,Yes,0
24384,1.52,Yes,2
8069,1.17,No,3
14762,2.78,Yes,3
47560,4.74,No,0
29148,1.2,No,1
36873,3.37,No,5
36864,4.55,Yes,3
53591,1.22,Yes,7
55279,2.62,Yes,6
21207,4.6,No,4
28622,1.31,No,1
32206,4.75,Yes,0
18939,4.08,Yes,6
28164,3.49,Yes,7
2956,2.57,Yes,4
31278,1.86,Yes,2
14200,2.11,Yes,6
34520,4.68,No,5
14737,3.89,Yes,7
25809,2.67,No,6
38014,2.19,Yes,5
30096,4.6,Yes,5
55870,4.89,No,4
15679,3.5,Yes,5
45029,3.63,Yes,3
36085,4.69,Yes,2
38622,3.24,No,6
59039,2.38,No,4
16183,4.87,Yes,1
52152,1.72,Yes,6
11367,2.18,No,3
30765,4.55,Yes,7
46453,3.55,Yes,5
38454,2.81,Yes,5
26520,3.57,Yes,4
46705,3.83,Yes,3
17182,1.19,Yes,3
18739,4.1,Yes,4
24227,2.52,Yes,1
2797,1.86,Yes,1
50912,1.44,Yes,1
47946,1.45,Yes,3
16109,4.36,Yes,3
48496,1.67,No,4
17750,3.75,Yes,4
39642,4.08,Yes,5
39539,1.9,Yes,1
13821,1.42,Yes,4
19846,1.58,Yes,4
55136,2.81,Yes,2
9003,3.87,No,7
14632,3.56,Yes,5
42508,3.03,Yes,2
42137,1.57,Yes,7
52459,4.17,Yes,6
24846,1.18,Yes,3
13709,2.0,Yes,4
41922,2.53,Yes,3
51404,3.27,Yes,6
11633,4.41,Yes,3
16736,4.11,No,6
8017,1.13,Yes,6
22456,3.45,Yes,7
17989,1.45,Yes,2
55010,3.7,No,5
7353,3.63,Yes,4
33760,2.44,Yes,2
1112,4.15,Yes,4
33261,1.15,Yes,3
38749,1.04,No,4
50903,4.31,No,5
39783,3.1,No,7
40384,1.75,Yes,4
46455,4.61,Yes,5
2237,1.94,Yes,0
51785,1.87,Yes,2
56031,1.68,Yes,2
22531,4.86,Yes,4
54108,3.37,Yes,2
27614,2.59,No,2
50492,4.93,Yes,7
49443,3.16,Yes,7
19835,4.59,Yes,3
58281,2.99,Yes,7
39052,4.74,Yes,6
24349,4.9,Yes,3
8857,1.38,Yes,6
47675,4.39,Yes,1
30848,3.77,Yes,5
7823,2.06,Yes,4
35211,3.31,Yes,4
8721,3.73,Yes,3
47200,4.82,Yes,3
23941,4.57,No,2
46611,2.16,No,6
16687,4.47,Yes,7
51760,3.12,Yes,5
57467,1.14,Yes,4
55724,4.38,Yes,4
34536,2.77,Yes,5
40400,3.77,Yes,6
28455,1.66,Yes,1
52060,3.08,Yes,0
42200,2.38,Yes,3
16083,3.72,Yes,6
34817,3.18,No,3
56617,1.36,Yes,2
11294,1.91,Yes,6
19847,4.78,Yes,5
45882,1.34,Yes,7
26405,1.2,No,2
1676,1.73,Yes,3
33725,1.69,Yes,2
17400,4.48,Yes,2
50070,1.72,Yes,6
51036,2.32,Yes,0
13364,2.27,Yes,3
6384,1.89,Yes,3
50190,4.22,Yes,7
17338,2.26,Yes,6
39549,2.32,Yes,7
35874,2.24,Yes,6
35634,1.53,No,0
19674,1.55,Yes,3
1037,4.33,No,7
4019,3.02,Yes,4
22968,1.15,No,0
26531,4.84,No,1
28378,1.67,Yes,3
11084,1.01,Yes,0
35027,2.17,Yes,4
16157,4.68,Yes,6
53153,1.18,Yes,3
13229,3.25,Yes,2
42304,4.86,Yes,7
57345,1.81,No,6
46787,4.24,Yes,1
9179,3.13,Yes,3
57418,4.95,Yes,7
34295,1.61,Yes,7
24429,1.28,Yes,3
46316,2.42,Yes,1
27235,3.64,Yes,4
3422,3.42,No,2
25756,1.19,No,2
12666,3.67,No,2
3686,2.44,Yes,6
52146,3.83,Yes,6
32046,3.38,Yes,4
12698,4.84,Yes,5
48998,1.76,Yes,6
5423,2.32,Yes,5
36478,1.41,Yes,7
55069,1.45,No,1
45545,4.23,No,3
24321,1.29,Yes,1
2419,1.49,Yes,7
38425,1.4,Yes,5
34368,4.51,Yes,3
48541,3.7,No,6
29528,1.15,Yes,6
52116,4.57,Yes,1
27908,1.65,Yes,0
39345,3.24,Yes,4
35899,4.34,Yes,2
47212,2.93,No,6
2892,1.6,Yes,3
20434,1.68,Yes,5
15612,2.12,Yes,4
8241,2.42,Yes,1
23875,1.07,Yes,4
48605,4.46,Yes,4
29351,1.84,Yes,7
13369,4.04,Yes,7
34603,3.11,Yes,6
57820,1.27,Yes,1
9728,4.83,Yes,4
8707,3.36,Yes,4
57299,4.96,Yes,1
15067,3.76,Yes,3
50344,2.37,Yes,2
14991,4.63,Yes,5
50129,3.4,Yes,4
56034,4.42,No,7
23881,4.22,Yes,7
144,4.72,Yes,0
34836,1.78,Yes,3
4752,2.21,No,3
50453,2.49,No,6
15642,1.5,Yes,7
36088,4.54,Yes,6
10745,4.41,Yes,7
55268,4.54,Yes,5
9011,3.55,Yes,6
11859,2.54,No,4
39744,3.12,Yes,4
20059,4.08,Yes,7
46637,3.32,Yes,3
51498,4.14,Yes,0
45281,4.17,Yes,5
22158,1.9,Yes,3
45386,3.23,No,0
45372,4.31,Yes,1
7745,1.82,Yes,1
20235,1.89,Yes,0
44566,1.8,Yes,7
5909,3.09,Yes,1
25413,4.73,Yes,0
6017,3.43,Yes,6
36228,3.05,Yes,2
25168,1.39,Yes,5
20463,3.47,Yes,5
48948,3.64,Yes,0
52467,1.93,Yes,6
10843,3.04,Yes,3
48291,3.22,Yes,2
42928,1.9,Yes,2
34588,1.98,No,6
20810,4.32,Yes,1
51067,1.24,Yes,4
40027,4.6,No,2
28711,1.2,Yes,5
1399,2.1,No,4
38823,3.7,Yes,4
33699,1.94,Yes,3
44477,4.42,No,6
38681,4.69,Yes,7
10148,4.95,Yes,2
43165,4.81,Yes,5
46661,3.32,Yes,1
25838,3.24,No,6
11786,3.8,Yes,1
40527,4.49,No,0
58970,3.43,No,0
53778,2.92,Yes,1
12348,3.56,Yes,4
50009,4.17,No,7
23172,4.09,Yes,2
26588,4.98,Yes,4
15991,1.24,Yes,3
16626,1.47,No,2
55590,4.13,Yes,0
22866,3.27,No,3
52595,2.32,Yes,3
3627,3.17,Yes,1
20371,2.49,Yes,6
58158,2.48,No,7
5587,2.46,No,4
12583,2.66,Yes,5
21928,4.56,Yes,5
11518,3.03,Yes,2
35134,2.51,Yes,1
10543,4.47,Yes,4
17133,2.83,Yes,0
18830,2.24,Yes,6
53373,4.46,Yes,0
41014,3.5,Yes,3
28114,1.94,No,7
31111,2.25,Yes,5
36564,2.43,Yes,0
8872,4.47,Yes,1
19457,4.56,Yes,4
16679,2.24,Yes,7
46407,2.64,No,2
58933,3.48,Yes,1
33026,3.33,Yes,2
5741,3.56,Yes,4
20601,1.9,Yes,7
9033,2.65,No,6
18504,1.54,No,0
55581,1.36,Yes,3
25120,2.11,Yes,7
58010,1.81,Yes,3
29088,4.45,Yes,0
1761,1.96,Yes,0
38908,2.98,Yes,1
47710,3.88,Yes,3
49754,4.9,Yes,0
44984,3.38,Yes,2
49896,4.73,Yes,6
23669,2.69,Yes,5
1721,4.95,Yes,1
45783,3.38,Yes,4
9321,3.16,No,5
29639,1.04,Yes,3
26885,4.82,No,4
44238,3.59,Yes,6
38843,2.54,Yes,1
18402,3.75,Yes,0
3456,2.71,Yes,0
57166,2.96,Yes,7
48586,1.07,Yes,6
6126,2.67,Yes,2
38873,1.9,Yes,7
29034,3.14,Yes,6
57999,1.58,Yes,6
53556,4.09,Yes,4
3573,2.96,Yes,5
45328,4.78,Yes,3
49488,4.1,Yes,7
23269,3.04,Yes,2
8163,2.99,No,5
21776,2.62,Yes,2
43397,4.7,Yes,7
13056,3.15,Yes,7
2337,2.53,Yes,1
14213,4.96,Yes,5
43400,2.09,No,4
9802,3.99,Yes,0
26557,1.41,Yes,0
8766,2.52,Yes,2
26866,1.69,Yes,3
20524,3.01,Yes,5
43750,2.43,Yes,0
30098,4.75,Yes,6
34907,1.12,No,4
59651,3.92,No,6
31739,4.68,Yes,1
28946,2.41,Yes,7
6150,1.03,Yes,0
54579,3.74,Yes,2
49106,2.5,Yes,6
18273,3.92,Yes,3
2100,1.69,No,7
31529,4.25,Yes,1
12033,3.9,Yes,4
18759,4.48,No,7
39897,4.77,No,6
13538,4.4,Yes,6
45189,3.55,Yes,2
45968,3.73,Yes,3
20411,4.02,No,3
1729,1.75,No,1
14255,1.31,Yes,5
20396,3.64,No,2
24193,2.3,No,4
51620,2.09,No,5
34212,3.77,Yes,5
27960,4.31,Yes,7
8801,1.2,Yes,3
6217,4.08,Yes,7
40616,4.57,Yes,2
4119,1.93,No,2
27337,2.26,Yes,5
35098,3.02,No,3
45886,2.11,Yes,7
13548,2.82,Yes,4
17520,1.35,Yes,6
6377,2.63,Yes,4
30425,1.3,Yes,0
45352,3.96,Yes,6
18508,2.95,Yes,7
10386,2.64,Yes,3
33473,4.69,No,5
20057,4.41,Yes,4
22749,1.26,Yes,6
3800,2.08,No,0
27208,2.97,Yes,4
57378,3.17,No,3
6027,3.28,Yes,2
33837,4.8,No,4
45378,2.83,Yes,3
7161,4.78,No,4
46300,2.72,No,1
31933,3.32,Yes,3
25792,4.56,Yes,5
14928,3.02,Yes,4
10938,4.9,Yes,1
25070,2.84,No,1
21196,4.33,No,2
23520,3.13,Yes,3
3194,1.57,Yes,3
54580,1.85,Yes,7
39435,3.44,Yes,2
24928,1.71,Yes,2
51500,2.34,Yes,5
55574,4.39,Yes,5
52155,3.46,Yes,1
24213,3.59,Yes,3
46739,3.7,Yes,4
54482,3.14,Yes,2
44622,3.88,Yes,2
11386,4.67,Yes,1
56704,4.53,Yes,1
50558,3.03,No,1
57946,1.07,Yes,4
12053,4.72,Yes,0
11178,3.8,Yes,3
27853,3.04,Yes,4
49254,1.69,Yes,0
40187,3.4,Yes,0
1863,3.64,Yes,4
41067,1.08,Yes,3
10403,2.74,Yes,5
44768,2.95,Yes,7
44811,3.75,Yes,7
8389,1.16,Yes,5
55800,2.69,Yes,2
13494,4.22,Yes,7
27176,3.42,No,4
41651,2.38,No,0
44513,4.26,No,4
52457,4.96,Yes,2
3511,1.52,Yes,4
36556,2.46,Yes,7
19002,3.99,Yes,7
40482,1.3,Yes,7
34346,4.52,Yes,0
32253,2.69,Yes,6
49339,3.7,No,4
9563,3.85,No,4
55365,2.58,No,3
22385,3.9,Yes,6
46233,1.33,Yes,3
45482,3.24,No,6
57519,1.69,Yes,6
30563,3.15,Yes,4
37307,2.14,No,4
5015,1.48,Yes,6
46044,4.58,No,4
27336,1.72,Yes,0
46904,4.04,Yes,5
41023,1.45,No,3
18164,3.38,No,4
223,3.87,Yes,2
46099,3.84,Yes,4
16015,3.44,Yes,4
24169,2.87,Yes,3
28491,3.15,No,6
16650,2.96,Yes,0
32531,1.83,Yes,3
29184,1.3,Yes,3
52447,4.97,No,5
6159,4.89,No,6
27465,1.6,Yes,3
14525,4.05,Yes,1
46827,2.63,Yes,2
22624,2.65,Yes,7
14877,1.86,No,6
45378,1.44,Yes,3
1382,4.19,Yes,2
15012,4.71,No,2
19401,3.37,Yes,4
42271,4.7,Yes,1
380,3.69,Yes,4
14954,2.7,Yes,1
28162,1.01,Yes,3
19477,2.02,Yes,0
21664,3.08,Yes,3
14958,4.98,Yes,7
13905,2.08,Yes,4
48432,3.37,Yes,5
46980,3.36,No,0
15113,4.88,Yes,5
44088,1.17,No,5
48820,4.99,Yes,7
42044,2.6,Yes,4
50286,4.91,Yes,0
23657,4.02,Yes,2
7550,3.07,Yes,6
16316,2.22,Yes,1
49430,3.66,No,3
41013,2.18,Yes,2
48052,1.24,Yes,2
54442,2.11,Yes,4
59477,2.76,Yes,3
53097,1.98,Yes,7
3448,2.75,No,4
20476,2.52,No,7
31469,2.41,Yes,2
54063,4.55,Yes,7
52892,4.27,Yes,1
49674,2.77,Yes,6
55022,1.95,Yes,4
44149,3.77,No,5
35280,2.31,Yes,6
34264,3.65,Yes,7
5001,4.71,Yes,0
10070,3.25,Yes,7
33413,1.89,Yes,2
50742,3.27,Yes,7
18831,3.67,Yes,3
40296,4.43,Yes,0
26973,2.88,Yes,0
5832,1.33,Yes,4
20725,1.51,Yes,7
42074,3.54,Yes,5
35959,4.39,Yes,6
27923,2.59,Yes,0
44887,3.63,Yes,5
23164,1.67,Yes,2
40297,3.92,No,5
40776,2.92,Yes,6
37488,2.0,Yes,5
37095,2.3,Yes,5
25872,3.16,No,7
22467,4.98,Yes,6
18484,2.77,No,6
26929,2.38,No,3
16727,2.61,Yes,5
36950,3.78,Yes,5
34771,3.13,Yes,5
47975,3.6,Yes,2
9795,2.8,Yes,2
13497,2.89,No,5
38637,1.64,No,7
54769,2.64,No,4
10578,4.14,Yes,0
51782,1.04,Yes,6
10311,2.7,Yes,7
22651,2.66,No,4
1112,2.74,Yes,1
10763,2.2,No,1
861,3.49,Yes,4
11284,2.29,No,6
36342,3.06,No,7
24280,2.05,No,3
16943,3.09,Yes,3
50808,1.97,Yes,0
59276,2.68,Yes,5
6580,4.53,Yes,4
39349,4.93,Yes,7
49070,4.08,Yes,6
6452,3.99,Yes,4
1443,2.04,Yes,6
25503,3.01,Yes,4
11475,1.13,No,6
369,3.66,No,2
10310,4.86,Yes,1
36486,2.14,Yes,4
53371,1.27,Yes,5
35423,2.51,Yes,3
49159,1.11,Yes,5
11617,1.7,Yes,7
49497,4.74,No,2
37702,3.34,Yes,3
7609,4.16,No,3
42805,4.58,Yes,7
48528,3.03,Yes,3
45845,4.55,No,2
52427,4.64,Yes,3
29339,1.79,Yes,0
31958,1.05,Yes,3
42811,2.54,Yes,2
27169,2.78,Yes,1
42433,1.33,Yes,4
29882,4.79,No,7
44068,4.32,Yes,5
58296,4.26,Yes,1
59081,4.29,Yes,6
6087,2.25,No,2
36877,4.03,Yes,2
53085,3.3,Yes,4
12796,1.14,No,0
28579,1.16,No,0
25098,1.61,Yes,0
13253,2.69,Yes,2
17132,4.36,Yes,6
37174,1.54,Yes,7
7961,3.64,Yes,2
11072,3.49,Yes,0
36196,3.63,Yes,3
41583,3.18,Yes,0
14370,3.84,Yes,1
58387,2.13,Yes,2
49104,2.71,No,6
30520,1.44,Yes,0
30553,2.5,Yes,6
35892,3.03,Yes,4
44145,1.74,No,5
49152,4.62,Yes,6
54189,3.3,Yes,3
52410,1.53,Yes,2
24873,3.41,No,2
739,3.5,Yes,4
20861,4.02,No,6
41974,2.36,Yes,4
35053,3.3,No,6
2555,2.59,Yes,3
10484,1.73,Yes,3
42693,1.25,No,0
49021,1.16,No,3
15495,4.29,Yes,2
1171,4.08,Yes,5
49543,1.73,Yes,2
9826,4.7,Yes,7
36693,4.75,Yes,6
23981,2.34,No,7
9412,2.41,Yes,0
55440,3.42,Yes,1
52158,1.07,No,4
6467,3.23,Yes,2
20312,3.76,Yes,1
15304,4.86,Yes,7
56662,4.89,Yes,3
40410,3.89,Yes,2
16271,2.05,Yes,1
22472,4.88,Yes,5
22461,2.59,Yes,1
18049,3.88,No,3
56625,1.42,Yes,7
7240,4.85,Yes,0
18550,4.32,Yes,6
38479,2.73,Yes,7
23346,1.44,No,5
36217,4.97,Yes,1
2249,1.74,Yes,3
4903,3.8,Yes,1
28237,1.74,No,7
27709,3.77,Yes,4
52659,2.66,No,1
28571,2.48,No,3
10865,2.14,Yes,7
29307,2.55,Yes,0
10495,1.18,Yes,1
20121,4.23,Yes,3
42389,4.14,No,1
22374,3.12,No,4
30520,4.3,No,1
10308,2.11,Yes,1
35407,3.21,Yes,1
44353,1.97,Yes,5
8872,3.32,No,5
20265,3.47,Yes,1
32845,1.44,Yes,3
45553,2.53,No,7
43312,3.05,No,5
42695,2.68,Yes,3
23070,3.75,Yes,2
49035,3.33,No,3
11738,3.47,Yes,3
19463,3.22,Yes,4
11118,3.26,Yes,3
50928,2.88,Yes,5
32649,4.04,No,7
57185,1.26,Yes,2
25090,2.85,Yes,5
18941,1.63,No,7
20717,1.84,Yes,6
33686,1.76,Yes,7
43612,1.27,No,5
27575,3.8,Yes,2
25043,3.86,Yes,6
33410,3.04,No,5
25338,1.85,No,4
49898,3.09,Yes,4
45245,2.41,Yes,6
36656,1.25,No,7
14946,1.42,Yes,4
25166,3.83,Yes,2
27941,1.9,Yes,5
19323,4.23,No,7
4398,3.8,Yes,4
44001,2.74,Yes,5
43507,3.71,Yes,1
56331,1.17,Yes,3
2369,1.86,Yes,6
10916,1.33,Yes,3
42396,1.02,Yes,0
18199,3.89,Yes,0
28144,1.7,Yes,0
36642,4.51,Yes,2
20787,2.85,Yes,6
36307,2.16,No,6
56629,4.86,Yes,7
40643,4.01,No,5
3776,4.62,Yes,1
45992,2.28,Yes,0
57825,3.47,Yes,5
30592,1.06,No,2
45073,4.31,Yes,7
16508,3.57,Yes,7
35499,2.96,Yes,6
57471,3.33,Yes,0
14320,1.61,No,4
52457,1.36,Yes,3
5587,1.19,No,5
539,3.89,Yes,7
17977,1.71,No,2
9804,3.64,Yes,2
53332,1.13,Yes,0
30334,2.91,Yes,1
25443,4.69,No,6
50140,2.82,Yes,2
29870,4.65,Yes,5
6954,3.59,Yes,7
11839,2.51,Yes,4
14855,1.91,Yes,4
19543,1.54,Yes,2
27944,2.86,Yes,4
18457,1.51,Yes,1
14260,3.98,No,0
15992,3.4,Yes,1
45971,1.63,Yes,5
22387,3.67,Yes,7
1369,1.31,Yes,3
46073,3.96,No,5
15348,4.91,Yes,0
28044,2.98,Yes,3
16599,3.78,Yes,7
17868,4.43,No,6
54940,2.51,Yes,3
26281,1.66,Yes,1
15316,3.04,No,7
57155,3.69,Yes,4
906,3.07,No,1
59482,4.21,Yes,5
46025,2.75,Yes,3
35524,4.12,Yes,7
22188,4.88,Yes,0
29353,1.86,No,7
53380,4.65,Yes,2
50112,4.44,Yes,6
19258,2.42,Yes,5
31614,4.69,Yes,5
36310,4.52,Yes,0
31428,2.19,Yes,7
48042,1.31,Yes,5
12399,2.66,Yes,7
24352,2.69,Yes,2
31386,3.3,No,7
39108,4.19,No,5
24499,4.53,Yes,0
38092,2.13,Yes,3
21998,3.65,Yes,2
38108,2.02,Yes,5
44955,4.25,Yes,7
15097,3.12,No,0
43784,4.89,Yes,7
58862,3.64,Yes,1
33106,3.69,Yes,2
31187,4.81,Yes,4
16679,3.26,Yes,0
9653,4.9,Yes,4
15246,4.23,Yes,4
16343,1.14,Yes,6
52824,2.87,Yes,2
25423,4.6,No,4
48279,3.33,Yes,6
53087,4.99,Yes,2
31765,4.13,Yes,5
53989,2.99,No,1
49834,4.27,Yes,6
22330,3.53,Yes,2
23608,2.59,No,3
25505,1.78,No,1
43615,1.43,No,1
39531,3.64,Yes,5
228,2.85,Yes,0
30770,3.57,No,5
25136,1.79,No,1
34216,2.39,No,5
59091,2.63,Yes,4
9586,1.64,Yes,7
22069,1.86,Yes,1
46177,3.44,Yes,7
40945,4.93,Yes,5
1664,4.94,Yes,1
48977,2.44,No,6
46823,2.32,No,4
46405,2.78,Yes,6
49595,1.72,Yes,5
48271,4.38,Yes,0
5510,1.85,Yes,4
41084,1.9,Yes,4
44752,2.48,Yes,7
18803,1.02,Yes,0
53466,3.33,Yes,2
48058,3.77,Yes,6
32544,2.16,Yes,1
53730,4.45,Yes,7
45706,1.01,Yes,6
2230,1.19,Yes,3
10241,4.0,Yes,7
47266,1.88,Yes,5
41961,4.26,Yes,6
10194,4.2,Yes,2
3193,4.39,No,1
23925,4.9,Yes,7
54754,4.13,No,3
57658,4.2,Yes,1
40309,4.93,Yes,2
2108,4.27,Yes,5
19057,2.24,Yes,6
26261,3.49,Yes,3
48904,1.99,Yes,6
14529,2.6,Yes,7
42496,1.77,Yes,7
48310,3.36,No,1
1137,4.54,No,7
52975,4.88,No,4
45394,4.39,Yes,3
16585,4.42,Yes,4
4069,3.95,No,6
26240,2.3,Yes,0
24761,1.84,Yes,5
59710,2.44,Yes,6
8927,3.9,Yes,2
1496,3.86,Yes,4
52985,3.74,Yes,0
12902,3.8,Yes,4
26347,1.36,Yes,7
41253,1.72,Yes,2
2484,4.25,Yes,7
40567,3.83,Yes,4
34602,4.32,Yes,7
56352,4.18,No,3
40267,1.7,Yes,7
14482,1.52,No,1
32636,2.95,Yes,1
27961,2.32,Yes,2
