candidate_id,job_role,interview_rounds,assessment_score,hiring_decision
19138,Analyst,2,87,Selected
77059,Analyst,2,90,Selected
1909,Manager,5,56,Rejected
115636,Sales,1,46,Rejected
10354,Engineer,1,90,Selected
33111,Sales,4,61,Rejected
86105,Analyst,4,71,Selected
33473,Sales,1,60,Rejected
8260,Sales,1,86,Selected
110617,Sales,1,77,Selected
3611,Analyst,2,84,Selected
63995,Analyst,1,73,Selected
60598,Engineer,4,55,Rejected
100922,Analyst,1,93,Selected
103764,Analyst,3,45,Rejected
106128,Manager,1,85,Selected
77841,Engineer,1,52,Rejected
42204,Analyst,2,63,Rejected
16865,Manager,2,51,Rejected
54417,Manager,4,65,Rejected
9140,Sales,1,79,Selected
34349,Sales,2,56,Rejected
19817,Sales,5,53,Rejected
106404,Analyst,5,60,Rejected
113806,Manager,3,53,Rejected
37771,Sales,2,95,Selected
9156,Analyst,3,83,Selected
106441,Sales,1,75,Selected
106427,Manager,2,74,Selected
39206,Analyst,5,51,Rejected
46474,Manager,5,65,Rejected
24664,Engineer,5,45,Rejected
13736,Manager,3,68,Rejected
11477,Sales,5,56,Rejected
107343,Analyst,2,89,Selected
85936,Analyst,1,92,Selected
107495,Analyst,1,59,Rejected
63636,Engineer,2,64,Rejected
25632,Manager,3,51,Rejected
66823,Manager,3,55,Rejected
99643,Sales,2,69,Rejected
5118,Engineer,3,80,Selected
111341,Sales,5,69,Rejected
13518,Engineer,2,51,Rejected
78259,Sales,4,58,Rejected
40762,Analyst,3,79,Selected
112624,Analyst,5,77,Selected
85828,Sales,2,93,Selected
112481,Engineer,4,44,Rejected
8490,Sales,5,75,Selected
87948,Engineer,1,61,Rejected
14693,Analyst,2,85,Selected
108059,Manager,4,53,Rejected
119555,Engineer,1,42,Rejected
13394,Engineer,1,46,Rejected
77380,Analyst,5,49,Rejected
85056,Sales,1,83,Selected
17225,Manager,4,67,Rejected
73400,Sales,3,76,Selected
76830,Analyst,3,96,Selected
29516,Engineer,3,58,Rejected
65396,Engineer,2,94,Selected
26612,Sales,4,53,Rejected
10150,Engineer,2,52,Rejected
91692,Analyst,3,44,Rejected
39271,Analyst,4,88,Selected
40005,Sales,5,84,Selected
62335,Analyst,1,61,Rejected
106204,Manager,4,87,Selected
104775,Sales,3,94,Selected
20443,Analyst,1,87,Selected
84358,Analyst,5,83,Selected
936,Engineer,4,48,Rejected
72661,Sales,5,94,Selected
110619,Manager,4,40,Rejected
61877,Analyst,5,76,Selected
118068,Manager,4,95,Selected
14287,Engineer,5,58,Rejected
76205,Sales,3,60,Rejected
30728,Sales,4,98,Selected
61713,Sales,3,51,Rejected
25673,Manager,5,66,Rejected
31511,Engineer,5,98,Selected
47155,Engineer,3,69,Rejected
83358,Manager,4,73,Selected
98751,Engineer,4,81,Selected
6666,Analyst,3,76,Selected
75480,Manager,5,45,Rejected
43590,Sales,3,99,Selected
43984,Sales,5,43,Rejected
77756,Analyst,2,62,Rejected
62290,Manager,2,95,Selected
33145,Sales,5,75,Selected
111674,Manager,3,86,Selected
34440,Engineer,2,71,Selected
52374,Analyst,3,81,Selected
91530,Manager,5,96,Selected
24847,Engineer,5,72,Selected
47180,Manager,2,71,Selected
70668,Analyst,3,70,Rejected
50960,Engineer,1,56,Rejected
46617,Manager,5,60,Rejected
55549,Analyst,3,65,Rejected
62289,Sales,3,87,Selected
33994,Manager,1,96,Selected
110891,Engineer,1,70,Rejected
23171,Sales,2,54,Rejected
49686,Analyst,1,68,Rejected
110929,Analyst,1,88,Selected
113871,Sales,5,46,Rejected
16950,Engineer,2,61,Rejected
5197,Manager,3,75,Selected
107881,Sales,2,90,Selected
90207,Manager,2,55,Rejected
49383,Engineer,4,93,Selected
17126,Sales,3,53,Rejected
56711,Manager,5,96,Selected
43827,Manager,1,45,Rejected
85264,Analyst,3,43,Rejected
100549,Analyst,5,76,Selected
3480,Engineer,3,49,Rejected
21336,Analyst,3,84,Selected
16961,Manager,4,96,Selected
104384,Engineer,5,42,Rejected
28548,Sales,1,62,Rejected
96976,Manager,1,75,Selected
60204,Manager,3,69,Rejected
38289,Sales,1,53,Rejected
27606,Manager,5,75,Selected
72803,Analyst,2,43,Rejected
92327,Manager,5,91,Selected
110570,Manager,1,58,Rejected
83384,Manager,1,57,Rejected
75099,Analyst,4,55,Rejected
84230,Analyst,3,93,Selected
18856,Analyst,3,43,Rejected
104499,Analyst,4,63,Rejected
119639,Engineer,4,64,Rejected
20520,Sales,2,57,Rejected
62584,Manager,4,92,Selected
11109,Analyst,4,66,Rejected
52365,Engineer,3,40,Rejected
57399,Sales,3,83,Selected
25630,Sales,5,68,Rejected
116521,Analyst,2,87,Selected
56978,Analyst,1,80,Selected
75576,Manager,4,79,Selected
66183,Analyst,5,59,Rejected
6637,Sales,2,96,Selected
69014,Engineer,2,79,Selected
15509,Manager,3,63,Rejected
99528,Analyst,1,85,Selected
16897,Engineer,2,82,Selected
16375,Manager,5,41,Rejected
80864,Engineer,4,77,Selected
115970,Engineer,1,45,Rejected
69798,Sales,2,73,Selected
31469,Manager,5,98,Selected
40512,Manager,4,83,Selected
107033,Analyst,5,75,Selected
100231,Manager,4,47,Rejected
56848,Manager,1,87,Selected
73303,Manager,3,71,Selected
1285,Analyst,1,50,Rejected
7080,Engineer,1,71,Selected
97111,Analyst,4,84,Selected
15527,Sales,1,62,Rejected
9282,Manager,2,69,Rejected
4137,Sales,3,50,Rejected
35113,Manager,3,55,Rejected
54602,Analyst,3,41,Rejected
119648,Analyst,2,42,Rejected
81360,Manager,1,68,Rejected
95107,Analyst,1,91,Selected
8508,Sales,1,90,Selected
24503,Manager,1,40,Rejected
6941,Sales,4,82,Selected
1781,Analyst,1,50,Rejected
117544,Engineer,1,79,Selected
72182,Analyst,4,63,Rejected
32859,Analyst,3,52,Rejected
46357,Analyst,5,95,Selected
58283,Manager,1,87,Selected
1473,Engineer,4,72,Selected
82161,Analyst,5,54,Rejected
39489,Engineer,4,95,Selected
99947,Sales,2,98,Selected
48169,Sales,4,86,Selected
103599,Manager,4,96,Selected
49259,Manager,4,58,Rejected
36603,Sales,2,53,Rejected
72457,Engineer,1,44,Rejected
14483,Engineer,4,59,Rejected
91399,Manager,1,70,Rejected
40876,Analyst,4,42,Rejected
76987,Engineer,3,64,Rejected
113621,Engineer,4,66,Rejected
90084,Engineer,1,55,Rejected
95776,Manager,2,57,Rejected
82018,Manager,1,76,Selected
18277,Sales,2,47,Rejected
58190,Manager,1,53,Rejected
98061,Manager,4,43,Rejected
56489,Sales,3,91,Selected
84644,Engineer,1,76,Selected
109420,Manager,2,42,Rejected
40299,Engineer,4,73,Selected
105694,Sales,3,53,Rejected
106572,Manager,4,43,Rejected
93721,Manager,4,78,Selected
9928,Sales,1,88,Selected
105161,Sales,5,69,Rejected
71380,Manager,4,92,Selected
49527,Sales,1,47,Rejected
66061,Engineer,1,52,Rejected
72534,Analyst,3,91,Selected
4493,Analyst,2,63,Rejected
13081,Sales,1,48,Rejected
114384,Sales,3,87,Selected
34686,Analyst,3,42,Rejected
49995,Analyst,5,43,Rejected
58785,Sales,1,62,Rejected
1040,Sales,5,58,Rejected
74294,Manager,5,93,Selected
13492,Engineer,4,96,Selected
106260,Manager,1,73,Selected
24957,Manager,4,94,Selected
45340,Manager,5,75,Selected
82874,Sales,4,96,Selected
7901,Engineer,4,77,Selected
36355,Analyst,2,62,Rejected
117582,Engineer,1,50,Rejected
28846,Analyst,2,57,Rejected
35949,Engineer,5,52,Rejected
31740,Engineer,4,80,Selected
52453,Engineer,2,77,Selected
94894,Analyst,3,75,Selected
87971,Engineer,4,62,Rejected
85122,Engineer,1,82,Selected
90944,Manager,3,74,Selected
44007,Analyst,4,70,Rejected
26774,Analyst,3,78,Selected
27824,Analyst,4,53,Rejected
109401,Sales,2,87,Selected
38815,Manager,1,62,Rejected
13556,Sales,4,93,Selected
56644,Engineer,2,70,Rejected
15272,Manager,1,84,Selected
97716,Engineer,2,44,Rejected
13014,Analyst,3,48,Rejected
35388,Manager,2,84,Selected
56201,Engineer,3,93,Selected
44642,Engineer,2,99,Selected
8758,Engineer,2,72,Selected
79946,Analyst,5,76,Selected
61196,Manager,1,46,Rejected
29361,Manager,3,73,Selected
47857,Manager,5,46,Rejected
9727,Analyst,4,62,Rejected
9535,Engineer,2,63,Rejected
25570,Manager,4,47,Rejected
65294,Analyst,4,62,Rejected
61741,Manager,4,42,Rejected
79164,Sales,1,46,Rejected
23270,Analyst,4,43,Rejected
16307,Sales,1,56,Rejected
114541,Engineer,2,44,Rejected
20164,Analyst,5,89,Selected
109844,Manager,2,42,Rejected
94729,Analyst,5,49,Rejected
57732,Engineer,2,61,Rejected
60379,Sales,2,59,Rejected
49243,Engineer,1,81,Selected
48601,Analyst,4,44,Rejected
71421,Sales,3,88,Selected
118923,Manager,4,68,Rejected
115634,Manager,4,58,Rejected
70036,Manager,5,94,Selected
15819,Engineer,4,72,Selected
104000,Manager,2,58,Rejected
7594,Analyst,3,67,Rejected
114160,Engineer,4,97,Selected
35005,Analyst,3,79,Selected
65359,Manager,2,44,Rejected
45150,Analyst,2,68,Rejected
41554,Manager,5,86,Selected
54740,Engineer,4,69,Rejected
22002,Manager,4,53,Rejected
31951,Analyst,5,55,Rejected
66573,Analyst,2,84,Selected
44727,Manager,4,70,Rejected
31382,Analyst,3,66,Rejected
42634,Sales,1,99,Selected
24958,Sales,1,80,Selected
76716,Engineer,4,58,Rejected
103028,Sales,1,88,Selected
111109,Manager,5,62,Rejected
34772,Manager,3,78,Selected
116139,Sales,4,54,Rejected
107879,Engineer,1,58,Rejected
71435,Manager,2,51,Rejected
59183,Manager,5,42,Rejected
14829,Engineer,2,85,Selected
55628,Analyst,2,55,Rejected
117777,Sales,4,51,Rejected
100047,Manager,3,98,Selected
101497,Manager,4,53,Rejected
107699,Sales,4,93,Selected
2859,Engineer,2,89,Selected
38140,Engineer,3,76,Selected
80389,Engineer,3,72,Selected
84433,Manager,1,53,Rejected
115188,Engineer,4,62,Rejected
69442,Engineer,3,88,Selected
78140,Sales,3,41,Rejected
98711,Manager,5,58,Rejected
82664,Manager,5,50,Rejected
114608,Sales,5,54,Rejected
13770,Engineer,4,63,Rejected
30996,Sales,4,91,Selected
115294,Manager,3,61,Rejected
99530,Analyst,3,74,Selected
27688,Sales,5,95,Selected
48702,Analyst,1,56,Rejected
28791,Manager,1,96,Selected
83664,Engineer,2,49,Rejected
26123,Engineer,2,80,Selected
10135,Analyst,3,95,Selected
16779,Manager,1,72,Selected
601,Manager,4,71,Selected
82074,Sales,5,45,Rejected
65717,Analyst,1,65,Rejected
22338,Manager,1,86,Selected
93627,Sales,2,54,Rejected
14121,Sales,5,90,Selected
101691,Engineer,3,57,Rejected
97548,Engineer,3,93,Selected
58556,Sales,5,96,Selected
42167,Analyst,2,79,Selected
27671,Analyst,3,42,Rejected
45632,Engineer,2,50,Rejected
37445,Analyst,2,54,Rejected
56632,Manager,4,44,Rejected
11908,Analyst,5,94,Selected
44271,Engineer,5,95,Selected
17737,Engineer,2,74,Selected
54934,Sales,1,98,Selected
84971,Sales,4,80,Selected
25995,Manager,1,93,Selected
115373,Engineer,2,57,Rejected
12607,Analyst,2,86,Selected
57462,Manager,3,70,Rejected
50417,Analyst,5,93,Selected
110140,Engineer,4,65,Rejected
27585,Manager,1,67,Rejected
92770,Sales,1,75,Selected
37908,Manager,5,60,Rejected
70770,Analyst,4,40,Rejected
38981,Analyst,4,70,Rejected
117360,Manager,3,74,Selected
70083,Analyst,4,70,Rejected
11925,Manager,5,76,Selected
9160,Engineer,3,46,Rejected
72656,Analyst,2,44,Rejected
3794,Analyst,2,91,Selected
74060,Analyst,2,52,Rejected
100085,Analyst,4,79,Selected
1716,Engineer,5,42,Rejected
84020,Sales,3,85,Selected
40867,Engineer,1,67,Rejected
56153,Engineer,5,87,Selected
108291,Analyst,3,45,Rejected
114731,Sales,3,61,Rejected
101828,Analyst,4,96,Selected
53170,Sales,1,99,Selected
10330,Analyst,2,88,Selected
91116,Engineer,4,77,Selected
71134,Engineer,1,54,Rejected
44956,Engineer,2,48,Rejected
18643,Manager,3,53,Rejected
23979,Sales,2,76,Selected
78641,Analyst,1,42,Rejected
28275,Manager,1,73,Selected
11900,Sales,1,79,Selected
1352,Manager,1,42,Rejected
7985,Manager,4,43,Rejected
2136,Sales,1,72,Selected
60396,Sales,5,93,Selected
71051,Analyst,3,97,Selected
22988,Analyst,2,54,Rejected
41032,Manager,1,86,Selected
35125,Sales,4,71,Selected
14727,Sales,2,97,Selected
107059,Engineer,1,88,Selected
2641,Manager,2,72,Selected
66663,Engineer,2,82,Selected
111126,Manager,4,57,Rejected
47809,Sales,2,79,Selected
117479,Manager,4,85,Selected
99515,Engineer,4,99,Selected
34569,Engineer,5,98,Selected
119714,Analyst,1,50,Rejected
10236,Manager,5,50,Rejected
104149,Manager,2,74,Selected
113334,Analyst,3,51,Rejected
62009,Manager,2,60,Rejected
93602,Engineer,5,66,Rejected
30570,Manager,2,90,Selected
63724,Sales,3,54,Rejected
70229,Sales,2,48,Rejected
28093,Manager,2,85,Selected
38225,Manager,1,50,Rejected
69121,Engineer,4,48,Rejected
15452,Sales,2,93,Selected
19008,Sales,4,90,Selected
76780,Engineer,5,75,Selected
54978,Analyst,4,83,Selected
69012,Sales,5,71,Selected
27581,Manager,3,95,Selected
45188,Engineer,2,44,Rejected
112918,Engineer,4,92,Selected
16771,Sales,3,45,Rejected
80685,Analyst,2,85,Selected
79139,Manager,1,68,Rejected
17287,Engineer,5,94,Selected
86209,Analyst,1,72,Selected
108496,Manager,1,77,Selected
50702,Engineer,5,93,Selected
58977,Manager,3,91,Selected
99413,Engineer,5,45,Rejected
69532,Engineer,2,75,Selected
109888,Engineer,1,93,Selected
13604,Engineer,3,61,Rejected
18380,Analyst,2,93,Selected
51571,Engineer,2,75,Selected
77657,Analyst,5,83,Selected
33332,Engineer,2,83,Selected
35529,Engineer,5,62,Rejected
18341,Sales,5,41,Rejected
67465,Engineer,2,85,Selected
85846,Analyst,2,94,Selected
68076,Engineer,2,44,Rejected
5416,Manager,3,50,Rejected
46423,Analyst,1,96,Selected
53739,Engineer,1,87,Selected
108543,Engineer,3,92,Selected
9213,Manager,1,50,Rejected
80524,Engineer,4,94,Selected
81505,Sales,3,71,Selected
53236,Manager,4,66,Rejected
83732,Engineer,1,96,Selected
95046,Analyst,1,72,Selected
54038,Engineer,5,52,Rejected
92924,Sales,5,66,Rejected
94014,Engineer,5,52,Rejected
61268,Manager,1,45,Rejected
114015,Manager,3,76,Selected
93037,Engineer,3,67,Rejected
60371,Analyst,4,74,Selected
95479,Sales,1,99,Selected
52062,Sales,4,83,Selected
35336,Manager,4,74,Selected
78336,Analyst,1,45,Rejected
95839,Sales,1,96,Selected
66249,Sales,4,40,Rejected
76217,Engineer,1,47,Rejected
35377,Sales,1,50,Rejected
46366,Manager,3,74,Selected
15178,Engineer,1,46,Rejected
106337,Sales,2,72,Selected
106201,Analyst,1,48,Rejected
101984,Sales,5,59,Rejected
118338,Sales,2,63,Rejected
118352,Sales,4,45,Rejected
15206,Engineer,5,91,Selected
94465,Engineer,4,51,Rejected
97229,Manager,4,48,Rejected
35020,Manager,2,57,Rejected
24124,Analyst,5,94,Selected
20918,Manager,2,57,Rejected
104236,Engineer,2,88,Selected
84857,Sales,1,47,Rejected
41611,Sales,3,83,Selected
106096,Engineer,4,69,Rejected
116744,Engineer,5,91,Selected
67444,Sales,1,82,Selected
108995,Engineer,5,96,Selected
25219,Engineer,4,66,Rejected
31133,Sales,5,70,Rejected
90889,Sales,1,48,Rejected
79506,Analyst,3,50,Rejected
53994,Engineer,1,87,Selected
72754,Engineer,5,66,Rejected
4634,Sales,4,48,Rejected
35897,Engineer,4,41,Rejected
94209,Analyst,1,96,Selected
114158,Analyst,5,60,Rejected
13962,Engineer,1,68,Rejected
79401,Sales,4,79,Selected
57969,Sales,1,55,Rejected
28828,Engineer,5,87,Selected
88541,Engineer,1,61,Rejected
116427,Sales,4,46,Rejected
17622,Analyst,3,43,Rejected
4579,Engineer,3,60,Rejected
5426,Engineer,4,55,Rejected
108428,Analyst,5,42,Rejected
3791,Analyst,2,58,Rejected
72482,Analyst,3,47,Rejected
26173,Analyst,5,56,Rejected
47698,Engineer,2,54,Rejected
36642,Analyst,4,94,Selected
50899,Manager,4,53,Rejected
112463,Analyst,4,93,Selected
116397,Manager,3,81,Selected
46111,Manager,3,82,Selected
71238,Manager,5,93,Selected
63848,Manager,5,63,Rejected
89248,Manager,2,76,Selected
76502,Sales,3,72,Selected
8811,Engineer,5,60,Rejected
5902,Manager,1,71,Selected
39106,Manager,1,81,Selected
66164,Engineer,5,72,Selected
107215,Analyst,2,68,Rejected
9290,Manager,3,43,Rejected
11697,Analyst,5,72,Selected
9281,Sales,1,75,Selected
22478,Manager,2,85,Selected
36162,Manager,3,90,Selected
89295,Sales,3,56,Rejected
43604,Manager,1,88,Selected
73753,Manager,1,76,Selected
24027,Sales,3,94,Selected
53283,Engineer,3,74,Selected
54561,Manager,1,75,Selected
62590,Sales,4,87,Selected
22517,Sales,2,90,Selected
21020,Engineer,3,94,Selected
24532,Manager,2,47,Rejected
81466,Engineer,5,99,Selected
76951,Engineer,4,44,Rejected
30730,Manager,4,70,Rejected
85564,Sales,1,42,Rejected
76739,Engineer,3,56,Rejected
49437,Sales,5,44,Rejected
49036,Engineer,1,47,Rejected
4745,Analyst,3,40,Rejected
21146,Sales,5,92,Selected
61750,Analyst,5,50,Rejected
50145,Engineer,3,96,Selected
42564,Analyst,4,62,Rejected
106299,Engineer,3,45,Rejected
20062,Analyst,3,69,Rejected
57893,Analyst,1,78,Selected
27018,Manager,5,74,Selected
110565,Engineer,3,46,Rejected
53258,Engineer,4,88,Selected
63746,Manager,3,84,Selected
84833,Sales,3,60,Rejected
94672,Analyst,1,47,Rejected
39758,Analyst,3,55,Rejected
30215,Analyst,3,78,Selected
55780,Engineer,4,87,Selected
108884,Analyst,3,94,Selected
63661,Sales,2,43,Rejected
88334,Manager,1,74,Selected
93705,Engineer,3,93,Selected
18554,Sales,4,70,Rejected
57135,Analyst,1,55,Rejected
36709,Analyst,4,84,Selected
95135,Engineer,1,53,Rejected
42521,Sales,4,78,Selected
1319,Manager,2,77,Selected
32916,Engineer,3,81,Selected
50538,Manager,1,93,Selected
81798,Engineer,1,53,Rejected
110068,Manager,2,42,Rejected
95840,Analyst,1,97,Selected
841,Engineer,2,88,Selected
64677,Sales,5,90,Selected
82065,Engineer,4,87,Selected
45935,Analyst,5,47,Rejected
117130,Engineer,4,78,Selected
12068,Analyst,5,79,Selected
41418,Sales,2,63,Rejected
29530,Manager,2,81,Selected
55153,Sales,5,86,Selected
113834,Sales,5,63,Rejected
9397,Engineer,2,61,Rejected
83489,Sales,2,93,Selected
96258,Sales,3,94,Selected
99357,Manager,4,59,Rejected
79021,Analyst,1,90,Selected
67636,Analyst,5,81,Selected
87197,Manager,2,77,Selected
118451,Engineer,4,53,Rejected
10248,Manager,2,65,Rejected
86523,Analyst,5,55,Rejected
3672,Engineer,1,73,Selected
50884,Manager,3,60,Rejected
57277,Engineer,2,86,Selected
4646,Manager,1,95,Selected
17231,Engineer,5,84,Selected
89518,Engineer,2,68,Rejected
116800,Sales,2,90,Selected
106231,Sales,1,47,Rejected
56342,Sales,4,85,Selected
2452,Sales,4,54,Rejected
71910,Sales,2,77,Selected
51724,Engineer,1,59,Rejected
102030,Engineer,5,43,Rejected
95811,Sales,2,75,Selected
12291,Analyst,3,67,Rejected
100554,Engineer,1,59,Rejected
107104,Sales,4,41,Rejected
105893,Sales,1,57,Rejected
69034,Engineer,3,44,Rejected
21046,Manager,3,56,Rejected
35482,Analyst,3,40,Rejected
88681,Sales,3,68,Rejected
41358,Manager,5,70,Rejected
90777,Analyst,2,72,Selected
96610,Sales,5,61,Rejected
106939,Sales,3,78,Selected
42255,Sales,4,41,Rejected
76930,Analyst,1,96,Selected
1966,Sales,2,71,Selected
23318,Analyst,4,62,Rejected
15832,Analyst,1,76,Selected
97851,Engineer,5,74,Selected
89065,Manager,5,66,Rejected
102199,Analyst,4,99,Selected
40997,Sales,4,78,Selected
89460,Sales,4,61,Rejected
11622,Analyst,5,49,Rejected
83974,Manager,2,47,Rejected
112331,Manager,2,44,Rejected
6387,Analyst,4,51,Rejected
71801,Engineer,1,96,Selected
68980,Sales,4,98,Selected
72268,Manager,4,78,Selected
105570,Analyst,3,61,Rejected
94737,Engineer,2,47,Rejected
69376,Sales,2,65,Rejected
64998,Sales,2,48,Rejected
41134,Manager,4,42,Rejected
11867,Sales,3,63,Rejected
34413,Manager,2,57,Rejected
26531,Sales,2,81,Selected
63071,Engineer,3,77,Selected
24555,Engineer,3,57,Rejected
116712,Analyst,3,69,Rejected
64104,Analyst,5,96,Selected
24745,Manager,1,98,Selected
29677,Analyst,2,56,Rejected
34792,Manager,4,58,Rejected
80604,Analyst,5,52,Rejected
55027,Analyst,5,88,Selected
93681,Engineer,2,69,Rejected
79523,Manager,5,87,Selected
42200,Sales,2,88,Selected
30497,Engineer,3,60,Rejected
22205,Analyst,3,46,Rejected
50127,Analyst,3,45,Rejected
112271,Analyst,2,80,Selected
72341,Engineer,5,90,Selected
10844,Analyst,5,88,Selected
119894,Manager,1,41,Rejected
89067,Analyst,1,70,Rejected
33739,Analyst,5,55,Rejected
28854,Manager,5,51,Rejected
45083,Analyst,4,89,Selected
23652,Analyst,3,92,Selected
111734,Engineer,5,62,Rejected
102603,Manager,5,49,Rejected
108675,Engineer,4,71,Selected
76729,Sales,5,89,Selected
115670,Sales,5,66,Rejected
83905,Analyst,4,44,Rejected
97229,Engineer,5,96,Selected
77197,Analyst,2,76,Selected
114038,Manager,2,64,Rejected
45089,Engineer,4,97,Selected
114553,Engineer,4,90,Selected
76635,Manager,1,44,Rejected
108655,Engineer,4,75,Selected
20250,Manager,3,71,Selected
114719,Sales,1,82,Selected
213,Engineer,3,71,Selected
107404,Engineer,3,81,Selected
9996,Sales,3,91,Selected
42897,Engineer,2,92,Selected
84579,Engineer,3,41,Rejected
37514,Sales,5,73,Selected
106943,Manager,1,74,Selected
10515,Analyst,2,44,Rejected
41887,Manager,3,41,Rejected
115888,Analyst,3,66,Rejected
72047,Analyst,1,69,Rejected
109743,Analyst,3,95,Selected
28768,Sales,1,86,Selected
31797,Manager,3,79,Selected
33946,Sales,5,85,Selected
41098,Engineer,4,61,Rejected
45187,Engineer,5,79,Selected
75153,Analyst,4,64,Rejected
49811,Manager,4,41,Rejected
83714,Sales,4,99,Selected
34334,Engineer,4,54,Rejected
68497,Analyst,1,76,Selected
9144,Manager,4,81,Selected
71159,Sales,5,64,Rejected
70634,Engineer,3,93,Selected
28029,Engineer,3,41,Rejected
102208,Engineer,3,44,Rejected
12278,Manager,2,56,Rejected
50355,Sales,4,71,Selected
112723,Manager,2,85,Selected
48356,Sales,4,51,Rejected
27730,Analyst,1,90,Selected
6751,Engineer,3,40,Rejected
60550,Sales,3,76,Selected
75580,Analyst,2,49,Rejected
98193,Manager,1,54,Rejected
113049,Engineer,2,54,Rejected
36281,Manager,5,59,Rejected
27656,Analyst,5,78,Selected
15191,Sales,2,82,Selected
21627,Engineer,4,40,Rejected
101562,Manager,1,44,Rejected
84396,Engineer,1,83,Selected
119149,Sales,2,92,Selected
96434,Manager,5,95,Selected
117151,Sales,5,67,Rejected
48299,Sales,1,64,Rejected
42767,Analyst,2,73,Selected
96430,Engineer,5,66,Rejected
61504,Analyst,2,83,Selected
34236,Sales,5,74,Selected
48660,Manager,2,45,Rejected
88260,Engineer,1,44,Rejected
28527,Manager,3,73,Selected
118074,Engineer,3,79,Selected
27679,Engineer,3,66,Rejected
110866,Engineer,1,55,Rejected
13113,Engineer,3,97,Selected
71130,Engineer,2,99,Selected
12546,Analyst,1,74,Selected
10778,Analyst,5,51,Rejected
61017,Sales,4,73,Selected
54798,Analyst,1,67,Rejected
107306,Sales,4,62,Rejected
49357,Analyst,2,86,Selected
12501,Engineer,4,64,Rejected
52424,Sales,2,50,Rejected
25233,Engineer,2,67,Rejected
44526,Engineer,1,70,Rejected
51869,Engineer,4,60,Rejected
83192,Sales,3,61,Rejected
97898,Engineer,2,64,Rejected
44309,Sales,3,44,Rejected
71694,Analyst,3,90,Selected
8887,Sales,3,51,Rejected
94036,Sales,3,76,Selected
67430,Engineer,1,85,Selected
113972,Analyst,1,47,Rejected
44461,Engineer,2,80,Selected
72585,Sales,4,96,Selected
76935,Engineer,3,78,Selected
84611,Engineer,2,79,Selected
28101,Analyst,4,83,Selected
38549,Sales,4,42,Rejected
44055,Sales,3,40,Rejected
83791,Analyst,1,67,Rejected
72933,Engineer,5,92,Selected
47258,Manager,4,93,Selected
19812,Engineer,2,56,Rejected
79713,Manager,2,96,Selected
55010,Engineer,3,53,Rejected
65909,Engineer,4,84,Selected
117048,Sales,3,45,Rejected
58764,Manager,3,44,Rejected
35551,Sales,1,87,Selected
111754,Sales,2,69,Rejected
31364,Engineer,1,68,Rejected
7911,Manager,1,63,Rejected
31562,Engineer,3,72,Selected
118135,Analyst,5,42,Rejected
60970,Sales,1,66,Rejected
32083,Manager,3,63,Rejected
80866,Manager,4,74,Selected
8247,Engineer,1,80,Selected
36032,Sales,4,42,Rejected
26970,Manager,3,94,Selected
87276,Analyst,1,59,Rejected
45121,Engineer,1,51,Rejected
74973,Engineer,4,72,Selected
29912,Sales,4,78,Selected
90491,Engineer,5,57,Rejected
9401,Manager,4,98,Selected
94267,Manager,3,62,Rejected
106101,Manager,5,68,Rejected
