employee_id,age,years_at_company,monthly_salary,job_satisfaction,attrition_risk
11535,38,20,82242,5,Low
40398,53,23,190075,1,High
1017,40,2,201866,4,Low
89790,41,19,46290,4,Low
55592,43,14,213064,3,Low
89813,31,22,212277,1,High
23248,26,11,88721,3,Low
24301,26,8,36069,2,High
74066,57,8,123747,4,Low
82799,31,11,106941,4,Low
9269,56,18,60072,5,Low
86808,28,1,75638,1,High
12186,44,15,57969,5,Low
63705,30,7,90748,5,Low
86780,39,5,151693,1,High
39100,44,20,90896,5,Low
8572,53,6,50061,1,High
38045,43,23,153935,2,High
51215,27,1,20084,1,High
61229,25,8,59901,3,Low
48985,57,22,104111,3,Low
40775,45,18,47015,4,Low
2569,33,1,187299,3,High
62593,30,23,129626,4,Low
67564,37,7,200396,1,High
2696,34,7,42157,3,Low
48191,31,9,222627,1,High
5259,30,7,119003,5,Low
87539,50,20,98854,4,Low
39505,36,10,137791,5,Low
33160,57,2,90370,2,High
13987,34,2,133056,3,Low
61859,50,11,183903,5,Low
12667,24,8,98326,3,Low
38661,59,16,74029,3,Low
3562,23,4,47471,5,Low
26855,41,0,182115,2,High
64506,42,7,60560,3,Low
52252,24,15,77046,2,High
22663,43,23,45594,3,Low
8393,24,14,121941,1,High
30536,26,11,116199,2,High
78604,58,19,182180,2,High
52257,45,2,106657,3,Low
89136,22,6,31804,1,High
35223,53,22,245575,4,Low
77374,57,0,184512,3,High
79576,54,14,249399,2,High
84652,46,13,54736,1,High
63336,35,16,245836,2,High
10966,41,8,102073,3,Low
24539,37,12,189458,4,Low
70593,40,19,186967,1,High
8111,28,4,138609,4,Low
79310,27,9,127032,2,High
27267,21,15,57165,5,Low
52993,23,15,216131,3,Low
82949,58,9,72817,1,High
6911,58,7,182228,1,High
207,54,6,28422,3,Low
87055,51,24,201541,4,Low
87898,28,16,166295,3,Low
23420,45,20,213434,4,Low
50637,48,21,234824,3,Low
50016,45,5,85768,1,High
54269,21,19,89771,5,Low
87940,36,0,88282,2,High
18142,23,16,189319,5,Low
80357,57,23,176284,4,Low
71911,34,15,123578,1,High
56045,34,18,103302,5,Low
67215,35,1,189218,1,High
33828,43,17,20930,1,High
55821,22,23,87881,5,Low
62624,48,0,129055,2,High
81735,59,0,128644,3,High
75451,31,14,38901,2,High
22300,47,10,208245,3,Low
43586,42,15,190381,3,Low
64045,34,18,67363,5,Low
42558,37,17,200444,2,High
49081,59,7,222031,4,Low
2694,22,13,100840,5,Low
69164,50,1,68509,3,High
25940,49,8,90123,4,Low
48926,59,8,203363,1,High
42942,40,6,233355,2,High
21835,52,18,219908,1,High
18048,21,10,65046,2,High
26106,55,18,127848,5,Low
75767,41,22,140430,5,Low
15708,26,20,149713,2,High
21977,39,22,98580,2,High
44263,55,6,43825,4,Low
23777,36,13,216827,1,High
30081,33,7,77635,3,Low
66843,34,14,47092,3,Low
61374,30,3,98769,5,Low
6777,33,18,115594,1,High
55017,52,2,124319,2,High
9475,50,4,20265,4,Low
58054,26,24,182966,4,Low
21960,33,21,206210,5,Low
5531,38,9,123681,1,High
3749,38,16,240049,5,Low
13546,43,12,89320,3,Low
66200,56,7,71190,5,Low
34767,48,14,155479,1,High
73531,26,18,137939,4,Low
61088,36,1,66861,4,High
68841,45,9,135563,1,High
54385,32,14,182789,3,Low
51006,48,10,213267,4,Low
46577,49,14,159229,5,Low
39354,47,7,99949,4,Low
62004,33,8,136880,4,Low
83212,36,15,91491,5,Low
52734,42,3,62165,3,Low
65319,40,6,38332,3,Low
89475,53,8,223092,3,Low
23665,27,15,158031,2,High
67173,56,4,221340,5,Low
85617,29,7,133184,2,High
26737,31,22,63285,2,High
855,45,2,74207,3,Low
38624,53,20,65165,2,High
7393,40,14,165053,2,High
55681,54,7,18101,4,Low
46718,45,12,131047,4,Low
87093,35,10,175732,4,Low
50860,47,22,86773,5,Low
26310,53,24,101925,3,Low
87456,51,9,214578,5,Low
63735,35,21,110749,4,Low
70468,33,17,161040,3,Low
52663,36,18,214746,5,Low
12689,50,4,210594,2,High
25343,37,24,216795,1,High
37158,38,18,226288,1,High
67864,41,14,159680,1,High
52084,52,11,70512,5,Low
65734,32,3,50806,3,Low
89046,21,3,44564,1,High
34699,33,13,92048,3,Low
80624,28,18,76123,5,Low
22672,34,23,221420,2,High
25185,36,6,28295,2,High
42108,39,15,33522,5,Low
86203,30,13,31983,5,Low
51664,51,4,211751,3,Low
15709,56,17,68823,2,High
49812,23,20,232357,5,Low
2812,22,0,34388,4,High
56251,57,8,21965,4,Low
72083,38,10,207163,5,Low
34755,34,5,91536,1,High
11412,22,16,112253,5,Low
2912,44,15,140534,3,Low
67271,22,7,17758,3,Low
83764,44,15,33673,1,High
8681,34,10,25544,4,Low
84897,21,8,105843,2,High
83880,31,24,170765,3,Low
71296,35,22,236272,5,Low
88615,28,6,66966,3,Low
11112,49,5,58200,3,Low
37505,50,16,166720,1,High
1803,45,0,81219,2,High
8156,23,11,200494,2,High
73657,21,22,184680,1,High
39385,47,16,208958,1,High
47255,44,5,19588,2,High
21919,44,14,191016,5,Low
85982,23,9,88026,3,Low
60714,21,15,62674,2,High
30307,27,22,54106,4,Low
16647,42,10,46765,3,Low
46844,31,16,139558,1,High
16372,24,4,117599,2,High
77372,38,2,196688,1,High
2050,31,9,128729,5,Low
31617,53,9,71413,5,Low
20933,22,8,47128,5,Low
29856,43,2,208241,3,Low
61435,45,2,237268,3,Low
72695,29,4,147856,5,Low
43017,40,2,92744,5,Low
7401,29,4,53531,4,Low
42643,35,24,29404,4,Low
15152,54,1,245594,3,High
51408,35,23,201621,3,Low
66691,53,4,110652,2,High
4500,42,7,90758,1,High
6296,56,0,109066,2,High
59041,33,24,162282,3,Low
12184,34,2,70029,3,Low
29300,35,5,138660,4,Low
12875,53,9,237482,5,Low
32712,23,1,146448,2,High
5540,27,15,148187,4,Low
53352,25,8,120596,3,Low
61268,46,1,178443,2,High
48355,57,16,71340,5,Low
2558,22,9,108820,2,High
38361,21,8,171694,3,Low
82019,24,6,72384,1,High
2201,48,14,129512,5,Low
68498,30,9,41162,2,High
46976,35,13,164054,1,High
21358,38,11,58952,1,High
77506,59,1,131236,2,High
2870,32,3,105322,2,High
61136,28,18,162908,1,High
50109,21,2,15542,1,High
38468,55,20,84768,1,High
23329,26,17,127332,4,Low
86832,36,1,167019,1,High
3988,41,10,224108,4,Low
58872,33,1,89857,1,High
22400,26,8,171930,5,Low
46215,59,22,63016,3,Low
86417,49,1,157998,3,High
70272,22,10,148505,5,Low
44065,24,21,150382,1,High
70092,40,2,153448,4,Low
40819,28,0,157980,4,High
45526,22,0,154639,5,High
19831,24,12,18133,2,High
17430,59,22,214981,2,High
6894,38,8,161692,3,Low
79910,53,16,29908,3,Low
47334,30,19,232178,2,High
3437,59,22,152823,2,High
74291,38,15,241792,5,Low
76214,39,12,195963,3,Low
5896,51,6,214026,5,Low
19739,35,7,158674,2,High
30747,59,7,198105,3,Low
49378,54,19,216403,2,High
48405,40,8,157596,3,Low
54046,52,7,167304,1,High
39791,48,20,33076,2,High
5601,46,12,237278,2,High
40765,59,2,102396,4,Low
74544,58,1,22802,5,High
45715,38,15,136986,4,Low
56836,31,8,29392,3,Low
73745,30,5,212810,2,High
56492,22,16,204045,2,High
18590,55,7,237057,1,High
43485,53,7,129594,4,Low
82990,34,17,158467,2,High
36213,29,3,50302,4,Low
43526,27,8,81854,1,High
47203,43,10,149464,1,High
32636,27,16,213380,2,High
63209,21,19,116999,2,High
33829,40,23,192366,3,Low
18712,55,12,226239,4,Low
3421,58,6,218528,3,Low
302,28,0,182960,5,High
45237,51,4,117443,1,High
66236,39,8,241271,1,High
54241,25,11,219745,1,High
65727,54,1,40220,1,High
10493,36,23,203174,2,High
6103,27,23,171140,2,High
50337,41,22,100250,2,High
85315,45,19,29136,3,Low
26642,22,15,28672,4,Low
34585,28,16,36877,4,Low
32746,39,18,65461,4,Low
23094,57,7,169045,5,Low
66106,39,10,208887,1,High
51886,21,6,133335,3,Low
36632,48,20,241362,2,High
72992,34,20,83269,3,Low
4015,43,20,123299,1,High
11094,28,5,83074,4,Low
18071,55,4,229246,1,High
35778,51,0,134323,1,High
56959,43,16,38413,2,High
82075,27,1,244512,2,High
10730,22,11,222625,1,High
45018,39,3,238916,2,High
66321,48,3,109216,3,Low
27752,58,15,117230,2,High
78070,56,2,213888,2,High
54749,53,9,182323,1,High
5802,38,8,226366,4,Low
19191,58,13,113166,3,Low
49690,30,9,193218,1,High
50994,46,5,219608,3,Low
29593,35,3,243361,2,High
10648,52,21,194728,4,Low
8717,37,20,81682,1,High
88892,21,8,159409,1,High
87546,35,4,167852,4,Low
89913,46,2,249942,2,High
70317,54,24,66474,3,Low
2369,24,23,139909,4,Low
77576,47,9,144847,4,Low
6656,27,4,150650,5,Low
70032,56,22,240491,2,High
76430,49,15,213845,2,High
87923,41,10,195861,3,Low
55767,35,9,71799,1,High
13404,27,23,130747,2,High
32098,48,0,181784,2,High
78658,29,0,238365,4,High
10967,50,22,131784,2,High
52922,52,19,156448,1,High
49727,33,23,171994,5,Low
50301,53,24,232055,4,Low
22678,22,16,57282,1,High
55610,40,20,78490,5,Low
56662,42,2,74434,5,Low
31025,55,14,119593,2,High
70314,46,21,94932,1,High
53007,23,13,175602,1,High
15339,41,3,96176,3,Low
68028,49,12,33944,2,High
80136,21,20,235508,5,Low
19509,41,6,168379,4,Low
3052,25,12,164760,2,High
48748,23,12,136721,2,High
87143,46,8,113920,2,High
87236,48,5,118215,1,High
54022,56,5,53381,5,Low
66413,55,5,118895,1,High
58336,41,12,237406,2,High
56180,43,0,37955,1,High
32094,22,1,69510,1,High
69679,25,12,148943,3,Low
80739,23,19,150328,3,Low
39735,29,15,235462,1,High
72616,42,20,102603,2,High
73524,40,20,152245,2,High
17020,56,22,146848,3,Low
83614,24,1,174582,3,High
86673,54,20,211628,1,High
73848,52,16,30552,1,High
82751,35,19,201189,4,Low
79635,35,11,21687,1,High
28252,37,4,50124,5,Low
25946,50,11,248102,1,High
32218,56,15,72066,4,Low
8309,33,12,244957,1,High
5950,26,14,238552,3,Low
51991,51,14,45672,5,Low
1151,40,8,92322,1,High
89481,36,7,187032,4,Low
74741,40,2,159223,3,Low
66618,22,17,133805,4,Low
16897,36,15,233381,4,Low
46176,55,6,176177,2,High
7806,39,8,17450,3,Low
5238,59,3,34282,1,High
20057,56,0,153365,2,High
45544,52,16,89131,2,High
56557,55,11,90753,4,Low
3344,24,3,139600,4,Low
13501,53,8,134459,5,Low
53223,26,21,170586,2,High
29376,52,2,233049,3,Low
9663,23,4,207645,4,Low
16965,41,5,82436,1,High
59639,46,17,236943,5,Low
73667,27,18,153825,4,Low
85068,59,4,101909,4,Low
67216,52,9,229083,5,Low
69043,57,13,92050,1,High
13285,35,21,36435,4,Low
72790,24,3,60609,1,High
84665,37,6,83538,5,Low
61390,58,2,93736,1,High
9436,38,17,181068,4,Low
54341,37,11,60569,5,Low
44079,34,21,174974,3,Low
78833,21,5,230831,2,High
51294,53,23,17924,3,Low
78782,37,5,145792,2,High
60404,52,13,71125,5,Low
29125,51,12,188626,4,Low
43920,58,12,177991,1,High
35248,59,14,245803,4,Low
62753,47,5,87320,4,Low
56574,37,10,87521,2,High
59102,50,19,145594,3,Low
26647,59,14,245317,3,Low
23050,26,19,178271,2,High
79606,31,13,46166,2,High
68386,26,23,178901,3,Low
40159,50,24,207623,5,Low
65418,38,9,28115,5,Low
23290,24,23,69524,4,Low
9824,52,4,243327,5,Low
60161,29,5,58111,5,Low
41976,23,20,126067,5,Low
9541,47,21,201828,4,Low
16365,23,14,65127,3,Low
4612,47,8,239498,4,Low
27664,56,13,142181,1,High
51992,33,4,103261,3,Low
57680,28,13,92074,4,Low
30978,34,19,219110,3,Low
49116,46,14,118829,2,High
88224,57,16,70141,1,High
60891,49,7,232043,4,Low
66388,23,22,242925,5,Low
18072,44,20,231669,2,High
59276,35,23,223887,2,High
72370,57,21,195954,5,Low
11939,34,19,117070,1,High
35196,51,14,243685,3,Low
4001,31,1,138118,3,High
70589,46,1,182969,5,High
38305,21,3,127032,4,Low
69450,45,3,249709,2,High
82987,41,4,145620,3,Low
89644,54,9,104654,5,Low
20765,23,19,230956,2,High
86028,27,13,71965,5,Low
38495,31,15,138851,3,Low
3374,51,4,22444,1,High
12162,46,9,107919,2,High
27351,43,17,164580,5,Low
25352,36,6,220678,4,Low
88669,39,19,178801,4,Low
15306,40,11,200687,3,Low
75354,30,6,63483,2,High
76798,42,20,156671,2,High
65954,43,15,166645,3,Low
57459,28,21,119676,4,Low
20359,59,2,170790,5,Low
3268,33,8,74279,2,High
82746,33,6,192891,2,High
89589,27,18,121255,1,High
38514,49,24,153136,2,High
26093,29,24,73990,2,High
11339,46,12,61518,1,High
413,26,8,55676,1,High
7544,53,20,202566,1,High
33497,49,5,60001,1,High
60693,39,16,103113,5,Low
89085,52,16,230797,2,High
44426,41,12,107915,1,High
38757,37,16,129603,3,Low
18889,54,23,106844,4,Low
35736,39,6,25963,2,High
47296,31,17,188216,4,Low
83043,56,5,183269,5,Low
86000,43,12,141625,1,High
17956,43,9,195484,4,Low
37842,54,18,159066,5,Low
70641,55,20,142179,1,High
65511,37,4,80318,4,Low
34912,33,10,32394,1,High
59032,52,21,182234,5,Low
88727,37,8,108395,4,Low
7358,26,18,74763,5,Low
32480,56,3,77704,4,Low
61477,45,2,199697,4,Low
44812,23,0,55764,2,High
36209,35,6,229530,4,Low
20151,38,11,78774,2,High
71181,30,10,249220,1,High
43287,25,20,96870,2,High
68451,58,9,26277,1,High
21353,41,11,157189,1,High
55070,21,8,36143,5,Low
14398,45,20,120053,3,Low
41556,49,4,137198,4,Low
46960,54,22,130790,5,Low
729,39,2,30852,1,High
50518,39,23,51290,5,Low
66235,56,13,249676,1,High
39955,32,21,136691,2,High
47281,52,11,78203,5,Low
79460,42,9,167240,4,Low
16780,21,1,86885,4,High
63933,21,20,179638,3,Low
72937,57,5,16700,4,Low
24467,44,5,206027,2,High
36940,33,18,29067,4,Low
69897,48,18,135630,3,Low
35271,53,17,117854,4,Low
59164,46,12,147895,3,Low
82638,37,5,132541,4,Low
51935,45,20,59704,4,Low
64896,52,24,24504,1,High
32308,22,20,136670,3,Low
54099,50,5,32563,5,Low
60922,34,5,79099,5,Low
5487,33,4,174300,1,High
8336,57,22,148995,2,High
86901,31,19,16253,5,Low
89113,29,14,39204,5,Low
11131,56,5,231766,1,High
87509,42,4,137793,2,High
60567,24,18,208414,2,High
66704,51,16,185041,1,High
27193,58,22,221813,5,Low
1063,21,10,175169,4,Low
84077,39,23,55455,1,High
89781,29,0,141778,3,High
21546,32,24,59301,5,Low
21690,59,15,195796,2,High
11175,54,15,120193,2,High
88462,31,17,227040,3,Low
9349,57,21,59212,4,Low
23715,37,5,244346,3,Low
38103,37,2,112188,2,High
74461,36,9,175947,5,Low
89931,43,18,50708,4,Low
6802,32,19,176446,3,Low
72268,43,13,31252,1,High
48137,39,13,247582,1,High
23626,52,13,120169,5,Low
82874,21,22,199532,2,High
72593,35,1,118286,2,High
77053,44,2,139573,2,High
44262,46,3,130365,5,Low
1543,44,12,188912,1,High
21678,30,0,85267,1,High
46733,26,12,145499,3,Low
50344,22,9,186299,2,High
39082,54,11,197271,3,Low
62857,38,7,63609,5,Low
88859,44,9,102509,1,High
19066,32,14,206766,4,Low
83461,44,22,224945,2,High
88093,28,12,128236,4,Low
54694,21,24,160594,1,High
26963,45,15,42553,4,Low
28296,30,11,34742,2,High
13808,56,13,38063,3,Low
42349,27,15,167469,5,Low
26433,49,24,231593,1,High
83286,46,15,135982,2,High
57855,55,0,99575,1,High
40263,52,8,182281,5,Low
37081,52,19,103248,1,High
1325,53,5,134731,2,High
35910,38,9,136029,4,Low
89340,59,12,180445,4,Low
19871,42,16,102812,4,Low
34579,35,4,103577,4,Low
72125,43,2,138713,4,Low
26791,57,10,113788,2,High
25290,33,0,141492,2,High
55130,42,16,22877,1,High
15486,42,20,112427,1,High
44483,49,2,68808,1,High
86189,23,22,43396,1,High
4749,39,8,17575,2,High
86770,56,1,129090,5,High
9436,59,6,111345,3,Low
3710,26,22,28161,2,High
30356,34,23,75739,2,High
55772,48,13,50453,4,Low
57800,51,11,109940,5,Low
13117,46,15,83840,5,Low
25471,26,19,217738,1,High
42345,23,14,204481,1,High
42919,29,20,168927,2,High
52225,23,22,50831,4,Low
39299,37,21,33963,5,Low
80220,47,23,198181,5,Low
61630,34,19,83883,1,High
66041,57,6,186503,2,High
28017,24,6,208583,4,Low
23961,28,16,151422,2,High
33592,31,10,145927,5,Low
82849,42,10,181136,3,Low
67642,53,7,17816,5,Low
36396,52,15,85243,2,High
22701,44,8,94043,5,Low
34621,22,23,70523,2,High
20560,51,18,191640,1,High
61643,27,21,136501,3,Low
76540,41,7,192759,1,High
21733,58,8,153242,5,Low
30355,32,4,111026,3,Low
13844,23,19,67414,2,High
71727,36,22,63828,5,Low
17641,42,6,67658,1,High
52529,31,5,156949,3,Low
38414,59,0,208496,5,High
52639,34,6,242676,5,Low
52737,33,1,63857,4,High
68867,36,2,146486,4,Low
19088,48,22,37414,4,Low
41431,27,2,16913,1,High
24505,38,22,53313,3,Low
7115,35,4,225828,5,Low
78860,38,1,230577,1,High
10976,31,10,126202,1,High
11024,31,16,170874,4,Low
21448,59,22,146131,3,Low
23960,37,10,133846,2,High
66204,26,21,211817,4,Low
29704,25,20,236695,5,Low
9338,53,5,120051,5,Low
46428,41,5,106021,2,High
61530,29,16,140700,5,Low
84666,53,14,42424,4,Low
31922,25,9,81810,3,Low
33308,40,23,147814,4,Low
27356,43,0,67671,2,High
4836,57,9,216516,1,High
20160,54,18,60109,4,Low
47606,36,0,214244,5,High
38089,47,1,77964,1,High
78753,24,10,240435,3,Low
55285,35,5,188300,4,Low
57044,40,4,171900,4,Low
35548,25,19,226332,4,Low
82845,36,9,229099,1,High
27533,54,11,143225,1,High
34350,34,1,201347,4,High
45446,47,5,60671,1,High
5714,22,8,58937,1,High
56179,49,15,125800,3,Low
49408,25,2,38364,1,High
70341,48,10,226002,3,Low
50991,22,22,123565,1,High
75673,54,5,214823,5,Low
65546,23,17,247181,4,Low
84792,42,6,151653,5,Low
58142,46,23,79552,2,High
23794,25,16,26152,3,Low
56571,24,14,98653,3,Low
37893,57,17,33883,5,Low
1016,53,21,150424,5,Low
61814,37,6,235373,1,High
27713,28,21,208064,3,Low
8416,33,7,18500,2,High
62293,46,3,219071,1,High
23834,55,0,174757,5,High
4159,47,12,159914,1,High
62681,54,12,109723,5,Low
20310,50,6,213887,4,Low
6971,47,10,194396,1,High
72475,45,10,189395,3,Low
86705,49,8,200232,3,Low
46541,44,8,232985,2,High
20385,37,23,232708,2,High
18018,22,9,241135,5,Low
75881,36,9,139938,4,Low
8703,23,11,31052,5,Low
385,43,24,66160,2,High
405,27,22,82610,2,High
40944,44,0,159353,2,High
47927,28,9,133683,3,Low
29190,41,8,31427,4,Low
12764,37,4,136077,2,High
18385,47,10,142238,1,High
60101,32,18,45144,4,Low
9861,45,24,103435,1,High
80643,59,7,191435,1,High
50613,51,12,202760,2,High
23575,50,13,191869,3,Low
23525,56,11,221330,1,High
69173,42,15,135835,3,Low
10917,35,6,28618,3,Low
4810,43,16,78572,4,Low
32202,54,24,234184,5,Low
53331,55,6,135264,4,Low
13457,40,2,196726,3,Low
56398,49,14,202885,5,Low
38766,48,20,57355,3,Low
34817,29,10,224551,2,High
45107,52,23,219704,5,Low
53933,28,5,69402,5,Low
17101,33,21,175796,5,Low
57092,54,4,196556,4,Low
21950,45,13,213717,3,Low
70081,31,20,80638,3,Low
37745,44,17,18925,5,Low
45544,24,14,48384,1,High
36188,55,16,201273,5,Low
7240,56,22,163174,2,High
14490,22,14,38982,5,Low
58018,50,4,237366,3,Low
61878,26,14,22467,2,High
43126,27,15,207352,3,Low
49923,33,19,137367,3,Low
32050,40,10,26855,4,Low
37132,25,20,147393,4,Low
42945,44,8,219759,2,High
73964,54,14,220326,3,Low
24286,43,11,85508,5,Low
37627,29,14,121717,4,Low
42809,46,20,219585,5,Low
88465,46,0,128359,1,High
53872,38,23,216589,5,Low
19199,56,19,248053,5,Low
19759,37,21,190352,1,High
15255,25,9,112493,2,High
44239,26,17,54830,4,Low
1253,54,14,166584,3,Low
39765,51,24,201599,4,Low
77710,57,23,57596,4,Low
37442,40,3,23580,2,High
53683,32,9,42360,4,Low
59495,31,14,91169,4,Low
81318,50,20,20921,3,Low
65216,34,10,58918,2,High
78588,41,6,136438,4,Low
6950,43,21,189359,2,High
55394,56,6,63109,2,High
73554,25,7,199566,3,Low
6942,23,5,205558,3,Low
25935,52,24,88937,2,High
23387,48,12,130921,1,High
61887,24,0,89395,5,High
75746,59,11,105666,4,Low
83252,46,21,120874,5,Low
53414,51,24,125999,1,High
56801,30,18,69142,1,High
42319,32,9,140926,2,High
70174,37,4,112263,4,Low
70391,28,2,196679,5,Low
52330,31,0,133531,4,High
43089,28,14,115922,5,Low
39812,50,6,144086,2,High
55480,39,17,168114,1,High
85393,38,0,70905,3,High
87370,28,8,54891,5,Low
19964,36,20,51055,4,Low
55124,46,24,188455,1,High
73478,41,10,167686,5,Low
14389,27,10,193728,5,Low
5570,22,17,38891,3,Low
69837,41,14,231160,3,Low
36587,24,17,15549,1,High
12016,46,21,141468,1,High
45003,41,24,233668,3,Low
6255,31,20,123593,5,Low
17145,32,15,54557,5,Low
24215,32,8,58745,3,Low
80720,48,12,69553,2,High
71775,34,6,100643,4,Low
6091,40,22,146586,1,High
11638,49,2,193182,1,High
22416,30,15,161625,1,High
24072,47,11,75713,5,Low
58244,53,6,229757,1,High
41241,56,8,52911,5,Low
83808,37,24,172102,3,Low
33435,46,15,38609,1,High
69725,28,16,147385,3,Low
75698,26,6,239894,4,Low
28733,52,21,219559,2,High
11315,26,13,22437,4,Low
23955,48,1,44114,1,High
57109,38,24,205695,1,High
87045,58,7,145077,2,High
87506,26,1,120849,3,High
36669,30,19,223028,3,Low
23062,33,1,120253,3,High
79253,59,16,26094,5,Low
39750,34,3,90178,1,High
16908,53,14,42681,2,High
18778,52,5,200094,4,Low
51746,37,3,92012,1,High
81819,37,6,189661,4,Low
23625,57,6,83667,2,High
23322,21,20,151050,5,Low
10489,21,2,33519,2,High
22575,44,2,119083,1,High
5241,40,21,170043,5,Low
43222,59,3,193958,5,Low
10479,31,23,19468,1,High
55646,45,12,48523,3,Low
19263,46,15,92661,5,Low
52797,55,21,82481,2,High
4433,48,16,195147,3,Low
64292,38,10,76384,2,High
79105,30,6,103030,4,Low
59400,46,13,168415,2,High
79715,38,5,201258,2,High
50429,54,4,178059,1,High
87732,41,0,66390,5,High
303,56,8,215344,5,Low
82559,48,5,137633,3,Low
56,37,5,44591,5,Low
8718,29,23,144502,4,Low
28700,43,23,249285,5,Low
73687,45,1,37332,3,High
67662,46,6,107983,3,Low
44248,42,1,67090,2,High
16749,38,16,245247,5,Low
4622,21,24,206107,2,High
15035,59,19,141571,5,Low
5127,34,5,234168,4,Low
5123,49,21,79316,4,Low
18031,35,2,101703,5,Low
82839,35,17,41358,2,High
84718,37,20,117178,5,Low
55659,37,22,99268,1,High
38639,59,17,195319,1,High
67068,47,5,143037,5,Low
88870,51,17,66227,5,Low
34675,57,3,27098,5,Low
35855,36,2,182946,1,High
46272,21,8,63512,3,Low
73689,35,12,234516,2,High
38519,26,20,74514,1,High
10268,52,3,235581,1,High
1063,57,16,207860,1,High
50449,36,10,23100,5,Low
6230,26,19,127040,4,Low
56794,31,19,130720,4,Low
47916,31,0,158294,2,High
4633,45,19,177063,4,Low
3597,31,21,216922,5,Low
6169,39,7,78389,5,Low
7562,21,18,217980,5,Low
73795,30,17,66830,1,High
82153,26,14,60556,4,Low
26735,51,1,125167,3,High
6372,36,4,244662,4,Low
26070,58,16,21870,1,High
79906,25,5,186389,3,Low
12911,31,22,191668,2,High
73480,25,9,115700,1,High
77736,32,23,88612,4,Low
81265,34,4,115042,5,Low
23276,30,22,140640,4,Low
72275,23,19,36648,5,Low
81450,40,18,187362,5,Low
60005,34,9,93256,4,Low
62982,46,4,37117,4,Low
84660,45,9,65742,4,Low
54554,39,0,152001,1,High
48448,36,12,104519,4,Low
34530,26,3,104062,4,Low
75704,26,3,96080,3,Low
76091,53,24,216975,1,High
17261,30,15,186302,3,Low
3813,47,6,149000,1,High
28025,42,5,229120,1,High
58657,37,13,205491,2,High
27286,49,24,130392,5,Low
1606,22,6,103396,5,Low
71159,44,0,114000,4,High
72304,44,23,21198,1,High
27140,54,24,112188,1,High
77150,48,24,86368,3,Low
56139,35,4,122340,2,High
76126,40,18,87967,3,Low
13919,45,22,62933,5,Low
85656,27,0,209481,4,High
27447,46,8,98660,5,Low
13047,27,9,28244,3,Low
24819,56,2,112371,2,High
4325,42,2,126765,5,Low
76324,32,8,73588,2,High
9112,49,16,224908,3,Low
38111,42,17,55501,2,High
16390,55,9,248284,4,Low
41428,46,10,40936,1,High
79580,29,16,177253,2,High
28747,28,1,15436,1,High
87887,21,10,104539,2,High
118,48,17,221722,5,Low
84472,40,21,137710,2,High
13235,47,2,201559,5,Low
53442,35,1,229983,2,High
847,22,22,163288,1,High
10955,34,11,54397,5,Low
79240,31,15,56397,5,Low
46515,22,11,211399,3,Low
88237,26,6,138459,4,Low
6470,47,5,242259,4,Low
30106,28,15,50242,2,High
42102,26,19,209621,3,Low
64324,38,12,85479,2,High
58068,48,13,15058,1,High
49377,42,15,138577,1,High
45588,27,5,47259,4,Low
36977,36,17,33452,4,Low
67585,29,12,132306,3,Low
78478,55,6,145529,5,Low
42534,24,19,166330,4,Low
