department,current_headcount,projected_growth_pct,future_headcount
Tech,89,20.9,108.0
HR,19,22.07,23.0
HR,240,5.05,252.0
Finance,292,9.38,319.0
Sales,246,22.24,301.0
HR,120,3.73,124.0
Finance,112,24.21,139.0
Sales,31,-8.24,28.0
Finance,217,8.63,236.0
Tech,104,20.17,125.0
Tech,56,16.79,65.0
HR,70,15.48,81.0
Tech,293,-3.65,282.0
Sales,12,-2.11,12.0
Sales,143,4.72,150.0
Sales,222,16.24,258.0
HR,226,22.28,276.0
HR,287,5.83,304.0
HR,113,6.9,121.0
Finance,132,7.71,142.0
Tech,101,-0.82,100.0
HR,64,-4.96,61.0
HR,229,-1.49,226.0
Finance,139,-7.14,129.0
Tech,191,9.24,209.0
HR,231,21.97,282.0
Sales,14,12.15,16.0
Finance,200,19.35,239.0
Sales,254,7.07,272.0
Sales,24,4.16,25.0
Finance,181,6.09,192.0
Tech,56,-6.0,53.0
Finance,35,-5.91,33.0
Tech,7,20.3,8.0
Tech,277,6.41,295.0
HR,130,-1.13,129.0
HR,203,-7.49,188.0
HR,246,8.95,268.0
Tech,242,14.44,277.0
Sales,105,-9.84,95.0
Finance,160,-4.82,152.0
HR,254,7.17,272.0
Finance,264,7.7,284.0
Sales,127,-2.84,123.0
Sales,201,13.19,228.0
Finance,247,-6.05,232.0
HR,89,12.67,100.0
Finance,145,23.71,179.0
HR,286,4.19,298.0
Tech,214,4.31,223.0
Sales,234,20.22,281.0
HR,57,9.65,63.0
Sales,35,0.9,35.0
Tech,292,19.95,350.0
Sales,58,8.83,63.0
Finance,32,16.1,37.0
Finance,137,21.31,166.0
Tech,241,-3.86,232.0
Sales,52,1.68,53.0
Tech,100,-7.99,92.0
HR,59,19.13,70.0
Sales,75,12.37,84.0
Sales,126,0.7,127.0
Tech,26,23.28,32.0
HR,284,6.44,302.0
Finance,294,13.76,334.0
Finance,292,8.06,316.0
Finance,108,14.28,123.0
Tech,46,-1.95,45.0
Finance,254,9.63,278.0
Sales,120,4.43,125.0
Finance,106,-8.91,97.0
Tech,224,18.39,265.0
Tech,6,19.17,7.0
Finance,250,6.53,266.0
Finance,60,-7.64,55.0
HR,102,-3.91,98.0
Tech,225,5.78,238.0
Tech,246,12.29,276.0
Tech,236,9.96,260.0
Sales,69,12.95,78.0
Tech,98,-7.19,91.0
Sales,5,0.61,5.0
HR,28,2.01,29.0
Finance,277,-7.33,257.0
Finance,163,8.93,178.0
HR,296,23.16,365.0
Tech,254,3.45,263.0
Sales,46,4.17,48.0
Sales,270,4.92,283.0
HR,254,-3.51,245.0
HR,274,22.69,336.0
HR,266,-6.48,249.0
HR,177,-4.04,170.0
Finance,44,11.07,49.0
HR,176,18.72,209.0
HR,106,6.95,113.0
Tech,104,19.43,124.0
Finance,33,7.75,36.0
Finance,272,6.52,290.0
Finance,111,-4.42,106.0
HR,241,12.1,270.0
Finance,295,24.33,367.0
Sales,169,-1.39,167.0
Finance,13,-7.09,12.0
Sales,195,-2.84,189.0
Sales,252,20.53,304.0
Finance,21,10.61,23.0
HR,65,-3.21,63.0
Sales,92,-1.05,91.0
Finance,271,4.01,282.0
HR,283,-3.22,274.0
Finance,258,3.26,266.0
Tech,261,15.46,301.0
HR,245,-3.76,236.0
Sales,170,-6.0,160.0
Sales,159,21.59,193.0
Sales,269,10.06,296.0
HR,201,1.21,203.0
Tech,156,21.12,189.0
HR,88,-6.72,82.0
Tech,72,14.05,82.0
Sales,172,2.52,176.0
HR,66,19.76,79.0
Sales,272,21.4,330.0
Sales,287,23.78,355.0
Sales,42,20.98,51.0
Sales,24,1.44,24.0
HR,199,21.67,242.0
Sales,267,-1.67,263.0
HR,252,11.25,280.0
HR,202,19.51,241.0
Tech,275,4.12,286.0
Tech,109,-9.83,98.0
Finance,182,17.27,213.0
Sales,277,-9.31,251.0
Sales,148,0.09,148.0
Tech,99,18.13,117.0
HR,295,3.74,306.0
Finance,249,7.13,267.0
Finance,222,3.92,231.0
Finance,84,19.71,101.0
HR,108,-5.14,102.0
Finance,208,14.33,238.0
Sales,261,14.85,300.0
Tech,141,19.75,169.0
Tech,265,-4.93,252.0
HR,11,-2.03,11.0
Sales,156,-4.9,148.0
Finance,171,-2.48,167.0
HR,123,-1.96,121.0
HR,273,22.22,334.0
Tech,229,12.22,257.0
Sales,188,11.48,210.0
Sales,282,8.1,305.0
Finance,198,13.81,225.0
HR,90,5.02,95.0
Finance,201,11.17,223.0
Finance,31,2.69,32.0
Finance,45,1.97,46.0
Sales,198,4.0,206.0
Sales,209,21.32,254.0
Sales,221,20.32,266.0
Sales,84,17.17,98.0
Finance,82,-5.04,78.0
Tech,106,-2.7,103.0
Finance,162,18.27,192.0
Tech,56,12.57,63.0
HR,273,10.86,303.0
HR,224,22.13,274.0
Tech,262,17.79,309.0
Finance,269,-3.08,261.0
Tech,298,18.57,353.0
HR,262,20.93,317.0
Tech,233,24.45,290.0
HR,178,4.58,186.0
HR,234,7.03,250.0
Finance,175,24.48,218.0
Finance,192,19.01,228.0
HR,212,18.05,250.0
Tech,164,-4.41,157.0
HR,172,18.29,203.0
Tech,90,7.42,97.0
Sales,262,-6.25,246.0
Finance,31,-1.4,31.0
Tech,271,2.08,277.0
Sales,225,3.97,234.0
Sales,58,21.23,70.0
Tech,6,-8.65,5.0
Finance,57,-2.26,56.0
HR,89,2.61,91.0
Tech,97,7.41,104.0
Tech,292,-2.34,285.0
HR,55,19.14,66.0
HR,169,14.57,194.0
Sales,233,-8.15,214.0
Finance,186,23.67,230.0
Finance,103,16.89,120.0
Sales,56,1.45,57.0
Finance,174,-1.03,172.0
Finance,107,-3.85,103.0
HR,91,13.58,103.0
Finance,181,18.02,214.0
Sales,64,-9.67,58.0
Finance,148,8.96,161.0
Tech,214,-3.7,206.0
HR,215,12.3,241.0
Tech,140,-7.4,130.0
Finance,236,-3.45,228.0
Sales,252,22.63,309.0
HR,209,8.22,226.0
HR,217,2.5,222.0
Sales,169,7.24,181.0
Sales,285,7.1,305.0
Tech,186,19.22,222.0
Finance,193,21.55,235.0
Finance,236,9.22,258.0
Finance,147,4.81,154.0
Sales,187,8.72,203.0
Finance,269,16.71,314.0
HR,95,-3.81,91.0
Finance,169,0.25,169.0
Tech,135,18.24,160.0
HR,226,4.77,237.0
Sales,259,20.53,312.0
Tech,229,24.72,286.0
Finance,258,16.85,301.0
Sales,61,21.08,74.0
Sales,92,10.1,101.0
HR,186,19.2,222.0
Tech,138,7.77,149.0
Finance,205,21.31,249.0
Finance,78,3.61,81.0
Sales,32,1.94,33.0
Finance,168,-6.5,157.0
Sales,119,2.25,122.0
Sales,150,13.9,171.0
Sales,134,-2.58,131.0
Sales,253,19.27,302.0
Tech,187,19.32,223.0
Sales,180,24.2,224.0
HR,123,-9.01,112.0
HR,241,1.4,244.0
Sales,55,8.1,59.0
Finance,151,4.78,158.0
Sales,69,24.58,86.0
HR,190,23.39,234.0
HR,125,4.37,130.0
Sales,174,-9.89,157.0
Tech,146,4.56,153.0
Tech,87,-6.55,81.0
Finance,13,-9.14,12.0
Finance,293,-4.5,280.0
Finance,192,5.97,203.0
HR,125,1.85,127.0
HR,169,9.96,186.0
Tech,83,-9.69,75.0
Tech,143,4.39,149.0
Sales,275,-6.98,256.0
Sales,197,-8.06,181.0
Sales,156,10.95,173.0
Sales,290,11.1,322.0
HR,200,23.28,247.0
HR,153,15.91,177.0
Finance,272,-3.29,263.0
Tech,167,12.86,188.0
Sales,63,-5.76,59.0
HR,169,-8.24,155.0
Tech,95,-3.87,91.0
Tech,16,-0.49,16.0
Sales,57,21.35,69.0
Tech,220,15.36,254.0
Finance,41,16.19,48.0
Sales,274,5.57,289.0
Tech,141,12.79,159.0
Tech,7,-6.27,7.0
Finance,50,11.94,56.0
Tech,275,5.61,290.0
Sales,215,17.51,253.0
Tech,132,13.91,150.0
Sales,38,11.7,42.0
Tech,32,7.57,34.0
Sales,102,4.24,106.0
Sales,82,20.47,99.0
Finance,44,3.45,46.0
Sales,175,0.25,175.0
Finance,224,12.85,253.0
Sales,144,-4.36,138.0
Tech,25,24.16,31.0
HR,183,15.48,211.0
Sales,95,3.97,99.0
Sales,232,19.61,277.0
HR,152,14.53,174.0
Sales,200,8.31,217.0
Finance,173,4.85,181.0
HR,284,-1.22,281.0
HR,145,9.42,159.0
Finance,145,14.31,166.0
Finance,213,-4.81,203.0
Finance,175,1.52,178.0
Sales,203,-9.25,184.0
HR,223,-5.31,211.0
Sales,82,18.71,97.0
Sales,167,23.68,207.0
Sales,51,5.42,54.0
Finance,203,-3.41,196.0
Tech,82,1.97,84.0
Tech,249,-5.03,236.0
HR,248,21.48,301.0
Tech,87,-2.07,85.0
HR,192,14.34,220.0
Tech,135,24.71,168.0
Finance,219,-4.79,209.0
Finance,35,-5.43,33.0
Tech,295,-2.31,288.0
Sales,275,8.52,298.0
Finance,200,5.89,212.0
HR,135,-1.65,133.0
Tech,277,-9.47,251.0
Tech,56,19.79,67.0
Sales,214,12.55,241.0
Finance,76,6.06,81.0
Sales,214,5.71,226.0
Finance,131,24.36,163.0
Tech,98,1.77,100.0
Sales,263,11.43,293.0
Tech,185,13.7,210.0
Finance,79,14.05,90.0
Finance,209,18.93,249.0
Tech,277,8.19,300.0
Tech,274,12.92,309.0
HR,251,-1.87,246.0
Sales,13,20.19,16.0
Finance,51,18.24,60.0
Finance,283,6.05,300.0
Finance,78,3.01,80.0
HR,173,-4.3,166.0
HR,209,21.41,254.0
Tech,74,16.02,86.0
Tech,78,-1.62,77.0
Sales,206,6.2,219.0
Sales,253,21.27,307.0
Sales,129,-0.11,129.0
Finance,119,4.52,124.0
Finance,51,-4.12,49.0
Sales,297,20.01,356.0
Sales,21,12.24,24.0
HR,194,11.36,216.0
Sales,236,7.72,254.0
Finance,77,-2.36,75.0
Sales,218,10.92,242.0
HR,33,-4.52,32.0
HR,258,0.54,259.0
HR,278,-1.66,273.0
Tech,132,9.28,144.0
Tech,286,23.37,353.0
Finance,104,-9.95,94.0
Tech,43,-9.03,39.0
Finance,119,2.02,121.0
Finance,104,6.87,111.0
Tech,153,3.68,159.0
Finance,190,-7.9,175.0
Sales,29,4.56,30.0
Finance,39,8.33,42.0
Sales,268,-4.17,257.0
Tech,256,11.2,285.0
HR,165,-3.95,158.0
Finance,5,7.24,5.0
Finance,32,-6.81,30.0
Sales,78,-6.1,73.0
Sales,259,-2.95,251.0
Tech,225,-6.23,211.0
Sales,46,-1.78,45.0
Finance,26,-0.13,26.0
Tech,262,-2.29,256.0
Tech,146,-3.94,140.0
Finance,127,-6.1,119.0
Sales,57,-0.57,57.0
Finance,25,0.76,25.0
Sales,62,-1.52,61.0
Sales,61,7.0,65.0
HR,213,22.2,260.0
Finance,198,10.67,219.0
Tech,55,-1.21,54.0
HR,147,4.22,153.0
Finance,293,12.41,329.0
Finance,77,-9.25,70.0
Tech,12,-0.88,12.0
Tech,188,19.57,225.0
Tech,248,3.27,256.0
HR,278,16.74,325.0
Tech,233,15.01,268.0
Finance,16,3.38,17.0
HR,81,23.19,100.0
HR,237,17.72,279.0
Tech,131,-3.8,126.0
HR,180,24.51,224.0
Tech,294,-2.33,287.0
Tech,56,-8.18,51.0
Finance,100,-7.62,92.0
Finance,286,3.91,297.0
HR,214,10.94,237.0
HR,120,23.18,148.0
Tech,244,23.97,302.0
HR,262,11.65,293.0
HR,274,-1.74,269.0
HR,83,-2.43,81.0
Tech,56,-7.08,52.0
Sales,151,3.27,156.0
Finance,37,2.48,38.0
HR,69,13.23,78.0
Sales,146,-7.68,135.0
Finance,269,16.04,312.0
Finance,48,12.72,54.0
Finance,269,23.29,332.0
Finance,219,-8.29,201.0
Finance,139,13.09,157.0
Tech,103,24.72,128.0
Tech,183,21.17,222.0
HR,172,1.84,175.0
Tech,95,23.48,117.0
Sales,162,16.86,189.0
Sales,122,-8.76,111.0
HR,91,18.93,108.0
Finance,131,5.99,139.0
Finance,97,12.78,109.0
HR,88,17.78,104.0
Finance,20,4.94,21.0
Tech,78,10.73,86.0
Tech,129,24.65,161.0
Finance,57,-3.41,55.0
Tech,110,7.33,118.0
Finance,18,17.42,21.0
Sales,132,-0.93,131.0
Tech,113,-1.11,112.0
Finance,253,6.5,269.0
Sales,201,7.13,215.0
Finance,44,10.29,49.0
Finance,68,0.91,69.0
HR,157,-7.03,146.0
Sales,151,13.34,171.0
Tech,40,1.35,41.0
Tech,23,23.54,28.0
Sales,265,14.77,304.0
Finance,33,7.46,35.0
Sales,275,-8.74,251.0
Sales,57,2.86,59.0
Finance,99,-1.42,98.0
Tech,26,17.57,31.0
Finance,39,13.85,44.0
Finance,107,17.76,126.0
HR,257,16.36,299.0
Sales,219,20.99,265.0
Tech,157,-7.37,145.0
Tech,120,22.16,147.0
Sales,60,22.25,73.0
HR,18,-7.46,17.0
Tech,105,10.23,116.0
Tech,215,17.31,252.0
HR,67,4.79,70.0
HR,232,8.29,251.0
Sales,71,23.84,88.0
HR,30,11.6,33.0
Finance,218,12.39,245.0
HR,38,8.12,41.0
HR,62,17.42,73.0
Finance,249,19.77,298.0
Tech,44,17.65,52.0
Sales,78,15.93,90.0
Tech,244,15.54,282.0
Sales,12,-1.31,12.0
Finance,283,0.32,284.0
Finance,66,13.23,75.0
Tech,159,-4.24,152.0
Finance,173,5.93,183.0
Tech,200,-6.35,187.0
Finance,60,-3.04,58.0
Tech,233,1.66,237.0
Sales,87,12.08,98.0
Tech,252,12.91,285.0
Tech,279,0.21,280.0
HR,295,6.29,314.0
Tech,162,-4.67,154.0
HR,213,22.15,260.0
HR,291,7.08,312.0
Finance,279,-1.0,276.0
Finance,23,20.92,28.0
Sales,244,16.99,285.0
Sales,271,-1.67,266.0
Sales,106,23.51,131.0
Finance,64,16.02,74.0
Finance,252,14.96,290.0
Finance,120,12.86,135.0
HR,193,-7.11,179.0
Sales,226,-4.24,216.0
HR,217,19.55,259.0
HR,160,14.67,183.0
Finance,228,-4.36,218.0
Sales,151,10.67,167.0
HR,122,24.57,152.0
HR,9,22.39,11.0
Tech,214,9.21,234.0
HR,243,13.37,275.0
HR,67,20.09,80.0
Finance,223,24.19,277.0
HR,59,8.36,64.0
Finance,127,17.01,149.0
Tech,131,23.6,162.0
HR,198,-4.55,189.0
HR,148,11.04,164.0
Finance,96,2.55,98.0
Sales,99,-4.49,95.0
Tech,30,1.38,30.0
Tech,202,5.59,213.0
HR,218,12.85,246.0
Tech,82,1.33,83.0
Finance,285,7.0,305.0
HR,113,-9.13,103.0
Finance,10,21.97,12.0
HR,293,10.16,323.0
Sales,14,17.02,16.0
Finance,76,12.75,86.0
Tech,88,-5.59,83.0
HR,43,14.91,49.0
Sales,53,-9.86,48.0
Sales,73,-5.3,69.0
Sales,90,16.86,105.0
HR,79,12.76,89.0
Tech,237,-2.41,231.0
Tech,104,-8.02,96.0
Finance,201,17.29,236.0
Finance,175,20.56,211.0
Sales,209,12.42,235.0
Finance,106,9.77,116.0
Tech,137,-4.11,131.0
Sales,275,7.21,295.0
HR,80,8.74,87.0
Sales,162,22.63,199.0
Tech,138,5.48,146.0
Sales,261,1.58,265.0
Tech,293,-2.51,286.0
HR,218,15.01,251.0
Tech,45,-2.22,44.0
HR,263,-0.95,261.0
HR,221,11.79,247.0
Finance,247,-0.59,246.0
Finance,180,-0.34,179.0
Tech,24,10.53,27.0
HR,29,-1.62,29.0
HR,278,6.07,295.0
Finance,180,17.19,211.0
Sales,188,15.23,217.0
Tech,179,23.4,221.0
Sales,91,22.68,112.0
HR,236,-1.22,233.0
Finance,140,16.91,164.0
HR,199,-7.83,183.0
Tech,60,15.63,69.0
Sales,297,2.6,305.0
Finance,69,14.53,79.0
Finance,8,24.69,10.0
Sales,24,-1.13,24.0
Tech,172,-4.97,163.0
Sales,29,-8.44,27.0
Finance,233,19.16,278.0
Sales,22,-7.91,20.0
Finance,72,17.87,85.0
Tech,49,-9.4,44.0
Sales,109,8.66,118.0
Tech,206,4.96,216.0
HR,246,-5.81,232.0
HR,97,23.3,120.0
Finance,149,23.51,184.0
HR,155,5.4,163.0
HR,288,17.03,337.0
Tech,45,-4.92,43.0
Finance,143,-8.14,131.0
Finance,207,8.11,224.0
HR,243,22.02,297.0
Finance,178,0.75,179.0
Sales,66,15.06,76.0
Sales,16,17.27,19.0
HR,21,22.78,26.0
HR,123,24.08,153.0
Tech,116,23.56,143.0
Finance,74,-2.25,72.0
Tech,105,22.13,128.0
Tech,27,17.83,32.0
Finance,233,-9.76,210.0
Tech,85,-6.03,80.0
HR,15,12.69,17.0
HR,140,20.96,169.0
Sales,79,2.26,81.0
Finance,138,5.66,146.0
Finance,27,-3.7,26.0
Sales,284,18.36,336.0
HR,79,12.43,89.0
Tech,272,5.68,287.0
Finance,134,2.13,137.0
Tech,284,-8.85,259.0
Tech,241,2.02,246.0
HR,184,12.46,207.0
HR,203,22.48,249.0
Sales,166,11.52,185.0
Sales,154,8.51,167.0
Finance,99,11.05,110.0
Finance,26,-9.33,24.0
HR,158,7.68,170.0
Tech,276,24.49,344.0
HR,159,13.23,180.0
Finance,187,24.55,233.0
Finance,113,16.04,131.0
Finance,134,-2.54,131.0
Tech,257,-0.58,256.0
HR,28,16.69,33.0
Finance,259,-8.11,238.0
Tech,205,9.91,225.0
HR,188,1.92,192.0
Finance,79,21.78,96.0
Tech,143,-0.51,142.0
Finance,78,11.11,87.0
Sales,162,-1.08,160.0
Sales,259,19.86,310.0
Finance,190,-6.67,177.0
Finance,211,-2.93,205.0
Finance,171,16.62,199.0
Finance,145,-5.44,137.0
HR,11,-2.21,11.0
Tech,132,-5.97,124.0
Sales,84,9.71,92.0
Finance,160,15.65,185.0
Tech,106,20.31,128.0
Sales,8,0.47,8.0
Sales,42,-5.86,40.0
Sales,54,18.33,64.0
Finance,269,0.71,271.0
Finance,54,23.32,67.0
HR,248,-1.38,245.0
Sales,224,18.81,266.0
HR,206,5.22,217.0
HR,219,-0.14,219.0
Tech,252,14.36,288.0
Sales,41,10.33,45.0
Sales,161,-3.41,156.0
Tech,171,24.09,212.0
Tech,162,-7.47,150.0
Tech,30,-6.66,28.0
HR,293,-5.98,275.0
Tech,117,-5.85,110.0
Tech,42,-7.95,39.0
Finance,42,23.03,52.0
Finance,252,22.38,308.0
Finance,212,10.47,234.0
Sales,17,-1.23,17.0
Finance,147,-9.66,133.0
HR,95,12.97,107.0
Finance,138,18.56,164.0
Tech,148,1.23,150.0
HR,248,-8.03,228.0
Finance,129,1.78,131.0
Sales,19,14.84,22.0
Tech,85,11.06,94.0
Tech,293,22.06,358.0
HR,162,8.15,175.0
Sales,214,12.62,241.0
Sales,143,-8.29,131.0
Sales,234,15.67,271.0
Finance,276,-0.72,274.0
Tech,186,9.25,203.0
Sales,108,0.89,109.0
Tech,187,10.99,208.0
Tech,288,19.98,346.0
Finance,56,19.78,67.0
Tech,223,6.61,238.0
Tech,30,18.21,35.0
Sales,47,-2.05,46.0
Sales,203,15.89,235.0
Finance,234,14.01,267.0
HR,26,16.45,30.0
Sales,236,6.54,251.0
Tech,60,7.56,65.0
Tech,53,19.52,63.0
HR,237,7.94,256.0
HR,19,6.25,20.0
Finance,252,-9.62,228.0
HR,11,3.39,11.0
Sales,286,-9.75,258.0
Finance,102,23.95,126.0
Finance,209,23.99,259.0
HR,236,21.71,287.0
Sales,183,-5.33,173.0
Finance,172,1.77,175.0
Tech,24,-8.35,22.0
Sales,273,3.16,282.0
HR,24,14.11,27.0
Sales,88,3.65,91.0
Sales,158,0.29,158.0
Tech,108,24.63,135.0
Sales,46,11.03,51.0
Sales,83,-8.51,76.0
Sales,247,17.77,291.0
Sales,141,1.16,143.0
Finance,230,17.4,270.0
HR,141,13.62,160.0
Sales,286,11.63,319.0
Tech,48,8.13,52.0
HR,171,-5.71,161.0
Finance,295,-4.07,283.0
Tech,48,10.1,53.0
HR,229,7.9,247.0
Sales,257,13.58,292.0
Tech,85,2.83,87.0
Sales,113,22.43,138.0
Finance,240,12.18,269.0
Finance,18,13.79,20.0
Sales,146,23.81,181.0
Finance,87,20.09,104.0
Sales,241,18.11,285.0
Finance,206,21.41,250.0
Sales,7,17.03,8.0
Sales,12,16.98,14.0
Tech,161,0.91,162.0
HR,78,-5.62,74.0
Tech,278,-6.66,259.0
Finance,80,21.85,97.0
Tech,80,17.54,94.0
Finance,142,-5.23,135.0
HR,96,7.48,103.0
Tech,261,8.53,283.0
HR,244,-0.3,243.0
Finance,116,6.74,124.0
HR,48,9.53,53.0
HR,246,19.77,295.0
HR,56,-0.5,56.0
Tech,285,-8.0,262.0
HR,175,1.49,178.0
Sales,41,7.56,44.0
Tech,242,11.58,270.0
HR,71,2.01,72.0
Sales,192,12.13,215.0
HR,236,23.3,291.0
Sales,148,0.39,149.0
Finance,268,-1.41,264.0
HR,99,16.85,116.0
Sales,254,3.07,262.0
Tech,122,6.7,130.0
Finance,161,-3.63,155.0
Sales,180,-0.86,178.0
Finance,123,4.99,129.0
Sales,215,6.87,230.0
Finance,9,-6.16,8.0
Finance,214,-5.6,202.0
Finance,294,4.11,306.0
Finance,40,-5.48,38.0
HR,129,-9.27,117.0
Tech,14,3.34,14.0
Sales,220,10.57,243.0
Sales,176,16.49,205.0
HR,41,5.27,43.0
Finance,40,2.6,41.0
Tech,218,-0.03,218.0
HR,119,7.33,128.0
Finance,255,12.77,288.0
Sales,258,24.55,321.0
Sales,222,19.62,266.0
Finance,65,8.38,70.0
Finance,294,-6.64,274.0
HR,196,8.58,213.0
Sales,240,8.5,260.0
Finance,57,24.15,71.0
Sales,188,-4.1,180.0
Sales,112,17.93,132.0
Tech,134,7.92,145.0
Tech,144,-8.72,131.0
HR,239,6.74,255.0
Tech,189,-7.57,175.0
HR,286,9.73,314.0
Tech,277,-0.41,276.0
Sales,87,11.03,97.0
Sales,77,15.5,89.0
Sales,55,3.05,57.0
Sales,293,1.56,298.0
HR,138,16.75,161.0
Sales,114,9.72,125.0
Tech,25,0.54,25.0
Tech,257,-7.25,238.0
Finance,71,0.6,71.0
Tech,149,-5.75,140.0
Finance,117,-8.27,107.0
Finance,10,13.81,11.0
HR,138,12.89,156.0
Sales,238,9.84,261.0
Tech,151,1.4,153.0
Sales,89,23.23,110.0
Sales,190,10.81,211.0
Sales,249,3.74,258.0
Tech,20,15.85,23.0
HR,267,15.92,310.0
Sales,114,-6.34,107.0
HR,15,23.61,19.0
HR,265,20.47,319.0
Finance,30,5.51,32.0
Sales,124,4.63,130.0
Sales,222,7.04,238.0
Tech,198,24.78,247.0
Sales,76,16.49,89.0
Tech,223,11.25,248.0
Tech,90,-8.9,82.0
Tech,100,0.97,101.0
Sales,182,4.8,191.0
Sales,57,7.64,61.0
HR,108,11.18,120.0
Finance,92,5.33,97.0
HR,215,-1.56,212.0
HR,144,22.82,177.0
Finance,91,13.19,103.0
Sales,209,1.62,212.0
Sales,234,19.09,279.0
Sales,94,5.94,100.0
HR,184,-0.55,183.0
Sales,255,12.78,288.0
Sales,285,13.26,323.0
Finance,223,5.3,235.0
Finance,66,18.08,78.0
Sales,203,19.79,243.0
Sales,66,12.74,74.0
HR,194,1.8,197.0
Sales,161,12.95,182.0
Tech,206,-8.94,188.0
Tech,172,23.12,212.0
Tech,133,7.87,143.0
HR,115,9.43,126.0
HR,247,-8.79,225.0
Tech,87,4.77,91.0
Finance,262,-7.12,243.0
