employee_id,base_salary,bonus,stock_options,salary_revision_date,total_compensation
48989,87196,14615,152232,2020-11-22 12:46:01,254043
55118,87446,40561,152336,2019-09-25 08:25:37,280343
30427,52012,19106,33169,2024-07-09 18:59:55,104287
11510,36905,29595,43557,2018-07-06 06:13:48,110057
17362,79404,30778,85074,2021-10-10 16:45:31,195256
45914,142638,39034,16034,2024-02-19 08:40:59,197706
10032,71451,18371,31017,2021-05-31 15:29:52,120839
50176,27917,26592,118386,2021-06-29 12:51:20,172895
3571,90299,28601,130955,2019-08-21 15:21:44,249855
33309,109065,46322,87089,2019-08-06 13:50:29,242476
34908,132461,221,34469,2018-11-19 14:29:44,167151
54604,146828,39450,14877,2024-09-29 08:51:56,201155
39310,80789,31253,29209,2020-02-18 20:10:07,141251
55748,108362,34343,181813,2023-06-23 04:14:27,324518
27109,136103,10442,174375,2021-07-04 01:22:06,320920
25859,70634,25264,133419,2019-06-22 19:22:32,229317
21167,116025,7660,34697,2020-11-06 11:56:54,158382
13272,59769,26295,67024,2022-03-11 14:34:15,153088
44258,90900,1544,142076,2018-10-28 21:57:21,234520
35319,29007,49276,7039,2022-09-24 05:17:30,85322
1757,56858,21828,37423,2023-05-26 17:22:46,116109
14606,102312,29257,24534,2019-05-14 02:37:47,156103
13293,148024,48949,65624,2021-10-14 13:51:48,262597
11861,116336,14787,168025,2019-04-28 23:29:21,299148
47597,82199,19905,90423,2022-10-01 01:29:59,192527
23638,137330,22942,148753,2018-05-12 13:27:51,309025
29825,120809,38957,165213,2024-02-25 20:50:01,324979
35874,53338,19395,69072,2022-04-16 22:41:59,141805
13663,148741,29057,94972,2024-01-16 05:07:57,272770
49737,108566,31064,6216,2018-09-07 22:18:25,145846
42260,103212,36301,97681,2021-10-07 01:37:14,237194
23141,85639,49029,172530,2022-02-04 17:36:18,307198
21348,110903,30781,150502,2021-02-10 21:29:40,292186
21148,147816,26545,108859,2021-03-20 07:23:32,283220
32013,43732,31627,30203,2018-12-16 13:34:07,105562
43474,126162,44428,6719,2019-10-28 22:56:19,177309
52583,32124,18279,128960,2023-06-11 08:55:29,179363
27291,57130,2250,191654,2021-12-09 05:34:25,251034
20136,32247,20256,105299,2022-04-18 18:02:51,157802
26885,50476,20415,65826,2024-03-01 00:51:20,136717
35575,116974,13149,35175,2018-11-09 08:11:49,165298
21292,72429,36377,114146,2018-05-18 11:54:28,222952
3803,63804,38254,106966,2022-01-07 04:56:25,209024
4214,83721,27441,63033,2024-12-26 16:16:19,174195
43751,56656,24003,186211,2019-10-06 02:38:54,266870
34730,103080,26211,194563,2020-07-18 08:33:49,323854
26870,98267,44054,109754,2018-06-11 17:35:18,252075
17078,129303,21748,159725,2019-05-10 09:42:37,310776
31227,83431,5880,111770,2023-04-05 13:57:53,201081
56150,38762,43081,187531,2021-04-17 07:06:05,269374
1655,148250,16595,5507,2018-01-04 03:23:07,170352
23389,119706,3893,169638,2021-11-04 06:04:49,293237
53305,63177,16898,134872,2021-02-26 20:24:43,214947
17768,72753,29756,129354,2021-03-07 15:23:07,231863
55249,149101,15613,84918,2021-01-12 22:51:09,249632
40351,68758,45783,33362,2018-11-26 05:26:38,147903
59265,62442,44922,1270,2024-06-10 01:27:53,108634
19038,32423,6677,30292,2021-07-18 23:33:52,69392
57025,45266,24559,130126,2019-09-10 21:07:36,199951
32722,108788,26535,108764,2023-01-11 18:35:19,244087
52747,120632,11974,3747,2023-01-12 02:39:28,136353
17936,100520,25967,41698,2020-06-20 11:14:28,168185
19762,84628,37099,172929,2023-09-13 01:52:49,294656
22033,76446,1720,187189,2022-12-22 18:08:53,265355
1335,90586,7781,111408,2022-10-13 21:33:29,209775
8838,113812,33784,169995,2023-06-21 00:06:37,317591
9283,62952,6158,46773,2020-10-07 10:18:10,115883
49905,36257,18955,55717,2022-10-13 01:11:26,110929
31892,70316,22394,164616,2022-07-19 10:14:26,257326
58626,76967,49948,66714,2019-08-16 09:42:47,193629
10174,53849,1827,20262,2020-03-14 12:07:05,75938
13675,94527,31683,138621,2023-02-06 21:31:48,264831
12749,142794,16848,112073,2018-09-02 11:14:58,271715
11165,145713,36557,191344,2021-09-06 15:07:55,373614
9614,109967,11407,70762,2020-08-07 06:43:21,192136
13676,136927,43530,71971,2020-12-19 06:55:52,252428
17565,86351,41368,130326,2020-12-04 09:20:40,258045
28708,53999,11619,190980,2024-03-13 16:48:18,256598
38003,35323,7690,11194,2021-07-22 19:23:26,54207
21616,74617,45373,171511,2023-05-17 01:12:47,291501
4881,42486,41053,154268,2023-04-27 06:38:55,237807
39930,122993,25688,150737,2020-08-22 01:00:00,299418
13230,128051,8602,186566,2018-01-23 19:18:14,323219
48855,101616,38048,137909,2019-06-15 18:39:27,277573
55675,53877,2668,99150,2018-12-02 07:49:29,155695
7511,141521,9841,94404,2021-01-07 03:27:13,245766
48984,33677,22468,175993,2021-06-21 22:50:45,232138
46526,41723,36078,44742,2021-12-04 13:17:44,122543
44269,149605,2346,99209,2023-06-08 20:49:52,251160
4632,137415,11523,10748,2024-09-14 00:24:04,159686
4748,45388,44428,6671,2023-02-23 01:55:25,96487
23828,144194,16882,34968,2018-04-06 19:15:30,196044
56675,39340,44295,107141,2023-04-30 00:32:17,190776
36781,101326,44797,75786,2019-10-25 15:53:47,221909
58034,84726,49748,135170,2024-08-19 01:45:01,269644
3917,71539,44282,132606,2018-08-06 16:04:22,248427
30397,33376,33910,151212,2019-01-12 00:24:35,218498
56835,45604,27037,113877,2019-10-25 23:50:48,186518
8471,107279,6914,44928,2023-12-02 23:09:00,159121
44062,36557,31529,4917,2018-02-11 13:08:22,73003
28871,31430,42912,20532,2019-05-16 04:22:07,94874
29308,95230,5294,120209,2020-05-19 03:38:25,220733
14070,84746,36953,21548,2022-08-22 03:15:24,143247
25461,91841,29332,102286,2024-07-25 00:24:12,223459
28430,53438,6633,74891,2018-11-19 23:49:53,134962
20136,26548,21447,155294,2021-11-08 09:30:21,203289
27788,49187,48186,31858,2023-03-08 00:41:56,129231
46837,52861,27989,158359,2021-05-01 23:12:33,239209
43625,52762,45669,70866,2021-09-07 04:53:33,169297
57529,84055,18450,89218,2018-08-05 22:20:43,191723
6005,136004,32101,77440,2020-04-27 01:25:40,245545
21828,122653,21598,41123,2019-10-12 11:13:30,185374
40594,28463,17141,51280,2024-12-19 03:13:37,96884
43424,95926,1409,94820,2023-06-21 22:52:30,192155
28637,61651,5186,129508,2024-12-03 12:48:49,196345
39732,40376,13478,8776,2018-06-21 12:25:43,62630
41547,77101,3599,125713,2022-01-21 04:34:01,206413
19635,148790,4175,133419,2018-07-27 22:06:11,286384
6945,114595,34357,10081,2018-10-30 16:11:42,159033
57016,143709,21226,106019,2024-03-14 21:31:56,270954
39430,77693,24987,174219,2020-06-22 04:25:42,276899
3226,37890,31270,170674,2018-05-16 14:51:43,239834
2794,100112,29780,94823,2018-10-13 07:38:32,224715
38312,80347,8331,83319,2019-11-11 01:42:45,171997
46172,30559,29008,40566,2019-12-08 11:29:35,100133
55901,114474,24589,19576,2020-08-19 17:31:28,158639
58364,115256,17288,33195,2020-08-17 22:32:51,165739
42428,106413,35456,17146,2023-11-08 04:50:45,159015
24888,91699,39205,119888,2023-03-23 09:28:53,250792
46928,52412,8903,164337,2020-01-27 13:52:15,225652
53936,45683,42484,35537,2020-08-04 10:23:04,123704
30171,119260,3507,71295,2018-04-27 04:17:54,194062
58331,34943,27317,182632,2020-07-19 22:39:36,244892
14594,59024,30139,86044,2018-09-01 12:18:44,175207
58442,64821,34408,11987,2021-11-09 09:16:22,111216
42986,95452,12088,134692,2020-08-02 00:18:05,242232
23752,41233,48776,57601,2021-04-17 12:58:36,147610
6966,66366,43704,152003,2018-02-08 09:13:06,262073
54930,68924,1391,166868,2021-08-02 11:09:56,237183
43148,130900,31174,38558,2022-08-03 14:55:35,200632
22054,60540,5744,117399,2020-07-06 01:09:30,183683
30316,57320,12116,149949,2019-01-17 19:35:14,219385
32885,45173,302,100852,2019-04-10 08:58:50,146327
23346,87937,33877,181022,2024-04-21 23:47:04,302836
7779,71696,47969,60346,2020-01-16 01:41:54,180011
36225,74647,24251,29300,2018-01-01 06:25:47,128198
824,74634,47975,179422,2022-06-05 05:54:28,302031
6821,92997,32977,151925,2020-12-06 14:31:45,277899
31520,139633,67,91836,2019-04-29 14:02:59,231536
30939,84373,47464,176097,2022-11-17 19:59:49,307934
53630,29105,4816,48780,2024-11-12 20:17:21,82701
45593,59546,38694,135489,2021-02-12 21:51:57,233729
568,46486,43725,36061,2018-11-15 14:02:41,126272
35877,104758,34388,117857,2023-11-16 20:26:16,257003
49603,112784,29441,109997,2023-04-08 19:42:45,252222
39241,55237,10774,16134,2022-04-03 09:11:53,82145
21666,86014,10272,19729,2021-10-04 13:04:52,116015
3898,148801,37050,84295,2020-10-10 13:32:03,270146
48407,40217,43288,162223,2019-12-28 03:42:49,245728
22102,140499,26465,69765,2018-07-13 02:49:24,236729
24728,115786,5827,105247,2023-02-02 09:21:24,226860
29977,42750,15264,82488,2022-03-16 07:07:36,140502
25436,123343,5403,41109,2020-07-06 19:29:07,169855
59958,108806,16415,54889,2020-06-10 04:02:51,180110
40200,148296,27253,74895,2021-11-16 08:42:29,250444
3086,48559,23657,185964,2018-05-29 11:14:50,258180
59394,76801,44860,160793,2019-01-03 18:12:15,282454
16356,123591,17727,64219,2022-10-18 01:22:12,205537
34372,136434,35600,197205,2019-06-02 14:13:02,369239
29456,51725,2576,97847,2020-11-15 17:36:32,152148
55862,76516,5047,173824,2024-09-12 15:02:25,255387
34400,116872,4976,59771,2023-12-09 19:33:59,181619
21117,105714,22525,148693,2019-04-03 23:39:01,276932
39788,98282,1360,34338,2021-12-08 15:32:16,133980
44830,140475,31386,144252,2019-01-23 17:26:18,316113
9687,78931,4532,160657,2023-12-13 09:25:15,244120
15560,147446,26361,53094,2024-04-16 22:44:10,226901
35678,30052,18337,183625,2020-11-20 19:23:02,232014
23516,72077,34663,73309,2021-05-22 01:24:12,180049
10175,140917,9126,96920,2024-09-05 11:58:19,246963
4837,101230,26803,150221,2019-11-08 08:48:20,278254
4819,79749,46552,193346,2021-07-16 17:04:27,319647
22179,93341,33787,182655,2019-01-16 17:02:26,309783
10405,56647,44777,38495,2024-03-15 17:32:31,139919
35292,69783,49365,1661,2024-10-29 08:47:56,120809
54908,58038,20544,195516,2018-05-25 02:51:19,274098
33185,135148,38242,195717,2023-06-13 09:59:23,369107
43510,43434,6934,188797,2022-11-18 18:50:18,239165
25228,138488,39024,175842,2020-06-27 09:56:16,353354
29605,77647,13640,133251,2022-02-15 21:09:52,224538
37697,148566,3067,39588,2022-07-30 03:21:10,191221
39041,70568,46856,105114,2022-05-30 11:04:24,222538
14208,62804,6635,139904,2018-04-28 07:55:22,209343
41217,132285,47576,36360,2021-03-13 02:53:47,216221
35386,33159,6066,131407,2024-09-04 18:48:57,170632
43373,111621,8787,122870,2018-12-09 04:26:55,243278
29724,128878,41320,39083,2021-02-02 08:39:29,209281
47067,127564,31087,147842,2018-01-04 01:13:30,306493
25853,143063,18858,95533,2018-01-05 17:39:10,257454
25579,71606,29209,72383,2020-04-09 13:51:17,173198
23139,83186,42724,43086,2023-06-15 18:15:26,168996
53571,71389,28973,190104,2021-07-15 10:03:51,290466
36428,129573,3556,3671,2024-12-22 22:20:00,136800
49329,124541,46585,5159,2021-07-10 08:04:20,176285
58756,55207,31177,19404,2023-09-05 08:37:33,105788
7288,86089,40958,25596,2023-04-11 22:33:54,152643
44395,97280,15454,176956,2020-04-05 09:29:23,289690
28804,41190,2461,137520,2021-07-27 09:45:00,181171
31646,59402,4065,130721,2020-12-17 19:07:13,194188
19563,46437,22726,158872,2019-10-26 22:40:56,228035
3260,74927,17755,13777,2020-04-25 05:10:13,106459
12391,71887,19802,130372,2019-07-16 09:35:07,222061
37221,62763,40773,100258,2020-02-11 23:33:37,203794
41736,66698,28386,157217,2020-04-15 06:39:24,252301
31342,106422,9128,119345,2023-09-21 12:04:35,234895
14836,42928,38672,103408,2019-04-01 18:46:39,185008
33950,55451,41505,199160,2023-11-16 05:11:22,296116
9356,85312,22963,42596,2023-12-03 04:10:36,150871
20099,28711,26468,87560,2021-03-10 22:36:09,142739
31391,147770,33613,85371,2023-03-09 19:15:53,266754
43543,49680,14428,144575,2019-12-19 16:22:40,208683
21014,113272,42587,172505,2020-03-16 18:37:09,328364
35152,68669,46056,134003,2024-12-30 01:27:27,248728
46075,62751,11287,115735,2018-12-16 09:13:12,189773
36165,85023,31230,194340,2022-01-09 06:52:21,310593
22484,34045,41870,196238,2023-06-08 02:58:50,272153
12824,129540,23722,34723,2023-06-09 09:25:25,187985
4749,69812,14151,3081,2019-06-18 13:56:48,87044
14952,130681,31127,2613,2021-07-26 11:03:29,164421
42399,32519,24392,167989,2024-02-15 19:16:50,224900
7816,33743,20265,125112,2018-04-01 14:10:21,179120
20498,55067,3397,99835,2019-01-01 06:37:11,158299
51345,136498,41057,157206,2024-07-27 13:26:37,334761
27290,79384,25844,141448,2020-01-30 05:24:39,246676
57313,116030,28374,83795,2018-12-23 13:15:03,228199
3677,33745,31281,105834,2024-12-17 15:33:51,170860
58161,98659,36391,164987,2019-11-15 09:38:39,300037
8011,88231,32437,28142,2018-05-01 05:18:43,148810
43795,28072,7660,142191,2018-11-28 00:08:22,177923
35592,139854,36962,152795,2018-12-12 06:50:00,329611
396,133252,48047,73203,2019-06-04 14:06:08,254502
8189,101128,6054,113247,2018-12-11 13:35:33,220429
23292,42184,38164,76207,2024-08-23 20:29:09,156555
44532,28061,41421,167734,2024-03-18 11:51:47,237216
32556,66661,28474,24201,2021-03-20 09:11:16,119336
29190,36347,37665,188340,2021-10-08 14:26:33,262352
36125,87305,48649,151041,2024-04-13 00:53:24,286995
11310,94588,24252,113262,2022-06-09 05:47:35,232102
35381,116351,31977,9150,2024-10-28 18:56:46,157478
55177,54838,45620,27062,2020-04-11 02:10:09,127520
22055,29479,13268,105796,2020-07-15 03:29:15,148543
2466,116802,7147,19433,2019-08-26 16:06:16,143382
2562,51301,21931,152381,2019-03-10 14:09:39,225613
49643,60952,25917,27539,2020-03-18 06:35:57,114408
15043,42748,18761,165207,2019-12-24 05:05:47,226716
50493,91357,21370,172238,2022-01-24 20:16:46,284965
23772,73628,6228,141248,2023-12-18 08:03:46,221104
9374,37102,14171,65769,2018-03-15 14:45:41,117042
57655,55649,242,75713,2024-06-28 17:51:24,131604
37162,140414,10705,88440,2021-08-28 05:22:08,239559
59728,58538,3302,39565,2024-10-29 20:54:43,101405
1955,86345,42836,60654,2018-11-01 19:43:47,189835
2015,60120,23337,121950,2024-11-10 22:57:28,205407
26394,149407,39008,31284,2019-10-08 01:36:27,219699
5362,132987,3247,94645,2023-08-25 21:23:17,230879
39801,52107,1646,93480,2019-01-23 20:36:16,147233
20369,83431,35355,199697,2022-12-14 09:43:30,318483
47749,136950,32083,6132,2019-02-13 00:50:59,175165
53667,147286,13762,138435,2022-04-10 04:13:15,299483
7206,98757,15218,161440,2018-03-01 08:08:37,275415
35254,129359,25692,100248,2020-09-03 06:11:12,255299
55189,67495,2710,56627,2021-06-02 00:34:40,126832
31112,26560,34153,10700,2022-05-12 14:41:40,71413
42870,100843,20568,2783,2018-06-03 04:01:45,124194
17149,65887,19240,111432,2022-03-28 05:47:07,196559
38922,48500,5436,164834,2023-09-19 16:55:44,218770
25486,75102,11198,26679,2020-03-25 14:28:01,112979
27874,91944,29064,121292,2020-02-05 01:43:24,242300
47649,80753,1964,87741,2022-04-15 04:28:06,170458
38860,94247,42692,194262,2022-03-02 19:29:53,331201
16969,29164,14237,47059,2019-07-22 01:06:08,90460
16373,87921,18726,125714,2022-09-07 22:18:32,232361
9612,127273,4848,44517,2023-01-09 05:04:12,176638
33350,90905,27932,95031,2023-04-17 18:42:45,213868
2424,49654,38762,101016,2022-04-30 09:26:35,189432
7105,117883,38217,48945,2022-03-09 06:55:38,205045
17788,70025,19286,169771,2022-10-02 15:43:45,259082
39369,81387,6777,193825,2018-11-06 18:50:41,281989
34845,58308,26645,5583,2024-09-15 14:34:35,90536
47904,45148,25364,67626,2022-01-13 05:48:41,138138
2260,131541,19311,194685,2020-04-14 14:00:13,345537
5608,114680,28589,39157,2024-04-15 10:42:46,182426
54406,77329,5945,196135,2024-11-30 10:03:13,279409
16600,127526,48458,49814,2019-05-04 22:56:40,225798
19865,128598,43792,48023,2022-03-10 16:42:40,220413
12593,119027,13185,71592,2018-02-23 06:36:44,203804
317,121632,27372,115884,2021-12-22 14:59:34,264888
44295,117987,34044,179590,2019-07-15 14:23:41,331621
12785,71340,33417,107921,2023-02-08 18:55:41,212678
33650,63675,31547,129626,2022-03-16 06:09:12,224848
53684,36641,35871,106028,2024-11-16 06:38:31,178540
34315,104803,24426,63783,2020-02-28 02:21:05,193012
56678,120803,46614,15934,2018-01-11 19:29:12,183351
56194,43090,31298,199647,2020-07-18 11:32:21,274035
1280,49514,19177,193904,2024-01-01 17:37:37,262595
23200,46321,4541,14305,2020-08-08 13:43:29,65167
29472,60080,10849,77386,2022-06-25 15:56:41,148315
35757,131041,49718,123405,2019-07-12 12:04:25,304164
21079,38916,300,122856,2018-04-12 13:55:16,162072
11253,34131,22043,155269,2020-05-06 02:20:10,211443
53316,36272,13590,89834,2020-12-24 23:49:50,139696
7560,61588,26576,198632,2024-12-26 08:48:10,286796
23613,99442,10815,104438,2024-10-22 13:03:05,214695
19998,109817,11719,2117,2022-08-04 15:29:04,123653
40465,88010,35261,122749,2022-10-16 15:48:03,246020
16109,100598,47245,171477,2023-01-29 10:19:53,319320
14104,120334,1903,195969,2022-09-22 10:36:57,318206
34861,30516,17747,176549,2021-04-04 07:01:03,224812
46015,25140,41690,120754,2021-07-01 16:38:28,187584
48291,116349,40367,169081,2019-02-15 15:09:27,325797
59028,58208,1263,106120,2018-07-06 03:03:23,165591
47601,92706,9610,13144,2018-12-08 18:25:25,115460
131,127953,26816,74534,2024-10-08 17:23:12,229303
18637,117479,29135,43271,2024-02-02 09:55:01,189885
3559,106208,46056,52209,2020-01-26 07:19:42,204473
26432,90894,27707,109247,2024-06-23 08:17:26,227848
44050,98400,32907,88814,2021-04-25 00:34:18,220121
32004,92725,37786,152749,2021-11-02 17:35:51,283260
300,26120,28958,189915,2020-06-26 20:16:05,244993
37989,37091,39877,132894,2018-02-21 23:34:14,209862
19087,119072,16730,98842,2019-10-21 15:56:20,234644
55103,70838,30927,138906,2022-11-15 20:56:52,240671
1785,124304,32953,174555,2024-05-12 04:53:33,331812
17596,147898,12182,45843,2023-05-31 13:40:05,205923
36872,100417,41812,23,2018-10-30 08:38:50,142252
21326,149981,37286,108571,2021-07-09 00:13:08,295838
57704,64271,26411,149978,2024-08-03 18:24:35,240660
40906,43414,36081,47342,2018-03-18 06:45:14,126837
11022,44746,48153,173766,2019-02-27 05:48:42,266665
17795,149254,32816,78056,2023-12-31 21:59:25,260126
24574,91259,8364,27409,2020-01-10 10:30:56,127032
6083,50023,28229,18275,2021-11-10 21:56:25,96527
48666,37108,49466,3196,2023-11-29 11:07:57,89770
7620,123338,48315,62571,2019-01-19 05:32:29,234224
25248,69126,22290,194595,2022-02-19 16:44:13,286011
31405,146976,44138,75744,2024-09-11 23:06:28,266858
36891,93782,22062,55740,2020-07-07 20:22:42,171584
121,75246,10977,167055,2024-04-21 13:29:55,253278
48451,36868,15421,81648,2020-08-22 22:56:55,133937
23838,43681,6515,105895,2022-06-08 05:21:56,156091
53557,135328,16223,30604,2022-07-22 01:16:14,182155
48822,133162,21836,96182,2021-11-07 21:45:42,251180
56519,50857,2217,50906,2022-03-29 17:37:13,103980
28978,108332,43730,21920,2023-07-24 15:54:13,173982
34989,108331,22864,18387,2020-04-01 15:09:23,149582
22092,131805,10111,2690,2023-10-26 21:32:19,144606
43827,78174,32807,76535,2018-06-08 23:48:50,187516
56069,37769,16652,50125,2022-12-31 06:34:56,104546
56153,87538,13509,32719,2020-12-18 18:21:51,133766
50538,33630,7625,144488,2022-05-18 07:26:24,185743
13659,93687,46774,16553,2024-02-22 19:06:07,157014
11152,81029,36424,123458,2019-12-23 01:50:33,240911
21643,87627,27278,142880,2018-10-04 08:49:43,257785
17896,128076,21817,184081,2019-04-19 14:19:32,333974
40085,32184,36874,142642,2020-05-19 20:27:07,211700
20396,122586,43549,153143,2024-02-27 18:43:45,319278
46223,64472,1590,129852,2023-06-25 08:13:28,195914
49632,30798,1675,131934,2024-12-19 05:46:33,164407
52095,77805,6812,54634,2020-07-11 03:00:03,139251
51151,63796,43547,18924,2019-09-03 04:11:15,126267
18488,30783,16902,35244,2021-01-26 01:22:54,82929
58621,74202,41863,194771,2021-05-01 22:48:27,310836
1318,100120,46839,116519,2022-01-07 01:16:08,263478
40549,96668,21186,118391,2024-11-26 10:43:43,236245
4178,134690,27480,125504,2021-01-05 08:04:33,287674
22944,68483,35090,154606,2019-03-06 12:15:49,258179
20555,79830,16855,97499,2021-12-22 14:19:24,194184
38186,127306,29716,180335,2023-08-19 12:37:27,337357
2539,145679,33007,776,2020-04-04 19:45:15,179462
58978,78524,35074,4093,2023-02-06 10:49:02,117691
33576,38366,11781,197325,2019-11-12 19:56:52,247472
36900,129533,23308,30280,2018-02-09 11:50:17,183121
16851,137424,30410,28879,2022-01-05 17:56:14,196713
17732,55625,30156,128894,2020-02-01 15:17:47,214675
33774,132131,39654,111912,2020-11-01 01:46:18,283697
13295,56902,24969,46928,2019-03-15 15:33:00,128799
15228,71116,5602,53981,2021-03-10 10:37:22,130699
59659,56721,2986,60822,2024-02-24 05:08:22,120529
6068,73561,1375,165154,2018-06-29 07:05:42,240090
56638,118134,19269,170490,2023-04-24 14:00:36,307893
28245,72694,14321,21627,2022-11-18 06:43:54,108642
25484,96855,5844,59585,2021-03-11 09:52:57,162284
13579,124646,46772,67254,2024-05-02 16:35:35,238672
53019,128856,43516,103471,2020-02-07 22:37:13,275843
3822,130728,38284,194435,2019-07-22 15:25:25,363447
7621,84075,41404,166789,2021-08-22 19:16:55,292268
7881,90310,29717,37055,2021-02-09 14:01:14,157082
15426,93924,33159,120238,2021-09-16 11:59:33,247321
25185,61186,46244,163888,2022-07-20 12:19:20,271318
17325,90239,38373,148370,2021-07-17 14:55:05,276982
38308,32225,41195,29294,2019-04-10 13:45:20,102714
15491,52304,37484,86899,2020-07-08 08:02:02,176687
34445,136240,2941,38217,2024-10-08 20:59:58,177398
27439,93683,581,131709,2018-05-30 06:57:30,225973
10931,122434,13792,129782,2022-11-15 21:45:36,266008
40940,103112,15190,173840,2020-01-17 15:23:02,292142
51595,105157,18947,122191,2021-06-21 08:23:41,246295
18784,64159,1121,71281,2024-06-22 22:51:23,136561
25808,108109,13801,35582,2020-03-18 18:18:24,157492
17042,98746,38035,125830,2018-06-20 00:10:31,262611
37647,89735,32655,135187,2018-07-13 21:53:03,257577
