employee_id,training_hours,pre_training_score,post_training_score,skill_improvement
25712,57,52,97,45
43771,92,47,75,28
54512,33,51,72,21
46826,67,64,67,3
4290,68,41,61,20
17721,9,55,68,13
21227,97,73,66,-7
30208,28,59,72,13
30646,114,50,97,47
35685,114,73,77,4
18014,29,75,96,21
32664,106,47,97,50
11473,30,54,96,42
45680,69,56,94,38
18041,78,46,98,52
37885,61,42,88,46
64724,68,45,60,15
20384,91,62,84,22
60049,112,57,78,21
17696,55,57,80,23
64399,35,72,79,7
26757,98,53,94,41
40450,70,72,83,11
37360,96,56,86,30
12306,46,53,63,10
7589,74,68,87,19
56716,27,74,67,-7
49921,87,58,97,39
26343,104,43,67,24
5218,11,42,97,55
54221,85,73,88,15
14158,114,64,63,-1
48160,41,63,69,6
30369,81,55,89,34
40373,111,63,86,23
6784,109,73,86,13
13817,105,60,61,1
63527,28,57,98,41
58435,80,63,94,31
44480,100,55,88,33
12182,86,57,91,34
50671,50,66,62,-4
59353,3,67,72,5
2696,45,63,76,13
13141,0,44,82,38
36957,93,65,86,21
36326,8,68,89,21
30108,109,48,87,39
5638,102,60,99,39
53992,88,66,88,22
54684,117,67,88,21
46709,99,68,66,-2
20900,73,60,71,11
3002,103,42,96,54
41268,10,42,80,38
60341,49,56,69,13
56277,32,49,66,17
23280,16,53,72,19
30593,22,57,93,36
18483,39,76,88,12
8372,76,64,69,5
64772,36,70,93,23
52870,43,63,94,31
23135,20,73,65,-8
47235,36,49,75,26
31942,42,76,62,-14
63432,69,72,61,-11
67319,32,73,79,6
24295,10,77,95,18
8657,14,59,89,30
40607,55,42,76,34
46192,6,70,89,19
51776,57,76,75,-1
59091,6,74,74,0
5427,62,44,83,39
65261,13,42,95,53
15717,3,62,64,2
15125,78,79,83,4
63176,61,52,91,39
6992,32,62,83,21
42899,100,68,69,1
252,77,44,61,17
62135,8,48,64,16
52797,22,60,71,11
51897,92,56,84,28
47429,101,49,64,15
32801,21,56,98,42
32129,90,52,97,45
12921,66,68,96,28
69054,29,78,71,-7
44552,97,67,95,28
37029,112,44,74,30
7387,15,59,69,10
46140,9,73,95,22
23161,48,75,80,5
60795,5,65,85,20
64046,57,67,69,2
9384,18,60,98,38
14720,2,74,83,9
28541,31,77,67,-10
14387,89,43,98,55
59895,52,44,86,42
20025,97,50,76,26
10303,18,71,81,10
22709,14,54,74,20
1507,15,77,96,19
65055,41,44,82,38
44914,20,71,64,-7
55227,49,79,75,-4
67889,79,61,85,24
42475,30,70,73,3
9813,3,66,62,-4
12704,65,68,96,28
49482,42,73,65,-8
2642,75,55,64,9
13294,50,49,80,31
69987,60,53,71,18
25060,75,60,79,19
55512,42,72,74,2
10977,28,57,97,40
50438,102,70,97,27
8499,13,49,72,23
35904,110,54,72,18
32435,98,59,64,5
19930,114,43,80,37
57461,54,59,63,4
56599,9,55,81,26
37799,47,66,93,27
32420,82,46,88,42
34930,28,63,99,36
57937,42,54,64,10
49709,21,62,72,10
67677,51,66,77,11
36873,9,68,96,28
69373,7,65,79,14
50932,87,55,92,37
67283,56,51,93,42
12651,103,53,86,33
42232,17,63,95,32
69945,59,63,84,21
1701,63,66,99,33
39832,101,45,96,51
68528,79,77,92,15
15860,24,41,69,28
55706,81,51,65,14
41786,76,55,77,22
27344,83,66,69,3
53033,6,49,90,41
42928,12,77,92,15
42537,20,47,93,46
57552,66,71,82,11
60718,18,74,61,-13
39766,83,57,64,7
6756,92,40,75,35
3497,118,75,65,-10
60601,112,46,88,42
45381,8,44,84,40
39637,15,75,77,2
26834,119,62,64,2
17763,117,72,70,-2
67403,81,61,87,26
20430,68,63,78,15
40267,56,47,70,23
38723,21,71,99,28
13143,77,43,93,50
68629,42,75,88,13
1721,6,58,89,31
64836,76,42,76,34
40889,16,78,77,-1
56865,25,51,69,18
52566,10,41,70,29
68236,108,72,60,-12
46349,71,67,60,-7
40774,53,71,63,-8
12600,30,53,90,37
39346,75,76,90,14
39499,52,77,73,-4
44846,48,76,79,3
59696,63,75,84,9
69657,50,61,78,17
13032,12,78,78,0
37817,93,69,89,20
32546,106,59,87,28
9763,85,74,62,-12
1592,33,53,65,12
12306,65,59,60,1
37002,32,75,88,13
402,22,41,88,47
18443,8,46,90,44
57670,76,42,64,22
37543,82,58,91,33
9921,100,62,89,27
3245,57,57,69,12
766,43,75,99,24
33154,87,67,69,2
18578,65,69,99,30
46787,57,46,72,26
18722,35,61,63,2
17299,90,79,69,-10
59134,118,62,73,11
6806,23,47,75,28
55772,97,71,88,17
40220,61,73,87,14
55573,51,68,90,22
54632,87,56,86,30
62548,46,58,60,2
32160,51,70,96,26
10719,72,73,95,22
39828,91,62,80,18
59801,81,42,89,47
38660,4,51,89,38
20735,89,51,82,31
22357,118,69,68,-1
25236,11,50,92,42
29422,26,57,73,16
65803,29,41,84,43
17714,42,57,69,12
32585,8,68,73,5
53117,86,45,68,23
26235,6,60,97,37
42853,14,45,95,50
39973,96,56,97,41
10699,88,48,70,22
12759,12,69,96,27
16046,3,40,94,54
23890,107,44,96,52
59661,81,58,70,12
5933,103,56,95,39
41732,104,75,88,13
42081,32,63,93,30
7688,96,67,64,-3
30560,55,63,63,0
69569,22,41,66,25
69971,119,70,63,-7
40475,105,71,74,3
61941,32,45,90,45
45340,33,71,75,4
6147,62,68,71,3
19904,53,78,88,10
60705,77,78,84,6
61162,96,65,79,14
49540,84,65,60,-5
61863,117,44,89,45
27552,60,46,93,47
67615,113,74,62,-12
48848,39,78,64,-14
43017,26,73,89,16
54016,111,44,67,23
64447,107,50,69,19
11838,22,51,97,46
29405,84,61,75,14
37914,4,72,91,19
40253,106,69,94,25
49417,9,63,77,14
207,101,69,90,21
34339,26,51,99,48
26895,46,63,76,13
20777,2,46,64,18
12184,15,42,72,30
66648,70,77,86,9
7642,3,78,97,19
5971,62,75,61,-14
3308,73,64,68,4
9680,78,49,76,27
34089,10,48,65,17
3631,53,66,94,28
39630,95,56,64,8
14637,65,57,61,4
41599,12,73,78,5
50851,116,68,82,14
58236,43,63,89,26
1314,119,75,84,9
26144,73,45,63,18
23839,79,60,81,21
5964,100,47,76,29
58669,114,45,99,54
36038,76,57,81,24
54862,68,74,76,2
15490,16,59,82,23
17175,49,77,87,10
16998,31,76,76,0
56553,18,41,67,26
54267,115,56,85,29
69147,112,78,61,-17
43709,2,52,86,34
45205,53,42,64,22
5443,106,63,83,20
10147,96,49,61,12
68492,43,61,81,20
15361,83,58,99,41
6448,57,48,84,36
40098,85,51,88,37
51353,20,67,76,9
23621,68,48,80,32
34130,43,58,92,34
22568,43,56,70,14
59162,83,78,71,-7
3017,100,72,65,-7
6422,6,40,85,45
62961,38,67,67,0
21801,84,50,89,39
26964,92,56,81,25
66905,23,71,65,-6
20282,39,65,72,7
43424,50,40,79,39
40405,56,72,75,3
51993,19,76,89,13
4314,65,63,66,3
29984,50,62,84,22
59625,38,42,64,22
66954,57,50,91,41
66187,114,52,81,29
68374,79,65,93,28
54005,21,55,80,25
20248,36,54,61,7
58763,26,46,63,17
19989,118,61,87,26
35289,110,69,94,25
51246,38,67,94,27
40807,118,49,69,20
48517,103,44,75,31
18019,24,79,68,-11
66385,36,74,72,-2
50036,81,49,99,50
4368,49,40,61,21
42891,93,77,73,-4
1413,68,54,76,22
23743,72,60,92,32
171,60,62,80,18
23726,24,45,71,26
57496,89,72,83,11
13642,70,69,60,-9
32714,84,75,92,17
50573,50,69,94,25
22309,54,49,85,36
1174,40,59,80,21
35247,111,67,69,2
10688,2,57,94,37
58679,72,67,92,25
62303,59,77,85,8
24075,24,55,96,41
39568,74,50,95,45
36736,47,65,65,0
67027,118,76,95,19
33398,15,61,87,26
12649,58,53,87,34
12589,76,78,81,3
47157,82,56,63,7
18095,94,67,88,21
18060,10,60,77,17
68057,30,67,93,26
8694,71,69,76,7
43786,109,47,92,45
16950,22,77,61,-16
37520,77,57,79,22
58493,0,65,97,32
20264,84,51,60,9
19282,15,56,67,11
4176,51,46,70,24
37374,111,71,62,-9
16628,53,75,72,-3
49248,106,72,66,-6
21964,67,49,90,41
69093,50,70,81,11
48434,10,78,87,9
14681,61,72,92,20
49432,35,54,95,41
46513,111,50,89,39
16215,17,72,73,1
5479,34,54,98,44
38614,43,61,65,4
34955,11,60,68,8
31579,14,40,96,56
69504,70,59,78,19
37890,45,56,96,40
34308,93,61,77,16
33856,106,65,94,29
38560,23,69,83,14
68127,14,51,93,42
14117,3,54,71,17
47187,30,71,85,14
37062,36,75,83,8
41348,34,57,82,25
43476,62,64,96,32
31693,34,45,78,33
52925,104,45,79,34
24408,107,40,79,39
1137,99,73,82,9
36002,84,73,93,20
2723,99,57,97,40
16774,37,54,91,37
7736,60,67,72,5
4100,114,73,64,-9
22946,42,78,91,13
40617,116,58,88,30
62364,37,48,94,46
34360,6,61,89,28
10843,31,68,66,-2
64736,70,42,62,20
23543,40,73,68,-5
27293,113,75,82,7
17459,99,56,70,14
43208,44,63,65,2
12182,55,75,80,5
6261,53,43,68,25
65979,77,42,80,38
25195,8,49,77,28
62389,33,61,76,15
20762,43,58,91,33
22076,62,76,61,-15
62542,67,58,72,14
35537,9,43,82,39
14741,50,41,61,20
3182,90,77,87,10
34581,10,52,83,31
9759,11,65,89,24
49907,103,58,93,35
38356,103,73,81,8
18967,26,62,73,11
61441,59,75,91,16
50204,67,63,78,15
44973,72,52,65,13
68536,102,51,64,13
31919,46,77,68,-9
7406,76,40,63,23
31419,115,78,88,10
49212,66,69,60,-9
39394,45,59,88,29
48983,56,64,94,30
66587,16,68,72,4
32446,114,66,92,26
68180,34,75,69,-6
48870,92,73,69,-4
21561,30,68,84,16
10197,80,79,62,-17
3495,52,76,78,2
11730,110,53,77,24
47799,85,70,73,3
23621,4,40,96,56
43417,23,54,62,8
49358,5,50,80,30
35507,19,41,73,32
16566,69,73,66,-7
8018,33,50,86,36
3731,11,79,66,-13
1797,106,74,77,3
14147,71,55,61,6
41684,11,47,69,22
20181,87,49,93,44
8054,4,42,99,57
13491,82,47,85,38
63684,45,48,78,30
16233,95,71,84,13
44480,69,79,71,-8
53146,23,71,77,6
57774,35,41,69,28
47802,12,53,98,45
61976,42,62,61,-1
57377,50,42,90,48
15312,11,79,94,15
59152,98,79,61,-18
10740,49,71,78,7
65305,56,42,96,54
52052,22,68,92,24
10366,34,79,90,11
69237,28,56,71,15
3855,35,68,92,24
27731,105,55,65,10
15363,3,45,71,26
39479,54,55,95,40
6225,50,55,78,23
26603,75,44,81,37
5194,12,60,92,32
42713,89,41,84,43
67740,82,45,83,38
66927,89,76,83,7
40154,111,64,74,10
12286,79,55,64,9
13608,67,70,69,-1
5369,57,65,83,18
18726,72,41,71,30
56149,73,77,95,18
61406,29,52,62,10
36691,49,59,81,22
65200,62,51,83,32
41507,75,59,90,31
16933,117,48,93,45
21162,26,47,91,44
18583,62,42,86,44
62697,22,55,70,15
25364,76,55,72,17
15443,6,66,81,15
16494,116,58,96,38
20786,41,54,61,7
30113,23,66,86,20
64271,98,53,76,23
22702,104,77,74,-3
18376,71,60,65,5
65648,42,48,79,31
15498,100,44,81,37
45931,109,56,90,34
68428,82,54,61,7
33336,16,62,76,14
59047,46,61,70,9
57273,68,58,67,9
62794,118,43,63,20
11244,84,78,76,-2
67824,110,45,79,34
37000,91,79,93,14
5251,53,43,66,23
58459,73,66,63,-3
54179,109,47,77,30
52568,58,44,89,45
49033,6,75,63,-12
20375,61,59,65,6
50242,6,76,88,12
45224,88,72,83,11
15601,63,73,98,25
25084,95,76,60,-16
62276,101,42,99,57
35784,32,73,90,17
22275,56,46,86,40
43483,38,62,63,1
33544,53,52,74,22
42713,66,44,81,37
9779,2,58,65,7
19093,53,77,67,-10
69771,35,51,99,48
45180,92,70,62,-8
23544,63,58,73,15
45911,45,59,72,13
57475,111,76,60,-16
41390,51,50,74,24
62304,61,51,84,33
56217,47,61,85,24
44382,35,51,79,28
13342,11,53,67,14
64505,4,72,60,-12
59151,118,45,94,49
6441,59,62,85,23
69643,81,46,95,49
32383,117,41,78,37
37476,2,58,64,6
59743,42,64,64,0
58426,29,56,62,6
69765,52,79,99,20
6463,33,48,82,34
11227,28,71,81,10
63187,47,71,67,-4
31076,102,42,70,28
67519,35,42,95,53
39197,62,55,83,28
9570,58,65,93,28
41964,91,52,72,20
8537,35,60,92,32
278,36,54,76,22
24959,50,62,92,30
56178,6,73,76,3
1375,49,46,61,15
55489,12,40,99,59
66198,111,57,63,6
64988,92,41,93,52
46613,73,65,80,15
7547,7,42,82,40
59247,81,67,89,22
65115,21,72,89,17
2547,108,78,84,6
27295,50,68,85,17
5029,54,65,77,12
19333,94,72,68,-4
50687,102,79,82,3
35996,25,65,97,32
21047,59,56,68,12
18131,35,53,88,35
39862,9,64,88,24
31316,118,47,96,49
20542,32,57,98,41
7469,111,57,70,13
56165,44,68,85,17
68848,116,40,65,25
52608,0,53,77,24
28539,51,62,97,35
61071,101,64,86,22
27218,95,72,80,8
69515,54,47,91,44
61871,28,66,98,32
31894,115,52,61,9
39740,34,77,86,9
14876,34,69,62,-7
50550,81,60,72,12
54043,67,68,96,28
16093,118,72,76,4
42259,1,69,69,0
45143,31,70,91,21
41955,58,64,94,30
40526,109,46,68,22
34788,102,55,98,43
12515,62,41,69,28
16104,106,42,79,37
40918,88,70,82,12
17404,78,77,91,14
64107,61,54,93,39
46582,8,45,76,31
6747,90,71,74,3
26703,28,59,79,20
35592,103,70,90,20
57274,117,70,73,3
20889,13,72,97,25
47464,1,53,84,31
50756,29,53,81,28
27362,63,69,94,25
57204,27,63,64,1
54057,9,56,88,32
59903,14,54,93,39
17609,46,62,87,25
37591,92,69,63,-6
2856,67,50,85,35
54430,4,45,87,42
38317,86,79,63,-16
35015,116,51,83,32
48255,75,54,73,19
6040,19,40,85,45
64695,108,76,99,23
13033,26,66,69,3
34655,94,68,71,3
6489,115,51,73,22
53232,106,62,78,16
24952,64,72,98,26
7382,88,75,82,7
29557,41,57,84,27
60838,57,59,88,29
3034,106,78,95,17
47860,74,58,74,16
54880,115,65,78,13
21808,61,53,64,11
46838,98,66,71,5
33916,106,54,96,42
40210,62,59,67,8
14751,45,49,85,36
18618,99,43,96,53
8420,61,66,80,14
8722,61,40,62,22
1616,73,72,83,11
50980,117,76,95,19
9157,98,69,76,7
63071,105,76,63,-13
34640,61,49,66,17
18701,92,65,81,16
13560,11,40,62,22
11125,80,60,65,5
57144,14,72,88,16
30653,8,68,70,2
53661,38,60,91,31
27315,35,58,98,40
52940,75,48,94,46
68534,35,58,98,40
41920,80,68,79,11
35833,33,49,81,32
42548,39,71,91,20
42755,105,51,70,19
24102,20,53,92,39
65677,99,66,95,29
9295,65,63,62,-1
63887,117,71,99,28
52064,37,72,85,13
63486,96,64,82,18
9817,93,78,98,20
13011,80,60,76,16
44041,101,68,72,4
19306,30,53,80,27
47042,117,46,74,28
2501,29,66,87,21
15536,15,67,80,13
5773,87,79,67,-12
43012,82,72,98,26
31286,70,66,62,-4
54013,3,49,69,20
42871,22,73,71,-2
6892,64,75,86,11
18067,9,61,73,12
63312,93,79,65,-14
67999,33,67,64,-3
47336,20,68,96,28
8266,20,49,83,34
41985,60,71,92,21
11432,114,49,81,32
38042,54,60,75,15
53833,66,41,85,44
21130,76,62,92,30
9297,106,63,81,18
66219,59,76,65,-11
50892,20,65,85,20
61190,47,78,94,16
6471,63,41,90,49
17512,15,62,84,22
55010,118,62,95,33
54291,97,78,76,-2
23335,15,64,93,29
43125,68,52,95,43
65676,25,47,91,44
67421,112,54,64,10
15441,20,64,92,28
3353,96,67,91,24
63584,38,63,63,0
58073,7,50,61,11
17005,67,41,83,42
65554,9,45,80,35
63895,52,64,83,19
64121,63,52,75,23
31622,38,75,74,-1
48738,78,59,86,27
60273,56,58,94,36
6566,42,51,64,13
33269,65,65,83,18
16747,84,77,85,8
64678,8,60,86,26
2266,81,63,63,0
17714,109,78,98,20
60538,36,62,72,10
24420,58,60,85,25
18424,107,74,79,5
24065,97,58,62,4
24220,32,63,75,12
23220,2,45,61,16
16450,25,56,70,14
41814,17,61,82,21
67226,119,61,86,25
54042,48,50,82,32
7862,47,62,76,14
17522,39,40,74,34
20541,16,76,89,13
59140,35,78,69,-9
6942,69,60,69,9
67820,49,59,83,24
64096,74,67,71,4
46814,114,68,67,-1
6764,9,47,76,29
20009,18,63,70,7
48366,48,60,84,24
53016,50,46,93,47
23977,2,67,99,32
53192,106,52,81,29
31594,64,49,87,38
55508,113,78,61,-17
10277,101,52,75,23
26772,30,66,98,32
65951,92,71,66,-5
56455,106,77,91,14
68477,98,43,70,27
17037,119,58,78,20
63749,51,58,84,26
47189,34,70,64,-6
26791,29,57,83,26
104,33,79,87,8
53025,119,49,83,34
59420,30,44,70,26
45717,12,52,77,25
25523,89,68,65,-3
25801,29,62,89,27
63610,29,70,85,15
14309,28,71,95,24
40500,2,48,64,16
34727,23,67,74,7
39864,104,46,77,31
50548,97,47,75,28
37954,20,41,76,35
61718,41,73,87,14
2013,68,45,84,39
44630,18,68,81,13
9949,75,43,75,32
32482,114,73,66,-7
46209,115,71,92,21
49464,63,71,83,12
36910,67,65,69,4
27372,3,50,87,37
5386,95,54,80,26
67384,12,44,81,37
26833,71,54,66,12
398,4,65,67,2
18935,104,54,99,45
29158,42,70,90,20
15153,75,56,87,31
48385,76,69,76,7
53632,75,59,84,25
7219,109,44,87,43
18757,29,58,65,7
20507,97,57,89,32
57528,117,44,62,18
3304,102,73,99,26
26982,95,72,71,-1
51795,56,74,81,7
52625,88,51,95,44
20132,39,41,75,34
65093,11,70,88,18
67560,112,48,96,48
38711,109,53,69,16
24252,43,63,60,-3
10879,111,67,82,15
23319,28,68,72,4
45780,56,75,78,3
28880,3,54,76,22
29272,24,57,91,34
17659,2,76,95,19
58961,74,53,71,18
64310,84,77,66,-11
41785,11,54,73,19
46163,19,49,89,40
55576,114,63,83,20
56709,26,69,73,4
43920,1,44,94,50
53065,116,68,83,15
47260,101,67,93,26
45971,75,50,86,36
43832,5,49,80,31
52526,15,65,89,24
40060,64,61,84,23
3923,115,50,71,21
34262,72,63,71,8
31894,78,66,74,8
4179,94,49,66,17
595,90,60,97,37
31572,75,62,63,1
4796,65,46,75,29
3592,35,58,88,30
39569,8,71,98,27
46749,115,57,63,6
21148,27,44,96,52
41562,23,43,73,30
66061,16,41,81,40
24374,118,56,77,21
26799,39,76,84,8
8669,45,73,80,7
32926,78,63,91,28
38470,32,44,97,53
10268,117,50,67,17
26452,101,76,65,-11
65953,104,49,89,40
42366,42,48,64,16
61779,4,66,61,-5
43457,19,60,72,12
57180,57,59,95,36
43694,110,44,97,53
28646,55,42,94,52
17773,54,75,73,-2
31198,10,74,68,-6
