department,current_headcount,projected_hiring,projected_attrition,planning_year
Marketing,332,18,39,2024
HR,278,98,46,2025
Sales,466,65,45,2026
Operations,278,2,69,2024
IT,375,28,40,2026
Sales,255,43,26,2024
Sales,131,49,50,2024
Marketing,239,30,1,2026
IT,181,42,60,2026
Marketing,74,30,4,2025
IT,83,14,74,2024
Operations,229,96,52,2026
HR,311,29,15,2026
Sales,27,37,25,2024
HR,340,46,47,2024
HR,493,22,77,2026
HR,270,11,65,2025
Marketing,53,4,11,2025
HR,304,63,52,2024
IT,61,72,0,2025
Sales,230,5,24,2024
Finance,339,33,56,2025
Finance,498,98,70,2026
IT,167,1,62,2024
Marketing,422,96,66,2025
Sales,373,72,44,2024
HR,444,80,68,2024
Operations,162,18,6,2024
IT,238,39,5,2025
Finance,81,47,6,2026
Marketing,295,83,79,2024
Marketing,108,69,15,2026
IT,410,57,40,2026
HR,185,28,14,2026
Marketing,100,8,43,2024
Finance,436,55,27,2025
Sales,280,66,16,2024
IT,395,53,39,2026
Finance,340,97,5,2026
IT,486,41,60,2024
IT,347,61,36,2024
Sales,306,80,57,2024
Finance,331,73,13,2025
HR,137,49,44,2026
HR,45,16,28,2025
IT,150,71,56,2026
Operations,357,16,20,2025
Sales,453,87,3,2026
HR,34,59,24,2026
Finance,286,31,41,2026
HR,301,73,11,2025
IT,269,20,70,2025
Sales,471,5,75,2025
Marketing,116,7,19,2024
HR,497,79,31,2025
IT,387,8,59,2024
IT,188,31,37,2024
Marketing,216,67,70,2026
Marketing,85,96,62,2024
Finance,63,47,68,2026
IT,419,62,41,2026
IT,353,21,18,2026
HR,490,80,1,2026
Finance,453,38,18,2025
IT,331,51,69,2026
Finance,488,55,75,2024
HR,337,66,47,2024
Operations,197,55,46,2025
IT,39,98,1,2025
IT,31,72,46,2026
HR,240,26,48,2025
IT,301,51,70,2026
Operations,294,61,78,2025
Operations,401,74,63,2024
Operations,408,19,48,2026
Finance,417,23,38,2025
HR,256,41,45,2026
Marketing,94,83,35,2025
Operations,306,49,72,2026
Finance,378,28,67,2025
Operations,202,58,26,2025
HR,39,91,5,2024
Finance,326,76,43,2024
Finance,189,74,71,2026
Marketing,380,48,46,2024
Marketing,400,19,62,2026
Sales,263,1,65,2025
HR,422,64,23,2024
Marketing,450,17,59,2026
Sales,310,38,12,2024
Finance,388,8,49,2024
IT,243,59,13,2026
Marketing,107,99,55,2024
HR,164,28,66,2025
Operations,313,23,62,2026
HR,247,26,77,2026
Marketing,158,27,37,2026
HR,35,1,43,2026
Marketing,181,41,58,2026
Sales,214,85,30,2024
Marketing,22,55,66,2025
Finance,496,48,51,2026
Operations,133,11,55,2025
Operations,443,86,0,2024
Finance,460,40,24,2025
Finance,285,42,27,2025
Operations,351,53,32,2024
HR,465,52,37,2026
Finance,345,26,31,2025
Sales,323,36,41,2026
Sales,42,71,0,2024
Sales,32,10,59,2026
Sales,148,53,73,2026
Operations,222,7,72,2024
IT,289,12,52,2026
Marketing,235,12,75,2025
Finance,463,64,30,2026
Finance,267,11,58,2025
Marketing,73,46,27,2024
Marketing,381,71,67,2025
Marketing,358,12,17,2024
Operations,168,7,52,2025
Sales,371,34,18,2024
IT,214,91,4,2026
Sales,44,33,11,2024
HR,410,92,73,2024
IT,438,8,42,2025
Marketing,221,24,29,2026
Finance,87,19,56,2024
Operations,74,5,58,2024
Sales,169,72,4,2025
Operations,248,43,62,2026
Finance,276,2,17,2024
Marketing,402,18,18,2026
Marketing,430,75,24,2026
Sales,151,9,74,2025
Marketing,73,50,79,2025
Finance,465,74,4,2024
Operations,162,90,58,2025
Sales,247,60,1,2025
HR,235,42,4,2026
Marketing,487,43,8,2026
HR,67,79,26,2026
IT,286,71,55,2025
Operations,318,83,54,2025
Finance,35,7,5,2026
Sales,38,18,17,2026
Sales,102,58,34,2024
Operations,298,20,19,2025
HR,97,41,75,2026
Operations,250,83,7,2025
Finance,399,50,27,2026
IT,80,6,14,2025
HR,181,8,63,2024
Marketing,459,6,46,2026
IT,410,5,74,2026
HR,496,36,79,2024
Finance,96,19,32,2026
Finance,335,57,69,2026
Finance,40,93,18,2025
Sales,436,6,25,2024
Marketing,184,15,3,2025
Sales,132,48,21,2026
Sales,132,97,8,2026
Finance,168,31,34,2024
Sales,254,75,8,2025
Marketing,139,89,29,2026
IT,38,79,0,2026
Marketing,208,84,28,2026
Finance,165,73,7,2024
Sales,337,16,56,2026
Marketing,481,88,58,2026
Marketing,215,3,78,2025
Finance,467,1,25,2024
Operations,433,90,66,2025
Marketing,319,22,76,2025
HR,235,99,69,2025
Finance,357,18,47,2025
Sales,390,76,23,2025
Operations,24,83,18,2026
Sales,327,76,49,2025
HR,224,80,18,2026
Marketing,124,17,19,2026
HR,490,17,46,2024
Marketing,211,62,65,2024
Marketing,183,5,70,2026
IT,104,77,62,2026
Finance,488,2,25,2024
IT,370,17,25,2025
Marketing,243,57,50,2025
HR,303,20,66,2025
Marketing,151,93,21,2024
Operations,86,96,18,2026
HR,238,47,5,2025
Sales,299,44,71,2024
Operations,158,74,72,2024
Operations,476,7,24,2024
HR,492,4,48,2024
HR,473,26,10,2024
IT,378,77,42,2024
Marketing,388,28,69,2026
HR,468,25,78,2024
Operations,21,80,47,2024
Sales,272,71,54,2026
Marketing,359,86,58,2025
Operations,311,76,4,2024
IT,429,34,20,2026
Marketing,423,56,6,2026
HR,78,18,41,2025
HR,203,36,50,2025
Operations,377,36,64,2026
Sales,70,19,54,2026
Marketing,223,93,13,2026
Sales,474,26,71,2024
HR,279,74,74,2026
HR,105,24,77,2025
Marketing,411,56,77,2026
HR,384,10,21,2024
Marketing,346,61,77,2024
IT,411,90,37,2024
Sales,485,22,20,2024
Marketing,385,65,27,2024
Operations,133,22,53,2025
IT,49,61,37,2026
Sales,296,60,26,2025
Operations,113,28,65,2026
Marketing,41,43,35,2026
Sales,364,27,35,2024
IT,222,93,16,2024
Marketing,175,58,34,2026
Marketing,31,59,58,2025
HR,492,28,36,2026
Finance,364,97,21,2024
IT,380,19,70,2025
Sales,185,72,1,2026
Sales,230,77,8,2025
Marketing,156,14,55,2026
HR,86,14,41,2026
Sales,445,61,78,2025
Operations,69,17,27,2026
Finance,308,31,24,2025
Sales,397,86,24,2024
HR,410,69,54,2025
Finance,301,99,57,2026
Sales,21,96,51,2025
Finance,310,12,25,2024
HR,141,3,79,2026
IT,234,22,78,2024
HR,347,83,36,2026
Finance,28,38,47,2024
HR,140,25,16,2026
Sales,446,35,16,2024
Sales,266,62,34,2024
Operations,110,90,32,2025
Operations,94,74,71,2025
Marketing,116,22,20,2025
Marketing,455,67,71,2025
IT,37,35,29,2024
Sales,395,91,41,2024
HR,423,52,16,2026
Finance,75,33,55,2026
Marketing,490,18,59,2024
Marketing,128,89,1,2026
Sales,392,65,66,2026
Operations,185,15,60,2025
HR,74,60,20,2025
Sales,448,6,43,2025
Sales,492,38,33,2026
Sales,29,6,44,2025
Sales,430,91,39,2024
Marketing,486,84,24,2026
Sales,371,21,36,2025
Sales,143,9,62,2026
HR,313,95,48,2024
IT,470,57,60,2025
IT,386,79,45,2024
Sales,217,91,46,2024
Finance,416,85,5,2024
HR,304,11,5,2024
IT,118,58,0,2025
IT,203,68,22,2024
Finance,427,5,58,2026
Operations,45,65,14,2024
IT,173,54,77,2025
Finance,397,35,2,2026
Sales,267,78,0,2025
Operations,57,11,32,2025
Marketing,380,51,73,2025
IT,457,23,49,2025
HR,177,27,34,2026
Finance,405,23,36,2026
IT,70,16,48,2026
Sales,48,60,70,2026
Finance,255,95,70,2025
HR,252,18,79,2024
Sales,333,14,56,2025
Operations,39,58,56,2024
Sales,297,68,34,2026
Finance,413,14,15,2025
Sales,91,24,4,2026
HR,60,0,23,2026
Sales,30,47,30,2024
Operations,252,24,79,2024
IT,378,8,77,2024
IT,47,85,16,2025
Finance,442,59,58,2026
HR,264,97,62,2026
IT,149,78,74,2026
Finance,98,13,72,2024
IT,20,97,51,2024
Operations,333,58,45,2025
Operations,48,8,40,2024
Sales,329,21,25,2025
Marketing,78,45,26,2026
Marketing,292,1,62,2024
Sales,207,34,53,2025
HR,91,63,37,2025
Operations,456,5,28,2024
Finance,257,28,1,2025
Operations,393,94,54,2026
Sales,464,11,29,2024
Sales,437,1,40,2025
HR,469,33,19,2024
HR,326,50,75,2025
Finance,149,49,23,2025
HR,202,19,5,2024
Marketing,315,37,50,2026
IT,414,34,20,2026
HR,70,5,21,2025
IT,54,30,41,2025
IT,319,17,2,2025
Sales,217,43,50,2024
HR,120,14,78,2025
Marketing,298,36,55,2024
HR,154,16,7,2025
Sales,461,72,12,2026
Operations,394,80,76,2025
Sales,114,63,12,2026
HR,474,30,45,2025
HR,296,36,31,2025
HR,233,58,76,2024
Finance,494,41,63,2024
Marketing,283,78,3,2025
Marketing,406,93,44,2026
IT,489,93,8,2024
Finance,385,54,38,2024
IT,475,13,46,2024
Sales,177,77,4,2026
HR,21,18,37,2024
Sales,280,95,48,2026
Finance,262,1,19,2024
Operations,440,47,39,2025
HR,141,38,46,2024
Marketing,159,12,24,2024
HR,451,95,56,2025
IT,114,33,23,2024
IT,115,20,29,2026
Marketing,464,70,71,2026
IT,144,73,73,2024
Finance,398,51,56,2024
Operations,40,16,72,2025
HR,334,26,32,2025
Operations,394,16,63,2024
HR,317,16,32,2025
HR,284,9,76,2025
IT,344,93,60,2024
HR,205,59,26,2025
Finance,73,71,41,2026
Marketing,435,56,9,2026
Sales,255,65,72,2025
HR,293,23,60,2024
HR,182,21,33,2025
Finance,142,24,32,2024
HR,340,41,10,2025
HR,494,77,50,2025
Sales,414,94,71,2026
Marketing,215,23,28,2026
Sales,255,48,44,2026
HR,457,62,57,2025
Marketing,337,97,55,2025
Operations,95,0,39,2026
Operations,247,41,78,2024
Finance,353,91,39,2024
IT,69,87,58,2024
IT,389,52,70,2026
IT,340,31,50,2026
Marketing,432,57,69,2024
Marketing,252,86,50,2026
Finance,142,43,26,2026
Marketing,86,12,71,2026
IT,444,10,12,2026
HR,327,51,54,2024
Marketing,56,58,24,2026
Sales,481,62,72,2024
IT,406,74,5,2024
Marketing,296,63,37,2026
Marketing,207,31,72,2026
Sales,30,32,35,2025
HR,346,47,15,2026
Sales,250,39,35,2024
Operations,151,21,10,2026
Sales,325,36,49,2025
HR,154,32,71,2026
HR,328,94,3,2025
Marketing,54,49,64,2024
IT,144,26,65,2024
Sales,410,17,14,2026
IT,426,60,28,2024
Sales,71,74,57,2025
Marketing,446,33,45,2025
Sales,421,61,49,2026
Marketing,149,9,77,2024
HR,405,14,34,2024
HR,359,91,25,2026
Marketing,246,91,41,2024
Operations,358,11,32,2026
HR,346,88,58,2025
Sales,215,72,71,2026
Operations,283,78,32,2025
Operations,258,26,72,2025
HR,108,50,25,2026
Operations,289,55,55,2025
HR,337,79,64,2025
Sales,302,37,74,2026
HR,60,81,57,2025
Finance,65,10,54,2025
Finance,244,19,0,2024
Sales,86,29,57,2025
Marketing,149,14,62,2024
Operations,158,47,30,2026
Finance,353,73,52,2024
Finance,444,44,11,2024
Finance,184,69,0,2026
HR,76,27,5,2024
IT,244,62,77,2026
IT,106,70,29,2026
Operations,234,53,4,2026
HR,350,27,29,2026
IT,100,12,50,2026
HR,444,59,51,2025
IT,72,85,74,2024
IT,198,61,24,2026
HR,203,4,18,2024
Marketing,381,94,44,2026
HR,253,98,69,2024
IT,85,68,24,2024
IT,31,76,59,2026
Operations,482,52,37,2025
IT,43,79,56,2025
Marketing,427,93,10,2025
Finance,162,13,4,2026
IT,385,49,8,2025
IT,164,84,23,2026
Sales,76,18,59,2024
HR,59,71,32,2026
Sales,275,23,64,2026
Finance,422,96,48,2026
Finance,491,5,57,2025
Sales,30,68,33,2026
Sales,129,78,73,2024
Finance,22,40,50,2024
IT,227,26,55,2025
Finance,290,84,63,2025
Sales,393,58,42,2026
Marketing,222,33,59,2025
Operations,74,39,72,2026
Operations,278,79,16,2025
Operations,261,64,43,2025
IT,61,65,23,2025
HR,88,36,66,2024
Marketing,418,96,72,2026
Marketing,411,23,21,2024
Operations,223,18,21,2024
IT,432,94,19,2026
IT,380,20,37,2025
Finance,468,12,42,2025
Sales,231,79,23,2026
Operations,287,69,18,2024
IT,139,57,70,2025
IT,256,82,28,2024
IT,58,41,56,2024
Sales,179,60,41,2026
Operations,253,86,37,2025
IT,411,45,27,2024
HR,180,4,13,2024
IT,29,51,73,2024
Finance,346,23,7,2024
IT,355,33,76,2025
Operations,358,35,11,2026
Sales,400,47,26,2024
Sales,495,11,70,2026
Operations,300,11,32,2026
Finance,390,2,42,2024
Finance,490,5,13,2025
Finance,186,42,22,2024
Sales,296,95,13,2026
HR,428,28,7,2026
Finance,344,21,16,2026
IT,225,5,69,2025
IT,405,61,37,2026
IT,222,38,62,2025
Sales,135,42,63,2025
Operations,271,58,42,2026
Sales,338,16,13,2024
IT,342,0,70,2025
Marketing,334,32,16,2025
HR,431,30,46,2025
Sales,354,4,23,2024
HR,480,6,0,2025
Marketing,478,73,70,2025
Sales,279,16,72,2024
IT,201,3,19,2025
Sales,221,61,57,2025
IT,463,31,20,2026
IT,332,30,36,2026
IT,487,66,74,2025
Sales,84,56,26,2025
Operations,347,41,41,2024
Finance,182,87,55,2024
Sales,396,73,2,2024
IT,82,15,58,2026
Operations,419,54,28,2026
Marketing,61,74,18,2026
IT,163,54,11,2024
Sales,104,91,48,2026
Sales,277,34,25,2024
Marketing,417,2,79,2026
HR,227,25,29,2026
Operations,255,42,31,2025
Sales,389,87,31,2024
Finance,270,32,44,2024
Operations,97,99,73,2026
Finance,67,30,9,2026
Operations,403,70,34,2026
Operations,371,97,13,2024
Sales,270,52,68,2025
IT,29,61,77,2024
Finance,156,31,63,2025
HR,389,58,70,2025
IT,426,46,77,2024
Sales,221,86,63,2025
IT,484,63,5,2026
Marketing,164,64,79,2025
Sales,255,83,53,2026
HR,184,10,3,2025
Finance,298,9,67,2025
IT,433,97,64,2024
Sales,43,83,56,2025
Operations,303,30,67,2024
Marketing,469,94,79,2024
Finance,181,32,74,2026
Marketing,154,74,24,2025
Marketing,241,86,37,2026
HR,141,99,79,2026
Finance,364,89,15,2025
Finance,298,9,50,2024
Sales,456,26,66,2026
Sales,251,67,28,2024
Finance,168,32,19,2026
Marketing,448,4,6,2024
Finance,80,16,79,2024
Marketing,445,31,44,2024
Marketing,152,58,37,2024
HR,126,93,4,2025
Sales,303,61,23,2026
Sales,407,54,37,2026
Finance,319,56,6,2026
IT,343,29,32,2025
Marketing,389,55,75,2024
Marketing,159,20,34,2025
Sales,125,55,8,2026
Finance,161,49,75,2025
HR,120,99,58,2025
HR,103,67,75,2024
Marketing,414,31,60,2024
Sales,174,60,41,2026
Operations,397,87,77,2026
Finance,88,90,77,2025
IT,422,3,54,2024
Finance,101,95,24,2025
IT,27,60,77,2024
IT,127,29,32,2026
Finance,255,73,44,2026
IT,317,20,59,2026
Sales,147,80,14,2024
Operations,278,24,7,2024
HR,61,14,47,2024
IT,395,95,28,2024
Finance,44,98,31,2026
HR,272,60,14,2026
Finance,253,93,32,2025
Operations,320,0,57,2024
Finance,341,4,36,2025
Finance,313,78,21,2024
Sales,184,69,8,2026
HR,328,80,24,2025
HR,330,63,37,2025
Sales,489,69,7,2024
Operations,331,38,31,2025
Sales,358,16,59,2026
IT,91,55,4,2025
Marketing,149,77,3,2025
Marketing,496,30,2,2026
Finance,441,22,40,2024
IT,38,57,2,2024
Finance,493,53,59,2026
Finance,62,21,73,2026
Finance,183,72,74,2026
Marketing,157,30,63,2024
Marketing,413,64,64,2024
Operations,197,37,73,2026
HR,201,20,50,2024
Sales,324,37,64,2024
IT,245,15,34,2024
HR,207,5,16,2025
IT,432,9,50,2025
Marketing,52,41,52,2025
Finance,298,15,13,2025
Marketing,482,81,27,2026
Finance,484,94,30,2026
Finance,469,81,42,2024
Operations,250,62,45,2026
Operations,52,61,38,2024
Finance,205,73,74,2026
Finance,496,37,61,2024
Finance,163,23,9,2026
Operations,66,33,28,2026
HR,194,13,63,2024
Finance,315,97,27,2026
Sales,170,47,53,2024
HR,146,54,23,2025
HR,379,37,74,2026
Operations,316,63,5,2025
Finance,206,4,59,2026
Finance,396,74,61,2026
IT,358,96,78,2024
IT,454,41,62,2026
Finance,109,51,68,2024
Finance,254,70,62,2025
Operations,36,35,30,2026
IT,55,78,69,2024
HR,39,54,35,2026
Operations,42,14,36,2026
Operations,282,10,74,2024
Operations,324,46,77,2024
Sales,352,3,9,2026
Marketing,37,19,57,2026
HR,375,23,47,2025
Finance,185,85,69,2025
Marketing,188,12,74,2025
HR,311,76,69,2025
Sales,106,61,26,2026
Sales,420,61,34,2026
Marketing,234,59,75,2024
Marketing,90,54,22,2026
HR,46,23,56,2025
Marketing,318,41,19,2025
Operations,350,42,71,2026
Marketing,303,35,50,2024
IT,33,95,65,2024
HR,447,10,77,2025
Marketing,133,44,15,2026
Marketing,252,32,11,2024
HR,137,16,22,2026
IT,380,15,7,2026
IT,430,21,6,2024
Marketing,326,66,43,2024
IT,134,68,51,2024
HR,267,14,72,2024
Marketing,499,96,42,2025
Operations,477,8,39,2026
HR,53,96,53,2024
HR,63,22,15,2026
Marketing,363,71,38,2025
Sales,184,93,51,2026
Sales,405,86,28,2026
Sales,439,68,23,2026
Operations,488,29,10,2025
Operations,157,6,55,2026
Sales,293,72,15,2024
Marketing,322,84,8,2024
Marketing,41,6,25,2025
Marketing,190,51,31,2025
Operations,189,46,6,2024
HR,132,71,6,2026
IT,240,77,21,2025
HR,286,1,5,2024
IT,92,3,54,2024
IT,225,90,14,2025
HR,32,58,7,2025
Marketing,83,95,51,2024
HR,220,2,50,2026
HR,308,16,11,2024
IT,144,58,73,2025
HR,98,2,52,2025
HR,162,46,49,2024
Finance,301,8,18,2025
IT,49,37,24,2026
IT,114,58,44,2025
IT,317,41,6,2025
Marketing,419,4,73,2026
Sales,119,56,34,2024
Sales,42,75,41,2024
Sales,436,18,56,2026
Sales,126,51,27,2026
HR,396,72,8,2025
Operations,138,44,18,2025
Operations,40,12,60,2024
IT,477,53,17,2025
Finance,167,6,75,2024
Operations,349,93,68,2024
Operations,362,97,9,2026
HR,471,8,37,2026
Operations,323,42,32,2024
HR,37,62,46,2026
IT,347,38,42,2024
Operations,82,99,46,2026
HR,363,69,61,2026
HR,89,34,49,2024
Marketing,362,3,29,2025
IT,269,58,9,2026
HR,488,91,73,2024
Sales,83,90,52,2026
Finance,224,0,65,2026
Marketing,424,44,54,2025
Marketing,127,62,17,2025
HR,490,24,36,2025
Marketing,122,1,58,2025
Sales,398,89,45,2024
HR,431,54,37,2026
Sales,50,25,74,2025
Operations,126,12,39,2026
Operations,198,58,23,2024
HR,280,22,25,2025
Marketing,205,74,56,2024
Finance,103,0,2,2026
Marketing,259,87,71,2025
IT,351,29,9,2025
Finance,416,57,16,2025
Operations,213,14,20,2025
HR,154,23,21,2026
Finance,170,0,58,2024
IT,208,9,45,2024
IT,305,3,14,2024
Sales,406,75,12,2024
Sales,340,39,46,2025
IT,76,68,79,2024
Sales,357,6,64,2025
Sales,171,49,10,2024
Marketing,150,12,19,2025
Marketing,71,71,1,2025
Operations,315,75,4,2024
Finance,113,24,51,2024
HR,121,69,38,2024
IT,52,37,21,2025
Marketing,266,33,51,2026
IT,496,49,31,2025
Sales,420,57,51,2026
Operations,360,15,32,2025
Operations,334,24,35,2026
IT,361,3,6,2026
IT,443,78,59,2025
IT,163,32,79,2026
Finance,181,21,41,2026
Finance,205,15,45,2026
Finance,276,65,33,2026
Finance,376,45,2,2025
Finance,87,39,19,2026
Sales,234,46,50,2024
HR,39,59,17,2025
Marketing,28,44,37,2025
HR,460,68,76,2025
Marketing,296,40,72,2024
IT,197,94,47,2025
IT,379,54,73,2025
IT,334,49,62,2024
HR,145,72,53,2024
Operations,424,69,64,2025
Operations,445,97,72,2025
Marketing,353,96,20,2024
Sales,181,49,32,2026
Marketing,148,81,77,2024
Sales,165,38,24,2024
Marketing,68,89,72,2024
Sales,252,36,76,2026
IT,405,36,14,2026
IT,171,6,61,2025
Sales,226,59,14,2025
Finance,494,58,41,2025
Marketing,136,4,11,2026
Finance,496,86,52,2024
IT,380,85,69,2026
Sales,25,94,20,2025
Marketing,397,32,9,2024
Operations,402,73,37,2026
Operations,59,88,58,2026
Sales,134,97,54,2025
HR,212,92,46,2024
Marketing,141,17,74,2025
Finance,206,72,3,2026
Marketing,118,63,2,2026
Marketing,258,78,18,2026
HR,473,38,69,2025
Marketing,391,88,21,2025
Marketing,271,50,37,2025
Sales,242,22,54,2025
Finance,283,24,35,2025
Finance,319,0,50,2024
HR,254,42,4,2025
Sales,276,8,40,2025
HR,147,34,39,2026
Operations,399,5,69,2025
Sales,441,75,53,2024
Finance,434,80,19,2026
Sales,269,41,53,2026
Marketing,103,96,35,2026
Finance,433,31,53,2025
IT,290,61,33,2026
Marketing,188,5,58,2025
Marketing,478,45,34,2025
Finance,396,13,6,2025
Finance,302,42,78,2025
Finance,184,36,34,2024
Operations,286,35,50,2024
Finance,468,28,59,2025
HR,116,84,37,2025
IT,71,18,73,2024
Operations,236,72,39,2024
Operations,127,22,1,2026
Sales,247,63,61,2025
Operations,439,24,44,2025
HR,374,84,68,2024
Sales,402,94,40,2026
HR,259,91,9,2024
Operations,64,69,45,2025
Operations,396,93,12,2025
HR,475,46,54,2025
Finance,480,39,55,2026
IT,452,34,13,2025
IT,477,76,7,2024
Operations,136,20,19,2024
Sales,128,8,65,2026
Sales,313,18,58,2025
Operations,206,3,27,2025
IT,172,81,78,2026
Finance,339,68,77,2025
Finance,31,14,40,2024
Marketing,287,12,56,2025
Operations,35,61,29,2026
Finance,304,35,31,2025
HR,24,17,19,2024
Sales,409,42,49,2024
Marketing,226,17,59,2026
HR,349,20,54,2025
Finance,140,29,44,2026
Operations,83,43,18,2025
Marketing,29,81,19,2024
Operations,297,53,22,2024
IT,189,83,60,2026
HR,27,50,31,2024
Finance,266,80,9,2024
Operations,403,98,21,2025
Marketing,141,43,70,2024
Sales,62,85,0,2025
IT,394,28,21,2026
Operations,217,24,13,2024
Operations,158,58,56,2026
HR,28,59,51,2024
HR,399,34,32,2024
Marketing,109,12,54,2024
Marketing,317,73,73,2024
HR,131,0,0,2024
Finance,391,53,0,2024
Finance,49,44,33,2026
Marketing,31,52,48,2025
IT,62,56,22,2024
Operations,378,68,65,2026
HR,340,20,46,2025
Operations,201,73,17,2024
Finance,160,0,79,2024
Marketing,104,50,4,2024
Marketing,451,52,42,2025
Marketing,329,68,31,2026
Sales,76,78,1,2025
Marketing,427,87,50,2025
Sales,104,78,52,2025
Marketing,319,38,58,2026
IT,418,21,78,2024
Sales,246,68,32,2026
IT,486,80,64,2024
IT,196,68,52,2026
Operations,416,20,49,2026
IT,72,59,61,2025
Finance,453,14,40,2024
Finance,88,56,78,2025
IT,332,53,59,2026
Operations,451,59,18,2024
Marketing,92,8,43,2024
Finance,60,47,5,2026
Marketing,22,22,23,2026
Sales,262,68,29,2026
IT,216,10,50,2024
HR,402,94,0,2026
IT,170,79,61,2026
Finance,356,25,24,2024
Marketing,119,38,56,2024
HR,408,58,59,2025
HR,356,97,42,2025
Sales,439,65,0,2026
Sales,327,39,14,2025
Finance,43,81,37,2024
Finance,99,43,19,2026
Finance,308,12,69,2025
Operations,50,98,42,2024
Finance,315,77,11,2025
HR,391,10,3,2024
Operations,434,2,0,2025
IT,296,70,40,2025
Operations,55,40,33,2026
Finance,25,94,67,2024
Finance,217,49,50,2026
IT,252,86,55,2024
Marketing,242,58,24,2026
IT,92,92,43,2025
HR,385,12,32,2026
Finance,140,85,17,2024
Marketing,28,22,5,2025
Operations,68,31,69,2024
Marketing,401,17,54,2024
IT,302,88,71,2026
IT,419,31,0,2024
Marketing,433,74,37,2025
Operations,57,61,49,2024
Operations,52,60,19,2024
Operations,154,73,70,2026
Finance,81,83,76,2024
Sales,76,33,61,2026
Finance,111,4,38,2026
Operations,140,51,21,2025
Operations,341,88,22,2025
Finance,468,38,63,2026
HR,370,92,38,2026
Finance,64,92,19,2025
Finance,235,33,34,2026
Finance,402,30,0,2025
HR,193,16,31,2024
IT,416,69,8,2026
IT,464,10,63,2026
Operations,276,71,21,2025
HR,32,21,6,2024
HR,281,16,19,2024
Finance,314,8,50,2024
HR,173,18,75,2024
HR,78,82,60,2024
