employee_id,remote_days_per_month,performance_score,work_life_balance_score,remote_suitability
72169,6,91,4,High
48303,5,67,4,Low
56635,20,59,1,Low
47059,19,82,4,High
42923,2,91,1,Low
24545,3,80,1,Low
15317,2,61,1,Low
28899,20,80,4,High
14853,3,90,3,Low
86684,11,87,1,Low
29900,6,58,2,Low
77139,0,65,3,Low
81549,8,54,5,Low
11089,9,96,3,Low
84878,8,84,4,High
58395,17,71,1,Low
29887,20,53,5,Low
8663,13,97,5,High
37227,19,95,2,Low
7058,0,96,4,High
28533,7,56,5,Low
51385,8,72,2,Low
26162,0,70,2,Low
13664,3,96,4,High
23840,18,70,1,Low
23411,12,85,2,Low
8405,11,61,3,Low
47437,7,56,1,Low
11077,13,89,1,Low
44876,9,92,2,Low
8592,19,62,2,Low
29168,14,61,5,Low
60438,4,68,1,Low
47262,7,83,5,High
66949,18,83,5,High
20896,14,89,1,Low
74202,19,50,3,Low
87648,21,72,3,Low
7366,12,77,5,High
44607,6,53,4,Low
18081,0,63,3,Low
26448,18,91,4,High
4121,4,95,4,High
82543,18,86,1,Low
58750,6,89,1,Low
67724,16,71,3,Low
18748,4,71,4,High
62061,6,56,3,Low
20301,20,99,1,Low
13299,11,60,1,Low
74654,18,58,4,Low
50390,3,72,1,Low
5939,0,75,1,Low
76816,16,88,5,High
22128,7,63,5,Low
69387,21,73,4,High
3934,12,63,4,Low
79870,9,53,3,Low
65331,7,76,2,Low
76180,6,58,5,Low
45988,18,66,5,Low
36223,2,69,2,Low
4582,12,89,1,Low
58252,12,79,3,Low
42334,15,79,1,Low
19309,17,78,3,Low
73748,16,50,1,Low
45981,17,75,4,High
89855,2,96,5,High
27755,8,64,5,Low
65439,13,77,5,High
77363,20,79,4,High
17390,12,50,5,Low
79630,13,74,3,Low
5369,3,94,2,Low
12498,4,75,3,Low
80366,2,79,5,High
79802,14,59,1,Low
61360,6,63,5,Low
26782,17,69,2,Low
47001,4,80,4,High
84523,8,75,2,Low
52305,8,50,3,Low
6547,15,90,2,Low
2089,1,83,2,Low
23157,18,96,5,High
51622,14,60,1,Low
4794,20,80,1,Low
48529,18,62,5,Low
38603,13,50,4,Low
13678,10,86,5,High
26004,12,53,4,Low
24315,13,82,3,Low
34399,6,56,4,Low
33797,11,81,1,Low
12171,19,61,4,Low
17592,20,55,4,Low
74349,20,73,4,High
50480,4,89,2,Low
70971,2,89,1,Low
39449,10,74,3,Low
86875,13,70,5,Low
53398,19,78,5,High
51402,3,69,3,Low
38618,0,81,4,High
87580,5,90,4,High
28679,4,74,1,Low
39904,21,75,2,Low
32378,21,66,3,Low
33502,8,72,1,Low
8872,13,77,5,High
57304,21,95,4,High
56086,4,83,5,High
77297,18,57,4,Low
13480,3,80,5,High
63798,12,64,4,Low
7493,3,87,5,High
76148,19,78,3,Low
53783,7,50,1,Low
243,21,61,3,Low
89759,3,99,2,Low
24939,4,73,5,High
62155,13,98,2,Low
19361,7,66,2,Low
68908,18,60,2,Low
68395,16,51,5,Low
36457,9,81,2,Low
2731,10,71,1,Low
55418,8,81,5,High
84450,16,61,4,Low
35790,14,65,4,Low
54106,0,92,5,High
473,4,97,1,Low
5320,20,64,2,Low
12781,3,76,5,High
72637,7,79,5,High
51697,19,68,3,Low
34486,0,92,3,Low
57430,1,58,3,Low
61858,9,70,3,Low
57947,20,52,4,Low
37891,7,91,3,Low
25307,8,90,2,Low
62114,18,96,3,Low
45434,5,98,2,Low
75145,20,78,1,Low
22248,20,66,1,Low
61303,14,58,5,Low
22638,12,67,4,Low
4704,18,55,2,Low
47404,10,90,3,Low
9230,18,76,1,Low
15286,4,96,3,Low
59791,8,71,4,High
4448,15,66,4,Low
26206,18,88,4,High
74739,0,56,1,Low
86443,11,84,2,Low
22143,18,80,5,High
32325,17,61,3,Low
80349,18,75,4,High
5005,2,65,2,Low
42047,1,71,1,Low
33850,6,60,3,Low
15557,8,51,1,Low
102,5,80,2,Low
39247,7,55,3,Low
78794,16,99,2,Low
34101,15,93,5,High
74793,8,74,5,High
71892,21,52,3,Low
32243,0,81,2,Low
13625,1,50,4,Low
52523,12,83,3,Low
37779,6,99,4,High
40297,10,62,1,Low
56838,16,77,3,Low
47607,5,85,5,High
48108,21,93,3,Low
15847,4,96,1,Low
2264,8,90,1,Low
19179,4,84,2,Low
20438,2,76,3,Low
77832,15,57,1,Low
67323,8,64,2,Low
33525,5,95,5,High
63602,9,97,1,Low
71699,18,65,5,Low
5430,2,94,3,Low
58037,17,79,5,High
69684,7,96,4,High
28184,18,91,2,Low
32592,6,65,4,Low
70815,14,60,2,Low
53443,19,93,1,Low
275,14,83,3,Low
68124,4,87,4,High
74323,10,78,5,High
58045,9,83,2,Low
9077,13,93,5,High
52014,11,73,3,Low
39241,10,51,3,Low
37953,17,56,1,Low
12698,19,65,3,Low
4237,20,75,4,High
40769,7,91,2,Low
10995,5,76,2,Low
43856,8,51,3,Low
50529,7,60,5,Low
2958,5,72,3,Low
65920,15,82,1,Low
24299,16,96,5,High
16135,3,68,5,Low
30619,10,83,1,Low
62229,1,90,3,Low
60278,6,80,5,High
59396,4,50,4,Low
7046,12,83,5,High
74312,9,98,1,Low
71855,0,94,5,High
18741,12,56,2,Low
33913,20,70,4,Low
23704,11,55,5,Low
65471,0,81,2,Low
17857,8,71,5,High
78200,6,80,5,High
69502,1,50,2,Low
8116,21,93,4,High
11332,12,69,1,Low
89739,2,67,3,Low
57880,20,88,5,High
48597,6,70,4,Low
2402,9,79,2,Low
66559,15,52,1,Low
7202,2,97,1,Low
5553,12,73,1,Low
73327,13,67,1,Low
73534,6,75,5,High
50072,16,64,3,Low
14337,6,84,4,High
45745,4,91,3,Low
3745,6,89,4,High
78903,4,85,5,High
46961,0,65,5,Low
80239,11,93,4,High
26092,19,55,3,Low
77586,2,87,5,High
78350,0,53,4,Low
55600,5,67,3,Low
5821,18,52,4,Low
87072,4,83,1,Low
33339,13,65,2,Low
87206,19,99,1,Low
34015,11,99,2,Low
13296,18,88,2,Low
86486,15,95,3,Low
55488,2,85,2,Low
7758,15,73,1,Low
56915,17,51,5,Low
51255,19,94,4,High
52770,14,62,1,Low
8739,16,76,4,High
9726,0,60,3,Low
89469,20,75,5,High
45814,4,63,5,Low
76777,3,60,3,Low
69739,7,86,2,Low
83197,7,78,4,High
62617,14,71,1,Low
49920,4,77,4,High
85171,18,60,5,Low
80018,14,91,3,Low
71918,1,51,4,Low
30259,16,80,5,High
64529,6,84,2,Low
59453,8,59,1,Low
5981,19,59,4,Low
51927,1,74,5,High
39901,16,81,2,Low
1076,18,55,1,Low
15436,21,77,4,High
65513,14,59,3,Low
7107,0,98,2,Low
30530,11,69,3,Low
76100,7,62,2,Low
74463,20,61,2,Low
39321,10,73,4,High
29317,3,87,5,High
79518,0,59,1,Low
51812,11,82,4,High
85749,5,50,2,Low
86786,2,61,4,Low
37740,20,58,3,Low
2057,2,91,3,Low
83688,11,90,5,High
64948,19,85,2,Low
76883,1,95,2,Low
72274,7,87,4,High
22974,4,61,5,Low
80424,8,59,2,Low
88330,14,80,4,High
18016,18,72,2,Low
86953,1,91,3,Low
86664,1,76,2,Low
68294,19,85,2,Low
88081,13,70,2,Low
80217,10,70,1,Low
30387,1,59,3,Low
80072,0,62,3,Low
73517,3,91,2,Low
87282,0,72,3,Low
87655,12,67,2,Low
48659,2,58,5,Low
60379,18,96,5,High
25387,16,98,5,High
11193,7,76,4,High
13261,7,58,1,Low
77299,12,90,3,Low
20005,0,71,1,Low
16115,14,94,4,High
2154,11,98,4,High
39660,18,91,3,Low
46780,18,53,3,Low
83068,0,67,2,Low
51773,18,86,5,High
43022,3,84,3,Low
84488,2,83,2,Low
10603,3,80,1,Low
64095,7,82,1,Low
67630,17,68,5,Low
40114,10,84,1,Low
72163,11,76,1,Low
57276,11,92,5,High
29286,9,76,5,High
34426,13,92,5,High
41518,18,55,2,Low
35161,12,55,2,Low
41882,10,94,4,High
26616,17,51,5,Low
53250,9,89,1,Low
15917,4,93,4,High
6252,11,57,1,Low
12168,13,70,1,Low
48417,14,83,2,Low
18076,11,94,4,High
3765,16,76,2,Low
6245,15,93,4,High
42909,15,96,2,Low
32810,11,54,4,Low
34462,11,97,2,Low
1469,6,84,3,Low
29559,1,69,5,Low
52114,9,89,1,Low
15239,20,72,3,Low
13063,3,97,5,High
5571,0,78,3,Low
9788,6,68,1,Low
6327,2,85,4,High
9775,10,50,4,Low
26417,11,90,3,Low
35912,15,51,1,Low
88319,2,89,1,Low
54118,9,97,4,High
2949,1,60,5,Low
79389,3,81,5,High
82384,13,73,5,High
77895,20,69,3,Low
19225,5,97,1,Low
32872,7,89,1,Low
86442,5,92,1,Low
24469,20,96,3,Low
76483,1,69,3,Low
44499,11,65,5,Low
66011,16,69,1,Low
58864,11,70,1,Low
20947,12,65,1,Low
7330,18,87,1,Low
40604,3,85,5,High
33404,17,93,1,Low
89579,20,61,3,Low
44223,4,87,3,Low
2273,11,50,5,Low
35702,15,86,4,High
77597,3,67,5,Low
71560,20,99,3,Low
75742,9,66,5,Low
9341,21,71,3,Low
88621,0,61,3,Low
23621,15,70,5,Low
61347,6,88,2,Low
44468,2,73,3,Low
3837,1,98,3,Low
73145,12,77,3,Low
72599,5,76,5,High
80084,15,61,2,Low
54470,5,96,3,Low
14847,10,87,3,Low
34755,14,83,2,Low
53616,4,86,5,High
74629,6,80,3,Low
63374,20,72,2,Low
36267,18,84,3,Low
6382,5,78,3,Low
58530,13,99,3,Low
69721,17,65,3,Low
41534,4,92,2,Low
61850,19,58,5,Low
72188,20,97,3,Low
88562,9,68,4,Low
14306,8,61,3,Low
86388,9,56,5,Low
77226,9,70,3,Low
28704,9,77,1,Low
44604,12,69,1,Low
62870,13,83,4,High
57333,17,57,4,Low
15972,6,84,5,High
25251,3,67,5,Low
50799,21,69,1,Low
83668,12,76,1,Low
60804,12,98,3,Low
17182,0,90,5,High
33132,15,52,5,Low
41999,13,57,4,Low
77116,10,62,4,Low
28339,19,93,3,Low
46194,14,92,4,High
31250,1,98,3,Low
36253,6,72,2,Low
76577,0,93,3,Low
35018,15,83,2,Low
14963,13,55,5,Low
85828,9,83,3,Low
9555,7,93,4,High
3832,19,51,5,Low
59626,3,72,5,High
30145,19,51,5,Low
31019,17,85,1,Low
88385,5,69,5,Low
21509,7,87,1,Low
84974,0,68,3,Low
7900,1,84,4,High
81626,0,83,3,Low
17443,18,98,5,High
72331,15,80,5,High
23015,20,97,2,Low
52030,5,85,1,Low
87010,8,65,2,Low
53978,6,79,4,High
45593,4,53,1,Low
19964,3,75,3,Low
6686,20,73,2,Low
62678,2,82,2,Low
64272,6,50,3,Low
80976,0,82,4,High
60071,3,67,2,Low
21306,10,73,3,Low
79271,9,82,4,High
84505,16,59,5,Low
69578,14,58,2,Low
55792,0,83,3,Low
23111,21,72,5,High
69844,5,76,4,High
5905,5,56,1,Low
86468,11,52,4,Low
76600,14,50,2,Low
40881,6,82,1,Low
11909,15,61,1,Low
65645,12,89,4,High
41477,9,58,3,Low
2983,5,93,5,High
27632,20,70,4,Low
39305,6,69,5,Low
27776,18,82,4,High
50713,7,73,5,High
77140,14,53,2,Low
59139,4,73,4,High
61586,6,71,1,Low
85136,21,92,2,Low
70130,7,81,1,Low
18700,11,88,4,High
60301,9,78,2,Low
49563,6,80,1,Low
12107,9,82,4,High
89185,17,73,2,Low
47313,3,86,4,High
72941,1,75,4,High
31391,20,51,4,Low
57281,12,56,5,Low
48219,19,69,1,Low
17065,9,71,1,Low
89081,7,85,5,High
21987,6,52,3,Low
63079,13,99,4,High
50735,0,59,4,Low
9428,15,75,3,Low
53352,2,76,5,High
34169,4,54,5,Low
31583,18,53,2,Low
84449,10,72,4,High
7327,4,51,3,Low
80164,8,85,2,Low
32138,12,84,5,High
54460,11,75,3,Low
14397,9,59,1,Low
34252,0,52,1,Low
2682,13,67,1,Low
62173,10,59,4,Low
88041,11,61,4,Low
35356,5,72,1,Low
77944,12,94,3,Low
78597,4,90,2,Low
14731,18,75,5,High
22060,0,78,5,High
5283,2,85,4,High
1643,6,65,5,Low
22683,8,90,5,High
29245,14,92,4,High
80601,18,52,1,Low
52529,14,86,1,Low
8748,17,77,3,Low
16000,7,69,5,Low
12401,9,85,3,Low
11836,0,84,2,Low
28977,15,94,2,Low
86021,14,57,4,Low
15557,1,97,1,Low
88648,4,64,5,Low
51591,5,97,5,High
19268,16,51,3,Low
12924,15,72,4,High
87084,6,52,5,Low
33827,19,61,1,Low
83881,9,78,2,Low
2629,7,84,1,Low
86589,18,78,5,High
1422,19,56,4,Low
7367,1,55,4,Low
55912,19,70,2,Low
27805,0,92,4,High
81896,13,84,4,High
2932,21,54,1,Low
27180,12,96,1,Low
44951,18,93,5,High
50104,11,85,3,Low
82273,0,89,1,Low
74666,16,55,3,Low
88441,1,66,1,Low
3180,6,86,3,Low
44862,21,58,3,Low
2404,2,80,3,Low
25936,7,85,5,High
61237,17,75,5,High
34845,19,67,5,Low
77279,5,98,1,Low
73356,20,73,3,Low
29376,18,95,2,Low
58834,21,85,2,Low
21152,7,68,2,Low
89998,2,81,3,Low
14554,6,97,1,Low
86862,16,96,1,Low
66213,21,71,5,High
54365,12,89,5,High
9986,3,54,2,Low
76308,9,53,3,Low
74096,20,57,4,Low
75572,17,56,3,Low
52877,11,70,2,Low
13797,15,61,4,Low
23569,18,83,2,Low
45027,16,73,2,Low
71100,13,57,4,Low
2321,20,78,3,Low
12183,6,92,3,Low
31320,10,70,4,Low
84659,1,50,5,Low
70127,21,92,1,Low
21734,8,96,2,Low
59061,11,98,5,High
75994,9,50,5,Low
21373,7,64,2,Low
68410,0,74,1,Low
23852,19,69,5,Low
42998,14,82,1,Low
32279,6,87,2,Low
18611,0,97,1,Low
57599,12,72,5,High
6370,15,61,2,Low
64822,11,78,3,Low
27715,15,80,3,Low
38170,13,73,5,High
8944,5,63,4,Low
19715,2,75,4,High
17004,11,76,1,Low
38643,12,92,2,Low
69751,17,67,4,Low
62750,17,67,4,Low
57029,2,75,2,Low
37593,9,65,2,Low
26261,16,62,1,Low
74111,7,90,5,High
19197,20,90,4,High
29482,12,98,1,Low
88185,10,95,4,High
82707,3,82,3,Low
21248,15,85,2,Low
43245,12,52,2,Low
76075,16,52,3,Low
59934,6,72,2,Low
48958,14,87,4,High
67206,20,94,5,High
56715,21,68,1,Low
43749,14,92,3,Low
73807,15,73,2,Low
5984,2,55,3,Low
75150,12,51,1,Low
84050,20,77,2,Low
85532,0,72,5,High
60872,16,99,4,High
81756,21,72,4,High
9798,12,80,1,Low
34935,20,68,1,Low
88816,1,89,2,Low
79167,18,88,2,Low
61344,8,79,5,High
37424,13,67,4,Low
24254,18,68,1,Low
44383,19,63,5,Low
87468,21,55,2,Low
16237,20,72,2,Low
67942,19,54,2,Low
80040,4,72,2,Low
15089,15,97,5,High
19281,11,66,2,Low
77147,1,55,2,Low
29525,14,59,2,Low
24422,20,69,3,Low
8402,17,64,5,Low
60576,12,84,2,Low
15449,19,78,3,Low
12213,9,69,4,Low
18008,1,86,4,High
45925,2,84,2,Low
33507,14,89,5,High
77119,9,64,5,Low
14171,14,93,5,High
27285,19,63,5,Low
42390,18,71,3,Low
19219,17,63,3,Low
63444,6,90,1,Low
46979,8,64,3,Low
33041,16,62,2,Low
59896,15,85,5,High
26706,6,62,4,Low
40606,1,55,2,Low
34612,16,91,4,High
66203,2,51,1,Low
71505,21,98,4,High
88960,8,86,5,High
22317,20,64,2,Low
81362,10,82,2,Low
6513,6,66,2,Low
25496,2,93,4,High
70074,11,70,5,Low
73552,2,70,2,Low
47513,6,79,3,Low
87882,12,91,4,High
69217,5,69,5,Low
18508,0,89,1,Low
55829,8,85,4,High
63620,4,55,1,Low
36161,19,61,2,Low
53975,8,92,2,Low
21187,13,84,3,Low
66353,3,57,5,Low
48190,20,72,2,Low
70653,11,68,3,Low
65304,11,97,5,High
62633,7,95,4,High
39967,5,87,4,High
76840,9,87,2,Low
31325,8,52,4,Low
22912,10,81,5,High
57792,19,51,3,Low
71017,12,99,1,Low
18804,6,89,1,Low
51201,10,93,5,High
8432,14,67,4,Low
74108,19,63,2,Low
59978,4,65,3,Low
22963,8,59,1,Low
81221,2,67,3,Low
31225,1,57,5,Low
27376,0,57,1,Low
12949,18,99,1,Low
47125,18,86,4,High
72406,10,63,5,Low
1615,3,77,4,High
61379,14,75,4,High
47911,10,86,4,High
87932,17,84,1,Low
26941,1,76,4,High
7589,17,74,5,High
70615,14,72,2,Low
67350,15,60,5,Low
43645,17,95,5,High
63076,15,88,1,Low
82005,14,50,5,Low
44553,19,81,5,High
74154,10,60,3,Low
41762,14,66,2,Low
49283,15,85,1,Low
72645,1,52,3,Low
22487,21,74,3,Low
49976,17,91,4,High
22442,1,61,2,Low
73766,8,69,4,Low
28385,18,79,3,Low
68461,2,66,1,Low
11696,9,68,1,Low
9551,1,53,3,Low
28190,2,91,2,Low
33876,4,99,3,Low
28713,11,52,4,Low
72069,12,84,2,Low
74299,10,89,5,High
82818,9,92,4,High
50894,14,51,4,Low
62565,3,73,2,Low
59951,4,98,3,Low
78517,16,88,3,Low
32815,6,66,3,Low
49920,7,95,5,High
32956,13,77,1,Low
20636,16,50,5,Low
52365,19,54,2,Low
50987,17,90,5,High
3528,10,81,1,Low
43014,19,51,2,Low
39673,3,98,5,High
84757,5,99,1,Low
36283,2,88,2,Low
40070,13,57,2,Low
86576,13,94,5,High
74085,13,74,1,Low
31435,0,55,4,Low
81251,4,63,5,Low
81301,16,82,4,High
21547,5,85,2,Low
50707,10,56,4,Low
64556,17,86,2,Low
2522,17,51,1,Low
62868,5,56,1,Low
84721,19,60,2,Low
65879,0,73,5,High
52903,19,82,2,Low
88085,20,85,1,Low
44683,7,63,2,Low
10672,3,58,5,Low
9790,14,54,1,Low
12232,19,53,4,Low
49283,6,65,3,Low
35128,7,61,3,Low
56089,17,91,2,Low
18661,15,84,5,High
16872,19,82,1,Low
15538,2,90,5,High
9866,14,81,4,High
19986,16,85,4,High
30199,14,69,5,Low
26773,2,72,5,High
28974,9,61,2,Low
51336,8,85,4,High
4228,8,91,3,Low
78197,0,55,1,Low
27413,17,87,4,High
22450,4,91,3,Low
76748,12,50,2,Low
57106,14,93,2,Low
78858,9,51,5,Low
5076,19,68,2,Low
61165,0,56,2,Low
82928,5,79,4,High
4571,6,80,2,Low
23630,20,74,3,Low
64076,21,89,4,High
62530,0,78,3,Low
34205,11,63,1,Low
60357,4,74,5,High
49189,17,71,4,High
53776,14,83,4,High
32388,7,66,2,Low
86483,20,89,3,Low
70465,0,73,1,Low
39138,6,98,1,Low
10097,3,64,3,Low
12720,11,78,5,High
23358,10,80,2,Low
59192,5,62,2,Low
17547,5,87,4,High
7901,14,74,4,High
24148,0,83,5,High
43569,6,86,5,High
78591,5,75,3,Low
82190,13,89,3,Low
22258,15,89,5,High
57698,2,87,4,High
10566,21,93,1,Low
34368,17,70,1,Low
56395,10,90,5,High
74560,18,63,1,Low
54034,2,81,5,High
39095,2,93,3,Low
9664,14,94,4,High
47117,0,82,4,High
73479,8,86,1,Low
17337,13,85,3,Low
27282,13,92,3,Low
48831,13,71,2,Low
80674,3,51,3,Low
22181,18,57,4,Low
18748,5,51,1,Low
270,4,59,5,Low
41752,20,85,1,Low
85135,5,71,3,Low
88161,17,99,5,High
86,10,58,3,Low
58281,16,61,5,Low
38920,6,83,5,High
46682,12,85,3,Low
84508,15,98,3,Low
72060,2,71,3,Low
27938,4,74,2,Low
18198,8,56,4,Low
46254,18,83,3,Low
8542,3,62,1,Low
44489,21,69,1,Low
58090,2,53,1,Low
63699,8,56,2,Low
70292,18,76,3,Low
14615,9,67,5,Low
50091,21,84,3,Low
31809,10,71,2,Low
53573,8,54,1,Low
70046,9,76,1,Low
17483,16,72,1,Low
58887,3,93,4,High
48848,17,58,5,Low
87751,19,67,3,Low
56381,16,92,1,Low
88226,17,53,4,Low
29386,12,77,3,Low
19496,13,82,4,High
55144,8,86,1,Low
58075,6,81,4,High
12273,6,93,4,High
75683,13,85,5,High
21556,15,77,3,Low
52169,17,53,3,Low
65721,13,96,5,High
77615,13,92,1,Low
54004,6,80,1,Low
44489,9,54,1,Low
26435,18,90,3,Low
53692,10,78,3,Low
76682,16,57,3,Low
32341,4,53,4,Low
54603,6,98,4,High
33745,19,66,4,Low
1087,14,75,3,Low
65150,7,99,3,Low
89044,10,63,4,Low
25861,17,71,4,High
5678,14,98,5,High
49495,17,93,5,High
14163,19,82,2,Low
69488,8,67,2,Low
27933,0,96,5,High
65844,8,73,4,High
70788,10,86,2,Low
66943,4,57,1,Low
37430,13,86,1,Low
70130,21,90,5,High
24402,13,99,1,Low
68729,15,92,5,High
10189,20,95,5,High
61787,19,56,2,Low
38944,13,97,5,High
54913,17,77,2,Low
10388,11,72,3,Low
72601,16,88,5,High
36389,0,99,5,High
31631,13,76,1,Low
25477,1,92,3,Low
744,5,93,4,High
17003,5,95,1,Low
84303,10,82,4,High
17422,15,58,2,Low
43241,7,74,1,Low
42773,18,88,5,High
10796,16,71,4,High
58963,9,87,1,Low
79664,14,54,1,Low
13925,12,92,1,Low
20937,11,83,5,High
49693,12,63,3,Low
22953,16,80,3,Low
62249,5,92,2,Low
72605,11,50,5,Low
46225,15,64,2,Low
63917,12,51,4,Low
36856,1,68,2,Low
86009,14,65,1,Low
53499,15,84,2,Low
67935,2,60,1,Low
84252,4,64,5,Low
16249,13,67,4,Low
78979,18,94,1,Low
24187,2,86,5,High
50572,20,50,4,Low
60854,5,88,1,Low
5367,21,64,4,Low
44941,10,99,2,Low
11547,6,56,2,Low
68326,19,66,3,Low
14399,8,86,1,Low
11608,16,79,5,High
74374,18,86,2,Low
81496,14,62,5,Low
14982,2,87,3,Low
2829,11,52,3,Low
11595,7,73,1,Low
73796,12,80,2,Low
67366,8,50,4,Low
88319,11,92,2,Low
48510,20,88,1,Low
15823,19,96,4,High
2374,10,71,1,Low
24982,14,94,1,Low
63787,16,89,4,High
85110,14,63,1,Low
88138,3,98,1,Low
31369,7,73,3,Low
18031,11,92,4,High
84156,14,69,2,Low
58561,10,55,1,Low
32725,9,56,4,Low
34688,12,81,5,High
30780,18,56,3,Low
46908,11,87,3,Low
74408,20,73,5,High
71068,17,86,4,High
4431,10,67,1,Low
5387,14,60,2,Low
34600,4,50,4,Low
38247,18,66,3,Low
51460,10,60,5,Low
35920,8,93,3,Low
53819,9,59,4,Low
46971,8,88,3,Low
11522,11,51,4,Low
3438,15,88,3,Low
4163,10,64,2,Low
75556,15,53,4,Low
39069,17,99,2,Low
74596,5,68,3,Low
20978,3,86,3,Low
41936,3,77,5,High
26779,16,57,4,Low
1299,17,86,4,High
21488,4,59,4,Low
70322,1,87,2,Low
42096,13,77,1,Low
2679,11,80,5,High
57882,21,88,5,High
78297,11,54,2,Low
21559,10,87,5,High
12823,5,57,4,Low
75710,16,52,1,Low
31767,12,92,5,High
74028,10,72,1,Low
25578,11,88,5,High
31003,13,69,2,Low
39812,11,94,1,Low
26047,21,84,1,Low
32966,10,88,4,High
44778,0,60,1,Low
24406,8,57,5,Low
2054,17,61,3,Low
81619,20,98,1,Low
17802,1,69,3,Low
65573,18,88,5,High
29559,0,80,2,Low
73037,10,63,5,Low
86805,13,61,4,Low
55806,1,84,3,Low
48511,5,72,4,High
62336,2,69,5,Low
4522,2,60,5,Low
63159,5,90,2,Low
51060,2,98,3,Low
89127,6,94,1,Low
69806,17,74,5,High
37451,10,81,4,High
5331,20,81,1,Low
84326,12,79,4,High
52750,3,65,5,Low
10396,21,54,3,Low
47433,4,74,2,Low
13919,6,70,2,Low
85152,0,54,3,Low
36446,21,87,2,Low
45926,14,67,4,Low
26127,0,54,5,Low
67719,21,87,5,High
5397,13,98,4,High
9262,10,64,3,Low
29447,19,61,4,Low
82102,17,53,2,Low
55276,16,56,2,Low
11236,17,61,4,Low
