ad_id,platform,reach,engagements,engagement_rate,ad_date
29324,Twitter,76121,9773,0.1284,2019-03-01 08:15:18
10682,Twitter,85812,7335,0.0855,2020-03-05 20:57:09
27348,Instagram,193785,11259,0.0581,2023-07-20 10:14:22
716,Facebook,65795,5119,0.0778,2018-11-30 19:50:50
29485,Facebook,186471,16387,0.0879,2021-03-16 13:46:52
11305,Twitter,135841,24160,0.1779,2023-12-10 06:07:15
6469,Facebook,55892,2508,0.0449,2022-07-02 02:36:09
29605,LinkedIn,160325,30761,0.1919,2018-07-05 10:02:00
2044,Instagram,183810,50542,0.275,2024-10-05 12:19:51
22099,Instagram,182950,3892,0.0213,2022-06-18 06:24:18
26284,Instagram,147697,4212,0.0285,2023-11-24 17:45:11
23014,Instagram,147060,6673,0.0454,2022-03-12 10:35:07
27062,Facebook,117545,6523,0.0555,2018-05-22 22:25:48
15692,Instagram,16415,2582,0.1573,2021-03-25 12:28:18
17237,Twitter,151025,23771,0.1574,2020-02-03 13:54:57
20844,Instagram,113410,29795,0.2627,2022-01-19 13:20:52
6100,Facebook,73966,7663,0.1036,2019-04-24 20:15:27
11969,Facebook,2463,653,0.2651,2022-08-26 14:26:41
4853,Twitter,4461,189,0.0424,2018-10-20 18:54:09
202,LinkedIn,52366,5645,0.1078,2021-04-16 17:32:14
24460,Facebook,105280,23327,0.2216,2018-12-19 03:59:18
3961,Twitter,145542,21495,0.1477,2023-03-05 02:11:14
5112,Facebook,22769,5532,0.243,2021-10-18 09:43:22
11850,Instagram,165734,38498,0.2323,2020-07-10 15:56:01
29231,Instagram,183593,45326,0.2469,2021-12-01 22:25:04
22894,Instagram,162457,36056,0.2219,2020-02-22 03:07:07
13802,Facebook,55605,1159,0.0208,2021-09-22 16:49:40
28460,Facebook,124817,21012,0.1683,2023-08-07 12:53:54
18834,Instagram,95467,14820,0.1552,2020-09-05 03:07:03
7098,Twitter,162818,33119,0.2034,2023-04-07 03:34:54
9066,Instagram,101024,9160,0.0907,2020-05-17 09:54:58
18835,Facebook,196716,58012,0.2949,2023-07-26 19:23:41
16718,Instagram,124077,19877,0.1602,2022-12-22 15:55:12
19145,Facebook,130508,32249,0.2471,2024-09-03 22:09:21
14962,LinkedIn,148787,31382,0.2109,2018-05-26 04:43:36
23934,Facebook,167238,36194,0.2164,2023-09-27 03:56:47
24909,Facebook,19269,3281,0.1703,2024-09-20 14:43:55
28860,Twitter,148283,13078,0.0882,2020-08-06 09:12:05
29274,Twitter,114681,17894,0.156,2021-05-23 15:08:27
22476,Twitter,118257,29409,0.2487,2020-01-11 08:22:25
23413,Twitter,79872,16789,0.2102,2019-08-09 14:43:33
373,Facebook,159181,25317,0.159,2024-04-08 03:32:31
23812,LinkedIn,109403,28315,0.2588,2018-12-06 08:38:28
25431,Instagram,21965,2941,0.1339,2019-02-19 06:07:44
17701,LinkedIn,61022,15425,0.2528,2020-10-24 17:45:55
23607,Instagram,191758,36585,0.1908,2022-03-10 17:55:55
1043,LinkedIn,117516,32083,0.273,2019-10-20 20:33:11
2215,Twitter,83016,3182,0.0383,2019-06-12 13:09:26
11276,Twitter,95126,2024,0.0213,2020-09-27 21:38:23
21919,Twitter,6062,968,0.1597,2020-04-02 05:26:07
14367,LinkedIn,58949,15941,0.2704,2024-05-05 06:18:34
16849,Facebook,88673,6812,0.0768,2022-04-22 21:51:20
242,Twitter,137899,26582,0.1928,2021-03-03 08:26:32
27596,Twitter,184439,24557,0.1331,2019-02-05 23:46:59
15608,Instagram,32536,3713,0.1141,2023-12-22 16:04:39
5342,Instagram,28090,2426,0.0864,2020-09-28 21:35:15
11410,Facebook,78196,14682,0.1878,2023-09-07 07:06:50
17690,Instagram,9876,2470,0.2501,2023-08-07 15:54:01
2002,LinkedIn,111524,29427,0.2639,2023-06-30 17:15:03
7012,LinkedIn,157429,41941,0.2664,2023-08-02 13:17:40
4003,Instagram,94224,5376,0.0571,2024-01-07 21:18:54
4554,Facebook,73772,13409,0.1818,2022-03-25 21:43:33
24490,Instagram,41161,2835,0.0689,2024-02-16 20:25:27
21762,LinkedIn,95780,9051,0.0945,2023-12-16 02:05:37
29584,Instagram,100055,13979,0.1397,2021-07-23 05:08:10
4615,Twitter,61602,4309,0.0699,2023-06-30 23:04:50
6092,Twitter,54426,3448,0.0634,2024-08-29 08:41:37
3011,Twitter,49942,13650,0.2733,2024-01-04 17:32:39
5289,Facebook,184224,31031,0.1684,2023-06-22 09:41:52
7056,Twitter,167355,16831,0.1006,2024-08-11 15:47:21
19612,Instagram,36866,2389,0.0648,2023-04-28 13:47:00
6090,Facebook,47005,7799,0.1659,2022-10-09 08:31:34
6612,Facebook,78280,17989,0.2298,2020-12-02 00:16:45
5374,Facebook,131505,15426,0.1173,2020-10-26 00:19:13
8952,Facebook,160942,15492,0.0963,2023-12-28 03:37:47
21682,Twitter,152311,25638,0.1683,2022-10-01 20:53:23
9617,LinkedIn,197444,14706,0.0745,2018-05-25 04:43:00
21647,Twitter,25595,7015,0.2741,2020-07-20 06:36:42
18343,Twitter,34455,10086,0.2927,2018-09-01 23:09:41
1335,LinkedIn,57896,14002,0.2418,2021-11-15 11:01:01
11423,Twitter,75076,20016,0.2666,2022-05-08 11:33:36
1540,LinkedIn,38667,8163,0.2111,2023-02-04 07:42:12
25871,LinkedIn,12735,3524,0.2767,2020-10-31 07:19:18
22214,LinkedIn,157441,8509,0.054,2020-07-05 10:29:10
6320,Twitter,115218,10040,0.0871,2020-09-04 06:20:37
14684,LinkedIn,35102,9405,0.2679,2023-11-22 07:10:04
28260,Facebook,80101,9643,0.1204,2022-02-19 04:07:08
5374,Twitter,49342,1990,0.0403,2019-06-27 17:06:33
24673,Twitter,133965,18788,0.1402,2018-04-11 22:27:25
25609,Facebook,150140,36465,0.2429,2019-03-25 01:16:47
3091,Twitter,35360,4494,0.1271,2018-03-12 03:54:38
17740,Instagram,181084,45440,0.2509,2023-02-17 13:19:14
27053,Instagram,156024,13052,0.0837,2021-06-26 02:21:06
14025,Twitter,150987,27457,0.1819,2021-03-18 09:14:04
24063,Instagram,91351,13243,0.145,2019-01-12 03:02:39
17192,Twitter,155832,18997,0.1219,2024-02-28 07:09:24
28591,Instagram,91714,15178,0.1655,2024-10-08 21:06:57
7986,Facebook,155141,22053,0.1421,2018-02-11 00:53:43
12516,Facebook,136395,9117,0.0668,2018-07-27 09:59:23
26389,Twitter,176118,40174,0.2281,2018-01-03 05:53:50
23979,LinkedIn,134267,3665,0.0273,2020-05-17 21:25:14
27263,Instagram,72732,13041,0.1793,2022-03-10 11:02:19
9144,LinkedIn,187886,19792,0.1053,2024-05-14 00:44:11
23070,LinkedIn,24163,6197,0.2565,2020-09-09 17:54:17
1467,Twitter,75943,9958,0.1311,2019-09-13 02:40:51
27833,Facebook,143825,37040,0.2575,2024-08-07 19:58:24
13665,Instagram,84402,6283,0.0744,2020-09-28 01:03:17
8422,Instagram,12036,389,0.0323,2019-10-06 16:54:42
9738,LinkedIn,5260,321,0.061,2023-12-29 03:03:21
2098,Twitter,144843,27081,0.187,2019-09-06 14:06:02
15892,LinkedIn,135568,14094,0.104,2018-11-28 06:31:21
24177,Facebook,52892,10665,0.2016,2022-08-07 22:33:22
16046,Twitter,199891,7645,0.0382,2023-05-30 22:05:15
27419,LinkedIn,130790,26876,0.2055,2023-04-29 18:28:43
29938,Twitter,123171,24489,0.1988,2022-10-16 19:13:23
3001,LinkedIn,52749,8166,0.1548,2019-07-25 21:36:53
22371,Instagram,169113,6230,0.0368,2024-10-28 15:55:57
8265,Twitter,184649,26861,0.1455,2020-01-08 11:05:46
7164,Twitter,45270,12554,0.2773,2018-03-25 00:17:45
393,Instagram,129360,33044,0.2554,2024-01-28 00:39:43
11531,Instagram,128465,5549,0.0432,2018-04-16 13:40:29
23228,Instagram,31328,7697,0.2457,2019-07-03 12:52:10
8510,Instagram,31819,5550,0.1744,2018-06-23 23:54:40
15120,LinkedIn,129973,5398,0.0415,2020-12-14 02:50:21
11417,Twitter,196985,58350,0.2962,2020-05-08 09:19:18
18510,Twitter,87674,2478,0.0283,2023-04-12 18:25:21
3798,Facebook,10949,3012,0.2751,2018-12-15 11:51:31
2600,Instagram,109858,3785,0.0345,2018-07-02 05:09:52
24460,LinkedIn,11060,2552,0.2307,2020-02-18 06:49:12
4534,Facebook,150693,10823,0.0718,2022-03-03 18:34:13
18557,Twitter,189460,23589,0.1245,2019-08-03 20:39:49
23539,LinkedIn,111890,13463,0.1203,2022-09-22 01:07:09
16874,Instagram,8482,1643,0.1937,2018-05-23 05:40:57
7057,Twitter,104039,30794,0.296,2024-12-08 19:20:49
27065,Twitter,156762,38989,0.2487,2023-08-02 09:21:05
11377,Twitter,73711,20586,0.2793,2024-10-05 12:00:34
6911,LinkedIn,72627,18019,0.2481,2020-01-04 09:07:44
13295,Twitter,43311,5570,0.1286,2021-06-20 05:11:33
15581,Twitter,161805,20572,0.1271,2024-01-11 21:53:03
17304,LinkedIn,5525,1220,0.2208,2022-09-16 14:48:25
3419,Instagram,113980,21757,0.1909,2021-06-05 19:46:14
14886,LinkedIn,181057,51518,0.2845,2020-12-19 12:15:45
26857,Twitter,35570,9256,0.2602,2022-11-17 04:21:03
15963,Facebook,133189,17338,0.1302,2024-02-19 22:16:49
1357,Twitter,91230,21206,0.2324,2022-05-26 02:44:38
22359,Instagram,90209,12573,0.1394,2021-05-18 03:48:28
5141,Twitter,83862,20899,0.2492,2020-12-30 07:03:07
9162,Facebook,163262,21796,0.1335,2024-12-27 09:42:45
2386,LinkedIn,176555,26958,0.1527,2021-12-10 21:56:52
1345,LinkedIn,98589,14105,0.1431,2018-07-02 14:04:07
1558,LinkedIn,12547,1732,0.138,2024-11-19 13:55:00
18791,LinkedIn,132458,16501,0.1246,2023-09-03 19:31:12
15781,Instagram,77247,10959,0.1419,2020-08-17 16:48:41
21783,LinkedIn,35807,3701,0.1034,2018-01-19 09:23:07
18516,Twitter,156457,14269,0.0912,2023-11-26 21:02:02
24134,Instagram,94217,6885,0.0731,2019-01-11 18:02:15
21622,Twitter,199619,35520,0.1779,2019-08-16 23:24:25
27480,Twitter,61570,2220,0.0361,2020-04-10 08:33:47
19027,LinkedIn,16892,4033,0.2388,2023-03-02 06:33:36
27407,Instagram,727,116,0.1596,2019-02-07 10:43:09
296,Twitter,139003,15717,0.1131,2019-03-02 03:45:26
23378,LinkedIn,154017,36394,0.2363,2023-12-12 05:45:44
6117,Twitter,77572,22248,0.2868,2019-07-02 19:07:25
5100,Twitter,116389,34356,0.2952,2023-05-03 19:19:45
9249,Facebook,51113,14706,0.2877,2021-04-11 05:07:37
194,LinkedIn,33465,7971,0.2382,2020-02-19 19:52:41
376,Facebook,43549,8559,0.1965,2024-03-03 09:32:50
23885,Facebook,111559,2981,0.0267,2021-03-20 10:19:08
24578,Instagram,28602,2416,0.0845,2018-01-17 03:30:52
17601,Twitter,48827,13819,0.283,2018-05-31 11:16:30
6683,LinkedIn,67851,9857,0.1453,2019-05-15 12:41:43
27073,Instagram,172700,32825,0.1901,2024-02-22 09:08:32
16344,Twitter,160681,30266,0.1884,2020-05-04 08:06:15
7129,Facebook,191639,20406,0.1065,2020-08-15 19:57:15
12885,Facebook,78167,2541,0.0325,2024-10-08 17:16:17
5203,LinkedIn,120330,17082,0.142,2019-09-02 04:35:13
25193,Twitter,199530,21238,0.1064,2019-08-04 01:56:08
15689,Facebook,21643,5015,0.2317,2022-09-05 19:51:25
8889,LinkedIn,185292,25890,0.1397,2024-10-19 01:22:27
23313,Twitter,138067,41231,0.2986,2024-05-29 19:10:45
22076,Instagram,117245,22164,0.189,2022-01-11 11:21:31
15607,LinkedIn,4559,959,0.2104,2023-08-01 15:54:00
26528,Instagram,114462,29267,0.2557,2024-04-09 21:37:27
29341,Facebook,11540,2378,0.2061,2020-11-25 15:28:10
27740,Facebook,110918,21366,0.1926,2019-10-20 07:21:09
3677,Instagram,176482,19679,0.1115,2018-11-28 02:20:54
27149,LinkedIn,140750,42071,0.2989,2018-06-06 07:55:29
20430,LinkedIn,24760,4195,0.1694,2023-03-12 20:32:57
16510,Instagram,196927,5282,0.0268,2023-03-24 05:05:00
5318,Facebook,152927,4813,0.0315,2024-04-26 00:20:34
19074,Facebook,166880,32546,0.195,2019-03-03 15:32:04
15654,Instagram,36303,3320,0.0915,2020-09-28 05:09:59
28434,Instagram,184470,4641,0.0252,2024-01-26 14:23:35
5064,Twitter,170408,37499,0.2201,2024-08-26 15:47:17
16903,LinkedIn,189324,44661,0.2359,2021-01-27 20:38:03
21985,Facebook,24278,6177,0.2544,2024-12-28 04:06:47
13157,Twitter,107761,17087,0.1586,2023-10-25 03:08:45
2898,Instagram,51970,10132,0.195,2020-05-30 18:34:56
17279,Twitter,24904,6985,0.2805,2020-02-19 00:09:27
23975,Instagram,163561,9178,0.0561,2022-06-12 13:39:46
26782,LinkedIn,184457,11411,0.0619,2022-03-21 04:20:40
3690,Twitter,173674,19580,0.1127,2020-07-09 13:18:58
13904,Twitter,6424,1627,0.2533,2021-10-25 13:34:36
6546,LinkedIn,172254,41264,0.2396,2018-09-28 10:47:39
14314,LinkedIn,167561,7714,0.046,2019-03-04 06:05:18
15193,LinkedIn,22319,4576,0.205,2021-09-28 17:37:17
6167,LinkedIn,68925,18502,0.2684,2021-07-24 14:21:24
24170,Facebook,115327,23895,0.2072,2023-12-12 20:24:37
10557,Instagram,19811,2005,0.1012,2022-08-19 09:53:20
28632,Instagram,40842,4133,0.1012,2024-01-21 10:51:06
22609,Instagram,77521,12261,0.1582,2020-05-09 22:20:15
27432,Twitter,168536,7742,0.0459,2019-07-07 21:56:34
2443,Instagram,116544,29403,0.2523,2020-09-13 12:56:48
6662,Facebook,66870,7155,0.107,2023-12-11 07:42:20
2580,Instagram,175662,47674,0.2714,2022-03-01 13:43:31
14395,Facebook,31695,7211,0.2275,2024-03-31 03:10:17
14288,Instagram,118170,20507,0.1735,2021-03-21 11:00:42
12612,Instagram,191690,20729,0.1081,2018-08-20 03:14:15
6887,LinkedIn,182771,11614,0.0635,2022-02-16 21:26:43
11415,Twitter,137793,32902,0.2388,2023-06-23 10:39:52
25438,Instagram,99928,23246,0.2326,2023-08-28 15:17:24
18353,Instagram,53252,10666,0.2003,2020-03-31 10:56:34
6192,Instagram,77606,18207,0.2346,2023-05-10 10:51:30
10637,LinkedIn,67127,13614,0.2028,2021-11-13 14:55:11
25325,LinkedIn,50598,3673,0.0726,2021-06-17 03:47:26
2411,Facebook,143137,36876,0.2576,2021-11-23 14:02:45
2057,Twitter,147855,29936,0.2025,2018-08-02 19:13:41
20128,Twitter,35779,7052,0.1971,2024-11-28 13:38:55
23962,Instagram,6196,1467,0.2368,2022-01-29 08:06:45
17170,Twitter,131644,36310,0.2758,2018-04-21 08:57:22
3816,Facebook,99115,15441,0.1558,2022-09-09 08:42:13
21893,Instagram,94848,13719,0.1446,2018-05-13 05:29:12
9762,Facebook,17412,2071,0.1189,2018-08-31 04:01:50
6184,Twitter,153601,43603,0.2839,2022-12-03 10:24:37
23317,Twitter,63091,5061,0.0802,2024-05-16 21:31:00
21084,Facebook,147445,22018,0.1493,2024-12-11 20:10:55
32,Twitter,127295,18304,0.1438,2021-08-03 00:59:56
25158,Instagram,133974,18179,0.1357,2018-07-05 13:52:16
25458,LinkedIn,12649,713,0.0564,2021-09-08 11:28:42
5394,Facebook,94873,12921,0.1362,2018-08-12 06:42:20
8770,Instagram,155003,33706,0.2175,2022-02-25 21:35:48
3578,Twitter,58714,9803,0.167,2022-05-17 15:16:05
1157,Twitter,128330,3931,0.0306,2022-09-02 03:27:52
7779,Twitter,51517,9995,0.194,2018-05-25 02:27:32
17704,Twitter,91030,22274,0.2447,2019-07-19 21:53:41
13374,Facebook,166271,24669,0.1484,2020-08-04 21:51:27
540,Twitter,110131,10829,0.0983,2024-03-21 03:50:05
7036,Instagram,158576,14269,0.09,2019-10-11 06:05:16
3171,Twitter,93432,27927,0.2989,2019-06-12 18:21:19
6051,LinkedIn,162193,7667,0.0473,2021-03-27 21:20:10
29160,Instagram,79399,13213,0.1664,2023-03-10 06:52:21
19240,LinkedIn,25129,3918,0.1559,2024-05-13 14:33:01
3741,Twitter,4069,236,0.058,2019-10-17 02:06:18
25177,Instagram,157746,35399,0.2244,2022-05-01 20:52:26
18671,LinkedIn,15768,3702,0.2348,2024-03-08 01:54:37
29764,Instagram,26716,3639,0.1362,2020-09-17 22:25:55
10650,LinkedIn,2757,671,0.2434,2019-05-07 21:46:30
18484,Twitter,156123,12039,0.0771,2020-11-17 23:05:22
25448,LinkedIn,42486,8010,0.1885,2019-11-01 23:21:13
21722,Twitter,135618,18223,0.1344,2020-10-13 18:20:11
25660,Twitter,168214,46843,0.2785,2022-08-10 14:29:44
16459,Twitter,175938,45052,0.2561,2022-11-23 05:31:13
16772,LinkedIn,154728,45707,0.2954,2018-08-07 18:59:03
17857,LinkedIn,97933,24667,0.2519,2018-02-26 01:19:01
13487,Instagram,34536,1182,0.0342,2021-07-03 13:41:32
17890,Facebook,82419,6533,0.0793,2020-03-29 13:04:48
14518,Instagram,55041,10897,0.198,2023-12-18 20:03:19
22992,Twitter,161241,37841,0.2347,2023-12-27 04:19:16
19121,Twitter,150392,30320,0.2016,2021-07-17 01:37:12
22021,Instagram,84917,13403,0.1578,2020-12-01 14:09:36
28684,Instagram,45577,8201,0.1799,2023-05-14 12:17:10
1395,Twitter,1961,372,0.1897,2020-02-01 15:38:07
3488,LinkedIn,60584,14334,0.2366,2022-09-18 10:42:00
29790,Instagram,41616,10477,0.2518,2022-11-05 02:13:59
3132,Facebook,75902,20207,0.2662,2024-08-17 15:54:32
4516,Facebook,163492,9340,0.0571,2022-02-08 19:06:40
22743,Facebook,52394,1417,0.027,2022-01-03 01:13:07
14005,LinkedIn,110706,24338,0.2198,2023-03-30 11:37:42
15237,LinkedIn,125326,10854,0.0866,2022-09-25 21:33:46
13282,Facebook,80506,12274,0.1525,2022-11-01 22:48:15
23517,LinkedIn,70005,14502,0.2072,2022-10-20 08:16:27
10741,Twitter,549,129,0.235,2022-08-14 00:30:57
25558,Twitter,10183,695,0.0683,2021-11-29 00:10:17
27908,Twitter,101509,10364,0.1021,2022-12-31 18:16:06
2386,Twitter,112829,6172,0.0547,2023-03-02 20:06:28
4085,Twitter,66678,6009,0.0901,2023-10-22 05:57:09
7026,Twitter,85693,22545,0.2631,2024-08-15 00:01:06
27292,Facebook,34967,4344,0.1242,2021-10-10 17:03:17
9488,Facebook,15569,1067,0.0685,2018-11-18 20:35:16
29166,Twitter,45367,1266,0.0279,2021-02-27 12:41:49
14068,Twitter,100887,18626,0.1846,2020-08-03 01:06:18
26697,Facebook,50238,4253,0.0847,2021-02-09 14:13:48
1333,Facebook,143429,14726,0.1027,2018-03-11 08:33:31
1383,Instagram,77272,11212,0.1451,2021-09-02 12:41:12
6225,Instagram,94434,10344,0.1095,2018-02-22 19:00:26
12493,Facebook,85198,13896,0.1631,2018-01-18 07:39:15
26923,Twitter,170732,22815,0.1336,2021-11-21 00:18:56
18690,Instagram,84502,6750,0.0799,2023-07-21 05:17:33
29045,Twitter,105082,13133,0.125,2018-08-13 14:35:00
20982,Facebook,10588,2867,0.2708,2019-05-15 20:27:44
19607,LinkedIn,114082,14057,0.1232,2018-08-19 13:52:55
5854,Instagram,22415,1713,0.0764,2023-10-14 00:08:53
14515,Twitter,98516,25188,0.2557,2021-03-18 18:22:20
