user_id,acquisition_channel,acquisition_cost,time_to_convert_days,converted,signup_date
21151,Organic,736,2,Yes,2018-04-05 02:09:16
1413,Organic,4364,42,No,2022-06-10 18:56:16
23709,Paid Search,1093,40,Yes,2024-12-05 08:10:22
1718,Organic,349,11,Yes,2023-05-28 06:48:49
24324,Paid Search,1052,19,Yes,2022-01-02 11:53:55
29627,Organic,2914,22,No,2023-01-15 15:30:56
13616,Organic,3087,9,No,2022-08-13 13:20:34
5729,Social,3234,22,No,2018-07-17 01:07:59
13920,Referral,1371,25,Yes,2019-03-05 14:27:07
7707,Referral,2224,6,No,2021-06-02 18:25:07
25171,Referral,2224,11,No,2023-10-07 22:45:30
13830,Organic,2682,9,No,2024-01-09 09:29:22
13297,Social,3070,42,No,2024-11-02 17:39:49
10213,Social,2604,4,No,2023-10-12 08:52:26
20315,Organic,3996,40,No,2022-08-31 16:24:41
27046,Paid Search,2582,14,No,2019-10-19 14:13:00
20303,Organic,1108,16,Yes,2022-03-25 04:46:50
22446,Organic,2079,41,No,2024-04-16 08:26:50
13172,Referral,3318,28,No,2021-10-30 13:59:39
25505,Referral,2662,1,No,2019-07-22 17:43:47
29023,Organic,4340,13,No,2024-01-31 18:13:58
13860,Social,382,6,Yes,2022-12-05 15:48:51
26996,Social,3670,6,No,2019-07-19 02:36:46
5274,Organic,855,22,Yes,2022-04-30 04:27:50
16866,Referral,3353,28,No,2021-09-04 07:14:29
14144,Referral,2684,29,No,2018-03-09 08:39:42
24425,Paid Search,4728,9,No,2020-07-17 03:23:48
11703,Referral,2890,20,No,2019-08-14 21:27:19
1024,Organic,1409,39,Yes,2023-06-27 10:06:25
28631,Social,1158,3,Yes,2024-04-18 05:29:44
4502,Organic,1394,27,Yes,2019-05-26 21:27:40
2173,Social,1760,35,Yes,2024-04-28 18:41:44
17061,Paid Search,4296,20,No,2020-03-01 13:28:23
16334,Social,623,8,Yes,2020-08-12 04:09:18
24036,Social,436,4,Yes,2021-10-19 05:48:09
26351,Paid Search,4375,44,No,2024-11-26 22:30:35
11643,Social,3410,35,No,2018-04-20 21:36:56
10003,Organic,3357,7,No,2020-07-18 13:46:02
27145,Organic,3650,44,No,2023-03-04 18:12:53
2986,Paid Search,3452,10,No,2019-02-02 06:42:45
16362,Organic,1768,28,Yes,2022-04-03 20:09:34
27451,Referral,3555,10,No,2024-08-25 07:28:34
1341,Paid Search,4180,13,No,2020-08-25 21:58:31
24170,Referral,3121,22,No,2021-07-03 07:46:55
25995,Organic,3070,44,No,2020-04-20 13:33:10
29762,Referral,3551,37,No,2020-04-17 06:12:32
4863,Paid Search,396,3,Yes,2020-07-09 10:56:16
10574,Paid Search,3122,24,No,2022-11-19 20:34:56
28395,Paid Search,730,7,Yes,2023-11-24 15:38:49
13043,Social,1705,29,Yes,2024-05-04 23:26:59
24900,Referral,3668,9,No,2021-02-20 03:08:26
11981,Social,683,6,Yes,2022-10-01 19:34:17
22815,Social,3231,25,No,2020-09-26 22:04:38
10026,Organic,564,11,Yes,2024-05-29 01:19:07
25096,Social,4902,17,No,2021-12-23 03:00:45
9256,Referral,1243,0,Yes,2020-03-10 10:12:43
21332,Paid Search,2242,29,No,2019-10-13 12:01:25
1394,Referral,2837,34,No,2020-06-12 14:46:05
18026,Social,2651,30,No,2019-12-08 12:49:45
11157,Social,1153,27,Yes,2024-10-17 02:51:52
26392,Organic,4952,35,No,2024-11-04 19:09:45
5091,Paid Search,866,19,Yes,2018-05-01 11:29:16
7892,Organic,4077,24,No,2021-03-19 07:05:47
29427,Paid Search,1970,14,Yes,2018-03-15 21:54:46
7145,Organic,3682,19,No,2020-04-11 19:14:47
14818,Social,4957,1,No,2023-09-09 07:19:03
12458,Social,1199,18,Yes,2022-03-13 01:11:09
16322,Organic,4321,39,No,2024-07-23 21:05:07
28405,Organic,2507,26,No,2021-04-19 04:52:36
23474,Referral,1261,39,Yes,2023-07-10 12:13:42
7049,Paid Search,440,4,Yes,2019-01-17 03:30:44
2804,Social,3785,38,No,2020-04-23 18:38:43
16946,Paid Search,1567,3,Yes,2022-03-08 13:17:45
8906,Referral,4727,35,No,2024-03-05 07:47:02
4479,Social,3024,30,No,2021-08-27 21:43:57
23806,Referral,3460,30,No,2018-11-18 00:07:26
23572,Social,4180,43,No,2023-06-06 20:02:17
22911,Organic,4359,33,No,2021-10-11 15:59:25
20222,Paid Search,577,28,Yes,2018-03-02 08:00:57
7061,Paid Search,338,44,Yes,2024-07-10 03:35:44
4630,Paid Search,1054,22,Yes,2019-10-06 18:11:10
4194,Organic,4623,11,No,2022-06-08 04:16:21
9376,Social,3243,32,No,2018-10-20 08:09:55
7345,Social,1753,17,Yes,2022-01-03 11:47:03
13688,Social,3301,37,No,2023-02-26 02:07:06
29869,Social,4695,18,No,2019-02-11 23:08:03
29115,Social,4661,4,No,2020-01-16 00:16:46
13201,Social,4464,41,No,2024-08-31 23:43:40
1341,Referral,2761,2,No,2021-08-11 05:57:52
2193,Organic,2822,21,No,2020-04-26 12:30:28
29986,Social,1949,3,Yes,2024-11-24 18:04:29
5863,Organic,2853,29,No,2020-03-11 11:56:04
3051,Social,271,1,Yes,2022-10-03 17:16:56
24716,Paid Search,2220,1,No,2018-01-05 00:37:11
3774,Organic,3185,33,No,2020-12-31 06:02:16
13175,Paid Search,2068,35,No,2021-10-01 08:37:43
10440,Social,3285,39,No,2022-12-11 22:37:07
3027,Paid Search,2116,20,No,2020-03-02 22:30:05
29784,Paid Search,2958,1,No,2023-12-17 10:44:15
15511,Paid Search,4678,29,No,2022-08-28 20:03:20
18830,Social,1172,26,Yes,2019-01-10 07:53:10
12628,Paid Search,3748,34,No,2021-12-04 19:20:20
20468,Social,4760,6,No,2018-04-17 18:27:23
27277,Paid Search,1806,21,Yes,2019-11-10 08:43:25
28394,Social,1203,43,Yes,2024-02-11 01:47:47
28748,Social,4017,25,No,2023-08-05 07:42:42
9419,Organic,4544,41,No,2019-09-13 05:26:29
4990,Referral,2408,38,No,2020-06-02 17:14:40
25998,Paid Search,1498,36,Yes,2021-10-20 14:03:10
8190,Organic,2223,15,No,2022-09-18 08:44:27
7252,Referral,860,24,Yes,2018-05-27 12:35:00
11516,Social,1634,5,Yes,2024-02-12 04:01:00
25997,Referral,393,1,Yes,2021-12-04 18:51:45
19865,Social,2419,5,No,2022-09-20 18:52:07
11050,Organic,642,43,Yes,2021-01-27 16:11:13
5533,Referral,482,33,Yes,2024-05-21 10:28:03
22141,Organic,3769,31,No,2021-09-06 02:12:58
24026,Organic,1264,40,Yes,2022-04-18 04:41:37
12533,Organic,1082,7,Yes,2024-05-24 11:24:31
5920,Organic,1485,16,Yes,2023-02-11 01:28:33
5314,Social,4943,43,No,2024-09-24 04:53:01
6792,Organic,4228,25,No,2024-03-15 14:54:00
20908,Paid Search,299,17,Yes,2022-05-17 17:59:00
29826,Organic,574,32,Yes,2021-03-04 21:47:16
19399,Organic,1568,8,Yes,2024-01-08 22:51:49
19656,Referral,1858,17,Yes,2023-04-11 09:32:32
1002,Paid Search,911,18,Yes,2019-12-26 23:21:55
12592,Organic,4244,19,No,2019-04-18 01:12:48
2460,Referral,1781,38,Yes,2023-07-01 05:35:29
24919,Paid Search,1099,9,Yes,2020-08-07 06:51:54
27392,Referral,1876,0,Yes,2022-01-07 08:13:01
2647,Social,2046,13,No,2022-06-28 20:23:48
3794,Paid Search,910,20,Yes,2020-09-14 07:53:33
13437,Organic,3361,23,No,2021-06-16 04:26:31
3909,Referral,4111,13,No,2022-05-21 23:52:25
19360,Referral,2889,12,No,2021-11-25 01:14:27
16406,Social,991,6,Yes,2023-08-25 04:42:33
28640,Organic,1866,37,Yes,2020-12-05 13:26:43
1235,Referral,3579,37,No,2023-02-03 00:28:28
11241,Referral,4586,18,No,2019-11-23 14:12:08
20217,Referral,2451,11,No,2023-07-18 06:37:15
8374,Referral,2304,12,No,2022-06-10 11:44:09
9658,Referral,2883,8,No,2021-04-18 13:19:37
13241,Organic,2039,37,No,2023-10-19 00:55:12
7273,Organic,846,2,Yes,2022-07-04 19:20:15
7222,Paid Search,2830,8,No,2021-11-07 16:10:22
29703,Paid Search,3700,0,No,2024-06-11 08:43:55
19384,Social,3892,11,No,2021-06-10 12:35:25
12228,Organic,3814,32,No,2019-01-20 02:16:15
29605,Referral,372,39,Yes,2022-11-30 04:26:23
27920,Paid Search,4490,39,No,2022-09-23 19:11:11
22005,Paid Search,3657,33,No,2021-08-25 18:21:53
528,Referral,4966,30,No,2023-08-27 15:30:51
3818,Referral,2602,18,No,2019-08-30 06:01:57
4393,Social,2804,27,No,2019-10-26 15:01:10
25009,Paid Search,1978,8,Yes,2024-04-22 13:42:21
28882,Referral,3435,40,No,2022-02-10 15:54:37
28742,Social,3089,43,No,2024-02-01 19:23:44
24969,Social,709,31,Yes,2019-05-27 18:05:57
6541,Referral,401,18,Yes,2020-06-14 10:08:00
25689,Referral,3216,25,No,2022-03-28 22:59:48
10141,Paid Search,2700,20,No,2022-12-08 13:43:54
10927,Referral,3059,24,No,2023-07-14 22:54:10
27768,Social,4032,26,No,2023-01-23 00:07:57
1818,Referral,4817,41,No,2019-01-30 12:43:02
5048,Referral,3170,40,No,2024-12-28 21:41:39
8895,Social,1450,3,Yes,2024-09-17 09:27:49
12014,Referral,210,18,Yes,2024-09-20 12:35:02
17560,Social,647,16,Yes,2021-04-19 11:28:59
15036,Referral,4343,25,No,2021-10-30 11:16:29
19296,Social,3403,36,No,2020-05-03 17:26:38
28396,Referral,3807,9,No,2020-06-28 04:52:24
20769,Social,1242,3,Yes,2022-01-22 09:51:15
25045,Organic,1732,36,Yes,2023-10-13 15:12:24
18082,Organic,1859,32,Yes,2019-08-26 04:42:31
14491,Social,4974,17,No,2024-06-13 11:04:48
24996,Organic,3538,42,No,2018-10-24 19:03:48
25822,Social,1521,3,Yes,2020-12-04 11:23:11
20740,Paid Search,4217,19,No,2020-03-03 23:58:58
13526,Organic,405,10,Yes,2021-02-26 13:57:03
19005,Organic,2356,43,No,2023-02-02 14:27:28
10635,Organic,618,43,Yes,2024-10-03 22:05:22
4073,Paid Search,1229,38,Yes,2024-01-20 23:14:02
27056,Paid Search,405,28,Yes,2024-05-06 14:45:53
24684,Social,563,41,Yes,2020-12-30 10:03:08
26735,Paid Search,2780,28,No,2022-07-25 23:08:09
24616,Organic,2002,33,No,2018-08-08 18:48:33
10817,Social,4025,7,No,2024-03-21 11:20:40
15561,Organic,788,21,Yes,2022-01-14 02:19:46
2516,Organic,4056,5,No,2020-05-04 00:26:10
26820,Social,2503,12,No,2024-08-16 11:38:11
8204,Social,2013,40,No,2020-08-06 20:46:46
19386,Organic,2355,30,No,2020-08-14 08:33:58
29287,Paid Search,2466,9,No,2022-01-26 09:02:41
780,Organic,952,38,Yes,2018-02-21 15:05:44
13305,Paid Search,1224,6,Yes,2019-02-03 02:58:58
13311,Paid Search,4818,1,No,2019-10-24 13:46:28
11959,Paid Search,2796,44,No,2020-11-13 07:03:32
21137,Referral,1437,1,Yes,2022-10-12 15:15:55
14634,Referral,1442,27,Yes,2023-01-09 12:07:20
24999,Organic,1612,5,Yes,2023-02-15 21:37:43
29367,Social,3887,34,No,2020-03-29 09:30:34
15137,Social,1992,9,Yes,2018-04-13 01:02:30
18170,Social,405,32,Yes,2021-01-03 09:29:06
14303,Organic,2990,36,No,2019-05-02 20:35:16
11170,Social,3353,10,No,2018-04-29 10:35:25
9061,Organic,4200,4,No,2024-10-18 23:45:05
13971,Social,4168,13,No,2020-07-20 05:46:40
17559,Paid Search,3097,11,No,2024-01-18 06:01:37
12463,Social,876,4,Yes,2021-12-10 19:12:23
4677,Organic,2450,41,No,2022-09-16 14:21:37
19324,Social,3616,40,No,2021-09-19 00:24:04
16178,Organic,1930,4,Yes,2021-05-10 04:05:18
13593,Organic,3575,20,No,2023-01-07 05:15:15
8990,Organic,1100,17,Yes,2020-11-07 19:06:46
22803,Referral,794,9,Yes,2023-03-15 05:07:44
4243,Social,1691,25,Yes,2022-09-24 12:18:32
19283,Organic,1291,19,Yes,2020-11-30 14:38:17
19766,Social,3304,18,No,2019-10-07 22:28:30
13345,Organic,3819,22,No,2023-05-20 07:14:10
18578,Referral,558,20,Yes,2018-08-01 18:25:33
16203,Organic,2530,40,No,2021-03-01 02:16:52
26081,Social,3460,12,No,2021-10-06 19:44:49
14825,Paid Search,3249,30,No,2023-01-05 18:27:49
1069,Referral,3057,42,No,2023-07-05 21:32:47
6092,Paid Search,3212,30,No,2023-09-30 22:00:36
13419,Referral,4682,32,No,2024-10-05 07:42:59
10399,Referral,3631,9,No,2020-07-17 03:49:18
7704,Referral,2592,33,No,2019-03-12 18:41:10
26663,Social,611,37,Yes,2020-02-08 18:40:27
16640,Organic,1361,21,Yes,2023-01-20 00:57:35
8331,Social,4296,1,No,2021-05-11 20:06:34
24631,Social,236,15,Yes,2020-08-16 08:33:06
27192,Paid Search,1051,36,Yes,2018-01-04 02:53:15
23646,Referral,4861,31,No,2020-11-15 18:57:40
3051,Referral,3167,13,No,2019-05-16 01:34:37
17159,Organic,3291,9,No,2021-03-16 14:01:04
7457,Organic,4181,15,No,2021-09-27 23:23:26
15222,Paid Search,3920,2,No,2019-09-03 05:41:19
10920,Social,614,42,Yes,2023-10-26 13:22:15
1535,Paid Search,838,5,Yes,2020-11-09 03:29:53
7799,Referral,4284,25,No,2023-01-08 14:46:25
10027,Referral,2053,30,No,2019-07-17 10:48:19
15460,Social,3263,9,No,2018-02-15 22:30:49
6549,Organic,4629,12,No,2019-03-01 05:16:52
21391,Referral,232,31,Yes,2022-07-13 04:00:34
25470,Social,492,31,Yes,2024-10-25 14:39:42
22398,Referral,2901,43,No,2019-02-23 09:05:33
17559,Referral,1293,18,Yes,2020-05-23 12:49:10
13771,Organic,1017,5,Yes,2022-09-09 09:34:32
9299,Social,4873,22,No,2018-07-14 19:34:51
24905,Referral,3725,11,No,2018-12-11 12:35:44
160,Referral,1306,23,Yes,2021-05-01 04:37:32
11907,Paid Search,613,8,Yes,2019-04-04 05:41:22
20374,Organic,828,23,Yes,2022-08-24 16:21:17
23719,Social,1079,36,Yes,2024-09-30 11:43:36
10251,Paid Search,2187,42,No,2021-09-02 23:07:05
15570,Social,4112,9,No,2023-02-28 12:31:27
10413,Paid Search,620,21,Yes,2020-12-31 15:51:30
29301,Referral,4458,6,No,2023-06-03 17:48:09
22052,Social,4750,8,No,2018-09-13 16:57:46
24737,Paid Search,1476,26,Yes,2021-09-15 13:55:26
6774,Social,1563,5,Yes,2024-11-12 02:05:51
28011,Organic,2896,23,No,2022-10-19 15:06:11
26619,Referral,2759,32,No,2019-08-20 04:22:25
3028,Social,4130,23,No,2024-02-27 08:32:33
4212,Paid Search,4323,20,No,2021-05-17 10:53:22
15905,Organic,3816,11,No,2024-02-18 21:50:11
9921,Social,4892,22,No,2022-02-19 22:20:51
21915,Referral,4203,4,No,2024-09-17 06:14:50
9641,Organic,414,34,Yes,2019-08-17 01:38:13
26101,Organic,2537,4,No,2023-11-08 07:56:50
1555,Organic,2439,33,No,2021-10-27 11:31:37
9536,Social,666,36,Yes,2024-07-04 15:39:42
10823,Paid Search,1896,39,Yes,2020-06-14 03:09:38
23866,Referral,4384,44,No,2020-06-27 19:14:19
26814,Social,3919,41,No,2021-11-07 00:37:52
5083,Social,2447,9,No,2020-04-29 03:52:05
7282,Paid Search,988,38,Yes,2020-01-02 08:23:40
2615,Organic,2293,31,No,2020-10-06 17:22:45
3533,Referral,502,38,Yes,2022-07-28 04:24:30
21571,Referral,2445,41,No,2019-10-31 13:39:21
2218,Paid Search,397,23,Yes,2018-06-14 11:02:50
7298,Social,4029,6,No,2018-02-04 22:35:41
6962,Referral,444,40,Yes,2020-10-26 17:22:13
19935,Referral,967,23,Yes,2021-04-07 07:27:25
1576,Social,1126,24,Yes,2024-11-04 09:59:38
2250,Organic,2757,11,No,2020-12-09 21:50:48
22577,Paid Search,646,23,Yes,2024-10-28 21:37:23
4606,Referral,877,42,Yes,2019-12-04 13:32:49
2944,Social,2703,21,No,2024-05-07 18:25:15
28777,Paid Search,3667,42,No,2024-09-13 08:21:48
500,Paid Search,3933,41,No,2023-01-31 04:54:06
6164,Organic,2602,28,No,2024-10-29 20:58:15
11841,Referral,3718,41,No,2018-02-20 16:28:22
178,Social,4854,31,No,2018-12-03 19:44:38
2230,Social,4902,1,No,2018-01-05 07:05:30
29776,Organic,2142,37,No,2020-01-17 07:24:20
8662,Organic,4808,26,No,2021-07-18 20:42:07
17348,Organic,4607,18,No,2018-01-28 17:28:08
19393,Referral,2361,31,No,2023-01-19 16:38:05
26380,Referral,4756,18,No,2020-05-29 04:07:08
2417,Organic,4670,12,No,2023-03-16 20:51:36
18652,Referral,3608,13,No,2024-04-19 13:19:34
28444,Social,2287,17,No,2021-04-22 10:15:10
15813,Paid Search,315,29,Yes,2021-05-08 18:24:06
27739,Referral,485,3,Yes,2024-05-15 11:14:23
7533,Organic,1254,33,Yes,2021-09-17 03:25:25
14685,Paid Search,3187,27,No,2021-09-14 10:45:51
24020,Organic,2104,39,No,2020-11-24 04:10:02
20778,Paid Search,1849,1,Yes,2023-07-15 17:09:56
21775,Organic,3603,2,No,2022-04-27 16:19:46
15923,Referral,1834,27,Yes,2023-03-20 09:49:09
28384,Organic,2032,38,No,2022-01-03 07:31:10
5404,Organic,1794,30,Yes,2018-09-11 03:04:50
25245,Social,4101,27,No,2018-08-15 07:32:15
22317,Paid Search,3479,35,No,2023-04-01 00:12:13
6547,Organic,3824,3,No,2020-07-24 11:01:25
26852,Referral,678,32,Yes,2020-03-09 21:53:58
28266,Paid Search,3639,26,No,2022-11-12 14:13:36
11791,Referral,1986,1,Yes,2023-12-11 06:57:28
2834,Social,3934,44,No,2024-07-14 05:14:17
28161,Organic,2869,36,No,2024-09-05 06:20:20
25968,Organic,4822,0,No,2018-04-02 18:40:53
7424,Paid Search,3874,29,No,2018-04-09 05:09:36
22149,Referral,882,16,Yes,2024-10-29 06:51:07
10693,Social,2520,32,No,2024-04-28 19:29:36
25082,Social,432,15,Yes,2023-10-18 18:30:36
28159,Referral,4156,17,No,2023-10-17 14:12:38
10702,Organic,914,36,Yes,2018-07-06 12:06:56
29863,Referral,2648,10,No,2018-11-02 13:00:42
22307,Paid Search,4789,20,No,2022-11-28 12:31:30
4344,Referral,3621,36,No,2022-12-15 05:12:10
22438,Organic,2690,31,No,2020-12-21 20:38:14
3562,Social,1465,18,Yes,2022-03-23 11:05:29
27404,Organic,3217,39,No,2024-10-17 01:02:43
23398,Social,2668,22,No,2024-01-27 18:33:29
8655,Referral,3672,36,No,2018-04-17 03:21:20
19098,Paid Search,2359,43,No,2021-01-24 19:09:52
12474,Social,655,26,Yes,2023-12-30 09:40:41
2567,Social,790,23,Yes,2018-11-21 03:28:16
15577,Referral,923,39,Yes,2019-12-10 23:18:20
27441,Paid Search,2071,39,No,2021-01-31 01:34:38
28599,Referral,4410,31,No,2020-07-04 05:20:24
20606,Social,4860,32,No,2021-08-27 21:40:54
5806,Referral,3826,14,No,2021-07-29 21:18:49
10283,Social,1412,11,Yes,2019-10-01 12:35:18
27939,Referral,2843,11,No,2018-04-26 06:09:45
2376,Organic,2269,19,No,2021-08-14 09:08:35
21662,Paid Search,3524,16,No,2023-04-10 14:41:10
2903,Social,1183,6,Yes,2018-06-14 13:41:19
6869,Paid Search,359,30,Yes,2021-09-11 16:57:44
1288,Social,544,44,Yes,2019-11-05 00:11:17
22624,Organic,2805,12,No,2021-01-02 04:45:31
10832,Social,4834,20,No,2021-07-01 17:37:34
22377,Referral,1505,37,Yes,2023-10-23 23:58:02
29241,Organic,605,27,Yes,2019-07-07 04:18:42
14166,Social,1235,0,Yes,2024-08-11 14:18:52
22566,Paid Search,2266,41,No,2021-11-14 19:24:16
7333,Referral,4544,5,No,2020-10-23 05:06:13
22495,Paid Search,2178,20,No,2020-10-08 22:35:29
10728,Social,3968,36,No,2021-03-27 00:13:50
3962,Paid Search,4816,40,No,2018-05-08 06:48:33
20661,Referral,1670,5,Yes,2019-03-14 22:38:55
21163,Social,3331,26,No,2019-02-14 22:26:00
16608,Paid Search,4037,23,No,2022-04-04 01:12:13
11480,Paid Search,3047,10,No,2019-05-21 20:08:47
9982,Referral,213,1,Yes,2021-03-25 11:34:56
27401,Social,875,11,Yes,2020-12-05 08:54:00
5555,Social,3904,15,No,2019-11-18 04:49:02
22344,Referral,4027,22,No,2024-10-09 19:19:15
12924,Organic,2956,8,No,2018-07-22 04:57:40
14137,Referral,4714,15,No,2022-12-02 04:56:52
5308,Organic,874,23,Yes,2018-01-29 06:48:07
3723,Organic,2030,27,No,2020-04-17 19:23:53
8163,Organic,481,12,Yes,2020-09-02 05:54:09
16363,Organic,2173,21,No,2023-12-29 19:48:20
22008,Social,1820,7,Yes,2023-06-04 23:38:29
18089,Referral,2210,22,No,2023-08-19 06:37:44
2768,Social,3940,32,No,2023-11-06 07:18:53
29433,Social,4566,7,No,2020-07-26 05:36:36
21667,Paid Search,3652,2,No,2024-05-09 17:03:21
28765,Referral,1035,11,Yes,2018-12-10 06:53:55
10809,Social,3136,31,No,2020-09-20 18:27:18
16087,Paid Search,4721,12,No,2024-07-03 03:43:12
21919,Paid Search,4931,21,No,2020-03-21 04:40:39
5184,Paid Search,1238,6,Yes,2020-12-25 11:27:49
4143,Organic,1547,17,Yes,2019-07-28 19:28:59
7194,Social,760,13,Yes,2021-01-12 23:37:53
6400,Organic,3843,7,No,2023-05-09 00:35:40
4038,Organic,396,0,Yes,2019-07-19 20:20:25
9987,Referral,803,17,Yes,2024-12-31 11:38:48
2898,Paid Search,737,4,Yes,2022-04-19 18:21:49
28126,Referral,860,1,Yes,2024-04-28 02:45:07
26065,Referral,4748,2,No,2021-04-05 11:12:27
25283,Social,1515,2,Yes,2022-09-21 11:56:06
15869,Social,205,8,Yes,2020-12-08 07:19:37
14370,Social,254,29,Yes,2024-11-22 07:58:15
4468,Paid Search,2605,3,No,2024-09-14 22:01:03
4984,Paid Search,1556,15,Yes,2019-05-08 18:45:52
9898,Organic,2893,8,No,2024-08-03 05:46:30
29392,Referral,310,8,Yes,2020-11-09 03:22:44
28467,Social,765,30,Yes,2024-10-05 16:51:50
18313,Referral,1122,29,Yes,2020-04-15 19:53:15
22780,Social,2927,9,No,2020-01-21 20:20:45
10855,Paid Search,2560,15,No,2022-09-12 01:55:28
4683,Paid Search,412,9,Yes,2023-08-29 17:48:48
