respondent_id,brand_recall_score,purchase_intent_score,survey_channel,survey_date
37892,9,6,Offline,2022-11-14 21:58:47
737,10,1,Offline,2021-02-20 23:43:39
37104,1,10,Online,2024-03-20 04:33:16
1737,4,9,Online,2019-10-27 16:29:48
40393,5,3,Offline,2019-06-20 13:48:56
14633,8,1,Online,2022-10-21 17:59:59
31231,10,9,Offline,2023-12-08 13:52:38
20253,9,9,Online,2022-10-01 04:27:47
36456,6,6,Offline,2021-02-08 19:05:34
24438,4,4,Online,2021-03-15 17:05:17
9341,5,1,Offline,2022-01-24 11:07:01
45882,3,6,Offline,2020-07-16 08:07:04
46466,1,10,Online,2022-07-14 00:04:46
12874,1,2,Online,2021-08-09 05:27:41
33220,8,8,Offline,2018-01-09 22:11:28
48252,1,5,Offline,2020-03-30 23:02:43
25159,4,10,Online,2023-08-29 15:41:07
12035,4,10,Online,2023-05-03 12:30:25
12249,3,10,Offline,2019-03-21 05:42:07
15326,5,9,Offline,2022-07-20 10:30:00
47177,1,8,Online,2024-05-10 03:46:37
38607,5,8,Online,2023-10-15 12:55:39
44619,5,7,Offline,2019-02-22 20:43:32
45493,8,2,Offline,2018-02-13 08:40:16
7812,7,7,Offline,2019-04-24 03:08:13
42021,7,1,Online,2024-07-30 10:35:25
36820,8,10,Online,2020-09-10 04:28:01
30398,1,7,Offline,2021-07-24 07:39:26
33924,9,9,Online,2019-07-08 07:03:06
48195,3,2,Offline,2018-08-09 16:58:06
11567,3,5,Online,2020-10-06 19:10:12
17352,7,4,Online,2022-04-06 11:10:46
43926,5,4,Online,2020-02-18 10:31:08
25813,1,1,Online,2023-02-19 05:36:52
32153,5,5,Online,2024-03-06 12:30:09
4369,5,4,Offline,2019-04-26 10:25:22
45528,10,1,Online,2023-04-21 23:54:36
43576,5,6,Offline,2019-05-03 09:05:57
21063,2,1,Online,2023-01-18 06:54:14
44601,8,6,Offline,2024-04-16 04:46:38
20432,8,4,Online,2023-12-25 17:49:58
49465,7,6,Offline,2020-01-19 09:05:29
28144,6,2,Online,2018-01-18 14:47:36
38454,7,1,Online,2022-05-20 20:50:55
18674,7,2,Online,2023-05-16 05:40:21
11587,5,9,Online,2018-12-03 04:09:07
9734,5,1,Online,2021-05-15 23:42:09
32630,2,1,Offline,2020-09-06 18:14:16
17705,5,6,Online,2022-05-30 21:08:04
12787,10,1,Online,2021-08-15 15:01:00
49618,7,2,Offline,2019-12-24 07:10:22
29175,4,4,Offline,2019-11-29 09:29:52
29993,6,6,Offline,2021-07-14 11:01:53
40915,9,2,Offline,2019-03-19 04:40:12
49306,8,2,Online,2024-12-05 13:55:11
10254,1,1,Online,2021-02-12 10:16:40
49468,5,1,Online,2021-09-07 03:51:35
48102,3,7,Online,2022-02-13 23:58:42
4925,5,5,Offline,2020-07-28 23:12:36
18958,7,3,Online,2022-10-11 07:10:25
6618,3,4,Online,2019-03-11 13:41:28
31690,4,5,Offline,2022-08-26 16:55:19
22815,8,10,Online,2019-10-26 14:35:11
49383,5,7,Online,2022-12-07 05:45:31
41531,10,4,Online,2023-12-08 16:59:53
2413,8,5,Offline,2018-03-31 03:01:22
47005,1,3,Online,2020-08-27 21:09:28
28658,5,9,Online,2024-03-30 16:27:01
19960,5,6,Offline,2021-06-01 22:13:10
43923,7,10,Offline,2023-09-10 08:16:44
7384,10,1,Online,2022-07-05 01:37:29
29884,8,3,Online,2021-06-02 20:41:35
37107,7,5,Offline,2020-03-05 15:13:12
15017,4,6,Offline,2023-07-22 23:24:42
6423,2,4,Online,2023-08-19 15:58:20
21368,4,9,Offline,2021-08-01 03:37:03
11499,6,5,Offline,2019-10-18 01:55:40
20237,5,9,Online,2023-12-07 20:06:58
5221,1,8,Online,2020-05-17 04:49:16
34505,3,5,Online,2020-10-24 08:48:25
46548,9,4,Online,2024-02-07 10:37:26
41160,4,7,Offline,2022-12-08 21:54:10
13637,10,3,Online,2020-10-09 21:08:28
28947,10,9,Online,2024-09-14 06:22:37
31427,7,3,Offline,2022-11-13 08:25:45
19030,5,7,Online,2018-10-12 21:42:20
22386,10,7,Online,2019-04-12 03:08:38
18532,7,9,Offline,2020-08-07 14:58:12
12065,1,7,Offline,2023-03-03 09:08:08
36282,8,1,Online,2023-02-13 15:40:03
33193,3,6,Offline,2020-10-19 01:37:54
12897,7,8,Online,2022-01-03 04:31:59
31577,5,5,Offline,2024-08-10 04:29:36
4579,8,5,Offline,2020-07-20 13:26:48
16797,2,2,Offline,2022-05-26 03:19:56
45965,10,6,Offline,2024-04-01 02:56:38
9484,2,6,Online,2022-04-19 19:48:01
26585,10,5,Offline,2021-09-06 21:03:37
11460,5,8,Offline,2021-08-24 18:49:12
1530,10,9,Online,2023-08-24 00:37:59
39976,9,3,Online,2020-08-29 18:25:10
30436,8,7,Offline,2021-06-21 22:56:04
33088,1,4,Offline,2019-05-21 16:23:22
39710,8,1,Offline,2022-11-27 05:47:31
13236,8,8,Online,2019-11-23 05:43:38
4511,9,6,Offline,2019-12-20 17:14:03
24629,5,8,Online,2020-09-03 15:11:48
27204,5,7,Online,2020-03-10 10:22:01
19516,1,4,Offline,2021-12-24 10:59:52
35927,8,2,Offline,2019-10-24 21:28:00
47425,2,6,Offline,2024-04-27 20:55:04
29615,4,10,Online,2022-12-05 01:00:13
39713,9,6,Offline,2019-01-10 23:37:50
6323,3,7,Online,2021-01-05 09:10:23
23644,7,10,Offline,2023-08-09 11:55:02
34388,4,5,Offline,2022-06-16 17:45:34
27187,6,9,Online,2020-02-14 03:04:50
10152,6,9,Online,2022-01-20 22:02:01
25433,9,8,Offline,2022-04-27 00:52:18
43425,7,9,Offline,2023-10-29 05:00:09
46431,4,1,Online,2020-01-27 08:42:37
49201,10,5,Online,2021-04-30 04:05:42
44996,5,6,Online,2018-07-20 04:07:49
36113,10,5,Online,2024-04-11 01:26:54
49835,10,1,Online,2024-04-15 02:44:15
28992,10,6,Online,2024-01-04 07:11:51
31836,6,7,Offline,2019-11-12 21:55:52
21066,7,10,Offline,2019-04-11 06:58:38
18328,1,4,Offline,2020-01-18 03:32:41
32734,10,6,Offline,2018-10-04 11:23:52
11920,8,10,Online,2022-05-24 04:26:26
40279,7,3,Online,2023-08-08 08:31:20
47962,10,7,Online,2019-04-19 01:32:03
29417,1,3,Online,2024-12-26 04:20:45
34408,5,7,Online,2021-05-15 09:51:48
1214,10,5,Offline,2019-11-11 19:55:35
44687,9,7,Offline,2023-11-05 21:20:37
39217,4,7,Offline,2022-02-27 09:26:42
40564,6,4,Offline,2020-03-23 06:12:21
6645,1,9,Offline,2024-11-22 12:11:46
43538,3,8,Online,2024-08-07 11:04:08
35899,6,7,Offline,2022-05-17 19:19:09
6832,2,2,Offline,2021-08-29 08:26:56
19038,3,3,Offline,2021-02-03 04:54:54
27140,6,5,Offline,2022-09-01 11:21:52
22347,4,8,Online,2018-11-06 12:20:55
17850,2,6,Offline,2023-09-23 23:08:45
113,6,10,Offline,2024-01-06 14:27:08
2304,5,5,Online,2024-06-10 09:25:01
47296,4,6,Online,2018-05-20 04:54:39
35340,5,6,Offline,2019-07-06 11:14:13
47910,7,10,Online,2018-05-29 10:17:27
10908,6,2,Offline,2020-06-14 01:39:05
14349,3,3,Offline,2021-04-17 06:06:56
35438,8,4,Offline,2023-02-18 03:37:02
15633,6,5,Online,2022-01-27 11:48:37
38744,10,6,Online,2023-10-13 19:26:59
31723,5,8,Offline,2018-08-27 09:08:31
7,3,2,Online,2023-06-28 17:25:55
41043,9,1,Online,2020-10-14 17:57:19
30924,5,6,Offline,2018-01-22 13:53:23
35578,8,8,Online,2019-05-12 07:32:17
253,2,3,Offline,2019-06-22 00:21:59
15701,10,7,Online,2020-11-13 02:37:18
24287,9,3,Online,2021-03-11 19:54:16
689,4,5,Online,2018-07-13 10:04:40
13868,7,3,Offline,2018-07-01 16:50:36
2311,10,5,Online,2022-02-14 11:12:52
22101,5,3,Offline,2024-07-08 08:39:39
7065,1,2,Online,2023-01-20 13:55:38
11807,10,3,Offline,2018-10-05 19:19:43
28394,7,2,Offline,2018-09-29 10:19:30
49819,1,8,Online,2022-08-23 19:52:09
21862,3,1,Offline,2019-04-18 09:46:51
32547,6,6,Offline,2020-06-14 02:04:15
2807,8,2,Online,2024-11-21 05:20:54
7204,7,8,Online,2023-01-05 11:02:32
9682,1,5,Online,2022-01-05 20:43:48
3769,8,6,Offline,2022-10-02 09:24:11
37402,3,7,Online,2024-11-22 00:22:39
48304,6,1,Offline,2024-06-22 21:38:29
44076,5,6,Online,2018-06-03 08:28:46
45400,1,6,Online,2023-07-06 21:21:38
16315,1,9,Offline,2022-05-09 08:14:12
18306,7,7,Online,2022-08-16 15:14:20
15489,1,10,Offline,2024-09-28 04:56:25
29632,10,5,Online,2021-07-31 00:27:54
23030,10,8,Offline,2024-04-20 07:02:57
14316,3,8,Online,2023-10-03 00:24:16
14016,5,8,Online,2022-11-27 21:28:31
39146,4,10,Offline,2024-02-25 16:52:54
34327,7,8,Offline,2019-03-13 08:02:56
23971,6,7,Online,2022-05-01 09:37:10
10716,7,3,Offline,2024-09-11 07:44:42
33174,6,10,Online,2023-01-03 00:28:05
29095,9,5,Online,2022-09-22 06:35:32
31493,2,5,Offline,2018-10-08 20:43:29
31859,8,6,Online,2024-08-11 13:54:09
24739,6,9,Offline,2021-05-21 09:20:49
8870,1,6,Offline,2020-03-13 22:17:47
3479,8,2,Online,2019-04-16 23:37:45
7432,4,5,Offline,2018-11-07 05:11:42
24524,2,3,Offline,2018-11-09 17:25:48
49139,3,3,Online,2024-08-17 22:34:38
13943,4,5,Offline,2018-05-19 14:35:00
13109,5,4,Offline,2019-08-24 04:03:54
16231,7,3,Online,2020-11-16 23:19:32
15820,6,8,Online,2020-02-01 00:02:17
5090,4,2,Online,2020-10-04 06:39:20
26340,5,5,Online,2023-02-09 16:19:26
33679,7,6,Offline,2019-02-07 19:02:30
45889,10,3,Online,2023-01-30 15:14:48
48328,3,1,Online,2020-09-08 02:23:27
46704,9,3,Offline,2024-03-14 09:57:26
16882,10,7,Online,2019-08-14 07:35:56
17718,8,8,Offline,2024-12-15 22:44:14
30570,9,1,Online,2020-01-20 16:29:38
15378,7,6,Online,2023-07-29 14:27:29
36732,10,5,Offline,2024-07-28 09:33:30
43547,5,1,Online,2019-11-08 06:49:56
25334,7,9,Offline,2021-09-16 15:34:23
12927,3,6,Online,2020-09-10 15:15:56
17999,10,10,Online,2019-04-12 23:02:15
47609,9,3,Offline,2023-09-11 04:41:47
21595,7,9,Offline,2020-11-18 22:36:05
17630,3,7,Offline,2022-11-08 05:10:31
40587,8,2,Online,2024-05-20 21:28:00
35816,3,7,Online,2022-05-26 20:07:15
26986,3,6,Online,2024-05-08 01:23:55
3499,3,3,Online,2024-12-17 22:22:09
24569,2,7,Online,2019-01-08 21:34:02
36832,4,3,Online,2018-02-15 09:49:12
14090,6,5,Online,2024-02-17 03:07:01
47745,9,2,Offline,2019-11-17 18:38:10
30097,2,6,Online,2023-10-21 19:23:36
13549,10,4,Offline,2021-01-26 23:07:32
42006,5,4,Offline,2023-03-24 03:11:01
10550,9,9,Online,2021-01-15 12:12:20
10942,8,7,Offline,2020-09-22 04:21:02
5384,2,4,Online,2022-06-03 23:30:07
47603,3,7,Online,2019-06-15 22:48:21
27978,9,9,Online,2019-05-04 05:26:04
7054,8,8,Offline,2019-11-25 04:03:59
49008,7,1,Offline,2021-07-27 04:19:53
20147,8,2,Online,2024-11-09 01:54:36
5651,8,4,Offline,2024-04-04 06:32:07
45779,4,9,Offline,2023-09-07 12:34:40
29024,7,3,Offline,2020-04-28 14:17:34
38148,3,7,Offline,2018-03-15 07:35:45
24252,10,3,Online,2021-10-30 11:08:32
36409,1,4,Offline,2020-06-03 12:04:35
3276,2,6,Offline,2020-10-27 01:18:44
39359,4,8,Online,2023-12-14 21:18:48
33897,8,2,Online,2022-05-17 10:40:06
31100,2,6,Offline,2021-05-22 15:01:10
45048,3,4,Online,2021-02-27 03:58:50
46820,8,8,Offline,2018-05-20 19:41:05
2667,2,1,Offline,2024-04-14 16:46:32
3276,7,10,Online,2019-04-11 13:39:30
13517,4,9,Online,2021-11-25 20:42:02
1647,7,8,Online,2022-07-17 16:27:04
16231,5,8,Offline,2022-11-28 06:29:18
29381,10,4,Online,2019-04-05 19:10:33
28299,1,10,Online,2018-08-29 06:08:46
36553,5,7,Online,2023-06-28 00:26:53
5698,4,7,Online,2024-08-01 17:23:57
18862,5,9,Offline,2018-02-06 16:52:38
39079,5,4,Online,2019-10-19 13:54:52
49600,7,2,Offline,2024-03-09 02:09:32
9524,2,2,Offline,2024-08-11 03:06:42
36647,7,10,Offline,2021-02-04 19:50:27
37449,1,7,Online,2020-06-08 12:01:49
21676,3,4,Offline,2020-10-11 16:45:14
31451,5,10,Online,2021-06-02 06:17:23
8266,2,9,Online,2018-04-26 09:33:24
10566,4,5,Offline,2020-07-16 00:06:42
38471,1,2,Offline,2022-12-14 12:05:43
36151,3,4,Online,2024-10-13 00:52:19
47642,7,1,Offline,2024-01-26 18:01:49
15784,8,2,Offline,2022-06-17 23:09:30
16825,4,7,Online,2022-03-08 03:03:07
29029,9,1,Online,2022-04-29 03:56:41
19546,10,5,Online,2022-05-20 16:01:01
10319,3,7,Online,2018-10-07 13:22:22
15610,1,6,Online,2022-01-13 09:18:03
42141,10,3,Online,2019-01-25 20:53:01
26466,6,2,Offline,2021-02-11 06:06:22
41306,10,9,Offline,2020-07-26 08:13:29
20961,3,3,Online,2023-01-24 08:31:41
41934,6,5,Online,2018-12-01 13:32:38
19794,5,2,Online,2021-01-06 15:15:31
4718,7,9,Offline,2021-03-10 17:50:10
41332,2,1,Offline,2022-12-18 15:02:36
6528,1,5,Offline,2021-08-16 09:26:22
455,1,6,Online,2024-04-02 03:46:07
33527,9,3,Online,2024-03-04 02:04:07
47811,10,5,Offline,2019-02-17 21:32:32
46106,7,4,Online,2020-05-15 14:50:14
19611,4,5,Offline,2021-01-31 19:21:13
10228,10,1,Offline,2020-09-30 02:31:07
46850,2,10,Online,2021-09-30 10:08:32
46167,9,8,Offline,2021-10-22 17:53:28
5894,8,3,Offline,2018-07-04 21:53:19
38578,4,6,Offline,2020-03-17 18:03:55
29066,8,1,Online,2023-03-30 23:49:54
31205,9,10,Online,2018-08-09 07:59:14
27578,7,3,Offline,2022-12-20 00:06:57
7334,1,6,Offline,2023-06-16 14:13:59
34687,8,8,Offline,2022-08-19 11:01:56
9182,7,5,Offline,2020-08-22 03:47:45
46001,4,5,Online,2021-08-22 13:27:53
24258,9,7,Online,2022-04-14 18:07:09
44598,2,1,Offline,2018-09-21 00:39:34
12820,1,3,Online,2019-04-21 16:16:55
42158,8,7,Online,2022-01-31 18:45:10
37005,10,3,Online,2020-12-14 12:00:19
32277,3,1,Online,2021-09-06 01:09:37
44215,8,8,Offline,2023-03-14 08:24:46
30489,7,1,Online,2022-08-01 19:12:31
6505,10,2,Offline,2022-10-27 00:25:11
956,2,1,Offline,2022-06-08 08:11:35
11662,3,1,Offline,2021-12-30 10:22:01
21069,8,3,Offline,2019-03-22 04:33:52
24024,3,6,Online,2024-02-01 10:14:53
4534,4,8,Online,2024-07-03 07:21:32
26221,6,4,Online,2021-10-29 01:15:43
40160,10,7,Online,2018-11-16 19:56:39
27176,2,10,Offline,2020-10-04 00:35:26
39215,2,6,Online,2024-02-29 15:49:40
17435,6,5,Online,2018-06-14 14:31:17
12671,10,3,Offline,2021-03-15 12:04:00
8343,5,8,Offline,2024-12-14 19:50:26
30599,3,4,Online,2023-02-04 10:04:07
8853,7,2,Online,2024-07-17 23:47:40
11334,1,3,Online,2018-02-14 03:38:48
40319,6,7,Online,2024-06-23 05:22:11
11728,4,3,Offline,2021-02-28 09:39:02
27271,3,9,Online,2023-11-09 00:14:45
39220,3,4,Online,2020-07-27 15:05:44
14694,9,10,Offline,2019-03-07 01:32:45
39657,6,8,Online,2019-01-01 13:39:11
42969,7,5,Offline,2023-07-23 09:49:09
30139,2,3,Online,2019-11-01 18:06:07
10091,8,2,Offline,2024-06-05 05:02:50
19507,8,6,Online,2023-03-09 23:01:42
18902,2,7,Online,2024-09-25 05:02:05
47044,1,1,Online,2021-01-15 05:18:04
47444,9,1,Offline,2020-07-08 11:31:18
4393,1,1,Online,2023-04-18 23:29:03
12967,5,1,Online,2020-06-12 23:30:33
34760,9,4,Offline,2022-07-01 12:19:25
33151,9,4,Online,2023-05-15 05:03:24
22007,8,4,Offline,2022-11-20 23:28:55
24622,1,7,Offline,2024-02-08 14:45:48
19863,1,2,Online,2019-06-20 08:09:58
11526,1,3,Online,2024-08-05 11:52:03
19564,9,10,Online,2018-10-13 10:19:00
5593,5,2,Online,2019-06-01 22:46:16
48352,6,3,Offline,2023-06-05 00:09:12
10680,5,2,Offline,2024-06-12 02:55:20
32188,4,8,Online,2018-01-20 12:50:56
15518,5,6,Online,2023-03-19 17:24:57
39082,1,4,Offline,2024-12-15 10:04:20
617,10,1,Offline,2021-04-16 06:47:46
33125,2,5,Online,2022-04-21 16:29:31
3086,8,2,Online,2019-11-14 01:04:43
4680,6,1,Online,2018-12-18 12:21:07
48204,7,5,Online,2024-07-09 11:03:24
29444,3,9,Offline,2023-05-24 16:17:14
649,2,5,Online,2018-08-01 13:54:26
12621,7,6,Offline,2018-03-13 19:38:24
39531,1,9,Online,2024-08-31 14:27:39
18684,7,3,Offline,2022-03-17 07:55:57
37358,1,4,Offline,2024-12-07 18:58:44
4796,4,9,Offline,2020-11-24 18:40:59
12916,2,9,Offline,2018-01-04 03:06:54
39870,6,7,Offline,2020-04-23 10:38:15
16141,5,1,Offline,2018-07-05 16:55:22
21551,4,5,Online,2023-08-28 10:03:24
18418,10,2,Online,2021-11-01 15:07:44
445,4,10,Online,2020-05-19 06:23:08
34374,4,4,Online,2023-05-11 07:16:20
6614,10,4,Online,2018-06-17 21:46:39
14505,10,8,Offline,2024-09-18 00:13:39
9568,6,3,Offline,2021-07-30 15:31:03
17912,7,4,Online,2021-06-13 01:59:56
40097,3,5,Offline,2020-12-07 00:32:28
32811,4,8,Offline,2018-09-24 19:43:26
9752,2,10,Online,2021-01-18 17:35:51
9581,1,9,Online,2019-08-12 20:38:02
40710,6,4,Offline,2021-02-14 17:48:04
5028,10,2,Online,2024-10-29 17:58:31
45383,9,2,Online,2022-06-27 07:30:27
43805,4,8,Offline,2019-11-18 12:26:14
37611,4,4,Offline,2018-03-26 23:46:31
24846,7,9,Online,2022-11-13 00:51:48
24843,8,1,Online,2019-01-11 11:58:50
8558,4,7,Online,2021-03-29 16:13:24
6022,10,7,Offline,2022-04-14 19:35:15
19127,3,3,Online,2023-09-22 03:13:29
47345,7,3,Offline,2018-05-21 10:10:17
35304,7,5,Offline,2022-09-28 12:55:17
40748,6,5,Online,2023-04-29 00:34:27
37064,4,9,Offline,2022-12-31 07:56:57
32226,8,10,Online,2019-12-29 00:49:17
34992,2,3,Offline,2024-02-01 09:15:46
43433,10,9,Online,2019-11-03 01:30:18
13462,7,2,Online,2020-05-23 17:17:56
23938,9,1,Offline,2022-01-01 11:39:25
15589,1,10,Offline,2023-09-30 18:39:08
42980,2,4,Offline,2022-07-28 09:42:25
28412,1,6,Online,2018-01-17 21:24:28
3434,7,2,Online,2018-04-19 01:36:13
35307,10,6,Online,2022-03-01 09:28:44
1249,3,5,Online,2019-10-25 12:48:58
11070,5,7,Offline,2021-09-14 02:52:02
10673,2,5,Offline,2022-08-14 05:15:59
21234,2,2,Offline,2019-11-27 12:38:01
47963,7,4,Online,2021-04-15 07:19:13
41649,3,2,Online,2023-05-03 09:08:06
41080,3,2,Online,2020-01-31 03:02:05
38473,5,4,Online,2018-07-12 08:13:37
46844,9,10,Offline,2018-11-18 05:52:50
8187,8,5,Offline,2024-01-16 12:11:36
24164,9,8,Online,2023-12-03 05:42:27
26959,5,7,Offline,2024-12-17 12:50:43
13986,10,6,Offline,2018-02-06 21:24:08
1416,10,5,Offline,2023-08-23 18:05:48
297,4,8,Offline,2022-06-14 01:12:25
45125,6,9,Online,2021-02-23 14:51:02
6256,3,6,Online,2023-02-11 13:42:19
9555,7,8,Offline,2019-12-16 00:38:24
48098,5,2,Online,2023-04-28 11:19:53
9398,8,6,Offline,2019-01-14 15:43:34
42226,3,7,Online,2024-03-17 18:13:50
22554,5,7,Offline,2021-11-25 06:57:25
34347,1,3,Online,2019-08-26 16:11:07
33185,6,6,Offline,2024-01-18 11:33:45
14609,3,10,Online,2024-12-07 05:32:09
19544,4,3,Offline,2024-03-08 20:12:15
35965,1,3,Online,2020-03-06 01:00:56
34795,7,1,Offline,2022-02-14 21:52:30
20211,4,6,Offline,2023-11-21 22:51:38
38283,8,9,Offline,2023-01-17 03:20:41
43653,10,1,Online,2021-05-23 03:05:54
36029,5,3,Offline,2021-12-05 20:38:27
6016,5,8,Online,2020-09-26 01:53:31
12338,1,4,Online,2023-04-22 23:01:47
29341,6,7,Online,2024-03-30 05:20:20
21886,6,9,Online,2021-05-09 02:44:03
46150,6,8,Online,2019-09-26 10:21:44
49177,2,6,Online,2024-07-29 11:59:08
31758,3,9,Online,2018-04-14 11:44:42
19800,6,9,Offline,2024-06-25 02:11:07
38677,1,7,Offline,2024-10-07 21:28:55
11401,6,2,Online,2020-03-30 11:54:51
4541,9,8,Offline,2019-12-23 19:01:09
20851,2,9,Online,2024-03-23 09:12:12
35460,10,5,Online,2018-05-02 22:28:23
20849,8,1,Online,2019-07-17 21:18:01
5730,3,4,Offline,2021-08-28 07:41:57
6344,6,4,Online,2024-09-19 02:35:21
48496,10,3,Online,2022-09-08 13:01:36
26168,5,2,Online,2021-12-07 09:49:30
23949,8,1,Online,2022-12-21 23:29:43
24100,2,6,Offline,2023-02-05 22:30:30
47185,1,6,Offline,2019-07-15 12:34:28
41042,8,6,Offline,2020-07-07 03:22:28
39042,2,2,Offline,2022-09-30 06:35:53
31254,5,6,Offline,2023-07-01 02:39:30
29756,10,8,Offline,2022-07-28 16:19:44
7358,4,3,Online,2019-06-29 00:21:39
9666,4,7,Online,2018-02-05 15:40:20
47188,8,5,Offline,2024-10-09 08:30:43
40606,6,8,Offline,2021-08-07 15:37:21
21905,2,1,Offline,2024-09-15 22:30:46
17042,4,6,Online,2022-02-13 13:10:17
20912,1,9,Offline,2022-10-22 14:14:27
40784,5,4,Offline,2023-09-04 13:45:49
10505,10,1,Online,2021-10-27 08:32:40
19473,7,4,Offline,2023-07-07 07:13:27
1918,1,6,Online,2021-12-13 14:13:36
24927,6,7,Online,2018-11-26 04:44:17
16243,5,7,Online,2023-08-05 04:05:58
40407,5,2,Online,2023-07-26 04:19:06
22039,1,10,Offline,2018-07-28 12:57:33
