campaign_id,emails_sent,emails_opened,emails_clicked,open_rate,click_rate,send_date
11927,22565,9990,885,0.44,0.04,2019-01-02 01:33:09
1815,4768,1917,432,0.4,0.09,2019-01-30 11:12:32
2804,17832,3174,1238,0.18,0.07,2021-05-14 19:36:45
5254,38201,7267,1494,0.19,0.04,2019-12-30 15:12:46
2363,36870,8622,2676,0.23,0.07,2023-12-18 03:15:17
202,7311,1133,153,0.15,0.02,2021-07-28 16:57:46
18270,27170,13958,2247,0.51,0.08,2023-10-05 17:25:56
11883,34272,5624,2087,0.16,0.06,2020-10-30 15:07:16
18796,39796,21771,5502,0.55,0.14,2021-05-26 09:57:49
3879,28953,10368,1060,0.36,0.04,2022-10-26 15:27:06
3447,12221,3468,1021,0.28,0.08,2023-10-06 12:45:27
7851,23514,13363,4816,0.57,0.2,2018-05-06 14:58:50
3679,15817,6986,1138,0.44,0.07,2022-12-26 01:35:55
19019,21042,3237,1161,0.15,0.06,2021-03-28 10:48:02
6504,10864,2732,372,0.25,0.03,2020-07-29 13:06:43
14690,12159,3809,209,0.31,0.02,2020-03-14 16:29:09
606,48157,28325,2890,0.59,0.06,2022-08-13 21:08:48
3614,45714,21484,7443,0.47,0.16,2018-06-25 03:19:12
10487,10780,4675,399,0.43,0.04,2018-03-22 22:30:45
10909,48789,22624,4148,0.46,0.09,2019-01-22 01:52:05
17122,9417,3122,726,0.33,0.08,2022-03-22 19:31:26
4082,21006,11467,2377,0.55,0.11,2020-11-23 16:24:29
10308,49479,18225,1881,0.37,0.04,2020-06-24 10:20:56
1200,13845,6878,983,0.5,0.07,2019-09-25 11:34:10
2129,32535,19262,3141,0.59,0.1,2023-12-18 18:04:59
10124,47920,26605,5326,0.56,0.11,2020-03-16 09:39:46
10673,49750,28439,3343,0.57,0.07,2022-06-08 18:33:41
1198,951,497,166,0.52,0.17,2024-07-28 23:11:24
13910,9778,4819,1625,0.49,0.17,2018-08-18 17:48:44
4607,12157,6745,1736,0.55,0.14,2020-10-28 01:56:39
7157,45027,26902,1868,0.6,0.04,2018-05-15 20:17:01
16387,28722,13376,2136,0.47,0.07,2023-11-25 17:28:26
7730,45684,19778,7577,0.43,0.17,2021-08-09 12:06:31
6860,32707,13761,2274,0.42,0.07,2022-12-04 01:51:43
8667,18076,5485,1102,0.3,0.06,2021-03-27 05:58:38
14346,35360,16099,6271,0.46,0.18,2024-08-18 11:14:14
3789,33197,16799,2211,0.51,0.07,2019-07-12 11:19:43
1465,11741,1880,539,0.16,0.05,2019-03-10 14:38:18
4723,18375,4936,1239,0.27,0.07,2021-02-11 00:30:19
3180,28965,14381,5651,0.5,0.2,2023-11-18 19:30:44
5000,45694,19809,7015,0.43,0.15,2018-12-18 18:33:43
14494,42058,22616,1549,0.54,0.04,2019-11-17 12:12:43
14817,47708,12959,2667,0.27,0.06,2024-12-01 15:11:48
7445,1937,690,64,0.36,0.03,2022-05-28 07:48:56
13580,35695,9056,1772,0.25,0.05,2021-10-31 05:13:05
13197,5511,2288,261,0.42,0.05,2022-08-02 21:19:41
15536,28047,6234,1042,0.22,0.04,2024-01-02 02:13:21
52,40110,20470,2173,0.51,0.05,2019-03-15 05:45:25
19041,23987,10953,4375,0.46,0.18,2019-02-19 14:47:27
18864,22503,5101,2006,0.23,0.09,2020-03-09 11:09:29
4117,15216,2539,760,0.17,0.05,2022-12-10 05:18:33
12047,28593,10386,2151,0.36,0.08,2022-02-02 12:03:21
11932,7284,1486,97,0.2,0.01,2022-07-17 15:23:30
15895,11859,6689,370,0.56,0.03,2018-02-05 03:44:39
2710,37528,9730,3335,0.26,0.09,2020-02-20 05:06:25
5748,33398,16996,5789,0.51,0.17,2020-10-11 01:15:47
6604,1314,425,123,0.32,0.09,2023-04-22 17:31:32
9811,24004,7784,2403,0.32,0.1,2021-04-08 13:41:04
740,16806,7394,2920,0.44,0.17,2018-04-06 04:10:53
6364,15359,6881,2280,0.45,0.15,2018-09-01 17:09:50
2341,15705,4467,484,0.28,0.03,2020-01-30 08:45:57
5823,20281,10688,2405,0.53,0.12,2022-02-11 09:28:03
17062,31090,11398,1297,0.37,0.04,2021-11-20 08:26:57
12855,41973,23863,6593,0.57,0.16,2024-07-26 10:54:34
16293,36234,17322,5201,0.48,0.14,2019-11-15 15:11:55
18117,6326,2413,271,0.38,0.04,2018-06-23 08:56:14
6447,48032,19116,3310,0.4,0.07,2019-07-28 12:55:47
9618,16458,3628,1157,0.22,0.07,2024-08-31 03:19:47
7541,30083,9042,2502,0.3,0.08,2018-10-18 04:56:43
18924,27104,6639,2452,0.24,0.09,2021-03-30 14:32:22
7665,47077,24282,5784,0.52,0.12,2019-05-28 18:34:56
10380,18703,8739,504,0.47,0.03,2022-01-28 00:55:09
18513,28959,12489,2829,0.43,0.1,2023-03-24 19:56:35
5412,48407,11975,4420,0.25,0.09,2020-10-26 07:45:54
5762,43676,7763,2024,0.18,0.05,2021-08-26 01:14:53
5615,812,268,77,0.33,0.09,2020-07-25 04:21:23
10963,35717,16570,1807,0.46,0.05,2024-05-20 14:39:48
4138,35179,16522,2169,0.47,0.06,2020-01-08 20:21:05
11638,19980,5152,450,0.26,0.02,2024-07-02 08:23:04
16786,24318,5601,1877,0.23,0.08,2022-09-13 17:15:23
1690,16575,7851,1352,0.47,0.08,2022-01-10 11:04:34
14562,45705,20997,7131,0.46,0.16,2018-08-01 13:12:14
13957,5621,1755,600,0.31,0.11,2019-06-10 05:36:56
15915,41619,7673,2774,0.18,0.07,2019-05-09 02:11:53
1497,30973,5273,903,0.17,0.03,2023-05-13 00:13:05
18214,24467,7924,2388,0.32,0.1,2018-04-09 19:39:44
11234,3502,1778,349,0.51,0.1,2024-07-11 14:57:44
5848,3956,2139,228,0.54,0.06,2023-06-10 23:51:25
14990,17179,5833,1053,0.34,0.06,2021-10-16 01:18:52
5328,19726,10772,2658,0.55,0.13,2018-05-03 15:19:09
8078,17722,5553,1675,0.31,0.09,2023-06-11 04:33:45
16301,1957,365,96,0.19,0.05,2021-09-16 20:39:59
7488,26637,5681,1394,0.21,0.05,2022-08-24 09:59:28
11735,8410,4748,1725,0.56,0.21,2019-03-09 19:03:03
6247,42218,12492,1971,0.3,0.05,2024-03-03 12:20:12
12477,5886,3277,491,0.56,0.08,2023-08-21 10:21:06
9291,10359,4334,1171,0.42,0.11,2020-06-28 20:49:48
7274,16337,9443,2436,0.58,0.15,2022-12-01 02:25:21
15195,549,85,12,0.15,0.02,2021-01-21 05:04:44
18305,11660,6671,1544,0.57,0.13,2021-06-22 19:14:51
17182,21640,12023,2769,0.56,0.13,2022-02-16 07:25:08
6917,18711,9726,2447,0.52,0.13,2020-04-03 07:10:19
12332,10467,1771,691,0.17,0.07,2024-05-27 15:35:19
13134,47823,14889,1764,0.31,0.04,2019-08-25 00:05:53
19388,13786,6532,551,0.47,0.04,2023-02-14 14:41:36
6524,27400,15391,3264,0.56,0.12,2023-12-13 16:21:18
8000,23177,9830,1481,0.42,0.06,2020-02-02 00:25:47
9279,37739,9094,3171,0.24,0.08,2020-02-10 00:30:56
4618,27568,9956,2013,0.36,0.07,2020-10-11 09:42:03
11155,1433,749,77,0.52,0.05,2018-09-29 10:52:31
17015,21138,12401,857,0.59,0.04,2018-05-15 21:17:04
1142,30946,16803,5909,0.54,0.19,2023-02-25 16:10:22
14013,33167,12049,1332,0.36,0.04,2022-11-13 19:44:32
12086,17467,8310,2581,0.48,0.15,2018-06-10 20:08:16
13008,48427,18091,4662,0.37,0.1,2018-10-02 12:05:27
14073,29467,15100,2893,0.51,0.1,2018-03-08 00:12:32
6119,48228,20053,1686,0.42,0.03,2020-09-16 00:20:40
9163,24570,11788,1876,0.48,0.08,2021-12-11 15:00:02
5537,5585,2691,216,0.48,0.04,2019-07-29 10:23:24
4073,16496,2653,352,0.16,0.02,2021-09-19 22:29:11
3656,21521,5207,1839,0.24,0.09,2018-07-17 05:45:24
1787,8551,2350,653,0.27,0.08,2024-12-14 05:15:20
3334,6773,3741,716,0.55,0.11,2023-02-06 12:48:27
2864,22005,5690,1339,0.26,0.06,2019-01-14 01:12:43
19649,48463,9188,2975,0.19,0.06,2020-10-22 14:01:21
7367,40002,19568,3040,0.49,0.08,2021-05-26 23:33:21
9180,41539,21691,3493,0.52,0.08,2020-06-01 00:51:42
11535,45830,20011,6860,0.44,0.15,2019-10-20 02:25:29
10005,19913,9315,2220,0.47,0.11,2023-11-05 16:54:02
10050,44231,17944,2799,0.41,0.06,2018-11-30 17:09:20
14050,45342,21311,6528,0.47,0.14,2021-02-19 16:47:46
5478,13919,7857,1579,0.56,0.11,2021-06-29 02:34:43
3239,22517,5029,722,0.22,0.03,2021-02-07 00:34:37
19480,751,176,14,0.23,0.02,2022-11-28 13:45:23
14610,18920,11219,1275,0.59,0.07,2019-03-09 19:31:12
10787,14766,6529,2200,0.44,0.15,2022-04-22 18:14:04
8951,19309,10390,1856,0.54,0.1,2019-06-07 23:44:04
8545,18755,9877,2132,0.53,0.11,2024-10-04 00:08:15
7029,20950,4998,1415,0.24,0.07,2020-06-29 21:00:39
8419,47849,15755,5624,0.33,0.12,2024-08-06 18:35:52
6028,45957,24729,5933,0.54,0.13,2022-05-07 00:59:33
8058,47858,26879,9990,0.56,0.21,2024-05-09 02:23:49
3518,13454,4324,324,0.32,0.02,2020-01-09 15:01:59
16111,6296,3679,695,0.58,0.11,2022-03-19 11:37:36
13180,13302,4926,1894,0.37,0.14,2019-02-25 07:48:55
17561,28252,9974,3545,0.35,0.13,2020-06-30 14:50:44
12748,24621,9033,3522,0.37,0.14,2022-01-20 21:14:59
11871,31802,4916,701,0.15,0.02,2018-06-04 07:26:23
11601,16845,4748,1316,0.28,0.08,2019-10-08 00:24:09
17887,36428,19035,4917,0.52,0.13,2020-06-03 13:15:33
5974,41626,14630,1323,0.35,0.03,2019-06-21 21:38:49
10799,33076,16672,944,0.5,0.03,2018-06-11 21:09:11
3927,15319,3481,898,0.23,0.06,2019-07-10 22:58:54
10629,28078,14467,1412,0.52,0.05,2024-04-27 17:30:32
15355,39594,12504,1143,0.32,0.03,2018-02-16 19:58:13
10950,2060,334,54,0.16,0.03,2021-09-03 23:58:59
5321,9764,2340,688,0.24,0.07,2020-07-08 01:40:56
9758,15739,7630,2685,0.48,0.17,2022-07-30 04:45:50
17077,29473,12837,776,0.44,0.03,2021-05-22 17:38:25
15043,5649,3046,298,0.54,0.05,2019-07-20 20:04:19
15936,44121,21626,5271,0.49,0.12,2022-07-30 13:46:18
14827,42552,17632,3166,0.41,0.07,2020-11-27 09:13:21
12349,17098,8325,2793,0.49,0.16,2021-06-25 02:24:45
17236,43495,16024,1072,0.37,0.02,2023-08-21 19:37:26
7363,29181,9698,1041,0.33,0.04,2019-04-16 20:34:30
1273,23010,11567,2167,0.5,0.09,2021-02-21 06:53:39
10419,30589,17133,4155,0.56,0.14,2021-11-08 14:32:30
15291,14311,7442,2094,0.52,0.15,2020-04-01 09:14:07
16453,4172,2156,559,0.52,0.13,2022-07-26 21:17:49
15417,49902,14637,3449,0.29,0.07,2019-10-02 21:16:31
15201,36513,6626,734,0.18,0.02,2023-10-11 10:20:20
18291,6566,3244,1018,0.49,0.16,2024-03-18 10:40:40
16572,28067,7466,2731,0.27,0.1,2020-10-13 23:35:37
3664,39735,20128,6654,0.51,0.17,2021-04-24 10:02:25
16686,47285,14590,1164,0.31,0.02,2022-07-11 14:32:10
16356,43251,21518,8456,0.5,0.2,2020-03-04 02:17:16
19510,8744,1492,394,0.17,0.05,2020-08-19 16:43:48
11131,8300,4763,1689,0.57,0.2,2022-11-09 13:27:00
4825,23809,6472,1380,0.27,0.06,2021-05-10 02:42:47
11860,44937,7676,2888,0.17,0.06,2023-06-17 23:52:14
10863,3278,925,306,0.28,0.09,2024-12-16 20:53:18
11972,46911,20317,6484,0.43,0.14,2019-02-24 01:43:41
14904,9347,1431,526,0.15,0.06,2023-11-20 17:35:32
9952,9236,2292,505,0.25,0.05,2022-12-17 11:35:09
8397,18219,7826,1549,0.43,0.09,2018-07-01 03:28:30
12939,33774,5454,1029,0.16,0.03,2018-05-10 03:21:56
7229,45678,8997,2922,0.2,0.06,2019-07-06 18:01:39
3448,7293,4045,736,0.55,0.1,2021-04-24 21:10:51
11296,49105,27619,1752,0.56,0.04,2022-11-14 19:57:03
14543,28258,7831,1911,0.28,0.07,2023-06-08 04:45:55
2439,42178,7766,2706,0.18,0.06,2021-06-30 18:47:50
12013,43413,16506,5533,0.38,0.13,2020-08-22 22:56:25
14833,26262,6452,1268,0.25,0.05,2024-01-08 14:04:17
7151,43956,21515,2240,0.49,0.05,2021-11-17 09:50:38
13508,42323,22160,7581,0.52,0.18,2023-10-19 04:36:26
1039,46347,7188,758,0.16,0.02,2019-09-04 01:40:01
15705,22636,11731,2964,0.52,0.13,2021-04-02 10:02:21
13567,5576,2736,985,0.49,0.18,2024-09-21 06:47:14
3274,41152,8054,1516,0.2,0.04,2024-11-12 14:30:15
10719,46149,11390,1998,0.25,0.04,2024-10-04 01:35:32
16849,19909,4873,793,0.24,0.04,2022-01-28 00:29:18
318,21740,8366,2338,0.38,0.11,2020-02-03 04:57:19
19229,8701,4448,1111,0.51,0.13,2021-05-11 23:03:42
2381,8296,4584,1356,0.55,0.16,2024-12-08 12:19:19
17048,708,277,56,0.39,0.08,2022-03-11 13:54:38
5960,5146,1699,257,0.33,0.05,2022-04-19 05:45:53
15406,24523,7463,1684,0.3,0.07,2024-07-08 19:22:59
17376,9534,1750,340,0.18,0.04,2020-11-13 20:03:21
9612,24016,12471,1720,0.52,0.07,2023-06-11 11:04:15
17769,34151,7696,2026,0.23,0.06,2022-09-05 10:27:26
12933,18941,9151,1458,0.48,0.08,2022-10-16 16:33:42
19635,29815,8960,2249,0.3,0.08,2020-01-22 00:20:37
3920,43204,17549,1552,0.41,0.04,2018-07-30 12:00:48
11206,27070,15902,4652,0.59,0.17,2024-11-04 12:04:57
17171,23670,9557,3750,0.4,0.16,2020-10-03 18:37:57
11479,46191,8538,1811,0.18,0.04,2023-08-20 19:25:58
16177,3354,745,60,0.22,0.02,2019-07-24 13:56:40
7276,12520,4204,1287,0.34,0.1,2018-03-07 12:32:59
698,19100,7313,2613,0.38,0.14,2023-04-23 10:22:45
18667,49016,10320,2981,0.21,0.06,2023-07-01 22:41:53
18537,27929,12962,798,0.46,0.03,2024-08-04 10:38:08
5079,5805,1571,526,0.27,0.09,2019-04-13 06:08:14
19893,40969,15079,2684,0.37,0.07,2022-08-07 18:28:08
7817,17833,5085,1308,0.29,0.07,2022-04-01 07:24:42
3731,3160,1842,676,0.58,0.21,2024-12-04 20:23:24
6947,29320,12272,2747,0.42,0.09,2023-06-23 21:46:48
1877,30080,4828,858,0.16,0.03,2020-01-28 12:58:23
9392,19153,5276,1471,0.28,0.08,2024-04-17 16:46:48
5236,40834,15831,2301,0.39,0.06,2019-02-17 09:29:37
10796,49795,17542,6255,0.35,0.13,2024-01-30 21:03:32
13278,11114,2350,574,0.21,0.05,2022-05-13 20:13:30
2809,30923,14492,3574,0.47,0.12,2024-07-22 02:55:20
652,37590,11144,940,0.3,0.03,2022-05-05 06:48:56
2140,29774,10002,927,0.34,0.03,2024-05-05 17:37:20
15550,46526,13989,3806,0.3,0.08,2020-08-06 03:48:47
14728,28565,5796,1653,0.2,0.06,2021-09-19 09:17:08
13709,19630,4679,958,0.24,0.05,2020-10-24 11:23:40
19086,26399,15408,4071,0.58,0.15,2022-03-03 09:20:35
6478,39356,19353,1090,0.49,0.03,2018-04-11 17:41:43
8713,37093,12858,1820,0.35,0.05,2023-02-25 17:37:53
15707,4176,2042,269,0.49,0.06,2024-05-25 05:01:23
541,23709,5525,1306,0.23,0.06,2024-03-12 01:42:41
1699,43690,17704,5244,0.41,0.12,2020-12-02 06:38:36
7756,12506,5425,779,0.43,0.06,2021-07-07 04:52:25
17395,10767,2083,560,0.19,0.05,2018-01-26 13:59:01
13831,31613,6364,512,0.2,0.02,2018-01-06 20:26:30
4352,34025,12932,4712,0.38,0.14,2022-12-25 14:16:35
17972,1570,862,295,0.55,0.19,2022-08-27 01:30:20
1830,7851,1999,771,0.25,0.1,2024-08-26 11:11:13
10730,46752,11771,4248,0.25,0.09,2023-04-10 21:40:39
19736,2147,1119,413,0.52,0.19,2020-08-20 02:51:04
10374,18174,6423,1660,0.35,0.09,2020-08-18 14:57:14
10426,12365,2403,740,0.19,0.06,2023-05-02 01:58:23
13000,41819,18488,1217,0.44,0.03,2020-12-20 02:19:45
14517,40074,22330,5638,0.56,0.14,2023-03-14 01:33:49
2820,34146,16694,2235,0.49,0.07,2020-05-20 19:34:02
12416,12737,7422,2077,0.58,0.16,2022-05-12 00:42:30
2760,30909,7600,716,0.25,0.02,2024-01-13 07:47:43
8855,26549,13271,2551,0.5,0.1,2019-02-09 15:18:02
10310,40074,10141,1720,0.25,0.04,2018-12-03 17:13:54
19706,12919,5955,1481,0.46,0.11,2019-11-01 01:34:28
5100,26825,10248,3655,0.38,0.14,2020-05-12 19:53:10
9523,38550,12005,1709,0.31,0.04,2024-11-08 05:40:03
18770,20991,10168,856,0.48,0.04,2020-04-15 08:00:41
1487,24286,5928,1850,0.24,0.08,2021-12-26 20:23:27
8406,41431,23843,4435,0.58,0.11,2024-10-24 11:52:38
16714,14280,4095,454,0.29,0.03,2024-08-03 21:38:09
16384,14737,2654,294,0.18,0.02,2018-06-04 06:33:52
148,3295,1158,441,0.35,0.13,2021-01-27 01:03:35
9305,44290,19361,4379,0.44,0.1,2019-11-28 17:14:50
4777,31843,8486,678,0.27,0.02,2023-12-21 17:48:48
5974,39749,22097,3590,0.56,0.09,2022-03-10 06:44:58
4485,2366,753,80,0.32,0.03,2019-08-29 04:01:44
10468,8316,4189,837,0.5,0.1,2020-03-04 09:20:37
17215,4405,1426,81,0.32,0.02,2020-09-22 10:55:49
8002,28093,7343,1370,0.26,0.05,2020-03-22 05:30:33
14070,48191,11217,4203,0.23,0.09,2019-07-07 19:24:35
18309,46484,16588,4295,0.36,0.09,2022-02-19 22:54:47
8714,44652,8192,2128,0.18,0.05,2023-07-22 04:26:53
19418,32176,14053,5146,0.44,0.16,2024-02-26 06:18:25
630,42447,21610,2037,0.51,0.05,2024-02-12 19:50:21
9433,26118,11430,3931,0.44,0.15,2024-11-15 03:07:33
6255,26608,12538,3143,0.47,0.12,2021-05-02 00:08:31
18147,17761,3613,1419,0.2,0.08,2023-07-11 22:10:54
18919,20936,4261,231,0.2,0.01,2021-12-16 08:58:54
1203,45573,24612,9789,0.54,0.21,2021-08-30 20:15:32
16318,33056,9308,1863,0.28,0.06,2021-09-25 16:20:55
8101,18827,6629,2399,0.35,0.13,2021-06-29 04:21:16
7651,24485,5413,1623,0.22,0.07,2018-02-01 18:49:19
14056,9994,3283,785,0.33,0.08,2024-11-08 22:04:27
13356,47614,15326,4841,0.32,0.1,2020-04-19 09:25:09
4231,36268,18535,6796,0.51,0.19,2023-09-18 08:29:29
15138,35518,8483,1458,0.24,0.04,2023-01-20 09:30:40
13651,19059,3461,1015,0.18,0.05,2018-04-19 11:02:58
5850,22428,11857,3853,0.53,0.17,2020-08-30 01:29:06
2337,47906,15443,5656,0.32,0.12,2020-12-10 17:00:01
5215,40988,13506,1005,0.33,0.02,2024-03-30 18:44:08
11690,10163,1620,641,0.16,0.06,2023-08-18 10:57:35
7959,25061,9323,2462,0.37,0.1,2019-11-14 22:16:06
18463,16869,7203,1128,0.43,0.07,2019-10-27 13:58:33
10341,8999,5177,598,0.58,0.07,2022-12-09 16:32:42
13024,25669,12454,726,0.49,0.03,2024-03-01 11:49:30
1630,41127,8491,1712,0.21,0.04,2022-06-22 03:01:54
11118,6866,3987,736,0.58,0.11,2023-01-25 06:13:22
4455,9084,4681,1451,0.52,0.16,2020-05-18 16:58:26
12375,17159,8325,2298,0.49,0.13,2023-10-25 06:11:26
4665,28693,14356,3377,0.5,0.12,2020-09-07 18:13:39
12468,43152,13449,4994,0.31,0.12,2021-07-01 10:11:05
6088,49067,9351,731,0.19,0.01,2021-11-15 11:48:34
10621,46238,22670,5105,0.49,0.11,2018-09-15 19:10:13
9137,40675,16959,3674,0.42,0.09,2024-07-19 08:14:16
532,7129,3160,459,0.44,0.06,2023-09-27 01:24:35
14537,20153,3802,1046,0.19,0.05,2022-02-16 07:40:45
19447,40566,20380,1204,0.5,0.03,2021-07-11 11:50:43
3414,34565,12994,708,0.38,0.02,2019-10-19 21:59:59
15036,42212,17471,4486,0.41,0.11,2024-11-20 19:37:17
9944,42036,11343,4191,0.27,0.1,2023-01-02 13:52:18
9089,26681,15073,2345,0.56,0.09,2019-11-04 18:17:16
4810,12046,4306,1515,0.36,0.13,2019-01-29 15:48:32
1132,31145,12086,2893,0.39,0.09,2021-01-23 02:37:39
19775,27594,7749,2794,0.28,0.1,2020-09-27 17:28:59
18966,38565,21950,7719,0.57,0.2,2020-09-04 09:12:18
1970,19184,7981,2217,0.42,0.12,2018-07-30 13:30:29
16222,34516,7574,3000,0.22,0.09,2019-01-03 20:03:18
14058,26737,4542,667,0.17,0.02,2023-06-02 23:18:39
3989,13524,7573,497,0.56,0.04,2021-08-01 02:00:48
5780,6372,2141,410,0.34,0.06,2024-11-16 09:12:31
10992,34529,18164,4759,0.53,0.14,2018-11-29 02:32:21
14067,31966,18180,2675,0.57,0.08,2021-04-20 14:09:28
17602,36094,21469,3051,0.59,0.08,2021-02-12 09:20:13
664,2399,1029,155,0.43,0.06,2023-08-02 23:19:17
9347,31224,18064,3105,0.58,0.1,2023-11-03 01:20:16
19899,16970,7963,834,0.47,0.05,2022-01-12 23:31:57
3390,14481,5992,1346,0.41,0.09,2021-02-04 12:43:19
18218,9806,5061,859,0.52,0.09,2022-02-25 01:04:00
219,2389,388,61,0.16,0.03,2022-08-29 04:03:44
12307,12279,4805,778,0.39,0.06,2024-10-18 02:58:10
1242,46755,21955,8368,0.47,0.18,2021-04-07 03:00:11
16776,14790,7129,1745,0.48,0.12,2023-01-29 07:10:19
4189,32074,7211,1240,0.22,0.04,2024-08-06 21:52:24
3554,44452,20385,6700,0.46,0.15,2022-08-09 16:08:56
13329,34810,12500,1730,0.36,0.05,2018-07-11 13:56:22
14609,25632,5516,2200,0.22,0.09,2020-06-15 10:26:10
18382,6789,3242,582,0.48,0.09,2021-09-26 00:04:55
4506,8914,2200,203,0.25,0.02,2020-01-30 21:54:17
4318,16584,7358,1966,0.44,0.12,2020-01-06 02:51:35
4814,38105,19981,6374,0.52,0.17,2018-02-14 20:25:29
17081,23579,8685,2104,0.37,0.09,2018-07-28 03:29:41
10703,18119,9070,1038,0.5,0.06,2023-07-26 14:29:35
11322,32374,14638,2407,0.45,0.07,2018-03-18 18:55:58
1712,1084,334,100,0.31,0.09,2019-11-05 12:08:51
5797,5705,1844,556,0.32,0.1,2024-12-09 21:07:50
2886,11781,5937,1627,0.5,0.14,2024-08-07 04:53:59
4392,5500,2231,752,0.41,0.14,2020-05-12 02:03:40
7660,49273,24058,5197,0.49,0.11,2024-09-26 10:03:12
12584,30343,8323,1079,0.27,0.04,2021-11-04 07:34:45
16029,15072,4467,593,0.3,0.04,2019-04-29 17:40:33
20,27761,15481,5516,0.56,0.2,2024-06-02 18:48:54
7596,32272,5511,1358,0.17,0.04,2022-02-09 01:25:11
3613,31831,17212,5948,0.54,0.19,2022-06-23 21:01:24
12214,43183,25513,8880,0.59,0.21,2022-11-24 08:06:07
9808,35575,15889,1898,0.45,0.05,2022-10-03 16:38:20
9992,15385,8717,1327,0.57,0.09,2019-09-23 22:42:02
6183,25171,13948,2195,0.55,0.09,2019-05-20 02:41:40
17719,19317,5330,294,0.28,0.02,2023-02-19 16:37:33
19313,2152,360,53,0.17,0.02,2023-01-28 15:33:35
1332,806,200,47,0.25,0.06,2022-08-15 13:21:30
4515,41238,14972,5755,0.36,0.14,2019-11-06 03:51:00
