student_id,class_date,attendance_status,class_type
23983,2018-01-12 22:08:36,Present,Online
13896,2022-01-20 02:11:05,Present,Lecture
23311,2020-09-24 13:48:03,Present,Lecture
14319,2019-06-09 15:44:14,Present,Lecture
1294,2017-05-20 05:56:22,Present,Lab
33413,2024-12-13 22:08:39,Present,Lab
38645,2019-01-31 01:59:14,Absent,Lab
43624,2021-10-23 23:08:57,Present,Online
13973,2017-06-14 11:14:39,Present,Online
38418,2020-05-26 12:58:54,Present,Lab
10693,2020-06-03 17:02:07,Present,Lecture
8175,2024-04-04 17:15:39,Present,Online
19049,2020-09-26 07:09:01,Present,Lab
44767,2024-09-12 02:33:41,Present,Lab
27805,2024-03-01 19:32:17,Present,Lecture
7808,2020-02-26 07:03:09,Present,Online
25123,2021-04-21 04:38:36,Present,Lab
40457,2024-12-28 23:13:53,Present,Lab
20799,2020-02-21 10:49:15,Present,Online
12136,2021-12-03 16:47:44,Present,Lab
40695,2019-12-25 03:59:35,Present,Online
7297,2023-11-01 13:55:39,Absent,Lab
13721,2019-04-24 06:30:05,Absent,Online
35935,2018-12-05 01:07:25,Absent,Online
12954,2024-10-11 10:49:16,Present,Online
32692,2018-12-22 13:33:32,Present,Lecture
14230,2021-03-05 22:00:57,Present,Lecture
48044,2018-02-18 09:14:09,Present,Lab
47651,2018-12-11 17:10:07,Absent,Online
34003,2019-03-27 13:09:46,Present,Lab
3823,2023-01-21 09:42:49,Present,Online
49278,2021-01-05 20:14:36,Present,Online
44131,2024-09-16 20:07:06,Present,Online
7412,2019-08-27 12:33:20,Present,Lab
46547,2019-03-13 13:08:48,Present,Lab
12054,2018-09-11 13:09:38,Present,Online
22414,2020-06-20 13:26:41,Present,Lecture
26862,2019-10-03 21:41:58,Present,Online
21039,2017-06-13 14:23:28,Present,Lecture
45264,2018-06-05 02:41:13,Present,Online
24906,2018-03-09 00:50:14,Present,Online
22339,2024-09-17 23:54:15,Present,Lab
45048,2017-12-13 21:52:19,Present,Online
21986,2019-01-22 18:57:27,Present,Online
45335,2023-08-25 22:26:44,Present,Lecture
21473,2023-05-26 06:58:36,Present,Lecture
47960,2019-08-08 19:58:50,Present,Lecture
16571,2024-05-27 11:24:29,Present,Online
39540,2023-02-11 23:33:48,Absent,Lecture
37330,2023-01-09 11:46:42,Present,Lab
29420,2023-01-26 06:32:23,Present,Lecture
18524,2021-03-16 04:54:52,Present,Lab
45583,2024-04-16 21:23:50,Absent,Lab
31956,2020-08-31 16:10:48,Present,Lecture
17039,2017-10-19 18:51:40,Present,Online
43200,2021-05-09 04:29:01,Present,Online
5157,2019-11-24 03:02:35,Absent,Online
29815,2020-07-28 08:02:20,Present,Lab
33903,2022-07-18 22:54:07,Absent,Online
44642,2023-12-13 05:42:47,Present,Lab
19925,2021-01-04 10:07:06,Present,Lecture
18222,2023-01-24 11:50:45,Present,Lecture
34008,2023-09-20 10:56:34,Present,Lecture
38934,2024-12-02 04:48:57,Absent,Lab
17174,2022-12-04 04:18:10,Present,Online
37081,2019-01-24 05:25:52,Present,Online
37501,2021-05-22 04:00:52,Present,Lecture
12298,2024-06-28 23:23:14,Present,Online
16703,2020-01-24 19:00:53,Present,Lecture
42284,2021-04-21 21:47:10,Absent,Lecture
3520,2021-07-10 04:36:54,Present,Lecture
22963,2022-04-05 02:34:58,Present,Lab
13824,2018-04-29 14:51:28,Present,Online
48937,2020-12-10 23:42:31,Present,Lab
18182,2020-05-25 01:11:45,Present,Lab
36818,2018-04-25 09:21:07,Present,Lecture
43481,2017-03-15 00:39:57,Present,Online
32059,2021-06-21 00:15:26,Present,Lecture
15438,2024-12-15 07:53:50,Present,Lecture
18116,2018-01-23 13:24:33,Present,Online
25146,2024-08-05 20:22:35,Present,Online
6252,2017-04-06 11:48:04,Present,Lecture
8947,2019-10-06 13:18:39,Present,Lab
38693,2017-12-15 03:01:08,Present,Online
20884,2020-07-25 16:34:31,Present,Online
6965,2020-02-20 16:43:51,Absent,Online
13329,2018-04-08 17:01:10,Present,Online
9719,2024-10-24 08:42:44,Present,Lecture
22907,2020-05-25 11:46:03,Present,Lecture
11361,2022-10-17 09:49:47,Absent,Online
25193,2019-05-09 19:25:38,Present,Online
48887,2022-04-08 16:35:00,Absent,Lab
21384,2024-09-21 13:01:24,Present,Lab
39501,2024-10-30 22:35:35,Present,Lab
10529,2024-05-12 23:12:33,Present,Online
22227,2021-04-15 04:03:11,Present,Online
28766,2018-02-25 08:01:42,Present,Lab
36762,2017-08-03 06:17:19,Present,Lecture
36204,2017-02-14 09:57:10,Present,Online
20571,2019-12-28 09:30:14,Present,Lab
19771,2018-05-15 13:41:10,Present,Lab
44026,2019-06-05 03:50:02,Present,Online
25754,2017-04-03 04:27:53,Present,Lab
10199,2018-08-18 17:43:13,Present,Online
11550,2019-01-22 07:49:55,Present,Online
22452,2022-06-26 04:38:22,Present,Lecture
34629,2021-04-21 10:01:01,Present,Lecture
36099,2019-02-27 17:47:13,Present,Lab
32142,2022-07-30 00:13:18,Present,Online
29074,2022-08-07 20:46:40,Present,Lab
39741,2019-07-05 19:12:51,Present,Online
5166,2023-12-11 08:24:21,Present,Online
25954,2019-04-20 14:39:49,Present,Lecture
35632,2021-07-10 16:38:02,Present,Lab
15083,2021-12-04 06:03:50,Present,Online
48836,2019-07-13 17:53:59,Present,Lab
24566,2023-03-22 10:40:50,Present,Lab
13466,2019-05-08 09:35:15,Present,Lab
43864,2018-12-20 03:58:31,Present,Lecture
23619,2024-01-10 21:14:36,Present,Online
25631,2018-08-18 09:02:54,Present,Online
1788,2021-10-27 16:26:58,Present,Lab
10355,2018-10-14 15:41:07,Present,Online
14730,2024-07-26 14:56:03,Present,Lab
40202,2018-05-29 09:56:31,Present,Online
33631,2018-01-17 09:57:02,Present,Lab
44079,2020-09-18 21:06:00,Present,Lab
41592,2022-06-28 23:37:22,Present,Lab
13422,2020-08-06 02:16:41,Present,Lecture
25998,2020-03-15 20:56:57,Absent,Lecture
11014,2019-07-29 18:10:31,Present,Online
6171,2022-08-02 03:27:40,Present,Lab
1314,2017-02-12 02:17:55,Absent,Lecture
22241,2020-06-29 03:21:31,Present,Lecture
16964,2019-03-08 10:31:39,Present,Lecture
13985,2023-01-12 17:30:05,Present,Online
22449,2017-02-03 10:34:33,Present,Lab
31238,2017-09-22 04:12:07,Present,Lecture
13556,2018-01-01 04:37:08,Present,Lab
36053,2021-07-22 19:50:43,Present,Lecture
41546,2019-06-07 11:15:45,Present,Online
408,2022-05-21 00:47:10,Absent,Online
47128,2021-01-01 23:26:45,Present,Lab
32333,2020-09-07 01:05:04,Absent,Lab
30482,2020-09-26 05:57:55,Present,Online
3831,2020-05-21 19:47:45,Present,Lecture
47448,2024-11-14 14:41:51,Present,Lab
40600,2020-10-27 03:40:47,Present,Lecture
28375,2019-07-30 05:26:18,Present,Online
20465,2017-11-08 17:24:18,Present,Lecture
38493,2021-10-22 01:05:47,Present,Lecture
15574,2018-01-12 15:10:53,Present,Online
40361,2024-12-12 23:01:46,Present,Online
38502,2019-03-14 15:16:32,Absent,Lab
1689,2021-08-22 13:37:46,Present,Lecture
49205,2019-08-21 00:49:35,Absent,Lecture
38540,2022-09-15 18:22:05,Present,Lecture
22096,2022-09-08 16:39:19,Present,Online
5869,2022-05-15 10:32:39,Present,Lecture
33165,2023-12-22 00:06:57,Present,Online
7933,2023-01-26 17:36:58,Present,Online
13878,2024-06-07 18:22:30,Present,Lecture
20443,2021-08-12 03:23:19,Present,Online
11269,2021-02-27 01:46:32,Present,Lecture
18062,2020-10-21 21:01:27,Present,Lecture
36627,2020-06-24 09:15:58,Present,Lecture
15525,2019-07-07 11:57:29,Present,Lecture
32204,2018-05-02 19:26:51,Present,Online
47840,2023-03-30 02:46:01,Present,Lecture
28746,2023-08-13 04:47:43,Present,Lecture
18984,2021-08-04 21:06:41,Absent,Lecture
34032,2024-09-01 21:03:42,Present,Lecture
45379,2022-12-30 13:59:37,Absent,Online
20079,2021-02-27 18:49:33,Present,Lecture
29875,2018-08-03 01:43:17,Present,Lecture
17045,2018-06-03 09:49:49,Present,Lab
13655,2021-03-02 03:30:49,Present,Lab
25790,2023-01-24 07:07:33,Present,Lab
17079,2020-03-05 13:01:14,Present,Lecture
39069,2019-08-02 12:44:22,Present,Lecture
5655,2020-12-24 05:19:50,Absent,Lab
15177,2024-05-10 18:47:55,Absent,Lab
10120,2018-12-12 19:55:07,Present,Lecture
38991,2021-06-03 02:16:09,Present,Online
15293,2020-02-07 09:48:19,Present,Online
16573,2017-03-24 09:19:56,Present,Lab
5297,2023-10-30 19:46:25,Present,Online
7365,2024-03-15 15:04:32,Absent,Online
37880,2018-10-06 06:06:45,Present,Online
24358,2018-02-25 16:56:38,Present,Lab
7542,2019-09-05 02:06:02,Absent,Lecture
811,2018-05-06 10:10:43,Present,Online
50,2024-04-20 00:53:09,Present,Lecture
23286,2020-11-27 12:37:53,Present,Lab
1634,2021-06-27 23:49:45,Present,Online
34660,2019-11-20 08:54:41,Present,Lecture
24326,2019-05-01 11:15:20,Present,Lab
17476,2024-09-04 03:10:59,Present,Lecture
13448,2023-04-19 14:05:40,Present,Online
28312,2020-04-13 07:16:03,Present,Lecture
2859,2022-12-13 17:22:25,Present,Lecture
2362,2018-02-27 02:26:52,Absent,Lab
43420,2018-06-28 06:20:19,Absent,Lab
16675,2017-09-15 06:09:25,Absent,Online
28275,2020-12-11 07:05:15,Present,Lab
44044,2023-06-13 15:43:46,Absent,Online
13533,2017-06-26 21:09:53,Present,Online
38427,2024-03-27 15:32:00,Present,Lecture
19403,2018-07-14 16:16:28,Absent,Lecture
13155,2017-06-26 03:11:50,Absent,Online
7392,2020-04-08 05:37:16,Absent,Lab
12484,2022-09-25 20:28:49,Present,Lecture
49693,2018-06-21 20:47:08,Present,Lecture
47741,2024-01-06 12:46:21,Absent,Online
1571,2022-12-19 10:04:20,Present,Online
46577,2018-10-26 11:05:11,Present,Lab
26054,2021-11-04 10:57:53,Present,Lecture
24613,2021-12-12 05:27:42,Present,Lecture
651,2024-08-11 23:16:07,Present,Lecture
722,2021-05-06 19:40:16,Present,Lecture
1800,2018-04-14 21:47:44,Present,Lecture
40793,2023-06-09 11:20:25,Present,Online
26657,2023-09-22 08:31:21,Present,Lecture
44746,2017-04-22 09:21:53,Absent,Online
5297,2018-10-31 12:47:55,Present,Online
4538,2020-07-17 22:34:09,Present,Lecture
31653,2018-03-17 03:20:56,Present,Lab
24536,2024-07-23 14:24:55,Present,Online
16446,2023-05-13 10:28:17,Present,Online
27572,2022-09-25 12:46:39,Present,Lecture
3727,2024-12-25 00:29:41,Present,Lecture
41494,2022-08-28 14:20:00,Present,Lab
2441,2021-07-20 19:46:08,Present,Lab
15922,2019-05-22 02:33:17,Absent,Lab
44988,2023-11-08 22:18:40,Present,Lab
5356,2017-09-25 04:07:21,Present,Online
40988,2020-09-09 04:06:59,Present,Lab
43950,2020-06-12 10:44:46,Present,Online
47773,2018-02-18 01:10:05,Present,Online
16855,2023-09-19 06:34:37,Present,Lecture
46462,2019-05-26 02:47:09,Present,Online
12889,2024-03-25 23:15:09,Present,Lecture
28163,2020-07-22 07:34:28,Present,Lecture
5936,2024-03-17 02:14:49,Present,Lab
32600,2022-06-05 06:12:01,Present,Lab
34316,2023-11-27 08:06:49,Absent,Online
44248,2024-06-30 00:19:33,Absent,Online
22791,2017-08-19 22:15:13,Absent,Lab
41056,2017-12-16 09:57:37,Present,Lecture
14433,2020-06-18 16:51:22,Present,Lab
46814,2020-02-28 18:29:49,Present,Online
3703,2024-11-16 15:45:00,Present,Lab
42436,2022-02-13 02:00:15,Present,Lecture
39987,2019-09-26 07:55:54,Present,Online
33042,2024-07-02 01:36:54,Absent,Lecture
15839,2021-12-07 02:50:53,Present,Lab
23106,2019-05-19 21:25:42,Present,Online
38477,2018-05-18 16:08:02,Absent,Lab
39209,2024-10-25 10:06:51,Present,Online
9471,2024-06-23 23:10:15,Present,Online
6750,2020-03-10 14:18:02,Present,Lecture
45816,2024-07-07 10:01:06,Present,Lab
9927,2018-11-19 22:53:26,Present,Online
44811,2022-09-23 12:26:06,Absent,Lecture
26550,2021-06-13 10:22:23,Present,Lab
35616,2023-01-20 04:20:59,Present,Online
13200,2019-04-12 22:42:30,Absent,Online
29528,2019-09-04 01:35:11,Present,Lab
25484,2024-05-30 21:02:59,Present,Lab
33753,2019-05-05 07:15:34,Present,Online
21030,2017-03-26 15:35:51,Present,Lab
45265,2020-11-08 11:36:53,Present,Online
25545,2023-03-16 09:51:51,Absent,Lab
40083,2018-06-04 09:04:01,Absent,Lab
46135,2019-04-01 16:58:17,Absent,Lecture
43780,2019-02-11 11:08:44,Present,Lecture
33284,2017-05-03 11:54:22,Present,Lecture
47601,2018-11-22 01:53:51,Absent,Online
42645,2021-01-09 22:28:39,Present,Lab
27082,2021-07-24 04:15:24,Present,Lab
20450,2021-01-22 02:08:10,Present,Lab
36200,2017-04-10 12:12:44,Present,Online
10117,2022-10-16 02:41:56,Present,Lecture
47520,2018-01-03 20:44:04,Present,Lecture
26206,2017-05-20 09:32:28,Present,Lab
35054,2018-12-25 04:46:26,Present,Online
14614,2020-02-02 15:57:49,Present,Lecture
35604,2017-07-04 17:57:52,Present,Lecture
425,2022-09-27 05:28:42,Present,Online
45614,2021-09-03 20:35:22,Present,Lecture
31095,2022-06-25 17:02:39,Absent,Lecture
38394,2020-12-31 11:15:20,Present,Online
27861,2019-04-27 23:41:19,Present,Lab
20649,2018-03-30 23:21:51,Present,Lecture
42538,2021-01-12 05:19:58,Present,Online
5624,2024-01-31 16:22:33,Present,Lecture
5598,2019-10-13 12:17:29,Present,Lecture
30971,2022-09-24 05:34:06,Present,Lab
3411,2023-04-18 18:57:17,Present,Lecture
549,2022-10-16 18:03:25,Present,Lab
20789,2024-02-04 21:37:53,Present,Lab
20240,2023-06-22 02:12:06,Present,Online
46929,2023-08-21 05:21:18,Absent,Online
1868,2017-04-01 17:59:08,Present,Lab
34066,2017-06-06 08:18:00,Present,Online
37502,2019-11-22 23:00:47,Present,Online
33274,2021-11-20 06:56:10,Absent,Online
34101,2022-06-23 15:39:28,Present,Lab
6251,2018-10-05 23:58:14,Present,Lab
2217,2023-07-08 00:14:21,Present,Online
26090,2020-06-27 03:36:08,Present,Lecture
37673,2018-10-12 15:52:37,Present,Lecture
1673,2019-12-10 13:50:59,Present,Lab
21088,2023-11-08 16:28:09,Present,Online
673,2021-11-22 23:43:31,Present,Lecture
30005,2017-10-09 01:13:13,Present,Lecture
33087,2023-02-22 02:27:56,Present,Lab
6316,2018-04-24 13:34:58,Present,Online
35228,2024-02-11 19:14:08,Absent,Lab
10667,2020-07-04 22:56:37,Present,Lecture
49440,2023-11-26 15:14:59,Present,Lab
13743,2023-02-11 17:11:38,Absent,Online
42100,2018-03-18 18:05:42,Absent,Online
16881,2023-06-30 19:08:40,Present,Lecture
31769,2019-04-11 22:38:52,Present,Lab
14123,2019-04-11 09:18:03,Absent,Online
23275,2019-07-20 22:53:56,Absent,Lab
40175,2024-09-27 19:02:55,Present,Lab
49251,2018-12-21 18:20:19,Present,Lab
47448,2020-10-20 19:08:34,Present,Lab
29494,2018-10-20 05:31:43,Present,Lab
6594,2020-10-11 13:37:45,Present,Lab
30702,2023-06-10 07:02:56,Present,Lab
6030,2020-08-13 10:05:35,Present,Lecture
4260,2024-09-12 02:00:27,Present,Online
14482,2023-09-30 15:45:18,Present,Online
15819,2022-06-17 15:48:48,Absent,Lab
29465,2018-08-16 22:47:54,Present,Lecture
12609,2018-11-30 21:51:46,Present,Lecture
